T85n2762_001:0261c03	勝鬘經疏	勝 鬘 經 疏 
T85n2762_001:0269c10	是如來方便不了義說。成前第五句也。涅槃	是 如 來 方 便 不了義說 成 前 第 五 句 也 涅 槃 
T85n2762_001:0269c11	句也。亦可前五句奪四智及有涅槃。從羅漢	句 也 亦 可 前 五 句 奪 四 智 及 有 涅 槃 從 羅 漢 
T85n2762_001:0269c12	辟支佛以下為無為涅槃也。	辟 支 佛 以 下 為 無 為 涅 槃 也 
T85n2762_001:0269c13	何以故已下。大段第三釋異。就中有兩段明	何 以 故 已 下 大 段 第 三 釋 異 就 中 有 兩 段 明 
T85n2762_001:0269c14	義。一明二種生死。二明兩種煩惱。何以涅槃	義 一 明 二 種 生 死 二 明 兩 種 煩 惱 何 以 涅 槃 
T85n2762_001:0269c15	有優劣之殊。二種四智之別下言由有二種	有 優 劣 之 殊 二 種 四 智 之 別 下 言 由 有 二 種 
T85n2762_001:0269c16	生死故然也。亦可如來常說聲聞二乘四智	生 死 故 然 也 亦 可 如 來 常 說 聲 聞 二 乘 四 智 
T85n2762_001:0269c17	涅槃究竟。今勝鬘言導不實。何以故二言相	涅 槃 究 竟 今 勝 鬘 言 導 不 實 何 以 故 二 言 相 
T85n2762_001:0269c18	違。若勝鬘語是。如來則為虛言。若如來語當。	違 若 勝 鬘 語 是 如 來 則 為 虛 言 若 如 來 語 當 
T85n2762_001:0269c19	勝鬘便為浪說。二教相反不應兩。是故下言	勝 鬘 便 為 浪 說 二 教 相 反 不 應 兩 是 故 下 言 
T85n2762_001:0269c20	由有二種生死。勝鬘通噵兩邊故言不究竟。	由 有 二 種 生 死 勝 鬘 通 噵 兩 邊 故 言 不 究 竟 
T85n2762_001:0269c21	如來但說一□故言究竟。迹似矛楯實不相	如 來 但 說 一 故 言 究 竟 迹 似 矛 楯 實 不 相 
T85n2762_001:0269c22	違故言釋異也。從分段死已下。明如來說究	違 故 言 釋 異 也 從 分 段 死 已 下 明 如 來 說 究 
T85n2762_001:0269c23	竟所由。非一切煩惱以下。別釋勝鬘說不究	竟 所 由 非 一切煩惱 以 下 別 釋 勝 鬘 說 不 究 
T85n2762_001:0269c24	竟所以。兩邊皆有其義不失宗旨也。何等為	竟 所 以 兩 邊 皆 有 其 義 不 失 宗 旨 也 何 等 為 
T85n2762_001:0269c25	二。一是分段死。三界之中上至八萬下及十	二 一 是 分 段 死 三 界 之 中 上 至 八 萬 下 及 十 
T85n2762_001:0269c26	歲。各有體報殊。二者三界外前變最後故云	歲 各 有 體 報 殊 二 者 三 界 外 前 變 最 後 故 云 
T85n2762_001:0269c27	變易死也。生則順情死則適意故。兩處但論	變 易 死 也 生 則 順 情 死 則 適 意 故 兩 處 但 論 
T85n2762_001:0269c28	死也。分段死者。胃虛為眾生者。正出受分段	死 也 分 段 死 者 胃 虛 為 眾 生 者 正 出 受 分 段 
T85n2762_001:0269c29	之人。羅漢以下說彼變易之者。乃至究竟菩	之 人 羅 漢 以 下 說 彼 變 易 之 者 乃 至 究 竟 菩 
T85n2762_001:0270a01	提者。解無二種生死之處也。二種死中以下。	提 者 解 無 二 種 生 死 之 處 也 二 種 死 中 以 下 
T85n2762_001:0270a02	別解如來說究竟所由。以分段死斷故。說阿	別 解 如 來 說 究 竟 所 由 以 分 段 死 斷 故 說 阿 
T85n2762_001:0270a03	羅漢辟支佛生死盡。得有餘果證故。說梵行	羅 漢 辟 支 佛 生 死 盡 得 有 餘 果 證 故 說 梵 行 
T85n2762_001:0270a04	立。凡夫人天不生無漏勝解故言未辨。三果	立 凡 夫 人 天 不 生 無 漏 勝 解 故 言 未 辨 三 果 
T85n2762_001:0270a05	四向七種舉人或未盡原故。先所未作。唯有	四 向 七 種 舉 人 或 未 盡 原 故 先 所 未 作 唯 有 
T85n2762_001:0270a06	羅漢辟支盡三界虛為煩惱故。稱所作已辦。	羅 漢 辟 支 盡 三 界 虛 為 煩 惱 故 稱 所 作 已 辦 
T85n2762_001:0270a07	羅漢辟支所斷煩惱。更不能令行者受於三	羅 漢 辟 支 所 斷 煩 惱 更 不 能 令 行 者 受 於 三 
T85n2762_001:0270a08	界後身。是故說不受後有。如來說作究竟事	界 後 身 是 故 說 不 受 後 有 如 來 說 作 究 竟 事 
T85n2762_001:0270a09	居於此也。自此下別釋勝鬘不究竟所以。下	居 於 此 也 自 此 下 別 釋 勝 鬘 不 究 竟 所 以 下 
T85n2762_001:0270a10	言非盡一切煩惱。亦非盡一切受生故。說不	言 非 盡 一切煩惱 亦 非 盡 一 切 受 生 故 說 不 
T85n2762_001:0270a11	受後有也。非盡一切煩惱集諦不亡非盡一	受 後 有 也 非 盡 一切煩惱 集 諦 不 亡 非 盡 一 
T85n2762_001:0270a12	切受生苦諦不重也。何以故有煩惱以下。第	切 受 生 苦 諦 不 重 也 何 以 故 有 煩 惱 以 下 第 
T85n2762_001:0270a13	二就兩種煩惱明釋異。就中有五段文句明	二 就 兩 種 煩 惱 明 釋 異 就 中 有 五 段 文 句 明 
T85n2762_001:0270a14	義。第一從何等為二以下。無始無明住地明	義 第 一 從 何 等 為 二 以 下 無 始 無明住地 明 
T85n2762_001:0270a15	二種煩惱體根不同。第二從世尊此四住地	二 種 煩 惱 體 根 不 同 第 二 從 世 尊 此 四 住 地 
T85n2762_001:0270a16	以下。就最為大力明力用各異。第三從又如	以 下 就 最 為 大 力 明 力 用 各 異 第 三 從 又 如 
T85n2762_001:0270a17	取緣以下。訖即是無明住地明二種煩惱潤	取 緣 以 下 訖 即 是 無明住地 明 二 種 煩 惱 潤 
T85n2762_001:0270a18	生有別。第四從羅漢最後身菩薩以下。訖解	生 有 別 第 四 從 羅 漢 最後身菩薩 以 下 訖 解 
T85n2762_001:0270a19	脫味正舉二智釋異。第五從無明住地不斷	脫 味 正 舉 二 智 釋 異 第 五 從 無明住地 不 斷 
T85n2762_001:0270a20	以下。訖智師子吼明斷結屬如來也。煩惱有	以 下 訖 智 師 子 吼 明 斷 結 屬 如 來 也 煩 惱 有 
T85n2762_001:0270a21	二種者。一是四住煩惱。二是無明之惑。何等	二 種 者 一 是 四 住 煩 惱 二 是 無 明 之 惑 何 等 
T85n2762_001:0270a22	為二。以下釋住地為一。起煩惱為第二也。始	為 二 以 下 釋 住 地 為 一 起 煩 惱 為 第 二 也 始 
T85n2762_001:0270a23	起一念能生名地。令後或相續不斷曰住。與	起 一 念 能 生 名 地 令 後 或 相續不斷 曰 住 與 
T85n2762_001:0270a24	住作地故名住地。如是五處皆有二種。住之	住 作 地 故 名 住 地 如 是 五 處 皆 有 二 種 住 之 
T85n2762_001:0270a25	與地。住地有四種。以下別解三界煩惱也。三	與 地 住 地 有 四 種 以 下 別 解 三 界 煩 惱 也 三 
T85n2762_001:0270a26	界見諦麁礦潤生義等見諦即斷故束為一住	界 見 諦 麁 礦 潤 生 義 等 見 諦 即 斷 故 束 為 一 住 
T85n2762_001:0270a27	地。下界麁貪名為欲愛住地。色界愛便名為	地 下 界 麁 貪 名 為 欲 愛 住 地 色 界 愛 便 名 為 
T85n2762_001:0270a28	色愛。無色貪便說為有愛住地也。從此四煩	色 愛 無 色 貪 便 說 為 有 愛 住 地 也 從 此 四 煩 
T85n2762_001:0270a29	惱皆上生者。皆名超煩惱也。四心同緣一境	惱 皆 上 生 者 皆 名 超 煩 惱 也 四 心 同 緣 一 境 
T85n2762_001:0270b01	共成便故。言剎那心相應也。世尊心不相應	共 成 便 故 言 剎 那 心 相 應 也 世 尊 心不相應 
T85n2762_001:0270b02	者。解三界外煩惱。無始者神識不起。則已起	者 解 三 界 外 煩 惱 無 始 者 神 識 不 起 則 已 起 
T85n2762_001:0270b03	則託境。託境不了名曰無明。更無有先故曰	則 託 境 託 境 不 了 名 曰 無 明 更 無 有 先 故 曰 
T85n2762_001:0270b04	無始。剋此一念無明能生後或名地。後生煩	無 始 剋 此 一 念 無 明 能 生 後 或 名 地 後 生 煩 
T85n2762_001:0270b05	惱不斷名住。與住為地故曰無明住地。後煩	惱 不 斷 名 住 與 住 為 地 故 曰 無明住地 後 煩 
T85n2762_001:0270b06	惱從此上生名起為煩惱。如此起者彰恒沙	惱 從 此 上 生 名 起 為 煩 惱 如 此 起 者 彰 恒 沙 
T85n2762_001:0270b07	功德故名恒沙煩惱。如是萬行之上即名上	功 德 故 名 恒 沙 煩 惱 如 是 萬 行 之 上 即 名 上 
T85n2762_001:0270b08	煩惱。如是相續展轉漸麁隣近三界。始起非	煩 惱 如 是 相 續 展 轉 漸 麁 隣 近 三 界 始 起 非 
T85n2762_001:0270b09	相一念之惑。即以為有愛住地。後從此一念	相 一 念 之 惑 即 以 為 有 愛 住 地 後 從 此 一 念 
T85n2762_001:0270b10	背上生者名為起煩惱。如是展轉漸麁隣近	背 上 生 者 名 為 起 煩 惱 如 是 展 轉 漸 麁 隣 近 
T85n2762_001:0270b11	色界種類。與四禪煩惱相似。復始起一念色	色 界 種 類 與 四 禪 煩 惱 相 似 復 始 起 一 念 色 
T85n2762_001:0270b12	界者即以為色愛住地。後者從此從一念上	界 者 即 以 為 色 愛 住 地 後 者 從 此 從 一 念 上 
T85n2762_001:0270b13	生作起煩惱。乃至欲界一念者名欲愛住地。	生 作 起 煩 惱 乃 至 欲 界 一 念 者 名 欲 愛 住 地 
T85n2762_001:0270b14	後從脚上生者名為起煩惱。如是欲界麁便	後 從 脚 上 生 者 名 為 起 煩 惱 如 是 欲 界 麁 便 
T85n2762_001:0270b15	能推求覓境。始一念身見以之為見一處住	能 推 求 覓 境 始 一 念 身 見 以 之 為 見 一 處 住 
T85n2762_001:0270b16	地。亦以後生者為起。如此便有五住地煩惱。	地 亦 以 後 生 者 為 起 如 此 便 有 五 住 地 煩 惱 
T85n2762_001:0270b17	三界之中四心同緣故得為剎那相應。三界	三 界 之 中 四 心 同 緣 故 得 為 剎 那 相 應 三 界 
T85n2762_001:0270b18	之外前後之心都是不了。無有四心之別故	之 外 前 後 之 心 都 是 不 了 無 有 四 心 之 別 故 
T85n2762_001:0270b19	言心不相應。無始無明住地也。亦可依經論	言 心不相應 無 始 無明住地 也 亦 可 依 經 論 
T85n2762_001:0270b20	解義無住之識。此或微細以為無明住地。想	解 義 無 住 之 識 此 或 微 細 以 為 無明住地 想 
T85n2762_001:0270b21	受之心乃至行陰中睡眠無記以為恒沙煩	受 之 心 乃 至 行 陰 中 睡 眠 無 記 以 為 恒 沙 煩 
T85n2762_001:0270b22	惱。行陰心中離出一貪使。麁者為欲界。中者	惱 行 陰 心 中 離 出 一 貪 使 麁 者 為 欲 界 中 者 
T85n2762_001:0270b23	為色愛。細者為無色愛。五見利使束作見一	為 色 愛 細 者 為 無 色 愛 五 見 利 使 束 作 見 一 
T85n2762_001:0270b24	處住地。若依此解義行陰貪愛容有重生故。	處 住 地 若 依 此 解 義 行 陰 貪 愛 容 有 重 生 故 
T85n2762_001:0270b25	言剎那相應。如是報受剋為恒沙煩惱。五識	言 剎 那 相 應 如 是 報 受 剋 為 恒 沙 煩 惱 五 識 
T85n2762_001:0270b26	不容重起故。言心不相應。無始無明住地也。	不 容 重 起 故 言 心不相應 無 始 無明住地 也 
T85n2762_001:0270b27	世尊此四住地力者。以下第二段明煩惱力	世 尊 此 四 住 地 力 者 以 下 第 二 段 明 煩 惱 力 
T85n2762_001:0270b28	用不同。此四住地舉三界煩惱。上煩惱者舉	用 不 同 此 四 住 地 舉 三 界 煩 惱 上 煩 惱 者 舉 
T85n2762_001:0270b29	恒沙煩惱。以此二種比格無明住地之或算	恒 沙 煩 惱 以 此 二 種 比 格 無明住地 之 或 算 
T85n2762_001:0270c01	數譬喻所不能及。此明枝條不如本下界不	數 譬 喻 所 不 能 及 此 明 枝 條 不 如 本 下 界 不 
T85n2762_001:0270c02	及上地煩惱也。世尊如是無明住地力者。還	及 上 地 煩 惱 也 世 尊 如 是 無明住地 力 者 還 
T85n2762_001:0270c03	以本過末上勝下也。譬如惡魔波旬喻無明	以 本 過 末 上 勝 下 也 譬 如 惡 魔 波 旬 喻 無 明 
T85n2762_001:0270c04	住地煩惱。他化自在天者喻恒沙四住地之	住 地 煩 惱 他化自在天 者 喻 恒 沙 四 住 地 之 
T85n2762_001:0270c05	或。色力壽命以下喻其力用。自在殊勝也。	或 色 力 壽 命 以 下 喻 其 力 用 自 在 殊 勝 也 
T85n2762_001:0270c06	如是無明住地。合前惡魔波旬力者。合前力	如 是 無明住地 合 前 惡 魔 波 旬 力 者 合 前 力 
T85n2762_001:0270c07	用有愛。四住地者合自在諸天其力最勝者。	用 有 愛 四 住 地 者 合 自 在 諸 天 其 力 最 勝 者 
T85n2762_001:0270c08	合上殊勝也。近與恒沙煩惱作依。亦遠能令	合 上 殊 勝 也 近 與 恒 沙 煩 惱 作 依 亦 遠 能 令 
T85n2762_001:0270c09	三界四種煩惱久住。下言羅漢辟支不能斷	三 界 四 種 煩 惱 久 住 下 言 羅 漢 辟 支 不 能 斷 
T85n2762_001:0270c10	者。此中未明斷道。不能斷者。為上無明煩	者 此 中 未 明 斷 道 不 能 斷 者 為 上 無 明 煩 
T85n2762_001:0270c11	惱力強。唯有如來菩提智之所能斷也。世尊	惱 力 強 唯 有 如來菩提智 之 所 能 斷 也 世 尊 
T85n2762_001:0270c12	以下結成無明力強也　世尊有如取緣以	以 下 結 成 無 明 力 強 也 世 尊 有 如 取 緣 以 
T85n2762_001:0270c13	下。第三明煩惱潤生有別也。外緣者十二因	下 第 三 明 煩 惱 潤 生 有 別 也 外 緣 者 十 二 因 
T85n2762_001:0270c14	緣中單舉一取枝也。有漏業因者。亦開取十	緣 中 單 舉 一 取 枝 也 有漏業因 者 亦 開 取 十 
T85n2762_001:0270c15	二因緣中有支而生三有者。因緣中生支欲	二 因 緣 中 有 支 而 生 三 有 者 因 緣 中 生 支 欲 
T85n2762_001:0270c16	解三界受身。愛取為緣有漏為因。而生三有	解 三 界 受 身 愛 取 為 緣 有 漏 為 因 而 生 三 有 
T85n2762_001:0270c17	者。因緣既備。三界受身故言而生三有。此明	者 因 緣 既 備 三 界 受 身 故 言 而 生 三 有 此 明 
T85n2762_001:0270c18	解四住地受生之方。如是以下解無明潤身	解 四 住 地 受 生 之 方 如 是 以 下 解 無 明 潤 身 
T85n2762_001:0270c19	之法論。其彼處智惠轉明煩惱漸微。前解感	之 法 論 其 彼 處 智 惠 轉 明 煩 惱 漸 微 前 解 感 
T85n2762_001:0270c20	後解許。具同伴相始或望其智。此是異類相	後 解 許 具 同 伴 相 始 或 望 其 智 此 是 異 類 相 
T85n2762_001:0270c21	資故。云無漏業。因無明住地為緣也。亦可	資 故 云 無 漏 業 因 無明住地 為 緣 也 亦 可 
T85n2762_001:0270c22	因三界實空解故。彼處受生故。言無漏業因。	因 三 界 實 空 解 故 彼 處 受 生 故 言 無漏業因 
T85n2762_001:0270c23	論其生死。要由煩惱也。阿羅漢以下出其種	論 其 生 死 要 由 煩 惱 也 阿 羅 漢 以 下 出 其 種 
T85n2762_001:0270c24	生死之人絕。於色界唯有智體代謝故言意	生 死 之 人 絕 於 色 界 唯 有 智 體 代 謝 故 言 意 
T85n2762_001:0270c25	生身。此三地者分段生死。彼三種者三界外	生 身 此 三 地 者 分段生死 彼 三 種 者 三 界 外 
T85n2762_001:0270c26	亦可竟生者還道。變易之人身得論分段之	亦 可 竟 生 者 還 道 變 易 之 人 身 得 論 分 段 之 
T85n2762_001:0270c27	者。三界之中治道無漏破散生死故。此時不	者 三 界 之 中 治 道 無 漏 破 散 生 死 故 此 時 不 
T85n2762_001:0270c28	破未潤彼變易受生故。煩惱時復不攝。故下	破 未 潤 彼 變 易 受 生 故 煩 惱 時 復 不 攝 故 下 
T85n2762_001:0270c29	言及無漏業生。亦遠依無明住地緣無明住	言 及 無 漏 業 生 亦 遠 依 無明住地 緣 無 明 住 
T85n2762_001:0271a01	地。四有無漏之解。亦由四住地煩惱潤生	地 四 有 無 漏 之 解 亦 由 四 住 地 煩 惱 潤 生 
T85n2762_001:0271a02	受身。果上費得。是故三種意生身。及三界	受 身 果 上 費 得 是 故 三種意生身 及 三 界 
T85n2762_001:0271a03	無漏。由無明住地。於此有緣非是無緣也。	無 漏 由 無明住地 於 此 有 緣 非 是 無 緣 也 
T85n2762_001:0271a04	世尊如是有愛住地以下。得復一周格量。下	世 尊 如 是 有 愛 住 地 以 下 得 復 一 周 格 量 下 
T85n2762_001:0271a05	煩惱不及於上故。言不與無明業因也。無	煩 惱 不 及 於 上 故 言 不 與 無 明 業 因 也 無 
T85n2762_001:0271a06	明住地異以下。得說亦地之惑勝。下煩惱	明 住 地 異 以 下 得 說 亦 地 之 惑 勝 下 煩 惱 
T85n2762_001:0271a07	佛地所斷者。業或明斷欲明此惑力強也。真	佛 地 所 斷 者 業 或 明 斷 欲 明 此 惑 力 強 也 真 
T85n2762_001:0271a08	言佛地所斷未明。以何解滅故。言菩提智	言 佛 地 所 斷 未 明 以 何 解 滅 故 言 菩 提 智 
T85n2762_001:0271a09	之所能斷。何以故唯菩提智能除二乘不能	之 所 能 斷 何 以 故 唯 菩 提 智 能 除 二 乘 不 能 
T85n2762_001:0271a10	滅也。下言羅漢辟支斷四住煩惱無者惑漏	滅 也 下 言 羅 漢 辟 支 斷 四 住 煩 惱 無 者 惑 漏 
T85n2762_001:0271a11	不盡故。不得四智作自在力亦不得涅槃作	不 盡 故 不 得 四 智 作 自 在 力 亦 不 得 涅 槃 作 
T85n2762_001:0271a12	證也。無者惑漏不盡者何者是也下言即無	證 也 無 者 惑 漏 不 盡 者 何 者 是 也 下 言 即 無 
T85n2762_001:0271a13	明住地是也。	明 住 地 是 也 
T85n2762_001:0271a14	導世以下第四段前文就四緣中解兩種生死	導 世 以 下 第 四 段 前 文 就 四 緣 中 解 兩 種 生 死 
T85n2762_001:0271a15	盡煩惱之異。自此以下正釋二種涅槃。由四	盡 煩 惱 之 異 自 此 以 下 正 釋 二 種 涅 槃 由 四 
T85n2762_001:0271a16	智故別也。羅漢辟支最後身菩薩者。此人是	智 故 別 也 羅 漢 辟 支 最後身菩薩 者 此 人 是 
T85n2762_001:0271a17	三界中七住地身故。言最後身也。為無明或	三 界 中 七 住 地 身 故 言 最 後 身 也 為 無 明 或 
T85n2762_001:0271a18	覆障故。不能玄鑒事□故。言於彼彼法不知	覆 障 故 不 能 玄 鑒 事 故 言 於 彼 彼 法 不 知 
T85n2762_001:0271a19	不覺也。彼彼者八住已上處處四諦不同故曰	不 覺 也 彼 彼 者 八 住 已 上 處 處 四 諦 不 同 故 曰 
T85n2762_001:0271a20	彼彼。故由無明煩惱彰其惡因故。見四諦境	彼 彼 故 由 無 明 煩 惱 彰 其 惡 因 故 見 四 諦 境 
T85n2762_001:0271a21	界不周見理不盡故。四智不滿。四智既不滿。	界 不 周 見 理 不 盡 故 四 智 不 滿 四 智 既 不 滿 
T85n2762_001:0271a22	涅槃亦不得究竟。如是體不自因念念無常	涅 槃 亦 不 得 究 竟 如 是 體 不 自 因 念 念 無 常 
T85n2762_001:0271a23	故名生死也。若解八住已前容有異心起惑	故 名 生 死 也 若 解 八 住 已 前 容 有 異 心 起 惑 
T85n2762_001:0271a24	故。潤生可解。今八住已上容有並照無出入	故 潤 生 可 解 今 八 住 已 上 容 有 並 照 無 出 入 
T85n2762_001:0271a25	之殊。云何用煩惱潤生也。今解心由煩惱障	之 殊 云 何 用 煩 惱 潤 生 也 今 解 心 由 煩 惱 障 
T85n2762_001:0271a26	故。見境不周觀理不盡。不得涅槃常住湛然。	故 見 境 不 周 觀 理 不 盡 不 得 涅 槃 常 住 湛 然 
T85n2762_001:0271a27	是以念念無常也。以不知見者。不見無作四	是 以 念 念 無 常 也 以 不 知 見 者 不 見 無 作 四 
T85n2762_001:0271a28	聖諦故。煩惱所應斷者不斷不究竟也。以不	聖 諦 故 煩 惱 所 應 斷 者 不 斷 不 究 竟 也 以 不 
T85n2762_001:0271a29	能斷無明煩惱故。但於三界生死有餘過中	能 斷 無 明 煩 惱 故 但 於 三 界 生 死 有 餘 過 中 
T85n2762_001:0271b01	得解脫。此明得少分煩惱盡非離一切過解	得 解 脫 此 明 得 少 分 煩 惱 盡 非 離 一 切 過 解 
T85n2762_001:0271b02	脫者。別明無量生死不生也。此明盡智也。名	脫 者 別 明 無 量 生 死 不 生 也 此 明 盡 智 也 名 
T85n2762_001:0271b03	有餘清淨已下。解不受後有智。有餘清淨者。	有 餘 清 淨 已 下 解 不 受 後 有 智 有 餘 清 淨 者 
T85n2762_001:0271b04	明其得邊。非一切清淨者。釋彼不得之所以。	明 其 得 邊 非 一 切 清 淨 者 釋 彼 不 得 之 所 以 
T85n2762_001:0271b05	成就有餘功德者。明其得少分梵行已立所	成 就 有 餘 功 德 者 明 其 得 少 分 梵 行 已 立 所 
T85n2762_001:0271b06	作以。辨非一功德者。解無量梵行不立所作	作 以 辨 非 一 功 德 者 解 無 量 梵 行 不 立 所 作 
T85n2762_001:0271b07	辨不也。自下總舉四智不滿。為欲奪第六涅	辨 不 也 自 下 總 舉 四 智 不 滿 為 欲 奪 第 六 涅 
T85n2762_001:0271b08	槃也。以成就有餘解脫舉上盡智。有餘清淨	槃 也 以 成 就 有 餘 解 脫 舉 上 盡 智 有 餘 清 淨 
T85n2762_001:0271b09	者。不受後有智中間兩智。同是無漏故。但	者 不 受 後 有 智 中 間 兩 智 同 是 無 漏 故 但 
T85n2762_001:0271b10	言有餘功德也。是故但知有餘之苦。乃至修	言 有 餘 功 德 也 是 故 但 知 有 餘 之 苦 乃 至 修 
T85n2762_001:0271b11	有餘道。是名得少分涅槃者。明其得邊名向	有 餘 道 是 名 得 少分涅槃 者 明 其 得 邊 名 向 
T85n2762_001:0271b12	涅槃界。解不得之處。上來解聲聞四智涅槃	涅 槃 界 解 不 得 之 處 上 來 解 聲 聞 四 智 涅 槃 
T85n2762_001:0271b13	不究竟所由。從若知一切苦以下。釋如來四	不 究 竟 所 由 從 若 知 一 切 苦 以 下 釋 如 來 四 
T85n2762_001:0271b14	智涅槃所滿足所以。若能知金剛已還一切	智 涅 槃 所 滿 足 所 以 若 能 知 金 剛 已 還 一 切 
T85n2762_001:0271b15	苦盡。亦能斷一切集。證一切滅。修一切道者。	苦 盡 亦 能 斷 一 切 集 證 一 切 滅 修 一 切 道 者 
T85n2762_001:0271b16	便能超絕分段生死故。言於無常壞世間。亦	便 能 超 絕 分段生死 故 言 於 無 常 壞 世 間 亦 
T85n2762_001:0271b17	超變易生死故。言無常病世間。過兩處故得	超 變易生死 故 言 無 常 病 世 間 過 兩 處 故 得 
T85n2762_001:0271b18	常住涅槃界。前聲聞為惑所障故。不見四諦	常 住 涅 槃 界 前 聲 聞 為 惑 所 障 故 不 見 四 諦 
T85n2762_001:0271b19	理周故。無常生滅如來明見理周故。得涅槃	理 周 故 無 常 生 滅 如 來 明 見 理 周 故 得 涅 槃 
T85n2762_001:0271b20	界。還府應群生於三界內無覆護世間。三界	界 還 府 應 群 生 於 三 界 內 無 覆 護 世 間 三 界 
T85n2762_001:0271b21	外無依世間。於此兩處無護者為作護。無依	外 無 依 世 間 於 此 兩 處 無 護 者 為 作 護 無 依 
T85n2762_001:0271b22	者與作依。何以能爾。下言由四智滿足故。得	者 與 作 依 何 以 能 爾 下 言 由 四 智 滿 足 故 得 
T85n2762_001:0271b23	涅槃究竟也。法無優劣者。我生已盡智平等	涅 槃 究 竟 也 法 無 優 劣 者 我 生 已 盡 智 平 等 
T85n2762_001:0271b24	智慧等故。梵行理齊解脫等故所作已辦。清	智 慧 等 故 梵 行 理 齊 解 脫 等 故 所 作 已 辦 清 
T85n2762_001:0271b25	淨等故不受後有。以是四智究竟故。涅槃一	淨 等 故 不 受 後 有 以 是 四 智 究 竟 故 涅 槃 一 
T85n2762_001:0271b26	味等味究竟平等味也　世尊以下第五段。	味 等 味 究 竟 平 等 味 也 世 尊 以 下 第 五 段 
T85n2762_001:0271b27	將明煩惱若斷涅槃應得先解。煩惱不斷故	將 明 煩 惱 若 斷 涅 槃 應 得 先 解 煩 惱 不 斷 故 
T85n2762_001:0271b28	四智不滿。涅槃亦不得。是故無明住地積聚	四 智 不 滿 涅 槃 亦 不 得 是 故 無明住地 積 聚 
T85n2762_001:0271b29	生一切煩惱。從此以下先返解。若無明住地	生 一切煩惱 從 此 以 下 先 返 解 若 無明住地 
T85n2762_001:0271c01	不斷不究竟者。還重舉上文為明下句明解	不 斷 不 究 竟 者 還 重 舉 上 文 為 明 下 句 明 解 
T85n2762_001:0271c02	脫味者。三乘經中涅槃身亡智盡故。不得言	脫 味 者 三 乘 經 中 涅 槃 身 亡 智 盡 故 不 得 言 
T85n2762_001:0271c03	明解脫。今常住大涅槃常住妙有萬境朗然	明 解 脫 今 常 住 大 涅 槃 常 住 妙 有 萬 境 朗 然 
T85n2762_001:0271c04	故。言明解脫也。何以故。無明住地不斷不得	故 言 明 解 脫 也 何 以 故 無明住地 不 斷 不 得 
T85n2762_001:0271c05	明解脫。下言無明是是種惑之本故。云無明	明 解 脫 下 言 無 明 是 是 種 惑 之 本 故 云 無 明 
T85n2762_001:0271c06	住地不斷不究竟。過恒沙等亦不斷不究竟	住 地 不 斷 不 究 竟 過 恒 沙 等 亦 不 斷 不 究 竟 
T85n2762_001:0271c07	也。何以然者。欲明根本不亡枝條不喪也。下	也 何 以 然 者 欲 明 根 本 不 亡 枝 條 不 喪 也 下 
T85n2762_001:0271c08	言過恒沙等所斷法不斷。過恒沙等四智法	言 過 恒 沙 等 所 斷 法 不 斷 過 恒 沙 等 四 智 法 
T85n2762_001:0271c09	應得不得涅槃應證不究竟不證也。以是義	應 得 不 得 涅 槃 應 證 不 究 竟 不 證 也 以 是 義 
T85n2762_001:0271c10	故。無明住地積聚生一切修道斷煩惱。此經	故 無明住地 積 聚 生 一 切 修 道 斷 煩 惱 此 經 
T85n2762_001:0271c11	明義三界中惑皆是見諦三界以外為修道	明 義 三 界 中 惑 皆 是 見 諦 三 界 以 外 為 修 道 
T85n2762_001:0271c12	故。言生一切修道斷煩惱也。此惑覆於萬行	故 言 生 一 切 修 道 斷 煩 惱 也 此 惑 覆 於 萬 行 
T85n2762_001:0271c13	之上故言上也。直言上煩惱未指其體故。次	之 上 故 言 上 也 直 言 上 煩 惱 未 指 其 體 故 次 
T85n2762_001:0271c14	言彼生心上煩惱也。亦可上言覆於萬行之	言 彼 生 心 上 煩 惱 也 亦 可 上 言 覆 於 萬 行 之 
T85n2762_001:0271c15	上來心為其本故。言彼生心上煩惱也。心之	上 來 心 為 其 本 故 言 彼 生 心 上 煩 惱 也 心 之 
T85n2762_001:0271c16	勝者不過定惠故。下言止觀上煩惱也。止者	勝 者 不 過 定 惠 故 下 言 止 觀 上 煩 惱 也 止 者 
T85n2762_001:0271c17	定之始。觀者惠之初。上雖分心作其定惠。然	定 之 始 觀 者 惠 之 初 上 雖 分 心 作 其 定 惠 然 
T85n2762_001:0271c18	定惠中各有上中下三品之殊。禪上煩惱是	定 惠 中 各 有 上 中 下 三 品 之 殊 禪 上 煩 惱 是 
T85n2762_001:0271c19	定中品。正受上者是定上品。方便者惠中品。	定 中 品 正 受 上 者 是 定 上 品 方 便 者 惠 中 品 
T85n2762_001:0271c20	智上者惠上品也。亦可止觀是總下。禪與正	智 上 者 惠 上 品 也 亦 可 止 觀 是 總 下 禪 與 正 
T85n2762_001:0271c21	受是事姓中。□方便與智是空有兩別也。果	受 是 事 姓 中 方 便 與 智 是 空 有 兩 別 也 果 
T85n2762_001:0271c22	上者涅槃為果。何故不得。由此煩惱覆故不	上 者 涅 槃 為 果 何 故 不 得 由 此 煩 惱 覆 故 不 
T85n2762_001:0271c23	得也。得上者因能獲果故名為得。此因何以	得 也 得 上 者 因 能 獲 果 故 名 為 得 此 因 何 以 
