X31n0612_001:0605a04	 妙法蓮華經序	 妙法蓮華 經 序 
X31n0612_001:0624c08	薩所說經法。受持不毀者。是人皆當得阿耨多羅三	薩 所 說 經 法 受 持 不 毀 者 是 人 皆 當 得 阿 耨 多 羅 三 
X31n0612_001:0624c09	藐三菩提如來智慧。	藐 三 菩 提 如來智慧 
X31n0612_001:0624c10	(戒環曰。三乘得妙。則同歸一乘)。	 戒 環 曰 三 乘 得 妙 則 同 歸 一 乘 
X31n0612_001:0624c11	佛告諸比丘。是十六菩薩。常樂說是妙華經。一一菩	佛 告 諸 比 丘 是 十 六 菩 薩 常 樂 說 是 妙 華 經 一 一 菩 
X31n0612_001:0624c12	薩所化六百萬億那由他恒河沙等眾生。世世所生。	薩 所 化 六 百 萬 億 那 由 他 恒 河 沙 等 眾 生 世 世 所 生 
X31n0612_001:0624c13	與菩薩俱。從其聞法。悉皆信解。以此因緣。得值四萬	與 菩 薩 俱 從 其 聞 法 悉 皆 信 解 以 此 因 緣 得 值 四 萬 
X31n0612_001:0624c14	億諸佛世尊。于今不盡。	億 諸佛世尊 于 今 不 盡 
X31n0612_001:0624c15	(戒環曰。徵昔所化。會今之緣也。所化之眾常與師俱	 戒 環 曰 徵 昔 所 化 會 今 之 緣 也 所 化 之 眾 常 與 師 俱 
X31n0612_001:0624c16	者。為化緣深故。以是得值億萬多佛。其緣未盡。今復	者 為 化 緣 深 故 以 是 得 值 億 萬 多 佛 其 緣 未 盡 今 復 
X31n0612_001:0624c17	相值)。	相 值 
X31n0612_001:0624c18	諸比丘。我今與汝。彼佛弟子十六沙彌。今皆得阿耨	諸 比 丘 我 今 與 汝 彼 佛 弟 子 十 六 沙 彌 今 皆 得 阿 耨 
X31n0612_001:0624c19	多羅三藐三菩提。於十方國土現在說法。有無量百	多 羅 三藐三菩提 於 十 方 國 土 現 在 說 法 有 無 量 百 
X31n0612_001:0624c20	千萬億菩薩聲聞。以為眷屬。其二沙彌東方作佛。一	千 萬 億 菩 薩 聲 聞 以 為 眷 屬 其 二 沙 彌 東 方 作 佛 一 
X31n0612_001:0624c21	名阿閦(音畜)。在歡喜國。二名須彌頂。	名 阿 閦 音 畜 在 歡 喜 國 二 名 須 彌 頂 
X31n0612_001:0624c22	(祥邁曰。經云毀譽不動如須彌。此佛出應群動。而其	 祥 邁 曰 經 云 毀 譽 不 動 如 須 彌 此 佛 出 應 群 動 而 其 
X31n0612_001:0624c23	體無動。又在動國。示即動而靜也。二佛並化。其德相	體 無 動 又 在 動 國 示 即 動 而 靜 也 二 佛 並 化 其 德 相 
X31n0612_001:0624c24	資。故雖二名。可以合釋)。	資 故 雖 二 名 可 以 合 釋 
X31n0612_001:0624c25	戒環曰。陳十六王子成佛名迹也。天地設位。道運	戒 環 曰 陳 十 六 王 子 成 佛 名 迹 也 天 地 設 位 道 運 
X31n0612_001:0624c26	乎其中。聖人法之。以開物成務。冐天下之道。故八	乎 其 中 聖 人 法 之 以 開 物 成 務 冐 天 下 之 道 故 八 
X31n0612_001:0625a01	方之佛。各依一方而示一德。所以開物。所以成物。	方 之 佛 各 依 一 方 而 示 一 德 所 以 開 物 所 以 成 物 
X31n0612_001:0625a02	原始要終。則天下之道。無不冐矣。東方震為動。歡	原 始 要 終 則 天 下 之 道 無 不 冐 矣 東 方 震 為 動 歡 
X31n0612_001:0625a03	喜亦動也。阿閦云無動。須彌頂。又無動之極也。	喜 亦 動 也 阿 閦 云 無 動 須 彌 頂 又 無 動 之 極 也 
X31n0612_001:0625a04	東南方二佛。一名師子音。二名師子相。	東 南 方 二 佛 一 名 師 子 音 二 名 師 子 相 
X31n0612_001:0625a05	(及南曰。此佛以慈柔應物。以無畏說法)。	 及 南 曰 此 佛 以 慈 柔 應 物 以 無 畏 說 法 
X31n0612_001:0625a06	戒環曰。東南巽為柔順。師子音者。所說無畏。師子	戒 環 曰 東 南 巽 為 柔 順 師 子 音 者 所 說 無 畏 師 子 
X31n0612_001:0625a07	相者。所示無畏。	相 者 所 示 無 畏 
X31n0612_001:0625a08	南方二佛。一名虗空住。二名常滅。	南 方 二 佛 一 名 虗 空 住 二 名 常 滅 
X31n0612_001:0625a09	(及南曰。不復更滅。是謂常滅)。	 及 南 曰 不 復 更 滅 是 謂 常 滅 
X31n0612_001:0625a10	戒環曰。南方離為虗明。虗空住者。體至虗。以應群	戒 環 曰 南 方 離 為 虗 明 虗 空 住 者 體 至 虗 以 應 群 
X31n0612_001:0625a11	實也。常滅者。了一切法。當體虗凝。即寂滅相。	實 也 常 滅 者 了 一 切 法 當 體 虗 凝 即 寂 滅 相 
X31n0612_001:0625a12	西南方二佛。一名帝相。二名梵相。	西 南 方 二 佛 一 名 帝 相 二 名 梵 相 
X31n0612_001:0625a13	(及南曰。此佛以神應物。物資以生。而其德常淨。不累	 及 南 曰 此 佛 以 神 應 物 物 資 以 生 而 其 德 常 淨 不 累 
X31n0612_001:0625a14	於物)。	於 物 
X31n0612_001:0625a15	戒環曰。西南坤為資生。帝相者。神出而應物為帝。	戒 環 曰 西 南 坤 為 資 生 帝 相 者 神 出 而 應 物 為 帝 
X31n0612_001:0625a16	梵淨也。	梵 淨 也 
X31n0612_001:0625a17	西方二佛。一名阿彌陀。二名度一切世間苦惱。	西 方 二 佛 一 名 阿 彌 陀 二 名 度 一切世間 苦 惱 
X31n0612_001:0625a18	(及南曰。此佛於毀拆之際。示無量壽。則了無生死。以	 及 南 曰 此 佛 於 毀 拆 之 際 示 無 量 壽 則 了 無 生 死 以 
X31n0612_001:0625a19	救度世間生死苦惱)。	救 度 世 間 生 死 苦 惱 
X31n0612_001:0625a20	戒環曰。西方兌為毀拆。阿彌陀。云無量壽。世間苦	戒 環 曰 西 方 兌 為 毀 拆 阿 彌 陀 云 無 量 壽 世 間 苦 
X31n0612_001:0625a21	惱。即生死無常也。	惱 即 生 死 無 常 也 
X31n0612_001:0625a22	西北方二佛。一名多摩羅跋旃檀香神通。二名須彌	西 北 方 二 佛 一 名 多摩羅跋 旃 檀 香 神 通 二 名 須 彌 
X31n0612_001:0625a23	相。	相 
X31n0612_001:0625a24	(及南曰。此佛神通應物。如乾道不息。寂然不動。感而	 及 南 曰 此 佛 神 通 應 物 如 乾 道 不 息 寂 然 不 動 感 而 
X31n0612_001:0625a25	遂通)。	遂 通 
X31n0612_001:0625a26	戒環曰。西北乾為剛徤。多摩羅旃檀香。清遠潛通。	戒 環 曰 西 北 乾 為 剛 徤 多 摩 羅 旃 檀 香 清 遠 潛 通 
X31n0612_001:0625b01	以比神通。須彌相。亦無動義。	以 比 神 通 須 彌 相 亦 無 動 義 
X31n0612_001:0625b02	北方二佛。一名雲自在。二名雲自在王。	北 方 二 佛 一 名 雲 自 在 二 名 雲 自 在 王 
X31n0612_001:0625b03	(及南曰。此佛以無緣慈。覆陰利澤險難眾生。而無心	 及 南 曰 此 佛 以 無 緣 慈 覆 陰 利 澤 險 難 眾 生 而 無 心 
X31n0612_001:0625b04	無着。如雲之自在)。	無 着 如 雲 之 自 在 
X31n0612_001:0625b05	戒環曰。北方坎為險陷。雲自在。謂無心而利物。雲	戒 環 曰 北 方 坎 為 險 陷 雲 自 在 謂 無 心 而 利 物 雲 
X31n0612_001:0625b06	自在王。又自在之至也。	自 在 王 又 自 在 之 至 也 
X31n0612_001:0625b07	東北方佛。名壞一切世間怖畏。	東 北 方 佛 名 壞 一切世間 怖 畏 
X31n0612_001:0625b08	(此佛於生死畏中。以一真凝常。開覺群物。使入於不	 此 佛 於 生 死 畏 中 以 一 真 凝 常 開 覺 群 物 使 入 於 不 
X31n0612_001:0625b09	死不生。則怖畏壞矣)。	死 不 生 則 怖 畏 壞 矣 
X31n0612_001:0625b10	戒環曰。東北艮。為萬物成始成終之所。始終之理。	戒 環 曰 東 北 艮 為 萬 物 成 始 成 終 之 所 始 終 之 理 
X31n0612_001:0625b11	在物為成壞。在人為生死。乃世間之所怖畏也。	在 物 為 成 壞 在 人 為 生 死 乃 世 間 之 所 怖 畏 也 
X31n0612_001:0625b12	第十六我釋迦牟尼佛。於娑婆國土。成阿耨多羅三	第 十 六 我 釋 迦 牟 尼 佛 於 娑 婆 國 土 成 阿 耨 多 羅 三 
X31n0612_001:0625b13	藐三菩提。	藐 三 菩 提 
X31n0612_001:0625b14	(或曰。八卦乃中夏之書。引配竺教。豈佛意耶。及南曰。	 或 曰 八 卦 乃 中 夏 之 書 引 配 竺 教 豈 佛 意 耶 及 南 曰 
X31n0612_001:0625b15	竺夏一天下耳。壃畿所及。方位所同。卦乃天地自然	竺 夏 一 天 下 耳 壃 畿 所 及 方 位 所 同 卦 乃 天 地 自 然 
X31n0612_001:0625b16	之理。獨不同哉。伏羲畫以示人。吾佛象以設法。各默	之 理 獨 不 同 哉 伏 羲 畫 以 示 人 吾 佛 象 以 設 法 各 默 
X31n0612_001:0625b17	得其同耳。今經雖無八卦之文。顯有八方之象。借事	得 其 同 耳 今 經 雖 無 八 卦 之 文 顯 有 八 方 之 象 借 事 
X31n0612_001:0625b18	明理。烏乎不可)。	明 理 烏 乎 不 可 
X31n0612_001:0625b19	戒環曰。釋迦牟尼。云能仁寂默。謂其德仁濟群類。	戒 環 曰 釋 迦 牟 尼 云 能 仁 寂 默 謂 其 德 仁 濟 群 類 
X31n0612_001:0625b20	其道寂默無為。以示化堪忍。故號能仁。此繼東北	其 道 寂 默 無 為 以 示 化 堪 忍 故 號 能 仁 此 繼 東 北 
X31n0612_001:0625b21	方而特標者。大覺雖具成始成終之德。而其道圓	方 而 特 標 者 大 覺 雖 具 成 始 成 終 之 德 而 其 道 圓 
X31n0612_001:0625b22	應。不滯方隅。無始無終。為眾德之總故也。盖自無	應 不 滯 方 隅 無 始 無 終 為 眾 德 之 總 故 也 盖 自 無 
X31n0612_001:0625b23	動而出應群動。能柔能剛。說示無畏。虗己應物。現	動 而 出 應 群 動 能 柔 能 剛 說 示 無 畏 虗 己 應 物 現 
X31n0612_001:0625b24	壽運神。乃至濟險滅怖。無非釋迦隨宜之行。故歷	壽 運 神 乃 至 濟 險 滅 怖 無 非 釋 迦 隨 宜 之 行 故 歷 
X31n0612_001:0625b25	言八方佛德。而以釋迦總之。斯乃範圍天地。曲成	言 八 方 佛 德 而 以 釋 迦 總 之 斯 乃 範 圍 天 地 曲 成 
X31n0612_001:0625b26	萬物。無方無體之至德也。非成無上正道。何以與	萬 物 無 方 無 體 之 至 德 也 非 成 無 上 正 道 何 以 與 
X31n0612_001:0625c01	此。故曰釋迦牟尼於娑婆國成阿耨菩提。	此 故 曰 釋 迦 牟 尼 於 娑 婆 國 成 阿耨菩提 
X31n0612_001:0625c02	諸比丘。我等為沙彌時。各各教化無量百千萬億恒	諸 比 丘 我 等 為 沙 彌 時 各 各 教 化 無量百千萬億 恒 
X31n0612_001:0625c03	河沙等眾生。從我聞法。為阿耨多羅三藐三菩提。此	河 沙 等 眾 生 從 我 聞 法 為 阿耨多羅三藐三菩提 此 
X31n0612_001:0625c04	諸眾生。于今有住聲聞地者。我常教化阿耨多羅三	諸 眾 生 于 今 有 住 聲 聞 地 者 我 常 教 化 阿 耨 多 羅 三 
X31n0612_001:0625c05	藐三菩提。是諸人等。應以漸入佛道。	藐 三 菩 提 是 諸 人 等 應 以 漸 入 佛 道 
X31n0612_001:0625c06	(戒環曰。明昔因今緣。使知功行已深。而成就之也。舉	 戒 環 曰 明 昔 因 今 緣 使 知 功 行 已 深 而 成 就 之 也 舉 
X31n0612_001:0625c07	為沙彌所化。明昔因也。于今所化。明今緣也。應以是	為 沙 彌 所 化 明 昔 因 也 于 今 所 化 明 今 緣 也 應 以 是 
X31n0612_001:0625c08	法漸入佛道。即成就之也)。	法 漸 入 佛 道 即 成 就 之 也 
X31n0612_001:0625c09	所以者何。如來智慧。難信難解。	所以者何 如來智慧 難 信 難 解 
X31n0612_001:0625c10	(祥邁曰。釋上既曠劫蒙教。今猶漸入者。以如來智慧	 祥 邁 曰 釋 上 既 曠 劫 蒙 教 今 猶 漸 入 者 以 如來智慧 
X31n0612_001:0625c11	難信解故)。	難 信 解 故 
X31n0612_001:0625c12	戒環曰。眾生莫不有如來智慧。而難解若此者。塵	戒 環 曰 眾 生 莫 不 有 如來智慧 而 難 解 若 此 者 塵 
X31n0612_001:0625c13	習自障故也。以今人觀之。幸聞正法。不無宿因。安	習 自 障 故 也 以 今 人 觀 之 幸 聞 正 法 不 無 宿 因 安 
X31n0612_001:0625c14	知吾徒非智勝之遺塵。非未來之弟子。然緣障尚	知 吾 徒 非 智 勝 之 遺 塵 非 未 來 之 弟 子 然 緣 障 尚 
X31n0612_001:0625c15	稠。道果渺邈。即曠劫蒙教。今猶漸入者也。若能勤	稠 道 果 渺 邈 即 曠 劫 蒙 教 今 猶 漸 入 者 也 若 能 勤 
X31n0612_001:0625c16	進。猶可庶幾。設復退墮。又安知未來之期。比前塵	進 猶 可 庶 幾 設 復 退 墮 又 安 知 未 來 之 期 比 前 塵 
X31n0612_001:0625c17	劫。不復過於是數耶。然則所謂難解者。非佛智之	劫 不 復 過 於 是 數 耶 然 則 所 謂 難 解 者 非 佛 智 之 
X31n0612_001:0625c18	難。機自難耳。	難 機 自 難 耳 
X31n0612_001:0625c19	諸比丘。若如來自知涅槃時到。眾又清淨。信解堅固。	諸 比 丘 若 如 來 自 知 涅 槃 時 到 眾 又 清 淨 信 解 堅 固 
X31n0612_001:0625c20	了達空法。深入禪定。便集諸菩薩及聲聞眾。為說是	了 達 空 法 深 入 禪 定 便 集 諸 菩 薩 及 聲 聞 眾 為 說 是 
X31n0612_001:0625c21	經。世間無有二乘而得滅度。唯一佛乘得滅度耳。	經 世 間 無 有 二 乘 而 得 滅 度 唯 一 佛 乘 得 滅 度 耳 
X31n0612_001:0625c22	(及南曰。前明始權。此會終實也)。(祥邁曰。無有二乘。	 及 南 曰 前 明 始 權 此 會 終 實 也 祥 邁 曰 無 有 二 乘 
X31n0612_001:0625c23	即前更無餘乘意也)。	即 前 更 無 餘 乘 意 也 
X31n0612_001:0625c24	戒環曰。涅槃時到。言化緣將畢。眾又清淨。言根機	戒 環 曰 涅 槃 時 到 言 化 緣 將 畢 眾 又 清 淨 言 根 機 
X31n0612_001:0625c25	已熟。眾清淨者。已於藏教斷惑除結也。信堅固者。	已 熟 眾 清 淨 者 已 於 藏 教 斷 惑 除 結 也 信 堅 固 者 
X31n0612_001:0625c26	已於通教心相體信也。了達空法。謂已悟般若。深	已 於 通 教 心 相 體 信 也 了 達 空 法 謂 已 悟 般 若 深 
X31n0612_001:0626a01	入禪定。謂妙造玄源。如此則諸病已除。醫方亦遣。	入 禪 定 謂 妙 造 玄 源 如 此 則 諸 病 已 除 醫 方 亦 遣 
X31n0612_001:0626a02	故廢三權。特明一實。得滅度者。得真常道果也。	故 廢 三 權 特 明 一 實 得滅度者 得 真 常 道 果 也 
X31n0612_001:0626a03	比丘當知。如來方便。深入眾生之性。知其志樂小法。	比 丘 當 知 如 來 方 便 深 入 眾 生 之 性 知 其 志 樂 小 法 
X31n0612_001:0626a04	深著五欲。為是等故。說於涅槃。是人若聞。則便信受。	深 著 五 欲 為 是 等 故 說 於 涅 槃 是 人 若 聞 則 便 信 受 
X31n0612_001:0626a05	(戒環曰。為樂小者。權說小果。彼便信受。如滯化城)。	 戒 環 曰 為 樂 小 者 權 說 小 果 彼 便 信 受 如 滯 化 城 
X31n0612_001:0626a06	譬如五百由旬。險難惡道。曠絕無人。怖畏之處。	譬 如 五 百 由 旬 險 難 惡 道 曠 絕 無 人 怖 畏 之 處 
X31n0612_001:0626a07	(及南曰。譬諸生死煩惱惡道險難長遠也)。(祥邁曰。	 及 南 曰 譬 諸 生 死 煩 惱 惡 道 險 難 長 遠 也 祥 邁 曰 
X31n0612_001:0626a08	曠絕無人等。譬生死長遠。無真知見。妄起怖畏)。	曠 絕 無 人 等 譬 生 死 長 遠 無 真 知 見 妄 起 怖 畏 
X31n0612_001:0626a09	戒環曰。五百由旬。舊說尤多。今取二乘斷三界結	戒 環 曰 五 百 由 旬 舊 說 尤 多 今 取 二 乘 斷 三 界 結 
X31n0612_001:0626a10	惑。離分段生死。證有餘涅槃。是過三百由旬。而至	惑 離 分段生死 證 有餘涅槃 是 過 三 百 由 旬 而 至 
X31n0612_001:0626a11	化城。然常滯變易生死。若回心向大。進至七地。斷	化 城 然 常 滯 變易生死 若 回 心 向 大 進 至 七 地 斷 
X31n0612_001:0626a12	盡習氣。是過四百由旬。近於寶所。又進八地已上	盡 習 氣 是 過 四 百 由 旬 近 於 寶 所 又 進 八 地 已 上 
X31n0612_001:0626a13	斷盡無明。離變易生死。證無餘涅槃。是過五百由	斷 盡 無 明 離 變易生死 證 無餘涅槃 是 過 五 百 由 
X31n0612_001:0626a14	旬到寶所也。	旬 到 寶 所 也 
X31n0612_001:0626a15	若有多眾。欲過此道。至珍寶處。有一導師。聰慧明達。	若 有 多 眾 欲 過 此 道 至 珍 寶 處 有 一 導 師 聰 慧 明 達 
X31n0612_001:0626a16	善知險道通塞之相。將導眾人。欲過此難。	善 知 險 道 通 塞 之 相 將 導 眾 人 欲 過 此 難 
X31n0612_001:0626a17	(戒環曰。若有眾多三句。譬三乘求佛者)。(又曰。善則	 戒 環 曰 若 有 眾 多 三 句 譬 三 乘 求 佛 者 又 曰 善 則 
X31n0612_001:0626a18	通。惡則塞。乃可無難)。	通 惡 則 塞 乃 可 無 難 
X31n0612_001:0626a19	戒環曰。導師。指津之人。譬釋尊也。通斯進之。塞斯	戒 環 曰 導 師 指 津 之 人 譬 釋 尊 也 通 斯 進 之 塞 斯 
X31n0612_001:0626a20	止之。通譬斷惑。塞譬起障。	止 之 通 譬 斷 惑 塞 譬 起 障 
X31n0612_001:0626a21	所將人眾。中路懈退。白道師言。我等疲極。而復怖畏。	所 將 人 眾 中 路 懈 退 白 道 師 言 我 等 疲 極 而 復 怖 畏 
X31n0612_001:0626a22	不能復退。前路猶遠。今欲退還。	不 能 復 退 前 路 猶 遠 今 欲 退 還 
X31n0612_001:0626a23	(戒環曰。譬二乘求道。難進易退)。	 戒 環 曰 譬 二 乘 求 道 難 進 易 退 
X31n0612_001:0626a24	導師多諸方便。而作是念。此等可愍。云何捨大珍寶。	導 師 多 諸 方 便 而 作 是 念 此 等 可 愍 云 何 捨 大 珍 寶 
X31n0612_001:0626a25	而欲退還。作是念已。以方便力。於險道中。過三百由	而 欲 退 還 作 是 念 已 以 方 便 力 於 險 道 中 過 三 百 由 
X31n0612_001:0626b01	旬。化作一城。告眾人言。汝等勿怖。莫得退還。今此大	旬 化 作 一 城 告 眾 人 言 汝 等 勿 怖 莫 得 退 還 今 此 大 
X31n0612_001:0626b02	城。可於中止。隨意所作。若入是城。快得安隱。若能前	城 可 於 中 止 隨 意 所 作 若 入 是 城 快 得 安 隱 若 能 前 
X31n0612_001:0626b03	至寶所。亦可得去。	至 寶 所 亦 可 得 去 
X31n0612_001:0626b04	(戒環曰。譬因二乘斷三界結惑后。息以小果。而進之	 戒 環 曰 譬 因 二 乘 斷 三 界 結 惑 后 息 以 小 果 而 進 之 
X31n0612_001:0626b05	智地也。隨意所作。即任力所能。漸得入道之義)。	智 地 也 隨 意 所 作 即 任 力 所 能 漸 得 入 道 之 義 
X31n0612_001:0626b06	是時疲極之眾。心大歡喜。嘆未曾有。我等今者。勉斯	是 時 疲 極 之 眾 心大歡喜 嘆 未 曾 有 我 等 今 者 勉 斯 
X31n0612_001:0626b07	惡道。快得安隱。	惡 道 快 得 安 隱 
X31n0612_001:0626b08	(戒環曰。稱願息之心故也)。	 戒 環 曰 稱 願 息 之 心 故 也 
X31n0612_001:0626b09	爾時導師。知此人眾。既得止息。無復疲倦。即滅化城。	爾 時 導 師 知 此 人 眾 既 得 止 息 無 復 疲 倦 即 滅 化 城 
X31n0612_001:0626b10	語眾人言。汝等去來。寶處在近。向者大城。我所化作。	語 眾 人 言 汝 等 去 來 寶 處 在 近 向 者 大 城 我 所 化 作 
X31n0612_001:0626b11	為止息耳。	為 止 息 耳 
X31n0612_001:0626b12	(化非真有。故斯須即滅。唯寶所為真。權非實有。故終	 化 非 真 有 故 斯 須 即 滅 唯 寶 所 為 真 權 非 實 有 故 終 
X31n0612_001:0626b13	竟而廢。唯一乘為實)。	竟 而 廢 唯 一 乘 為 實 
X31n0612_001:0626b14	諸比丘。如來亦復如是。今為汝等作大導師。知諸生	諸 比 丘 如 來 亦復如是 今 為 汝 等 作 大 導 師 知 諸 生 
X31n0612_001:0626b15	死煩惱。惡道險難長遠。應去應度。若眾生。但聞一佛	死 煩 惱 惡 道 險 難 長 遠 應 去 應 度 若 眾 生 但 聞 一 佛 
X31n0612_001:0626b16	乘者。則不欲見佛。不欲親近。便作是念。佛道長遠。久	乘 者 則 不 欲 見 佛 不 欲 親 近 便 作 是 念 佛 道 長 遠 久 
X31n0612_001:0626b17	受勤苦。乃可得成。	受 勤 苦 乃 可 得 成 
X31n0612_001:0626b18	(及南曰。上言惡道長遠。此言佛道長遠者。上以正見	 及 南 曰 上 言 惡 道 長 遠 此 言 佛 道 長 遠 者 上 以 正 見 
X31n0612_001:0626b19	觀眾生。此以倒見觀佛道故也)。(又曰。苟無生死無	觀 眾 生 此 以 倒 見 觀 佛 道 故 也 又 曰 苟 無 生 死 無 
X31n0612_001:0626b20	惑業。則常體凝淨。何復何治。長遠之見切苦之功了	惑 業 則 常 體 凝 淨 何 復 何 治 長 遠 之 見 切 苦 之 功 了 
X31n0612_001:0626b21	無。此致咎佛道。遂生懈退。大覺所以敘其倒見而誘	無 此 致 咎 佛 道 遂 生 懈 退 大 覺 所 以 敘 其 倒 見 而 誘 
X31n0612_001:0626b22	進之)。	進 之 
X31n0612_001:0626b23	戒環曰。若但聞一乘。而無權濟。則厭大而不欲見	戒 環 曰 若 但 聞 一 乘 而 無 權 濟 則 厭 大 而 不 欲 見 
X31n0612_001:0626b24	佛。憚煩而憂其道遠。故須權濟也。佛道初不遠人。	佛 憚 煩 而 憂 其 道 遠 故 須 權 濟 也 佛 道 初 不 遠 人 
X31n0612_001:0626b25	本無修證。特由生死背馳。復之之難。故見其長遠。	本 無 修 證 特 由 生 死 背 馳 復 之 之 難 故 見 其 長 遠 
X31n0612_001:0626b26	惑業積障。治之之難。故見其勤苦。則長遠勤苦。由	惑 業 積 障 治 之 之 難 故 見 其 勤 苦 則 長 遠 勤 苦 由 
X31n0612_001:0626c01	倒妄起。何關於道哉。	倒 妄 起 何 關 於 道 哉 
X31n0612_001:0626c02	佛知是心怯弱下劣。以方便力。而於中道為止息故。	佛 知 是 心 怯 弱 下 劣 以 方 便 力 而 於 中 道 為 止 息 故 
X31n0612_001:0626c03	說二涅槃。若眾生住於二地。如來爾時。即便為說。汝	說 二 涅 槃 若 眾 生 住 於 二 地 如 來 爾 時 即 便 為 說 汝 
X31n0612_001:0626c04	等所作未辦。汝所住地。近於佛慧。當觀察籌量。所得	等 所 作 未 辦 汝 所 住 地 近 於 佛 慧 當 觀 察 籌 量 所 得 
X31n0612_001:0626c05	涅槃。非真實也。但是如來方便之力。於一佛乘。分別	涅 槃 非 真 實 也 但 是 如 來 方 便 之 力 於 一 佛 乘 分 別 
X31n0612_001:0626c06	說三。如彼導師為止息故。化作大城。既知息已。而告	說 三 如 彼 導 師 為 止 息 故 化 作 大 城 既 知 息 已 而 告 
X31n0612_001:0626c07	之言。寶處在近。此城非實。我化作耳。	之 言 寶 處 在 近 此 城 非 實 我 化 作 耳 
X31n0612_001:0626c08	(戒環曰。中道。即大小乘之中間也。二涅槃。即二乘涅	 戒 環 曰 中 道 即 大 小 乘 之 中 間 也 二 涅 槃 即 二 乘 涅 
X31n0612_001:0626c09	槃。云下二地是也)。(又曰。住於二地。謂滯二乘權果。	槃 云 下 二 地 是 也 又 曰 住 於 二 地 謂 滯 二 乘 權 果 
X31n0612_001:0626c10	而不知進。故語之佛慧。令觀察籌量。而進取實果也)。	而 不 知 進 故 語 之 佛 慧 令 觀 察 籌 量 而 進 取 實 果 也 
X31n0612_001:0626c11	○五百弟子授記品第八	 五 百 弟 子 授 記 品 第 八 
X31n0612_001:0626c12	此滿慈與五百羅漢。隨機領悟。佛為述成與記。	此 滿 慈 與 五 百 羅 漢 隨 機 領 悟 佛 為 述 成 與 記 
X31n0612_001:0626c13	爾時富樓那彌多羅尼子。從佛聞是智慧方便隨宜	爾 時 富 樓 那 彌 多 羅 尼 子 從 佛 聞 是 智慧方便 隨 宜 
X31n0612_001:0626c14	說法。又聞授諸大弟子阿耨多羅三藐三菩提記。復	說 法 又 聞 授 諸 大 弟 子 阿耨多羅三藐三菩提 記 復 
X31n0612_001:0626c15	聞宿世因緣之事。復聞諸佛有大自在神通之力。得	聞 宿 世 因 緣 之 事 復 聞 諸 佛 有 大 自 在 神 通 之 力 得 
X31n0612_001:0626c16	未曾有。心淨踊躍。即從座起。到於佛前。頭面禮足。却	未 曾 有 心 淨 踊 躍 即 從 座 起 到 於 佛 前 頭面禮足 却 
X31n0612_001:0626c17	住一面。瞻仰尊顏。目不蹔捨。	住 一 面 瞻 仰 尊 顏 目 不 蹔 捨 
X31n0612_001:0626c18	(戒環曰。聞方便隨宜。通領三周之說也。又聞大記。通	 戒 環 曰 聞 方 便 隨 宜 通 領 三 周 之 說 也 又 聞 大 記 通 
X31n0612_001:0626c19	領舍利弗等受記事也。復聞因緣。即別領大通之事。	領 舍 利 弗 等 受 記 事 也 復 聞 因 緣 即 別 領 大 通 之 事 
X31n0612_001:0626c20	復聞神力。別領導師神化之事。罕聞故得未曾有。惑	復 聞 神 力 別 領 導 師 神 化 之 事 罕 聞 故 得未曾有 惑 
X31n0612_001:0626c21	除故心淨踊躍)。	除 故 心 淨 踊 躍 
X31n0612_001:0626c22	而作是念。世尊甚奇特。所為希有。隨順世間若干種	而 作 是 念 世 尊 甚 奇 特 所 為 希 有 隨順世間 若 干 種 
X31n0612_001:0626c23	性。以方便知見。而為說法。拔出眾生處處貪著。我等	性 以 方 便 知 見 而 為 說 法 拔 出 眾 生 處 處 貪 著 我 等 
X31n0612_001:0626c24	於佛功德。言不能宣。唯佛世尊。能知我等深心本願。	於 佛 功 德 言 不 能 宣 唯佛世尊 能 知 我 等 深 心 本 願 
X31n0612_001:0626c25	(前乃經家敘置。此正滿慈之蹄。深心本願。謂精進護	 前 乃 經 家 敘 置 此 正 滿 慈 之 蹄 深 心 本 願 謂 精 進 護 
X31n0612_001:0626c26	持助宣佛法。乃至過去未來助宣之士。非謂願求記	持 助 宣 佛 法 乃 至 過去未來 助 宣 之 士 非 謂 願 求 記 
X31n0612_001:0626c27	也)。	也 
X31n0612_001:0627a01	戒環曰。言奇特希有。至處處貪著。總嘆三周說法	戒 環 曰 言 奇 特 希 有 至 處 處 貪 著 總 嘆 三 周 說 法 
X31n0612_001:0627a02	也。我等於佛功德言不能宣。總歎授記。乃至導師	也 我 等 於 佛 功 德 言 不 能 宣 總 歎 授 記 乃 至 導 師 
X31n0612_001:0627a03	神化之德。不能備宣也。唯佛世尊已下。申本願而	神 化 之 德 不 能 備 宣 也 唯佛世尊 已 下 申 本 願 而 
X31n0612_001:0627a04	誓護持也。	誓 護 持 也 
X31n0612_001:0627a05	爾時佛告諸比丘。汝等見是富樓那彌多羅尼子不。	爾 時 佛 告 諸 比 丘 汝 等 見 是 富 樓 那 彌 多 羅 尼 子 不 
X31n0612_001:0627a06	我常稱其於說法人中。最為第一。亦常歎其種種功	我 常 稱 其 於 說 法 人 中 最 為 第 一 亦 常 歎 其 種 種 功 
X31n0612_001:0627a07	德。精進護持。助宣我法。能於四眾示教利喜。具足解	德 精 進 護 持 助 宣 我 法 能 於 四 眾 示 教 利 喜 具 足 解 
