T85n2768_001:0329a03	維摩義記	維 摩 義 記 
T85n2768_001:0333b09	著。更有生著者。何謂是以下出禪中生著淨	著 更 有 生 著 者 何 謂 是 以 下 出 禪 中 生 著 淨 
T85n2768_001:0333b10	土中生著空中生著。悲下有四句大判。住前	土 中 生 著 空 中 生 著 悲 下 有 四 句 大 判 住 前 
T85n2768_001:0333b11	菩薩以為縛。初住以上名為解。所以住前為	菩 薩 以 為 縛 初 住 以 上 名 為 解 所 以 住 前 為 
T85n2768_001:0333b12	縛者。明此菩薩具煩惱性。未得無始能伏斷。	縛 者 明 此 菩 薩 具 煩 惱 性 未 得 無 始 能 伏 斷 
T85n2768_001:0333b13	未能永斷。名世間道。是故於空有觀行不能	未 能 永 斷 名 世 間 道 是 故 於 空 有 觀 行 不 能 
T85n2768_001:0333b14	不著。著故名縛。所以名初住以上為解者。十	不 著 著 故 名 縛 所 以 名 初 住 以 上 為 解 者 十 
T85n2768_001:0333b15	住經云。是人能永斷煩惱已得無漏。捨世間	住 經 云 是 人 能 永 斷 煩 惱 已 得 無 漏 捨 世 間 
T85n2768_001:0333b16	道入出世間道。生在佛家。名空理為佛家種	道 入 出 世 間 道 生 在 佛 家 名 空 理 為 佛 家 種 
T85n2768_001:0333b17	性。無可幾嫌。是故於空有不著得名為解。	性 無 可 幾 嫌 是 故 於 空 有 不 著 得 名 為 解 
T85n2768_001:0333b18	無方便者。無初住無相方便。有方便者。據初	無 方 便 者 無 初 住 無 相 方 便 有 方 便 者 據 初 
T85n2768_001:0333b19	住語。無惠方便縛者。無初住觀空惠。言有	住 語 無 惠 方 便 縛 者 無 初 住 觀 空 惠 言 有 
T85n2768_001:0333b20	者。亦據初住語正。以有中不亡相。於空亦有	者 亦 據 初 住 語 正 以 有 中 不 亡 相 於 空 亦 有 
T85n2768_001:0333b21	著。若存著空緣。有亦不亡於有。若亡於空緣	著 若 存 著 空 緣 有 亦 不 亡 於 有 若 亡 於 空 緣 
T85n2768_001:0333b22	有亦不存。所以爾者。空有相資故也。若爾以	有 亦 不 存 所 以 爾 者 空 有 相 資 故 也 若 爾 以 
T85n2768_001:0333b23	住二縛據性種解行。二解在於初住以上也。	住 二 縛 據 性 種 解 行 二 解 在 於 初 住 以 上 也 
T85n2768_001:0333b24	又一家解。無方便有方便有惠無惠。皆是性	又 一 家 解 無 方 便 有 方 便 有 惠 無 惠 皆 是 性 
T85n2768_001:0333b25	種性有資不資。若菩薩於有中生著不能亡	種 性 有 資 不 資 若 菩 薩 於 有 中 生 著 不 能 亡 
T85n2768_001:0333b26	相。後入於空依然生著。何以而然。別無有中	相 後 入 於 空 依 然 生 著 何 以 而 然 別 無 有 中 
T85n2768_001:0333b27	方便資也。若能於有中不存其著。後入於空	方 便 資 也 若 能 於 有 中 不 存 其 著 後 入 於 空 
T85n2768_001:0333b28	亦不生著。何以而然。由前有中方便資故得	亦 不 生 著 何 以 而 然 由 前 有 中 方 便 資 故 得 
T85n2768_001:0333b29	其爾。無惠方便縛者。明彼菩薩雖住於空而	其 爾 無 惠 方 便 縛 者 明 彼 菩 薩 雖 住 於 空 而 
T85n2768_001:0333c01	於空惠不成就也。不斷貪欲故言住貪欲。後	於 空 惠 不 成 就 也 不 斷 貪 欲 故 言 住 貪 欲 後 
T85n2768_001:0333c02	至有中無此空惠資。有中而生於著縛於行	至 有 中 無 此 空 惠 資 有 中 而 生 於 著 縛 於 行 
T85n2768_001:0333c03	者。故言無惠方便縛。有惠方便解者。能於	者 故 言 無 惠 方 便 縛 有 惠 方 便 解 者 能 於 
T85n2768_001:0333c04	空中不存於著斷貪欲。後至有中而不生著	空 中 不 存 於 著 斷 貪 欲 後 至 有 中 而 不 生 著 
T85n2768_001:0333c05	不縛行者。故言有惠方便解。此中言無方便	不 縛 行 者 故 言 有 惠 方 便 解 此 中 言 無 方 便 
T85n2768_001:0333c06	惠者。皆無亡相者言無亦有不亡相者觀身	惠 者 皆 無 亡 相 者 言 無 亦 有 不 亡 相 者 觀 身 
T85n2768_001:0333c07	無常以下必也。正其名上雖言惠。以方便未	無 常 以 下 必 也 正 其 名 上 雖 言 惠 以 方 便 未 
T85n2768_001:0333c08	有旨。當今明觀空者為惠觀有者為方便。身	有 旨 當 今 明 觀 空 者 為 惠 觀 有 者 為 方 便 身 
T85n2768_001:0333c09	不離病者。身外實無病。病不離身。病外更無	不 離 病 者 身 外 實 無 病 病 不 離 身 病 外 更 無 
T85n2768_001:0333c10	身。是病是身非新非故者。明其身病皆空也。	身 是 病 是 身 非 新 非 故 者 明 其 身 病 皆 空 也 
T85n2768_001:0333c11	文言有疾菩薩如是調伏其心者。在空調伏	文 言 有 疾 菩 薩 如 是 調 伏 其 心 者 在 空 調 伏 
T85n2768_001:0333c12	心。不住其中者。還遣聞言在調伏。謂常在於	心 不 住 其 中 者 還 遣 聞 言 在 調 伏 謂 常 在 於 
T85n2768_001:0333c13	空同於聲聞。是故言不在其中也。亦復不住	空 同 於 聲 聞 是 故 言 不 在 其 中 也 亦 復 不 住 
T85n2768_001:0333c14	不調伏心。不同凡夫。自下廣明夷此二家行	不 調 伏 心 不 同 凡 夫 自 下 廣 明 夷 此 二 家 行 
T85n2768_001:0333c15	於中道也。	於 中 道 也 
T85n2768_001:0333c16	不思議品	不 思 議 品 
T85n2768_001:0333c17	當於何坐者。因空室生上問。何以空為除分	當 於 何 坐 者 因 空 室 生 上 問 何 以 空 為 除 分 
T85n2768_001:0333c18	別之見。令空得顯。空理獲利。於上聖益有由。	別 之 見 令 空 得 顯 空 理 獲 利 於 上 聖 益 有 由 
T85n2768_001:0333c19	寄心近事身子生念。因念呵之。言違而理順。	寄 心 近 事 身 子 生 念 因 念 呵 之 言 違 而 理 順 
T85n2768_001:0333c20	因其空旨下。諸天子發心即其事也。為法來	因 其 空 旨 下 諸 天 子 發 心 即 其 事 也 為 法 來 
T85n2768_001:0333c21	也者。欲使移心在法。得明法相理是無求。遣	也 者 欲 使 移 心 在 法 得 明 法 相 理 是 無 求 遣 
T85n2768_001:0333c22	其求著之情。身子知識難因床坐生念。意在	其 求 著 之 情 身 子 知 識 難 因 床 坐 生 念 意 在 
T85n2768_001:0333c23	求法。故言為法。不貪軀命者。不貪生死軀	求 法 故 言 為 法 不 貪 軀 命 者 不 貪 生 死 軀 
T85n2768_001:0333c24	命。何況安軀命之處。夫求法者以下廣釋不	命 何 況 安 軀 命 之 處 夫 求 法 者 以 下 廣 釋 不 
T85n2768_001:0333c25	貪求軀命意也。不應計有色乃至界入成就。	貪 求 軀 命 意 也 不 應 計 有 色 乃 至 界 入 成 就 
T85n2768_001:0333c26	由是求生死。非是真求之謂也。不應計有三	由 是 求 生 死 非 是 真 求 之 謂 也 不 應 計 有 三 
T85n2768_001:0333c27	界容身之處然後求法。又不應計三寶定實	界 容 身 之 處 然 後 求 法 又 不 應 計 三 寶 定 實 
T85n2768_001:0333c28	之性求學之處。亦不應念四諦。是定性空是	之 性 求 學 之 處 亦 不 應 念 四 諦 是 定 性 空 是 
T85n2768_001:0333c29	所解之境。所以者何。以不得存有而求法者。	所 解 之 境 所以者何 以 不 得 存 有 而 求 法 者 
T85n2768_001:0334a01	何亦應所以不存三寶三界陰入界等。此所	何 亦 應 所 以 不 存 三 寶 三 界 陰 入 界 等 此 所 
T85n2768_001:0334a02	以者何盡釋上六法。但文略不能具安也。若	以 者 何 盡 釋 上 六 法 但 文 略 不 能 具 安 也 若 
T85n2768_001:0334a03	存定有無。即是戲論。與法相理乖。何名求	存 定 有 無 即 是 戲 論 與 法 相 理 乖 何 名 求 
T85n2768_001:0334a04	法。凡言戲論者。躁動不定無所專執所論無	法 凡 言 戲 論 者 躁 動 不 定 無 所 專 執 所 論 無 
T85n2768_001:0334a05	當。若著有無即是戲心。隨執心定必論在言。	當 若 著 有 無 即 是 戲 心 隨 執 心 定 必 論 在 言 
T85n2768_001:0334a06	若爾何關於法。法名寂滅以下。還播上所存	若 爾 何 關 於 法 法 名 寂 滅 以 下 還 播 上 所 存 
T85n2768_001:0334a07	有名求法。法名寂滅者。冥諦理是寂滅之法。	有 名 求 法 法 名 寂 滅 者 冥 諦 理 是 寂 滅 之 法 
T85n2768_001:0334a08	若謂五陰是生滅。是求生滅。非求寂滅真法。	若 謂 五 陰 是 生 滅 是 求 生 滅 非 求 寂 滅 真 法 
T85n2768_001:0334a09	法名無染。若染於十二是求十二。非求無染	法 名 無 染 若 染 於 十 二 是 求 十 二 非 求 無 染 
T85n2768_001:0334a10	之法。真法無行處。若存十八。是求行法。非	之 法 真 法 無 行 處 若 存 十 八 是 求 行 法 非 
T85n2768_001:0334a11	求無行之法。法無取捨者。業感三界報身為	求 無 行 之 法 法 無 取 捨 者 業 感 三 界 報 身 為 
T85n2768_001:0334a12	取。背下生上為捨。下生亦然。若存三界。可	取 背 下 生 上 為 捨 下 生 亦 然 若 存 三 界 可 
T85n2768_001:0334a13	取可捨。是求取捨之法。非真淨無取捨之法。	取 可 捨 是 求 取 捨 之 法 非 真 淨 無 取 捨 之 法 
T85n2768_001:0334a14	法無處所若存三寶是求處所之法非真求無	法 無 處 所 若 存 三 寶 是 求 處 所 之 法 非 真 求 無 
T85n2768_001:0334a15	處所之法。法名無相若存苦是求苦相非求	處 所 之 法 法 名 無 相 若 存 苦 是 求 苦 相 非 求 
T85n2768_001:0334a16	真法。法名無住。若存滅是住。是名求住。非	真 法 法 名 無 住 若 存 滅 是 住 是 名 求 住 非 
T85n2768_001:0334a17	求真諦無住之法。法無見聞覺知。若存道體。	求 真 諦 無 住 之 法 法 無 見聞覺知 若 存 道 體 
T85n2768_001:0334a18	是見聞覺知。是名求道。非求真法。法名無為。	是 見聞覺知 是 名 求 道 非 求 真 法 法 名 無 為 
T85n2768_001:0334a19	若存集是有為。是名求集。非求真法。若求真	若 存 集 是 有 為 是 名 求 集 非 求 真 法 若 求 真 
T85n2768_001:0334a20	法。於一切法應無所求。居士問文殊。何處國	法 於一切法 應 無 所 求 居 士 問 文 殊 何 處 國 
T85n2768_001:0334a21	土有好上妙之坐者。上違身子為欲益物。五	土 有 好 上 妙 之 坐 者 上 違 身 子 為 欲 益 物 五 
T85n2768_001:0334a22	百天子得法眼淨。是上違身子之意也。今順	百 天 子 得法眼淨 是 上 違 身 子 之 意 也 今 順 
T85n2768_001:0334a23	文殊得顯不思議之迹下天子發心。是順益	文 殊 得 顯 不 思 議 之 迹 下 天 子 發 心 是 順 益 
T85n2768_001:0334a24	也。今取坐乃問文殊者。至欲彰文殊無方所	也 今 取 坐 乃 問 文 殊 者 至 欲 彰 文 殊 無 方 所 
T85n2768_001:0334a25	逕事遠靜形入定妙坐自應本迹事彰。故言	逕 事 遠 靜 形 入 定 妙 坐 自 應 本 迹 事 彰 故 言 
T85n2768_001:0334a26	現神通力。正明維摩不思議大士之心。見法	現 神 通 力 正 明 維 摩 不 思 議 大 士 之 心 見 法 
T85n2768_001:0334a27	無定性。隨心所成去來無閡。即是解脫妙智	無 定 性 隨 心 所 成 去 來 無 閡 即 是 解 脫 妙 智 
T85n2768_001:0334a28	之能。降已以還。觀迹不測其本。故曰不思議。	之 能 降 已 以 還 觀 迹 不 測 其 本 故 曰 不 思 議 
T85n2768_001:0334a29	坐既高廣。內相合容。外不迫迮。亦是不思議	坐 既 高 廣 內 相 合 容 外 不 迫 迮 亦 是 不 思 議 
T85n2768_001:0334b01	之迹。當建立汝身與坐像等。明彼佛身長八	之 迹 當 建 立 汝 身 與 坐 像 等 明 彼 佛 身 長 八 
T85n2768_001:0334b02	萬四千由旬坐亦如之。坐則四萬二千由旬。	萬 四 千 由 旬 坐 亦 如 之 坐 則 四 萬 二 千 由 旬 
T85n2768_001:0334b03	故言如彼坐像。又言如彼坐者。借彼土菩薩	故 言 如 彼 坐 像 又 言 如 彼 坐 者 借 彼 土 菩 薩 
T85n2768_001:0334b04	之坐。何以得知。維摩借坐欲安大眾。佛坐高	之 坐 何 以 得 知 維 摩 借 坐 欲 安 大 眾 佛 坐 高 
T85n2768_001:0334b05	廣乃八萬四千。是以知也。像者噵彼佛坐像	廣 乃 八萬四千 是 以 知 也 像 者 噵 彼 佛 坐 像 
T85n2768_001:0334b06	也　故言如坐像。由福薄感見而不從心用。言	也 故 言 如 坐 像 由 福 薄 感 見 而 不 從 心 用 言 
T85n2768_001:0334b07	不能昇。為燈王作禮乃可坐者。法身妙應致	不 能 昇 為 燈 王 作 禮 乃 可 坐 者 法 身 妙 應 致 
T85n2768_001:0334b08	敬必濃　還藉此一福可為身用。身子覩大士	敬 必 濃 還 藉 此 一 福 可 為 身 用 身 子 覩 大 士 
T85n2768_001:0334b09	所為妙出二乘。所以加嘆。小室容大乃至四	所 為 妙 出 二 乘 所 以 加 嘆 小 室 容 大 乃 至 四 
T85n2768_001:0334b10	天。都為不思議也。有解脫以下。廣明一切不	天 都 為 不 思 議 也 有 解 脫 以 下 廣 明 一 切 不 
T85n2768_001:0334b11	思議事。成就四大轉變迭相容納。或就形聲	思 議 事 成 就 四 大 轉 變 迭 相 容 納 或 就 形 聲 
T85n2768_001:0334b12	時節皆不思議也。有眾生應有七日壽命心	時 節 皆 不 思 議 也 有 眾 生 應 有 七 日 壽 命 心 
T85n2768_001:0334b13	樂久住。菩薩稱其心願演七日為一劫。應有	樂 久 住 菩 薩 稱 其 心 願 演 七 日 為 一 劫 應 有 
T85n2768_001:0334b14	一劫壽命。不樂久住。即促一劫為七日。皆未	一 劫 壽 命 不 樂 久 住 即 促 一 劫 為 七 日 皆 未 
T85n2768_001:0334b15	覺之者。大士所為已所不逮。如盲不矚萬像。	覺 之 者 大 士 所 為 已 所 不 逮 如 盲 不 矚 萬 像 
T85n2768_001:0334b16	嗟嘆深矣。勸知發心習。大有可怖之理。自恨	嗟 嘆 深 矣 勸 知 發 心 習 大 有 可 怖 之 理 自 恨 
T85n2768_001:0334b17	習小。為教所局。於大乘絕分。其猶敗種。皆應	習 小 為 教 所 局 於 大 乘 絕 分 其 猶 敗 種 皆 應 
T85n2768_001:0334b18	號泣聲振三千。聲不必至三千。但求大涅槃	號 泣 聲 振 三 千 聲 不 必 至 三 千 但 求 大 涅 槃 
T85n2768_001:0334b19	悲嘆情重。痛甚割膚應至三千。菩薩大欣慶。	悲 嘆 情 重 痛 甚 割 膚 應 至 三 千 菩 薩 大 欣 慶 
T85n2768_001:0334b20	是己之分勸。若能發心得解不思議者。魔王	是 己 之 分 勸 若 能 發 心 得 解 不 思 議 者 魔 王 
T85n2768_001:0334b21	外道不能加害。不列魔王者。上明魔所不加	外 道 不 能 加 害 不 列 魔 王 者 上 明 魔 所 不 加 
T85n2768_001:0334b22	小。菩薩未能深解大士現為魔王乞士。逼試	小 菩 薩 未 能 深 解 大 士 現 為 魔 王 乞 士 逼 試 
T85n2768_001:0334b23	菩薩令其堅固。恐不識真偽。至欲安慰其懷	菩 薩 令 其 堅 固 恐 不 識 真 偽 至 欲 安 慰 其 懷 
T85n2768_001:0334b24	也。此品中未科格。大判不過二種。從初至得	也 此 品 中 未 科 格 大 判 不 過 二 種 從 初 至 得 
T85n2768_001:0334b25	法眼淨。明第一義諦不思議。第二從爾時長	法 眼 淨 明 第一義諦 不 思 議 第 二 從 爾 時 長 
T85n2768_001:0334b26	者以下訖品。明世諦不思議也。	者 以 下 訖 品 明 世 諦 不 思 議 也 
T85n2768_001:0334b27	觀眾生品	觀 眾 生 品 
T85n2768_001:0334b28	觀眾生所以興者。因前章末天子等發心即	觀 眾 生 所 以 興 者 因 前 章 末 天 子 等 發 心 即 
T85n2768_001:0334b29	為菩薩必入生死施化。云何觀前眾生。見眾	為 菩 薩 必 入 生 死 施 化 云 何 觀 前 眾 生 見 眾 
T85n2768_001:0334c01	生體性空寂假名故有正。以假名眾生不定	生 體 性 空 寂 假 名 故 有 正 以 假 名 眾 生 不 定 
T85n2768_001:0334c02	故可化令從正故。以觀眾生為名也。此品大	故 可 化 令 從 正 故 以 觀 眾 生 為 名 也 此 品 大 
T85n2768_001:0334c03	判凡有二段。從始至立一切法。明觀眾生。二	判 凡 有 二 段 從 始 至 立 一 切 法 明 觀 眾 生 二 
T85n2768_001:0334c04	明大菩薩現為天女對身子論議廣明不二之	明 大 菩 薩 現 為 天 女 對 身 子 論 議 廣 明 不 二 之 
T85n2768_001:0334c05	道。	道 
T85n2768_001:0334c06	初至云何觀眾生者。為小菩薩問答。言如幻	初 至 云 何 觀 眾 生 者 為 小 菩 薩 問 答 言 如 幻 
T85n2768_001:0334c07	師見幻識無實之甚。菩薩觀眾生空應如是。	師 見 幻 識 無 實 之 甚 菩 薩 觀 眾 生 空 應 如 是 
T85n2768_001:0334c08	凡夫見水中月謂為實月。小菩薩應同大菩	凡 夫 見 水 中 月 謂 為 實 月 小 菩 薩 應 同 大 菩 
T85n2768_001:0334c09	薩。智者知萬法如水影之不實。諸句類爾。通	薩 智 者 知 萬 法 如 水 影 之 不 實 諸 句 類 爾 通 
T85n2768_001:0334c10	明即離我。就文難可取別。文殊問若無眾生云	明 即 離 我 就 文 難 可 取 別 文 殊 問 若 無 眾 生 云 
T85n2768_001:0334c11	何有益。為假名眾生說其空法。明知空無其	何 有 益 為 假 名 眾 生 說 其 空 法 明 知 空 無 其 
T85n2768_001:0334c12	實生非無假名者。為說其空令其契解此理。	實 生 非 無 假 名 者 為 說 其 空 令 其 契 解 此 理 
T85n2768_001:0334c13	永得涅槃畢竟離苦。乃是與樂之極。得名真	永 得 涅 槃 畢 竟 離 苦 乃 是 與 樂 之 極 得 名 真 
T85n2768_001:0334c14	實慈。就中凡三文。從初至如虛空故。就理以	實 慈 就 中 凡 三 文 從 初 至 如 虛 空 故 就 理 以 
T85n2768_001:0334c15	名慈。從羅漢以下就人以名慈。從菩提以下	名 慈 從 羅 漢 以 下 就 人 以 名 慈 從 菩 提 以 下 
T85n2768_001:0334c16	就眾行以名慈。所以名理為慈者。從理得樂	就 眾 行 以 名 慈 所 以 名 理 為 慈 者 從 理 得 樂 
T85n2768_001:0334c17	緣中說慈也。行寂滅慈者。慈心中教前眾生	緣 中 說 慈 也 行 寂 滅 慈 者 慈 心 中 教 前 眾 生 
T85n2768_001:0334c18	修行寂滅。解理之心是樂。即名寂滅為慈。無	修 行 寂 滅 解 理 之 心 是 樂 即 名 寂 滅 為 慈 無 
T85n2768_001:0334c19	所生者。釋上寂滅句。行不熱慈者。空理能除	所 生 者 釋 上 寂 滅 句 行 不 熱 慈 者 空 理 能 除 
T85n2768_001:0334c20	煩惱熱。行無諍慈者。亦以理能除諍也。諸句	煩 惱 熱 行 無 諍 慈 者 亦 以 理 能 除 諍 也 諸 句 
T85n2768_001:0334c21	義類相似盡如虛空故。皆是緣中說盡取說	義 類 相 似 盡 如 虛 空 故 皆 是 緣 中 說 盡 取 說 
T85n2768_001:0334c22	者。內心為慈。行羅漢慈者。教前眾生修行斷	者 內 心 為 慈 行 羅 漢 慈 者 教 前 眾 生 修 行 斷 
T85n2768_001:0334c23	煩惱。得作羅漢人。此人盡苦得樂。名人為	煩 惱 得 作 羅 漢 人 此 人 盡 苦 得 樂 名 人 為 
T85n2768_001:0334c24	慈。論慈正是菩薩內心。就所化人名。行菩薩	慈 論 慈 正 是 菩 薩 內 心 就 所 化 人 名 行 菩 薩 
T85n2768_001:0334c25	慈者。教前眾生修行。作菩薩人。曠劫積德。	慈 者 教 前 眾 生 修 行 作 菩 薩 人 曠 劫 積 德 
T85n2768_001:0334c26	在苦不染。壞樂自居。故名人為慈。安眾生	在 苦 不 染 壞 樂 自 居 故 名 人 為 慈 安 眾 生 
T85n2768_001:0334c27	者。釋菩薩之行。正以安人為先。教前眾生修	者 釋 菩 薩 之 行 正 以 安 人 為 先 教 前 眾 生 修 
T85n2768_001:0334c28	行。未來得作如來人。畢竟離苦受樂之極。故	行 未 來 得 作 如 來 人 畢 竟 離 苦 受 樂 之 極 故 
T85n2768_001:0334c29	名人為慈。下句皆釋上句。行佛慈亦就人名	名 人 為 慈 下 句 皆 釋 上 句 行 佛 慈 亦 就 人 名 
T85n2768_001:0335a01	慈。前眾生修行成自然智。即是果為慈。無因	慈 前 眾 生 修 行 成 自 然 智 即 是 果 為 慈 無 因 
T85n2768_001:0335a02	得者。種智果生時。累外而來無相似因得故	得 者 種 智 果 生 時 累 外 而 來 無 相 似 因 得 故 
T85n2768_001:0335a03	言自然。行菩提。慈亦就果明慈。無等亦爾。行	言 自 然 行 菩 提 慈 亦 就 果 明 慈 無 等 亦 爾 行 
T85n2768_001:0335a04	大悲慈者。教前眾生修行得菩薩地中大悲	大 悲 慈 者 教 前 眾 生 修 行 得 菩 薩 地 中 大 悲 
T85n2768_001:0335a05	行。此心能拔苦盡爾。即是至樂。名大悲心為	行 此 心 能 拔 苦 盡 爾 即 是 至 樂 名 大 悲 心 為 
T85n2768_001:0335a06	慈。因中說慈。自下諸句類爾。次問悲。答。菩	慈 因 中 說 慈 自 下 諸 句 類 爾 次 問 悲 答 菩 
T85n2768_001:0335a07	薩所作功德皆與一切眾生令使離苦。真名	薩 所 作 功 德 皆 與 一 切 眾 生 令 使 離 苦 真 名 
T85n2768_001:0335a08	大悲。又問。生死有畏何所依杖。用慈心化物。	大 悲 又 問 生 死 有 畏 何 所 依 杖 用 慈 心 化 物 
T85n2768_001:0335a09	當依如來功德之力。若欲依之。當先作何法	當 依 如 來 功 德 之 力 若 欲 依 之 當 先 作 何 法 
T85n2768_001:0335a10	行。修習功德行者依之。若能兼彼我化善歸	行 修 習 功 德 行 者 依 之 若 能 兼 彼 我 化 善 歸 
T85n2768_001:0335a11	焉故言之當住度脫一切眾生。若內慈未消。	焉 故 言 之 當 住 度 脫 一 切 眾 生 若 內 慈 未 消 
T85n2768_001:0335a12	遇緣斯閱。若得妙悟在心。有惑斯盡。應感從	遇 緣 斯 閱 若 得 妙 悟 在 心 有 惑 斯 盡 應 感 從 
T85n2768_001:0335a13	緣見聞蒙益。答言。欲度眾生。當除煩惱。生福	緣 見 聞 蒙 益 答 言 欲 度 眾 生 當 除 煩 惱 生 福 
T85n2768_001:0335a14	藉於有心。滅惑要由冥解。故答言。當修行空	藉 於 有 心 滅 惑 要 由 冥 解 故 答 言 當 修 行 空 
T85n2768_001:0335a15	之正念。問。云何得此空解正念。答。心行性	之 正 念 問 云 何 得 此 空 解 正 念 答 心 行 性 
T85n2768_001:0335a16	空故。無性可生無法可滅。問。何法無此生滅	空 故 無 性 可 生 無 法 可 滅 問 何 法 無 此 生 滅 
T85n2768_001:0335a17	之性。不善業假名因緣而有。無實性可生。善	之 性 不 善 業 假 名 因 緣 而 有 無 實 性 可 生 善 
T85n2768_001:0335a18	業假緣而有。無性可滅。互舉一邊至欲明。煩	業 假 緣 而 有 無 性 可 滅 互 舉 一 邊 至 欲 明 煩 
T85n2768_001:0335a19	惱無定性。所以可除。問。善惡業體誰為因。所	惱 無 定 性 所 以 可 除 問 善 惡 業 體 誰 為 因 所 
T85n2768_001:0335a20	以本其次第欲明。從緣生法無性故。空并列	以 本 其 次 第 欲 明 從 緣 生 法 無 性 故 空 并 列 
T85n2768_001:0335a21	五陰生。或次第善惡由作起故。以身為本。身	五 陰 生 或 次 第 善 惡 由 作 起 故 以 身 為 本 身 
T85n2768_001:0335a22	從貪欲生。即以為本。問。貪欲諸行誰為本。虛	從 貪 欲 生 即 以 為 本 問 貪 欲 諸 行 誰 為 本 虛 
T85n2768_001:0335a23	妄分別受心為本。問。受以誰為本。顛倒想為	妄 分 別 受 心 為 本 問 受 以 誰 為 本 顛 倒 想 為 
T85n2768_001:0335a24	本。問。想以誰為本。無住識為本。識是攀緣之	本 問 想 以 誰 為 本 無 住 識 為 本 識 是 攀 緣 之 
T85n2768_001:0335a25	初無本。從識立四陰一切法也。華著身不墮	初 無 本 從 識 立 四 陰 一 切 法 也 華 著 身 不 墮 
T85n2768_001:0335a26	者。將對身子生論。欲除時坐分別之心。道素	者 將 對 身 子 生 論 欲 除 時 坐 分 別 之 心 道 素 
T85n2768_001:0335a27	位成。塵潔事隔。故欲去之。凡遺飾在心不在	位 成 塵 潔 事 隔 故 欲 去 之 凡 遺 飾 在 心 不 在 
T85n2768_001:0335a28	於事。問。何故去華。染生於心亦由於緣。無	於 事 問 何 故 去 華 染 生 於 心 亦 由 於 緣 無 
T85n2768_001:0335a29	心之境而有分別之拔。出家之法實絕容飾。	心 之 境 而 有 分 別 之 拔 出 家 之 法 實 絕 容 飾 
T85n2768_001:0335b01	華在於己則同塵染。是以去之。勿謂此華分	華 在 於 己 則 同 塵 染 是 以 去 之 勿 謂 此 華 分 
T85n2768_001:0335b02	別之異。所以無之者何。分別是心。無心之華	別 之 異 所 以 無 之 者 何 分 別 是 心 無 心 之 華 
T85n2768_001:0335b03	何所分別。謂華有分別者。即是分別之心。故	何 所 分 別 謂 華 有 分 別 者 即 是 分 別 之 心 故 
T85n2768_001:0335b04	言仁者自生分別想耳。為行佛所得寂滅涅	言 仁 者 自 生 分 別 想 耳 為 行 佛 所 得 寂 滅 涅 
T85n2768_001:0335b05	槃真法。然後出家。應以無相為懷。心有分別。	槃 真 法 然 後 出 家 應 以 無 相 為 懷 心 有 分 別 
T85n2768_001:0335b06	真不如法。若亡分別冥契寂滅。如是如法大	真 不 如 法 若 亡 分 別 冥 契 寂 滅 如 是 如 法 大 
T85n2768_001:0335b07	士華所不著。已斷分別故爾。內壞真解萬相	士 華 所 不 著 已 斷 分 別 故 爾 內 壞 真 解 萬 相 
T85n2768_001:0335b08	不染。故言已斷一切分別相故。未能如此。	不 染 故 言 已 斷 一 切 分 別 相 故 未 能 如 此 
T85n2768_001:0335b09	華則隨著。內有分別。色香隨著。止此久如。其	華 則 隨 著 內 有 分 別 色 香 隨 著 止 此 久 如 其 
T85n2768_001:0335b10	德若此。如耆年得解脫。理時豈見有久近之	德 若 此 如 耆 年 得 解 脫 理 時 豈 見 有 久 近 之 
T85n2768_001:0335b11	相。答。空故無久近。身子謬取乃得解脫以來	相 答 空 故 無 久 近 身 子 謬 取 乃 得 解 脫 以 來 
T85n2768_001:0335b12	久近。故言久也。天曰。耆年得解脫。時空有久	久 近 故 言 久 也 天 曰 耆 年 得 解 脫 時 空 有 久 
T85n2768_001:0335b13	近耶。方悟空中無久近亦無所說。故默不答。	近 耶 方 悟 空 中 無 久 近 亦 無 所 說 故 默 不 答 
T85n2768_001:0335b14	若知解脫性空。言語性亦空。假言說空何所	若 知 解 脫 性 空 言 語 性 亦 空 假 言 說 空 何 所 
T85n2768_001:0335b15	防也。豈離文字未解脫相。所以。文字性空同	防 也 豈 離 文 字 未 解 脫 相 所 以 文 字 性 空 同 
T85n2768_001:0335b16	解脫性空者何。以多釋少。一切諸法皆無性	解 脫 性 空 者 何 以 多 釋 少 一切諸法 皆 無 性 
T85n2768_001:0335b17	故空解脫。亦以性不可得說解脫空。身子作	故 空 解 脫 亦 以 性 不可得說 解 脫 空 身 子 作 
T85n2768_001:0335b18	難。若萬方法皆無實故空。佛何故說斷婬	難 若 萬 方 法 皆 無 實 故 空 佛 何 故 說 斷 婬 
T85n2768_001:0335b19	怒癡而得解脫。應當無法。何以得離。佛為	怒 癡 而 得 解 脫 應 當 無 法 何 以 得 離 佛 為 
T85n2768_001:0335b20	婬怒癡人說斷婬怒癡方得解脫。亡詮之人	婬 怒 癡 人 說 斷 婬 怒 癡 方 得 解 脫 亡 詮 之 人 
T85n2768_001:0335b21	契婬怒癡空即是解脫心。身子實欲作難言	契 婬 怒 癡 空 即 是 解 脫 心 身 子 實 欲 作 難 言 
T85n2768_001:0335b22	嘆善哉。譏辨超於人。必有妙德所問。何得何	嘆 善 哉 譏 辨 超 於 人 必 有 妙 德 所 問 何 得 何 
