X25n0506_001:0858b11	 金剛般若波羅蜜經注	 金 剛 般若波羅蜜經 注 
X25n0506_002:0863a13	佛。號釋迦牟尼。(須菩提。以實無所行。而世尊名之為樂阿蘭那行。如來以實無所得。而然	佛 號 釋 迦 牟 尼 須 菩 提 以 實 無 所 行 而 世 尊 名 之 為 樂 阿 蘭 那 行 如 來 以 實 無 所 得 而 然 
X25n0506_002:0863a14	燈佛授記於來世作佛號釋迦牟尼。如來與須菩提。雖有差等。其以無為法則一也)何以故。如	燈 佛 授 記 於 來 世 作 佛 號 釋 迦 牟 尼 如 來 與 須 菩 提 雖 有 差 等 其 以 無 為 法 則 一 也 何 以 故 如 
X25n0506_002:0863a15	來者。即諸法如義。(諸法如義言。一切法歸於各如其義也。如來猶明鏡。當前人之來者	來 者 即 諸 法 如 義 諸 法 如 義 言 一 切 法 歸 於 各 如 其 義 也 如 來 猶 明 鏡 當 前 人 之 來 者 
X25n0506_002:0863a16	見為人。物之來者見為物。如其來者而已。所謂如來也。有少許塵埃。即不能如來矣。故一切妄念不可有也。塵	見 為 人 物 之 來 者 見 為 物 如 其 來 者 而 已 所 謂 如 來 也 有 少 許 塵 埃 即 不 能 如 來 矣 故 一 切 妄 念 不 可 有 也 塵 
X25n0506_002:0863a17	埃固不可有。珠塵玉屑。又豈可有哉。有之亦不能如來矣。故一切法。亦不可有也)若有人言。	埃 固 不 可 有 珠 塵 玉 屑 又 豈 可 有 哉 有 之 亦 不 能 如 來 矣 故 一 切 法 亦 不 可 有 也 若 有 人 言 
X25n0506_002:0863a18	如來得阿耨多羅三藐三菩提。須菩提。實無有法佛	如 來 得阿耨多羅三藐三菩提 須 菩 提 實 無 有 法 佛 
X25n0506_002:0863a19	得阿耨多羅三藐三菩提。須菩提。如來所得阿耨多	得阿耨多羅三藐三菩提 須 菩 提 如 來 所 得 阿 耨 多 
X25n0506_002:0863a20	羅三藐三菩提。於是中無實無虗。是故如來說一切	羅 三藐三菩提 於 是 中 無 實 無 虗 是 故 如 來 說 一 切 
X25n0506_002:0863a21	法皆是佛法。須菩提。所言一切法者。即非一切法。是	法 皆 是 佛 法 須 菩 提 所 言 一 切 法 者 即 非 一 切 法 是 
X25n0506_002:0863a22	故名一切法。須菩提。譬如人身長大。須菩提言。世尊。	故 名 一 切 法 須 菩 提 譬 如 人 身 長 大 須 菩 提 言 世 尊 
X25n0506_002:0863a23	如來說人身長大。即為非大身。是名大身(上篇大身一喻。以起	如 來 說 人 身 長 大 即 為 非 大 身 是 名 大 身 上 篇 大 身 一 喻 以 起 
X25n0506_002:0863a24	下文。此篇大身一喻。以結上文德。以大身之非大身。明佛法之非佛法也)(右第一節)。	下 文 此 篇 大 身 一 喻 以 結 上 文 德 以 大 身 之 非 大 身 明 佛 法 之 非 佛 法 也 右 第 一 節 
X25n0506_002:0863b01	此節所說。即非法非非法之義說。具前矣。	此 節 所 說 即 非 法 非 非 法 之 義 說 具 前 矣 
X25n0506_002:0863b02	須菩提。菩薩亦如是。若作是言。我當滅度無量眾生。	須 菩 提 菩 薩 亦 如 是 若 作 是 言 我 當 滅 度 無 量 眾 生 
X25n0506_002:0863b03	則不名菩薩。何以故。須菩提。實無有法名為菩薩。是	則 不 名 菩 薩 何 以 故 須 菩 提 實 無 有 法 名 為 菩 薩 是 
X25n0506_002:0863b04	故佛說一切法無我無人無眾生無壽者。須菩提。若	故 佛 說 一切法無我 無 人 無 眾 生 無 壽 者 須 菩 提 若 
X25n0506_002:0863b05	菩薩作是言。我當莊嚴佛土。是不名菩薩。何以故。如	菩 薩 作 是 言 我 當 莊 嚴 佛 土 是 不 名 菩 薩 何 以 故 如 
X25n0506_002:0863b06	來說莊嚴佛土者。即非莊嚴。是名莊嚴。(言我當滅度眾生。我當莊	來 說 莊 嚴 佛 土 者 即 非 莊 嚴 是 名 莊 嚴 言 我 當 滅 度 眾 生 我 當 莊 
X25n0506_002:0863b07	嚴佛土。則有我矣。故下云通達無我者。真是菩薩也)須菩提。若菩薩通達無我	嚴 佛 土 則 有 我 矣 故 下 云 通 達 無 我 者 真 是 菩 薩 也 須 菩 提 若 菩 薩 通 達 無 我 
X25n0506_002:0863b08	法者。如來說名真是菩薩(右第二節)。	法 者 如 來 說 名 真 是 菩 薩 右 第 二 節 
X25n0506_002:0863b09	承上文而言。一切法即非一切法。所以然者。一	承 上 文 而 言 一 切 法 即 非 一 切 法 所 以 然 者 一 
X25n0506_002:0863b10	切法皆生於我也。有我則有人。有我有人。則有	切 法 皆 生 於 我 也 有 我 則 有 人 有 我 有 人 則 有 
X25n0506_002:0863b11	眾生壽者。有如是一切。即有如是一切法。故必	眾 生 壽 者 有 如是一切 即 有 如是一切 法 故 必 
X25n0506_002:0863b12	先之以無我。誠能通達無我之法。則不言一切	先 之 以 無 我 誠 能 通 達 無 我 之 法 則 不 言 一 切 
X25n0506_002:0863b13	法可也。即言一切法亦可也。經之大旨。在於即	法 可 也 即 言 一 切 法 亦 可 也 經 之 大 旨 在 於 即 
X25n0506_002:0863b14	住即降伏。而降伏其心。自無我始。故於此特發	住 即 降 伏 而 降 伏 其 心 自 無 我 始 故 於 此 特 發 
X25n0506_002:0863b15	明之。下文又云。知一切無我。乃此經之要義也。	明 之 下 文 又 云 知 一 切 無 我 乃 此 經 之 要 義 也 
X25n0506_002:0863b16	須菩提。於意云何。如來有肉眼不。如是世尊。如來有	須 菩 提 於意云何 如 來 有 肉 眼 不 如 是 世 尊 如 來 有 
X25n0506_002:0863b17	肉眼。須菩提。於意云何。如來有天眼不。如是世尊。如	肉 眼 須 菩 提 於意云何 如 來 有 天 眼 不 如 是 世 尊 如 
X25n0506_002:0863b18	來有天眼。須菩提。於意云何。如來有慧眼不。如是世	來 有 天 眼 須 菩 提 於意云何 如 來 有 慧 眼 不 如 是 世 
X25n0506_002:0863b19	尊。如來有慧眼。須菩提。於意云何。如來有法眼不。如	尊 如 來 有 慧 眼 須 菩 提 於意云何 如 來 有 法 眼 不 如 
X25n0506_002:0863b20	是世尊。如來有法眼。須菩提。於意云何。如來有佛眼	是 世 尊 如 來 有 法 眼 須 菩 提 於意云何 如 來 有 佛 眼 
X25n0506_002:0863b21	不。如是世尊。如來有佛眼(此與下節。皆承上文無我而言。即有以明無也。肉眼	不 如 是 世 尊 如 來 有 佛 眼 此 與 下 節 皆 承 上 文 無 我 而 言 即 有 以 明 無 也 肉 眼 
X25n0506_002:0863b22	亦有。天眼亦有。慧眼亦有。法眼亦有。佛眼亦有。然則如來無眼矣。何以故。止有肉眼。則可名之曰肉眼。止有佛	亦 有 天 眼 亦 有 慧 眼 亦 有 法 眼 亦 有 佛 眼 亦 有 然 則 如 來 無 眼 矣 何 以 故 止 有 肉 眼 則 可 名 之 曰 肉 眼 止 有 佛 
X25n0506_002:0863b23	眼。則可名之曰佛眼。自肉眼至佛眼。無所不有。則無可名矣。凡經言一切諸相。即是非相。無非此義)(右第	眼 則 可 名 之 曰 佛 眼 自 肉 眼 至 佛 眼 無 所 不 有 則 無 可 名 矣 凡 經 言 一 切 諸 相 即 是 非 相 無 非 此 義 右 第 
X25n0506_002:0863b24	三節)。	三 節 
X25n0506_002:0863c01	須菩提。於意云何。如恒河中所有沙。佛說是沙不。如	須 菩 提 於意云何 如 恒 河 中 所 有 沙 佛 說 是 沙 不 如 
X25n0506_002:0863c02	是世尊。如來說是沙。須菩提。於意云何。如一恒河所	是 世 尊 如 來 說 是 沙 須 菩 提 於意云何 如 一 恒 河 所 
X25n0506_002:0863c03	有沙。有如是沙等恒河。是諸恒河所有沙數。佛世界	有 沙 有 如 是 沙 等 恒 河 是 諸 恒 河 所 有 沙 數 佛 世 界 
X25n0506_002:0863c04	如是。寧為多不。甚多世尊。佛告須菩提。爾所國土中。	如 是 寧 為 多 不 甚 多 世 尊 佛 告 須 菩 提 爾 所 國 土 中 
X25n0506_002:0863c05	所有眾生。若干種心。如來悉知。何以故。如來說諸心。	所 有 眾 生 若 干 種 心 如 來 悉 知 何 以 故 如 來 說 諸 心 
X25n0506_002:0863c06	皆為非心。是名為心。(無論一切妄念。即如上文所云。我當滅度眾生。我當莊嚴佛土。	皆 為 非 心 是 名 為 心 無 論 一 切 妄 念 即 如 上 文 所 云 我 當 滅 度 眾 生 我 當 莊 嚴 佛 土 
X25n0506_002:0863c07	皆非心也。心固湛然無物也)所以者何。須菩提。過去心不可得。見	皆 非 心 也 心 固 湛 然 無 物 也 所以者何 須 菩 提 過 去 心 不 可 得 見 
X25n0506_002:0863c08	在心不可得。未來心不可得(此亦即有以明無也。過去見在未來三種心。人	在 心 不 可 得 未來心不可得 此 亦 即 有 以 明 無 也 過 去 見 在 未 來 三 種 心 人 
X25n0506_002:0863c09	人有之。然求之此心。究在何處。則亦無也)(右第四節)。	人 有 之 然 求 之 此 心 究 在 何 處 則 亦 無 也 右 第 四 節 
X25n0506_002:0863c10	如來之五種眼也。眾生之三種心也。皆任舉以	如 來 之 五 種 眼 也 眾 生 之 三 種 心 也 皆 任 舉 以 
X25n0506_002:0863c11	明無我之旨。非義所重。	明 無 我 之 旨 非 義 所 重 
X25n0506_002:0863c12	須菩提。於意云何。若有人滿三千大千世界七寶。以	須 菩 提 於意云何 若 有 人 滿 三千大千世界 七 寶 以 
X25n0506_002:0863c13	用布施。是人以是因緣。得福多不。如是世尊。此人以	用 布 施 是 人 以是因緣 得 福 多 不 如 是 世 尊 此 人 以 
X25n0506_002:0863c14	是因緣。得福甚多。須菩提。若福德有實。(有實當作實有。下文若浮	是 因 緣 得 福 甚 多 須 菩 提 若 福 德 有 實 有 實 當 作 實 有 下 文 若 浮 
X25n0506_002:0863c15	塵眾實有者。若世界實有者。並作實有。不作有實。此亦當同也)如來不說得福德多。	塵 眾 實 有 者 若 世 界 實 有 者 並 作 實 有 不 作 有 實 此 亦 當 同 也 如 來 不 說 得 福 德 多 
X25n0506_002:0863c16	(有則無矣)以福德無故。如來說得福德多(無則有矣)(右第五節)。	 有 則 無 矣 以 福 德 無 故 如 來 說 得 福 德 多 無 則 有 矣 右 第 五 節 
X25n0506_002:0863c17	承上文通達無我法而言。法尚應捨。何論福德。	承 上 文 通 達 無 我 法 而 言 法 尚 應 捨 何 論 福 德 
X25n0506_002:0863c18	蓋既以無法為法。則亦以無福德為福德也。而	蓋 既 以 無 法 為 法 則 亦 以 無 福 德 為 福 德 也 而 
X25n0506_002:0863c19	愚僧妄為增益。專以福德。誘勸眾生。失佛旨矣。	愚 僧 妄 為 增 益 專 以 福 德 誘 勸 眾 生 失 佛 旨 矣 
X25n0506_002:0863c20	須菩提。於意云何。佛可以具足色身見不。不也世尊。	須 菩 提 於意云何 佛 可 以 具足色身 見 不 不 也 世 尊 
X25n0506_002:0863c21	如來不應以具足色身見。何以故。如來說具足色身。	如 來 不 應 以 具足色身 見 何 以 故 如 來 說 具足色身 
X25n0506_002:0863c22	即非具足色身。是名具足色身。(如來所說色身。非此色身。是乃真具足色	即 非 具足色身 是 名 具足色身 如 來 所 說 色 身 非 此 色 身 是 乃 真 具 足 色 
X25n0506_002:0863c23	身也。下文準此)須菩提。於意云何。如來可以具足諸相見不。	身 也 下 文 準 此 須 菩 提 於意云何 如 來 可 以 具 足 諸 相 見 不 
X25n0506_002:0863c24	不也世尊。如來不應以具足諸相見。何以故。如來說	不 也 世 尊 如 來 不 應 以 具 足 諸 相 見 何 以 故 如 來 說 
X25n0506_002:0864a01	諸相具足即非具足。是名諸相具足(非身之身。乃真身也。非相之相。	諸 相 具 足 即 非 具 足 是 名 諸 相 具 足 非 身 之 身 乃 真 身 也 非 相 之 相 
X25n0506_002:0864a02	乃真相也。蓋外之身相。皆幻形耳。雖佛亦不能常有也。知此中自有不壞者。存則能離一切相。而成佛矣。竊嘗	乃 真 相 也 蓋 外 之 身 相 皆 幻 形 耳 雖 佛 亦 不 能 常 有 也 知 此 中 自 有 不 壞 者 存 則 能 離一切相 而 成 佛 矣 竊 嘗 
X25n0506_002:0864a03	論之。無此身無此相。則非人也。而此身此相。則皆幻也。孰為真者。其吾之本性乎。吾能保此性。雖千百劫。而不	論 之 無 此 身 無 此 相 則 非 人 也 而 此 身 此 相 則 皆 幻 也 孰 為 真 者 其 吾 之 本 性 乎 吾 能 保 此 性 雖 千 百 劫 而 不 
X25n0506_002:0864a04	壞可也。此佛之所以為佛也。仙者變而言修鍊。則欲常存此身。常存此相矣。而可得乎。此仙之所以不如佛也)	壞 可 也 此 佛 之 所 以 為 佛 也 仙 者 變 而 言 修 鍊 則 欲 常 存 此 身 常 存 此 相 矣 而 可 得 乎 此 仙 之 所 以 不 如 佛 也 
X25n0506_002:0864a05	(右第六節)。	 右 第 六 節 
X25n0506_002:0864a06	佛既以無我示人。又復說此者。蓋無我之中。又	佛 既 以 無 我 示 人 又 復 說 此 者 蓋 無 我 之 中 又 
X25n0506_002:0864a07	自有我。此成佛之後。所以無實無虗。而在初發	自 有 我 此 成 佛 之 後 所 以 無 實 無 虗 而 在 初 發 
X25n0506_002:0864a08	阿耨多羅三藐三菩提心者。宜乎即住即降伏	阿耨多羅三藐三菩提 心 者 宜 乎 即 住 即 降 伏 
X25n0506_002:0864a09	之。以降伏為住。然後無我而有我也。此金剛經	之 以 降 伏 為 住 然 後 無 我 而 有 我 也 此 金 剛 經 
X25n0506_002:0864a10	之大旨也。	之 大 旨 也 
X25n0506_002:0864a11	須菩提。汝勿謂如來作是念。我當有所說法。莫作是	須 菩 提 汝 勿 謂 如 來 作 是 念 我 當 有 所 說 法 莫 作 是 
X25n0506_002:0864a12	念。何以故。若人言如來有所說法。則為謗佛。不能解	念 何 以 故 若 人 言 如 來 有 所 說 法 則 為 謗 佛 不 能 解 
X25n0506_002:0864a13	我所說故。須菩提說法者。無法可說。(上篇云。無有定法如來可說。此	我 所 說 故 須 菩 提 說 法 者 無 法 可 說 上 篇 云 無 有 定 法 如 來 可 說 此 
X25n0506_002:0864a14	云。無法可說。其義更進。蓋無定法。猶有法也。無法則并法亦無矣)是名說法(一言蔽之曰。無	云 無 法 可 說 其 義 更 進 蓋 無 定 法 猶 有 法 也 無 法 則 并 法 亦 無 矣 是 名 說 法 一 言 蔽 之 曰 無 
X25n0506_002:0864a15	是真說法也)。	是 真 說 法 也 
X25n0506_002:0864a16	爾時慧命須菩提白佛言。世尊。頗有眾生。於未來	爾 時 慧 命 須 菩 提 白 佛 言 世 尊 頗 有 眾 生 於 未 來 
X25n0506_002:0864a17	世。聞說是法。生信心不。佛言須菩提。彼非眾生。非	世 聞 說 是 法 生 信 心 不 佛 言 須 菩 提 彼 非 眾 生 非 
X25n0506_002:0864a18	不眾生。何以故。須菩提。眾生眾生者。如來說非眾	不 眾 生 何 以 故 須 菩 提 眾 生 眾 生 者 如 來 說 非 眾 
X25n0506_002:0864a19	生。是名眾生(古本所無。亦後人增益。蓋以佛言無法可說。恐人因此不信佛法。故增益	生 是 名 眾 生 古 本 所 無 亦 後 人 增 益 蓋 以 佛 言 無 法 可 說 恐 人 因 此 不 信 佛 法 故 增 益 
X25n0506_002:0864a20	此文。其意謂眾生則不信。非眾生則自能信。所以堅人之信。與侈陳福德。其意正同。皆佛弟子護法之苦	此 文 其 意 謂 眾 生 則 不 信 非 眾 生 則 自 能 信 所 以 堅 人 之 信 與 侈 陳 福 德 其 意 正 同 皆 佛 弟 子 護 法 之 苦 
X25n0506_002:0864a21	心也)。	心 也 
X25n0506_002:0864a22	須菩提白佛言。世尊。佛得阿耨多羅三藐三菩提。為	須 菩 提 白 佛 言 世 尊 佛 得阿耨多羅三藐三菩提 為 
X25n0506_002:0864a23	無所得耶。佛言如是如是。須菩提。我於阿耨多羅三	無 所 得 耶 佛 言 如是如是 須 菩 提 我 於 阿 耨 多 羅 三 
X25n0506_002:0864a24	藐三菩提。乃至無有少法可得。(無所失。又何所得)是名阿耨	藐 三 菩 提 乃 至 無 有 少 法 可 得 無 所 失 又 何 所 得 是 名 阿 耨 
X25n0506_002:0864b01	多羅三藐三菩提。復次須菩提。是法平等。無有高下。	多 羅 三藐三菩提 復 次 須 菩 提 是 法 平 等 無有高下 
X25n0506_002:0864b02	(前言有差等者。成就之次第也此言無高下者。真體之本然也)是名阿耨多羅三藐	 前 言 有 差 等 者 成 就 之 次 第 也 此 言 無 高 下 者 真 體 之 本 然 也 是 名 阿 耨 多 羅 三 藐 
X25n0506_002:0864b03	三菩提。以無我無人無眾生無壽者。修一切善法。則	三 菩 提 以 無 我 無 人 無 眾 生 無 壽 者 修 一 切 善 法 則 
X25n0506_002:0864b04	得阿耨多羅三藐三菩提。須菩提。所言善法者。如來	得阿耨多羅三藐三菩提 須 菩 提 所 言 善 法 者 如 來 
X25n0506_002:0864b05	說即非善法。是名善法(於阿耨多羅三藐三菩提。無有少法可得。此佛之所以為	說 即 非 善 法 是 名 善 法 於 阿耨多羅三藐三菩提 無 有 少 法 可 得 此 佛 之 所 以 為 
X25n0506_002:0864b06	佛也。修一切善法。則得阿耨多羅三藐三菩提。此眾生之所以為眾生也。佛既自言無有少法可得矣。然何以	佛 也 修 一 切 善 法 則 得阿耨多羅三藐三菩提 此 眾 生 之 所 以 為 眾 生 也 佛 既 自 言 無 有 少 法 可 得 矣 然 何 以 
X25n0506_002:0864b07	處眾生。故又說此也。夫一切法。猶醫家之用藥也。佛無病焉。又何藥也。其餘眾生。各就其病而藥之。於是有一	處 眾 生 故 又 說 此 也 夫 一 切 法 猶 醫 家 之 用 藥 也 佛 無 病 焉 又 何 藥 也 其 餘 眾 生 各 就 其 病 而 藥 之 於 是 有 一 
X25n0506_002:0864b08	切善法。然此一切善法。豈可以為常乎。譬如有寒疾者。以熱藥為善法。若施之於熱疾。即非善法矣。故曰。所言	切 善 法 然 此 一 切 善 法 豈 可 以 為 常 乎 譬 如 有 寒 疾 者 以 熱 藥 為 善 法 若 施 之 於 熱 疾 即 非 善 法 矣 故 曰 所 言 
X25n0506_002:0864b09	善法者。即非善法。是名善法。法雖不可無法。仍不可執。故為上智說。則無法可說。為下愚說。則無定法可說也)。	善 法 者 即 非 善 法 是 名 善 法 法 雖 不 可 無 法 仍 不 可 執 故 為 上 智 說 則 無 法 可 說 為 下 愚 說 則 無 定 法 可 說 也 
X25n0506_002:0864b10	須菩提。若三千大千世界中。所有諸須彌山王。如	須 菩 提 若 三千大千世界 中 所 有 諸 須 彌 山 王 如 
X25n0506_002:0864b11	是等七寶聚。有人持用布施。若人以此般若波羅	是 等 七 寶 聚 有 人 持用布施 若 人 以 此 般 若 波 羅 
X25n0506_002:0864b12	蜜經。乃至四句偈等。受持讀誦。為他人說。於前福	蜜 經 乃 至 四 句 偈 等 受持讀誦 為 他 人 說 於 前 福 
X25n0506_002:0864b13	德。百分不及一。千萬億分。乃至算數譬喻所不能	德 百 分 不 及 一 千萬億分 乃 至 算 數 譬 喻 所 不 能 
X25n0506_002:0864b14	及。	及 
X25n0506_002:0864b15	須菩提。於意云何。汝等勿謂如來作是念。我當度眾	須 菩 提 於意云何 汝 等 勿 謂 如 來 作 是 念 我 當 度 眾 
X25n0506_002:0864b16	生。須菩提。莫作是念。何以故。實無有眾生如來度者。	生 須 菩 提 莫 作 是 念 何 以 故 實 無 有 眾 生 如 來 度 者 
X25n0506_002:0864b17	若有眾生如來度者。如來則有我人眾生壽者。須菩	若 有 眾 生 如 來 度 者 如 來 則 有 我 人 眾 生 壽 者 須 菩 
X25n0506_002:0864b18	提。如來說有我者。即非有我。而凡夫之人。以為有我。	提 如 來 說 有 我 者 即 非 有 我 而 凡 夫 之 人 以 為 有 我 
X25n0506_002:0864b19	須菩提。凡夫者。如來說即非凡夫。(原其初。聖亦凡也。凡亦聖也。聖凡且	須 菩 提 凡 夫 者 如 來 說 即 非 凡 夫 原 其 初 聖 亦 凡 也 凡 亦 聖 也 聖 凡 且 
X25n0506_002:0864b20	無一定。而又何我之有)須菩提。於意云何。可以三十二相觀如	無 一 定 而 又 何 我 之 有 須 菩 提 於意云何 可 以 三十二相 觀 如 
X25n0506_002:0864b21	來不。須菩提言。如是如是。以三十二相觀如來。佛言	來 不 須 菩 提 言 如是如是 以 三十二相 觀 如 來 佛 言 
X25n0506_002:0864b22	須菩提。若以三十二相觀如來者。轉輪聖王。則是如	須 菩 提 若 以 三十二相 觀 如 來 者 轉輪聖王 則 是 如 
X25n0506_002:0864b23	來。須菩提白佛言。世尊。如我解佛所說義。不應以三	來 須 菩 提 白 佛 言 世 尊 如 我 解 佛 所 說 義 不 應 以 三 
X25n0506_002:0864b24	十二相觀如來。(此與上篇語同。但上篇文略。故無中間往復語耳。世人見上篇須菩提已	十 二 相 觀 如 來 此 與 上 篇 語 同 但 上 篇 文 略 故 無 中 間 往 復 語 耳 世 人 見 上 篇 須 菩 提 已 
X25n0506_002:0864c01	知不可以三十二相見如來。疑其何以先悟而後迷。因為之說曰。前言不可以相見者。色即是空也。此言可以	知 不 可 以 三十二相 見 如 來 疑 其 何 以 先 悟 而 後 迷 因 為 之 說 曰 前 言 不 可 以 相 見 者 色 即 是 空 也 此 言 可 以 
X25n0506_002:0864c02	相觀者。空即是色也。若然。則正合無實無虗之義。宜蒙印可。而反見駁詰何耶)爾時世尊而	相 觀 者 空 即 是 色 也 若 然 則 正 合 無 實 無 虗 之 義 宜 蒙 印 可 而 反 見 駁 詰 何 耶 爾 時 世 尊 而 
X25n0506_002:0864c03	說偈言。若以色見我。以音聲求我。是人行邪道。不能	說 偈 言 若 以 色 見 我 以 音 聲 求 我 是 人 行 邪 道 不 能 
X25n0506_002:0864c04	見如來(右第七節)。	見 如 來 右 第 七 節 
X25n0506_002:0864c05	此又以無法可說。無法可得。無眾生可度。舉上	此 又 以 無 法 可 說 無 法 可 得 無 眾 生 可 度 舉 上 
X25n0506_002:0864c06	文所有之義。而申明之。而仍以無相為歸宿。其	文 所 有 之 義 而 申 明 之 而 仍 以 無 相 為 歸 宿 其 
X25n0506_002:0864c07	義皆具上篇。而視上篇。加詳焉。學佛者所宜盡	義 皆 具 上 篇 而 視 上 篇 加 詳 焉 學 佛 者 所 宜 盡 
X25n0506_002:0864c08	心也。	心 也 
X25n0506_002:0864c09	附錄魏留支譯本云。須菩提。於意云何。可以相	附 錄 魏 留 支 譯 本 云 須 菩 提 於意云何 可 以 相 
X25n0506_002:0864c10	成就得見如來不。須菩提言。如我解如來所說	成 就 得 見 如 來 不 須 菩 提 言 如 我 解 如 來 所 說 
X25n0506_002:0864c11	義。不以相成就得見如來。佛言如是如是。須菩	義 不 以 相 成 就 得 見 如 來 佛 言 如是如是 須 菩 
X25n0506_002:0864c12	提。不以相成就得見如來。佛言須菩提。若以相	提 不 以 相 成 就 得 見 如 來 佛 言 須 菩 提 若 以 相 
X25n0506_002:0864c13	成就觀如來者。轉輪聖王。應是如來。是故非以	成 就 觀 如 來 者 轉輪聖王 應 是 如 來 是 故 非 以 
X25n0506_002:0864c14	相成就得見如來。爾時世尊而說偈言。	相 成 就 得 見 如 來 爾 時 世 尊 而 說 偈 言 
X25n0506_002:0864c15	又唐義淨譯本云。妙生。於意云何。應以具相觀	又 唐 義 淨 譯 本 云 妙 生 於意云何 應 以 具 相 觀 
X25n0506_002:0864c16	如來不。不爾世尊。不應以具相觀於如來。妙生。	如 來 不 不 爾 世 尊 不 應 以 具 相 觀 於 如 來 妙 生 
X25n0506_002:0864c17	若以具相觀如來者。轉輪聖王。應是如來。是故	若 以 具 相 觀 如 來 者 轉輪聖王 應 是 如 來 是 故 
X25n0506_002:0864c18	不應以具相觀於如來。應以諸相非相觀於如	不 應 以 具 相 觀 於 如 來 應 以 諸 相 非 相 觀 於 如 
X25n0506_002:0864c19	來。爾時世尊而說頌曰。	來 爾 時 世 尊 而 說 頌 曰 
X25n0506_002:0864c20	按此文自留支以下。各譯本皆與秦本不同。蓋	按 此 文 自 留 支 以 下 各 譯 本 皆 與 秦 本 不 同 蓋 
X25n0506_002:0864c21	秦本之誤也。余據秦本作注。故云然。以各本證	秦 本 之 誤 也 余 據 秦 本 作 注 故 云 然 以 各 本 證 
X25n0506_002:0864c22	之。則余所見。固與闇合矣。因附錄魏唐兩譯本	之 則 余 所 見 固 與 闇 合 矣 因 附 錄 魏 唐 兩 譯 本 
X25n0506_002:0864c23	以曉學者。餘不備錄。	以 曉 學 者 餘 不 備 錄 
X25n0506_002:0864c24	須菩提。汝若作是念。如來不(此字衍)以具足相故。得阿	須 菩 提 汝 若 作 是 念 如 來 不 此 字 衍 以 具 足 相 故 得 阿 
X25n0506_002:0865a01	耨多羅三藐三菩提。須菩提。莫作是念。(謂如來以具足相故。得阿	耨 多 羅 三藐三菩提 須 菩 提 莫 作 是 念 謂 如 來 以 具 足 相 故 得 阿 
X25n0506_002:0865a02	耨多羅三藐三菩提。是猶以三十二相觀如來也。故戒之曰。莫作是念。文義本甚明。因如來下衍一不字。遂滋	耨 多 羅 三藐三菩提 是 猶 以 三十二相 觀 如 來 也 故 戒 之 曰 莫 作 是 念 文 義 本 甚 明 因 如 來 下 衍 一 不 字 遂 滋 
X25n0506_002:0865a03	異說。今不取也。此下亦應有何以故三字。與下文相準。文不具耳)如來不以具足相	異 說 今 不 取 也 此 下 亦 應 有 何 以 故 三 字 與 下 文 相 準 文 不 具 耳 如 來 不 以 具 足 相 
X25n0506_002:0865a04	故。得阿耨多羅三藐三菩提。(此就佛言也)須菩提。汝若作	故 得阿耨多羅三藐三菩提 此 就 佛 言 也 須 菩 提 汝 若 作 
X25n0506_002:0865a05	是念。發阿耨多羅三藐三菩提心者。說諸法斷滅。莫	是 念 發 阿耨多羅三藐三菩提 心 者 說 諸 法 斷 滅 莫 
X25n0506_002:0865a06	作是念。(於阿耨多羅三藐三菩提。無有少法可得者。佛之所以為佛也。修一切善法。則得阿耨多	作 是 念 於 阿耨多羅三藐三菩提 無 有 少 法 可 得 者 佛 之 所 以 為 佛 也 修 一 切 善 法 則 得 阿 耨 多 
X25n0506_002:0865a07	羅三藐三菩提者。眾生之所以為眾生也。若眾生初發阿耨多羅三藐三菩提心。而即說諸法斷滅。則竟無可	羅 三藐三菩提 者 眾 生 之 所 以 為 眾 生 也 若 眾 生 初 發 阿耨多羅三藐三菩提 心 而 即 說 諸 法 斷 滅 則 竟 無 可 
X25n0506_002:0865a08	得矣。故又戒之曰。莫作是念)何以故。發阿耨多羅三藐三菩提心	得 矣 故 又 戒 之 曰 莫 作 是 念 何 以 故 發 阿耨多羅三藐三菩提 心 
X25n0506_002:0865a09	者。於法不說斷滅相(此就眾生言也)(右第八節)。	者 於 法 不 說 斷 滅 相 此 就 眾 生 言 也 右 第 八 節 
X25n0506_002:0865a10	承上文而以佛與眾生分別言之。不執法相。亦	承 上 文 而 以 佛 與 眾 生 分 別 言 之 不 執 法 相 亦 
X25n0506_002:0865a11	不廢法相。誘掖眾生之義。至矣。	不 廢 法 相 誘 掖 眾 生 之 義 至 矣 
X25n0506_002:0865a12	須菩提。若菩薩以滿恒河沙等世界七寶。持用布施。	須 菩 提 若 菩 薩 以 滿 恒 河 沙 等 世 界 七 寶 持用布施 
X25n0506_002:0865a13	若復有人。知一切法無我。得成於忍。(忍即降伏之謂)此菩薩	若 復 有 人 知一切法 無 我 得 成 於 忍 忍 即 降 伏 之 謂 此 菩 薩 
X25n0506_002:0865a14	勝前菩薩所得功德。何以故。須菩提。以諸菩薩不受	勝 前 菩 薩 所得功德 何 以 故 須 菩 提 以 諸 菩 薩 不 受 
X25n0506_002:0865a15	福德故。須菩提白佛言。世尊。云何菩薩不受福德。須	福 德 故 須 菩 提 白 佛 言 世 尊 云 何 菩 薩 不 受 福 德 須 
X25n0506_002:0865a16	菩提。菩薩所作福德。不應貪著。是故說不受福德	菩 提 菩薩所作 福 德 不應貪著 是 故 說 不 受 福 德 
X25n0506_002:0865a17	(右第九節)。	 右 第 九 節 
