T48n2012A_001:0379b23	斷際心要	斷 際 心 要 
T48n2012A_001:0383c19	問六祖不會經書。何得傳衣為祖。秀上座是	問 六 祖 不 會 經 書 何 得 傳 衣 為 祖 秀 上 座 是 
T48n2012A_001:0383c20	五百人首座。為教授師。講得三十二本經論。	五 百 人 首 座 為 教 授 師 講 得 三 十 二 本 經 論 
T48n2012A_001:0383c21	云何不傳衣。師云。為他有心是有為法。所修	云 何 不 傳 衣 師 云 為 他 有 心 是 有 為 法 所 修 
T48n2012A_001:0383c22	所證將為是也。所以五祖付六祖。六祖當時	所 證 將 為 是 也 所 以 五 祖 付 六 祖 六 祖 當 時 
T48n2012A_001:0383c23	秖是默契。得密授如來甚深意。所以付法與	秖 是 默 契 得 密 授 如 來 甚 深 意 所 以 付 法 與 
T48n2012A_001:0383c24	他汝不見道。法本法無法。無法法亦法。今付	他 汝 不 見 道 法 本 法 無 法 無 法 法 亦 法 今 付 
T48n2012A_001:0383c25	無法時。法法何曾法。若會此意。方名出家兒。	無 法 時 法 法 何 曾 法 若 會 此 意 方 名 出 家 兒 
T48n2012A_001:0383c26	方好修行。若不信云何明上座走來大庾嶺	方 好 修 行 若 不 信 云 何 明 上 座 走 來 大 庾 嶺 
T48n2012A_001:0383c27	頭尋六祖。六祖便問。汝來求何事。為求衣為	頭 尋 六 祖 六 祖 便 問 汝 來 求 何 事 為 求 衣 為 
T48n2012A_001:0383c28	求法。明上座云。不為衣來。但為法來。六祖	求 法 明 上 座 云 不 為 衣 來 但 為 法 來 六 祖 
T48n2012A_001:0383c29	云。汝且暫時斂念。善惡都莫思量。明乃稟	云 汝 且 暫 時 斂 念 善 惡 都 莫 思 量 明 乃 稟 
T48n2012A_001:0384a01	語。六祖云。不思善不思惡。正當與麼時。還	語 六 祖 云 不 思 善 不 思 惡 正 當 與 麼 時 還 
T48n2012A_001:0384a02	我明上座父母未生時面目來。明於言下忽	我 明 上 座 父 母 未 生 時 面 目 來 明 於 言 下 忽 
T48n2012A_001:0384a03	然默契。便禮拜云。如人飲水冷煖自知。某	然 默 契 便 禮 拜 云 如 人 飲 水 冷 煖 自 知 某 
T48n2012A_001:0384a04	甲在五祖會中。枉用三十年工夫。今日方	甲 在 五 祖 會 中 枉 用 三 十 年 工 夫 今 日 方 
T48n2012A_001:0384a05	省前非。六祖云。如是。到此之時方知祖師	省 前 非 六 祖 云 如 是 到 此 之 時 方 知 祖 師 
T48n2012A_001:0384a06	西來直指人心見性成佛不在言說。豈不見。	西 來 直 指 人 心 見 性 成 佛 不 在 言 說 豈 不 見 
T48n2012A_001:0384a07	阿難問迦葉云。世尊傳金襴外別傳何物。迦	阿 難 問 迦 葉 云 世 尊 傳 金 襴 外 別 傳 何 物 迦 
T48n2012A_001:0384a08	葉召阿難。阿難應諾。迦葉云。倒却門前剎竿	葉 召 阿 難 阿 難 應 諾 迦 葉 云 倒 却 門 前 剎 竿 
T48n2012A_001:0384a09	著。此便是祖師之標榜也。甚生阿難三十年	著 此 便 是 祖 師 之 標 榜 也 甚 生 阿 難 三 十 年 
T48n2012A_001:0384a10	為侍者。秖為多聞智慧。被佛訶云。汝千日學	為 侍 者 秖 為 多 聞 智 慧 被 佛 訶 云 汝 千 日 學 
T48n2012A_001:0384a11	慧。不如一日學道。若不學道。滴水難消。	慧 不 如 一 日 學 道 若 不 學 道 滴 水 難 消 
T48n2012A_001:0384a12	問如何得不落階級。師云。終日喫飯未曾咬	問 如 何 得 不 落 階 級 師 云 終 日 喫 飯 未 曾 咬 
T48n2012A_001:0384a13	著一粒米。終日行未曾踏著一片地。與摩時	著 一 粒 米 終 日 行 未 曾 踏 著 一 片 地 與 摩 時 
T48n2012A_001:0384a14	無人我等相。終日不離一切事。不被諸境	無 人 我 等 相 終 日 不 離 一 切 事 不 被 諸 境 
T48n2012A_001:0384a15	惑。方名自在人。更時時念念不見一切相。莫	惑 方 名 自 在 人 更 時 時 念 念 不 見 一 切 相 莫 
T48n2012A_001:0384a16	認前後三際。前際無去今際無住後際無來。	認 前 後 三 際 前 際 無 去 今 際 無 住 後 際 無 來 
T48n2012A_001:0384a17	安然端坐任運不拘。方名解脫。努力努力。此	安 然 端 坐 任 運 不 拘 方 名 解 脫 努 力 努 力 此 
T48n2012A_001:0384a18	門中千人萬人。只得三箇五箇。若不將為事。	門 中 千 人 萬 人 只 得 三 箇 五 箇 若 不 將 為 事 
T48n2012A_001:0384a19	受殃有日在。故云。著力今生須了却。誰能累	受 殃 有 日 在 故 云 著 力 今 生 須 了 却 誰 能 累 
T48n2012A_001:0384a20	劫受餘殃。	劫 受 餘 殃 
T48n2012A_001:0384a21	黃檗山際禪師傳心法要終	黃 檗 山 際 禪 師 傳 心 法 要 終 
