X62n1205_001:0713c02	報恩論	報 恩 論 
X62n1205_001:0738a05	數之。第十三位還歸第一位。即三千大千世界。亦謂	數 之 第 十 三 位 還 歸 第 一 位 即 三千大千世界 亦 謂 
X62n1205_001:0738a06	千世界。再疊三箇千字以數之。則可見小千者。亦須	千 世 界 再 疊 三 箇 千 字 以 數 之 則 可 見 小 千 者 亦 須 
X62n1205_001:0738a07	以千數之。謂一千千也。即百萬也。中千當第十位。其	以 千 數 之 謂 一 千 千 也 即 百 萬 也 中 千 當 第 十 位 其 
X62n1205_001:0738a08	數即十億。更進一位即百億。又可見佛說百億日月	數 即 十 億 更 進 一 位 即 百 億 又 可 見 佛 說 百 億 日 月 
X62n1205_001:0738a09	世界。仍在華嚴大千界內。非出界外也。按楞嚴說世	世 界 仍 在 華 嚴 大 千 界 內 非 出 界 外 也 按 楞 嚴 說 世 
X62n1205_001:0738a10	界。謂世為遷流。界為方位。葢過去現在未來為三世。	界 謂 世 為 遷 流 界 為 方 位 葢 過去現在未來 為 三 世 
X62n1205_001:0738a11	東西南北為四界。故云三四四三。宛轉十二。流變三	東 西 南 北 為 四 界 故 云 三 四 四 三 宛 轉 十 二 流 變 三 
X62n1205_001:0738a12	疊。一十百千。今據此以十二為輪。乃象數之自然。不	疊 一 十 百 千 今 據 此 以 十 二 為 輪 乃 象 數 之 自 然 不 
X62n1205_001:0738a13	待安排。算術逢十進一位。自本位起。進一位為十。二	待 安 排 算 術 逢 十 進 一 位 自 本 位 起 進 一 位 為 十 二 
X62n1205_001:0738a14	位百。三位千。四位萬。五位十萬。六位百萬。華嚴稱大	位 百 三 位 千 四 位 萬 五 位 十 萬 六 位 百 萬 華 嚴 稱 大 
X62n1205_001:0738a15	方廣者。依數成平面方積者為大。成立體六面方者	方 廣 者 依 數 成 平 面 方 積 者 為 大 成 立 體 六 面 方 者 
X62n1205_001:0738a16	為方。再能變立體為平面者為廣。如表。十則不成平	為 方 再 能 變 立 體 為 平 面 者 為 廣 如 表 十 則 不 成 平 
X62n1205_001:0738a17	面。百則能平不能立。千則能立不能平。萬數雖百倍	面 百 則 能 平 不 能 立 千 則 能 立 不 能 平 萬 數 雖 百 倍 
X62n1205_001:0738a18	於百。而仍能平不能立。十萬雖百倍於千。而平立皆	於 百 而 仍 能 平 不 能 立 十 萬 雖 百 倍 於 千 而 平 立 皆 
X62n1205_001:0738a19	不能。但成縱方。故必以百萬起點。乃真能大能方能	不 能 但 成 縱 方 故 必 以 百 萬 起 點 乃 真 能 大 能 方 能 
X62n1205_001:0738a20	廣。此所以小千世界。其數必為千千也。如是再進六	廣 此 所 以 小千世界 其 數 必 為 千 千 也 如 是 再 進 六 
X62n1205_001:0738a21	位。其數萬萬萬。(即是萬億)則滿一輪。當第二輪之首。為第	位 其 數 萬 萬 萬 即 是 萬 億 則 滿 一 輪 當 第 二 輪 之 首 為 第 
X62n1205_001:0738a22	十三位。乃大千世界之大方廣相也。如是每進六位。	十 三 位 乃 大千世界 之 大 方 廣 相 也 如 是 每 進 六 位 
X62n1205_001:0738a23	皆能平能立。至滿第二輪。當第三輪之首。為廿五位。	皆 能 平 能 立 至 滿 第 二 輪 當 第 三 輪 之 首 為 廿 五 位 
X62n1205_001:0738a24	其數疊六箇萬字。從此再周兩輪。當第五輪之首。為	其 數 疊 六 箇 萬 字 從 此 再 周 兩 輪 當 第 五 輪 之 首 為 
X62n1205_001:0738b01	四十九位。其數疊十二箇萬字。再周四輪。當第九輪	四 十 九 位 其 數 疊 十 二 箇 萬 字 再 周 四 輪 當 第 九 輪 
X62n1205_001:0738b02	之首。為九十七位。其數疊廿四箇萬字。以下皆依輪	之 首 為 九 十 七 位 其 數 疊 廿 四 箇 萬 字 以 下 皆 依 輪 
X62n1205_001:0738b03	數。倍倍前進。例推可知。然輪數位數法界數。雖極大	數 倍 倍 前 進 例 推 可 知 然 輪 數 位 數 法 界 數 雖 極 大 
X62n1205_001:0738b04	極方極廣。至不可計算。而始終不離第一位。故約之	極 方 極 廣 至 不 可 計 算 而 始 終 不 離 第 一 位 故 約 之 
X62n1205_001:0738b05	方寸而自足也。(按字書蠶吐為忽。五忽為系。二系為絲。自忽以下。微茫不可辨矣。然不可	方 寸 而 自 足 也 按 字 書 蠶 吐 為 忽 五 忽 為 系 二 系 為 絲 自 忽 以 下 微 茫 不 可 辨 矣 然 不 可 
X62n1205_001:0738b06	謂之無。故算家自寸以下。列算二十位。今以寸方。約百二十二倍之數。固相去懸絕。善讀者不可泥文字以求	謂 之 無 故 算 家 自 寸 以 下 列 算 二 十 位 今 以 寸 方 約 百 二 十 二 倍 之 數 固 相 去 懸 絕 善 讀 者 不 可 泥 文 字 以 求 
X62n1205_001:0738b07	之)佛說華藏世界。如倒卓浮圖二十層。而娑婆與極	之 佛 說 華藏世界 如 倒 卓 浮 圖 二 十 層 而 娑 婆 與 極 
X62n1205_001:0738b08	樂。同在第十三層。夫一華藏世界。各有十華藏圍繞	樂 同 在 第 十 三 層 夫 一 華藏世界 各 有 十 華 藏 圍 繞 
X62n1205_001:0738b09	之。遞推無盡。而佛如是說者。可知正從數量見心量。	之 遞 推 無 盡 而 佛 如 是 說 者 可 知 正 從 數 量 見 心 量 
X62n1205_001:0738b10	自第一位倍倍增進。至第十三位。法象相符。以輪計	自 第 一 位 倍 倍 增 進 至 第 十 三 位 法 象 相 符 以 輪 計 
X62n1205_001:0738b11	位。纔到第二輪之首。又可見念起即是。所謂從第二	位 纔 到 第 二 輪 之 首 又 可 見 念 起 即 是 所 謂 從 第 二 
X62n1205_001:0738b12	頭相見。法象又相符。故彌陀經言十萬億佛剎。觀經	頭 相 見 法 象 又 相 符 故 彌 陀 經 言 十 萬 億 佛 剎 觀 經 
X62n1205_001:0738b13	言西方去此不遠者。皆謂其近在比鄰。以算計之。當	言 西 方 去 此 不 遠 者 皆 謂 其 近 在 比 鄰 以 算 計 之 當 
X62n1205_001:0738b14	第十四位。即第二輪之第二位也。或疑洛叉為億。(清涼	第 十 四 位 即 第 二 輪 之 第 二 位 也 或 疑 洛 叉 為 億 清 涼 
X62n1205_001:0738b15	疏有此說)華嚴以十為法。故以百億起點。正當第十一位。	疏 有 此 說 華 嚴 以 十 為 法 故 以 百 億 起 點 正 當 第 十 一 位 
X62n1205_001:0738b16	其算位亦當以十為輪。是從第二輪第一位起。如是	其 算 位 亦 當 以 十 為 輪 是 從 第 二 輪 第 一 位 起 如 是 
X62n1205_001:0738b17	倍倍增進。至第三輪之首。為廿一位。其數疊五箇萬	倍 倍 增 進 至 第 三 輪 之 首 為 廿 一 位 其 數 疊 五 箇 萬 
X62n1205_001:0738b18	字。再進兩輪。當第五輪之首。為四十一位。其數疊十	字 再 進 兩 輪 當 第 五 輪 之 首 為 四 十 一 位 其 數 疊 十 
X62n1205_001:0738b19	箇萬字。以下亦例推可知。此說雖以心量比之。亦始	箇 萬 字 以 下 亦 例 推 可 知 此 說 雖 以 心 量 比 之 亦 始 
X62n1205_001:0738b20	終不離第一位。而其起點。介於中千大千之間。固無	終 不 離 第 一 位 而 其 起 點 介 於 中 千 大 千 之 間 固 無 
X62n1205_001:0738b21	所取義。且其象皆為平方面。而不成立體。則是但能	所 取 義 且 其 象 皆 為 平 方 面 而 不 成 立 體 則 是 但 能 
X62n1205_001:0738b22	大。而不方不廣。與經義不合矣(若以十萬為億。謂百洛义。當第八位。其數	大 而 不 方 不 廣 與 經 義 不 合 矣 若 以 十 萬 為 億 謂 百 洛 义 當 第 八 位 其 數 
X62n1205_001:0738b23	千萬為起點。則自乘之。當第十五位。其數百萬萬。萬則是以縱方起點。而以下位次。皆雜亂無意義。更不待辨	千 萬 為 起 點 則 自 乘 之 當 第 十 五 位 其 數 百 萬 萬 萬 則 是 以 縱 方 起 點 而 以 下 位 次 皆 雜 亂 無 意 義 更 不 待 辨 
X62n1205_001:0738b24	矣)明眼者幸詳擇之。	矣 明 眼 者 幸 詳 擇 之 
X62n1205_001:0738c02	報恩論卷首	報 恩 論 卷 首 
X62n1205_001:0738c04	報恩論卷正上	報 恩 論 卷 正 上 
X62n1205_001:0738c06	桐鄉沈善登述海鹽張常惺校錄	桐 鄉 沈 善 登 述 海 鹽 張 常 惺 校 錄 
X62n1205_001:0738c07	淨土法門綱宗	淨 土 法 門 綱 宗 
X62n1205_001:0738c08	釋迦如來說法四十九年。三百餘會。究其要歸。惟在	釋 迦 如 來 說 法 四 十 九 年 三 百 餘 會 究 其 要 歸 惟 在 
X62n1205_001:0738c09	極樂淨土。稱極樂淨土者。是寂照不二。體用一如義。	極樂淨土 稱 極樂淨土 者 是 寂 照 不 二 體 用 一 如 義 
X62n1205_001:0738c10	由其一切具足。無假外求。一切現成。初不預計。謂之	由 其 一切具足 無 假 外 求 一 切 現 成 初 不 預 計 謂 之 
X62n1205_001:0738c11	極樂。是就照邊用邊說。由具足故。有無相忘。由現成	極 樂 是 就 照 邊 用 邊 說 由 具 足 故 有 無 相 忘 由 現 成 
X62n1205_001:0738c12	故。前後際斷。謂之淨土。是就寂邊體邊說。由具足故。	故 前後際斷 謂 之 淨 土 是 就 寂 邊 體 邊 說 由 具 足 故 
X62n1205_001:0738c13	有無相忘者。如人有耳目。決不自謂無。亦決不自謂	有 無 相 忘 者 如 人 有 耳 目 決 不 自 謂 無 亦 決 不 自 謂 
X62n1205_001:0738c14	有。而耳目宛在。由現成故。前後際斷者。如正當今日。	有 而 耳 目 宛 在 由 現 成 故 前後際斷 者 如 正 當 今 日 
X62n1205_001:0738c15	決不計其昨日在前。明日在後。而今日天然。是則寂	決 不 計 其 昨 日 在 前 明 日 在 後 而 今 日 天 然 是 則 寂 
X62n1205_001:0738c16	而常照。照而常寂。寂為體。照為用。體用一如。寂照不	而 常 照 照 而 常 寂 寂 為 體 照 為 用 體 用 一 如 寂 照 不 
X62n1205_001:0738c17	二也。此之名義。為一代時教之大綱領大結束。明文	二 也 此 之 名 義 為 一 代 時 教 之 大 綱 領 大 結 束 明 文 
X62n1205_001:0738c18	奧旨。具在諸經。粗舉大端。約有六證。	奧 旨 具 在 諸 經 粗 舉 大 端 約 有 六 證 
X62n1205_001:0738c19	彌陀經言。六方世界。恒沙諸佛。讚歎釋迦。能為一切	彌 陀 經 言 六 方 世 界 恒 沙 諸 佛 讚 歎 釋 迦 能 為 一 切 
X62n1205_001:0738c20	世間說此難信之法。且各於其國讚歎此經。普勸信	世 間 說 此 難 信 之 法 且 各 於 其 國 讚 歎 此 經 普 勸 信 
X62n1205_001:0738c21	受。夫世界無量。眾生無量。法門差別亦應無量。是以	受 夫 世界無量 眾 生 無 量 法 門 差 別 亦 應 無 量 是 以 
X62n1205_001:0738c22	本師十二分教。隨宜演說。各就當機。今云一切世間。	本 師 十二分教 隨 宜 演 說 各 就 當 機 今 云 一切世間 
X62n1205_001:0738c23	則此界不復揀擇。云佛佛同勸。則他方亦悉會歸。喻	則 此 界 不 復 揀 擇 云 佛 佛 同 勸 則 他 方 亦 悉 會 歸 喻 
X62n1205_001:0738c24	如羣曜拱[木*　]。萬流赴海。以其為無量門中之總持門	如 羣 曜 拱 [木 ] 萬 流 赴 海 以 其 為 無 量 門 中 之 總 持 門 
X62n1205_001:0739a01	故。其證一。	故 其 證 一 
X62n1205_001:0739a02	無量壽經言。當來經滅。我以慈悲哀愍。特留此經。止	無 量 壽 經 言 當 來 經 滅 我 以 慈 悲 哀 愍 特 留 此 經 止 
X62n1205_001:0739a03	住百歲。眾生值者。皆可得度。(準善見論法滅在萬年後。以眾生壽命百年滅	住 百 歲 眾 生 值 者 皆 可 得 度 準 善 見 論 法 滅 在 萬 年 後 以 眾 生 壽 命 百 年 滅 
X62n1205_001:0739a04	一歲計之。則正當人壽減至十歲時矣)又一說。經道滅後。彌陀名號。獨	一 歲 計 之 則 正 當 人 壽 減 至 十 歲 時 矣 又 一 說 經 道 滅 後 彌 陀 名 號 獨 
X62n1205_001:0739a05	留不滅。(不記出何經典)法滅時分久近。諸說不同。新婆娑論。	留 不 滅 不 記 出 何 經 典 法 滅 時 分 久 近 諸 說 不 同 新 婆 娑 論 
X62n1205_001:0739a06	最為諦當。論稱世尊不決定說正法住滅久近者。欲	最 為 諦 當 論 稱 世 尊 不 決 定 說 正 法 住 滅 久 近 者 欲 
X62n1205_001:0739a07	顯正法隨行法者住滅久近故。謂行法者。若行正法。	顯 正 法 隨 行 法 者 住 滅 久 近 故 謂 行 法 者 若 行 正 法 
X62n1205_001:0739a08	如佛在世時。及滅度未久時。則常住不滅。否則即滅。	如 佛 在 世 時 及 滅 度 未 久 時 則 常 住 不 滅 否 則 即 滅 
X62n1205_001:0739a09	正法有兩種。一世俗正法。謂經律論等名句文身。二	正 法 有 兩 種 一 世 俗 正 法 謂 經 律 論 等 名句文身 二 
X62n1205_001:0739a10	勝義正法。謂無漏聖道。行法亦有二種。一持教法。謂	勝 義 正 法 謂 無漏聖道 行 法 亦 有 二 種 一 持 教 法 謂 
X62n1205_001:0739a11	讀誦經律論等。二持證法。謂修證無漏聖道。若持教	讀 誦 經 律 論 等 二 持 證 法 謂 修 證 無漏聖道 若 持 教 
X62n1205_001:0739a12	者相續不滅。能令世俗正法久住。若持證者相續不	者 相 續 不 滅 能 令 世 俗 正法久住 若 持 證 者 相 續 不 
X62n1205_001:0739a13	滅。能令勝義正法久住云云。夫諸法無常。成必有毀。	滅 能 令 勝 義 正法久住 云 云 夫 諸 法 無 常 成 必 有 毀 
X62n1205_001:0739a14	世尊哀愍眾生。何不多留餘經。而但留此。又何不令	世 尊 哀 愍 眾 生 何 不 多 留 餘 經 而 但 留 此 又 何 不 令 
X62n1205_001:0739a15	久留不滅。而僅百歲。蓋餘經聽滅。正顯此一切具足。	久 留 不 滅 而 僅 百 歲 蓋 餘 經 聽 滅 正 顯 此 一切具足 
X62n1205_001:0739a16	一切現成之真心。歷劫不滅。(或問若然。則真心本來不滅。何假世尊哀愍特	一 切 現 成 之 真 心 歷 劫 不 滅 或 問 若 然 則 真 心 本 來 不 滅 何 假 世 尊 哀 愍 特 
X62n1205_001:0739a17	留。答。此之經留。正謂世俗正法名句文身。有相之物。成必有毀。非假佛力。焉能久留。若不久留。行法之人。何從	留 答 此 之 經 留 正 謂 世 俗 正 法 名句文身 有 相 之 物 成 必 有 毀 非 假 佛 力 焉 能 久 留 若 不 久 留 行 法 之 人 何 從 
X62n1205_001:0739a18	聞而生信。據此則淨土門中。勝義世俗二種正法。皆留不滅)云百歲者。當佛在世時。	聞 而 生 信 據 此 則 淨 土 門 中 勝義世俗 二 種 正 法 皆 留 不 滅 云 百 歲 者 當 佛 在 世 時 
X62n1205_001:0739a19	人壽早入減劫。極長大都百歲。故且就目前計之。猶	人 壽 早 入 減 劫 極 長 大 都 百 歲 故 且 就 目 前 計 之 猶 
X62n1205_001:0739a20	言眾生滅盡。此經方滅。而眾生前後相續。不入壞劫。	言 眾 生 滅 盡 此 經 方 滅 而 眾 生 前 後 相 續 不 入 壞 劫 
X62n1205_001:0739a21	畢竟不滅。則此經亦畢竟不滅。(或問壞劫後空劫。經與眾生。一切滅盡。此	畢 竟 不 滅 則 此 經 亦 畢 竟 不 滅 或 問 壞 劫 後 空 劫 經 與 眾 生 一 切 滅 盡 此 
X62n1205_001:0739a22	一切具足。一切現成之真心。還不滅否。答不滅。若滅則不復能成。前經空劫後。安得復有現在世界。問既云空	一切具足 一 切 現 成 之 真 心 還 不 滅 否 答 不 滅 若 滅 則 不 復 能 成 前 經 空 劫 後 安 得 復 有 現 在 世 界 問 既 云 空 
X62n1205_001:0739a23	劫。一切皆空。此心不滅。住於何處。答。待到爾時。為汝證明)不直言不滅者。正如新	劫 一切皆空 此 心 不 滅 住 於 何 處 答 待 到 爾 時 為 汝 證 明 不 直 言 不 滅 者 正 如 新 
X62n1205_001:0739a24	婆娑論說。欲顯正法住滅。隨行法者住滅久近耳。是	婆 娑 論 說 欲 顯 正 法 住 滅 隨 行 法 者 住 滅 久 近 耳 是 
X62n1205_001:0739b01	故彌陀亦有滅度。觀音補處。觀音亦有滅度。勢至補	故 彌 陀 亦 有 滅 度 觀 音 補 處 觀 音 亦 有 滅 度 勢 至 補 
X62n1205_001:0739b02	處。勢至則永不滅度。此之滅度。亦當如新婆沙論說。	處 勢 至 則 永 不 滅 度 此 之 滅 度 亦 當 如 新 婆 沙 論 說 
X62n1205_001:0739b03	溯自法流東土。至漢魏時。無量壽經。始有譯本。而自	溯 自 法 流 東 土 至 漢 魏 時 無 量 壽 經 始 有 譯 本 而 自 
X62n1205_001:0739b04	惠遠首倡到今。淨土法門。旋興旋廢。即近例遠。彌陀	惠 遠 首 倡 到 今 淨 土 法 門 旋 興 旋 廢 即 近 例 遠 彌 陀 
X62n1205_001:0739b05	觀音住滅之理。可以微會。勢至永不滅度者。以此法	觀 音 住 滅 之 理 可 以 微 會 勢 至 永 不 滅 度 者 以 此 法 
X62n1205_001:0739b06	為一切世間難信之法。雖當彌陀觀音正法住時。猶	為 一切世間 難 信 之 法 雖 當 彌 陀 觀 音 正 法 住 時 猶 
X62n1205_001:0739b07	有隆替。久而彌光。至此始得佛化一統。蓋此菩薩。以	有 隆 替 久 而 彌 光 至 此 始 得 佛 化 一 統 蓋 此 菩 薩 以 
X62n1205_001:0739b08	念佛心。入無生忍。今於此界。攝念佛人。歸於淨土。是	念 佛 心 入 無 生 忍 今 於 此 界 攝 念 佛 人 歸 於 淨 土 是 
X62n1205_001:0739b09	以楞嚴會上。選擇圓通。觀音居前。勢至殿後。餘二十	以 楞 嚴 會 上 選 擇 圓 通 觀 音 居 前 勢 至 殿 後 餘 二 十 
X62n1205_001:0739b10	三菩薩。盡入包羅。二菩薩皆彌陀補處。勢至尤為念	三 菩 薩 盡 入 包 羅 二 菩 薩 皆 彌 陀 補 處 勢 至 尤 為 念 
X62n1205_001:0739b11	佛初祖。足徵一代時教成始成終不越乎此。即今普	佛 初 祖 足 徵 一 代 時 教 成 始 成 終 不 越 乎 此 即 今 普 
X62n1205_001:0739b12	門示現。及淨土設施。世多崇尚。餘法門皆寥寥罕傳。	門 示 現 及 淨 土 設 施 世 多 崇 尚 餘 法 門 皆 寥 寥 罕 傳 
X62n1205_001:0739b13	已有明徵矣。其證二。	已 有 明 徵 矣 其 證 二 
X62n1205_001:0739b14	千經萬論指歸淨土。乃至華嚴為眾經中王。而普賢	千 經 萬 論 指 歸 淨 土 乃 至 華 嚴 為 眾 經 中 王 而 普 賢 
X62n1205_001:0739b15	行願。亦以十八願王。導歸極樂。夫一切法界。無非華	行 願 亦 以 十 八 願 王 導 歸 極 樂 夫 一 切 法 界 無 非 華 
X62n1205_001:0739b16	藏法界。今不以淨土歸華藏。轉以華藏歸淨土者。不	藏 法 界 今 不 以 淨 土 歸 華 藏 轉 以 華 藏 歸 淨 土 者 不 
X62n1205_001:0739b17	但華藏極樂同一土。遮那彌陀同一身。一多原自互	但 華 藏 極 樂 同 一 土 遮 那 彌 陀 同 一 身 一 多 原 自 互 
X62n1205_001:0739b18	攝。小大不妨相入。良以一切法界。皆唯眾生心作心	攝 小 大 不 妨 相 入 良 以 一 切 法 界 皆 唯 眾 生 心 作 心 
X62n1205_001:0739b19	是。(詳見無量壽經綱宗篇)是故眾生無盡。作是無盡。法界無盡。	是 詳 見 無 量 壽 經 綱 宗 篇 是 故 眾 生 無 盡 作 是 無 盡 法 界 無 盡 
X62n1205_001:0739b20	此作是心。不即現前介爾之一念。亦不離現前介爾	此 作 是 心 不 即 現 前 介 爾 之 一 念 亦 不 離 現 前 介 爾 
X62n1205_001:0739b21	之一念。窮根究源。祇是本來一切具足。一切現成。無	之 一 念 窮 根 究 源 祇 是 本 來 一切具足 一 切 現 成 無 
X62n1205_001:0739b22	可譬況。強名真心。雖在悶絕無記。未嘗斷滅。三途劇	可 譬 況 強 名 真 心 雖 在 悶 絕 無 記 未 嘗 斷 滅 三 途 劇 
X62n1205_001:0739b23	苦。宛爾逍遙。是以華嚴四法界無量法門。橫說豎說。	苦 宛 爾 逍 遙 是 以 華 嚴 四 法 界 無 量 法 門 橫 說 豎 說 
X62n1205_001:0739b24	漫無歸宿。不得不歸宿淨土。而善財五十三參。處處	漫 無 歸 宿 不 得 不 歸 宿 淨 土 而 善 財 五 十 三 參 處 處 
X62n1205_001:0739c01	唱言我已先發阿耨多羅三藐三菩提心。亦正指此。	唱 言 我 已 先 發 阿耨多羅三藐三菩提 心 亦 正 指 此 
X62n1205_001:0739c02	其證三。	其 證 三 
X62n1205_001:0739c03	諸經法門。不外除名遣相。遣除之極。至於無可遣除。	諸 經 法 門 不 外 除 名 遣 相 遣 除 之 極 至 於 無 可 遣 除 
X62n1205_001:0739c04	乃顯真如。淨土法門。一味建立名相。建立之極。至於	乃 顯 真 如 淨 土 法 門 一 味 建 立 名 相 建 立 之 極 至 於 
X62n1205_001:0739c05	無可建立。當體真如。所以然者。譬如斗斛量米。諸經	無 可 建 立 當 體 真 如 所 以 然 者 譬 如 斗 斛 量 米 諸 經 
X62n1205_001:0739c06	法門。意在舉似容積。故必傾盡米粒。方顯全量。淨土	法 門 意 在 舉 似 容 積 故 必 傾 盡 米 粒 方 顯 全 量 淨 土 
X62n1205_001:0739c07	法門。即以滿盛之米粒。實證容積之全量。見米即知。	法 門 即 以 滿 盛 之 米 粒 實 證 容 積 之 全 量 見 米 即 知 
X62n1205_001:0739c08	不待算數是知諸經遣除正為淨土建立猶之傾盡	不 待 算 數 是 知 諸 經 遣 除 正 為 淨 土 建 立 猶 之 傾 盡 
X62n1205_001:0739c09	米粒以顯全量正為推求容積以量米粒(以大辯才說真空法)若不爾者	米 粒 以 顯 全 量 正 為 推 求 容 積 以 量 米 粒 以 大 辯 才 說 真 空 法 若 不 爾 者 
X62n1205_001:0739c10	空知其量。而不量米。同無斗斛。非中道第一義空矣。	空 知 其 量 而 不 量 米 同 無 斗 斛 非 中 道 第一義空 矣 
X62n1205_001:0739c11	其證四。	其 證 四 
X62n1205_001:0739c12	色身即法身。妄念即正覺。全體大用。具足現成。諸大	色 身 即 法 身 妄 念 即 正 覺 全 體 大 用 具 足 現 成 諸 大 
X62n1205_001:0739c13	乘經。廣談理性。莫要於此。淨土諸經不然。功德莊嚴。	乘 經 廣 談 理 性 莫 要 於 此 淨 土 諸 經 不 然 功德莊嚴 
X62n1205_001:0739c14	不外根塵。且但說事。(十六觀經。諸佛如來。是法界身八句。亦是說事。以顯觀體。本文	不 外 根 塵 且 但 說 事 十 六 觀 經 諸佛如來 是 法 界 身 八 句 亦 是 說 事 以 顯 觀 體 本 文 
X62n1205_001:0739c15	自明)不說理。但說修。不說性。所以者何。種種言說。皆是	自 明 不 說 理 但 說 修 不 說 性 所以者何 種 種 言 說 皆 是 
X62n1205_001:0739c16	名相有對待法。惟此廣大心體。一切現成一切具足。	名 相 有 對 待 法 惟 此 廣 大 心 體 一 切 現 成 一切具足 
X62n1205_001:0739c17	絕代無對。而體不可見。假用方明。無柰眾生多生惑	絕 代 無 對 而 體 不 可 見 假 用 方 明 無 柰 眾 生 多 生 惑 
X62n1205_001:0739c18	習。欲為其本。致為名相所轉。迷頭認影。千言萬語。愈	習 欲 為 其 本 致 為 名 相 所 轉 迷 頭 認 影 千 言 萬 語 愈 
X62n1205_001:0739c19	辨愈惑。於是彌陀徹底悲心。隨順病情。方便與藥。即	辨 愈 惑 於 是 彌 陀 徹 底 悲 心 隨 順 病 情 方 便 與 藥 即 
X62n1205_001:0739c20	彼欲心。填我願海。還以願海。攝彼欲心。俾此一切現	彼 欲 心 填 我 願 海 還 以 願 海 攝 彼 欲 心 俾 此 一 切 現 
X62n1205_001:0739c21	成。一切具足之理性。全成事修。即體即用。覿面呈露。	成 一切具足 之 理 性 全 成 事 修 即 體 即 用 覿 面 呈 露 
X62n1205_001:0739c22	不待言說。故於淨穢苦樂一如之中。特地翻深出淺。	不 待 言 說 故 於 淨 穢 苦 樂 一 如 之 中 特 地 翻 深 出 淺 
X62n1205_001:0739c23	分別彼此緣淨還他淨穢還他穢樂還他樂苦還他	分 別 彼 此 緣 淨 還 他 淨 穢 還 他 穢 樂 還 他 樂 苦 還 他 
X62n1205_001:0739c24	苦(如以濁水清水二水同一淨)。正顯此一念用處。全真起妄。尚自一切現成。一切	苦 如 以 濁 水 清 水 二 水 同 一 淨 正 顯 此 一 念 用 處 全 真 起 妄 尚 自 一 切 現 成 一 切 
X62n1205_001:0740a01	具足。絕待無對。況在本體。是以說理說性。轉成剩言。	具 足 絕 待 無 對 況 在 本 體 是 以 說 理 說 性 轉 成 剩 言 
X62n1205_001:0740a02	而說事說修。正非分外。以眾生當體現成眾生具足	而 說 事 說 修 正 非 分 外 以 眾 生 當 體 現 成 眾 生 具 足 
X62n1205_001:0740a03	眾生故。譬如富家財庫寶藏。現成具足。簿籍分明。畢	眾 生 故 譬 如 富 家 財 庫 寶 藏 現 成 具 足 簿 籍 分 明 畢 
X62n1205_001:0740a04	竟逐一檢對。尤為親切。故知諸經所詮。無非證成淨	竟 逐 一 檢 對 尤 為 親 切 故 知 諸 經 所 詮 無 非 證 成 淨 
X62n1205_001:0740a05	土。其證五。	土 其 證 五 
X62n1205_001:0740a06	宗門剗除知見。一一消歸脚跟下。淨土即眾生知見。	宗 門 剗 除 知 見 一 一 消 歸 脚 跟 下 淨 土 即 眾 生 知 見 
X62n1205_001:0740a07	入佛知見。一一消歸他佛。所以然者。無念心體。唯佛	入 佛 知 見 一 一 消 歸 他 佛 所 以 然 者 無 念 心 體 唯 佛 
X62n1205_001:0740a08	獨證。此心體橫互十方。豎窮三際。彌陀所證光明無	獨 證 此 心 體 橫 互 十 方 豎 窮 三 際 彌 陀 所 證 光 明 無 
X62n1205_001:0740a09	量。壽命無量。即是此心。眾生原與彌陀公共。但為念	量 壽 命 無 量 即 是 此 心 眾 生 原 與 彌 陀 公 共 但 為 念 
X62n1205_001:0740a10	念不停。無由證得。然現前瞥爾一念起時。即是此心	念 不 停 無 由 證 得 然 現 前 瞥 爾 一 念 起 時 即 是 此 心 
X62n1205_001:0740a11	用處。是以乍聞佛名。或聞此經。不覺身心踴躍。便是	用 處 是 以 乍 聞 佛 名 或 聞 此 經 不 覺 身 心 踴 躍 便 是 
X62n1205_001:0740a12	從體起用。因而起念念佛。便是攝用歸體。久久純熟。	從 體 起 用 因 而 起 念 念 佛 便 是 攝 用 歸 體 久 久 純 熟 
X62n1205_001:0740a13	任運自念。便是體用一如。宗門就無念處直指心體。	任 運 自 念 便 是 體 用 一 如 宗 門 就 無 念 處 直 指 心 體 
X62n1205_001:0740a14	不立他佛。故曰不用求真。惟須息見。此中理諦。諸經	不 立 他 佛 故 曰 不 用 求 真 惟 須 息 見 此 中 理 諦 諸 經 
X62n1205_001:0740a15	非不廣談。但未切指下手工夫。建立專門。故稱教外	非 不 廣 談 但 未 切 指 下 手 工 夫 建 立 專 門 故 稱 教 外 
X62n1205_001:0740a16	別傳。淨土即有念時會取心體。專仗他佛。(淨土法門。以專念他	別 傳 淨 土 即 有 念 時 會 取 心 體 專 仗 他 佛 淨 土 法 門 以 專 念 他 
X62n1205_001:0740a17	佛。為的的正宗。並無念自佛。念自他佛。念實相佛。詳辨在後)故曰託外義成。唯心	佛 為 的 的 正 宗 並 無 念 自 佛 念 自 他 佛 念 實 相 佛 詳 辨 在 後 故 曰 託 外 義 成 唯 心 
X62n1205_001:0740a18	觀立此中理諦諸經既多散見而又特說三經歸根	觀 立 此 中 理 諦 諸 經 既 多 散 見 而 又 特 說 三 經 歸 根 
X62n1205_001:0740a19	一念。以總束之。乃真教內別傳也(四字得未曾有)。論法門之親切妙	一 念 以 總 束 之 乃 真 教 內 別 傳 也 四 字 得未曾有 論 法 門 之 親 切 妙 
