T42n1824_001:0001a03	中論序疏	中 論 序 疏 
T42n1824_005:0078b15	品但破有為不破無為。以計有為者多是小	品 但 破 有 為 不 破 無 為 以 計 有 為 者 多 是 小 
T42n1824_005:0078b16	乘根本義。又符大小乘經。又盛行天竺也。又	乘 根 本 義 又 符 大 小 乘 經 又 盛 行 天 竺 也 又 
T42n1824_005:0078b17	論破二種人。一不曾學問。但知自身有生老	論 破 二 種 人 一 不 曾 學 問 但 知 自 身 有 生 老 
T42n1824_005:0078b18	病死。外物生住變壞。於此內外起貪嗔癡。故	病 死 外 物 生 住 變 壞 於 此 內 外 起 貪 嗔 癡 故 
T42n1824_005:0078b19	造三有業受生老病死。論主直為此說無三	造 三 有 業 受 生老病死 論 主 直 為 此 說 無 三 
T42n1824_005:0078b20	相。汝言有三相者。為是有為為是無為。乃至	相 汝 言 有 三 相 者 為 是 有 為 為 是 無 為 乃 至 
T42n1824_005:0078b21	聚之與散。以一切門求無從。即知內外諸法	聚 之 與 散 以 一 切 門 求 無 從 即 知 內 外 諸 法 
T42n1824_005:0078b22	皆畢竟空。其人即便見實相生正觀斷煩惱。	皆 畢 竟 空 其 人 即 便 見 實 相 生 正 觀 斷 煩 惱 
T42n1824_005:0078b23	此是淨器人。翻易悟也。二者為內外學理之	此 是 淨 器 人 翻 易 悟 也 二 者 為 內 外 學 理 之 
T42n1824_005:0078b24	人種種推斥求並無從。以學問之流執有三	人 種 種 推 斥 求 並 無 從 以 學 問 之 流 執 有 三 
T42n1824_005:0078b25	相。不知無三說三。亦不知說三為明無三。故	相 不 知 無 三 說 三 亦 不 知 說 三 為 明 無 三 故 
T42n1824_005:0078b26	不得二智。不入佛知見不得成佛。論主憐愍	不 得 二 智 不 入 佛 知 見 不 得 成 佛 論 主 憐 愍 
T42n1824_005:0078b27	諸部求三無從。而說有三者此是無三說三。	諸 部 求 三 無 從 而 說 有 三 者 此 是 無 三 說 三 
T42n1824_005:0078b28	說三意在無三。即生二智入佛知見。三世十	說 三 意 在 無 三 即 生 二 智 入 佛 知 見 三 世 十 
T42n1824_005:0078b29	方佛出世大意如此。四依出世大意亦然。以	方 佛 出 世 大 意 如 此 四 依 出 世 大 意 亦 然 以 
T42n1824_005:0078c01	是故開諸門破三相也。又執有三相多是小	是 故 開 諸 門 破 三 相 也 又 執 有 三 相 多 是 小 
T42n1824_005:0078c02	乘人。聞說三作三解。今破三明三相無。三	乘 人 聞 說 三 作 三 解 今 破 三 明 三 相 無 三 
T42n1824_005:0078c03	相無故有為無。有為無故無為亦無。即諸法	相 無 故 有 為 無 有 為 無 故 無 為 亦 無 即 諸 法 
T42n1824_005:0078c04	畢竟空是佛行處。令小乘人迴小入大悟三	畢 竟 空 是 佛 行 處 令 小 乘 人 迴 小 入 大 悟 三 
T42n1824_005:0078c05	相畢竟空得實智。即知佛昔於小乘中說有	相 畢 竟 空 得 實 智 即 知 佛 昔 於 小 乘 中 說 有 
T42n1824_005:0078c06	三是方便得權智。具解開方便顯真實也。又	三 是 方 便 得 權 智 具 解 開 方 便 顯 真 實 也 又 
T42n1824_005:0078c07	智度論云。昔說五眾是無常生滅。今說五眾	智 度 論 云 昔 說 五 眾 是 無 常 生 滅 今 說 五 眾 
T42n1824_005:0078c08	是非常非無常分。則大小乘教經中直唱非	是 非常非無常 分 則 大 小 乘 教 經 中 直 唱 非 
T42n1824_005:0078c09	常非無常。而利根者即悟學。大乘人鈍根者	常 非 無 常 而 利 根 者 即 悟 學 大 乘 人 鈍 根 者 
T42n1824_005:0078c10	未了。今廣釋之。求三相有為不得非無常。無	未 了 今 廣 釋 之 求 三 相 有 為 不 得 非 無 常 無 
T42n1824_005:0078c11	為亦無故非常。令始行菩薩悟解大乘非常	為 亦 無 故 非 常 令 始 行 菩 薩 悟 解 大 乘 非 常 
T42n1824_005:0078c12	非無常。識中道發生正觀。是故破三相。	非 無 常 識 中 道 發 生 正 觀 是 故 破 三 相 
T42n1824_005:0078c13	中觀論疏卷第五(本)	中 觀 論 疏 卷 第 五 本 
T42n1824_006:0089a02	中觀論疏卷第六(本)	中 觀 論 疏 卷 第 六 本 
T42n1824_006:0089a04	釋吉藏撰	釋 吉 藏 撰 
T42n1824_006:0089a05	作者品第八	作 者 品 第 八 
T42n1824_006:0089a06	上來七品一周略破人法明大乘觀行。此下	上 來 七 品 一 周 略 破 人 法 明 大 乘 觀 行 此 下 
T42n1824_006:0089a07	十品重破人法明大乘觀行。略破為利根人	十 品 重 破 人 法 明 大 乘 觀 行 略 破 為 利 根 人 
T42n1824_006:0089a08	說重破為鈍根人說。問何以知前略破今重	說 重 破 為 鈍 根 人 說 問 何 以 知 前 略 破 今 重 
T42n1824_006:0089a09	破耶。答以前後二文證之知有二周之說。三	破 耶 答 以 前 後 二 文 證 之 知 有 二 周 之 說 三 
T42n1824_006:0089a10	相品末二偈有三雙。一偈洗有為無為一切	相 品 末 二 偈 有 三 雙 一 偈 洗 有 為 無 為 一 切 
T42n1824_006:0089a11	法體。一偈破有為無為一切名字。名體既	法 體 一 偈 破 有 為 無 為 一 切 名 字 名 體 既 
T42n1824_006:0089a12	無則人法悉空。故是一周。次一偈明法無從	無 則 人 法 悉 空 故 是 一 周 次 一 偈 明 法 無 從 
T42n1824_006:0089a13	即法說門破一偈舉喻。謂譬喻門破。法譬既	即 法 說 門 破 一 偈 舉 喻 謂 譬 喻 門 破 法 譬 既 
T42n1824_006:0089a14	圓則一周究竟。次一偈結論破無三相所以。	圓 則 一 周 究 竟 次 一 偈 結 論 破 無 三 相 所 以 
T42n1824_006:0089a15	一偈明經說有三相所由。既釋論會經故。是	一 偈 明 經 說 有 三 相 所 由 既 釋 論 會 經 故 是 
T42n1824_006:0089a16	一周究竟後文證者。長行序云。上來品品破	一 周 究 竟 後 文 證 者 長 行 序 云 上 來 品 品 破 
T42n1824_006:0089a17	一切法。悉無有餘。汝著心深故今當重說。既	一 切 法 悉 無 有 餘 汝 著 心 深 故 今 當 重 說 既 
T42n1824_006:0089a18	有重說之言。即知必是一周破也。所以破作	有 重 說 之 言 即 知 必 是 一 周 破 也 所 以 破 作 
T42n1824_006:0089a19	作者。一切眾生無始來謂有善惡無記人作	作 者 一 切 眾 生 無 始 來 謂 有 善 惡 無 記 人 作 
T42n1824_006:0089a20	善惡無記業。今撿無三人造三業。悟無生畢	善 惡 無 記 業 今 撿 無 三 人 造 三 業 悟 無 生 畢 
T42n1824_006:0089a21	竟空得解脫也。此意品品通用之。十品為二。	竟 空 得 解 脫 也 此 意 品 品 通 用 之 十 品 為 二 
T42n1824_006:0089a22	初四品正破人傍破法。次六品正破法傍破	初 四 品 正 破 人 傍 破 法 次 六 品 正 破 法 傍 破 
T42n1824_006:0089a23	人。所以爾者。一依觀門次第。人無生易得故	人 所 以 爾 者 一 依 觀 門 次 第 人 無 生 易 得 故 
T42n1824_006:0089a24	初正破人。法無生難得故。後破法。二此周為	初 正 破 人 法 無 生 難 得 故 後 破 法 二 此 周 為 
T42n1824_006:0089a25	鈍根人。故前破人後破法也。又二周互現。前	鈍 根 人 故 前 破 人 後 破 法 也 又 二 周 互 現 前 
T42n1824_006:0089a26	周正破法後傍破人。利根內學人多知無人	周 正 破 法 後 傍 破 人 利 根 內 學 人 多 知 無 人 
T42n1824_006:0089a27	少知無法。又內學人多計法少計人。十八部	少 知 無 法 又 內 學 人 多 計 法 少 計 人 十 八 部 
T42n1824_006:0089a28	中唯犢子計人耳。又前周從本至末。故前破	中 唯 犢 子 計 人 耳 又 前 周 從 本 至 末 故 前 破 
T42n1824_006:0089a29	法法是人本。後周從末至本。人是法末。互現	法 法 是 人 本 後 周 從 末 至 本 人 是 法 末 互 現 
T42n1824_006:0089b01	文也。又前周約說門次第。多從深至淺。後門	文 也 又 前 周 約 說 門 次 第 多 從 深 至 淺 後 門 
T42n1824_006:0089b02	據行門次第。從淺至深。四品破人。六品破法	據 行 門 次 第 從 淺 至 深 四 品 破 人 六 品 破 法 
T42n1824_006:0089b03	者。人易法難故也。作作者破人法之用。本住	者 人 易 法 難 故 也 作 作 者 破 人 法 之 用 本 住 
T42n1824_006:0089b04	品破人法體。燃可燃舉喻合破體用。本際品	品 破 人 法 體 燃 可 燃 舉 喻 合 破 體 用 本 際 品 
T42n1824_006:0089b05	窮人法之原。故四品正破人傍破法也。又初	窮 人 法 之 原 故 四 品 正 破 人 傍 破 法 也 又 初 
T42n1824_006:0089b06	品通破即離二我。但破即為正。如先尼計作者	品 通 破 即 離 二 我 但 破 即 為 正 如 先 尼 計 作 者 
T42n1824_006:0089b07	是即陰。次品正破離陰計我。燃可燃品通破	是 即 陰 次 品 正 破 離 陰 計 我 燃 可 燃 品 通 破 
T42n1824_006:0089b08	即離亦即離如是五句。本際釋疑。外疑云。	即 離 亦 即 離 如 是 五 句 本 際 釋 疑 外 疑 云 
T42n1824_006:0089b09	若三品無人法者無本際經何故說有故。名	若 三 品 無 人 法 者 無 本 際 經 何 故 說 有 故 名 
T42n1824_006:0089b10	釋疑。問曰。何故次三相後破作作者耶。答上	釋 疑 問 曰 何 故 次 三 相 後 破 作 作 者 耶 答 上 
T42n1824_006:0089b11	破有為無為一切悉空。外人云。三相是有為。	破 有 為 無 為 一 切 悉 空 外 人 云 三 相 是 有 為 
T42n1824_006:0089b12	有為名起作。故舉作作者證有三相。此是其	有 為 名 起 作 故 舉 作 作 者 證 有 三 相 此 是 其 
T42n1824_006:0089b13	傍意也。言正意者。從因緣品至五陰品破諸	傍 意 也 言 正 意 者 從 因 緣 品 至 五 陰 品 破 諸 
T42n1824_006:0089b14	法有明空解脫門。從六種至三相求一切相	法 有 明 空解脫門 從 六 種 至 三 相 求 一 切 相 
T42n1824_006:0089b15	不可得。名無相解脫門。從此品竟一論末求	不 可 得 名 無相解脫門 從 此 品 竟 一 論 末 求 
T42n1824_006:0089b16	作者不可得。明無作解脫門。故次三相品末	作 者 不 可 得 明 無 作 解 脫 門 故 次 三 相 品 末 
T42n1824_006:0089b17	破作作者也。外人云。若三相品明有為無為	破 作 作 者 也 外 人 云 若 三 相 品 明 有 為 無 為 
T42n1824_006:0089b18	一切空者。今現在造作施為。云何一切空耶。	一 切 空 者 今 現 在 造 作 施 為 云 何 一 切 空 耶 
T42n1824_006:0089b19	外謂。有六道眾生是作者。身口意是所用作	外 謂 有 六 道 眾 生 是 作 者 身 口 意 是 所 用 作 
T42n1824_006:0089b20	法。起罪福不動三業名為作業。得六道苦樂	法 起 罪 福 不 動 三 業 名 為 作 業 得 六 道 苦 樂 
T42n1824_006:0089b21	名果報也。三乘人為作者。身口意為所用法。	名 果 報 也 三 乘 人 為 作 者 身 口 意 為 所 用 法 
T42n1824_006:0089b22	起三乘業為作業。得三乘果為果報。現見九	起 三 乘 業 為 作 業 得 三 乘 果 為 果 報 現 見 九 
T42n1824_006:0089b23	道如此。云何言畢竟空耶。又三空次第者。	道 如 此 云 何 言 畢 竟 空 耶 又 三 空 次 第 者 
T42n1824_006:0089b24	前說空門竟。論主歎美空說無相門明不取	前 說 空 門 竟 論 主 歎 美 空 說 無 相 門 明 不 取 
T42n1824_006:0089b25	空相。今明無作正明菩薩生心動念即是作	空 相 今 明 無 作 正 明 菩 薩 生 心 動 念 即 是 作 
T42n1824_006:0089b26	業。謂有作空無相觀之。菩薩為作者。作此觀	業 謂 有 作 空 無 相 觀 之 菩 薩 為 作 者 作 此 觀 
T42n1824_006:0089b27	得佛道為果報。故此一門可窮下極上。極上	得 佛 道 為 果 報 故 此 一 門 可 窮 下 極 上 極 上 
T42n1824_006:0089b28	則法雲已還。下謂破世間造作施為。皆不可	則 法 雲 已 還 下 謂 破 世 間 造 作 施 為 皆 不 可 
T42n1824_006:0089b29	得也。二十七品立名有四。一從法受名。如情	得 也 二 十 七 品 立 名 有 四 一 從 法 受 名 如 情 
T42n1824_006:0089c01	陰之流。二從人受稱。如本住品等。三從譬立	陰 之 流 二 從 人 受 稱 如 本 住 品 等 三 從 譬 立 
T42n1824_006:0089c02	名。如燃可燃品。四人法合目。如作作者品。問	名 如 燃 可 燃 品 四 人 法 合 目 如 作 作 者 品 問 
T42n1824_006:0089c03	作作者染染者。此有何異。答染染者。但是意	作 作 者 染 染 者 此 有 何 異 答 染 染 者 但 是 意 
T42n1824_006:0089c04	地。唯明不善。作作者通於三業及以三性。又	地 唯 明 不 善 作 作 者 通 於 三 業 及 以 三 性 又 
T42n1824_006:0089c05	染染者但是煩惱門。作作者明於業門。又染	染 染 者 但 是 煩 惱 門 作 作 者 明 於 業 門 又 染 
T42n1824_006:0089c06	染者引經立義。作作者引事立義。謂現見造	染 者 引 經 立 義 作 作 者 引 事 立 義 謂 現 見 造 
T42n1824_006:0089c07	作施為之事也。問今破作作者與十六知見	作 施 為 之 事 也 問 今 破 作 作 者 與 十 六 知 見 
T42n1824_006:0089c08	中作作者何異。答十六知見但是破外道義。	中 作 作 者 何 異 答 十 六 知 見 但 是 破 外 道 義 
T42n1824_006:0089c09	今此中通破世間外道小乘大乘。身口意一	今 此 中 通 破 世 間 外 道 小 乘 大 乘 身 口 意 一 
T42n1824_006:0089c10	豪以有所得心有所造作。悉入此門破也。問	豪 以 有所得心 有 所 造 作 悉 入 此 門 破 也 問 
T42n1824_006:0089c11	何以故破一切造作耶。答大品經云。菩薩	何 以 故 破 一 切 造 作 耶 答 大 品 經 云 菩 薩 
T42n1824_006:0089c12	有麁細二業。若見有身口意名為麁業。不得	有 麁 細 二 業 若 見 有 身 口 意 名 為 麁 業 不 得 
T42n1824_006:0089c13	身口意名為細業。菩薩離於麁業。今欲辨菩	身 口 意 名 為 細 業 菩 薩 離 於 麁 業 今 欲 辨 菩 
T42n1824_006:0089c14	薩清淨業故破一切有所得造作施為也。二	薩 清 淨 業 故 破 一 切 有 所 得 造 作 施 為 也 二 
T42n1824_006:0089c15	者涅槃云。耆婆語世王云。大王若聞佛說	者 涅 槃 云 耆 婆 語 世 王 云 大 王 若 聞 佛 說 
T42n1824_006:0089c16	無作無受。王之重罪即得清淨。無作者謂	無 作 無 受 王 之 重 罪 即 得 清 淨 無 作 者 謂 
T42n1824_006:0089c17	無人作無法作。無受者謂無人受無法受。又	無 人 作 無 法 作 無 受 者 謂 無 人 受 無 法 受 又 
T42n1824_006:0089c18	經中略標利根即解。末世罪重故論主廣破	經 中 略 標 利 根 即 解 末 世 罪 重 故 論 主 廣 破 
T42n1824_006:0089c19	之。是以此品初明無作作者。後辨無受受	之 是 以 此 品 初 明 無 作 作 者 後 辨 無 受 受 
T42n1824_006:0089c20	者。即是諸方等經清淨懺悔法。四依菩薩	者 即 是 諸 方 等 經 清 淨 懺 悔 法 四 依 菩 薩 
T42n1824_006:0089c21	憐愍末世造罪眾生。故申十方佛方等大懺	憐 愍 末 世 造 罪 眾 生 故 申 十 方 佛 方 等 大 懺 
T42n1824_006:0089c22	也。品為二。第一長行序破立之由。第二偈本	也 品 為 二 第 一 長 行 序 破 立 之 由 第 二 偈 本 
T42n1824_006:0089c23	正明破也。初中前問次答。問者是不受前破	正 明 破 也 初 中 前 問 次 答 問 者 是 不 受 前 破 
T42n1824_006:0089c24	而更立。答即申前破不受後立。立中云。現有	而 更 立 答 即 申 前 破 不 受 後 立 立 中 云 現 有 
T42n1824_006:0089c25	作有作者有所用作法者。上來橫窮竪破事	作 有 作 者 有 所 用 作 法 者 上 來 橫 窮 竪 破 事 
T42n1824_006:0089c26	無不周。外人無辭可救。但舉眼現所見事以	無 不 周 外 人 無 辭 可 救 但 舉 眼 現 所 見 事 以 
T42n1824_006:0089c27	問。若都畢竟空者。無現事可見。既有現事	問 若 都 畢 竟 空 者 無 現 事 可 見 既 有 現 事 
T42n1824_006:0089c28	可見云何畢竟空。即不信前破故更立也。又	可 見 云 何 畢 竟 空 即 不 信 前 破 故 更 立 也 又 
T42n1824_006:0089c29	如人習無生觀。力淺無生觀恒不現前。而顛	如 人 習 無 生 觀 力 淺 無 生 觀 恒 不 現 前 而 顛 
T42n1824_006:0090a01	倒事恒現。故舉現事問也。作是業。三條。一能	倒 事 恒 現 故 舉 現 事 問 也 作 是 業 三 條 一 能 
T42n1824_006:0090a02	作來果。二為人所作。三體是起作。故名為作	作 來 果 二 為 人 所 作 三 體 是 起 作 故 名 為 作 
T42n1824_006:0090a03	也。作者亦三義。一體是起作法。二作前果。三	也 作 者 亦 三 義 一 體 是 起 作 法 二 作 前 果 三 
T42n1824_006:0090a04	能作於業。故名作者。所用作法有二。一內法	能 作 於 業 故 名 作 者 所 用 作 法 有 二 一 內 法 
T42n1824_006:0090a05	謂手脚根能有所作故名所用。二外校具。如	謂 手 脚 根 能 有 所 作 故 名 所 用 二 外 校 具 如 
T42n1824_006:0090a06	人手書要須用筆。故筆是所用法也。此二是	人 手 書 要 須 用 筆 故 筆 是 所 用 法 也 此 二 是 
T42n1824_006:0090a07	因書字即是果。答申前破不受後立者。一欲	因 書 字 即 是 果 答 申 前 破 不 受 後 立 者 一 欲 
T42n1824_006:0090a08	顯前一周破已竟。二欲以前門破後。三顯鈍	顯 前 一 周 破 已 竟 二 欲 以 前 門 破 後 三 顯 鈍 
T42n1824_006:0090a09	根無而立有。就答中有二。初奪次縱奪作作	根 無 而 立 有 就 答 中 有 二 初 奪 次 縱 奪 作 作 
T42n1824_006:0090a10	者。已入有為無為中破者。外道常遍我入無	者 已 入 有 為 無 為 中 破 者 外 道 常 遍 我 入 無 
T42n1824_006:0090a11	為中破。無常之我入有為中破。又外道具常	為 中 破 無 常 之 我 入 有 為 中 破 又 外 道 具 常 
T42n1824_006:0090a12	身作身。內道有生死有為人法佛地無為人	身 作 身 內 道 有 生 死 有 為 人 法 佛 地 無 為 人 
T42n1824_006:0090a13	法。並入此二門破也。汝著心深下。第二縱破。	法 並 入 此 二 門 破 也 汝 著 心 深 下 第 二 縱 破 
T42n1824_006:0090a14	據法則已無。約倒情謂有。是故破之。十二偈	據 法 則 已 無 約 倒 情 謂 有 是 故 破 之 十 二 偈 
T42n1824_006:0090a15	為二。初十一偈破作作者。即是破因中人法。	為 二 初 十 一 偈 破 作 作 者 即 是 破 因 中 人 法 
T42n1824_006:0090a16	次一偈破受受者。破果中人法。因果人法既	次 一 偈 破 受 受 者 破 果 中 人 法 因 果 人 法 既 
T42n1824_006:0090a17	無則一切空矣。又初破作作者破人法之用。	無 則 一 切 空 矣 又 初 破 作 作 者 破 人 法 之 用 
T42n1824_006:0090a18	後破受受者破人法之體。下云受名五陰。陰	後 破 受 受 者 破 人 法 之 體 下 云 受 名 五 陰 陰 
T42n1824_006:0090a19	是法體也。體用若傾則一切空矣。破作作者	是 法 體 也 體 用 若 傾 則 一 切 空 矣 破 作 作 者 
T42n1824_006:0090a20	中有二。初破有人法見。次破無人法見。就破	中 有 二 初 破 有 人 法 見 次 破 無 人 法 見 就 破 
T42n1824_006:0090a21	人法中義五。文四。義五者。一人法俱有無相	人 法 中 義 五 文 四 義 五 者 一 人 法 俱 有 無 相 
T42n1824_006:0090a22	作義。二人法俱無亦無相作。三半有半無亦	作 義 二 人 法 俱 無 亦 無 相 作 三 半 有 半 無 亦 
T42n1824_006:0090a23	無相作。四一有一無亦無相作。五人一法三	無 相 作 四 一 有 一 無 亦 無 相 作 五 人 一 法 三 
T42n1824_006:0090a24	人三法一亦無相作。以此五門窮檢一切。造	人 三 法 一 亦 無 相 作 以 此 五 門 窮 檢 一 切 造 
T42n1824_006:0090a25	作義畢竟無縱。即釋經中無作門也。又是破	作 義 畢 竟 無 縱 即 釋 經 中 無 作 門 也 又 是 破 
T42n1824_006:0090a26	外人一切造作義盡矣。文四者。初實有實無	外 人 一 切 造 作 義 盡 矣 文 四 者 初 實 有 實 無 
T42n1824_006:0090a27	門。二半有半無門。三一有一無門。四一三門。	門 二 半 有 半 無 門 三 一 有 一 無 門 四 一 三 門 
T42n1824_006:0090a28	初一門有六偈。又開為二。前有一偈標章門。	初 一 門 有 六 偈 又 開 為 二 前 有 一 偈 標 章 門 
T42n1824_006:0090a29	次有五偈釋章門。初偈上半明人法俱有無	次 有 五 偈 釋 章 門 初 偈 上 半 明 人 法 俱 有 無 
T42n1824_006:0090b01	作義。下半人法俱無亦無作義。上半初句明	作 義 下 半 人 法 俱 無 亦 無 作 義 上 半 初 句 明 
T42n1824_006:0090b02	定有人。即僧佉等四外道。佛法犢子譬喻成	定 有 人 即 僧 佉 等 四 外 道 佛 法 犢 子 譬 喻 成 
T42n1824_006:0090b03	實師。假有體及假有用等也。次句標破既決	實 師 假 有 體 及 假 有 用 等 也 次 句 標 破 既 決 
T42n1824_006:0090b04	定有人。人不作決定業。定業內外通有。而正	定 有 人 人 不 作 決 定 業 定 業 內 外 通 有 而 正 
T42n1824_006:0090b05	是薩婆多未來本有善惡等業。竟不復須人	是 薩 婆 多 未 來 本 有 善 惡 等 業 竟 不 復 須 人 
T42n1824_006:0090b06	造作也。又今不論未來直明實有人體業體。	造 作 也 又 今 不 論 未 來 直 明 實 有 人 體 業 體 
T42n1824_006:0090b07	無有作義。下半初句牒無人。次標破。問此為	無 有 作 義 下 半 初 句 牒 無 人 次 標 破 問 此 為 
T42n1824_006:0090b08	是執無有人。為計無為人耶。答非是執無有	是 執 無 有 人 為 計 無 為 人 耶 答 非 是 執 無 有 
T42n1824_006:0090b09	人。但言人體是無能起作業。問誰計人體是	人 但 言 人 體 是 無 能 起 作 業 問 誰 計 人 體 是 
T42n1824_006:0090b10	無而作業耶。答若執人是有為名之為有。計	無 而 作 業 耶 答 若 執 人 是 有 為 名 之 為 有 計 
T42n1824_006:0090b11	人是無為秤之為無。又假有體是執人有假	人 是 無 為 秤 之 為 無 又 假 有 體 是 執 人 有 假 
T42n1824_006:0090b12	無體是計人無。又犢子計人有。薩婆多明人	無 體 是 計 人 無 又 犢 子 計 人 有 薩 婆 多 明 人 
T42n1824_006:0090b13	無。但有假名而秤人作於業也。又上半不因	無 但 有 假 名 而 秤 人 作 於 業 也 又 上 半 不 因 
T42n1824_006:0090b14	業有人。不因人有業。故無相作。下半因業有	業 有 人 不 因 人 有 業 故 無 相 作 下 半 因 業 有 
T42n1824_006:0090b15	人。因人有業。則人業皆無體。則無人業故無	人 因 人 有 業 則 人 業 皆 無 體 則 無 人 業 故 無 
T42n1824_006:0090b16	相作。問何以知計有是人計無是人耶。答顛	相 作 問 何 以 知 計 有 是 人 計 無 是 人 耶 答 顛 
T42n1824_006:0090b17	倒品云。我法以有無。是事終不成。故知計人	倒 品 云 我 法 以 有 無 是 事 終 不 成 故 知 計 人 
T42n1824_006:0090b18	是有無也。第二偈以去是第二釋章門為三。	是 有 無 也 第 二 偈 以 去 是 第 二 釋 章 門 為 三 
T42n1824_006:0090b19	初一偈釋章門。次一偈顯人法俱有則墮無	初 一 偈 釋 章 門 次 一 偈 顯 人 法 俱 有 則 墮 無 
T42n1824_006:0090b20	因過。第三三偈傳釋無因過。初偈上半破定	因 過 第 三 三 偈 傳 釋 無 因 過 初 偈 上 半 破 定 
T42n1824_006:0090b21	有業。下半破定有人。定有業體有二過。若實	有 業 下 半 破 定 有 人 定 有 業 體 有 二 過 若 實 
T42n1824_006:0090b22	有業體。本來已有不得言本未作今始作。則	有 業 體 本 來 已 有 不 得 言 本 未 作 今 始 作 則 
T42n1824_006:0090b23	世間唯有故業無新業也。二者本來已有。不	世 間 唯 有 故 業 無 新 業 也 二 者 本 來 已 有 不 
T42n1824_006:0090b24	須人起故復有離人過也。下半亦二。一者既	須 人 起 故 復 有 離 人 過 也 下 半 亦 二 一 者 既 
T42n1824_006:0090b25	本來有作者。不應更有造作。二既本來已有。	本 來 有 作 者 不 應 更 有 造 作 二 既 本 來 已 有 
T42n1824_006:0090b26	不須作業成人。須精細取文意。有一豪業體	不 須 作 業 成 人 須 精 細 取 文 意 有 一 豪 業 體 
T42n1824_006:0090b27	則業有二過。有一豪人體人有二過。何者為	則 業 有 二 過 有 一 豪 人 體 人 有 二 過 何 者 為 
T42n1824_006:0090b28	一豪人體。則本來已有不假緣合而成。亦不	一 豪 人 體 則 本 來 已 有 不 假 緣 合 而 成 亦 不 
T42n1824_006:0090b29	假緣離而滅。故此人是常。則常已作竟。何須	假 緣 離 而 滅 故 此 人 是 常 則 常 已 作 竟 何 須 
T42n1824_006:0090c01	更作。復何須假業而成耶。業二過亦爾。長行	更 作 復 何 須 假 業 而 成 耶 業 二 過 亦 爾 長 行 
T42n1824_006:0090c02	初釋偈本。從不決定已下顯論主不破人法	初 釋 偈 本 從 不 決 定 已 下 顯 論 主 不 破 人 法 
T42n1824_006:0090c03	俱無意。二俱是有有尚無作。二俱是無無云	俱 無 意 二 俱 是 有 有 尚 無 作 二 俱 是 無 無 云 
T42n1824_006:0090c04	何有作。故不須破無也。復次若定有作者下。	何 有 作 故 不 須 破 無 也 復 次 若 定 有 作 者 下 
T42n1824_006:0090c05	第二重顯人法俱有墮無因過。即是初章四	第 二 重 顯 人 法 俱 有 墮 無 因 過 即 是 初 章 四 
T42n1824_006:0090c06	對。若有人可人有法可法。有人可人人不因	對 若 有 人 可 人 有 法 可 法 有 人 可 人 人 不 因 
T42n1824_006:0090c07	法。有法可法法不因人。故人是自人法是自	法 有 法 可 法 法 不 因 人 故 人 是 自 人 法 是 自 
T42n1824_006:0090c08	法。故名無因也。然須細心觀文意。若有一豪	法 故 名 無 因 也 然 須 細 心 觀 文 意 若 有 一 豪 
T42n1824_006:0090c09	人體則不因法。法亦爾。如是長短生死涅槃。	人 體 則 不 因 法 法 亦 爾 如 是 長 短 生死涅槃 
T42n1824_006:0090c10	有一豪無相因。無相因則破因緣。破中道也。	有 一 豪 無 相 因 無 相 因 則 破 因 緣 破 中 道 也 
T42n1824_006:0090c11	若無一豪人法亦無可相因。可謂正觀微妙	若 無 一 豪 人 法 亦 無 可 相 因 可 謂 正 觀 微 妙 
T42n1824_006:0090c12	虛妄易傾也。問曰。下生第三傳顯無因過也。	虛 妄 易 傾 也 問 曰 下 生 第 三 傳 顯 無 因 過 也 
T42n1824_006:0090c13	答中三偈為二。初別明無因過。次半行總結	答 中 三 偈 為 二 初 別 明 無 因 過 次 半 行 總 結 
T42n1824_006:0090c14	別明。中有十過。謂因果人法罪福及罪福報	別 明 中 有 十 過 謂 因 果 人 法 罪 福 及 罪 福 報 
T42n1824_006:0090c15	世出世也。則無因無果者。人不因法則無法	世 出 世 也 則 無 因 無 果 者 人 不 因 法 則 無 法 
T42n1824_006:0090c16	因。無法因則無人。是果法亦爾。問前已明無	因 無 法 因 則 無 人 是 果 法 亦 爾 問 前 已 明 無 
T42n1824_006:0090c17	因果。何故復云無罪福及罪福報耶。答前明	因 果 何 故 復 云 無 罪 福 及 罪 福 報 耶 答 前 明 
T42n1824_006:0090c18	無外法中瓶等因果。後明無內法因果。又約	無 外 法 中 瓶 等 因 果 後 明 無 內 法 因 果 又 約 
T42n1824_006:0090c19	數人義。後但明無報因因果。前通明餘五因	數 人 義 後 但 明 無 報 因 因 果 前 通 明 餘 五 因 
T42n1824_006:0090c20	因果。成實亦爾。後明無報因因果。前明習	因 果 成 實 亦 爾 後 明 無 報 因 因 果 前 明 習 
T42n1824_006:0090c21	因因果及依因因果也。問論文或言天涅槃	因 因 果 及 依 因 因 果 也 問 論 文 或 言 天 涅 槃 
T42n1824_006:0090c22	或言大涅槃。何者是耶。答大是矣。前罪福報	或 言 大 涅 槃 何 者 是 耶 答 大 是 矣 前 罪 福 報 
T42n1824_006:0090c23	已說天報竟故也。長行為二。初釋人法俱有	已 說 天 報 竟 故 也 長 行 為 二 初 釋 人 法 俱 有 
T42n1824_006:0090c24	墮無因。無因有十過。從問曰已下顯論主但	墮 無 因 無 因 有 十 過 從 問 曰 已 下 顯 論 主 但 
