T85n2749_001:0180a03	法華經疏	法 華 經 疏 
T85n2749_001:0184b14	者。如女餓鬼。白目連云。我夜生五子。晝時亦	者 如 女 餓 鬼 白 目 連 云 我 夜 生 五 子 晝 時 亦 
T85n2749_001:0184b15	生五。生已皆食盡。如此我無飽。問。何生最	生 五 生 已 皆 食 盡 如 此 我 無 飽 問 何 生 最 
T85n2749_001:0184b16	勝。答。化生。問。若爾云何最後生菩薩。已得	勝 答 化 生 問 若爾云何 最 後 生 菩 薩 已 得 
T85n2749_001:0184b17	生自在唯受胎生。答。見大利益故。大利益者。	生 自 在 唯 受 胎 生 答 見 大 利 益 故 大 利 益 者 
T85n2749_001:0184b18	由親屬相關。今無量釋迦種得入正法故。此	由 親 屬 相 關 今 無 量 釋 迦 種 得 入 正 法 故 此 
T85n2749_001:0184b19	人是轉輪種。但由此名生他恭敬尊重。背邪	人 是 轉 輪 種 但 由 此 名 生 他 恭 敬 尊 重 背 邪 
T85n2749_001:0184b20	歸正故。人道得此勝利。起受化者。正勤心	歸 正 故 人 道 得 此 勝 利 起 受 化 者 正 勤 心 
T85n2749_001:0184b21	故。除世間疑。此眾生是何幻或為天為鬼故。	故 除 世 間 疑 此 眾 生 是 何 幻 或 為 天 為 鬼 故 
T85n2749_001:0184b22	除外道謗。一百劫盡。幻人世噉食世間故。餘	除 外 道 謗 一 百 劫 盡 幻 人 世 噉 食 世 間 故 餘 
T85n2749_001:0184b23	師說為安立舍利。令他供養得生天解脫。何	師 說 為 安 立 舍 利 令 他 供 養 得 生 天 解 脫 何 
T85n2749_001:0184b24	以故。化生眾生無外種子。若死身不得住故。	以 故 化 生 眾 生 無 外 種 子 若 死 身 不 得 住 故 
T85n2749_001:0184b25	若人信佛有成願通慧此救不然。因論起論。	若 人 信 佛 有 成 願 通 慧 此 救 不 然 因 論 起 論 
T85n2749_001:0184b26	若化生眾生屍骸不可得。經中云何說化生	若 化 生 眾 生 屍 骸 不 可 得 經 中 云 何 說 化 生 
T85n2749_001:0184b27	迦婁羅取化生龍為食。答不解故無失。復有	迦 婁 羅 取 化 生 龍 為 食 答 不 解 故 無 失 復 有 
T85n2749_001:0184b28	食乃至未死。若死無復飽。此謂生類也。界類	食 乃 至 未 死 若 死 無 復 飽 此 謂 生 類 也 界 類 
T85n2749_001:0184b29	者即有形無形也。界有三。欲界二色界三無	者 即 有 形 無 形 也 界 有 三 欲 界 二 色 界 三 無 
T85n2749_001:0184c01	色界。俱舍云。界以持為義。或性為義。案持	色 界 俱 舍 云 界 以 持 為 義 或 性 為 義 案 持 
T85n2749_001:0184c02	是攝義。性是因義。各攝自相同類相生故名	是 攝 義 性 是 因 義 各 攝 自 相 同 類 相 生 故 名 
T85n2749_001:0184c03	為界。若法為欲欲所縛故名欲界。為色欲所	為 界 若 法 為 欲 欲 所 縛 故 名 欲 界 為 色 欲 所 
T85n2749_001:0184c04	縛故名色界。為無色欲所縛故名無色界。三	縛 故 名 色 界 為 無 色 欲 所 縛 故 名 無 色 界 三 
T85n2749_001:0184c05	處欲體是欲亦是界。三處欲外法是界而非	處 欲 體 是 欲 亦 是 界 三 處 欲 外 法 是 界 而 非 
T85n2749_001:0184c06	欲。而名欲界色界無色界者。一與三處欲相	欲 而 名 欲界色界無色界 者 一 與 三 處 欲 相 
T85n2749_001:0184c07	應故。二能持三處欲故。故俱舍明是界與欲	應 故 二 能 持 三 處 欲 故 故 俱 舍 明 是 界 與 欲 
T85n2749_001:0184c08	欲相應故名欲界。復次此界是欲界家界能	欲 相 應 故 名 欲 界 復 次 此 界 是 欲 界 家 界 能 
T85n2749_001:0184c09	持欲故。餘二亦爾。問。若三界通有欲則通是	持 欲 故 餘 二 亦 爾 問 若 三 界 通 有 欲 則 通 是 
T85n2749_001:0184c10	欲界。云何立三界。答。欲界具有四欲。一色	欲 界 云 何 立 三 界 答 欲 界 具 有 四 欲 一 色 
T85n2749_001:0184c11	欲。二心欲。三食欲。四婬欲。色界有二欲。色	欲 二 心 欲 三 食 欲 四 婬 欲 色 界 有 二 欲 色 
T85n2749_001:0184c12	欲心欲。無色界有一欲。謂心欲。欲界欲滿而	欲 心 欲 無 色 界 有 一 欲 謂 心 欲 欲 界 欲 滿 而 
T85n2749_001:0184c13	色微。色界色滿而欲微無色界色斷而欲微。	色 微 色 界 色 滿 而 欲 微 無 色 界 色 斷 而 欲 微 
T85n2749_001:0184c14	欲界欲滿故名欲界。色微故不名色界。有色	欲 界 欲 滿 故 名 欲 界 色 微 故 不 名 色 界 有 色 
T85n2749_001:0184c15	故非無色界。色界色滿故名色界。欲微故不	故 非 無 色 界 色 界 色 滿 故 名 色 界 欲 微 故 不 
T85n2749_001:0184c16	名欲界。有欲故非無欲界。如是建立三界。欲	名 欲 界 有 欲 故 非 無 欲 界 如 是 建 立 三 界 欲 
T85n2749_001:0184c17	界以二十處為體。色界或十六處。或十七處	界 以 二 十 處 為 體 色 界 或 十 六 處 或 十 七 處 
T85n2749_001:0184c18	為體。無色界四處為體。於中若眾生若器世。	為 體 無 色 界 四 處 為 體 於 中 若 眾 生 若 器 世 
T85n2749_001:0184c19	若善若染污若無記若中陰。悉為三界體。由	若 善 若 染 污 若 無 記 若 中 陰 悉 為 三 界 體 由 
T85n2749_001:0184c20	三界貪使所使故。由能持三界欲故。故俱舍	三 界 貪 使 所 使 故 由 能 持 三 界 欲 故 故 俱 舍 
T85n2749_001:0184c21	明有諸界出五道。若善染污器世界中陰為	明 有 諸 界 出 五 道 若 善 染 污 器 世 界 中 陰 為 
T85n2749_001:0184c22	性。是界非道。五道者是無覆無記眾生非中	性 是 界 非 道 五 道 者 是 無覆無記 眾 生 非 中 
T85n2749_001:0184c23	陰故。然此三界。欲界其必有色。色界其必無	陰 故 然 此 三 界 欲 界 其 必 有 色 色 界 其 必 無 
T85n2749_001:0184c24	欲。無色一界無色無欲。言有形攝下二界眾	欲 無 色 一 界 無 色 無 欲 言 有 形 攝 下 二 界 眾 
T85n2749_001:0184c25	生。言無形攝上一界眾生也。體類者即有想	生 言 無 形 攝 上 一 界 眾 生 也 體 類 者 即 有 想 
T85n2749_001:0184c26	無想非有想非無想也。一切眾生以想為性。	無 想 非 有 想 非 無 想 也 一 切 眾 生 以 想 為 性 
T85n2749_001:0184c27	一有想。謂有心而麁。二無想。謂無心而寂。	一 有 想 謂 有 心 而 麁 二 無 想 謂 無 心 而 寂 
T85n2749_001:0184c28	三非有想非無想。謂雖有心非麁非寂非麁	三 非 有 想 非 無 想 謂 雖 有 心 非 麁 非 寂 非 麁 
T85n2749_001:0184c29	故異乎有想。非寂故異乎無想。故曰非有想	故 異 乎 有 想 非 寂 故 異 乎 無 想 故 曰 非 有 想 
T85n2749_001:0185a01	非無想也。言有想即攝七有想定及欲界眾	非 無 想 也 言 有 想 即 攝 七 有 想 定 及 欲 界 眾 
T85n2749_001:0185a02	生也。言無想即攝二無想定及無想天眾生	生 也 言 無 想 即 攝 二 無 想 定 及 無 想 天 眾 生 
T85n2749_001:0185a03	也。言非有想非無想即攝非想非非想眾生	也 言 非 有 想 非 無 想 即 攝 非想非非想 眾 生 
T85n2749_001:0185a04	也。真諦又解分別眾生有凡有聖。凡夫二種。	也 真 諦 又 解 分 別 眾 生 有 凡 有 聖 凡 夫 二 種 
T85n2749_001:0185a05	謂未成已成。未成者未成想位。謂從託胎以	謂 未 成 已 成 未 成 者 未 成 想 位 謂 從 託 胎 以 
T85n2749_001:0185a06	去乃至愛位但名得界。未能得想。由未能具	去 乃 至 愛 位 但 名 得 界 未 能 得 想 由 未 能 具 
T85n2749_001:0185a07	足分別是非及安立來世生因故。但名無想。	足 分 別 是 非 及 安 立 來 世 生 因 故 但 名 無 想 
T85n2749_001:0185a08	已成者已成想位。謂從取至有得名有想。已	已 成 者 已 成 想 位 謂 從 取 至 有 得 名 有 想 已 
T85n2749_001:0185a09	能分別是非及能安立來世生因故。故名有	能 分 別 是 非 及 能 安 立 來 世 生 因 故 故 名 有 
T85n2749_001:0185a10	想聖人。但有第三句。謂非想非非想非想者。	想 聖 人 但 有 第 三 句 謂 非想非非想 非 想 者 
T85n2749_001:0185a11	離三界想陰故。非非想者離三界所餘陰故。	離 三 界 想 陰 故 非 非 想 者 離 三 界 所 餘 陰 故 
T85n2749_001:0185a12	唯是三無流根說名為覺。小乘從初果至羅	唯 是 三 無 流 根 說 名 為 覺 小 乘 從 初 果 至 羅 
T85n2749_001:0185a13	漢。大乘從初地至金剛。皆名非想非非想。五	漢 大 乘 從 初 地 至 金 剛 皆 名 非想非非想 五 
T85n2749_001:0185a14	方便及四十心並名相。似非想非非想。佛果	方 便 及 四 十 心 並 名 相 似 非想非非想 佛 果 
T85n2749_001:0185a15	非是菩薩所化故不論之。相類者。即無足二	非 是 菩 薩 所 化 故 不 論 之 相 類 者 即 無 足 二 
T85n2749_001:0185a16	足四足多足可解。十地論云。六趣者苦樂差	足 四 足 多 足 可 解 十 地 論 云 六 趣 者 苦 樂 差 
T85n2749_001:0185a17	別。四生者依止差別。依止業故。有形無形	別 四 生 者 依 止 差 別 依 止 業 故 有 形 無 形 
T85n2749_001:0185a18	者。色無色差別。有想無想者。麁細差別。有足	者 色 無 色 差 別 有 想 無 想 者 麁 細 差 別 有 足 
T85n2749_001:0185a19	無足者。形相差別。如是等在眾生數者總結	無 足 者 形 相 差 別 如 是 等 在 眾 生 數 者 總 結 
T85n2749_001:0185a20	也。	也 
T85n2749_001:0185a21	經曰。有人求福至滿八十年已者。此第五起	經 曰 有 人 求 福 至 滿 八 十 年 已 者 此 第 五 起 
T85n2749_001:0185a22	行也兩重。一起財施行。二起法施行。財施三	行 也 兩 重 一 起 財 施 行 二 起 法 施 行 財 施 三 
T85n2749_001:0185a23	意。一隨求施。二勝物施。三長時施。隨其所	意 一 隨 求 施 二 勝 物 施 三 長 時 施 隨 其 所 
T85n2749_001:0185a24	欲皆給與之者。是隨求施。七珍象馬等是勝	欲 皆 給 與 之 者 是 隨 求 施 七 珍 象 馬 等 是 勝 
T85n2749_001:0185a25	物施。與七寶者生藏攝利益喜。與象馬車乘	物 施 與 七 寶 者 生 藏 攝 利 益 喜 與 象 馬 車 乘 
T85n2749_001:0185a26	者生代步利益喜。與宮殿樓閣等生受用利	者 生 代 步 利 益 喜 與 宮 殿 樓 閣 等 生 受 用 利 
T85n2749_001:0185a27	益喜。是大施主如是布施滿八十年者。是長	益 喜 是 大 施 主 如 是 布 施 滿 八 十 年 者 是 長 
T85n2749_001:0185a28	時施。佛在時上壽百二十。中壽百歲。下壽八	時 施 佛 在 時 上 壽 百 二 十 中 壽 百 歲 下 壽 八 
T85n2749_001:0185a29	十。欲顯命難保故。以下壽為其量。	十 欲 顯 命 難 保 故 以 下 壽 為 其 量 
T85n2749_001:0185b01	經曰。而作是念至而訓導之者。次起法施行	經 曰 而 作 是 念 至 而 訓 導 之 者 次 起 法 施 行 
T85n2749_001:0185b02	三重。一謀化。二正化。三受化謀化也。五欲	三 重 一 謀 化 二 正 化 三 受 化 謀 化 也 五 欲 
T85n2749_001:0185b03	之具雖充百年之期已及。既與現世之樂。須	之 具 雖 充 百 年 之 期 已 及 既 與 現 世 之 樂 須 
T85n2749_001:0185b04	拔當來之苦故。曰當以佛法而訓導之。	拔 當 來 之 苦 故 曰 當 以 佛 法 而 訓 導 之 
T85n2749_001:0185b05	經曰。即集此眾生示教利喜者。此正化也。示	經 曰 即 集 此 眾 生 示 教 利 喜 者 此 正 化 也 示 
T85n2749_001:0185b06	教利喜如上解。	教 利 喜 如 上 解 
T85n2749_001:0185b07	經曰。一時皆得至具八解脫者。此受化也。受	經 曰 一 時 皆 得 至 具 八 解 脫 者 此 受 化 也 受 
T85n2749_001:0185b08	化之徒並具四沙門果及八解脫。	化 之 徒 並 具 四沙門果 及 八 解 脫 
T85n2749_001:0185b09	經曰。於意云何至寧為多不者。第六量福也。	經 曰 於意云何 至 寧 為 多 不 者 第 六 量 福 也 
T85n2749_001:0185b10	四重。一問多。二答多。三比多。四況多。此問	四 重 一 問 多 二 答 多 三 比 多 四 況 多 此 問 
T85n2749_001:0185b11	多也。二施既弘兩福理積所生功德可為多	多 也 二 施 既 弘 兩 福 理 積 所 生 功 德 可 為 多 
T85n2749_001:0185b12	不。	不 
T85n2749_001:0185b13	經曰。彌勒白佛至阿羅漢果者。此答多也。直	經 曰 彌 勒 白 佛 至 阿羅漢果 者 此 答 多 也 直 
T85n2749_001:0185b14	施一人之財福已難測。況施多人之法福豈	施 一 人 之 財 福 已 難 測 況 施 多 人 之 法 福 豈 
T85n2749_001:0185b15	可量。	可 量 
T85n2749_001:0185b16	經曰。佛告彌勒至所不能知者。此比多也。財	經 曰 佛 告 彌 勒 至 所 不 能 知 者 此 比 多 也 財 
T85n2749_001:0185b17	施但令得世間樂離貧窮苦法施。但令得二	施 但 令 得 世 間 樂 離 貧 窮 苦 法 施 但 令 得 二 
T85n2749_001:0185b18	乘樂離分段苦。隨喜能令得大乘樂離變易	乘 樂 離 分 段 苦 隨 喜 能 令 得 大 乘 樂 離 變 易 
T85n2749_001:0185b19	苦。欲量其勝算如難知。	苦 欲 量 其 勝 算 如 難 知 
T85n2749_001:0185b20	經曰。阿逸多至不可為比者。此況多也。最後	經 曰 阿 逸 多 至 不 可 為 比 者 此 況 多 也 最 後 
T85n2749_001:0185b21	人喜最劣。其福既已過前。最初之喜最勝。其	人 喜 最 劣 其 福 既 已 過 前 最 初 之 喜 最 勝 其 
T85n2749_001:0185b22	福理難為比。	福 理 難 為 比 
T85n2749_001:0185b23	經曰。又阿逸多至及乘天宮者。次明第二往	經 曰 又 阿 逸 多 至 及 乘 天 宮 者 次 明 第 二 往 
T85n2749_001:0185b24	聽人。此中取行詣聽法所故。以乘天宮等為	聽 人 此 中 取 行 詣 聽 法 所 故 以 乘 天 宮 等 為 
T85n2749_001:0185b25	其報。若以聽法根亦無邊。然往人三品。下品	其 報 若 以 聽 法 根 亦 無 邊 然 往 人 三 品 下 品 
T85n2749_001:0185b26	得乘象馬。中品得乘寶輿。上品得乘天宮。	得 乘 象 馬 中 品 得 乘 寶 輿 上 品 得 乘 天 宮 
T85n2749_001:0185b27	經曰。若復有人至所坐之處者。次明第三分	經 曰 若 復 有 人 至 所 坐 之 處 者 次 明 第 三 分 
T85n2749_001:0185b28	坐人。亦由三心分坐故得三王坐處。下品得	坐 人 亦 由 三 心 分 坐 故 得 三 王 坐 處 下 品 得 
T85n2749_001:0185b29	輪王坐處。中品得帝釋坐處。上品得梵王坐	輪 王 坐 處 中 品 得 帝 釋 坐 處 上 品 得 梵 王 坐 
T85n2749_001:0185c01	處也。	處 也 
T85n2749_001:0185c02	經曰。阿逸多至利根智惠者。次明第四勸聽	經 曰 阿 逸 多 至 利 根 智 惠 者 次 明 第 四 勸 聽 
T85n2749_001:0185c03	人。以勸聽義邊得四種勝根。一得勝智。二無	人 以 勸 聽 義 邊 得 四 種 勝 根 一 得 勝 智 二 無 
T85n2749_001:0185c04	惡相。三有善相。四值善緣。此得勝智也與陀	惡 相 三 有 善 相 四 值 善 緣 此 得 勝 智 也 與 陀 
T85n2749_001:0185c05	羅尼菩薩同生一處者。此是得智緣。前由勸	羅 尼 菩 薩 同 生 一 處 者 此 是 得 智 緣 前 由 勸 
T85n2749_001:0185c06	人聽法故。為他得智緣。今與菩薩同生故為	人 聽 法 故 為 他 得 智 緣 今 與 菩 薩 同 生 故 為 
T85n2749_001:0185c07	自得智緣。利根智惠者。此是得智體外聞必	自 得 智 緣 利 根 智 惠 者 此 是 得 智 體 外 聞 必 
T85n2749_001:0185c08	受為利根。內思必解為智惠。	受 為 利 根 內 思 必 解 為 智 惠 
T85n2749_001:0185c09	經曰。百千萬世終不瘖瘂者。次明無惡相也。	經 曰 百 千 萬 世 終 不 瘖 瘂 者 次 明 無 惡 相 也 
T85n2749_001:0185c10	無八種惡相。一無聲惡二無氣惡。三無舌惡。	無 八 種 惡 相 一 無 聲 惡 二 無 氣 惡 三 無 舌 惡 
T85n2749_001:0185c11	四無口惡。五無齒惡。六無脣惡。七無鼻惡。八	四 無 口 惡 五 無 齒 惡 六 無 脣 惡 七 無 鼻 惡 八 
T85n2749_001:0185c12	無面惡。此無聲惡聲惡有二。言不出為瘖。聲	無 面 惡 此 無 聲 惡 聲 惡 有 二 言 不 出 為 瘖 聲 
T85n2749_001:0185c13	不轉為瘂。由高聲勸人聽故無此二惡。	不 轉 為 瘂 由 高 聲 勸 人 聽 故 無 此 二 惡 
T85n2749_001:0185c14	經曰。口氣不臭者。此無氣惡氣惡有一。即是	經 曰 口 氣 不 臭 者 此 無 氣 惡 氣 惡 有 一 即 是 
T85n2749_001:0185c15	口臭。實語為香語。虛語為臭語。由香語勸人	口 臭 實 語 為 香 語 虛 語 為 臭 語 由 香 語 勸 人 
T85n2749_001:0185c16	聽故無此臭惡。	聽 故 無 此 臭 惡 
T85n2749_001:0185c17	經曰。舌無病口亦無病者。此二是無惡舌惡	經 曰 舌 無 病 口 亦 無 病 者 此 二 是 無 惡 舌 惡 
T85n2749_001:0185c18	口。口中三等為舌。人之面門為口。舌病則噤	口 口 中 三 等 為 舌 人 之 面 門 為 口 舌 病 則 噤 
T85n2749_001:0185c19	口病爽。由耎語勸人聽故無舌噤惡。由正語	口 病 爽 由 耎 語 勸 人 聽 故 無 舌 噤 惡 由 正 語 
T85n2749_001:0185c20	勸人聽故無口爽惡。	勸 人 聽 故 無 口 爽 惡 
T85n2749_001:0185c21	經曰。齒不垢黑至不差不曲者。此無齒惡齒	經 曰 齒 不 垢 黑 至 不 差 不 曲 者 此 無 齒 惡 齒 
T85n2749_001:0185c22	惡有六。薄黧為黑。微赤為黃。本闕為疎。中傷	惡 有 六 薄 黧 為 黑 微 赤 為 黃 本 闕 為 疎 中 傷 
T85n2749_001:0185c23	為缺。差者不正之貌。曲者如鉤之像。由齒發	為 缺 差 者 不 正 之 貌 曲 者 如 鉤 之 像 由 齒 發 
T85n2749_001:0185c24	聲勸人聽故。總得無此六惡。	聲 勸 人 聽 故 總 得 無 此 六 惡 
T85n2749_001:0185c25	經曰。脣不下垂至無諸可惡者。此無脣惡脣	經 曰 脣 不 下 垂 至 無 諸 可 惡 者 此 無 脣 惡 脣 
T85n2749_001:0185c26	惡有九。下垂者遼怊而不掩。褰縮者編淺	惡 有 九 下 垂 者 遼 怊 而 不 掩 褰 縮 者 編 淺 
T85n2749_001:0185c27	而露斷。麁澁者加之以皮脧。瘡緊者增之以	而 露 斷 麁 澁 者 加 之 以 皮 脧 瘡 緊 者 增 之 以 
T85n2749_001:0185c28	肉坼。缺壞者體段不足。咼斜者相貌不圓。厚	肉 坼 缺 壞 者 體 段 不 足 咼 斜 者 相 貌 不 圓 厚 
T85n2749_001:0185c29	者表裏過肥。大者東西越度。黧黑者自無丹	者 表 裏 過 肥 大 者 東 西 越 度 黧 黑 者 自 無 丹 
T85n2749_001:0186a01	色。可惡者人不喜看。由脣發聲勸人聽故。總	色 可 惡 者 人 不 喜 看 由 脣 發 聲 勸 人 聽 故 總 
T85n2749_001:0186a02	得無此九惡。	得 無 此 九 惡 
T85n2749_001:0186a03	經曰。鼻不[月*扁][月*弟]亦不曲戾者。此無鼻惡鼻惡	經 曰 鼻 不 [月扁][月弟] 亦 不 曲 戾 者 此 無 鼻 惡 鼻 惡 
T85n2749_001:0186a04	有二。[月*扁][月*弟]者高下不平。曲戾者東西不正。由	有 二 [月扁][月弟] 者 高 下 不 平 曲 戾 者 東 西 不 正 由 
T85n2749_001:0186a05	鼻發聲勸人聽故。無此二惡。	鼻 發 聲 勸 人 聽 故 無 此 二 惡 
T85n2749_001:0186a06	經曰。面色不黑至不可喜相者。此無面惡面	經 曰 面 色 不 黑 至 不 可 喜 相 者 此 無 面 惡 面 
T85n2749_001:0186a07	惡有四。面黑者色乏紅顏。狹長者形虧滿月。	惡 有 四 面 黑 者 色 乏 紅 顏 狹 長 者 形 虧 滿 月 
T85n2749_001:0186a08	窊者邊高中下。曲者額亞頤鉤。由含喜正面	窊 者 邊 高 中 下 曲 者 額 亞 頤 鉤 由 含 喜 正 面 
T85n2749_001:0186a09	勸人聽故。無此四惡。	勸 人 聽 故 無 此 四 惡 
T85n2749_001:0186a10	經曰。脣舌牙齒至人相具足者。此明有善相。	經 曰 脣 舌 牙 齒 至 人 相 具 足 者 此 明 有 善 相 
T85n2749_001:0186a11	翻前惡即是好。	翻 前 惡 即 是 好 
T85n2749_001:0186a12	經曰。世世所生至信受教誨者。此明值善緣。	經 曰 世 世 所 生 至 信 受 教 誨 者 此 明 值 善 緣 
T85n2749_001:0186a13	見佛者是見受用。聞法者是聞受用。信受者	見 佛 者 是 見 受 用 聞 法 者 是 聞 受 用 信 受 者 
T85n2749_001:0186a14	是念受用。教誨者顯觸受用。值此善緣得出	是 念 受 用 教 誨 者 顯 觸 受 用 值 此 善 緣 得 出 
T85n2749_001:0186a15	世四種受用也。此如序品中解。	世 四 種 受 用 也 此 如 序 品 中 解 
T85n2749_001:0186a16	經曰。阿逸多至如說修行者。此明第五修行	經 曰 阿 逸 多 至 如說修行 者 此 明 第 五 修 行 
T85n2749_001:0186a17	人可解。次偈頌十八偈頌。五人即五重。此中	人 可 解 次 偈 頌 十 八 偈 頌 五 人 即 五 重 此 中 
T85n2749_001:0186a18	轉勢從劣至勝次第頌之。初九偈隨喜人。次	轉 勢 從 劣 至 勝 次 第 頌 之 初 九 偈 隨 喜 人 次 
T85n2749_001:0186a19	五偈頌勸聽人。次兩偈頌往聽人。次一偈頌	五 偈 頌 勸 聽 人 次 兩 偈 頌 往 聽 人 次 一 偈 頌 
T85n2749_001:0186a20	分坐人。後一偈頌修行人。隨喜四重。初一偈	分 坐 人 後 一 偈 頌 修 行 人 隨 喜 四 重 初 一 偈 
T85n2749_001:0186a21	頌立初。次一偈頌條後。次五偈頌起行。後兩	頌 立 初 次 一 偈 頌 條 後 次 五 偈 頌 起 行 後 兩 
T85n2749_001:0186a22	偈頌對量起行兩重。初一偈頌財施。後四偈	偈 頌 對 量 起 行 兩 重 初 一 偈 頌 財 施 後 四 偈 
T85n2749_001:0186a23	頌法施。法施三重初一偈半頌謀化。次一偈	頌 法 施 法 施 三 重 初 一 偈 半 頌 謀 化 次 一 偈 
T85n2749_001:0186a24	半頌正化。後一偈頌受化。對量兩重。初一	半 頌 正 化 後 一 偈 頌 受 化 對 量 兩 重 初 一 
T85n2749_001:0186a25	偈初一偈頌比多。後一偈頌況多。次五偈頌	偈 初 一 偈 頌 比 多 後 一 偈 頌 況 多 次 五 偈 頌 
T85n2749_001:0186a26	勸聽人三重初一偈頌能勸。次一偈頌受勸。	勸 聽 人 三 重 初 一 偈 頌 能 勸 次 一 偈 頌 受 勸 
T85n2749_001:0186a27	後三偈頌勸果可解。次兩偈頌往聽人。初一	後 三 偈 頌 勸 果 可 解 次 兩 偈 頌 往 聽 人 初 一 
T85n2749_001:0186a28	偈頌往聽。後一偈頌往報頌。分坐修行二人	偈 頌 往 聽 後 一 偈 頌 往 報 頌 分 坐 修 行 二 人 
T85n2749_001:0186a29	可解。	可 解 
T85n2749_001:0186b01	法師功德品第十九	法 師 功 德 品 第 十 九 
T85n2749_001:0186b02	此品第三分別法師五行得六根功德故以為	此 品 第 三 分 別 法 師 五 行 得 六 根 功 德 故 以 為 
T85n2749_001:0186b03	名。此法師在三賢位。十信一向弟子故。十地	名 此 法 師 在 三 賢 位 十 信 一 向 弟 子 故 十 地 
T85n2749_001:0186b04	已捨分段故。品內兩重。一略標二廣釋。	已 捨 分 段 故 品 內 兩 重 一 略 標 二 廣 釋 
T85n2749_001:0186b05	經曰。爾時佛告至皆令清淨者。略標也。四意。	經 曰 爾 時 佛 告 至 皆 令 清 淨 者 略 標 也 四 意 
T85n2749_001:0186b06	一扣告。二指因。三示果。四顯勝。佛告常精	一 扣 告 二 指 因 三 示 果 四 顯 勝 佛 告 常 精 
T85n2749_001:0186b07	進者。扣告也。欲因名以表義。非常精進者。不	進 者 扣 告 也 欲 因 名 以 表 義 非 常 精 進 者 不 
T85n2749_001:0186b08	能行故。告常精進也。	能 行 故 告 常 精 進 也 
T85n2749_001:0186b09	經曰。受持法華經至若書寫者。指因也。受持	經 曰 受 持 法 華 經 至 若 書 寫 者 指 因 也 受 持 
T85n2749_001:0186b10	是總相。讀誦說寫是別相。受是信力。持是念	是 總 相 讀 誦 說 寫 是 別 相 受 是 信 力 持 是 念 
T85n2749_001:0186b11	力。讀誦書寫是精進力。解說是惠力定力。一	力 讀 誦 書 寫 是 精 進 力 解 說 是 惠 力 定 力 一 
T85n2749_001:0186b12	心通在其間。總別五業即為五因也。	心 通 在 其 間 總 別 五 業 即 為 五 因 也 
T85n2749_001:0186b13	經曰。是人得八百眼功德至千二百意功德	經 曰 是 人 得 八 百 眼 功 德 至 千 二 百 意 功 德 
T85n2749_001:0186b14	者。亦果也。正法華及莊嚴論。六根各具千二	者 亦 果 也 正 法 華 及 莊 嚴 論 六 根 各 具 千 二 
T85n2749_001:0186b15	百功德。合有七千二百功德。今經六根二例	百 功 德 合 有 七 千 二 百 功 德 今 經 六 根 二 例 
T85n2749_001:0186b16	三根各八百三根。各千二百。舊解一云。十善	三 根 各 八 百 三 根 各 千 二 百 舊 解 一 云 十 善 
T85n2749_001:0186b17	為本。一善以九善莊嚴。十善成百善。自行百	為 本 一 善 以 九 善 莊 嚴 十 善 成 百 善 自 行 百 
T85n2749_001:0186b18	教他百歎百法歎行百者。合有四百善。此四	教 他 百 歎 百 法 歎 行 百 者 合 有 四 百 善 此 四 
T85n2749_001:0186b19	百有三品。成千二百。三根持經勝具三品故	百 有 三 品 成 千 二 百 三 根 持 經 勝 具 三 品 故 
T85n2749_001:0186b20	有千二百。三根持經劣但有中下品故唯得	有 千 二 百 三 根 持 經 劣 但 有 中 下 品 故 唯 得 
T85n2749_001:0186b21	八百。二云。六根各具百福。一一福以十善莊	八 百 二 云 六 根 各 具 百 福 一 一 福 以 十 善 莊 
T85n2749_001:0186b22	嚴成一千。一根一千六根即六千。但三根弘	嚴 成 一 千 一 根 一 千 六 根 即 六 千 但 三 根 弘 
T85n2749_001:0186b23	經勝故增二百。三根弘經劣故減二百。	經 勝 故 增 二 百 三 根 弘 經 劣 故 減 二 百 
T85n2749_001:0186b24	經曰。以是功德莊嚴六根清淨者。顯勝也。論	經 曰 以 是 功德莊嚴 六 根 清 淨 者 顯 勝 也 論 
T85n2749_001:0186b25	云。此得六根清淨者。謂凡夫人以經力得勝	云 此 得 六 根 清 淨 者 謂 凡 夫 人 以 經 力 得 勝 
T85n2749_001:0186b26	根用。未入初地菩薩。應知。又六根清淨者。	根 用 未 入 初 地 菩 薩 應 知 又 六 根 清 淨 者 
T85n2749_001:0186b27	於一根中悉能具足見色聞聲知香味觸法	於 一 根 中 悉 能 具 足 見 色 聞 聲 知 香 味 觸 法 
T85n2749_001:0186b28	等。諸根互用應知。	等 諸 根 互 用 應 知 
T85n2749_001:0186b29	經曰。是善男子至清淨肉眼者。次廣釋。釋六	經 曰 是 善 男 子 至 清 淨 肉 眼 者 次 廣 釋 釋 六 
T85n2749_001:0186c01	根即六重。六根各有序頌合十二章。經序眼	根 即 六 重 六 根 各 有 序 頌 合 十 二 章 經 序 眼 
T85n2749_001:0186c02	根六意。一體類勝。二照境寬。三緣悉。四過	根 六 意 一 體 類 勝 二 照 境 寬 三 緣 悉 四 過 
T85n2749_001:0186c03	地度。五窮生類。六委事緒。此明體類勝眼體	地 度 五 窮 生 類 六 委 事 緒 此 明 體 類 勝 眼 體 
T85n2749_001:0186c04	有五。肉天惠法佛。如方便品解。眼類有兩。	有 五 肉 天 惠 法 佛 如 方 便 品 解 眼 類 有 兩 
