X59n1084_001:0324b06	 纂要序	 纂 要 序 
X59n1084_002:0337c06	謂妙在轉處矣。若約事相而說。諸佛菩薩身。非同眾	謂 妙 在 轉 處 矣 若 約 事 相 而 說 諸佛菩薩 身 非 同 眾 
X59n1084_002:0337c07	生分段之身。東向則背西。南向則背北。而菩薩則不	生 分 段 之 身 東 向 則 背 西 南 向 則 背 北 而 菩 薩 則 不 
X59n1084_002:0337c08	然。有隨類意生身。應化無窮。背向皆正。豈八如來也。	然 有 隨 類 意 生 身 應 化 無 窮 背 向 皆 正 豈 八 如 來 也 
X59n1084_002:0337c09	或千佛萬佛。向無不正。學者。當作是觀。更須向前來	或 千 佛 萬 佛 向 無 不 正 學 者 當 作 是 觀 更 須 向 前 來 
X59n1084_002:0337c10	者。無向背處看。上句彰殊勝身。下句彰殊勝境。從前	者 無 向 背 處 看 上 句 彰 殊 勝 身 下 句 彰 殊 勝 境 從 前 
X59n1084_002:0337c11	來七行偈十四句。皆顯法界也。今此二句。方入理事	來 七 行 偈 十 四 句 皆 顯 法 界 也 今 此 二 句 方 入 理 事 
X59n1084_002:0337c12	無礙法界。次想者。令知時也。以事攬理成故。能漸舒	無 礙 法 界 次 想 者 令 知 時 也 以 事 攬 理 成 故 能 漸 舒 
X59n1084_002:0337c13	大。以理隨事變故。能徧法界。則其大無外也。皆是惟	大 以 理 隨 事 變 故 能 徧 法 界 則 其 大 無 外 也 皆 是 惟 
X59n1084_002:0337c14	心境界。非分外的事也。如來海會。正明事事無礙也。	心 境 界 非 分 外 的 事 也 如 來 海 會 正 明 事 事 無 礙 也 
X59n1084_002:0337c15	覺花。事也。海會。亦事也。以覺花稱周時與如來海會。	覺 花 事 也 海 會 亦 事 也 以 覺 花 稱 周 時 與 如 來 海 會 
X59n1084_002:0337c16	同時廣大而無礙。譬如一室千燈。光光無雜。法界。十	同 時 廣 大 而 無 礙 譬 如 一 室 千 燈 光 光 無 雜 法 界 十 
X59n1084_002:0337c17	法界也。四聖六凡之謂也。意謂此花舒大時。能照此	法 界 也 四 聖 六 凡 之 謂 也 意 謂 此 花 舒 大 時 能 照 此 
X59n1084_002:0337c18	十法界。同于一真。更無殊別也。上來思惟有情。方是	十 法 界 同 于 一 真 更 無 殊 別 也 上 來 思 惟 有 情 方 是 
X59n1084_002:0337c19	起行。至此憐愍一切。方是行行。謂證此無礙廣大境	起 行 至 此 憐 愍 一 切 方 是 行 行 謂 證 此 無 礙 廣 大 境 
X59n1084_002:0337c20	界。方能行行度生也。深有密焉。學者不可不慎也。蒙	界 方 能 行 行 度 生 也 深 有 密 焉 學 者 不 可 不 慎 也 蒙 
X59n1084_002:0337c21	照脫苦惱。利生之効也。觀自在。所獲之果也。初發心	照 脫 苦 惱 利 生 之 効 也 觀 自 在 所 獲 之 果 也 初 發 心 
X59n1084_002:0337c22	時。即得阿耨多羅三藐三菩提之謂也。前八句皆舒。	時 即 得阿耨多羅三藐三菩提 之 謂 也 前 八 句 皆 舒 
X59n1084_002:0337c23	至漸收一句惟卷。約密說即是增長究竟。准魯餘巴	至 漸 收 一 句 惟 卷 約 密 說 即 是 增 長 究 竟 准 魯 餘 巴 
X59n1084_002:0337c24	現前解云。從正位而起。名增長復歸正位是究竟。亦	現 前 解 云 從 正 位 而 起 名 增 長 復 歸 正 位 是 究 竟 亦 
X59n1084_002:0337c25	是始本不二也。上師云。有放不收。同凡夫。有收無放	是 始 本 不 二 也 上 師 云 有 放 不 收 同 凡 夫 有 收 無 放 
X59n1084_002:0337c26	名聲聞。有收有放。名為秘密境界。收放總不用。名無	名 聲 聞 有 收 有 放 名 為 秘 密 境 界 收 放 總 不 用 名 無 
X59n1084_002:0337c27	戲論。此乃最極本續也。收之一字。不覺如此輕易流	戲 論 此 乃 最 極 本 續 也 收 之 一 字 不 覺 如 此 輕 易 流 
X59n1084_002:0338a01	布。學者說不可作等閒見聞也。加持四處。此約行者	布 學 者 說 不 可 作 等 閒 見 聞 也 加 持 四 處 此 約 行 者 
X59n1084_002:0338a02	請求智佛。冥加之力也。所以密言者。皆指後面手印	請 求 智 佛 冥 加 之 力 也 所 以 密 言 者 皆 指 後 面 手 印 
X59n1084_002:0338a03	之密言也。迴光返照者。前來既觀觀音。今恐迷己逐	之 密 言 也 迴 光 返 照 者 前 來 既 觀 觀 音 今 恐 迷 己 逐 
X59n1084_002:0338a04	物。復回觀自身。故云亦等。問。以何義。最初既以字種	物 復 回 觀 自 身 故 云 亦 等 問 以 何 義 最 初 既 以 字 種 
X59n1084_002:0338a05	增長。令成觀音。何又云亦等。答。初來增長。由未離覺。	增 長 令 成 觀 音 何 又 云 亦 等 答 初 來 增 長 由 未 離 覺 
X59n1084_002:0338a06	今是親證親入也。如善財始見文殊等也。又前所想	今 是 親 證 親 入 也 如 善 財 始 見 文 殊 等 也 又 前 所 想 
X59n1084_002:0338a07	觀音。望因則名因中果也。加持密言之後。則當體即	觀 音 望 因 則 名 因 中 果 也 加 持 密 言 之 後 則 當 體 即 
X59n1084_002:0338a08	果中因也。問。初入壇場。即頓起觀音慢。今復何故。又	果 中 因 也 問 初 入 壇 場 即 頓 起 觀 音 慢 今 復 何 故 又 
X59n1084_002:0338a09	入此定。豈不濫耶。答。不也。前是根本定。亦名正位。亦	入 此 定 豈 不 濫 耶 答 不 也 前 是 根 本 定 亦 名 正 位 亦 
X59n1084_002:0338a10	名正體。如在家為人也。此後所入定。即是所作定。如	名 正 體 如 在 家 為 人 也 此 後 所 入 定 即 是 所 作 定 如 
X59n1084_002:0338a11	人在邦為臣也。其實一體。而約處殊也。又如人在朝	人 在 邦 為 臣 也 其 實 一 體 而 約 處 殊 也 又 如 人 在 朝 
X59n1084_002:0338a12	則朝衣。在戎則戎服。故根本定白色。所作定金色。向	則 朝 衣 在 戎 則 戎 服 故 根 本 定 白 色 所 作 定 金 色 向 
X59n1084_002:0338a13	下隨一一作法。多有更易身色。常以此理鑑之。故勿	下 隨 一 一 作 法 多 有 更 易 身 色 常 以 此 理 鑑 之 故 勿 
X59n1084_002:0338a14	疑諸。結自在觀音印。以二手外相叉。二頭指相拄。如	疑 諸 結 自 在 觀 音 印 以 二 手 外 相 叉 二 頭 指 相 拄 如 
X59n1084_002:0338a15	蓮花葉。二大指並竪。即誦真言時。四處。頂喉心臍是	蓮 花 葉 二 大 指 並 竪 即 誦 真 言 時 四 處 頂 喉 心 臍 是 
X59n1084_002:0338a16	也。師印呪可知。每處以手印按之。誦真言一次復以	也 師 印 呪 可 知 每 處 以 手 印 按 之 誦 真 言 一 次 復 以 
X59n1084_002:0338a17	 唵字加持。即當以印按口上。次以 吽字加頂。 	 唵 字 加 持 即 當 以 印 按 口 上 次 以 吽 字 加 頂 
X59n1084_002:0338a18	[嚂皿+見]字加臍。 [口*紇]哩字加心。 阿字加喉。以此加持。令	[嚂皿見]字加臍[口紇] 哩 字 加 心 阿 字 加 喉 以 此 加 持 令 
X59n1084_002:0338a19	身堅固也。所以一切魔礙。皆不能害。加持四處。有二	身 堅 固 也 所 以 一 切 魔 礙 皆 不 能 害 加 持 四 處 有 二 
X59n1084_002:0338a20	說。只用前說)。	說 只 用 前 說 
X59n1084_002:0338a21	　若人欲了知　　三世一切佛　　應觀法界性	 若 人 欲 了 知 三 世 一 切 佛 應 觀 法 界 性 
X59n1084_002:0338a22	　一切惟心造	 一 切 惟 心 造 
X59n1084_002:0338a23	次結破地獄印(兩羽金剛拳。施慧兩相鉤進力竪相拄。念想開地獄	次 結 破 地 獄 印 兩 羽 金 剛 拳 施 慧 兩 相 鉤 進 力 竪 相 拄 念 想 開 地 獄 
X59n1084_002:0338a24	三誦三掣開。真言曰)。	三 誦 三 掣 開 真 言 曰 
X59n1084_002:0338a25	那麻阿瑟吒(二合)瑟吒(二合)攝諦喃三藐三勃塔俱胝喃	那 麻 阿 瑟 吒 二 合 瑟 吒 二 合 攝 諦 喃 三 藐 三 勃 塔 俱 胝 喃 
X59n1084_002:0338a26	唵(引)撮(引)辣(引)納嚩婆細提哩提哩吽	唵 引 撮 引 辣 引 納 嚩 婆 細 提 哩 提 哩 吽 
X59n1084_002:0338b02	(師印呪可知。應想自	 師 印 呪 可 知 應 想 自 
X59n1084_002:0338b03	身增長紅色觀音。一	身 增 長 紅 色 觀 音 一 
X59n1084_002:0338b04	面二臂。舌上。心間。印	面 二 臂 舌 上 心 間 印 
X59n1084_002:0338b05	上。三處皆有紅色[口*紇]	上 三 處 皆 有 紅 色 [口紇] 
X59n1084_002:0338b06	哩（二合） 字放光。如	哩 二 合 字 放 光 如 
X59n1084_002:0338b07	日初出之光。照觸地獄。悉皆破壞。問。一處放光。足以	日 初 出 之 光 照 觸 地 獄 悉 皆 破 壞 問 一 處 放 光 足 以 
X59n1084_002:0338b08	破之。何用三乎。答。為彼地獄。是眾生三業妄造故。故	破 之 何 用 三 乎 答 為 彼 地 獄 是 眾 生 三 業 妄 造 故 故 
X59n1084_002:0338b09	今亦用三業放光而破之也。又問。地獄是眾生別業	今 亦 用 三 業 放 光 而 破 之 也 又 問 地 獄 是 眾 生 別 業 
X59n1084_002:0338b10	而成。云何能破。答。雖云別業。同是一心。以智照之。眾	而 成 云 何 能 破 答 雖 云 別 業 同 是 一 心 以 智 照 之 眾 
X59n1084_002:0338b11	生亦無。豈有地獄。由迷一心故。妄造眾惡。惡業成熟。	生 亦 無 豈 有 地 獄 由 迷 一 心 故 妄 造 眾 惡 惡 業 成 熟 
X59n1084_002:0338b12	妄成地獄。既墮地獄。妄見受苦譬如夢中。為虎狼獅	妄 成 地 獄 既 墮 地 獄 妄 見 受 苦 譬 如 夢 中 為 虎 狼 獅 
X59n1084_002:0338b13	子所噬。或為賊所縛。或遭王難。受種種苦。及至夢醒。	子 所 噬 或 為 賊 所 縛 或 遭 王 難 受 種 種 苦 及 至 夢 醒 
X59n1084_002:0338b14	了無所得。今觀地獄及苦。亦復如是。今假以照力。無	了 無 所 得 今 觀 地 獄 及 苦 亦復如是 今 假 以 照 力 無 
X59n1084_002:0338b15	不破也。問地獄既然本空。何須破而救之。答。我雖以	不 破 也 問 地 獄 既 然 本 空 何 須 破 而 救 之 答 我 雖 以 
X59n1084_002:0338b16	智照。知其本空。彼無智照。焉得不苦。故圓覺經云。夢	智 照 知 其 本 空 彼 無 智 照 焉 得 不 苦 故 圓 覺 經 云 夢 
X59n1084_002:0338b17	時非無。及至于醒。了無所得。今正欲破此地獄及苦	時 非 無 及 至 于 醒 了 無 所 得 今 正 欲 破 此 地 獄 及 苦 
X59n1084_002:0338b18	空也若惟原之。彼以惡業因緣而成。地獄則知非本	空 也 若 惟 原 之 彼 以 惡 業 因 緣 而 成 地 獄 則 知 非 本 
X59n1084_002:0338b19	有矣。我今以智照因緣。而為之破。豈不破乎一禪定。	有 矣 我 今 以 智 照 因 緣 而 為 之 破 豈 不 破 乎 一 禪 定 
X59n1084_002:0338b20	二手印。三真言。四作觀。五智照。有此五種因緣。何事	二 手 印 三 真 言 四 作 觀 五 智 照 有 此 五 種 因 緣 何 事 
X59n1084_002:0338b21	不辦。豈惟破地獄乎。今世學者。濫稱闍黎。惟是音聲	不 辦 豈 惟 破 地 獄 乎 今 世 學 者 濫 稱 闍 黎 惟 是 音 聲 
X59n1084_002:0338b22	振鈴擊節。慮恐負于請主之意者。多矣。可不慎與)。	振 鈴 擊 節 慮 恐 負 于 請 主 之 意 者 多 矣 可 不 慎 與 
X59n1084_002:0338b23	(此印呪出破阿毗地獄智炬陀羅尼經。又準滅惡趣	 此 印 呪 出 破 阿 毗 地 獄 智 炬 陀 羅 尼 經 又 準 滅 惡 趣 
X59n1084_002:0338b24	王本續說。手結密印。從印流出火光。口誦神呪。口出	王 本 續 說 手 結 密 印 從 印 流 出 火 光 口 誦 神 呪 口 出 
X59n1084_002:0338b25	無量火光。心月輪上。紅色[口*紇]哩(二合) 字放赤色火	無 量 火 光 心 月 輪 上 紅 色 [口紇] 哩 二 合 字 放 赤 色 火 
X59n1084_002:0338b26	光。三光同照。阿毗地獄等。三誦三掣。關鎻自開。所有罪人。悉皆得出)。	光 三 光 同 照 阿 毗 地 獄 等 三 誦 三 掣 關 鎻 自 開 所 有 罪 人 悉 皆 得 出 
X59n1084_002:0339a13	(此舉難破。偏言地獄。若準下文。理應	 此 舉 難 破 偏 言 地 獄 若 準 下 文 理 應 
X59n1084_002:0339a14	光照。通餘五趣。意令專注。故偏舉此。別行經云。此呪	光 照 通 餘 五 趣 意 令 專 注 故 偏 舉 此 別 行 經 云 此 呪 
X59n1084_002:0339a15	若誦一遍。無間地獄。碎如微塵。于中受苦眾生。悉生	若 誦 一 遍 無間地獄 碎 如 微 塵 于 中 受 苦 眾 生 悉 生 
X59n1084_002:0339a16	極樂世界。金剛頂蓮花部心念誦儀軌。云。次結開門	極樂世界 金 剛 頂 蓮 花 部 心 念 誦 儀 軌 云 次 結 開 門 
X59n1084_002:0339a17	契。二羽金剛拳。檀慧相應鈎。進力竪側合。每誦真言	契 二 羽 金 剛 拳 檀 慧 相 應 鈎 進 力 竪 側 合 每 誦 真 言 
X59n1084_002:0339a18	時。應吽而擘開。千手千眼修行儀軌云。此印亦名警	時 應 吽 而 擘 開 千 手 千 眼 修 行 儀 軌 云 此 印 亦 名 警 
X59n1084_002:0339a19	覺一切如來印。由結此警覺一切如來印故。一切如	覺 一 切 如 來 印 由 結 此 警 覺 一 切 如 來 印 故 一 切 如 
X59n1084_002:0339a20	來。皆從定起。加護攝受。云云)。	來 皆 從 定 起 加 護 攝 受 云 云 
X59n1084_002:0339a21	由此印呪。威神力故。所有諸趣。地獄之門。隨此印呪。	由 此 印 呪 威 神 力 故 所 有 諸 趣 地 獄 之 門 隨 此 印 呪 
X59n1084_002:0339a22	豁然自開(儀軌經無神字)。	豁 然 自 開 儀 軌 經 無 神 字 
X59n1084_002:0339a23	奉請地藏菩薩(表白三舉香花迎請阿闍黎。執爐三請云)。	奉 請 地 藏 菩 薩 表 白 三 舉 香 花 迎 請 阿 闍 黎 執 爐 三 請 云 
X59n1084_002:0339a24	南無一心奉請。眾生度盡。方證菩提。地獄未空。誓不	南 無 一 心 奉 請 眾 生 度 盡 方 證 菩 提 地 獄 未 空 誓 不 
X59n1084_002:0339b01	成佛。大聖地藏王菩薩摩訶薩。惟願。不違本誓。憐愍	成 佛 大 聖 地 藏 王 菩薩摩訶薩 惟 願 不 違 本 誓 憐 愍 
X59n1084_002:0339b02	有情。此夜今時。光。臨法。會(眾和香花迎香花請)。	有 情 此 夜 今 時 光 臨 法 會 眾 和 香 花 迎 香 花 請 
X59n1084_002:0339b03	一心召請。花生大地。華長名園。花逢細雨滋開。花被	一 心 召 請 花 生 大 地 華 長 名 園 花 逢 細 雨 滋 開 花 被 
X59n1084_002:0339b04	狂風擺落。(嗚呼)人生如花綻之期。人死似花殘之際。良	狂 風 擺 落 嗚 呼 人 生 如 花 綻 之 期 人 死 似 花 殘 之 際 良 
X59n1084_002:0339b05	宵夜奉	宵 夜 奉 
X59n1084_002:0339b06	佛。普利薦拔(某)。是夜命我沙門。設放瑜伽燄口平等	佛 普 利 薦 拔 某 是 夜 命 我 沙 門 設 放 瑜 伽 燄 口 平 等 
X59n1084_002:0339b07	甘露法食。初爇名香。初伸設召(大地饑虛眾當齋亡故一)位靈魂。	甘 露 法 食 初 爇 名 香 初 伸 設 召 大 地 饑 虛 眾 當 齋 亡 故 一 位 靈 魂 
X59n1084_002:0339b08	再伸召請(各家本宅)祠堂之內。愛及法界之中。大地山河	再 伸 召 請 各 家 本 宅 祠 堂 之 內 愛 及 法 界 之 中 大 地 山 河 
X59n1084_002:0339b09	之內。四生六道。八難三途。有無二主。孤魂佛子等眾。	之 內 四 生 六 道 八 難 三 途 有 無 二 主 孤 魂 佛 子 等 眾 
X59n1084_002:0339b10	惟願承三寶力。仗秘密言。此夜今時。來受無遮甘露	惟 願 承 三 寶 力 仗 秘 密 言 此 夜 今 時 來 受 無 遮 甘 露 
X59n1084_002:0339b11	法食。	法 食 
X59n1084_002:0339b12	一心召請。月明波底。月朗長江。月圓如鏡挂當空。月	一 心 召 請 月 明 波 底 月 朗 長 江 月 圓 如 鏡 挂 當 空 月 
X59n1084_002:0339b13	缺似弓張遠漢。(嗚呼)人生如月滿之期。人死似月虧之	缺 似 弓 張 遠 漢 嗚 呼 人 生 如 月 滿 之 期 人 死 似 月 虧 之 
X59n1084_002:0339b14	際。良宵夜。	際 良 宵 夜 
X59n1084_002:0339b15	一心召請。巫山一段雲。楚岫一團雪。名園一株花。瑤	一 心 召 請 巫 山 一 段 雲 楚 岫 一 團 雪 名 園 一 株 花 瑤 
X59n1084_002:0339b16	臺一輪月。(嗚呼)剎那雲散雪銷鎔。又是花殘并月缺。良	臺 一 輪 月 嗚 呼 剎 那 雲 散 雪 銷 鎔 又 是 花 殘 并 月 缺 良 
X59n1084_002:0339b17	宵夜。	宵 夜 
X59n1084_002:0339b18	一心召請。累朝帝主。歷代王侯。九重殿闕高居。萬里	一 心 召 請 累 朝 帝 主 歷 代 王 侯 九 重 殿 闕 高 居 萬 里 
X59n1084_002:0339b19	山河獨據。西來戰艦。千年王氣俄收。北去鑾輿。五國	山 河 獨 據 西 來 戰 艦 千 年 王 氣 俄 收 北 去 鑾 輿 五 國 
X59n1084_002:0339b20	冤聲未斷。(嗚呼)杜鵑呌落桃花月。血染枝頭恨正長。如	冤 聲 未 斷 嗚 呼 杜 鵑 呌 落 桃 花 月 血 染 枝 頭 恨 正 長 如 
X59n1084_002:0339b21	是前王後伯之流。一類孤魂等眾。	是 前 王 後 伯 之 流 一 類 孤 魂 等 眾 
X59n1084_002:0339b22	一心召請。築壇拜將。建節封侯。力移金鼎千鈞。身作	一 心 召 請 築 壇 拜 將 建 節 封 侯 力 移 金 鼎 千 鈞 身 作 
X59n1084_002:0339b23	長城萬里。霜寒豹帳。徒勤汗馬之勞。風息狼烟。空負	長 城 萬 里 霜 寒 豹 帳 徒 勤 汗 馬 之 勞 風 息 狼 烟 空 負 
X59n1084_002:0339b24	攀龍之望。(嗚呼)將軍戰馬今何在。野草間花滿地愁。如	攀 龍 之 望 嗚 呼 將 軍 戰 馬 今 何 在 野 草 間 花 滿 地 愁 如 
X59n1084_002:0339c01	是英雄將帥之流。一類孤魂等眾。	是 英 雄 將 帥 之 流 一 類 孤 魂 等 眾 
X59n1084_002:0339c02	一心召請。五陵才俊。百郡賢良。三年清節為官。一片	一 心 召 請 五 陵 才 俊 百 郡 賢 良 三 年 清 節 為 官 一 片 
X59n1084_002:0339c03	丹心報主。南州北懸。久離桑梓之鄉。海角天涯。遠喪	丹 心 報 主 南 州 北 懸 久 離 桑 梓 之 鄉 海 角 天 涯 遠 喪 
X59n1084_002:0339c04	蓬萊之島。(嗚呼)官况蕭蕭隨逝水。離魂杳杳隔陽關。如	蓬 萊 之 島 嗚 呼 官 况 蕭 蕭 隨 逝 水 離 魂 杳 杳 隔 陽 關 如 
X59n1084_002:0339c05	是文臣宰輔之流。一類孤魂等眾。	是 文 臣 宰 輔 之 流 一 類 孤 魂 等 眾 
X59n1084_002:0339c06	一心召請。黌門才子。白屋書生。探花足步文林。射策	一 心 召 請 黌 門 才 子 白 屋 書 生 探 花 足 步 文 林 射 策 
X59n1084_002:0339c07	身遊棘院。螢燈飛散。三年徒用工夫。鐵硯磨穿。十載	身 遊 棘 院 螢 燈 飛 散 三 年 徒 用 工 夫 鐵 硯 磨 穿 十 載 
X59n1084_002:0339c08	謾施辛苦。(嗚呼)七尺紅羅書姓字。一坯黃土盖文章。如	謾 施 辛 苦 嗚 呼 七 尺 紅 羅 書 姓 字 一 坯 黃 土 盖 文 章 如 
X59n1084_002:0339c09	是文人才子之流。一類孤魂等眾。	是 文 人 才 子 之 流 一 類 孤 魂 等 眾 
X59n1084_002:0339c10	一心召請。出塵上士。飛錫高僧。精修五戒淨人。梵行	一 心 召 請 出 塵 上 士 飛 錫 高 僧 精 修 五 戒 淨 人 梵 行 
X59n1084_002:0339c11	比丘尼眾。黃花翠竹。空談秘密真詮。白牯黧奴。徒演	比 丘 尼 眾 黃 花 翠 竹 空 談 秘 密 真 詮 白 牯 黧 奴 徒 演 
X59n1084_002:0339c12	苦空妙偈。(嗚呼)經窓冷浸三更月。禪室虗明半夜燈。如	苦 空 妙 偈 嗚 呼 經 窓 冷 浸 三 更 月 禪 室 虗 明 半 夜 燈 如 
X59n1084_002:0339c13	是緇衣釋子之流。一類覺靈等眾。	是 緇 衣 釋 子 之 流 一 類 覺 靈 等 眾 
X59n1084_002:0339c14	一心召請。黃冠野客。羽服仙流。桃源洞裏修真。閬苑	一 心 召 請 黃 冠 野 客 羽 服 仙 流 桃 源 洞 裏 修 真 閬 苑 
X59n1084_002:0339c15	洲前養性。三花九煉。天曹未許標名。四大無常。地府	洲 前 養 性 三 花 九 煉 天 曹 未 許 標 名 四 大 無 常 地 府 
X59n1084_002:0339c16	難容轉限。(嗚呼)琳觀霜寒丹竈冷。醮壇風慘杏花稀。如	難 容 轉 限 嗚 呼 琳 觀 霜 寒 丹 竈 冷 醮 壇 風 慘 杏 花 稀 如 
X59n1084_002:0339c17	是玄門道士之流。一類遐靈等眾。	是 玄 門 道 士 之 流 一 類 遐 靈 等 眾 
X59n1084_002:0339c18	一心召請。江湖覊旅。南北經商。圖財萬里遊行。積貨	一 心 召 請 江 湖 覊 旅 南 北 經 商 圖 財 萬 里 遊 行 積 貨 
X59n1084_002:0339c19	千金貿易。風霜不測。身膏魚腹之中。途路難防。命喪	千 金 貿 易 風 霜 不 測 身 膏 魚 腹 之 中 途 路 難 防 命 喪 
X59n1084_002:0339c20	羊腸之險。(嗚呼)滯魄北隨雲黯黯。客魂東逐水悠悠。如	羊 腸 之 險 嗚 呼 滯 魄 北 隨 雲 黯 黯 客 魂 東 逐 水 悠 悠 如 
X59n1084_002:0339c21	是他鄉客旅之流。一類孤魂等眾。	是 他 鄉 客 旅 之 流 一 類 孤 魂 等 眾 
X59n1084_002:0339c22	一心召請。戎衣戰士。臨陣徤兒。紅旗影裏爭雄。白刃	一 心 召 請 戎 衣 戰 士 臨 陣 徤 兒 紅 旗 影 裏 爭 雄 白 刃 
X59n1084_002:0339c23	叢中敵命。鼓金初振。霎時腹破膓穿。勝敗纔分。遍地	叢 中 敵 命 鼓 金 初 振 霎 時 腹 破 膓 穿 勝 敗 纔 分 遍 地 
X59n1084_002:0339c24	肢膓首碎。(嗚呼)漠漠黃沙聞鬼哭。茫茫白骨少人收。如	肢 膓 首 碎 嗚 呼 漠 漠 黃 沙 聞 鬼 哭 茫 茫 白 骨 少 人 收 如 
X59n1084_002:0340a01	是陣已兵卒之流。一類孤魂等眾。	是 陣 已 兵 卒 之 流 一 類 孤 魂 等 眾 
X59n1084_002:0340a02	一心召請。懷躭十月。坐草三朝。初欣鸞鳳和鳴。次望	一 心 召 請 懷 躭 十 月 坐 草 三 朝 初 欣 鸞 鳳 和 鳴 次 望 
X59n1084_002:0340a03	熊羆叶夢。奉恭欲唱。吉凶只在片時。璋瓦未分。母子	熊 羆 叶 夢 奉 恭 欲 唱 吉 凶 只 在 片 時 璋 瓦 未 分 母 子 
X59n1084_002:0340a04	皆歸長夜。(嗚呼)花正開時遭急雨。月當明處覆烏雲。如	皆 歸 長 夜 嗚 呼 花 正 開 時 遭 急 雨 月 當 明 處 覆 烏 雲 如 
X59n1084_002:0340a05	是血湖產難之流。一類孤魂等眾。	是 血 湖 產 難 之 流 一 類 孤 魂 等 眾 
X59n1084_002:0340a06	一心召請。蠻夷戎狄。瘖瘂盲聾。勤勞失命庸奴。妬忌	一 心 召 請 蠻 夷 戎 狄 瘖 瘂 盲 聾 勤 勞 失 命 庸 奴 妬 忌 
X59n1084_002:0340a07	傷身婢妾。輕欺三寶。罪[億音+(天*天)]積若河沙。忤逆雙親。兇惡	傷 身 婢 妾 輕 欺 三 寶 罪 [億音天天] 積 若 河 沙 忤 逆 雙 親 兇 惡 
X59n1084_002:0340a08	浮于宇宙。(嗚呼)長夜漫漫何日曉。幽關隱隱不知春。如	浮 于 宇 宙 嗚 呼 長 夜 漫 漫 何 日 曉 幽 關 隱 隱 不 知 春 如 
X59n1084_002:0340a09	是冥頑悖逆之流。一類孤魂等眾。	是 冥 頑 悖 逆 之 流 一 類 孤 魂 等 眾 
X59n1084_002:0340a10	一心召請。宮幃美女。閨閣佳人。胭脂畵面爭妍。龍麝	一 心 召 請 宮 幃 美 女 閨 閣 佳 人 胭 脂 畵 面 爭 妍 龍 麝 
X59n1084_002:0340a11	熏衣競俏。雲收雨散。魂消金谷之園。月缺花殘。膓斷	熏 衣 競 俏 雲 收 雨 散 魂 消 金 谷 之 園 月 缺 花 殘 膓 斷 
X59n1084_002:0340a12	馬嵬之驛。(嗚呼)昔日風流都不見。綠楊芳草髑髏寒。如	馬 嵬 之 驛 嗚 呼 昔 日 風 流 都 不 見 綠 楊 芳 草 髑 髏 寒 如 
X59n1084_002:0340a13	是裙釵婦女之流。一類孤魂等眾。	是 裙 釵 婦 女 之 流 一 類 孤 魂 等 眾 
X59n1084_002:0340a14	一心召請。饑寒丐者。刑戮囚人。遇水火以己身。逢虎	一 心 召 請 饑 寒 丐 者 刑 戮 囚 人 遇 水 火 以 己 身 逢 虎 
X59n1084_002:0340a15	狼而失命。懸梁服毒。千年怨氣沉沉。雷擊崕崩。一點	狼 而 失 命 懸 梁 服 毒 千 年 怨 氣 沉 沉 雷 擊 崕 崩 一 點 
X59n1084_002:0340a16	驚魂漾漾。(嗚呼)暮雨青烟寒鵲噪。秋風黃葉亂鴉飛。如	驚 魂 漾 漾 嗚 呼 暮 雨 青 烟 寒 鵲 噪 秋 風 黃 葉 亂 鴉 飛 如 
X59n1084_002:0340a17	是傷已橫死之流。一類孤魂等眾。	是 傷 已 橫 死 之 流 一 類 孤 魂 等 眾 
X59n1084_002:0340a18	一心召請。法界六道。大地含靈。面然所統。薜茘多眾。	一 心 召 請 法 界 六 道 大 地 含 靈 面 然 所 統 薜 茘 多 眾 
X59n1084_002:0340a19	塵沙種類。依草附木。魑魅魍魎。滯魄孤魂。自他先亡。	塵 沙 種 類 依 草 附 木 魑 魅 魍 魎 滯 魄 孤 魂 自 他 先 亡 
X59n1084_002:0340a20	家親眷屬等眾惟願承。	家 親 眷 屬 等 眾 惟 願 承 
X59n1084_002:0340a21	三寶力。仗秘密言。此夜今時。來受無遮。甘露法食。受	三 寶 力 仗 秘 密 言 此 夜 今 時 來 受 無 遮 甘 露 法 食 受 
X59n1084_002:0340a22	此無遮。甘露法食。	此 無 遮 甘 露 法 食 
X59n1084_002:0340a23	上來召請。悉已來臨。大眾慈悲。齊聲嘆悼。	上 來 召 請 悉 已 來 臨 大 眾 慈 悲 齊 聲 嘆 悼 
X59n1084_002:0340a24	近代先朝。帝主尊榮位。勳戚王侯。玉葉金枝貴。宰輔	近 代 先 朝 帝 主 尊 榮 位 勳 戚 王 侯 玉 葉 金 枝 貴 宰 輔 
X59n1084_002:0340b01	中宮。綵女嬪妃類。夢斷華胥。來受甘露味。	中 宮 綵 女 嬪 妃 類 夢 斷 華 胥 來 受 甘 露 味 
X59n1084_002:0340b02	國士朝臣。經緯匡時世。牧化黎民。未遂忠良志。失寵	國 士 朝 臣 經 緯 匡 時 世 牧 化 黎 民 未 遂 忠 良 志 失 寵 
X59n1084_002:0340b03	懷憂。謫降邊邦地。戀國遊魂。來受甘露味。	懷 憂 謫 降 邊 邦 地 戀 國 遊 魂 來 受 甘 露 味 
X59n1084_002:0340b04	武將戎臣。統領三軍隊。結陣交鋒。鑼鼓喧天地。北戰	武 將 戎 臣 統 領 三 軍 隊 結 陣 交 鋒 鑼 鼓 喧 天 地 北 戰 
