T85n2819_001:1192c21	諸經要抄	諸 經 要 抄 
T85n2819_001:1197b03	是見者是名平等見。見犯比丘不入地獄。清	是 見 者 是 名 平 等 見 見 犯 比 丘 不 入 地 獄 清 
T85n2819_001:1197b04	淨行者不證涅槃。如是見者名平等見。	淨 行 者 不 證 涅 槃 如 是 見 者 名 平 等 見 
T85n2819_001:1197b05	寶積經云　云何真供養佛。佛言。無佛想無	寶 積 經 云 云 何 真 供 養 佛 佛 言 無 佛 想 無 
T85n2819_001:1197b06	法想無僧想。是名日日真供養佛。佛不名作。	法 想 無 僧 想 是 名 日 日 真 供 養 佛 佛 不 名 作 
T85n2819_001:1197b07	不名色。不名想。無作無色無想。是名真供	不 名 色 不 名 想 無 作 無 色 無 想 是 名 真 供 
T85n2819_001:1197b08	養佛。	養 佛 
T85n2819_001:1197b09	金剛三昧經序品第一　爾時世尊。大眾圍	金 剛 三 昧 經 序 品 第 一 爾 時 世 尊 大 眾 圍 
T85n2819_001:1197b10	遶。說大乘經。名一味真實際本覺利行。若聞	遶 說 大 乘 經 名 一 味 真 實 際 本 覺 利 行 若 聞 
T85n2819_001:1197b11	是經。乃至受持一四句偈。是人則為入佛智	是 經 乃 至 受 持 一四句偈 是 人 則 為 入 佛 智 
T85n2819_001:1197b12	地。能以方便教化眾生。為一切眾生作大知	地 能 以 方 便 教 化 眾 生 為 一 切 眾 生 作 大 知 
T85n2819_001:1197b13	識。佛說此經已。結跏趺坐。即入金剛三昧。身	識 佛 說 此 經 已 結跏趺坐 即 入 金 剛 三 昧 身 
T85n2819_001:1197b14	心不動。爾時眾中。有一比丘。名曰阿伽陀。從	心 不 動 爾 時 眾 中 有 一 比 丘 名 曰 阿 伽 陀 從 
T85n2819_001:1197b15	坐而起。合掌[跍*月]跪。欲宣義意。而說偈言。	坐 而 起 合 掌 [跍月] 跪 欲 宣 義 意 而 說 偈 言 
T85n2819_001:1197b16	　大慈滿足尊　　智慧通無礙	 大 慈 滿 足 尊 智 慧 通 無 礙 
T85n2819_001:1197b17	　廣度眾生故　　說於一諦義	 廣 度 眾 生 故 說 於 一 諦 義 
T85n2819_001:1197b18	　無量諸菩薩　　皆悉度眾生	 無 量 諸 菩 薩 皆 悉 度 眾 生 
T85n2819_001:1197b19	　為眾廣染問　　知法寂滅相	 為 眾 廣 染 問 知 法 寂 滅 相 
T85n2819_001:1197b20	　入於決定處　　如來智方便	 入 於 決 定 處 如 來 智 方 便 
T85n2819_001:1197b21	　當為入實說　　隨順皆一乘	 當 為 入 實 說 隨 順 皆 一 乘 
T85n2819_001:1197b22	　無有諸雜味　　猶如一雨潤	 無 有 諸 雜 味 猶 如 一 雨 潤 
T85n2819_001:1197b23	　眾草皆悉榮　　隨其性各異	 眾 草 皆 悉 榮 隨 其 性 各 異 
T85n2819_001:1197b24	　一味之法潤　　普充於一切	 一 味 之 法 潤 普 充 於 一 切 
T85n2819_001:1197b25	　如彼一雨潤　　皆長菩提引	 如 彼 一 雨 潤 皆 長 菩 提 引 
T85n2819_001:1197b26	　入於金剛味　　證法真實定	 入 於 金 剛 味 證 法 真 實 定 
T85n2819_001:1197b27	　決定斷疑悔　　一法之印成	 決 定 斷 疑 悔 一 法 之 印 成 
T85n2819_001:1197b28	無相法品第二　一覺了義難解難入。非諸	無 相 法 品 第 二 一 覺 了 義 難解難入 非 諸 
T85n2819_001:1197b29	二乘之所知見。唯佛菩薩乃能知之。善男子。	二 乘 之 所 知 見 唯 佛 菩 薩 乃 能 知 之 善 男 子 
T85n2819_001:1197c01	若化眾生無生於化。不生無化其化大焉。令	若 化 眾 生 無 生 於 化 不 生 無 化 其 化 大 焉 令 
T85n2819_001:1197c02	彼眾生皆離心我。一切心我本來空寂。若得	彼 眾 生 皆 離 心 我 一 切 心 我 本 來 空 寂 若 得 
T85n2819_001:1197c03	空心心不幻化。無幻無化即得無生。無生之	空 心 心 不 幻 化 無 幻 無 化 即 得 無 生 無 生 之 
T85n2819_001:1197c04	心在於無化。解脫菩薩。而白佛言。尊者。若有	心 在 於 無 化 解 脫 菩 薩 而 白 佛 言 尊 者 若 有 
