T52n2118_001:0794b19	折疑論敘	折 疑 論 敘 
T52n2118_003:0807c02	於禮儀制度也哉)。	於 禮 儀 制 度 也 哉 
T52n2118_003:0807c03	而況象外之教乎(何況沙門。乃出塵象外之聖教者乎)。	而 況 象 外 之 教 乎 何 況 沙 門 乃 出 塵 象 外 之 聖 教 者 乎 
T52n2118_003:0807c04	是以君子隨其所宜。無適不可(是故君子惟義是從。但有所宜者	是 以 君 子 隨 其 所 宜 無 適 不 可 是 故 君 子 惟 義 是 從 但 有 所 宜 者 
T52n2118_003:0807c05	無適而不可也)。	無 適 而 不 可 也 
T52n2118_003:0807c06	豈區區冠冕禮儀而能禦哉(區區小貌)。	豈 區 區 冠 冕 禮 儀 而 能 禦 哉 區 區 小 貌 
T52n2118_003:0807c07	舉問第十(此篇舉喻異事而問。故曰舉問也)	舉 問 第 十 此 篇 舉 喻 異 事 而 問 故 曰 舉 問 也 
T52n2118_003:0807c08	客曰。季路問事鬼神(季路子路也)。	客 曰 季 路 問 事 鬼 神 季 路 子 路 也 
T52n2118_003:0807c09	子曰。未能事人。焉能事鬼。曰敢問死。子曰。	子 曰 未 能 事 人 焉 能 事 鬼 曰 敢 問 死 子 曰 
T52n2118_003:0807c10	未知生焉知死(論語。註曰。晝夜者死生之道也。知生之道。則知死之道。盡事人之道。則盡	未 知 生 焉 知 死 論 語 註 曰 晝 夜 者 死 生 之 道 也 知 生 之 道 則 知 死 之 道 盡 事 人 之 道 則 盡 
T52n2118_003:0807c11	事鬼之道。死生人鬼一而二。二而一者也。或言。夫子不告。子路不知。此所以深告之也)。	事 鬼 之 道 死 生 人 鬼 一 而 二 二 而 一 者 也 或 言 夫 子 不 告 子 路 不 知 此 所 以 深 告 之 也 
T52n2118_003:0807c12	此聖人所絕也(此孔聖人絕不言之事也)。	此 聖 人 所 絕 也 此 孔 聖 人 絕 不 言 之 事 也 
T52n2118_003:0807c13	今佛教輒說生死往來之事。鬼神報應之徵(今釋	今 佛 教 輒 說 生 死 往 來 之 事 鬼 神 報 應 之 徵 今 釋 
T52n2118_003:0807c14	教專說生死往來虛誕之事)。	教 專 說 生 死 往 來 虛 誕 之 事 
T52n2118_003:0807c15	吾恐此非聖哲之語也(孟子曰。大而化之謂之聖。書云。知之曰明。哲謂知道	吾 恐 此 非 聖 哲 之 語 也 孟 子 曰 大 而 化 之 謂 之 聖 書 云 知 之 曰 明 哲 謂 知 道 
T52n2118_003:0807c16	者也。故客曰。我恐此佛之道。不是聖哲真誠之語也)。	者 也 故 客 曰 我 恐 此 佛 之 道 不 是 聖 哲 真 誠 之 語 也 
T52n2118_003:0807c17	夫履道者。當含和蘊素(夫行履此道者。當要包含冲和蘊積純素)。	夫 履 道 者 當 含 和 蘊 素 夫 行 履 此 道 者 當 要 包 含 冲 和 蘊 積 純 素 
T52n2118_003:0807c18	篤信務實(篤者純厚也。信者誠實也。務者專力於事也。誠者誠信無妄之謂。唯純厚誠而務實也)。	篤 信 務 實 篤 者 純 厚 也 信 者 誠 實 也 務 者 專 力 於 事 也 誠 者 誠 信 無 妄 之 謂 唯 純 厚 誠 而 務 實 也 
T52n2118_003:0807c19	何必說生死以亂其心。言鬼神而惑其志也(若含	何 必 說 生 死 以 亂 其 心 言 鬼 神 而 惑 其 志 也 若 含 
T52n2118_003:0807c20	和蘊素篤信務實者。又何用談說生死。而亂其心。言論鬼神而迷惑其志也)。	和 蘊 素 篤 信 務 實 者 又 何 用 談 說 生 死 而 亂 其 心 言 論 鬼 神 而 迷 惑 其 志 也 
T52n2118_003:0807c21	妙明曰。子之所言。可謂見外而未見其內(責客	妙 明 曰 子 之 所 言 可 謂 見 外 而 未 見 其 內 責 客 
T52n2118_003:0807c22	曰。子能見他外教中說生死鬼神之事。不見自己教中亦有所言之事。中庸。子曰。鬼神之為德也。太極圖曰。原始	曰 子 能 見 他 外 教 中 說 生 死 鬼 神 之 事 不 見 自 己 教 中 亦 有 所 言 之 事 中 庸 子 曰 鬼 神 之 為 德 也 太 極 圖 曰 原 始 
T52n2118_003:0807c23	反終。故知生死之說。註曰。始處是生。言生之初。終處是已。言已定說死)。	反 終 故 知 生 死 之 說 註 曰 始 處 是 生 言 生 之 初 終 處 是 已 言 已 定 說 死 
T52n2118_003:0807c24	求近而不求其遠也(只求淺近之事而不求深遠之理也)。	求 近 而 不 求 其 遠 也 只 求 淺 近 之 事 而 不 求 深 遠 之 理 也 
T52n2118_003:0807c25	以子路性氣剛烈。暴虎憑河不善攝生。故曰。	以 子 路 性 氣 剛 烈 暴 虎 憑 河 不 善 攝 生 故 曰 
T52n2118_003:0807c26	未知生焉知死(憑音平。以子路躁性勇氣剛彊猛烈。暴虎者空拳而搏也。憑河者非舟而	未 知 生 焉 知 死 憑 音 平 以 子 路 躁 性 勇 氣 剛 彊 猛 烈 暴 虎 者 空 拳 而 搏 也 憑 河 者 非 舟 而 
T52n2118_003:0807c27	度也。不善權權輔生故曰未能事人。焉能事鬼。未知生。焉知死。此蓋責子路之辭也)。	度 也 不 善 權 權 輔 生 故 曰 未 能 事 人 焉 能 事 鬼 未 知 生 焉 知 死 此 蓋 責 子 路 之 辭 也 
T52n2118_003:0808a01	胸臆崛起(崛魚勿切。特起之意。謂子路胸臆高起縱肆之貌)。	胸 臆 崛 起 崛 魚 勿 切 特 起 之 意 謂 子 路 胸 臆 高 起 縱 肆 之 貌 
T52n2118_003:0808a02	言無卑讓(人事尚然不能。如何能知鬼神之事)。	言 無 卑 讓 人 事 尚 然 不 能 如 何 能 知 鬼 神 之 事 
T52n2118_003:0808a03	是孔子抑而遏之。豈盡實之言乎(孔子抑按止絕而遮遏之意。	是 孔 子 抑 而 遏 之 豈 盡 實 之 言 乎 孔 子 抑 按 止 絕 而 遮 遏 之 意 
T52n2118_003:0808a04	豈是實無鬼神之說乎)。	豈 是 實 無 鬼 神 之 說 乎 
T52n2118_003:0808a05	孔子曰。非其鬼而祭之諂也(論語。孔子謂非其鬼者。謂不當祭之鬼如	孔 子 曰 非 其 鬼 而 祭 之 諂 也 論 語 孔 子 謂 非 其 鬼 者 謂 不 當 祭 之 鬼 如 
T52n2118_003:0808a06	祭之者。諂也。求媚也)。	祭 之 者 諂 也 求 媚 也 
T52n2118_003:0808a07	人神曰鬼(伸而生之為神。曲而死之為鬼)。	人 神 曰 鬼 伸 而 生 之 為 神 曲 而 死 之 為 鬼 
T52n2118_003:0808a08	鬼之言歸也(至而伸者為神。反而歸者為鬼)。	鬼 之 言 歸 也 至 而 伸 者 為 神 反 而 歸 者 為 鬼 
T52n2118_003:0808a09	人之魂魄。所歸往也(春秋左傳曰。人生始化為魂。既生魄陽曰魂。淮南子曰。天	人 之 魂 魄 所 歸 往 也 春 秋 左 傳 曰 人 生 始 化 為 魂 既 生 魄 陽 曰 魂 淮 南 子 曰 天 
T52n2118_003:0808a10	氣為魂地氣為魄。禮記曰。魂氣歸於天。體魄復於地。蓋魂者神也陽也氣也。魄者精也陰也形也。結上文人之魂	氣 為 魂 地 氣 為 魄 禮 記 曰 魂 氣 歸 於 天 體 魄 復 於 地 蓋 魂 者 神 也 陽 也 氣 也 魄 者 精 也 陰 也 形 也 結 上 文 人 之 魂 
T52n2118_003:0808a11	魄所歸而往反者也)。	魄 所 歸 而 往 反 者 也 
T52n2118_003:0808a12	言其非祖考鬼神而祭者諂求也(祖及父亡之皆稱為考。言不	言 其 非 祖 考 鬼 神 而 祭 者 諂 求 也 祖 及 父 亡 之 皆 稱 為 考 言 不 
T52n2118_003:0808a13	是自己祖考之魂神祭之者諂求也)。	是 自 己 祖 考 之 魂 神 祭 之 者 諂 求 也 
T52n2118_003:0808a14	又曰。為之宗廟以鬼享之(三年喪畢。神主以立於家廟。以鬼神之禮。於春	又 曰 為 之 宗 廟 以 鬼 享 之 三 年 喪 畢 神 主 以 立 於 家 廟 以 鬼 神 之 禮 於 春 
T52n2118_003:0808a15	秋之時而享之)。	秋 之 時 而 享 之 
T52n2118_003:0808a16	春秋祭祀。以時思之(春之雨露既濡。秋之霜露既降。皆舉祭祀之禮。由寒暑變	春 秋 祭 祀 以 時 思 之 春 之 雨 露 既 濡 秋 之 霜 露 既 降 皆 舉 祭 祀 之 禮 由 寒 暑 變 
T52n2118_003:0808a17	移展其孝思也)。	移 展 其 孝 思 也 
T52n2118_003:0808a18	又曰。生時愛敬(父母在生。則事之以愛敬)。	又 曰 生 時 愛 敬 父 母 在 生 則 事 之 以 愛 敬 
T52n2118_003:0808a19	死事哀戚(父母既死。則事之以哀戚)。	死 事 哀 戚 父 母 既 死 則 事 之 以 哀 戚 
T52n2118_003:0808a20	又曰。喪則致其哀(父母死喪則致其哀戚)。	又 曰 喪 則 致 其 哀 父 母 死 喪 則 致 其 哀 戚 
T52n2118_003:0808a21	祭則致其嚴(歲時祭祀。則盡其嚴肅)。	祭 則 致 其 嚴 歲 時 祭 祀 則 盡 其 嚴 肅 
T52n2118_003:0808a22	又曰。周公郊祀后稷以配天(后稷周公始祖。昔者周公攝政。因行郊天	又 曰 周 公 郊 祀 后 稷 以 配 天 后 稷 周 公 始 祖 昔 者 周 公 攝 政 因 行 郊 天 
T52n2118_003:0808a23	之祭。以始祖后稷則配天享之)。	之 祭 以 始 祖 后 稷 則 配 天 享 之 
T52n2118_003:0808a24	宗祀文王於明堂。以配上帝(文王周公父也。明堂天子布政之宮。周公	宗 祀 文 王 於 明 堂 以 配 上 帝 文 王 周 公 父 也 明 堂 天 子 布 政 之 宮 周 公 
T52n2118_003:0808a25	因祭上帝於明堂。乃尊父以配享之。此宗廟文王嚴父。以配上帝也)。	因 祭 上 帝 於 明 堂 乃 尊 父 以 配 享 之 此 宗 廟 文 王 嚴 父 以 配 上 帝 也 
T52n2118_003:0808a26	又曰。生則親安之(自天子至於庶人。皆得歡心。則父母生而安其榮養)。	又 曰 生 則 親 安 之 自 天 子 至 於 庶 人 皆 得 歡 心 則 父 母 生 而 安 其 榮 養 
T52n2118_003:0808a27	祭則鬼享之(父母死而為鬼。則享其祭祀也)。	祭 則 鬼 享 之 父 母 死 而 為 鬼 則 享 其 祭 祀 也 
T52n2118_003:0808b01	又曰。天地明察神明彰矣(事天明即父乃合天道也。事地察即母。乃合地	又 曰 天 地 明 察 神 明 彰 矣 事 天 明 即 父 乃 合 天 道 也 事 地 察 即 母 乃 合 地 
T52n2118_003:0808b02	道也既有是孝。則天地神明之理甚彰著矣)。	道 也 既 有 是 孝 則 天 地 神 明 之 理 甚 彰 著 矣 
T52n2118_003:0808b03	又曰。宗廟致敬鬼神著矣(能致敬於宗廟。則宗廟鬼神之理甚彰著矣)。	又 曰 宗 廟 致 敬 鬼 神 著 矣 能 致 敬 於 宗 廟 則 宗 廟 鬼 神 之 理 甚 彰 著 矣 
T52n2118_003:0808b04	孝悌之致。通於神明(孝悌之道致其所至幽。則可以感通於神明)。	孝 悌 之 致 通 於 神 明 孝 悌 之 道 致 其 所 至 幽 則 可 以 感 通 於 神 明 
T52n2118_003:0808b05	又曰。生事之以禮(父母生存。則愛敬以禮)。	又 曰 生 事 之 以 禮 父 母 生 存 則 愛 敬 以 禮 
T52n2118_003:0808b06	死葬之以禮(父母既亡。則葬之以禮)。	死 葬 之 以 禮 父 母 既 亡 則 葬 之 以 禮 
T52n2118_003:0808b07	祭之以禮(父母既葬則祭之以禮)。	祭 之 以 禮 父 母 既 葬 則 祭 之 以 禮 
T52n2118_003:0808b08	又曰。禹吾無間然矣。菲飲食而致孝乎鬼神	又 曰 禹 吾 無 間 然 矣 菲 飲 食 而 致 孝 乎 鬼 神 
T52n2118_003:0808b09	(間去聲。菲薄也。論語。孔子謂。禹王所行之事。吾無指點有罅隙。能致孝乎鬼神。謂享祀豊潔。薄自口體厚祀鬼	 間 去 聲 菲 薄 也 論 語 孔 子 謂 禹 王 所 行 之 事 吾 無 指 點 有 罅 隙 能 致 孝 乎 鬼 神 謂 享 祀 豊 潔 薄 自 口 體 厚 祀 鬼 
T52n2118_003:0808b10	神也)。	神 也 
T52n2118_003:0808b11	禮記有祭統祭儀。唯言配天祀帝享祖嚴親	禮 記 有 祭 統 祭 儀 唯 言 配 天 祀 帝 享 祖 嚴 親 
T52n2118_003:0808b12	奉神事鬼之道(結上文意。禮記中有祭之儀軌今以引之而為證。唯者獨也。不謂獨祀上帝	奉 神 事 鬼 之 道 結 上 文 意 禮 記 中 有 祭 之 儀 軌 今 以 引 之 而 為 證 唯 者 獨 也 不 謂 獨 祀 上 帝 
T52n2118_003:0808b13	享祖宗祭神奉鬼之道非也。只是責子路氣質剛勇不能辭讓誠意之辭)。	享 祖 宗 祭 神 奉 鬼 之 道 非 也 只 是 責 子 路 氣 質 剛 勇 不 能 辭 讓 誠 意 之 辭 
T52n2118_003:0808b14	豈絕人事神鬼而知生死哉。子獨不知之乎	豈 絕 人 事 神 鬼 而 知 生 死 哉 子 獨 不 知 之 乎 
T52n2118_003:0808b15	(責客獨不知此理者乎)。	 責 客 獨 不 知 此 理 者 乎 
T52n2118_003:0808b16	但孔聖言其髣髴(但以夫子之言。略有彷彿相似而已)。	但 孔 聖 言 其 髣 髴 但 以 夫 子 之 言 略 有 彷 彿 相 似 而 已 
T52n2118_003:0808b17	如來剖其幽微。明發因果備陳報應。植善崇	如 來 剖 其 幽 微 明 發 因 果 備 陳 報 應 植 善 崇 
T52n2118_003:0808b18	福種惡獲殃。派天下以歸其善(如來之教。能剖發明因果之實。備細	福 種 惡 獲 殃 派 天 下 以 歸 其 善 如 來 之 教 能 剖 發 明 因 果 之 實 備 細 
T52n2118_003:0808b19	陳白。種植善因判於幽深微細則崇敬於福報之應。種植惡因則自得於殃禍之應以此分派天下之事。莫不歸於善	陳 白 種 植 善 因 判 於 幽 深 微 細 則 崇 敬 於 福 報 之 應 種 植 惡 因 則 自 得 於 殃 禍 之 應 以 此 分 派 天 下 之 事 莫 不 歸 於 善 
T52n2118_003:0808b20	道也。尚書云。作善降之百祥。作不善降之百殃。周易云。積善之家必有餘慶。積不善之家必有餘殃。此善惡報應	道 也 尚 書 云 作 善 降 之 百 祥 作 不 善 降 之 百 殃 周 易 云 積 善 之 家 必 有 餘 慶 積 不 善 之 家 必 有 餘 殃 此 善 惡 報 應 
T52n2118_003:0808b21	之說。甚分明矣)。	之 說 甚 分 明 矣 
T52n2118_003:0808b22	豈獨以佛家。好言鬼神事乎(結上文意豈獨以吾佛好說善惡鬼神報	豈 獨 以 佛 家 好 言 鬼 神 事 乎 結 上 文 意 豈 獨 以 吾 佛 好 說 善 惡 鬼 神 報 
T52n2118_003:0808b23	應之事乎)。	應 之 事 乎 
T52n2118_003:0808b24	夫如是何儒釋相違之有哉(如上皆孔子之教明其生事死葬配天祀帝享	夫 如 是 何 儒 釋 相 違 之 有 哉 如 上 皆 孔 子 之 教 明 其 生 事 死 葬 配 天 祀 帝 享 
T52n2118_003:0808b25	祖嚴親奉鬼神之道。若此則儒釋之教。何有相違悖也哉)。	祖 嚴 親 奉 鬼 神 之 道 若 此 則 儒 釋 之 教 何 有 相 違 悖 也 哉 
T52n2118_003:0808b26	解域第十一(此篇以別夷夏之域而不同。故曰解域也)	解 域 第 十 一 此 篇 以 別 夷 夏 之 域 而 不 同 故 曰 解 域 也 
T52n2118_003:0808b27	客曰。仲尼云。夷狄之有君。不如諸夏之亡也	客 曰 仲 尼 云 夷 狄 之 有 君 不 如 諸 夏 之 亡 也 
T52n2118_003:0808c01	(亡古無字。論語謂。且夷狄有君長。不如諸夏之僭亂反無上下分。蓋孔子傷時君之亂而歎也。雖有其君不行其道	 亡 古 無 字 論 語 謂 且 夷 狄 有 君 長 不 如 諸 夏 之 僭 亂 反 無 上 下 分 蓋 孔 子 傷 時 君 之 亂 而 歎 也 雖 有 其 君 不 行 其 道 
T52n2118_003:0808c02	非實無也)。	非 實 無 也 
T52n2118_003:0808c03	孟子曰。吾聞以夏變夷者。未聞變於夷者也	孟 子 曰 吾 聞 以 夏 變 夷 者 未 聞 變 於 夷 者 也 
T52n2118_003:0808c04	(此責陳相許行用諸夏之禮儀。變為蠻夷者也)。	 此 責 陳 相 許 行 用 諸 夏 之 禮 儀 變 為 蠻 夷 者 也 
T52n2118_003:0808c05	且吾子曩時學二帝三王之道。六經諸子之	且 吾 子 曩 時 學 二 帝 三 王 之 道 六 經 諸 子 之 
T52n2118_003:0808c06	書。今更捨之。反學西域之言。不亦陋乎(反者不合	書 今 更 捨 之 反 學 西 域 之 言 不 亦 陋 乎 反 者 不 合 
T52n2118_003:0808c07	也。反以學西域佛之言教。為之鄙陋者乎)。	也 反 以 學 西 域 佛 之 言 教 為 之 鄙 陋 者 乎 
T52n2118_003:0808c08	妙明曰。吾昔未見大聖人微旨之時。亦嘗出	妙 明 曰 吾 昔 未 見 大 聖 人 微 旨 之 時 亦 嘗 出 
T52n2118_003:0808c09	此語。與子所見不相遠也。今則不然。若子	此 語 與 子 所 見 不 相 遠 也 今 則 不 然 若 子 
T52n2118_003:0808c10	可謂知禮樂之華而闇道德之實。窺爝火之	可 謂 知 禮 樂 之 華 而 闇 道 德 之 實 窺 爝 火 之 
T52n2118_003:0808c11	照而未覩日月之明也(闇幽也。昧也。爝火者小火把也。今若許子可為曉知禮	照 而 未 覩 日 月 之 明 也 闇 幽 也 昧 也 爝 火 者 小 火 把 也 今 若 許 子 可 為 曉 知 禮 
T52n2118_003:0808c12	樂之光華而闇昧道德之真實者何異。莊子云。日既出矣。而爝火不息其於照也不亦難乎。謂客之所見於小火而未	樂 之 光 華 而 闇 昧 道 德 之 真 實 者 何 異 莊 子 云 日 既 出 矣 而 爝 火 不 息 其 於 照 也 不 亦 難 乎 謂 客 之 所 見 於 小 火 而 未 
T52n2118_003:0808c13	見日月之明也)。	見 日 月 之 明 也 
T52n2118_003:0808c14	孔子所語。疾時君之廢禮。孟子譏陳相之專	孔 子 所 語 疾 時 君 之 廢 禮 孟 子 譏 陳 相 之 專 
T52n2118_003:0808c15	農。意有所主理非決然(謂孔子傷昔時人君之亂而壞禮。孟子所言。許行陳相	農 意 有 所 主 理 非 決 然 謂 孔 子 傷 昔 時 人 君 之 亂 而 壞 禮 孟 子 所 言 許 行 陳 相 
T52n2118_003:0808c16	之見反變為蠻夷)。	之 見 反 變 為 蠻 夷 
T52n2118_003:0808c17	昔孔子欲居九夷(論語注。東方有九種夷後漢東夷傳曰。畎夷。於夷。方夷。黃夷。白夷。	昔 孔 子 欲 居 九 夷 論 語 注 東 方 有 九 種 夷 後 漢 東 夷 傳 曰 畎 夷 於 夷 方 夷 黃 夷 白 夷 
T52n2118_003:0808c18	赤夷。玄夷。風夷。陽夷。欲居之者。乃明乘桴浮於海之意也)。	赤 夷 玄 夷 風 夷 陽 夷 欲 居 之 者 乃 明 乘 桴 浮 於 海 之 意 也 
T52n2118_003:0808c19	或曰。陋如之何。子曰。君子居之。何陋之有(君子	或 曰 陋 如 之 何 子 曰 君 子 居 之 何 陋 之 有 君 子 
T52n2118_003:0808c20	居之則化。何鄙陋之有)。	居 之 則 化 何 鄙 陋 之 有 
T52n2118_003:0808c21	及仲尼周流天下。而時君莫行其道(及至夫子周流七十餘	及 仲 尼 周 流 天 下 而 時 君 莫 行 其 道 及 至 夫 子 周 流 七 十 餘 
T52n2118_003:0808c22	國。欲行先王之仁政。故當時國君皆無行其道者)。	國 欲 行 先 王 之 仁 政 故 當 時 國 君 皆 無 行 其 道 者 
T52n2118_003:0808c23	孟子思濟斯民。而諸侯無聽其說(孟子亦遊諸國。說行仁君	孟 子 思 濟 斯 民 而 諸 侯 無 聽 其 說 孟 子 亦 遊 諸 國 說 行 仁 君 
T52n2118_003:0808c24	之政。思濟斯民。諸侯亦不聽其說)。	之 政 思 濟 斯 民 諸 侯 亦 不 聽 其 說 
T52n2118_003:0808c25	豈為陋西域之術而弗用也耶(若孔子疾時君之廢禮孟子譏陳相	豈 為 陋 西 域 之 術 而 弗 用 也 耶 若 孔 子 疾 時 君 之 廢 禮 孟 子 譏 陳 相 
T52n2118_003:0808c26	之專農。而諸侯不聽其說。豈是鄙陋西域之教而不用耶)。	之 專 農 而 諸 侯 不 聽 其 說 豈 是 鄙 陋 西 域 之 教 而 不 用 耶 
T52n2118_003:0808c27	夫姬文姒禹。君之聖者也。日磾由余臣之賢	夫 姬 文 姒 禹 君 之 聖 者 也 日 磾 由 余 臣 之 賢 
T52n2118_003:0808c28	者也。斯皆生於夷狄(日音密磾音低。姬文王姓。姒禹王姓。文王生於西邠。禹王	者 也 斯 皆 生 於 夷 狄 日 音 密 磾 音 低 姬 文 王 姓 姒 禹 王 姓 文 王 生 於 西 邠 禹 王 
T52n2118_003:0809a01	生於石佃。二聖俱生於夷邦。於中國行仁君之化。仁君之政。未見言其廢政也。金日磾。漢文帝時忠臣番人也。有	生 於 石 佃 二 聖 俱 生 於 夷 邦 於 中 國 行 仁 君 之 化 仁 君 之 政 未 見 言 其 廢 政 也 金 日 磾 漢 文 帝 時 忠 臣 番 人 也 有 
T52n2118_003:0809a02	賢人之德。由余。始皇帝時入秦之界使。亦賢人也。若文王禹王金日磾由余等。明君賢臣俱係夷狄之人也)。	賢 人 之 德 由 余 始 皇 帝 時 入 秦 之 界 使 亦 賢 人 也 若 文 王 禹 王 金 日 磾 由 余 等 明 君 賢 臣 俱 係 夷 狄 之 人 也 
T52n2118_003:0809a03	太康周幽。君之荒者也(史記太康。啟之子。禹王孫也。好畋獵。尚書云。內作	太 康 周 幽 君 之 荒 者 也 史 記 太 康 啟 之 子 禹 王 孫 也 好 畋 獵 尚 書 云 內 作 
T52n2118_003:0809a04	色荒。外作禽荒。酣酒嗜音峻宇雕牆。荒淫其甚。若此其國未或不亡也。史記。周幽王寵褒姒。以不好笑。幽王為	色 荒 外 作 禽 荒 酣 酒 嗜 音 峻 宇 雕 牆 荒 淫 其 甚 若 此 其 國 未 或 不 亡 也 史 記 周 幽 王 寵 褒 姒 以 不 好 笑 幽 王 為 
T52n2118_003:0809a05	烽火。大鼓命曰。若有寇至。舉火則以救之。幽王戲舉烽火。諸侯悉至而無寇。姒大笑幽王悅之。後胡兵至。王舉	烽 火 大 鼓 命 曰 若 有 寇 至 舉 火 則 以 救 之 幽 王 戲 舉 烽 火 諸 侯 悉 至 而 無 寇 姒 大 笑 幽 王 悅 之 後 胡 兵 至 王 舉 
T52n2118_003:0809a06	烽火。諸侯不信。意以為戲。遂殺幽王於酈山之下。而虜其褒姒也)。	烽 火 諸 侯 不 信 意 以 為 戲 遂 殺 幽 王 於 酈 山 之 下 而 虜 其 褒 姒 也 
T52n2118_003:0809a07	石趙嬴秦。君之暴者也(史記。石趙即石勒也。東晉元帝時專於殺戮。史記。嬴	石 趙 嬴 秦 君 之 暴 者 也 史 記 石 趙 即 石 勒 也 東 晉 元 帝 時 專 於 殺 戮 史 記 嬴 
T52n2118_003:0809a08	秦始皇也。縱行無道吞併天下之兇暴也)。	秦 始 皇 也 縱 行 無 道 吞 併 天 下 之 兇 暴 也 
T52n2118_003:0809a09	趙高李斯。臣之佞者也(佞讒佞也。趙高宦官。李斯相也。二人皆始皇之臣。殺	趙 高 李 斯 臣 之 佞 者 也 佞 讒 佞 也 趙 高 宦 官 李 斯 相 也 二 人 皆 始 皇 之 臣 殺 
T52n2118_003:0809a10	太子扶蘇及二世胡亥)。	太 子 扶 蘇 及 二 世 胡 亥 
T52n2118_003:0809a11	侯景宇文。臣之悖者也(史記。侯景。梁武帝悖逆之臣。困武帝於臺城而死。宇	侯 景 宇 文 臣 之 悖 者 也 史 記 侯 景 梁 武 帝 悖 逆 之 臣 困 武 帝 於 臺 城 而 死 宇 
T52n2118_003:0809a12	文。隋煬帝悖逆之臣。殺煬帝於洛京)。	文 隋 煬 帝 悖 逆 之 臣 殺 煬 帝 於 洛 京 
T52n2118_003:0809a13	斯皆生於中夏(太康之下。俱中夏而生也)。	斯 皆 生 於 中 夏 太 康 之 下 俱 中 夏 而 生 也 
T52n2118_003:0809a14	以是觀之。豈得以封域而限賢愚之與美陋	以 是 觀 之 豈 得 以 封 域 而 限 賢 愚 之 與 美 陋 
T52n2118_003:0809a15	哉(豈得直以封彊之域。所局限賢愚美陋夷夏之論哉)。	哉 豈 得 直 以 封 彊 之 域 所 局 限 賢 愚 美 陋 夷 夏 之 論 哉 
T52n2118_003:0809a16	且文命出西羌而聖哲(尚書。文命敷於四海。禹王德號也。西羌者今戎州界	且 文 命 出 西 羌 而 聖 哲 尚 書 文 命 敷 於 四 海 禹 王 德 號 也 西 羌 者 今 戎 州 界 
T52n2118_003:0809a17	乃夷人也)。	乃 夷 人 也 
T52n2118_003:0809a18	瞽臾生於中夏而頑嚚(瞽臾舜父。心不行先王德義之則。為頑。舜繼母。口不道	瞽 臾 生 於 中 夏 而 頑 嚚 瞽 臾 舜 父 心 不 行 先 王 德 義 之 則 為 頑 舜 繼 母 口 不 道 
T52n2118_003:0809a19	忠信之言。為嚚)。	忠 信 之 言 為 嚚 
T52n2118_003:0809a20	文王生於西邠而修仁德(文王生於西邠之邊。而布仁政以修其德)。	文 王 生 於 西 邠 而 修 仁 德 文 王 生 於 西 邠 之 邊 而 布 仁 政 以 修 其 德 
T52n2118_003:0809a21	殷紂都於東洛而恣兇殘(殷紂。諡法。殘義損善曰紂。都於洛陽。中原縱恣	殷 紂 都 於 東 洛 而 恣 兇 殘 殷 紂 諡 法 殘 義 損 善 曰 紂 都 於 洛 陽 中 原 縱 恣 
T52n2118_003:0809a22	兇惡而殘害無道也)。	兇 惡 而 殘 害 無 道 也 
T52n2118_003:0809a23	黃帝道慕華胥(列子云。黃帝閑居大庭齊心服形三月不親政事。晝寢夢遊華胥之國。後舉	黃 帝 道 慕 華 胥 列 子 云 黃 帝 閑 居 大 庭 齊 心 服 形 三 月 不 親 政 事 晝 寢 夢 遊 華 胥 之 國 後 舉 
T52n2118_003:0809a24	華胥之治)。	華 胥 之 治 
T52n2118_003:0809a25	老子義學天竺(尊釋篇。天竺有古皇先生。即吾師也。善入泥洹。化遊天竺。今已返神還乎	老 子 義 學 天 竺 尊 釋 篇 天 竺 有 古 皇 先 生 即 吾 師 也 善 入 泥 洹 化 遊 天 竺 今 已 返 神 還 乎 
T52n2118_003:0809a26	無名。絕身滅影不始不終。綿綿若存。吾今遊矣)。	無 名 絕 身 滅 影 不 始 不 終 綿 綿 若 存 吾 今 遊 矣 
T52n2118_003:0809a27	穆王過終北而忘返。自鄙周室之弗如(列子云。周穆王	穆 王 過 終 北 而 忘 返 自 鄙 周 室 之 弗 如 列 子 云 周 穆 王 
T52n2118_003:0809b01	北遊過其國。三年忘返周室慕其國。撇然自失。不進酒肉。不召嬪御。數月乃復。既返周室。鄙嫌周國之治不如	北 遊 過 其 國 三 年 忘 返 周 室 慕 其 國 撇 然 自 失 不 進 酒 肉 不 召 嬪 御 數 月 乃 復 既 返 周 室 鄙 嫌 周 國 之 治 不 如 
T52n2118_003:0809b02	北之治也)。	北 之 治 也 
T52n2118_003:0809b03	齊桓適遼口而忘歸。自思齊國之不若(列子云。管仲勉	齊 桓 適 遼 口 而 忘 歸 自 思 齊 國 之 不 若 列 子 云 管 仲 勉 
T52n2118_003:0809b04	齊桓公。因遊遼口。俱之其國。幾剋舉隰朋諫曰。君捨齊國之廣。人民之眾。山川之觀。殖物之阜。云自思齊國之	齊 桓 公 因 遊 遼 口 俱 之 其 國 幾 剋 舉 隰 朋 諫 曰 君 捨 齊 國 之 廣 人 民 之 眾 山 川 之 觀 殖 物 之 阜 云 自 思 齊 國 之 
T52n2118_003:0809b05	不如於此也)。	不 如 於 此 也 
