T26n1520_001:0010c03	妙法蓮華經論優波提舍	妙法蓮華 經 論 優波提舍 
T26n1520_001:0015b22	法成就，彼法何等如是等，如經「舍利弗！唯佛	法 成 就 彼 法 何 等 如 是 等 如 經 舍 利 弗 唯 佛 
T26n1520_001:0015b23	如來能說一切法」故。第一種種法門攝取眾	如 來 能 說 一 切 法 故 第 一 種種法門 攝 取 眾 
T26n1520_001:0015b24	生故，第二令不散亂住故，第三令取故，第四	生 故 第 二 令 不 散 亂 住 故 第 三 令 取 故 第 四 
T26n1520_001:0015b25	令得解脫故，第五令彼修行成就得對治法	令得解脫 故 第 五 令 彼 修 行 成 就 得 對 治 法 
T26n1520_001:0015b26	故，第六能令修行進趣成就故，第七令得	故 第 六 能 令 修 行 進 趣 成 就 故 第 七 令 得 
T26n1520_001:0015b27	修行不失故。此七種法為諸眾生、自身所作	修 行 不 失 故 此 七 種 法 為 諸 眾 生 自 身 所 作 
T26n1520_001:0015b28	成就故。又與教化成就者，依證法故。又	成 就 故 又 與 教 化 成 就 者 依 證 法 故 又 
T26n1520_001:0015b29	說成就者，依說法故。此二種法，如向前說。	說 成 就 者 依 說 法 故 此 二 種 法 如 向 前 說 
T26n1520_001:0015c01	依此二種法，有何次第而得修行？即彼前文	依 此 二 種 法 有 何 次 第 而 得 修 行 即 彼 前 文 
T26n1520_001:0015c02	句再說應知。	句 再 說 應 知 
T26n1520_001:0015c03	又依證法有五種：一者何等法；二者云何	又 依 證 法 有 五 種 一 者 何 等 法 二 者 云 何 
T26n1520_001:0015c04	法；三者何似法；四者何相法；五者何體法故。	法 三 者 何 似 法 四 者 何 相 法 五 者 何 體 法 故 
T26n1520_001:0015c05	何等法者，聲聞法、辟支佛法、佛法故。云何	何 等 法 者 聲 聞 法 辟 支 佛 法 佛 法 故 云 何 
T26n1520_001:0015c06	法者，起種種事說故。何似法者，依三種門	法 者 起 種 種 事 說 故 何 似 法 者 依 三 種 門 
T26n1520_001:0015c07	得清淨故。何相法者，三種義一相法故。何	得 清 淨 故 何 相 法 者 三 種 義 一 相 法 故 何 
T26n1520_001:0015c08	體法者，無二體故。無二體者，無量乘唯一	體 法 者 無 二 體 故 無 二 體 者 無 量 乘 唯 一 
T26n1520_001:0015c09	佛乘，無二乘故。復有義：何等法者，謂有為	佛 乘 無 二 乘 故 復 有 義 何 等 法 者 謂 有 為 
T26n1520_001:0015c10	法、無為法。云何法者，謂因緣法、非因緣法	法 無 為 法 云 何 法 者 謂 因 緣 法 非 因 緣 法 
T26n1520_001:0015c11	等。何似法者，謂常法、無常法如是等。何相	等 何 似 法 者 謂 常 法 無 常 法 如 是 等 何 相 
T26n1520_001:0015c12	法者，生等三相法、不生等三相法。何體法	法 者 生 等 三 相 法 不 生 等 三 相 法 何 體 法 
T26n1520_001:0015c13	者，謂五陰體、非五陰體。又何似法者，謂無	者 謂 五 陰 體 非 五 陰 體 又 何 似 法 者 謂 無 
T26n1520_001:0015c14	常法、有為法、因緣法。又何相法者，謂可見相	常 法 有 為 法 因 緣 法 又 何 相 法 者 謂 可 見 相 
T26n1520_001:0015c15	等法。又何體法者，謂五陰能取可取，五陰	等 法 又 何 體 法 者 謂 五 陰 能 取 可 取 五 陰 
T26n1520_001:0015c16	是苦集體故，五陰者是道諦體。復有依說	是 苦 集 體 故 五 陰 者 是 道 諦 體 復 有 依 說 
T26n1520_001:0015c17	法：何等法者，謂名句字身故。云何法者，	法 何 等 法 者 謂 名 句 字 身 故 云 何 法 者 
T26n1520_001:0015c18	依如來所說法故。何似法者，能教化可化眾	依 如 來 所 說 法 故 何 似 法 者 能 教 化 可 化 眾 
T26n1520_001:0016a01	生故。何相法者，依音聲取故，以依音聲取	生 故 何 相 法 者 依 音 聲 取 故 以 依 音 聲 取 
T26n1520_001:0016a02	彼法故。何體法者，假名體法相故。	彼 法 故 何 體 法 者 假 名 體 法 相 故 
T26n1520_001:0016a03	自此以下，依三種義示現：一者決定義；二者	自 此 以 下 依 三 種 義 示 現 一 者 決 定 義 二 者 
T26n1520_001:0016a04	疑義；三者依何事疑義。決定義者，有聲聞方	疑 義 三 者 依 何 事 疑 義 決 定 義 者 有 聲 聞 方 
T26n1520_001:0016a05	便證得深法作決定心，於聲聞道中得方便	便 證 得 深 法 作 決 定 心 於 聲 聞 道 中 得 方 便 
T26n1520_001:0016a06	涅槃證故。如是三種證法，示現有為、無為法	涅 槃 證 故 如 是 三 種 證 法 示 現 有 為 無 為 法 
T26n1520_001:0016a07	故。如經「爾時大眾中有諸聲聞漏盡阿羅漢，	故 如 經 爾 時 大 眾 中 有 諸 聲 聞 漏 盡 阿 羅 漢 
T26n1520_001:0016a08	乃至亦得此法到於涅槃」故。疑義者，謂聲	乃 至 亦 得 此 法 到 於 涅 槃 故 疑 義 者 謂 聲 
T26n1520_001:0016a09	聞、辟支佛不能知故，是故生疑。如經「而今不	聞 辟 支 佛 不 能 知 故 是 故 生 疑 如 經 而 今 不 
T26n1520_001:0016a10	知是義所趣」故。依何事疑者，如來說聲聞解	知 是 義 所 趣 故 依 何 事 疑 者 如 來 說 聲 聞 解 
T26n1520_001:0016a11	脫與我解脫不異，是故生疑。生疑者，生因中	脫 與 我 解 脫 不 異 是 故 生 疑 生 疑 者 生 因 中 
T26n1520_001:0016a12	疑：此云何？云何如來數數說甚深境界，前	疑 此 云 何 云 何 如 來 數 數 說 甚 深 境 界 前 
T26n1520_001:0016a13	說甚深、後說甚深，不同聲聞。如是等，是故生	說 甚 深 後 說 甚 深 不 同 聲 聞 如 是 等 是 故 生 
T26n1520_001:0016a14	疑。如經「爾時舍利弗知四眾心疑，乃至而說偈	疑 如 經 爾 時 舍 利 弗 知 四 眾 心 疑 乃 至 而 說 偈 
T26n1520_001:0016a15	言」故。自此已下，依四種事說：一者決定心；二	言 故 自 此 已 下 依 四 種 事 說 一 者 決 定 心 二 
T26n1520_001:0016a16	者因受記；三者取受記；四者與授記應知。	者 因 受 記 三 者 取 受 記 四 者 與 授 記 應 知 
T26n1520_001:0016a17	云何決定心？已生驚怖者令斷驚怖，為利益	云 何 決 定 心 已 生 驚 怖 者 令 斷 驚 怖 為 利 益 
T26n1520_001:0016a18	二種人故，如來有決定心。此驚怖有五種應	二 種 人 故 如 來 有 決 定 心 此 驚 怖 有 五 種 應 
T26n1520_001:0016a19	知：一者損驚怖，如所聞聲取以為實，謗無	知 一 者 損 驚 怖 如 所 聞 聲 取 以 為 實 謗 無 
T26n1520_001:0016a20	大乘而作是言：如來說言阿羅漢究竟涅槃，	大 乘 而 作 是 言 如 來 說 言 阿 羅 漢 究竟涅槃 
T26n1520_001:0016a21	我畢竟取如是涅槃，是故羅漢不入涅槃故。	我 畢 竟 取 如 是 涅 槃 是 故 羅 漢 不入涅槃 故 
T26n1520_001:0016a22	二者多事驚怖，以大乘眾生生如是心：我	二 者 多 事 驚 怖 以 大 乘 眾 生 生如是心 我 
T26n1520_001:0016a23	無量無邊劫行菩薩行，生驚怖心起取異	無量無邊 劫 行 菩 薩 行 生 驚 怖 心 起 取 異 
T26n1520_001:0016a24	乘心故。三者顛倒驚怖，分別我我所身見	乘 心 故 三 者 顛 倒 驚 怖 分 別 我 我 所 身 見 
T26n1520_001:0016a25	不善法故。四者悔驚怖，悔驚怖者謂大德	不 善 法 故 四 者 悔 驚 怖 悔 驚 怖 者 謂 大 德 
T26n1520_001:0016a26	舍利弗等：我不應證如是小乘法自止，即	舍 利 弗 等 我 不 應 證 如 是 小 乘 法 自 止 即 
T26n1520_001:0016a27	此悔心名為驚怖應知。五者誑驚怖，謂增上	此 悔 心 名 為 驚 怖 應 知 五 者 誑 驚 怖 謂 增 上 
T26n1520_001:0016a28	慢聲聞作如是心：云何如來誑於我等故。因	慢 聲 聞 作 如 是 心 云 何 如 來 誑 於 我 等 故 因 
T26n1520_001:0016a29	授記者，如經「止止舍利弗！不須復說。若說是	授 記 者 如 經 止 止 舍 利 弗 不 須 復 說 若 說 是 
T26n1520_001:0016b01	事，一切世間諸天人等皆生驚怖」故。因授記	事 一切世間 諸 天 人 等 皆 生 驚 怖 故 因 授 記 
T26n1520_001:0016b02	生驚怖者，有三種義：一者欲令彼大眾推	生 驚 怖 者 有 三 種 義 一 者 欲 令 彼 大 眾 推 
T26n1520_001:0016b03	覓甚深境界故；二者欲令大眾生尊重心畢	覓 甚 深 境 界 故 二 者 欲 令 大 眾 生 尊 重 心 畢 
T26n1520_001:0016b04	竟欲聞故；三者為令增上慢聲聞離法座	竟 欲 聞 故 三 者 為 令 增 上 慢 聲 聞 離 法 座 
T26n1520_001:0016b05	而去故。第二請示現過去無量佛教化眾	而 去 故 第 二 請 示 現 過 去 無 量 佛 教 化 眾 
T26n1520_001:0016b06	生，如經「是會無數，乃至聞佛所說則能敬信」	生 如 經 是 會 無 數 乃 至 聞 佛 所 說 則 能 敬 信 
T26n1520_001:0016b07	故。第三請示現現在佛教化眾生，如經「今此	故 第 三 請 示 現 現 在 佛 教 化 眾 生 如 經 今 此 
T26n1520_001:0016b08	會中如我等比，乃至長夜安隱多所饒益」故。	會 中 如 我 等 比 乃 至 長 夜 安 隱 多 所 饒 益 故 
T26n1520_001:0016b09	取授記者，以舍利弗等欲得授記，如經「告舍	取 授 記 者 以 舍 利 弗 等 欲 得 授 記 如 經 告 舍 
T26n1520_001:0016b10	利弗：汝以三請，豈得不說？汝今諦聽」如是等	利 弗 汝 以 三 請 豈 得 不 說 汝 今 諦 聽 如 是 等 
T26n1520_001:0016b11	故。與授記者，有六種應知：一者未聞令聞；二	故 與 授 記 者 有 六 種 應 知 一 者 未 聞 令 聞 二 
T26n1520_001:0016b12	者說；三者依何等義；四者令住；五者依法；六	者 說 三 者 依 何 等 義 四 者 令 住 五 者 依 法 六 
T26n1520_001:0016b13	者遮。未聞令聞者，如經「舍利弗！如是妙法，諸	者 遮 未 聞 令 聞 者 如 經 舍 利 弗 如 是 妙 法 諸 
T26n1520_001:0016b14	佛如來時乃說之，如優曇華」如是等。說者，如	佛 如 來 時 乃 說 之 如 優 曇 華 如 是 等 說 者 如 
T26n1520_001:0016b15	經「舍利弗！我以無數方便，種種因緣譬喻言	經 舍 利 弗 我 以 無數方便 種種因緣 譬 喻 言 
T26n1520_001:0016b16	辭演說諸法」如是等。種種因緣者，謂三	辭 演 說 諸 法 如 是 等 種種因緣 者 謂 三 
T26n1520_001:0016b17	乘。彼三乘者，唯名字章句說，非有實義故，	乘 彼 三 乘 者 唯 名 字 章 句 說 非 有 實 義 故 
T26n1520_001:0016b18	以彼實義不可說故。	以 彼 實 義 不 可 說 故 
T26n1520_001:0016b19	依何等義者，如經「舍利弗！諸佛世尊唯以一	依 何 等 義 者 如 經 舍 利 弗 諸佛世尊 唯 以 一 
T26n1520_001:0016b20	大事因緣故出現於世」如是等故。彼一大事	大 事 因 緣 故 出 現 於 世 如 是 等 故 彼 一 大 事 
T26n1520_001:0016b21	者，依四種義應知。何者為四？一者無上義，	者 依 四 種 義 應 知 何 者 為 四 一 者 無 上 義 
T26n1520_001:0016b22	除一切智智更無餘事，如經「欲開佛知見，令	除 一切智智 更 無 餘 事 如 經 欲 開 佛 知 見 令 
T26n1520_001:0016b23	眾生知得清淨故出現於世」。佛知見者，如來	眾 生 知 得 清 淨 故 出 現 於 世 佛 知 見 者 如 來 
T26n1520_001:0016b24	能證，如實知彼義故。二者同義，以聲聞、辟	能 證 如 實 知 彼 義 故 二 者 同 義 以 聲 聞 辟 
T26n1520_001:0016b25	支佛、佛法身平等故，如經「欲示眾生佛知見	支 佛 佛 法 身 平 等 故 如 經 欲 示 眾 生 佛 知 見 
T26n1520_001:0016b26	故出現於世」故。法身平等者，佛性法身更無	故 出 現 於 世 故 法 身 平 等 者 佛 性 法 身 更 無 
T26n1520_001:0016b27	差別故。三者不知義，以一切聲聞、辟支佛不	差 別 故 三 者 不 知 義 以 一 切 聲 聞 辟 支 佛 不 
T26n1520_001:0016b28	知彼真實處故。不知真實處者，不知究竟唯	知 彼 真 實 處 故 不 知 真 實 處 者 不 知 究 竟 唯 
T26n1520_001:0016b29	一佛乘故。如經「欲令眾生悟佛知見故，出現	一 佛 乘 故 如 經 欲 令 眾 生 悟 佛 知 見 故 出 現 
T26n1520_001:0016c01	於世」。四者為令證不退轉地，示現與無量智	於 世 四 者 為 令 證 不退轉地 示 現 與 無 量 智 
T26n1520_001:0016c02	業故，如經「欲令眾生入佛知見道故，出現於	業 故 如 經 欲 令 眾 生 入 佛 知 見 道 故 出 現 於 
T26n1520_001:0016c03	世」。又示者，為諸菩薩有疑者令知如實修	世 又 示 者 為 諸 菩 薩 有 疑 者 令 知 如 實 修 
T26n1520_001:0016c04	行故。又悟入者，未發菩提心者令發心故，	行 故 又 悟 入 者 未 發菩提心 者 令 發 心 故 
T26n1520_001:0016c05	已發心者令入法故。復悟者，令外道眾生生	已 發 心 者 令 入 法 故 復 悟 者 令 外 道 眾 生 生 
T26n1520_001:0016c06	覺悟故。復入者，令得聲聞果者入大菩提	覺 悟 故 復 入 者 令 得 聲 聞 果 者 入 大 菩 提 
T26n1520_001:0016c07	故。令住者，如經「舍利弗！如來但以一佛乘故，	故 令 住 者 如 經 舍 利 弗 如 來 但 以 一 佛 乘 故 
T26n1520_001:0016c08	為眾生說法」。依法者，如經「舍利弗！過去諸	為 眾 生 說 法 依 法 者 如 經 舍 利 弗 過 去 諸 
T26n1520_001:0016c09	佛以無量無數方便，種種譬喻因緣念觀方便	佛 以 無量無數 方 便 種 種 譬 喻 因 緣 念 觀 方 便 
T26n1520_001:0016c10	說法，是法皆為一佛乘」故。如是等譬喻者，如	說 法 是 法 皆 為 一 佛 乘 故 如 是 等 譬 喻 者 如 
T26n1520_001:0016c11	依牛有乳、酪、生酥、熟酥、醍醐，醍醐為第	依 牛 有 乳 酪 生 酥 熟 酥 醍 醐 醍 醐 為 第 
T26n1520_001:0016c12	一。小乘如乳，大乘如醍醐故。此譬唯明	一 小 乘 如 乳 大 乘 如 醍 醐 故 此 譬 唯 明 
T26n1520_001:0016c13	大乘無上，諸聲聞等亦同大乘無上故。聲聞	大 乘 無 上 諸 聲 聞 等 亦 同 大 乘 無 上 故 聲 聞 
T26n1520_001:0016c14	同者，示諸佛如來法身之性同，諸凡夫、聲聞、	同 者 示 諸佛如來 法 身 之 性 同 諸 凡 夫 聲 聞 
T26n1520_001:0016c15	辟支佛等，法身平等無差別故。此譬喻示現	辟 支 佛 等 法 身 平 等 無 差 別 故 此 譬 喻 示 現 
T26n1520_001:0016c16	因緣如向說。念觀者，於小乘諦中人無我	因 緣 如 向 說 念 觀 者 於 小 乘 諦 中 人 無 我 
T26n1520_001:0016c17	等；於大乘諦中真如、法界、實際、人無我、法無	等 於 大 乘 諦 中 真 如 法 界 實 際 人 無 我 法 無 
T26n1520_001:0016c18	我等觀故。方便者，小乘中觀陰界入，厭苦	我 等 觀 故 方 便 者 小 乘 中 觀 陰 界 入 厭 苦 
T26n1520_001:0017a01	離苦得解脫故；於大乘中修諸波羅蜜、四攝	離 苦 得 解 脫 故 於 大 乘 中 修 諸波羅蜜 四 攝 
T26n1520_001:0017a02	法，攝取自身他身利益對治法故。遮者，如經	法 攝 取 自身他身 利 益 對 治 法 故 遮 者 如 經 
T26n1520_001:0017a03	「舍利弗！十方世界中尚無二乘，何況有三」如是	 舍 利 弗 十方世界 中 尚 無 二 乘 何 況 有 三 如 是 
T26n1520_001:0017a04	等故。無二乘者，無二乘涅槃，唯佛如來證大	等 故 無 二 乘 者 無 二 乘 涅 槃 唯 佛 如 來 證 大 
T26n1520_001:0017a05	菩提，究竟滿足一切智慧名大涅槃，非諸聲	菩 提 究 竟 滿 足 一 切 智 慧 名 大 涅 槃 非 諸 聲 
T26n1520_001:0017a06	聞辟支佛等有涅槃法，唯一佛乘故。一佛乘	聞 辟 支 佛 等 有 涅 槃 法 唯 一 佛 乘 故 一 佛 乘 
T26n1520_001:0017a07	者，依四種義說應知。如來依此六種授記，是	者 依 四 種 義 說 應 知 如 來 依 此 六 種 授 記 是 
T26n1520_001:0017a08	故前說何等法、云何法、何似法、何相法、何體法。	故 前 說 何 等 法 云 何 法 何 似 法 何 相 法 何 體 法 
T26n1520_001:0017a09	如是示現何等法者，謂未曾聞故。云何法者，	如 是 示 現 何 等 法 者 謂 未 曾 聞 故 云 何 法 者 
T26n1520_001:0017a10	謂種種言語譬喻說故。何似法者，唯為一大	謂 種 種 言 語 譬 喻 說 故 何 似 法 者 唯 為 一 大 
T26n1520_001:0017a11	事故。何相法者，為隨眾生器說佛法故。何	事 故 何 相 法 者 為 隨 眾 生 器 說 佛 法 故 何 
T26n1520_001:0017a12	體法者，唯一乘體故。一乘體者，謂諸佛如	體 法 者 唯 一 乘 體 故 一 乘 體 者 謂 諸 佛 如 
T26n1520_001:0017a13	來平等法身，聲聞、辟支佛乘非彼平等法身	來 平 等 法 身 聲 聞 辟 支 佛 乘 非 彼 平 等 法 身 
T26n1520_001:0017a14	之體，以因果行觀不同故。	之 體 以 因 果 行 觀 不 同 故 
T26n1520_001:0017a15	自此已下，說法為斷四種疑應知。何等四	自 此 已 下 說 法 為 斷 四 種 疑 應 知 何 等 四 
T26n1520_001:0017a16	種？一者何時說？二者云何知增上慢？	種 一 者 何 時 說 二 者 云 何 知 增 上 慢 
T26n1520_001:0017a17	三者云何堪說？四者云何不成妄語。何時	三 者 云 何 堪 說 四 者 云 何 不 成 妄 語 何 時 
T26n1520_001:0017a18	說者，諸佛如來於何等時起種種方便說法，	說 者 諸佛如來 於 何 等 時 起 種 種 方 便 說 法 
T26n1520_001:0017a19	為斷彼疑。如經「佛告舍利弗：諸佛出於五濁	為 斷 彼 疑 如 經 佛 告 舍 利 弗 諸 佛 出 於 五 濁 
T26n1520_001:0017a20	惡世，所謂劫濁」等故。云何知增上慢者，如	惡 世 所 謂 劫 濁 等 故 云 何 知 增上慢者 如 
T26n1520_001:0017a21	來不為增上慢人說法，云何知彼是增上慢？	來 不 為 增上慢人 說 法 云 何 知 彼 是 增 上 慢 
T26n1520_001:0017a22	為斷彼疑，如經「若有比丘實得阿羅漢者，若	為 斷 彼 疑 如 經 若 有 比 丘 實 得阿羅漢 者 若 
T26n1520_001:0017a23	不信是法無有是處」等故。云何堪說者，從佛	不 信 是 法 無 有 是 處 等 故 云 何 堪 說 者 從 佛 
T26n1520_001:0017a24	聞法而起謗心。云何如來不成不堪說法人？	聞 法 而 起 謗 心 云 何 如 來 不 成 不 堪 說 法 人 
T26n1520_001:0017a25	為斷此疑，如經「除佛滅度後現前無佛」如是	為 斷 此 疑 如 經 除 佛 滅 度 後 現 前 無 佛 如 是 
T26n1520_001:0017a26	等故。云何不成妄語者，如來先說法異今	等 故 云 何 不 成 妄 語 者 如 來 先 說 法 異 今 
T26n1520_001:0017a27	說法異，云何如來不成妄語？為斷此疑故，如	說 法 異 云 何 如 來 不 成 妄 語 為 斷 此 疑 故 如 
T26n1520_001:0017a28	經「舍利弗！汝等當一心信解受持佛語，諸佛如	經 舍 利 弗 汝 等 當 一 心 信 解 受 持 佛 語 諸 佛 如 
T26n1520_001:0017a29	來言無虛妄，無有餘乘唯一佛乘」故。乃至童子	來 言 無 虛 妄 無 有 餘 乘 唯 一 佛 乘 故 乃 至 童 子 
T26n1520_001:0017b01	戲聚沙為佛塔，如是諸人等皆已成佛道者，	戲 聚 沙 為 佛 塔 如 是 諸 人 等 皆 已 成 佛 道 者 
T26n1520_001:0017b02	謂發菩提心行菩薩行者，所作善根能證菩	謂 發菩提心 行 菩 薩 行 者 所 作 善 根 能 證 菩 
T26n1520_001:0017b03	提，非諸凡夫及決定聲聞未發菩提心者之	提 非 諸 凡 夫 及 決 定 聲 聞 未 發菩提心 者 之 
T26n1520_001:0017b04	所能得故，如是乃至小低頭等亦如是。	所 能 得 故 如 是 乃 至 小 低 頭 等 亦 如 是 
T26n1520_001:0017b05	譬喻品第三	譬 喻 品 第 三 
T26n1520_001:0017b06	舍利弗說偈：	舍 利 弗 說 偈 
T26n1520_001:0017b07	「金色三十二，　　十力諸解脫，	 金 色 三 十 二 十 力 諸 解 脫 
T26n1520_001:0017b08	　同共一法中，　　而不得此事。	 同 共 一 法 中 而 不 得 此 事 
T26n1520_001:0017b09	　八十種妙好，　　十八不共法，	 八 十 種 妙 好 十八不共法 
T26n1520_001:0017b10	　如是等功德，　　而我皆已失。」	 如 是 等 功 德 而 我 皆 已 失 
T26n1520_001:0017b11	此偈示現何義？舍利弗自呵責身：我不見	此 偈 示 現 何 義 舍 利 弗 自 呵 責 身 我 不 見 
T26n1520_001:0017b12	諸佛、不往佛所聞法、不供養恭敬諸佛、無	諸 佛 不 往 佛 所 聞 法 不 供養恭敬 諸 佛 無 
T26n1520_001:0017b13	利益眾生事、未得法退，是故舍利弗呵責	利 益 眾 生 事 未 得 法 退 是 故 舍 利 弗 呵 責 
T26n1520_001:0017b14	自身。不見者，不見諸佛如來大人相生恭	自 身 不 見 者 不 見 諸佛如來 大 人 相 生 恭 
T26n1520_001:0017b15	敬供養心故。往者，示現教化眾生力故。放	敬 供 養 心 故 往 者 示 現 教 化 眾 生 力 故 放 
T26n1520_001:0017b16	金色光明者，見佛自身異身得無量功德故。	金 色 光 明 者 見 佛 自 身 異 身 得 無量功德 故 
T26n1520_001:0017b17	聞者，能作利益一切眾生故。力者，眾生有	聞 者 能 作 利 益 一 切 眾 生 故 力 者 眾 生 有 
T26n1520_001:0017b18	疑，依十力斷疑故。供養者，示現教化眾生	疑 依 十 力 斷 疑 故 供 養 者 示 現 教 化 眾 生 
T26n1520_001:0017b19	力故。十八不共法者，遠離諸障礙故。恭敬者，	力 故 十八不共法 者 遠 離 諸 障 礙 故 恭 敬 者 
T26n1520_001:0017b20	生無量福德，依如來教得解脫故。人無我	生 無量福德 依 如 來 教 得 解 脫 故 人 無 我 
T26n1520_001:0017b21	法無我，一切法平等故。是故舍利弗自呵責	法 無 我 一 切 法 平 等 故 是 故 舍 利 弗 自 呵 責 
T26n1520_001:0017b22	身：我未得如是法，於未得中退故。自此已	身 我 未 得 如 是 法 於 未 得 中 退 故 自 此 已 
T26n1520_001:0017b23	下，為七種具足煩惱性眾生說七譬喻，	下 為 七 種 具 足 煩 惱 性 眾 生 說 七 譬 喻 
T26n1520_001:0017b24	對治七種增上慢應知。又三種染無煩惱	對 治 七 種 增 上 慢 應 知 又 三 種 染 無 煩 惱 
T26n1520_001:0017b25	人三昧解脫見等染慢，對治此故說三平等	人 三 昧 解 脫 見 等 染 慢 對 治 此 故 說 三 平 等 
T26n1520_001:0017b26	應知。何者七種具足煩惱性人？一者求勢	應 知 何 者 七 種 具 足 煩 惱 性 人 一 者 求 勢 
T26n1520_001:0017b27	力人；二者求聲聞解脫人；三者求大乘人；四	力 人 二 者 求 聲 聞 解 脫 人 三 者 求 大 乘 人 四 
T26n1520_001:0017b28	者有定人；五者無定人；六者集功德人；七者	者 有 定 人 五 者 無 定 人 六 者 集 功 德 人 七 者 
T26n1520_001:0017b29	不集功德人。七種增上慢者，顛倒求功德增	不 集 功 德 人 七 種 增上慢者 顛 倒 求 功 德 增 
T26n1520_001:0017c01	上慢，以世間諸煩惱熾然而求天人妙境	上 慢 以 世 間 諸 煩 惱 熾 然 而 求 天 人 妙 境 
T26n1520_001:0017c02	果報；對治此故，說火宅譬喻應知。聲聞人	果 報 對 治 此 故 說 火 宅 譬 喻 應 知 聲 聞 人 
T26n1520_001:0017c03	一向增上慢，我乘與如來乘無差別，如是	一 向 增 上 慢 我 乘 與 如 來 乘 無 差 別 如 是 
T26n1520_001:0017c04	顛倒取；對治此故，說窮子譬喻應知。大乘	顛 倒 取 對 治 此 故 說 窮 子 譬 喻 應 知 大 乘 
T26n1520_001:0017c05	人一向增上慢，無別聲聞、辟支佛乘，顛倒	人 一 向 增 上 慢 無 別 聲 聞 辟 支 佛 乘 顛 倒 
T26n1520_001:0017c06	取；對治此故，說雨譬喻應知。實無而有	取 對 治 此 故 說 雨 譬 喻 應 知 實 無 而 有 
T26n1520_001:0017c07	增上慢人，以有世間三昧三摩跋提，實無涅	增上慢人 以 有 世 間 三 昧 三 摩 跋 提 實 無 涅 
T26n1520_001:0017c08	槃而生涅槃想；對治此故，說化城譬喻應	槃 而 生 涅 槃 想 對 治 此 故 說 化 城 譬 喻 應 
T26n1520_001:0017c09	知。散亂心實無有定，過去有大乘善根而	知 散 亂 心 實 無 有 定 過 去 有 大 乘 善 根 而 
T26n1520_001:0017c10	不覺知，彼不求大乘，於狹劣心中生虛妄	不 覺 知 彼 不 求 大 乘 於 狹 劣 心 中 生 虛 妄 
T26n1520_001:0017c11	解以為第一乘；對治此故，說繫寶珠譬喻	解 以 為 第 一 乘 對 治 此 故 說 繫 寶 珠 譬 喻 
T26n1520_001:0017c12	應知。有功德人說大乘法，而取非大乘；對	應 知 有 功 德 人 說 大 乘 法 而 取 非 大 乘 對 
T26n1520_001:0017c13	治此故，說王解髻中明珠與之譬喻應知。	治 此 故 說 王 解 髻 中 明 珠 與 之 譬 喻 應 知 
T26n1520_001:0017c14	無功德人於第一乘不集諸善根，說第一	無 功 德 人 於 第 一 乘 不 集 諸 善 根 說 第 一 
T26n1520_001:0017c15	乘不取為第一；對治此故，說醫師譬喻應	乘 不 取 為 第 一 對 治 此 故 說 醫 師 譬 喻 應 
T26n1520_001:0017c16	知。第一人者，以世間種種善根三昧功德方	知 第 一 人 者 以 世 間 種 種 善 根 三 昧 功 德 方 
T26n1520_001:0018a01	便令戲，後令入涅槃故。第二人者，以三為	便 令 戲 後 令入涅槃 故 第 二 人 者 以 三 為 
T26n1520_001:0018a02	一，令入大乘故。第三人者，令知種種乘諸佛	一 令 入 大 乘 故 第 三 人 者 令 知 種 種 乘 諸 佛 
T26n1520_001:0018a03	如來平等說法，隨眾生善根種子生芽故。	如 來 平 等 說 法 隨 眾 生 善 根 種 子 生 芽 故 
T26n1520_001:0018a04	第四人者，方便令入涅槃城故。涅槃城者，	第 四 人 者 方 便 令入涅槃城 故 涅 槃 城 者 
T26n1520_001:0018a05	諸禪三昧城，過彼城已令入大涅槃城故。	諸 禪 三 昧 城 過 彼 城 已 令 入 大 涅 槃 城 故 
T26n1520_001:0018a06	第五人者，示過去善根令憶念，教入三昧	第 五 人 者 示 過 去 善 根 令 憶 念 教 入 三 昧 
T26n1520_001:0018a07	故。第六人者，說大乘法，以此法門同十地行	故 第 六 人 者 說 大 乘 法 以 此 法 門 同 十 地 行 
T26n1520_001:0018a08	滿，諸佛如來密與授記故。第七人者，根未	滿 諸佛如來 密 與 授 記 故 第 七 人 者 根 未 
T26n1520_001:0018a09	熟為令熟故，示現涅槃量。為是義故，如來	熟 為 令 熟 故 示現涅槃 量 為 是 義 故 如 來 
T26n1520_001:0018a10	說此七種譬喻。何者三種無煩惱人？染慢顛	說 此 七 種 譬 喻 何 者 三 種 無 煩 惱 人 染 慢 顛 
T26n1520_001:0018a11	倒信故。一者信種種乘異；二者信世間涅槃	倒 信 故 一 者 信 種 種 乘 異 二 者 信 世 間 涅 槃 
T26n1520_001:0018a12	異；三者信彼此身異。為對治此三種染，說	異 三 者 信 彼 此 身 異 為 對 治 此 三 種 染 說 
T26n1520_001:0018a13	三種平等應知。一者乘平等，與聲聞授記，	三 種 平 等 應 知 一 者 乘 平 等 與 聲 聞 授 記 
T26n1520_001:0018a14	唯有大乘無二乘故；二者世間涅槃平等，以	唯 有 大 乘 無 二 乘 故 二 者 世間涅槃平等 以 
T26n1520_001:0018a15	多寶如來入涅槃，世間、涅槃平等故；三者	多 寶 如 來 入 涅 槃 世 間 涅 槃 平 等 故 三 者 
T26n1520_001:0018a16	身平等，多寶如來已入涅槃，復示現身，自身、	身 平 等 多 寶 如 來 已 入 涅 槃 復 示 現 身 自 身 
