X54n0879_001:0912a06	 正量論序	 正 量 論 序 
X54n0879_001:0916b24	問曰。彼論既違。請示不遷正義。答曰。不遷之義徧諸	問 曰 彼 論 既 違 請 示 不 遷 正 義 答 曰 不 遷 之 義 徧 諸 
X54n0879_001:0916c01	聖教。大意已見於前。今先示總要。後別彰義門。總則	聖 教 大 意 已 見 於 前 今 先 示 總 要 後 別 彰 義 門 總 則 
X54n0879_001:0916c02	十方法界總為一大圓覺心。譬如清淨摩尼。萬象森	十 方 法 界 總 為 一 大 圓 覺 心 譬 如 清 淨 摩 尼 萬 象 森 
X54n0879_001:0916c03	羅去來生滅於中影現。諸愚痴者說淨摩尼實有如	羅 去 來 生 滅 於 中 影 現 諸 愚 痴 者 說 淨 摩 尼 實 有 如 
X54n0879_001:0916c04	是去來之相(遷也)。智者了知此去來相即是摩尼。實無	是 去 來 之 相 遷 也 智 者 了 知 此 去 來 相 即 是 摩 尼 實 無 
X54n0879_001:0916c05	一物可去來也(即不遷也)。妙圓覺心亦復如是。聖凡依正	一 物 可 去 來 也 即 不 遷 也 妙 圓 覺 心 亦復如是 聖 凡 依 正 
X54n0879_001:0916c06	生滅去來於中影現。諸無明者說淨圓覺實有如是	生 滅 去 來 於 中 影 現 諸 無 明 者 說 淨 圓 覺 實 有 如 是 
X54n0879_001:0916c07	去來之相。慧眼觀之。此去來相當體寂滅即是圓覺。	去 來 之 相 慧 眼 觀 之 此 去 來 相 當 體 寂 滅 即 是 圓 覺 
X54n0879_001:0916c08	實無一法可去來也。又如有人頃刻假寐夢經百年。	實 無 一 法 可 去 來 也 又 如 有 人 頃 刻 假 寐 夢 經 百 年 
X54n0879_001:0916c09	其間少壯至老所為之事更代歷然。癡人不了。謂於	其 間 少 壯 至 老 所 為 之 事 更 代 歷 然 癡 人 不 了 謂 於 
X54n0879_001:0916c10	夢中實有如是更代之相(遷也)。智者了知夢想所現。終	夢 中 實 有 如 是 更 代 之 相 遷 也 智 者 了 知 夢 想 所 現 終 
X54n0879_001:0916c11	不以此為真實也(即不遷也)。眾生亦爾。以無明故妄見諸	不 以 此 為 真 實 也 即 不 遷 也 眾 生 亦 爾 以 無 明 故 妄 見 諸 
X54n0879_001:0916c12	法生滅去來。以佛眼觀。真空冥寂實無一法可去來	法 生 滅 去 來 以 佛 眼 觀 真 空 冥 寂 實 無 一 法 可 去 來 
X54n0879_001:0916c13	也。華嚴云。不可說諸劫。即是須臾頃。莫見修與短。究	也 華 嚴 云 不 可 說 諸 劫 即 是 須 臾 頃 莫 見 修 與 短 究 
X54n0879_001:0916c14	竟剎那法。法無去來即物不遷矣。若別說者。依諸聖	竟 剎 那 法 法 無 去 來 即 物 不 遷 矣 若 別 說 者 依 諸 聖 
X54n0879_001:0916c15	教義門有三。一諸法無常義。二常住不遷義。三二俱	教 義 門 有 三 一 諸 法 無 常 義 二 常 住 不 遷 義 三 二 俱 
X54n0879_001:0916c16	無礙義。且初義者。一切有為緣生之法皆是無常。剎	無 礙 義 且 初 義 者 一 切 有 為 緣 生 之 法 皆 是 無 常 剎 
X54n0879_001:0916c17	那變易非不遷也。故華嚴云。一切凡夫行。莫不速歸	那 變 易 非 不 遷 也 故 華 嚴 云 一 切 凡 夫 行 莫 不 速 歸 
X54n0879_001:0916c18	盡。涅槃云。諸行無常。是生滅法。涅槃廣說諸法無常。	盡 涅 槃 云 諸行無常 是 生 滅 法 涅 槃 廣 說 諸 法 無 常 
X54n0879_001:0916c19	皆此義也。二常住不遷義者。此中有二義。一性空故	皆 此 義 也 二 常 住 不 遷 義 者 此 中 有 二 義 一 性 空 故 
X54n0879_001:0916c20	不遷。謂即上有為生滅之法。因緣所作無自性故。當	不 遷 謂 即 上 有 為 生 滅 之 法 因 緣 所 作 無 自 性 故 當 
X54n0879_001:0916c21	體即空。無少法生無少法滅。故不遷也。般若云。是諸	體 即 空 無 少 法 生 無 少 法 滅 故 不 遷 也 般 若 云 是 諸 
X54n0879_001:0916c22	法空相。不生不滅等。中論云。諸法不自生。亦不從他	法 空 相 不生不滅 等 中 論 云 諸 法 不 自 生 亦 不 從 他 
X54n0879_001:0916c23	生。不共不無因。是故說無生。無生即不遷也。二者真	生 不 共 不 無 因 是 故 說 無 生 無 生 即 不 遷 也 二 者 真 
X54n0879_001:0916c24	實不遷。謂即由諸法無自性故。全體即是常住真心。	實 不 遷 謂 即 由 諸 法無自性 故 全 體 即 是 常 住 真 心 
X54n0879_001:0917a01	如金剛王無動無壞。故不遷也。華嚴云。知一切法即	如 金 剛 王 無 動 無 壞 故 不 遷 也 華 嚴 云 知一切法 即 
X54n0879_001:0917a02	心自性。楞嚴云。性真常中求於迷悟生死去來了無	心 自 性 楞 嚴 云 性 真 常 中 求 於 迷 悟 生 死 去 來 了 無 
X54n0879_001:0917a03	所得。起信云。是故一切法從本以來。離言說相。離心	所 得 起 信 云 是 故 一 切 法 從本以來 離 言 說 相 離 心 
X54n0879_001:0917a04	緣相。畢竟平等。無有變易。不可破壞。即是一心。故名	緣 相 畢 竟 平 等 無 有 變 易 不可破壞 即 是 一 心 故 名 
X54n0879_001:0917a05	真如。即斯義也。言無障礙義者。此中復有二義。謂理	真 如 即 斯 義 也 言 無 障 礙 義 者 此 中 復 有 二 義 謂 理 
X54n0879_001:0917a06	事無礙。事事無礙。言理事無礙者。即上遷與不遷相	事 無 礙 事 事 無 礙 言 理 事 無 礙 者 即 上 遷 與 不 遷 相 
X54n0879_001:0917a07	即無礙也。謂由不變之理能隨緣故。其不生滅性全	即 無 礙 也 謂 由 不 變 之 理 能 隨 緣 故 其 不 生 滅 性 全 
X54n0879_001:0917a08	體徧在生滅法中。如濕徧波則不遷而遷也。故華嚴	體 徧 在 生 滅 法 中 如 濕 徧 波 則 不 遷 而 遷 也 故 華 嚴 
X54n0879_001:0917a09	云。法性本無生。示現而有生。又經云。如來藏與七識	云 法 性 本 無 生 示 現 而 有 生 又 經 云 如 來 藏 與 七 識 
X54n0879_001:0917a10	俱。若生若滅猶如技兒。又經云。法身流轉於五道名	俱 若 生 若 滅 猶 如 技 兒 又 經 云 法 身 流 轉 於 五 道 名 
X54n0879_001:0917a11	曰眾生。復由緣生之事無自性故。全生滅法即是不	曰 眾 生 復 由 緣 生 之 事 無 自 性 故 全 生 滅 法 即 是 不 
X54n0879_001:0917a12	生滅理。如波即濕。則遷而不遷也。楞嚴云。幻妄稱相。	生 滅 理 如 波 即 濕 則 遷 而 不 遷 也 楞 嚴 云 幻 妄 稱 相 
X54n0879_001:0917a13	其性真為妙覺明體。法華云。是法住法位。世間相常	其 性 真 為 妙 覺 明 體 法 華 云 是 法 住 法 位 世 間 相 常 
X54n0879_001:0917a14	住。華嚴云。一切法無生。一切法無滅。此二同時。遷與	住 華 嚴 云 一 切 法 無 生 一 切 法 無 滅 此 二 同 時 遷 與 
X54n0879_001:0917a15	不遷無障礙也。二事事無礙者。謂由三世諸法全真	不 遷 無 障 礙 也 二 事 事 無 礙 者 謂 由 三 世 諸 法 全 真 
X54n0879_001:0917a16	心故。若時若物即同真心。含容周徧猶鏡燈然。故經	心 故 若 時 若 物 即 同 真 心 含 容 周 徧 猶 鏡 燈 然 故 經 
X54n0879_001:0917a17	云。一念普入無量劫。又云不動道場而身徧十方。又	云 一 念 普 入 無 量 劫 又 云 不 動 道 場 而 身 徧 十 方 又 
X54n0879_001:0917a18	云。過去無數劫。安置未來今。未來無數劫。迴置過去	云 過 去 無 數 劫 安 置 未 來 今 未 來 無 數 劫 迴 置 過 去 
X54n0879_001:0917a19	世。是則不動一塵而充徧十方。不離剎那而涉入三	世 是 則 不 動 一 塵 而 充 徧 十 方 不 離 剎 那 而 涉 入 三 
X54n0879_001:0917a20	世。一遷一切遷。無遷無不遷。不可得而思議矣。遷不	世 一 遷 一 切 遷 無 遷 無 不 遷 不 可 得 而 思 議 矣 遷 不 
X54n0879_001:0917a21	遷義理盡於是焉。此上諸義。前因後宗展轉相成。謂	遷 義 理 盡 於 是 焉 此 上 諸 義 前 因 後 宗 展 轉 相 成 謂 
X54n0879_001:0917a22	由諸法剎那變易故無自性。由無自性故全體即真。	由 諸 法 剎 那 變 易 故 無 自 性 由 無 自 性 故 全 體 即 真 
X54n0879_001:0917a23	以即真故事理無礙。由事理無礙故能令事事如理	以 即 真 故 事 理 無 礙 由 事 理 無 礙 故 能 令 事 事 如 理 
X54n0879_001:0917a24	而無礙也。此三義門徧諸聖教。皆非不化因論也。不	而 無 礙 也 此 三 義 門 徧 諸 聖 教 皆 非 不 化 因 論 也 不 
X54n0879_001:0917b01	識肇公何所據耶。如無聖言可據。則愚未敢聞命矣。	識 肇 公 何 所 據 耶 如 無 聖 言 可 據 則 愚 未 敢 聞 命 矣 
X54n0879_001:0917b02	或問。肇公物各性住。豈非法華世相常住耶。答曰。非	或 問 肇 公 物 各 性 住 豈 非 法 華 世 相 常 住 耶 答 曰 非 
X54n0879_001:0917b03	也。彼言性住者。物各性住於一世。所謂昔物自在昔。	也 彼 言 性 住 者 物 各 性 住 於 一 世 所 謂 昔 物 自 在 昔 
X54n0879_001:0917b04	今物自在今。如求向物於向。於向未嘗無。是以有物	今 物 自 在 今 如 求 向 物 於 向 於 向 未 嘗 無 是 以 有 物 
X54n0879_001:0917b05	住於昔也。法華云。是法住法位。世間相常住者。法位	住 於 昔 也 法 華 云 是 法 住 法 位 世 間 相 常 住 者 法 位 
X54n0879_001:0917b06	廼真如之異名(龍樹解大品法住法位。實相異其名)。真如即諸法之正	廼 真 如 之 異 名 龍 樹 解 大 品 法 住 法 位 實 相 異 其 名 真 如 即 諸 法 之 正 
X54n0879_001:0917b07	位。若見諸法有無一異生滅去來皆是妄想徧計。非	位 若 見 諸 法 有 無 一 異 生 滅 去 來 皆 是 妄 想 徧 計 非 
X54n0879_001:0917b08	見諸法之正位也。譬如餓鬼見恒河水以為流火。則	見 諸 法 之 正 位 也 譬 如 餓 鬼 見 恒 河 水 以 為 流 火 則 
X54n0879_001:0917b09	不見恒河之正位也(喻出楞伽)。如彼恒河實無有火。餓鬼	不 見 恒 河 之 正 位 也 喻 出 楞 伽 如 彼 恒 河 實 無 有 火 餓 鬼 
X54n0879_001:0917b10	見之以為流火。燄燄相續起滅有無。彼恒河水體常	見 之 以 為 流 火 燄 燄 相 續 起 滅 有 無 彼 恒 河 水 體 常 
X54n0879_001:0917b11	自若曾無變異。諸法亦爾。有無一異生滅去來皆不	自 若 曾 無 變 異 諸 法 亦 爾 有 無 一 異 生 滅 去 來 皆 不 
X54n0879_001:0917b12	可得。然眾生妄見有無一異生滅去來。而法住法位	可 得 然 眾 生 妄 見 有 無 一 異 生 滅 去 來 而 法 住 法 位 
X54n0879_001:0917b13	曷嘗變異哉。故曰是法住法位。世間相常住。若謂此	曷 嘗 變 異 哉 故 曰 是 法 住 法 位 世 間 相 常 住 若 謂 此 
X54n0879_001:0917b14	法於向為有。於今為無。是墮有無。若謂今物自在今。	法 於 向 為 有 於 今 為 無 是 墮 有 無 若 謂 今 物 自 在 今 
X54n0879_001:0917b15	昔物自在昔。是墮一異。未有有無一異而非生滅去	昔 物 自 在 昔 是 墮 一 異 未 有 有 無 一 異 而 非 生 滅 去 
X54n0879_001:0917b16	來者也。有無一異生滅去來妄想徧計耳。而欲同法	來 者 也 有 無 一 異 生 滅 去 來 妄 想 徧 計 耳 而 欲 同 法 
X54n0879_001:0917b17	華實相之旨。詎可得耶。然世相所以得常住者。以無	華 實 相 之 旨 詎 可 得 耶 然 世 相 所 以 得 常 住 者 以 無 
X54n0879_001:0917b18	性故耳。世間無性即是真如。故世間相即常住相。其	性 故 耳 世 間 無 性 即 是 真 如 故 世 間 相 即 常 住 相 其 
X54n0879_001:0917b19	猶流火無性即是恒河無變異也。故經云。諸佛兩足	猶 流 火 無 性 即 是 恒 河 無 變 異 也 故 經 云 諸 佛 兩 足 
X54n0879_001:0917b20	尊。知法常無性。而言常無性者。有常即無也。非推之	尊 知 法 常 無 性 而 言 常 無 性 者 有 常 即 無 也 非 推 之 
X54n0879_001:0917b21	使無。非先有後無。非彼有此無也。如彼諸鬼所見流	使 無 非 先 有 後 無 非 彼 有 此 無 也 如 彼 諸 鬼 所 見 流 
X54n0879_001:0917b22	火。然此火性即水而求既不可得。離水而求亦不可	火 然 此 火 性 即 水 而 求 既 不 可 得 離 水 而 求 亦 不 可 
X54n0879_001:0917b23	得也。正見火時火無可生。或不見時亦無可滅。性本	得 也 正 見 火 時 火 無 可 生 或 不 見 時 亦 無 可 滅 性 本 
X54n0879_001:0917b24	自無。非推之使無也。非先有後無也。非彼有此無也。	自 無 非 推 之 使 無 也 非 先 有 後 無 也 非 彼 有 此 無 也 
X54n0879_001:0917c01	諸法亦爾。所謂從本以來非自非他非合非散。湛然	諸 法 亦 爾 所 謂 從本以來 非 自 非 他 非 合 非 散 湛 然 
X54n0879_001:0917c02	常寂。故曰常無性也。以無性故。一一天真。一一實相。	常 寂 故 曰 常 無 性 也 以 無 性 故 一 一 天 真 一 一 實 相 
X54n0879_001:0917c03	無動無壞。故得常住。若謂此物於向為有。於今為無。	無 動 無 壞 故 得 常 住 若 謂 此 物 於 向 為 有 於 今 為 無 
X54n0879_001:0917c04	即先有後無。彼有此無。斷非法華無性之旨也。又以	即 先 有 後 無 彼 有 此 無 斷 非 法 華 無 性 之 旨 也 又 以 
X54n0879_001:0917c05	諸法無自性故。皆同一性(絕待之一)。是謂真如。無有變易。	諸 法無自性 故 皆 同 一 性 絕 待 之 一 是 謂 真 如 無 有 變 易 
X54n0879_001:0917c06	不可破壞。是謂世間相常住也。若謂物各性住於一	不可破壞 是 謂 世 間 相 常 住 也 若 謂 物 各 性 住 於 一 
X54n0879_001:0917c07	世而不化者。是為定法。定法即有自性矣。既有自性	世 而 不 化 者 是 為 定 法 定 法 即 有 自 性 矣 既 有 自 性 
X54n0879_001:0917c08	即乖真如。既乖真如而欲世相常住。未之有也。又常	即 乖 真 如 既 乖 真 如 而 欲 世 相 常 住 未 之 有 也 又 常 
X54n0879_001:0917c09	住相即寂滅相也。故經云。諸法從本來。常自寂滅相。	住 相 即 寂 滅 相 也 故 經 云 諸 法 從 本 來 常 自 寂 滅 相 
X54n0879_001:0917c10	既曰寂滅。則即一切法有無一異生滅去來皆不可	既 曰 寂 滅 則 即 一 切 法 有 無 一 異 生 滅 去 來 皆 不 可 
X54n0879_001:0917c11	得矣。謂之昔物在昔。今物在今。可乎。謂之向有今無	得 矣 謂 之 昔 物 在 昔 今 物 在 今 可 乎 謂 之 向 有 今 無 
X54n0879_001:0917c12	可乎。蓋言常寂滅者。當生即滅。即不待緣散方曰滅	可 乎 蓋 言 常 寂 滅 者 當 生 即 滅 即 不 待 緣 散 方 曰 滅 
X54n0879_001:0917c13	也。故楞伽云。初生即有滅。不為愚者說。今日求向物	也 故 楞 伽 云 初 生 即 有 滅 不 為 愚 者 說 今 日 求 向 物 
X54n0879_001:0917c14	於向。於向未嘗無。是以物生為有也。責向物於今。於	於 向 於 向 未 嘗 無 是 以 物 生 為 有 也 責 向 物 於 今 於 
X54n0879_001:0917c15	今未嘗有。是以物滅為無也。以生為有是謂定有。以	今 未 嘗 有 是 以 物 滅 為 無 也 以 生 為 有 是 謂 定 有 以 
X54n0879_001:0917c16	滅為無是為斷無。而欲同法華常寂滅旨。吾不知其	滅 為 無 是 為 斷 無 而 欲 同 法 華 常 寂 滅 旨 吾 不 知 其 
X54n0879_001:0917c17	可也。然法住法位之名。大品具載。龍樹菩薩以為真	可 也 然 法 住 法 位 之 名 大 品 具 載 龍 樹 菩 薩 以 為 真 
X54n0879_001:0917c18	如異稱。近世異解師云。法住法位者。天位在上。地位	如 異 稱 近 世 異 解 師 云 法 住 法 位 者 天 位 在 上 地 位 
X54n0879_001:0917c19	在下。水性自濕。火性自燥。甘蔗性甜。黃連性苦。乃至	在 下 水 性 自 濕 火 性 自 燥 甘 蔗 性 甜 黃 連 性 苦 乃 至 
X54n0879_001:0917c20	鵠白玄烏花黃竹翠。法法各住自位不可移易。是謂	鵠 白 玄 烏 花 黃 竹 翠 法 法 各 住 自 位 不 可 移 易 是 謂 
X54n0879_001:0917c21	世間相常住。若如此見。得各各物狀互不相參。月得	世 間 相 常 住 若 如 此 見 得 各 各 物 狀 互 不 相 參 月 得 
X54n0879_001:0917c22	世間相耳。常住相猶未夢見在。若謂此物各住自位	世 間 相 耳 常 住 相 猶 未 夢 見 在 若 謂 此 物 各 住 自 位 
X54n0879_001:0917c23	定不移易。不出情執妄計耳。用當法華實相之旨。是	定 不 移 易 不 出 情 執 妄 計 耳 用 當 法 華 實 相 之 旨 是 
X54n0879_001:0917c24	猶鬼見未忘而覔恒河之水。則徒增燄熱耳。是則物	猶 鬼 見 未 忘 而 覔 恒 河 之 水 則 徒 增 燄 熱 耳 是 則 物 
X54n0879_001:0918a01	各性住與法華實相常住。敵體相違。有以為同之者。	各 性 住 與 法 華 實 相 常 住 敵 體 相 違 有 以 為 同 之 者 
X54n0879_001:0918a02	安得不謗法華哉。嗚呼。吾非好辯也。所惡於紫。為其	安 得 不 謗 法 華 哉 嗚 呼 吾 非 好 辯 也 所 惡 於 紫 為 其 
X54n0879_001:0918a03	亂朱也。所惡於似。為其亂真也。今夫直言而非之者	亂 朱 也 所 惡 於 似 為 其 亂 真 也 今 夫 直 言 而 非 之 者 
X54n0879_001:0918a04	易曉。似言而亂之者難明。是故非謗之害細。似亂之	易 曉 似 言 而 亂 之 者 難 明 是 故 非 謗 之 害 細 似 亂 之 
X54n0879_001:0918a05	害深。吾欲無言可乎。	害 深 吾 欲 無 言 可 乎 
X54n0879_001:0918a06	右據聖言量辯竟。若更作比量者。肇公出不遷因云。	右 據 聖 言 量 辯 竟 若 更 作 比 量 者 肇 公 出 不 遷 因 云 
X54n0879_001:0918a07	求向物於向。於向未嘗無。責向物於今。於今未嘗有。	求 向 物 於 向 於 向 未 嘗 無 責 向 物 於 今 於 今 未 嘗 有 
X54n0879_001:0918a08	是則向有今無。廼法自相相違。因向異品上轉也。量	是 則 向 有 今 無 廼 法 自 相 相 違 因 向 異 品 上 轉 也 量 
X54n0879_001:0918a09	云。向日少年是有法。決定遷滅為宗。因云。向有今無	云 向 日 少 年 是 有 法 決 定 遷 滅 為 宗 因 云 向 有 今 無 
X54n0879_001:0918a10	故。同喻。如前陰。前陰今不有。前陰已遷滅。少年今不	故 同 喻 如 前 陰 前 陰 今 不 有 前 陰 已 遷 滅 少 年 今 不 
X54n0879_001:0918a11	有。少年亦遷滅也。其曰昔物自在昔。不從今至昔等。	有 少 年 亦 遷 滅 也 其 曰 昔 物 自 在 昔 不 從 今 至 昔 等 
X54n0879_001:0918a12	是亦違因。量云。昔日少年是有法。非不遷滅為宗。因	是 亦 違 因 量 云 昔 日 少 年 是 有 法 非 不 遷 滅 為 宗 因 
X54n0879_001:0918a13	云。不可留至於今故。同喻。如昨夢。昨夢不到今。昨夢	云 不 可 留 至 於 今 故 同 喻 如 昨 夢 昨 夢 不 到 今 昨 夢 
X54n0879_001:0918a14	已遷滅。少年不到今。少年已遷滅也。其曰往物不化	已 遷 滅 少 年 不 到 今 少 年 已 遷 滅 也 其 曰 往 物 不 化 
X54n0879_001:0918a15	是亦違因。量云。往業是有法。非不遷化為宗。因云。以	是 亦 違 因 量 云 往 業 是 有 法 非 不 遷 化 為 宗 因 云 以 
X54n0879_001:0918a16	能至果故。同喻。如昨日。謂因若不化。則應常因終不	能 至 果 故 同 喻 如 昨 日 謂 因 若 不 化 則 應 常 因 終 不 
X54n0879_001:0918a17	至果。此以業果成無常也。又量云。往業是有法。決定	至 果 此 以 業 果 成 無 常 也 又 量 云 往 業 是 有 法 決 定 
X54n0879_001:0918a18	至果為宗。因云。業性無常故。謂若不至果。業性應常。	至 果 為 宗 因 云 業 性 無 常 故 謂 若 不 至 果 業 性 應 常 
X54n0879_001:0918a19	此以無常成業果也。是則無常業果二義相成。誰云	此 以 無 常 成 業 果 也 是 則 無 常 業 果 二 義 相 成 誰 云 
X54n0879_001:0918a20	業果常不遷乎。然肇公往業不化之說。聖教無憑。有	業 果 常 不 遷 乎 然 肇 公 往 業 不 化 之 說 聖 教 無 憑 有 
X54n0879_001:0918a21	同異見。量云。往業不化是有法。濫同常見異執為宗。	同 異 見 量 云 往 業 不 化 是 有 法 濫 同 常 見 異 執 為 宗 
X54n0879_001:0918a22	因云。教理俱違故。同喻。如斷見違理者。如白首老人	因 云 教 理 俱 違 故 同 喻 如 斷 見 違 理 者 如 白 首 老 人 
X54n0879_001:0918a23	少壯仍在。千尺長松本種猶存。決無是理也。教違者。	少 壯 仍 在 千 尺 長 松 本 種 猶 存 決 無 是 理 也 教 違 者 
X54n0879_001:0918a24	一切聖教皆言因滅果生故。問曰。彼說既違。請示正	一 切 聖 教 皆 言 因 滅 果 生 故 問 曰 彼 說 既 違 請 示 正 
X54n0879_001:0918b01	義。先示因緣法。量云。一切有為是有法。無常遷滅為	義 先 示 因 緣 法 量 云 一 切 有 為 是 有 法 無 常 遷 滅 為 
X54n0879_001:0918b02	宗。因云。因緣所作故。同喻。如燈燄。燈燄從緣生。燈燄	宗 因 云 因 緣 所 作 故 同 喻 如 燈 燄 燈 燄 從 緣 生 燈 燄 
X54n0879_001:0918b03	是無常。有為從緣生。有為是無常也。其不遷有二義。	是 無 常 有 為 從 緣 生 有 為 是 無 常 也 其 不 遷 有 二 義 
X54n0879_001:0918b04	一云緣生之物是有法。決定不遷為宗。因云。無有自	一 云 緣 生 之 物 是 有 法 決 定 不 遷 為 宗 因 云 無 有 自 
X54n0879_001:0918b05	性故。同喻。如空花。空華無所有。空花不可遷。緣生性	性 故 同 喻 如 空 花 空 華 無 所 有 空 花 不 可 遷 緣 生 性 
X54n0879_001:0918b06	不有。緣生故不遷。此無物可遷也。二云無性之物是	不 有 緣 生 故 不 遷 此 無 物 可 遷 也 二 云 無 性 之 物 是 
X54n0879_001:0918b07	有法。決定不遷為宗。因云。全體即真故。同喻。如鏡像。	有 法 決 定 不 遷 為 宗 因 云 全 體 即 真 故 同 喻 如 鏡 像 
X54n0879_001:0918b08	鏡像體即鏡。鏡像不可遷。緣生體即真。緣生即不遷。	鏡 像 體 即 鏡 鏡 像 不 可 遷 緣 生 體 即 真 緣 生 即 不 遷 
X54n0879_001:0918b09	此真實不遷也。此二無礙。復有二義。一云遷與不遷	此 真 實 不 遷 也 此 二 無 礙 復 有 二 義 一 云 遷 與 不 遷 
X54n0879_001:0918b10	是有法。相即無礙為宗。因云。理則不變隨緣。事則成	是 有 法 相 即 無 礙 為 宗 因 云 理 則 不 變 隨 緣 事 則 成 
X54n0879_001:0918b11	相體空故。同喻。如水波。是則不遷而遷。遷而不遷也。	相 體 空 故 同 喻 如 水 波 是 則 不 遷 而 遷 遷 而 不 遷 也 
X54n0879_001:0918b12	二云念劫剎塵是有法。周徧含容為宗。因云。萬事如	二 云 念 劫 剎 塵 是 有 法 周 徧 含 容 為 宗 因 云 萬 事 如 
X54n0879_001:0918b13	理故。同喻。如帝網。或問。肇公乃聖師也。所立不遷千	理 故 同 喻 如 帝 網 或 問 肇 公 乃 聖 師 也 所 立 不 遷 千 
X54n0879_001:0918b14	有餘載。凡名師大匠興辭樹義每以為引證。未聞有	有 餘 載 凡 名 師 大 匠 興 辭 樹 義 每 以 為 引 證 未 聞 有 
X54n0879_001:0918b15	議其非者。爾何人。乃敢妄窺先覺耶。曰。噫。澄固一業	議 其 非 者 爾 何 人 乃 敢 妄 窺 先 覺 耶 曰 噫 澄 固 一 業 
X54n0879_001:0918b16	識僧耳。豈敢與先覺辯哉。直據吾佛之言以證正耳。	識 僧 耳 豈 敢 與 先 覺 辯 哉 直 據 吾 佛 之 言 以 證 正 耳 
X54n0879_001:0918b17	使吾佛之言果不可異。則肇師雖聖又豈聖於吾佛	使 吾 佛 之 言 果 不 可 異 則 肇 師 雖 聖 又 豈 聖 於 吾 佛 
X54n0879_001:0918b18	哉。觀國師曰。常取信於佛。無取信於人。吾事斯語矣。	哉 觀 國 師 曰 常 取 信 於 佛 無 取 信 於 人 吾 事 斯 語 矣 
X54n0879_001:0918b19	續論	續 論 
X54n0879_001:0918b20	註物不遷論者甚多好說。多是證龜成鱉。有師用楞	註 物 不 遷 論 者 甚 多 好 說 多 是 證 龜 成 鱉 有 師 用 楞 
X54n0879_001:0918b21	嚴匿王章註求向物於向於向未嘗無。註云。童子之	嚴 匿 王 章 註 求 向 物 於 向 於 向 未 嘗 無 註 云 童 子 之 
X54n0879_001:0918b22	時膚腠潤澤(向有童顏)。責向物於今於今未嘗有。註云。衰	時 膚 腠 潤 澤 向 有 童 顏 責 向 物 於 今 於 今 未 嘗 有 註 云 衰 
X54n0879_001:0918b23	老之年形色枯悴(今無童顏)。此證既合論語。其義却與肇	老 之 年 形 色 枯 悴 今 無 童 顏 此 證 既 合 論 語 其 義 却 與 肇 
X54n0879_001:0918b24	公作敵。何則。肇公向有今無為成不遷。楞嚴向有今	公 作 敵 何 則 肇 公 向 有 今 無 為 成 不 遷 楞 嚴 向 有 今 
X54n0879_001:0918c01	無為成遷變。因同宗異。敵體相違。肇公果是。楞嚴必	無 為 成 遷 變 因 同 宗 異 敵 體 相 違 肇 公 果 是 楞 嚴 必 
X54n0879_001:0918c02	非。楞嚴果是。肇公必非。人師於此莫知辯。可怪也。涅	非 楞 嚴 果 是 肇 公 必 非 人 師 於 此 莫 知 辯 可 怪 也 涅 
X54n0879_001:0918c03	槃亦然(已如前引)。問。且如色身既有童耄彼此之異。如何	槃 亦 然 已 如 前 引 問 且 如 色 身 既 有 童 耄 彼 此 之 異 如 何 
X54n0879_001:0918c04	成立真常。答曰。若見色異即屬無常。見色不異即真	成 立 真 常 答 曰 若 見 色 異 即 屬 無 常 見 色 不 異 即 真 
X54n0879_001:0918c05	常也。所謂童顏性空不異白髮性空。張三寂滅不異	常 也 所 謂 童 顏 性 空 不 異 白 髮 性 空 張 三 寂 滅 不 異 
X54n0879_001:0918c06	李四寂滅。此言不異者同體不異。非相似不異。諸法	李 四 寂 滅 此 言 不 異 者 同 體 不 異 非 相 似 不 異 諸 法 
X54n0879_001:0918c07	性空體無二故。不二之體即真常也。故般若云。色清	性 空 體 無 二 故 不 二 之 體 即 真 常 也 故 般 若 云 色 清 
X54n0879_001:0918c08	淨乃至一切智智清淨。無二無二分。無別無斷故。故	淨 乃 至 一切智智 清 淨 無 二 無 二 分 無 別 無 斷 故 故 
X54n0879_001:0918c09	涅槃廣說異物無常以破外道異執之常。蓋外道不	涅 槃 廣 說 異 物 無 常 以 破 外 道 異 執 之 常 蓋 外 道 不 
X54n0879_001:0918c10	見性空不二之體。妄謂異法常住。豈真常住耶。則肇	見 性 空 不 二 之 體 妄 謂 異 法 常 住 豈 真 常 住 耶 則 肇 
X54n0879_001:0918c11	公昔物住昔今物住今為不遷。與執異物常住者。為	公 昔 物 住 昔 今 物 住 今 為 不 遷 與 執 異 物 常 住 者 為 
X54n0879_001:0918c12	有辯焉。為無辯焉。	有 辯 焉 為 無 辯 焉 
X54n0879_001:0918c13	問。何知異物皆無常耶。答曰。據二量故。一聖言量。涅	問 何 知 異 物 皆 無 常 耶 答 曰 據 二 量 故 一 聖 言 量 涅 
X54n0879_001:0918c14	槃聖行廣說異物皆無常故。二理量。如空不異則名	槃 聖 行 廣 說 異 物 皆 無 常 故 二 理 量 如 空 不 異 則 名 
X54n0879_001:0918c15	為常。形器異故諸皆無常。竪論異者。如今物非昔昔	為 常 形 器 異 故 諸 皆 無 常 竪 論 異 者 如 今 物 非 昔 昔 
X54n0879_001:0918c16	物非今。昔日之物在昔為有。於今為無。是則此物先	物 非 今 昔 日 之 物 在 昔 為 有 於 今 為 無 是 則 此 物 先 
