T45n1857_001:0143b14	寶藏論	寶 藏 論 
T45n1857_001:0147c05	冶。言大冶者為大道也。此大道冶中。造化無	冶 言 大 冶 者 為 大 道 也 此 大 道 冶 中 造 化 無 
T45n1857_001:0147c06	窮流出萬宗。若成若壞體無增減。故經云有	窮 流 出 萬 宗 若 成 若 壞 體 無 增 減 故 經 云 有 
T45n1857_001:0147c07	佛無佛。性相常住。所以言融相者。但為愚夫	佛 無 佛 性相常住 所 以 言 融 相 者 但 為 愚 夫 
T45n1857_001:0147c08	著有相畏無相也。所以言相者。為破彼外道	著 有 相 畏 無 相 也 所 以 言 相 者 為 破 彼 外 道 
T45n1857_001:0147c09	著於無相畏有相也。所以言中道者。欲令有	著 於 無 相 畏 有 相 也 所 以 言 中 道 者 欲 令 有 
T45n1857_001:0147c10	相無相無二也。此皆破執除疑言非盡理。若	相 無 相 無 二 也 此 皆 破 執 除 疑 言 非 盡 理 若 
T45n1857_001:0147c11	復有人了相無法平等不二。無取無捨無此	復 有 人 了 相 無 法 平 等 不 二 無 取 無 捨 無 此 
T45n1857_001:0147c12	無彼。亦無中間。即不假聖人言說理自通也。	無 彼 亦 無 中 間 即 不 假 聖 人 言 說 理 自 通 也 
T45n1857_001:0147c13	夫以相為無相者。即相而無相也。故經云色	夫 以 相 為 無 相 者 即 相 而 無 相 也 故 經 云 色 
T45n1857_001:0147c14	即是空非色滅空。譬如水流風擊成泡。即泡	即 是 空 非 色 滅 空 譬 如 水 流 風 擊 成 泡 即 泡 
T45n1857_001:0147c15	是水非泡滅水。夫以無相為相者。即無相而	是 水 非 泡 滅 水 夫 以 無 相 為 相 者 即 無 相 而 
T45n1857_001:0147c16	相也。經云空即是色色無盡也。譬如壞泡為	相 也 經 云 空 即 是 色 色 無 盡 也 譬 如 壞 泡 為 
T45n1857_001:0147c17	水水即泡也。非水離泡。夫愛有相畏無相者。	水 水 即 泡 也 非 水 離 泡 夫 愛 有 相 畏 無 相 者 
T45n1857_001:0147c18	不知有相即無相也。愛無相畏有相者。不知	不 知 有 相 即 無 相 也 愛 無 相 畏 有 相 者 不 知 
T45n1857_001:0147c19	無相即是相也。是故有相及無相。一切悉在	無 相 即 是 相 也 是 故 有 相 及 無 相 一 切 悉 在 
T45n1857_001:0147c20	其中矣。覺者名佛。妄即不生。妄若不生即本	其 中 矣 覺 者 名 佛 妄 即 不 生 妄 若 不 生 即 本 
T45n1857_001:0147c21	真實。夫無相之相謂之離。離體無相也。相即	真 實 夫 無 相 之 相 謂 之 離 離 體 無 相 也 相 即 
T45n1857_001:0147c22	無相謂之微。微體非無相也。是以為道者。生	無 相 謂 之 微 微 體 非 無 相 也 是 以 為 道 者 生 
T45n1857_001:0147c23	而不喜死而不憂。何以故。以生為浮以死為	而 不 喜 死 而 不 憂 何 以 故 以 生 為 浮 以 死 為 
T45n1857_001:0147c24	休。以生為化以死為真。故經云起唯法起滅	休 以 生 為 化 以 死 為 真 故 經 云 起 唯 法 起 滅 
T45n1857_001:0147c25	唯法滅。又此法者各不相知。起時不言我起。	唯 法 滅 又 此 法 者 各 不 相 知 起 時 不 言 我 起 
T45n1857_001:0147c26	滅時不言我滅。夫大智無知。大覺無覺。真	滅 時 不 言 我 滅 夫 大 智 無 知 大 覺 無 覺 真 
T45n1857_001:0147c27	際理空不可名目。是以涅槃大寂般若無知。	際 理 空 不 可 名 目 是 以 涅 槃 大 寂 般 若 無 知 
T45n1857_001:0147c28	圓滿法身一切限量相寂滅也。	圓 滿 法 身 一 切 限 量 相 寂 滅 也 
T45n1857_001:0147c29	本際虛玄品第三	本 際 虛 玄 品 第 三 
T45n1857_001:0148a01	夫本際者。即一切眾生無礙涅槃之性也。何	夫 本 際 者 即 一 切 眾 生 無 礙 涅 槃 之 性 也 何 
T45n1857_001:0148a02	謂忽有如是妄心及以種種顛倒者。但為一	謂 忽 有 如 是 妄 心 及 以 種 種 顛 倒 者 但 為 一 
T45n1857_001:0148a03	念迷也。又此念者從一而起。又此一者從不	念 迷 也 又 此 念 者 從 一 而 起 又 此 一 者 從 不 
T45n1857_001:0148a04	思議起。不思議者即無所起。故經云道始生	思 議 起 不 思 議 者 即 無 所 起 故 經 云 道 始 生 
T45n1857_001:0148a05	一。一為無為。一生二。二為妄心。以知一故	一 一 為 無 為 一 生 二 二 為 妄 心 以 知 一 故 
T45n1857_001:0148a06	即分為二。二生陰陽陰陽為動靜也。以陽為	即 分 為 二 二 生 陰 陽 陰 陽 為 動 靜 也 以 陽 為 
T45n1857_001:0148a07	清以陰為濁。故清氣內虛為心。濁氣外凝為	清 以 陰 為 濁 故 清 氣 內 虛 為 心 濁 氣 外 凝 為 
T45n1857_001:0148a08	色。即有心色二法。心應於陽陽應於動。色應	色 即 有 心 色 二 法 心 應 於 陽 陽 應 於 動 色 應 
T45n1857_001:0148a09	於陰陰應於靜。靜乃與玄牝相通。天地交合	於 陰 陰 應 於 靜 靜 乃 與 玄 牝 相 通 天 地 交 合 
T45n1857_001:0148a10	故。所謂一切眾生皆稟陰陽虛氣而生。是以	故 所 謂 一 切 眾 生 皆 稟 陰 陽 虛 氣 而 生 是 以 
T45n1857_001:0148a11	由一生二。二生三三即生萬法也。既緣無	由 一 生 二 二 生 三 三 即 生 萬 法 也 既 緣 無 
T45n1857_001:0148a12	為而有心。復緣有心而有色。故經云種種心	為 而 有 心 復 緣 有 心 而 有 色 故 經 云 種 種 心 
T45n1857_001:0148a13	色。是以心生萬慮色起萬端。和合業因遂成	色 是 以 心 生 萬 慮 色 起 萬 端 和 合 業 因 遂 成 
T45n1857_001:0148a14	三界種子。夫所以有三界者。為以執心為本	三 界 種 子 夫 所 以 有 三 界 者 為 以 執 心 為 本 
T45n1857_001:0148a15	迷真一故。即有濁辱生其妄氣。妄氣澄清為	迷 真 一 故 即 有 濁 辱 生 其 妄 氣 妄 氣 澄 清 為 
T45n1857_001:0148a16	無色界。所謂心也。澄濁現為色界。所謂身也。	無 色 界 所 謂 心 也 澄 濁 現 為 色 界 所 謂 身 也 
T45n1857_001:0148a17	散滓穢為欲界。所謂塵境也。故經云三界虛	散 滓 穢 為 欲 界 所 謂 塵 境 也 故 經 云 三 界 虛 
T45n1857_001:0148a18	妄不實。唯一妄心變化。夫內有一生即外有	妄 不 實 唯 一 妄 心 變 化 夫 內 有 一 生 即 外 有 
T45n1857_001:0148a19	無為。內有二生即外有有為。內有三生即外	無 為 內 有 二 生 即 外 有 有 為 內 有 三 生 即 外 
T45n1857_001:0148a20	有三界。既內外相應遂生種種諸法。及恒沙	有 三 界 既 內 外 相 應 遂 生 種 種 諸 法 及 恒 沙 
T45n1857_001:0148a21	煩惱也。若一不生即無無為。若有人言我證	煩 惱 也 若 一 不 生 即 無 無 為 若 有 人 言 我 證 
T45n1857_001:0148a22	無為。即是虛妄。若二不生即無有為。若有	無 為 即 是 虛 妄 若 二 不 生 即 無 有 為 若 有 
T45n1857_001:0148a23	人言我證有為。即是虛妄。若三不生即無三	人 言 我 證 有 為 即 是 虛 妄 若 三 不 生 即 無 三 
T45n1857_001:0148a24	界。若有人言定有三界。即是虛妄。是故經云	界 若 有 人 言 定 有 三 界 即 是 虛 妄 是 故 經 云 
T45n1857_001:0148a25	有有即苦果。無有即涅槃。諸聲聞人取證無	有 有 即 苦 果 無 有 即 涅 槃 諸 聲 聞 人 取 證 無 
T45n1857_001:0148a26	為。猶有有餘也。乃至十地菩薩。皆有住地無	為 猶 有 有 餘 也 乃 至 十地菩薩 皆 有 住 地 無 
T45n1857_001:0148a27	明微細障也。故以一為無為以二為有為。以	明 微 細 障 也 故 以 一 為 無 為 以 二 為 有 為 以 
T45n1857_001:0148a28	三為三界。言無為者有二種。一者證滅無為。	三 為 三 界 言 無 為 者 有 二 種 一 者 證 滅 無 為 
T45n1857_001:0148a29	二者性本無為。言證滅無為者。所謂一切聖	二 者 性 本 無 為 言 證 滅 無 為 者 所 謂 一 切 聖 
T45n1857_001:0148b01	人修道斷障體如如也。故經云一切賢聖皆	人 修 道 斷 障 體 如 如 也 故 經 云 一 切 賢 聖 皆 
T45n1857_001:0148b02	以無為法。而有差別性。本無為者所謂本來	以 無 為 法 而有差別 性 本 無 為 者 所 謂 本 來 
T45n1857_001:0148b03	法爾非修非證。非人所合非法所契。人法本	法 爾 非 修 非 證 非 人 所 合 非 法 所 契 人 法 本 
T45n1857_001:0148b04	空體淨真諦。故經云實相之理非有為非無	空 體 淨 真 諦 故 經 云 實 相 之 理 非 有 為 非 無 
T45n1857_001:0148b05	為。不此岸不彼岸。不中流。是以非有為故。即	為 不 此 岸 不 彼 岸 不 中 流 是 以 非 有 為 故 即 
T45n1857_001:0148b06	不可修學。非無為故即不可滅證。若有修有	不 可 修 學 非 無 為 故 即 不 可 滅 證 若 有 修 有 
T45n1857_001:0148b07	證者。非性本無為也。故經云一切法以不生	證 者 非 性 本 無 為 也 故 經 云 一 切 法 以 不 生 
T45n1857_001:0148b08	為宗。宗若不生即無無生。無生不生不可為	為 宗 宗 若 不 生 即 無 無 生 無 生 不 生 不 可 為 
T45n1857_001:0148b09	證。何以故。若有證即有生若無證即無生。依	證 何 以 故 若 有 證 即 有 生 若 無 證 即 無 生 依 
T45n1857_001:0148b10	本太冥。夫不生者即本際也。不出不沒猶如	本 太 冥 夫 不 生 者 即 本 際 也 不 出 不 沒 猶 如 
T45n1857_001:0148b11	虛空無物可比。但一切有為之法虛妄不實。	虛 空 無 物 可 比 但 一 切 有 為 之 法 虛 妄 不 實 
T45n1857_001:0148b12	緣假相依而有存亡。窮其根趣還本實際。但	緣 假 相 依 而 有 存 亡 窮 其 根 趣 還 本 實 際 但 
T45n1857_001:0148b13	一切眾生失本。外求竛竮辛苦修習。累劫而	一 切 眾 生 失 本 外 求 竛 竮 辛 苦 修 習 累 劫 而 
T45n1857_001:0148b14	不悟真。是以將本求末末妄非真。將末求本	不 悟 真 是 以 將 本 求 末 末 妄 非 真 將 末 求 本 
T45n1857_001:0148b15	本虛非實。夫本者即不合求。何以故。本即	本 虛 非 實 夫 本 者 即 不 合 求 何 以 故 本 即 
T45n1857_001:0148b16	不求本也。譬如金不求金也。末即不合修。何	不 求 本 也 譬 如 金 不 求 金 也 末 即 不 合 修 何 
T45n1857_001:0148b17	以故。妄不求妄也。譬如泥團不可成金也。夫	以 故 妄 不 求 妄 也 譬 如 泥 團 不 可 成 金 也 夫 
T45n1857_001:0148b18	身心之法虛假不實。俗人多以修身心而覓	身 心 之 法 虛 假 不 實 俗 人 多 以 修 身 心 而 覓 
T45n1857_001:0148b19	道者。同彼泥團而覓金也。若約身心即是道	道 者 同 彼 泥 團 而 覓 金 也 若 約 身 心 即 是 道 
T45n1857_001:0148b20	者。聖人何故說離身心。故知非道也。若本真	者 聖 人 何 故 說 離 身 心 故 知 非 道 也 若 本 真 
T45n1857_001:0148b21	者亦不合修。何以故。無二法也。夫聖人生而	者 亦 不 合 修 何 以 故 無 二 法 也 夫 聖 人 生 而 
T45n1857_001:0148b22	不有死而不無。無有妄想取捨之心。所謂萬	不 有 死 而 不 無 無 有 妄 想 取 捨 之 心 所 謂 萬 
T45n1857_001:0148b23	生萬死公正無私。法爾自然中無我造。但彼	生 萬 死 公 正 無 私 法 爾 自 然 中 無 我 造 但 彼 
T45n1857_001:0148b24	愚夫妄想內起惑心種種見生。故非真實不	愚 夫 妄 想 內 起 惑 心 種 種 見 生 故 非 真 實 不 
T45n1857_001:0148b25	能明了。然其本際自性清淨。微妙甚深體無	能 明 了 然 其 本 際 自 性 清 淨 微 妙 甚 深 體 無 
T45n1857_001:0148b26	塵垢。是以千聖萬賢種種言論。皆是化說於	塵 垢 是 以 千 聖 萬 賢 種 種 言 論 皆 是 化 說 於 
T45n1857_001:0148b27	真非真說化非化。是以本際無名名於無名。	真 非 真 說 化 非 化 是 以 本 際 無 名 名 於 無 名 
T45n1857_001:0148b28	本際無相名於無相。名相既立妄惑遂生。真	本 際 無 相 名 於 無 相 名 相 既 立 妄 惑 遂 生 真 
T45n1857_001:0148b29	一理沈道宗事隱。是以無名之朴通遍一切	一 理 沈 道 宗 事 隱 是 以 無 名 之 朴 通 遍 一 切 
T45n1857_001:0148c01	不可名目。過限量界一體無二。故經云森羅	不 可 名 目 過 限 量 界 一 體 無 二 故 經 云 森 羅 
T45n1857_001:0148c02	及萬象一法之所印。印即本際也。然本際之	及 萬 象 一 法 之 所 印 印 即 本 際 也 然 本 際 之 
T45n1857_001:0148c03	理。無自無他非一非異。包含一氣該入萬有。	理 無 自 無 他 非一非異 包 含 一 氣 該 入 萬 有 
T45n1857_001:0148c04	若復有人自性清淨。含一而生中無妄想。即	若 復 有 人 自 性 清 淨 含 一 而 生 中 無 妄 想 即 
T45n1857_001:0148c05	為聖人。然實際中亦無聖人法。如微塵許而	為 聖 人 然 實 際 中 亦 無 聖 人 法 如 微 塵 許 而 
T45n1857_001:0148c06	有異也。若復有人自性清淨。含一而生中有	有 異 也 若 復 有 人 自 性 清 淨 含 一 而 生 中 有 
T45n1857_001:0148c07	妄想。自體濁亂即為凡夫。然實際中亦無凡	妄 想 自 體 濁 亂 即 為 凡 夫 然 實 際 中 亦 無 凡 
T45n1857_001:0148c08	夫法。如微塵許而有異也。故經云佛性平等	夫 法 如 微 塵 許 而 有 異 也 故 經 云 佛 性 平 等 
T45n1857_001:0148c09	廣大難量。凡聖不二一切圓滿。咸備草木周	廣 大 難 量 凡 聖 不 二 一 切 圓 滿 咸 備 草 木 周 
T45n1857_001:0148c10	遍螻蟻。乃至微塵毛髮莫不含一而有。故經	遍 螻 蟻 乃 至 微 塵 毛 髮 莫 不 含 一 而 有 故 經 
T45n1857_001:0148c11	云了能知一萬事畢也。是以一切眾生皆一	云 了 能 知 一 萬 事 畢 也 是 以 一 切 眾 生 皆 一 
T45n1857_001:0148c12	乘而生。故謂之一乘。若迷故即異覺故即一。	乘 而 生 故 謂 之 一 乘 若 迷 故 即 異 覺 故 即 一 
T45n1857_001:0148c13	經云前念是凡後念是聖。又云一念知一切	經 云 前 念 是 凡 後 念 是 聖 又 云 一 念 知 一 切 
T45n1857_001:0148c14	法也。是以一即一切一切即一。故言一切以	法 也 是 以 一 即 一切一切 即 一 故 言 一 切 以 
T45n1857_001:0148c15	一法之功而成萬象。故經云一切若有有心	一 法 之 功 而 成 萬 象 故 經 云 一 切 若 有 有 心 
T45n1857_001:0148c16	即迷。一切若無無心即遍十方。故真一萬差	即 迷 一 切 若 無 無 心 即 遍 十 方 故 真 一 萬 差 
T45n1857_001:0148c17	萬差真一。譬如海湧千波千波即海。故一切	萬 差 真 一 譬 如 海 湧 千 波 千 波 即 海 故 一 切 
T45n1857_001:0148c18	皆一無有異也。夫言一者對彼異情。異既非	皆 一 無 有 異 也 夫 言 一 者 對 彼 異 情 異 既 非 
T45n1857_001:0148c19	異一亦非一。非一不一假號真一。夫真一者	異 一 亦 非 一 非 一 不 一 假 號 真 一 夫 真 一 者 
T45n1857_001:0148c20	非名字所說也。是以非一見一。若有所見即	非 名 字 所 說 也 是 以 非 一 見 一 若 有 所 見 即 
T45n1857_001:0148c21	有二也。不名為真一。又不名為知一。若一	有 二 也 不 名 為 真 一 又 不 名 為 知 一 若 一 
T45n1857_001:0148c22	知一即名為二亦不名為一。若有所知即有	知 一 即 名 為 二 亦 不 名 為 一 若 有 所 知 即 有 
T45n1857_001:0148c23	無知有知不知即有二也。是以大智無知而	無 知 有 知 不 知 即 有 二 也 是 以 大 智 無 知 而 
T45n1857_001:0148c24	無不知。熾然常知。常知無知假號為知。非	無 不 知 熾 然 常 知 常 知 無 知 假 號 為 知 非 
T45n1857_001:0148c25	我非所非心非意。夫有為數法即有所知。若	我 非 所 非 心 非 意 夫 有 為 數 法 即 有 所 知 若 
T45n1857_001:0148c26	無為法。猶如虛空無有涯際。即無知不知。夫	無 為 法 猶如虛空 無 有 涯 際 即 無 知 不 知 夫 
T45n1857_001:0148c27	聖人所以言知者。為有心有數有為有法。故	聖 人 所 以 言 知 者 為 有 心 有 數 有 為 有 法 故 
T45n1857_001:0148c28	可知也。所以言無知者。為無心無數無為無	可 知 也 所 以 言 無 知 者 為 無 心 無 數 無 為 無 
T45n1857_001:0148c29	法。故不可知也。若以有知知於無知者。無有	法 故 不 可 知 也 若 以 有 知 知 於 無 知 者 無 有 
T45n1857_001:0149a01	是處。譬如有人終日說空。但人說空非空說	是 處 譬 如 有 人 終 日 說 空 但 人 說 空 非 空 說 
T45n1857_001:0149a02	也。若以彼知知無知者。亦復如是。夫聖人	也 若 以 彼 知 知 無 知 者 亦復如是 夫 聖 人 
T45n1857_001:0149a03	所以或言我知者。皆是對迷約事。破病除疑	所 以 或 言 我 知 者 皆 是 對 迷 約 事 破 病 除 疑 
T45n1857_001:0149a04	實無二者。知無知也。所以說無知者。為彼愚	實 無 二 者 知 無 知 也 所 以 說 無 知 者 為 彼 愚 
T45n1857_001:0149a05	夫不了真一。著我我所妄計能知所知。故說	夫 不 了 真 一 著 我 我 所 妄 計 能 知 所 知 故 說 
T45n1857_001:0149a06	無知無分別。彼愚夫聞已即學無知。猶如癡	無 知 無 分 別 彼 愚 夫 聞 已 即 學 無 知 猶 如 癡 
T45n1857_001:0149a07	人不能分別。是以聖人因彼虛妄。即言如來	人 不 能 分 別 是 以 聖 人 因 彼 虛 妄 即 言 如 來 
T45n1857_001:0149a08	了了知見。非不知也。愚夫聞已即學有知。由	了 了 知 見 非 不 知 也 愚 夫 聞 已 即 學 有 知 由 
T45n1857_001:0149a09	有有知即有知礙。亦名虛知亦名妄知。如是	有 有 知 即 有 知 礙 亦 名 虛 知 亦 名 妄 知 如 是 
T45n1857_001:0149a10	之知轉非道也。故經云眾生親近惡知識長	之 知 轉 非 道 也 故 經 云 眾 生 親 近 惡 知 識 長 
T45n1857_001:0149a11	惡知見。何以故彼諸外道前知未來。後知過	惡 知 見 何 以 故 彼 諸 外 道 前 知 未 來 後 知 過 
T45n1857_001:0149a12	去。中知身心。身心不淨故不免生死。夫一	去 中 知 身 心 身 心 不 淨 故 不 免 生 死 夫 一 
T45n1857_001:0149a13	切學無知者。皆棄有知而學無知。無知者即	切 學 無 知 者 皆 棄 有 知 而 學 無 知 無 知 者 即 
T45n1857_001:0149a14	是知也。然自不覺知。復有棄無知而學有知	是 知 也 然 自 不 覺 知 復 有 棄 無 知 而 學 有 知 
T45n1857_001:0149a15	者。知即有覺。有覺故心生萬慮意起百思。還	者 知 即 有 覺 有 覺 故 心 生 萬 慮 意 起 百 思 還 
T45n1857_001:0149a16	不離苦。彼知二見皆不能當體虛融如理冥	不 離 苦 彼 知 二 見 皆 不 能 當 體 虛 融 如 理 冥 
T45n1857_001:0149a17	契。遂不能入真實也。夫真實者離知無知。過	契 遂 不 能 入 真 實 也 夫 真 實 者 離 知 無 知 過 
T45n1857_001:0149a18	一切限量也。夫見即有方。聞即有所。覺即有	一 切 限 量 也 夫 見 即 有 方 聞 即 有 所 覺 即 有 
T45n1857_001:0149a19	心。知即有量。不了本際無方無所無心無量。	心 知 即 有 量 不 了 本 際 無 方 無 所 無 心 無 量 
T45n1857_001:0149a20	即無有見聞覺知也。所以真一無二。而現不	即 無 有 見聞覺知 也 所 以 真 一 無 二 而 現 不 
T45n1857_001:0149a21	同。或復有人念佛佛現。念僧僧現。但彼非	同 或 復 有 人 念 佛 佛 現 念 僧 僧 現 但 彼 非 
T45n1857_001:0149a22	佛非非佛。而現於佛。乃至非僧非非僧。而現	佛 非 非 佛 而 現 於 佛 乃 至 非 僧 非 非 僧 而 現 
T45n1857_001:0149a23	於僧。何以故為彼念心希望現。故不覺自	於 僧 何 以 故 為 彼 念 心 希 望 現 故 不 覺 自 
T45n1857_001:0149a24	心所現。聖事緣起一向為外境界而有差別。	心 所 現 聖 事 緣 起 一 向 為 外 境 界 而有差別 
T45n1857_001:0149a25	實非佛僧而有異也。故經云彼見諸佛國土	實 非 佛 僧 而 有 異 也 故 經 云 彼 見 諸 佛 國 土 
T45n1857_001:0149a26	及以色身而有若干。其無礙慧無若干也。譬	及 以 色 身 而 有 若 干 其 無 礙 慧 無 若 干 也 譬 
T45n1857_001:0149a27	如幻師於虛空中。以幻術力化作種種色象。	如 幻 師 於 虛 空 中 以 幻 術 力 化 作 種 種 色 象 
T45n1857_001:0149a28	彼幻人癡故謂彼空中先有此事。彼念佛僧。	彼 幻 人 癡 故 謂 彼 空 中 先 有 此 事 彼 念 佛 僧 
T45n1857_001:0149a29	亦復如是。於空法中。以念術力化作種種色	亦復如是 於 空 法 中 以 念 術 力 化 作 種 種 色 
T45n1857_001:0149b01	相起妄想見。故經云心如工伎兒意如和伎	相 起 妄 想 見 故 經 云 心 如 工 伎 兒 意 如 和 伎 
T45n1857_001:0149b02	者。五識為伴侶妄想觀伎眾。譬如有人於大	者 五 識 為 伴 侶 妄 想 觀 伎 眾 譬 如 有 人 於 大 
T45n1857_001:0149b03	治邊。自作模樣方圓大小自稱願。彼金汁流	治 邊 自 作 模 樣 方 圓 大 小 自 稱 願 彼 金 汁 流 
T45n1857_001:0149b04	入我模以成形像。然則鎔金任成形像。其真	入 我 模 以 成 形 像 然 則 鎔 金 任 成 形 像 其 真 
T45n1857_001:0149b05	實融金。非像非非像而現於像。彼念佛僧亦	實 融 金 非 像 非 非 像 而 現 於 像 彼 念 佛 僧 亦 
T45n1857_001:0149b06	復如是。大智融金者。即喻如來。法身模樣	復 如 是 大 智 融 金 者 即 喻 如 來 法 身 模 樣 
T45n1857_001:0149b07	者即喻眾生。希望得佛故以念佛。和合因緣	者 即 喻 眾 生 希 望 得 佛 故 以 念 佛 和合因緣 
T45n1857_001:0149b08	起種種身相。然彼法身非相非非相。何謂非	起 種 種 身 相 然 彼 法 身 非 相 非 非 相 何 謂 非 
T45n1857_001:0149b09	相。本無定相。何謂非非相。緣起諸相。然則法	相 本 無 定 相 何 謂 非 非 相 緣 起 諸 相 然 則 法 
T45n1857_001:0149b10	身非現非非現。離性無性。非有非無無心無	身 非 現 非 非 現 離 性 無 性 非有非無 無 心 無 
T45n1857_001:0149b11	意。不可以一切度量也。但彼凡夫隨心而有	意 不 可 以 一 切 度 量 也 但 彼 凡 夫 隨 心 而 有 
T45n1857_001:0149b12	即生見佛之想。一向謂彼心外有佛不知自	即 生 見 佛 之 想 一 向 謂 彼 心 外 有 佛 不 知 自 
T45n1857_001:0149b13	心和合而有。或有一向言心外無佛即為謗	心 和 合 而 有 或 有 一 向 言 心 外 無 佛 即 為 謗 
T45n1857_001:0149b14	正法也。故經云聖境界離於非有非無非所	正 法 也 故 經 云 聖 境 界 離 於 非有非無 非 所 
T45n1857_001:0149b15	稱量。若執著有無者。即是二邊亦是虛妄。何	稱 量 若 執 著 有 無 者 即 是 二 邊 亦 是 虛 妄 何 
T45n1857_001:0149b16	以故妄生二見乖真理故。譬如有人於金器	以 故 妄 生 二 見 乖 真 理 故 譬 如 有 人 於 金 器 
T45n1857_001:0149b17	藏中。常觀於金體不覩眾相。雖覩眾相亦是	藏 中 常 觀 於 金 體 不 覩 眾 相 雖 覩 眾 相 亦 是 
T45n1857_001:0149b18	一金。既不為相所惑。即離分別。常觀金體無	一 金 既 不 為 相 所 惑 即 離 分 別 常 觀 金 體 無 
T45n1857_001:0149b19	有虛謬。喻彼真人亦復如是。常觀真一不覩	有 虛 謬 喻 彼 真 人 亦復如是 常 觀 真 一 不 覩 
T45n1857_001:0149b20	眾相。雖覩眾相亦是真一。遠離妄想無有顛	眾 相 雖 覩 眾 相 亦 是 真 一 遠 離 妄 想 無 有 顛 
T45n1857_001:0149b21	倒。住真實際名曰聖人。若復有人於金器藏	倒 住 真 實 際 名 曰 聖 人 若 復 有 人 於 金 器 藏 
T45n1857_001:0149b22	中。常覩眾相不覩金體。分別善惡。起種種	中 常 覩 眾 相 不 覩 金 體 分 別 善 惡 起 種 種 
T45n1857_001:0149b23	見。而失於金性。便有諍論。喻彼愚夫亦復如	見 而 失 於 金 性 便 有 諍 論 喻 彼 愚 夫 亦 復 如 
T45n1857_001:0149b24	是。常觀色相男女好醜起種種差別。迷於本	是 常 觀 色 相 男 女 好 醜 起 種種差別 迷 於 本 
T45n1857_001:0149b25	性執著心相。取捨愛憎起種種顛倒。流浪生	性 執 著 心 相 取 捨 愛 憎 起 種 種 顛 倒 流 浪 生 
T45n1857_001:0149b26	死受種種身。妄想森羅隱覆真一。是以懷道	死 受 種 種 身 妄 想 森 羅 隱 覆 真 一 是 以 懷 道 
T45n1857_001:0149b27	君子通明達人。觀察甚深遠離群品。契合真	君 子 通 明 達 人 觀 察 甚 深 遠 離 群 品 契 合 真 
T45n1857_001:0149b28	一與理相應。夫真一難說。約喻以陳究竟道	一 與 理 相 應 夫 真 一 難 說 約 喻 以 陳 究 竟 道 
T45n1857_001:0149b29	宗非言可示。夫眼作眼解即生眼倒。眼作無	宗 非 言 可 示 夫 眼 作 眼 解 即 生 眼 倒 眼 作 無 
T45n1857_001:0149c01	眼解即生無眼倒。俱是妄想。若執有眼者即	眼 解 即 生 無 眼 倒 俱 是 妄 想 若 執 有 眼 者 即 
T45n1857_001:0149c02	迷其無眼。由有眼故即妙見不通。故經云無	迷 其 無 眼 由 有 眼 故 即 妙 見 不 通 故 經 云 無 
T45n1857_001:0149c03	眼無色復有迷眼。作無眼者即失其真眼。如	眼 無 色 復 有 迷 眼 作 無 眼 者 即 失 其 真 眼 如 
T45n1857_001:0149c04	生盲人不能辨色。故經云譬如根敗之士其	生 盲 人 不 能 辨 色 故 經 云 譬 如 根 敗 之 士 其 
T45n1857_001:0149c05	於五欲不能復利。諸聲聞人亦復如是。唯其	於 五 欲 不 能 復 利 諸 聲 聞 人 亦復如是 唯 其 
T45n1857_001:0149c06	如來得真天眼。常在三昧悉見諸佛國土。不	如 來 得 真 天 眼 常 在 三 昧 悉 見 諸 佛 國 土 不 
T45n1857_001:0149c07	以二相故即不同凡夫有所見也。悉能見故	以 二 相 故 即 不 同 凡 夫 有 所 見 也 悉 能 見 故 
T45n1857_001:0149c08	即不同聲聞無所見也。彼二見者妄見有無。	即 不 同 聲 聞 無 所 見 也 彼 二 見 者 妄 見 有 無 
T45n1857_001:0149c09	然真一之中體非有無。但妄想虛立得有無	然 真 一 之 中 體 非 有 無 但 妄 想 虛 立 得 有 無 
T45n1857_001:0149c10	也。夫聖人說言我了了見。或言不見者。但為	也 夫 聖 人 說 言 我 了 了 見 或 言 不 見 者 但 為 
T45n1857_001:0149c11	破病故說見不見也。然真一理中離見不見。	破 病 故 說 見 不 見 也 然 真 一 理 中 離 見 不 見 
T45n1857_001:0149c12	過限量界度凡聖位。故能了了見非虛妄也。	過 限 量 界 度 凡 聖 位 故 能 了 了 見 非 虛 妄 也 
T45n1857_001:0149c13	是以非色法故即非肉眼所見。非證法故即	是 以 非 色 法 故 即 非 肉 眼 所 見 非 證 法 故 即 
T45n1857_001:0149c14	非法眼所見。唯有佛眼清淨非見非不見。了	非 法 眼 所 見 唯 有 佛 眼 清 淨 非 見 非 不 見 了 
T45n1857_001:0149c15	了而見。不可思議不可測量。凡夫絕分。二	了 而 見 不可思議 不 可 測 量 凡 夫 絕 分 二 
T45n1857_001:0149c16	乘芥子。菩薩羅縠。故知佛性難可見也。雖	乘 芥 子 菩 薩 羅 縠 故 知 佛 性 難 可 見 也 雖 
T45n1857_001:0149c17	然如是故。經云佛性普遍無問凡聖。但自身	然 如 是 故 經 云 佛 性 普 遍 無 問 凡 聖 但 自 身 
T45n1857_001:0149c18	中體會真一何用外覓。晝夜深思內心自證。	中 體 會 真 一 何 用 外 覓 晝 夜 深 思 內 心 自 證 
T45n1857_001:0149c19	故經云觀身寔相觀佛亦然。夫觀身實相者	故 經 云 觀 身 寔 相 觀 佛 亦 然 夫 觀 身 實 相 者 
