X32n0618_001:0298c04	 大成科序	 大 成 科 序 
X32n0618_001:0309a39	二七行釋不能受大乃說三乘(若人)	二 七 行 釋 不 能 受 大 乃 說 三 乘 若 人 
X32n0618_001:0309a40	三三行明後若堪能還與其大(其實)	三 三 行 明 後 若 堪 能 還 與 其 大 其 實 
X32n0618_001:0309a41	初頌上長行已竟。	初 頌 上 長 行 已 竟 
X32n0618_001:0309a43	法華大成卷四科文	法 華 大 成 卷 四 科 文 
X32n0618_001:0309a45	○二六十五行補頌二義(二)	 二 六 十 五 行 補 頌 二 義 二 
X32n0618_001:0309a46	初九行半頌歎法希有(五)	初 九 行 半 頌 歎 法 希 有 五 
X32n0618_001:0309a47	初一行頌上三世諸佛說無分別法(汝舍)	初 一 行 頌 上 三世諸佛 說 無分別法 汝 舍 
X32n0618_001:0309a48	二二句頌上諸佛出興懸遠說是法復難(在所)	二 二 句 頌 上 諸 佛 出 興 懸 遠 說 是 法 復 難 在 所 
X32n0618_001:0309a49	三四行頌上聞法歡喜讚乃至過於優曇華(若有)	三 四 行 頌 上 聞 法 歡 喜 讚 乃 至 過 於 優 曇 華 若 有 
X32n0618_001:0309a50	四一行頌上多劫聞法難(斯法)	四 一 行 頌 上 多 劫 聞 法 難 斯 法 
X32n0618_001:0309a51	五三行頌上能聽是法者斯人亦復難(一切)	五 三 行 頌 上 能 聽 是 法 者 斯 人 亦 復 難 一 切 
X32n0618_001:0309a52	二五十五行半頌揀偽敦信(二)	二 五 十 五 行 半 頌 揀 偽 敦 信 二 
X32n0618_001:0309a53	初卅六行半頌揀偽(四)	初 卅 六 行 半 頌 揀 偽 四 
X32n0618_001:0309a54	初二行囑其非機莫說(又舍)	初 二 行 囑 其 非 機 莫 說 又 舍 
X32n0618_001:0309a55	二四行半明其謗毀罪因(若人)	二 四 行 半 明 其 謗 毀 罪 因 若 人 
X32n0618_001:0309a56	三二十八行示其毀謗罪報(三)	三 二 十 八 行 示 其 毀 謗 罪 報 三 
X32n0618_001:0309a57	初一行半明地獄報(其人)	初 一 行 半 明 地 獄 報 其 人 
X32n0618_001:0309a58	二十行半明畜生報(從地)	二 十 行 半 明 畜 生 報 從 地 
X32n0618_001:0310a01	三十六行明人報(若得)	三 十 六 行 明 人 報 若 得 
X32n0618_001:0310a02	四二行結其大悲莫說(告舍)	四 二 行 結 其 大 悲 莫 說 告 舍 
X32n0618_001:0310a03	二十九行頌敦信(二)	二 十 九 行 頌 敦 信 二 
X32n0618_001:0310a04	初十七行勅其是機應說(五)	初 十 七 行 勅 其 是 機 應 說 五 
X32n0618_001:0310a05	初三行頌過現一對(若有)	初 三 行 頌 過 現 一 對 若 有 
X32n0618_001:0310a06	二二行半上下一對(若人)	二 二 行 半 上 下 一 對 若 人 
X32n0618_001:0310a07	三三行內外一對(又舍)	三 三 行 內 外 一 對 又 舍 
X32n0618_001:0310a08	四三行半自他一對(若人)	四 三 行 半 自 他 一 對 若 人 
X32n0618_001:0310a09	五五行始終一對(若有)	五 五 行 始 終 一 對 若 有 
X32n0618_001:0310a10	二二行結其大慈與傳(告舍)	二 二 行 結 其 大 慈 與 傳 告 舍 
X32n0618_001:0310a11	二正說譬喻開三顯一已竟。	二 正 說 譬 喻 開 三 顯 一 已 竟 
X32n0618_001:0310a13	信解品	信 解 品 
X32n0618_001:0310a15	○二中根領解(二)	 二 中 根 領 解 二 
X32n0618_001:0310a16	初經家敘喜(二)	初 經 家 敘 喜 二 
X32n0618_001:0310a17	初內喜(爾時)	初 內 喜 爾 時 
X32n0618_001:0310a18	二外儀(即從)	二 外 儀 即 從 
X32n0618_001:0310a19	二自陳領解(二)	二 自 陳 領 解 二 
X32n0618_001:0310a20	初長行(二)	初 長 行 二 
X32n0618_001:0310a21	初法中略說(二)	初 法 中 略 說 二 
X32n0618_001:0310a22	初明昔日不求(三)	初 明 昔 日 不 求 三 
X32n0618_001:0310a23	初正明不求(我等)	初 正 明 不 求 我 等 
X32n0618_001:0310a24	二釋不求之意(世尊)	二 釋 不 求 之 意 世 尊 
X32n0618_001:0310a25	三徵不喜樂之意(所以)	三 徵 不 喜 樂 之 意 所 以 
X32n0618_001:0310a26	二明今日慶得(我等)	二 明 今 日 慶 得 我 等 
X32n0618_001:0310a27	二喻中廣明(二)	二 喻 中 廣 明 二 
X32n0618_001:0310a28	初喻說(二)	初 喻 說 二 
X32n0618_001:0310a29	初啟發(世尊)	初 啟 發 世 尊 
X32n0618_001:0310a30	二說喻(四)	二 說 喻 四 
X32n0618_001:0310a31	初父子相失喻(四)	初 父 子 相 失 喻 四 
X32n0618_001:0310a32	初子背父而逃走(二)	初 子 背 父 而 逃 走 二 
X32n0618_001:0310a33	初背父而去(譬若)	初 背 父 而 去 譬 若 
X32n0618_001:0310a34	二向本而還(年既)	二 向 本 而 還 年 既 
X32n0618_001:0310a35	二父求子而中止(二)	二 父 求 子 而 中 止 二 
X32n0618_001:0310a36	初求子不得(其父)	初 求 子 不 得 其 父 
X32n0618_001:0310a37	二中止一城(中止)	二 中 止 一 城 中 止 
X32n0618_001:0310a38	三覔衣食而漸還(二)	三 覔 衣 食 而 漸 還 二 
X32n0618_001:0310a39	初到城之由(時貧)	初 到 城 之 由 時 貧 
X32n0618_001:0310a40	二遂到父城(遂到)	二 遂 到 父 城 遂 到 
X32n0618_001:0310a41	四慮家業以無傳(二)	四 慮 家 業 以 無 傳 二 
X32n0618_001:0310a42	初念失子苦(父等)	初 念 失 子 苦 父 等 
X32n0618_001:0310a43	二念得子樂(復作)	二 念 得 子 樂 復 作 
X32n0618_001:0310a44	二父子相見喻(二)	二 父 子 相 見 喻 二 
X32n0618_001:0310a45	初子見父喻(四)	初 子 見 父 喻 四 
X32n0618_001:0310a46	初見父之由(世尊)	初 見 父 之 由 世 尊 
X32n0618_001:0310a47	二見父之處(住立)	二 見 父 之 處 住 立 
X32n0618_001:0310a48	三見父之相(踞師)	三 見 父 之 相 踞 師 
X32n0618_001:0310a49	四見父避去(窮子)	四 見 父 避 去 窮 子 
X32n0618_001:0310a50	二父見子喻(四)	二 父 見 子 喻 四 
X32n0618_001:0310a51	初見子之處(時富)	初 見 子 之 處 時 富 
X32n0618_001:0310a52	二見子便識(見子)	二 見 子 便 識 見 子 
X32n0618_001:0310a53	三見子歡喜(心大)	三 見 子 歡 喜 心 大 
X32n0618_001:0310a54	四見子適願(即作)	四 見 子 適 願 即 作 
X32n0618_001:0310a55	三遣使追誘喻(二)	三 遣 使 追 誘 喻 二 
X32n0618_001:0310a56	初即遣傍人追(三)	初 即 遣 傍 人 追 三 
X32n0618_001:0310a57	初強追將還(即遣)	初 強 追 將 還 即 遣 
X32n0618_001:0310a58	二執急悶絕(於時)	二 執 急 悶 絕 於 時 
X32n0618_001:0310a59	三暫放得喜(四)	三 暫 放 得 喜 四 
X32n0618_001:0310a60	初愍癡命放(父遙)	初 愍 癡 命 放 父 遙 
X32n0618_001:0310a61	二徵釋放意(所以)	二 徵 釋 放 意 所 以 
X32n0618_001:0310a62	三使者正放(使者)	三 使 者 正 放 使 者 
X32n0618_001:0310a63	四喜往貧里(窮子)	四 喜 往 貧 里 窮 子 
X32n0618_001:0310a64	二密遣二人誘(四)	二 密 遣 二 人 誘 四 
X32n0618_001:0310a65	初徐誘除糞(爾時)	初 徐 誘 除 糞 爾 時 
X32n0618_001:0311a01	二他日遙見(又以)	二 他 日 遙 見 又 以 
X32n0618_001:0311a02	三親勸安意(三)	三 親 勸 安 意 三 
X32n0618_001:0311a03	初勸脩轉(語諸)	初 勸 脩 轉 語 諸 
X32n0618_001:0311a04	二示相轉(後復)	二 示 相 轉 後 復 
X32n0618_001:0311a05	三作證轉(所以)	三 作 證 轉 所 以 
X32n0618_001:0311a06	四欣遇久住(爾時)	四 欣 遇 久 住 爾 時 
X32n0618_001:0311a07	四領付家業喻(二)	四 領 付 家 業 喻 二 
X32n0618_001:0311a08	初領家業(二)	初 領 家 業 二 
X32n0618_001:0311a09	初心相體信(二)	初 心 相 體 信 二 
X32n0618_001:0311a10	初明體信(過是)	初 明 體 信 過 是 
X32n0618_001:0311a11	二猶居本位(然其)	二 猶 居 本 位 然 其 
X32n0618_001:0311a12	二命領家業(二)	二 命 領 家 業 二 
X32n0618_001:0311a13	初父命子知家事(四)	初 父 命 子 知 家 事 四 
X32n0618_001:0311a14	初明時節(世尊)	初 明 時 節 世 尊 
X32n0618_001:0311a15	二命知家事(語窮)	二 命 知 家 事 語 窮 
X32n0618_001:0311a16	三誡令體心(我心)	三 誡 令 體 心 我 心 
X32n0618_001:0311a17	四勅無漏失(宜加)	四 勅 無 漏 失 宜 加 
X32n0618_001:0311a18	二子受命領知家業(四)	二 子 受 命 領 知 家 業 四 
X32n0618_001:0311a19	初正受佛命領知眾寶(爾時)	初 正 受 佛 命 領 知 眾 寶 爾 時 
X32n0618_001:0311a20	二心無希取自甘無分(而無)	二 心 無 希 取 自 甘 無 分 而 無 
X32n0618_001:0311a21	三未捨劣心猶居本處(然其)	三 未 捨 劣 心 猶 居 本 處 然 其 
X32n0618_001:0311a22	四鄙棄先心欲求大道(復經)	四 鄙 棄 先 心 欲 求 大 道 復 經 
X32n0618_001:0311a23	二付家業(二)	二 付 家 業 二 
X32n0618_001:0311a24	初正付家業(四)	初 正 付 家 業 四 
X32n0618_001:0311a25	初付業時節(臨欲)	初 付 業 時 節 臨 欲 
X32n0618_001:0311a26	二集眾為證(而命)	二 集 眾 為 證 而 命 
X32n0618_001:0311a27	三結會父子(即自)	三 結 會 父 子 即 自 
X32n0618_001:0311a28	四正付家業(今我)	四 正 付 家 業 今 我 
X32n0618_001:0311a29	二得付歡喜(世尊)	二 得 付 歡 喜 世 尊 
X32n0618_001:0311a30	二法合○	二 法 合 
X32n0618_001:0311a31	二偈頌○	二 偈 頌 
X32n0618_001:0311a32	一喻說已竟。	一 喻 說 已 竟 
X32n0618_001:0311a34	○二法合(四)	 二 法 合 四 
X32n0618_001:0311a35	初合父子相失(世尊)	初 合 父 子 相 失 世 尊 
X32n0618_001:0311a36	二合父子相見(如來)	二 合 父 子 相 見 如 來 
X32n0618_001:0311a37	三合遣使追誘喻(二)	三 合 遣 使 追 誘 喻 二 
X32n0618_001:0311a38	初合傍人追(世尊)	初 合 傍 人 追 世 尊 
X32n0618_001:0311a39	二合二人誘(三)	二 合 二 人 誘 三 
X32n0618_001:0311a40	初合徐誘除糞(今日)	初 合 徐 誘 除 糞 今 日 
X32n0618_001:0311a41	二合欣遇久住(既得)	二 合 欣 遇 久 住 既 得 
X32n0618_001:0311a42	三合他日遙見(然世)	三 合 他 日 遙 見 然 世 
X32n0618_001:0311a43	四合領付家業(二)	四 合 領 付 家 業 二 
X32n0618_001:0311a44	初合領家業(世尊)	初 合 領 家 業 世 尊 
X32n0618_001:0311a45	二合付家業(今我)	二 合 付 家 業 今 我 
X32n0618_001:0311a47	○二偈頌(二)	 二 偈 頌 二 
X32n0618_001:0311a48	初七十三行半頌上長行(二)	初 七 十 三 行 半 頌 上 長 行 二 
X32n0618_001:0311a49	初二行頌略法說(爾時)	初 二 行 頌 略 法 說 爾 時 
X32n0618_001:0311a50	二七十一行半頌喻說(二)	二 七 十 一 行 半 頌 喻 說 二 
X32n0618_001:0311a51	初四十一行頌喻說(四)	初 四 十 一 行 頌 喻 說 四 
X32n0618_001:0311a52	初十三行頌父子相失(四)	初 十 三 行 頌 父 子 相 失 四 
X32n0618_001:0311a53	初一行半頌子背父而逃走(譬如)	初 一 行 半 頌 子 背 父 而 逃 走 譬 如 
X32n0618_001:0311a54	二七行頌父求子而中止(其父)	二 七 行 頌 父 求 子 而 中 止 其 父 
X32n0618_001:0311a55	三二行超頌慮家業以無傳(而年)	三 二 行 超 頌 慮 家 業 以 無 傳 而 年 
X32n0618_001:0311a56	四二行半追頌覔衣食而漸還(爾時)	四 二 行 半 追 頌 覔 衣 食 而 漸 還 爾 時 
X32n0618_001:0311a57	二七行半頌父子相見(二)	二 七 行 半 頌 父 子 相 見 二 
X32n0618_001:0311a58	初六行半頌子見父(傭貧)	初 六 行 半 頌 子 見 父 傭 貧 
X32n0618_001:0311a59	二一行頌父見子(長者)	二 一 行 頌 父 見 子 長 者 
X32n0618_001:0311a60	三十行半頌遣使追誘(二)	三 十 行 半 頌 遣 使 追 誘 二 
X32n0618_001:0311a61	初三行頌即遣傍人追(即勅)	初 三 行 頌 即 遣 傍 人 追 即 勅 
X32n0618_001:0311a62	二七行半頌密遣二人誘(三)	二 七 行 半 頌 密 遣 二 人 誘 三 
X32n0618_001:0311a63	初三行頌徐誘除糞(即以)	初 三 行 頌 徐 誘 除 糞 即 以 
X32n0618_001:0311a64	二二行頌他日遙見(長者)	二 二 行 頌 他 日 遙 見 長 者 
X32n0618_001:0312a01	三二行半頌親勸安意(方便)	三 二 行 半 頌 親 勸 安 意 方 便 
X32n0618_001:0312a02	四十行頌領付家業(二)	四 十 行 頌 領 付 家 業 二 
X32n0618_001:0312a03	初三行半頌領家業(長者)	初 三 行 半 頌 領 家 業 長 者 
X32n0618_001:0312a04	二六行半頌上付家業(欲與)	二 六 行 半 頌 上 付 家 業 欲 與 
X32n0618_001:0312a05	二三十行半頌法合(三)	二 三 十 行 半 頌 法 合 三 
X32n0618_001:0312a06	初半行頌合父子相失相見(佛亦)	初 半 行 頌 合 父 子 相 失 相 見 佛 亦 
X32n0618_001:0312a07	二一行半頌合遣使追誘(未曾)	二 一 行 半 頌 合 遣 使 追 誘 未 曾 
X32n0618_001:0312a08	三二十八行廣頌合領付家業(二)	三 二 十 八 行 廣 頌 合 領 付 家 業 二 
X32n0618_001:0312a09	初十八行半頌合領家業(二)	初 十 八 行 半 頌 合 領 家 業 二 
X32n0618_001:0312a10	初六行頌合領家業(佛勅)	初 六 行 頌 合 領 家 業 佛 勅 
X32n0618_001:0312a11	二十二行半頌合無希取(二)	二 十 二 行 半 頌 合 無 希 取 二 
X32n0618_001:0312a12	初二行正明無希取(如彼)	初 二 行 正 明 無 希 取 如 彼 
X32n0618_001:0312a13	二十行半增明無希取之意(三)	二 十 行 半 增 明 無 希 取 之 意 三 
X32n0618_001:0312a14	初二行標不喜大(我等)	初 二 行 標 不 喜 大 我 等 
X32n0618_001:0312a15	二六行徵釋所以(所以)	二 六 行 徵 釋 所 以 所 以 
X32n0618_001:0312a16	三二行半結無希取(我等)	三 二 行 半 結 無 希 取 我 等 
X32n0618_001:0312a17	二十行合付家業(二)	二 十 行 合 付 家 業 二 
X32n0618_001:0312a18	初三行頌合付家業(如富)	初 三 行 頌 合 付 家 業 如 富 
X32n0618_001:0312a19	二七行頌合得付歡喜(我等)	二 七 行 頌 合 得 付 歡 喜 我 等 
X32n0618_001:0312a20	二十三行歎佛恩德(三)	二 十 三 行 歎 佛 恩 德 三 
X32n0618_001:0312a21	初六行半歎佛大恩莫能報(世尊)	初 六 行 半 歎 佛 大 恩 莫 能 報 世 尊 
X32n0618_001:0312a22	二二行半歎佛實智不思議(諸佛)	二 二 行 半 歎 佛 實 智 不 思 議 諸 佛 
X32n0618_001:0312a23	三四行歎佛權智度眾生(諸佛)	三 四 行 歎 佛 權 智 度 眾 生 諸 佛 
X32n0618_001:0312a24	二中根領解已竟。	二 中 根 領 解 已 竟 
X32n0618_001:0312a26	法華大成卷五科文	法 華 大 成 卷 五 科 文 
X32n0618_001:0312a28	藥草喻品	藥 草 喻 品 
X32n0618_001:0312a30	○三如來述成(二)	 三 如 來 述 成 二 
X32n0618_001:0312a31	初略述成(二)	初 略 述 成 二 
X32n0618_001:0312a32	初雙歎善哉(爾時)	初 雙 歎 善 哉 爾 時 
X32n0618_001:0312a33	二領所不及(如來)	二 領 所 不 及 如 來 
X32n0618_001:0312a34	二廣述成(二)	二 廣 述 成 二 
X32n0618_001:0312a35	初長行(二)	初 長 行 二 
X32n0618_001:0312a36	初述成開三顯一(二)	初 述 成 開 三 顯 一 二 
X32n0618_001:0312a37	初法說(二)	初 法 說 二 
X32n0618_001:0312a38	初舉不虗以勸信(迦葉)	初 舉 不 虗 以 勸 信 迦 葉 
X32n0618_001:0312a39	二正述開三顯一(二)	二 正 述 開 三 顯 一 二 
X32n0618_001:0312a40	初約教明開顯(於一)	初 約 教 明 開 顯 於 一 
X32n0618_001:0312a41	二約智明開顯(如來)	二 約 智 明 開 顯 如 來 
X32n0618_001:0312a42	二喻說(二)	二 喻 說 二 
X32n0618_001:0312a43	初喻說(二)	初 喻 說 二 
X32n0618_001:0312a44	初有差別喻(六)	初 有 差 別 喻 六 
X32n0618_001:0312a45	初土地喻(迦葉)	初 土 地 喻 迦 葉 
X32n0618_001:0312a46	二卉木喻(所生)	二 卉 木 喻 所 生 
X32n0618_001:0312a47	三密雲喻(密雲)	三 密 雲 喻 密 雲 
X32n0618_001:0312a48	四澍雨喻(一時)	四 澍 雨 喻 一 時 
X32n0618_001:0312a49	五受潤喻(其澤)	五 受 潤 喻 其 澤 
X32n0618_001:0312a50	六增長喻(諸樹)	六 增 長 喻 諸 樹 
X32n0618_001:0312a51	二無差別喻(三)	二 無 差 別 喻 三 
X32n0618_001:0312a52	初一地所生喻(雖一)	初 一 地 所 生 喻 雖 一 
X32n0618_001:0312a53	二一雨所潤喻(一雨)	二 一 雨 所 潤 喻 一 雨 
X32n0618_001:0313a01	三三草二木喻(而諸)	三 三 草 二 木 喻 而 諸 
X32n0618_001:0313a02	二法合(二)	二 法 合 二 
X32n0618_001:0313a03	初合有差別喻(二)	初 合 有 差 別 喻 二 
X32n0618_001:0313a04	初正合六喻(六)	初 正 合 六 喻 六 
X32n0618_001:0313a05	初合密雲喻(迦葉)	初 合 密 雲 喻 迦 葉 
X32n0618_001:0313a06	二合澍雨喻(三)	二 合 澍 雨 喻 三 
X32n0618_001:0313a07	初唱號令知(於大)	初 唱 號 令 知 於 大 
X32n0618_001:0313a08	二弘誓知見(未度)	二 弘 誓 知 見 未 度 
X32n0618_001:0313a09	三召機來聽(汝等)	三 召 機 來 聽 汝 等 
X32n0618_001:0313a10	三合土地喻(爾時)	三 合 土 地 喻 爾 時 
X32n0618_001:0313a11	四合卉木喻(如來)	四 合 卉 木 喻 如 來 
X32n0618_001:0313a12	五合受潤喻(隨其)	五 合 受 潤 喻 隨 其 
X32n0618_001:0313a13	六合增長喻(是諸)	六 合 增 長 喻 是 諸 
X32n0618_001:0313a14	二提喻帖合(如彼)	二 提 喻 帖 合 如 彼 
X32n0618_001:0313a15	二合無差別喻(五)	二 合 無 差 別 喻 五 
X32n0618_001:0313a16	初無差別法眾生蒙潤不知(如來)	初 無 差 別 法 眾 生 蒙 潤 不 知 如 來 
X32n0618_001:0313a17	二唯有如來如實知之(所以)	二 唯 有 如 來 如 實 知 之 所 以 
X32n0618_001:0313a18	三舉喻帖合眾生不知(如彼)	三 舉 喻 帖 合 眾 生 不 知 如 彼 
X32n0618_001:0313a19	四牒前結釋如來能知(如來)	四 牒 前 結 釋 如 來 能 知 如 來 
X32n0618_001:0313a20	五釋疑(佛知)	五 釋 疑 佛 知 
X32n0618_001:0313a21	二復宗稱嘆(汝等)	二 復 宗 稱 嘆 汝 等 
X32n0618_001:0313a22	二偈頌(二)	二 偈 頌 二 
X32n0618_001:0313a23	初四行頌上法說(二)	初 四 行 頌 上 法 說 二 
X32n0618_001:0313a24	初半行頌法王不虗(爾時)	初 半 行 頌 法 王 不 虗 爾 時 
X32n0618_001:0313a25	二三行半頌開權顯實(隨眾)	二 三 行 半 頌 開 權 顯 實 隨 眾 
X32n0618_001:0313a26	二五十行半頌喻說(二)	二 五 十 行 半 頌 喻 說 二 
X32n0618_001:0313a27	初十行半頌上喻說(二)	初 十 行 半 頌 上 喻 說 二 
X32n0618_001:0313a28	初九行半頌有差別(六)	初 九 行 半 頌 有 差 別 六 
X32n0618_001:0313a29	初三行頌密雲喻(迦葉)	初 三 行 頌 密 雲 喻 迦 葉 
X32n0618_001:0313a30	二一行頌澍雨喻(其雨)	二 一 行 頌 澍 雨 喻 其 雨 
X32n0618_001:0313a31	三一句頌土地喻(山川)	三 一 句 頌 土 地 喻 山 川 
X32n0618_001:0313a32	四二句頌卉木喻(幽邃)	四 二 句 頌 卉 木 喻 幽 邃 
X32n0618_001:0313a33	五二行三句頌受潤喻(大小)	五 二 行 三 句 頌 受 潤 喻 大 小 
X32n0618_001:0313a34	六二行頌增長喻(一切)	六 二 行 頌 增 長 喻 一 切 
X32n0618_001:0313a35	二一行頌無差別(如其)	二 一 行 頌 無 差 別 如 其 
X32n0618_001:0313a36	二四十行頌法合(二)	二 四 十 行 頌 法 合 二 
X32n0618_001:0313a37	初三十五行頌合有差別(六)	初 三 十 五 行 頌 合 有 差 別 六 
X32n0618_001:0313a38	初一行頌合密雲(佛亦)	初 一 行 頌 合 密 雲 佛 亦 
X32n0618_001:0313a39	二八行半頌合澍雨(三)	二 八 行 半 頌 合 澍 雨 三 
X32n0618_001:0313a40	初三行頌唱號令歸(既出)	初 三 行 頌 唱 號 令 歸 既 出 
X32n0618_001:0313a41	二一行半頌四弘度生(充潤)	二 一 行 半 頌 四 弘 度 生 充 潤 
X32n0618_001:0313a42	三四行頌召機來聽(諸天)	三 四 行 頌 召 機 來 聽 諸 天 
X32n0618_001:0313a43	三四行頌合土地(我觀)	三 四 行 頌 合 土 地 我 觀 
X32n0618_001:0313a44	四二行頌合卉木(貴賤)	四 二 行 頌 合 卉 木 貴 賤 
X32n0618_001:0313a45	五十一行頌合受潤(三)	五 十 一 行 頌 合 受 潤 三 
X32n0618_001:0313a46	初一行總明受潤(一切)	初 一 行 總 明 受 潤 一 切 
X32n0618_001:0313a47	二七行別明受潤(或處)	二 七 行 別 明 受 潤 或 處 
X32n0618_001:0313a48	三三行總結能潤所潤(佛平)	三 三 行 總 結 能 潤 所 潤 佛 平 
X32n0618_001:0313a49	六八行半頌合增長(二)	六 八 行 半 頌 合 增 長 二 
X32n0618_001:0313a50	初二行總領增長(我雨)	初 二 行 總 領 增 長 我 雨 
X32n0618_001:0313a51	二六行半別頌增長(諸佛)	二 六 行 半 別 頌 增 長 諸 佛 
X32n0618_001:0313a52	二五行頌合無差別(如是)	二 五 行 頌 合 無 差 別 如 是 
X32n0618_001:0313a53	三如來述成已竟。	三 如 來 述 成 已 竟 
X32n0618_001:0313a55	授記品	授 記 品 
X32n0618_001:0313a57	○四授四子記(二)	 四 授 四 子 記 二 
X32n0618_001:0313a58	初正與中根授劫國莊嚴記(二)	初 正 與 中 根 授 劫 國 莊 嚴 記 二 
X32n0618_001:0313a59	初授迦葉記(二)	初 授 迦 葉 記 二 
X32n0618_001:0313a60	初長行(五)	初 長 行 五 
X32n0618_001:0313a61	初行因(爾時)	初 行 因 爾 時 
X32n0618_001:0313a62	二得果(於最)	二 得 果 於 最 
X32n0618_001:0313a63	三劫國(國名)	三 劫 國 國 名 
X32n0618_001:0313a64	四壽命正像(佛壽)	四 壽 命 正 像 佛 壽 
X32n0618_001:0314a01	五國淨眷屬(國界)	五 國 淨 眷 屬 國 界 
X32n0618_001:0314a02	二偈頌(五)	二 偈 頌 五 
X32n0618_001:0314a03	初四行頌因行(爾時)	初 四 行 頌 因 行 爾 時 
X32n0618_001:0314a04	二半行頌得果(於最)	二 半 行 頌 得 果 於 最 
X32n0618_001:0314a05	三六行頌國淨眷屬(其土)	三 六 行 頌 國 淨 眷 屬 其 土 
X32n0618_001:0314a06	四一行半頌壽命正像(其佛)	四 一 行 半 頌 壽 命 正 像 其 佛 
X32n0618_001:0314a07	五半行頌總結(光明)	五 半 行 頌 總 結 光 明 
X32n0618_001:0314a08	二授三子記(二)	二 授 三 子 記 二 
X32n0618_001:0314a09	初三子請記(四)	初 三 子 請 記 四 
X32n0618_001:0314a10	初請記(爾時)	初 請 記 爾 時 
X32n0618_001:0314a11	二說喻(如從)	二 說 喻 如 從 
X32n0618_001:0314a12	三法合(我等)	三 法 合 我 等 
X32n0618_001:0314a13	四總結(大雄)	四 總 結 大 雄 
X32n0618_001:0314a14	二如來與記(三)	二 如 來 與 記 三 
X32n0618_001:0314a15	初授須菩提記(二)	初 授 須 菩 提 記 二 
X32n0618_001:0314a16	初長行(四)	初 長 行 四 
X32n0618_001:0314a17	初行因(爾時)	初 行 因 爾 時 
X32n0618_001:0314a18	二得果(於最)	二 得 果 於 最 
X32n0618_001:0314a19	三劫國嚴淨(劫名)	三 劫 國 嚴 淨 劫 名 
X32n0618_001:0314a20	四壽命正像(佛壽)	四 壽 命 正 像 佛 壽 
X32n0618_001:0314a21	二偈頌(四)	二 偈 頌 四 
X32n0618_001:0314a22	初一行誡聽(爾時)	初 一 行 誡 聽 爾 時 
X32n0618_001:0314a23	二三行頌行因得果(我大)	二 三 行 頌 行 因 得 果 我 大 
X32n0618_001:0314a24	三六行半頌劫國嚴淨(其佛)	三 六 行 半 頌 劫 國 嚴 淨 其 佛 
X32n0618_001:0314a25	四一行半頌壽命正像(其佛)	四 一 行 半 頌 壽 命 正 像 其 佛 
X32n0618_001:0314a26	二授迦旃延記(二)	二 授 迦 旃 延 記 二 
X32n0618_001:0314a27	初長行(四)	初 長 行 四 
X32n0618_001:0314a28	初行因(爾時)	初 行 因 爾 時 
X32n0618_001:0314a29	二得果(當得)	二 得 果 當 得 
X32n0618_001:0314a30	三國淨眷屬(其土)	三 國 淨 眷 屬 其 土 
X32n0618_001:0314a31	四壽命正像(佛壽)	四 壽 命 正 像 佛 壽 
X32n0618_001:0314a32	二偈頌(三)	二 偈 頌 三 
X32n0618_001:0314a33	初一行誡聽(爾時)	初 一 行 誡 聽 爾 時 
X32n0618_001:0314a34	二二行三句頌行因得果(是迦)	二 二 行 三 句 頌 行 因 得 果 是 迦 
X32n0618_001:0314a35	三三行一句頌國淨眷屬(國土)	三 三 行 一 句 頌 國 淨 眷 屬 國 土 
X32n0618_001:0314a36	三授目連記(二)	三 授 目 連 記 二 
X32n0618_001:0314a37	初長行(五)	初 長 行 五 
X32n0618_001:0314a38	初行因(爾時)	初 行 因 爾 時 
X32n0618_001:0314a39	二得果(當得)	二 得 果 當 得 
X32n0618_001:0314a40	三劫國(劫名)	三 劫 國 劫 名 
X32n0618_001:0314a41	四國淨眷屬(其土)	四 國 淨 眷 屬 其 土 
X32n0618_001:0314a42	五壽命正像(佛壽)	五 壽 命 正 像 佛 壽 
X32n0618_001:0314a43	二偈頌(四)	二 偈 頌 四 
X32n0618_001:0314a44	初四行半頌行因(爾時)	初 四 行 半 頌 行 因 爾 時 
X32n0618_001:0314a45	二二行頌得果壽命(漸漸)	二 二 行 頌 得 果 壽 命 漸 漸 
X32n0618_001:0314a46	三二行半頌眷屬眾多(常為)	三 二 行 半 頌 眷 屬 眾 多 常 為 
X32n0618_001:0314a47	四一行頌正像(佛滅)	四 一 行 頌 正 像 佛 滅 
X32n0618_001:0314a48	二二行半頌許為下根作宿世因緣(我諸)	二 二 行 半 頌 許 為 下 根 作 宿 世 因 緣 我 諸 
X32n0618_001:0314a49	四授四子記已竟。	四 授 四 子 記 已 竟 
X32n0618_001:0314a50	二喻說一周被中根已竟。	二 喻 說 一 周 被 中 根 已 竟 
X32n0618_001:0314a52	化城喻品	化 城 喻 品 
X32n0618_001:0314a54	○三因緣一周被下根(二)	 三 因 緣 一 周 被 下 根 二 
X32n0618_001:0314a55	初正說因緣(二)	初 正 說 因 緣 二 
X32n0618_001:0314a56	初明知見久遠(二)	初 明 知 見 久 遠 二 
X32n0618_001:0314a57	初長行(三)	初 長 行 三 
X32n0618_001:0314a58	初明所見事(佛告)	初 明 所 見 事 佛 告 
X32n0618_001:0314a59	二喻明久遠(譬如)	二 喻 明 久 遠 譬 如 
X32n0618_001:0314a60	三見昔如今(我以)	三 見 昔 如 今 我 以 
X32n0618_001:0314a61	二偈頌(三)	二 偈 頌 三 
