X26n0575_001:0965c04	略移	略 移 
X26n0575_001:0977b24	眼曰見。在耳曰聞。在鼻曰嗅。在舌曰談論。在手拈掇。	眼 曰 見 在 耳 曰 聞 在 鼻 曰 嗅 在 舌 曰 談 論 在 手 拈 掇 
X26n0575_001:0977c01	在足運奔。全體起用。全體法身。非是六根四大見聞	在 足 運 奔 全 體 起 用 全 體 法 身 非 是 六 根 四 大 見 聞 
X26n0575_001:0977c02	知覺。休認四大六根為己。金剛經云。凡所有相皆虗	知 覺 休 認 四 大 六 根 為 己 金 剛 經 云 凡 所 有 相 皆 虗 
X26n0575_001:0977c03	妄。道云。悟者忘念歸真。迷者著相失本。盡是假名引	妄 道 云 悟 者 忘 念 歸 真 迷 者 著 相 失 本 盡 是 假 名 引 
X26n0575_001:0977c04	導。眾生不可知得便了。須要親見法身。若得親見轉	導 眾 生 不 可 知 得 便 了 須 要 親 見 法 身 若 得 親 見 轉 
X26n0575_001:0977c05	凡成聖。若聽人言說。或文字上知解。如畫餅充飢。似	凡 成 聖 若 聽 人 言 說 或 文 字 上 知 解 如 畫 餅 充 飢 似 
X26n0575_001:0977c06	說酒止渴。終不濟事。虗實云。華藥欄莫顢頇。星在秤	說 酒 止 渴 終 不 濟 事 虗 實 云 華 藥 欄 莫 顢 頇 星 在 秤 
X26n0575_001:0977c07	不在盤。重陽祖師云。休教錯認定盤星。且道此句如	不 在 盤 重 陽 祖 師 云 休 教 錯 認 定 盤 星 且 道 此 句 如 
X26n0575_001:0977c08	何說。謂盤只可等物。知輕別重者。皆在星上。祖師又	何 說 謂 盤 只 可 等 物 知 輕 別 重 者 皆 在 星 上 祖 師 又 
X26n0575_001:0977c09	恐人錯認定盤星。討準定盤星。定盤星也是死物。不	恐 人 錯 認 定 盤 星 討 準 定 盤 星 定 盤 星 也 是 死 物 不 
X26n0575_001:0977c10	知輕重。是以休教錯認定盤星。一般都是星。有用得	知 輕 重 是 以 休 教 錯 認 定 盤 星 一 般 都 是 星 有 用 得 
X26n0575_001:0977c11	著底。有用不著底。此皆喻法。精細審察。休執著一邊。	著 底 有 用 不 著 底 此 皆 喻 法 精 細 審 察 休 執 著 一 邊 
X26n0575_001:0977c12	且道此理如何。真性與識性。真神與識神。一般同住	且 道 此 理 如 何 真 性 與 識 性 真 神 與 識 神 一 般 同 住 
X26n0575_001:0977c13	止。一假一成真。	止 一 假 一 成 真 
X26n0575_001:0977c14	　道在尋常日用間　　究察觀想細細參	 道 在 尋 常 日 用 間 究 察 觀 想 細 細 參 
X26n0575_001:0977c15	擡手動足&;全憑道&;閑忙動靜&;道現前&;	擡 手 動 足 全 憑 道 閑 忙 動 靜 道 現 前 
X26n0575_001:0977c16	眼觀萬境&;耳聽聲色&;	眼 觀 萬 境 耳 聽 聲 色 
X26n0575_001:0977c17	鼻聞香臭&;開言吐語&;	鼻 聞 香 臭 開 言 吐 語 
X26n0575_001:0977c18	吃飯穿衣&;千變萬化&;	吃 飯 穿 衣 千 變 萬 化 
X26n0575_001:0977c19	存心忍耐&;改惡向善&;	存 心 忍 耐 改 惡 向 善 
X26n0575_001:0977c20	買賣營運&;看前顧後&;	買 賣 營 運 看 前 顧 後 
X26n0575_001:0977c21	　有道扶持身體徤　　英雄家傑神氣剛	 有 道 扶 持 身 體 徤 英 雄 家 傑 神 氣 剛 
X26n0575_001:0977c22	　道不在時身無主　　鴛鴦氣斷不中看	 道 不 在 時 身 無 主 鴛 鴦 氣 斷 不 中 看 
X26n0575_001:0977c23	　當時敗壞難留戀　　五零四散被蛆鑽	 當 時 敗 壞 難 留 戀 五 零 四 散 被 蛆 鑽 
X26n0575_001:0977c24	　學道不脫生死苦　　為人空住在南閻	 學 道 不 脫 生 死 苦 為 人 空 住 在 南 閻 
X26n0575_001:0978a01	　借假修真真常在　　萬劫無更不論年	 借 假 修 真 真 常 在 萬 劫 無 更 不 論 年 
X26n0575_001:0978a02	無色聲香味觸法者。本無六塵也。皆從一根上起。若	無 色聲香味觸 法 者 本 無 六 塵 也 皆 從 一 根 上 起 若 
X26n0575_001:0978a03	識的從根本生起處是妄。且休認苗。仙真云。揚湯點	識 的 從 根 本 生 起 處 是 妄 且 休 認 苗 仙 真 云 揚 湯 點 
X26n0575_001:0978a04	沸。不如釜底抽薪。釋云。要伐其樹。先去其根。枝稍自	沸 不 如 釜 底 抽 薪 釋 云 要 伐 其 樹 先 去 其 根 枝 稍 自 
X26n0575_001:0978a05	墜。既識根本。棄假歸真。識得我身非有。我身尚無。萬	墜 既 識 根 本 棄 假 歸 真 識 得 我 身 非 有 我 身 尚 無 萬 
X26n0575_001:0978a06	法皆空自然清淨。觀身無身。觀法無法。都歸空寂。無	法 皆 空 自 然 清 淨 觀 身 無 身 觀 法 無 法 都 歸 空 寂 無 
X26n0575_001:0978a07	色聲香味觸法也。我心本空。罪福無主。何者是罪。何	色聲香味觸 法 也 我 心 本 空 罪 福 無 主 何 者 是 罪 何 
X26n0575_001:0978a08	者是福。經云。諦觀心本來空。是則名為真懺悔。且道	者 是 福 經 云 諦 觀 心 本 來 空 是 則 名 為 真 懺 悔 且 道 
X26n0575_001:0978a09	懺箇甚麼。悔箇甚麼。懺其前愆。悔其後過。既得諸根	懺 箇 甚 麼 悔 箇 甚 麼 懺 其 前 愆 悔 其 後 過 既 得 諸 根 
X26n0575_001:0978a10	斷。何處可生苗。	斷 何 處 可 生 苗 
X26n0575_001:0978a11	　無色聲香味觸法　　打掃潔淨現心華	 無 色聲香味觸 法 打 掃 潔 淨 現 心 華 
X26n0575_001:0978a12	眼不愛色&;為潔淨&;從根湧出現心華&;	眼 不 愛 色 為 潔 淨 從 根 湧 出 現 心 華 
X26n0575_001:0978a13	耳不受聲&;	耳 不 受 聲 
X26n0575_001:0978a14	鼻不嗅香&;	鼻 不 嗅 香 
X26n0575_001:0978a15	舌不貪味&;	舌 不 貪 味 
X26n0575_001:0978a16	身不觸相&;	身 不 觸 相 
X26n0575_001:0978a17	意不住法&;	意 不 住 法 
X26n0575_001:0978a18	　六塵不入無魔境　　大圓鏡智現心華	 六 塵 不 入 無 魔 境 大圓鏡智 現 心 華 
X26n0575_001:0978a19	　六門平徹都無了　　妙觀察智現心華	 六 門 平 徹 都 無 了 妙觀察智 現 心 華 
X26n0575_001:0978a20	　無相家風本現成　　人人心地發光明	 無 相 家 風 本 現 成 人 人 心 地 發 光 明 
X26n0575_001:0978a21	　豁開自己神通藏　　受用無窮出世人	 豁 開 自 己 神 通 藏 受 用 無 窮 出 世 人 
X26n0575_001:0978a22	守真志滿。立定根基。還元無那移。窮理盡性。寂滅第	守 真 志 滿 立 定 根 基 還 元 無 那 移 窮 理 盡 性 寂 滅 第 
X26n0575_001:0978a23	一。無相家風。誰敢受持。真空聖境。無緣到不得。	一 無 相 家 風 誰 敢 受 持 真 空 聖 境 無 緣 到 不 得 
X26n0575_001:0978a24	[門@舌]	[門舌] 
X26n0575_002:0978b04	[門@舌]通顯道甚深功德寶卷下	[門舌] 通 顯 道 甚 深 功 德 寶 卷 下 
X26n0575_002:0978b06	說。無眼界乃至無意識界者。本來無形。若眼界淨。意	說 無 眼 界 乃 至 無 意 識 界 者 本 來 無 形 若 眼 界 淨 意 
X26n0575_002:0978b07	識安。因執有眼。連累十八界不安。但去眼根。反究虗	識 安 因 執 有 眼 連 累 十 八 界 不 安 但 去 眼 根 反 究 虗 
X26n0575_002:0978b08	假。古德云。眼是障道魔軍。著境自迷回路。仙真云。眼	假 古 德 云 眼 是 障 道 魔 軍 著 境 自 迷 回 路 仙 真 云 眼 
X26n0575_002:0978b09	觀心動。著物迷真。吾身非久。六根皆歸敗壞。靜審四	觀 心 動 著 物 迷 真 吾 身 非 久 六 根 皆 歸 敗 壞 靜 審 四 
X26n0575_002:0978b10	大都無實義。惟有真空妙性。長劫不壞之體。湛然常	大 都 無 實 義 惟 有 真 空 妙 性 長 劫 不 壞 之 體 湛 然 常 
X26n0575_002:0978b11	在。亦無修證。釋氏云。那伽長在定。無有不定持。先師	在 亦 無 修 證 釋 氏 云 那 伽 長 在 定 無 有 不 定 持 先 師 
X26n0575_002:0978b12	云。定中境界。靜裏乾坤。自然而然。做作又不是也。既	云 定 中 境 界 靜 裏 乾 坤 自 然 而 然 做 作 又 不 是 也 既 
X26n0575_002:0978b13	得定力。有甚散亂。如同秋月。圓陀陀。光爍爍。普天匝	得 定 力 有 甚 散 亂 如 同 秋 月 圓 陀 陀 光 爍 爍 普 天 匝 
X26n0575_002:0978b14	地。無有不照著處。說箇照著。亦是自然非妄想故。拾	地 無 有 不 照 著 處 說 箇 照 著 亦 是 自 然 非 妄 想 故 拾 
X26n0575_002:0978b15	得又云。吾心不比月。比月有圓缺。一盞無油燈。照得	得 又 云 吾 心 不 比 月 比 月 有 圓 缺 一 盞 無 油 燈 照 得 
X26n0575_002:0978b16	十方徹。山河大地不能隔礙。光明洞耀。逈脫根塵。體	十 方 徹 山 河 大 地 不 能 隔 礙 光 明 洞 耀 逈 脫 根 塵 體 
X26n0575_002:0978b17	露真常。本無染污。但離諸緣。便是仙佛。	露 真 常 本 無 染 污 但 離 諸 緣 便 是 仙 佛 
X26n0575_002:0978b18	　無眼界　　乃至空　　無意識界	 無 眼 界 乃 至 空 無 意 識 界 
X26n0575_002:0978b19	　從本來　　曠大劫　　盤古至今	 從 本 來 曠 大 劫 盤 古 至 今 
X26n0575_002:0978b20	又無&;眼&;又無&;耳&;難猫難畫&;	又 無 眼 又 無 耳 難 猫 難 畫 
X26n0575_002:0978b21	鼻&;舌&;萬般音聲&;	鼻 舌 萬 般 音 聲 
X26n0575_002:0978b22	身&;意&;難量難測&;	身 意 難 量 難 測 
X26n0575_002:0978b23	　無形相　　能變化　　廣有神通	 無 形 相 能 變 化 廣 有 神 通 
X26n0575_002:0978b24	　這真身　　與世間　　無有比對	 這 真 身 與 世 間 無 有 比 對 
X26n0575_002:0978c01	不是&;佛&;不是&;人&;非是眾生&;	不 是 佛 不 是 人 非 是 眾 生 
X26n0575_002:0978c02	男&;女&;不是凡聖&;	男 女 不 是 凡 聖 
X26n0575_002:0978c03	古&;今&;非相非空&;	古 今 非 相 非 空 
X26n0575_002:0978c04	　這妙意　　人人有　　終日顯現	 這 妙 意 人 人 有 終 日 顯 現 
X26n0575_002:0978c05	　渾身上　　細搜尋　　不見其踪	 渾 身 上 細 搜 尋 不 見 其 踪 
X26n0575_002:0978c06	　暗思想　　心內喜　　多虧師傅	 暗 思 想 心 內 喜 多 虧 師 傅 
X26n0575_002:0978c07	　慈悲心　　教道我　　纔得分明	 慈 悲 心 教 道 我 纔 得 分 明 
X26n0575_002:0978c08	　請心經　　說一遍　　言言見諦	 請 心 經 說 一 遍 言 言 見 諦 
X26n0575_002:0978c09	　談妙法　　論無極　　句句超宗	 談 妙 法 論 無 極 句 句 超 宗 
X26n0575_002:0978c10	　精裸裸　　赤剎剎　　光明出現	 精 裸 裸 赤 剎 剎 光 明 出 現 
X26n0575_002:0978c11	　生不懼　　死不愁　　不壞金身	 生 不 懼 死 不 愁 不 壞 金 身 
X26n0575_002:0978c12	無無明者。萬緣不生也。無明是黑暗不停之念。一切	無 無 明 者 萬 緣 不 生 也 無 明 是 黑 暗 不 停 之 念 一 切 
X26n0575_002:0978c13	眾生盡有無明。因有無明。起多種差別。百般煩惱。皆	眾 生 盡 有 無 明 因 有 無 明 起 多 種 差 別 百 般 煩 惱 皆 
X26n0575_002:0978c14	是暗昧之心。故令如是。道云。暗昧心不止。地獄畜生	是 暗 昧 之 心 故 令 如 是 道 云 暗 昧 心 不 止 地 獄 畜 生 
X26n0575_002:0978c15	本。釋云。無明不見菩提路。不覺將身落火坑。儒云。寸	本 釋 云 無 明 不 見 菩 提 路 不 覺 將 身 落 火 坑 儒 云 寸 
X26n0575_002:0978c16	心不昧。萬法皆明。又廣成子云。木去火則不灰。人去	心 不 昧 萬 法 皆 明 又 廣 成 子 云 木 去 火 則 不 灰 人 去 
X26n0575_002:0978c17	情則不死。太顛云。心處六情。如鳥投網。造罪惡業。如	情 則 不 死 太 顛 云 心 處 六 情 如 鳥 投 網 造 罪 惡 業 如 
X26n0575_002:0978c18	蛾赴燈。出殻入殻。轉轉不覺流浪經劫。皆因無明而	蛾 赴 燈 出 殻 入 殻 轉 轉 不 覺 流 浪 經 劫 皆 因 無 明 而 
X26n0575_002:0978c19	起。因有無明有行。因行有識。因識有名色。因名色有	起 因 有 無 明 有 行 因 行 有 識 因 識 有 名 色 因 名 色 有 
X26n0575_002:0978c20	六入。因六入有觸。因觸有受。因受有愛。因愛有取。因	六 入 因 六 入 有 觸 因 觸 有 受 因 受 有 愛 因 愛 有 取 因 
X26n0575_002:0978c21	取有有。因有有生。因生有老死憂悲苦惱。皆因無明	取 有 有 因 有 有 生 因 生 有 老 死 憂 悲 苦 惱 皆 因 無 明 
X26n0575_002:0978c22	為始。於此親見無明。降伏令死。死中更死。諸漏自盡。	為 始 於 此 親 見 無 明 降 伏 令 死 死 中 更 死 諸 漏 自 盡 
X26n0575_002:0978c23	煩惱永斷。三毒自滅。惡根自除。直截根源。莫顧枝梢。	煩 惱 永 斷 三 毒 自 滅 惡 根 自 除 直 截 根 源 莫 顧 枝 梢 
X26n0575_002:0978c24	根若截斷。枝葉自枯。不見有身。身盡無明盡。塵垢亦	根 若 截 斷 枝 葉 自 枯 不 見 有 身 身 盡 無 明 盡 塵 垢 亦 
X26n0575_002:0979a01	盡。萬劫塵沙數罪。一時頓息。輪迴生死。一時消滅。	盡 萬 劫 塵 沙 數 罪 一 時 頓 息 輪迴生死 一 時 消 滅 
X26n0575_002:0979a02	無無明&;心豁亮&;纔知下落&;	無 無 明 心 豁 亮 纔 知 下 落 
X26n0575_002:0979a03	兼落歸根&;	兼 落 歸 根 
X26n0575_002:0979a04	纔知端的&;	纔 知 端 的 
X26n0575_002:0979a05	道理分明&;	道 理 分 明 
X26n0575_002:0979a06	不圖修福&;	不 圖 修 福 
X26n0575_002:0979a07	不求皇宮&;	不 求 皇 宮 
X26n0575_002:0979a08	不求來世&;	不 求 來 世 
X26n0575_002:0979a09	不圖轉生&;	不 圖 轉 生 
X26n0575_002:0979a10	有身有苦&;	有 身 有 苦 
X26n0575_002:0979a11	不求人身&;	不 求 人 身 
X26n0575_002:0979a12	不圖有相&;	不 圖 有 相 
X26n0575_002:0979a13	清淨法身&;	清 淨 法 身 
X26n0575_002:0979a14	無無明&;認的他&;西方大路&;	無 無 明 認 的 他 西 方 大 路 
X26n0575_002:0979a15	無相家風&;	無 相 家 風 
X26n0575_002:0979a16	愛的是&;極樂世界&;	愛 的 是 極樂世界 
X26n0575_002:0979a17	立命安身&;	立 命 安 身 
X26n0575_002:0979a18	亦無無明盡者。潔白之意。道理精通。迷則顛倒妄想。	亦 無 無 明 盡 者 潔 白 之 意 道 理 精 通 迷 則 顛 倒 妄 想 
X26n0575_002:0979a19	是無明業心。悟則轉凡成聖。是圓明覺性。都是一般	是 無 明 業 心 悟 則 轉 凡 成 聖 是 圓 明 覺 性 都 是 一 般 
X26n0575_002:0979a20	心地。只爭明與不明。太上云。同出而異名。永嘉云。無	心 地 只 爭 明 與 不 明 太 上 云 同 出 而 異 名 永 嘉 云 無 
X26n0575_002:0979a21	明實性即佛性。幻化空身即法身。若執幻身是我。即	明 實 性 即 佛 性 幻 化 空 身 即 法 身 若 執 幻 身 是 我 即 
X26n0575_002:0979a22	有無明。有無明。即生三毒。起三惡業。三業昏暗。六根	有 無 明 有 無 明 即 生 三 毒 起 三 惡 業 三 業 昏 暗 六 根 
X26n0575_002:0979a23	內盲。因此不覺不知。背覺合塵。墮三惡道。如有智慧	內 盲 因 此 不 覺 不 知 背 覺 合 塵 墮 三 惡 道 如 有 智 慧 
X26n0575_002:0979a24	之人。能轉慳貪心。為喜捨心。轉嗔怒心。為歡喜心。轉	之 人 能 轉 慳 貪 心 為 喜 捨 心 轉 嗔 怒 心 為 歡 喜 心 轉 
X26n0575_002:0979b01	愚痴執著心。為圓融脫洒心。更改六賊為六神通。於	愚 痴 執 著 心 為 圓 融 脫 洒 心 更 改 六 賊 為 六 神 通 於 
X26n0575_002:0979b02	此一二轉得改得。自然轉凡成聖。凡夫即是聖人。若	此 一 二 轉 得 改 得 自 然 轉 凡 成 聖 凡 夫 即 是 聖 人 若 
X26n0575_002:0979b03	轉不過改不得。聖人即是凡夫。如何凡人被物轉。聖	轉 不 過 改 不 得 聖 人 即 是 凡 夫 如 何 凡 人 被 物 轉 聖 
X26n0575_002:0979b04	人能轉物。百姓日用而不知。終日忙忙。被物所引。日	人 能 轉 物 百 姓 日 用 而 不 知 終 日 忙 忙 被 物 所 引 日 
X26n0575_002:0979b05	久月深。離家漸遠。不得還鄉。迷真失本也。若是會萬	久 月 深 離 家 漸 遠 不 得 還 鄉 迷 真 失 本 也 若 是 會 萬 
X26n0575_002:0979b06	物歸於自己。豈得迷失真本也。川老云。終日忙忙。那	物 歸 於 自 己 豈 得 迷 失 真 本 也 川 老 云 終 日 忙 忙 那 
X26n0575_002:0979b07	事無妨。不求解脫。不樂天堂。但能一念歸無念。高步	事 無 妨 不 求 解 脫 不 樂 天 堂 但 能 一 念 歸 無 念 高 步 
X26n0575_002:0979b08	毗盧頂上行。道云。居塵不染塵。在慾而無慾。身心如	毗 盧 頂 上 行 道 云 居 塵 不 染 塵 在 慾 而 無 慾 身 心 如 
X26n0575_002:0979b09	如。內外無餘。須是打成一片。與空劫齊。形影不存。反	如 內 外 無 餘 須 是 打 成 一 片 與 空 劫 齊 形 影 不 存 反 
X26n0575_002:0979b10	觀己身。我身不實。餘者皆空。我身尚假。有甚無明。	觀 己 身 我 身 不 實 餘 者 皆 空 我 身 尚 假 有 甚 無 明 
X26n0575_002:0979b11	　無無明盡萬物絕　　鉄面無情不須說	 無 無 明 盡 萬 物 絕 鉄 面 無 情 不 須 說 
X26n0575_002:0979b12	　玄妙之法風不透　　無為道理甚嚴切	 玄 妙 之 法 風 不 透 無 為 道 理 甚 嚴 切 
X26n0575_002:0979b13	　無智眾生空磨亂　　廣攬雜念不如拙	 無 智 眾 生 空 磨 亂 廣 攬 雜 念 不 如 拙 
X26n0575_002:0979b14	　看經不解如來意　　口念心違意不徹	 看 經 不 解 如 來 意 口 念 心 違 意 不 徹 
X26n0575_002:0979b15	　妄想牽連過一生　　摘葉尋枝無休歇	 妄 想 牽 連 過 一 生 摘 葉 尋 枝 無 休 歇 
X26n0575_002:0979b16	　敬奉尊師守根源　　頓除疑心真了潔	 敬 奉 尊 師 守 根 源 頓 除 疑 心 真 了 潔 
X26n0575_002:0979b17	　瞥然如是知端的　　佛祖都是這等說	 瞥 然 如 是 知 端 的 佛 祖 都 是 這 等 說 
X26n0575_002:0979b18	　肯把心經信一句　　彈指明白超三界	 肯 把 心 經 信 一 句 彈 指 明 白 超 三 界 
X26n0575_002:0979b19	乃至無老死者。修行之人。須要妄形忘體。我身既無。	乃 至 無 老 死 者 修 行 之 人 須 要 妄 形 忘 體 我 身 既 無 
X26n0575_002:0979b20	有何無明。無明既無。生死亦斷。太上云。內觀其心。心	有 何 無 明 無 明 既 無 生 死 亦 斷 太 上 云 內 觀 其 心 心 
X26n0575_002:0979b21	無其心。外觀其形。形無其形。遠觀其物。物無其物。三	無 其 心 外 觀 其 形 形 無 其 形 遠 觀 其 物 物 無 其 物 三 
X26n0575_002:0979b22	者既悟。惟見於空。金剛經云。無我相。無人相。無眾生	者 既 悟 惟 見 於 空 金 剛 經 云 無 我 相 無 人 相 無 眾 生 
X26n0575_002:0979b23	相。無壽者相。三者既無。四相皆空。有何無明老死。萬	相 無 壽 者 相 三 者 既 無 四 相 皆 空 有 何 無 明 老 死 萬 
X26n0575_002:0979b24	法自空。即是仙佛。只這仙佛兩字。也是多了。亦乃強	法 自 空 即 是 仙 佛 只 這 仙 佛 兩 字 也 是 多 了 亦 乃 強 
X26n0575_002:0979c01	名。且眾生顛倒。被目前幻境所惑。習性所牽。形影變	名 且 眾 生 顛 倒 被 目 前 幻 境 所 惑 習 性 所 牽 形 影 變 
X26n0575_002:0979c02	動。不能作主。隨物流轉。因執有我。妄心不滅。人我不	動 不 能 作 主 隨 物 流 轉 因 執 有 我 妄 心 不 滅 人 我 不 
X26n0575_002:0979c03	除。執著聲色。墮落生死。若是見性之人。目前無法。亦	除 執 著 聲 色 墮 落 生 死 若 是 見 性 之 人 目 前 無 法 亦 
X26n0575_002:0979c04	無眾生。心佛及眾生三無差別。平等真法界。一體同	無 眾 生 心 佛 及 眾 生 三無差別 平 等 真 法 界 一 體 同 
X26n0575_002:0979c05	觀。萬法歸一。且怎的同觀為一。仙真云。雖則枝分稍	觀 萬 法 歸 一 且 怎 的 同 觀 為 一 仙 真 云 雖 則 枝 分 稍 
X26n0575_002:0979c06	異。根本無殊。派別流差。百川還海。且太極未判。混然	異 根 本 無 殊 派 別 流 差 百 川 還 海 且 太 極 未 判 混 然 
X26n0575_002:0979c07	一氣。豈有二耶。天地既分。而有高下。一生二。二生三。	一 氣 豈 有 二 耶 天 地 既 分 而 有 高 下 一 生 二 二 生 三 
X26n0575_002:0979c08	三生萬物。皆一氣所化。天也是道。地也是道。人也是	三 生 萬 物 皆 一 氣 所 化 天 也 是 道 地 也 是 道 人 也 是 
X26n0575_002:0979c09	道。有情無情。皆受道氣所生。觀稍末則萬彚不等。知	道 有 情 無 情 皆 受 道 氣 所 生 觀 稍 末 則 萬 彚 不 等 知 
X26n0575_002:0979c10	根本則一概無殊。仙真云。平等不二者。是全真之丈	根 本 則 一 概 無 殊 仙 真 云 平 等 不 二 者 是 全 真 之 丈 
X26n0575_002:0979c11	夫。若識破這箇道理。生則從他生。老則從他老。病則	夫 若 識 破 這 箇 道 理 生 則 從 他 生 老 則 從 他 老 病 則 
X26n0575_002:0979c12	從他病。死則從他死。生老病死。不曾干礙著我。漚生	從 他 病 死 則 從 他 死 生老病死 不 曾 干 礙 著 我 漚 生 
X26n0575_002:0979c13	漚滅。○波翻浪滾水本常然。太顛云。到家底人。不見	漚 滅 波 翻 浪 滾 水 本 常 然 太 顛 云 到 家 底 人 不 見 
X26n0575_002:0979c14	有生死。亦無生滅。天堂地獄。六道四生。一切幻化。於	有 生 死 亦 無 生 滅 天 堂 地 獄 六 道 四 生 一 切 幻 化 於 
X26n0575_002:0979c15	徹底的人。總無交涉。自然全身放下。古云。諸行無常	徹 底 的 人 總 無 交 涉 自 然 全 身 放 下 古 云 諸行無常 
X26n0575_002:0979c16	一切空。即是如來大圓覺。	一 切 空 即 是 如 來 大 圓 覺 
X26n0575_002:0979c17	　乃至無老死也無　　無始以來在閻浮	 乃 至 無 老 死 也 無 無 始 以 來 在 閻 浮 
X26n0575_002:0979c18	　未曾初分先有性　　性是如來無量壽	 未 曾 初 分 先 有 性 性 是 如 來 無 量 壽 
X26n0575_002:0979c19	　成住壞空經多少　　天地循環不計數	 成 住 壞 空 經 多 少 天 地 循 環 不 計 數 
X26n0575_002:0979c20	　空裏現形形有壞　　空是無極空堅固	 空 裏 現 形 形 有 壞 空 是 無 極 空 堅 固 
X26n0575_002:0979c21	　未有天地空在前　　空生陰陽空是母	 未 有 天 地 空 在 前 空 生 陰 陽 空 是 母 
X26n0575_002:0979c22	　迷人不解元流義　　可嘆學徒心性麤	 迷 人 不 解 元 流 義 可 嘆 學 徒 心 性 麤 
X26n0575_002:0979c23	　口大舌長誇能會　　欺師慢文殺佛祖	 口 大 舌 長 誇 能 會 欺 師 慢 文 殺 佛 祖 
X26n0575_002:0979c24	　破邪顯正不納受　　連泥帶水非丈夫	 破 邪 顯 正 不 納 受 連 泥 帶 水 非 丈 夫 
X26n0575_002:0980a01	　乃至無老壽延長　　不生不滅似神仙	 乃 至 無 老 壽 延 長 不生不滅 似 神 仙 
X26n0575_002:0980a02	　時節到來因緣至　　返妄歸真入本源	 時 節 到 來 因 緣 至 返 妄 歸 真 入 本 源 
X26n0575_002:0980a03	　多虧祖師真妙法　　說破前因出苦淪	 多 虧 祖 師 真 妙 法 說 破 前 因 出 苦 淪 
X26n0575_002:0980a04	　我今得道安身處　　心心念念不忘恩	 我 今 得 道 安 身 處 心 心 念 念 不 忘 恩 
X26n0575_002:0980a05	亦無老死盡者。既無老死。常劫如然。豈有窮盡。有盡	亦 無 老 死 盡 者 既 無 老 死 常 劫 如 然 豈 有 窮 盡 有 盡 
X26n0575_002:0980a06	是色身。無老死是真空法相。既不著有。亦不滯空。活	是 色 身 無 老 死 是 真 空 法 相 既 不 著 有 亦 不 滯 空 活 
X26n0575_002:0980a07	潑潑的。轉轆轆的。圓陀陀的。光爍爍的。豈有盡耶。修	潑 潑 的 轉 轆 轆 的 圓 陀 陀 的 光 爍 爍 的 豈 有 盡 耶 修 
X26n0575_002:0980a08	行人先要打當乾淨。纔有相應處。太上云。損之又損	行 人 先 要 打 當 乾 淨 纔 有 相 應 處 太 上 云 損 之 又 損 
X26n0575_002:0980a09	之。以至於無為。無為而不為。大顛云。學道之人。如剝	之 以 至 於 無 為 無 為 而 不 為 大 顛 云 學 道 之 人 如 剝 
X26n0575_002:0980a10	芭蕉一般。去一層又去一層。直至去盡無下手處。自	芭 蕉 一 般 去 一 層 又 去 一 層 直 至 去 盡 無 下 手 處 自 
X26n0575_002:0980a11	然返本還元。得五蘊空。如未生相似。燒了一般。到空	然 返 本 還 元 得 五 蘊 空 如 未 生 相 似 燒 了 一 般 到 空 
X26n0575_002:0980a12	不空處。脫體全忘。不存踪跡。要通身手眼。不立纖塵	不 空 處 脫 體 全 忘 不 存 踪 跡 要 通 身 手 眼 不 立 纖 塵 
X26n0575_002:0980a13	名字。何況他十二因緣。六度萬行頭陀苦行一時頓	名 字 何 況 他 十二因緣 六 度 萬 行 頭 陀 苦 行 一 時 頓 
X26n0575_002:0980a14	脫。如枯木死灰。如百無一會的人。古云。不是洗心除	脫 如 枯 木 死 灰 如 百 無 一 會 的 人 古 云 不 是 洗 心 除 
X26n0575_002:0980a15	妄想。都緣無事可思量。若更說生說死。說因說果。說	妄 想 都 緣 無 事 可 思 量 若 更 說 生 說 死 說 因 說 果 說 
X26n0575_002:0980a16	心說性。則被法縛也。永嘉云。心是根。法是塵。兩種猶	心 說 性 則 被 法 縛 也 永 嘉 云 心 是 根 法 是 塵 兩 種 猶 
X26n0575_002:0980a17	如鏡上痕。痕垢盡除光始現。心法雙忘涅槃城。	如 鏡 上 痕 痕 垢 盡 除 光 始 現 心 法 雙 忘 涅 槃 城 
X26n0575_002:0980a18	　亦無老死盡凡情　　曠劫常然豈有窮	 亦 無 老 死 盡 凡 情 曠 劫 常 然 豈 有 窮 
X26n0575_002:0980a19	　四面八方無障礙　　一體同觀有甚誩	 四 面 八 方 無 障 礙 一 體 同 觀 有 甚 誩 
X26n0575_002:0980a20	　法身普覆大千界　　恒沙諸佛混源中	 法 身 普 覆 大 千 界 恒 沙 諸 佛 混 源 中 
X26n0575_002:0980a21	　三世如來都在道　　本性相連太虗空	 三 世 如 來 都 在 道 本 性 相 連 太 虗 空 
X26n0575_002:0980a22	　各人了得心間事　　千燈一室光不分	 各 人 了 得 心 間 事 千 燈 一 室 光 不 分 
X26n0575_002:0980a23	　念報明師難酬謝　　不落分別報祖恩	 念 報 明 師 難 酬 謝 不 落 分 別 報 祖 恩 
X26n0575_002:0980a24	　到岸從來不用船　　坦然大道透常安	 到 岸 從 來 不 用 船 坦 然 大 道 透 常 安 
X26n0575_002:0980b01	　了知元不因他悟　　面目分明總一般	 了 知 元 不 因 他 悟 面 目 分 明 總 一 般 
X26n0575_002:0980b02	　前又三來後又三　　擬議商量總不堪	 前 又 三 來 後 又 三 擬 議 商 量 總 不 堪 
