X88n1646_001:0180a04	 居士傳序	 居 士 傳 序 
X88n1646_023:0223b15	而不唱。故能勝物而無傷也。此所謂無上至真之妙	而 不 唱 故 能 勝 物 而 無 傷 也 此 所 謂 無 上 至 真 之 妙 
X88n1646_023:0223b16	道也。原其道本無名。聖人強名。道本無言。聖人強言	道 也 原 其 道 本 無 名 聖 人 強 名 道 本 無 言 聖 人 強 言 
X88n1646_023:0223b17	耳。然名言若寂。則時流無以識其體而歸其真。是以	耳 然 名 言 若 寂 則 時 流 無 以 識 其 體 而 歸 其 真 是 以 
X88n1646_023:0223b18	聖人設教立言以顯其道。奈何此道至妙至微。世人	聖 人 設 教 立 言 以 顯 其 道 奈 何 此 道 至 妙 至 微 世 人 
X88n1646_023:0223b19	根性迷鈍。執有其身而惡死悅生。故卒難了悟。黃老	根 性 迷 鈍 執 有 其 身 而 惡 死 悅 生 故 卒 難 了 悟 黃 老 
X88n1646_023:0223b20	悲其貪著。乃以修生之術。順其所欲。漸次導之。以修	悲 其 貪 著 乃 以 修 生 之 術 順 其 所 欲 漸 次 導 之 以 修 
X88n1646_023:0223b21	生之要在金丹。金丹之要在神水華池。故道德．陰符	生 之 要 在 金 丹 金 丹 之 要 在 神 水 華 池 故 道 德 陰 符 
X88n1646_023:0223b22	之教得盛行於世矣。然其言隱而理奧。學者雖諷其	之 教 得 盛 行 於 世 矣 然 其 言 隱 而 理 奧 學 者 雖 諷 其 
X88n1646_023:0223b23	文而莫曉其義。若不遇至人授之口訣。縱揣量百種	文 而 莫 曉 其 義 若 不 遇 至 人 授 之 口 訣 縱 揣 量 百 種 
X88n1646_023:0223b24	終莫能著其功而成其事。余向己酉歲於成都遇師	終 莫 能 著 其 功 而 成 其 事 余 向 己 酉 歲 於 成 都 遇 師 
X88n1646_023:0223c01	授丹法。自後三傳於人。三遭禍患。皆不逾兩旬。乃省	授 丹 法 自 後 三 傳 於 人 三 遭 禍 患 皆 不 逾 兩 旬 乃 省 
X88n1646_023:0223c02	前過。自今以往常箝口結舌。無敢復言矣。此悟真篇	前 過 自 今 以 往 常 箝 口 結 舌 無 敢 復 言 矣 此 悟 真 篇 
X88n1646_023:0223c03	中所歌咏大丹藥物火候細微之旨。無不備悉。好事	中 所 歌 咏 大 丹 藥 物 火 候 細 微 之 旨 無 不 備 悉 好 事 
X88n1646_023:0223c04	者夙有仙骨觀之。則智慮自明。此乃天之所賜。非余	者 夙 有 仙 骨 觀 之 則 智 慮 自 明 此 乃 天 之 所 賜 非 余 
X88n1646_023:0223c05	之輙傳也。如其篇末歌頌談見性之法。即上之所謂	之 輙 傳 也 如 其 篇 末 歌 頌 談 見 性 之 法 即 上 之 所 謂 
X88n1646_023:0223c06	無為妙覺之道也。然無為之道。齊物為心。雖顯秘要。	無 為 妙 覺 之 道 也 然 無 為 之 道 齊 物 為 心 雖 顯 秘 要 
X88n1646_023:0223c07	終無過咎。奈何凡夫緣業有厚薄。性根有利鈍。縱聞	終 無 過 咎 奈 何 凡 夫 緣 業 有 厚 薄 性 根 有 利 鈍 縱 聞 
X88n1646_023:0223c08	一音紛成異見。若有根性猛利之士見聞此篇。則知	一 音 紛 成 異 見 若 有 根 性 猛 利 之 士 見 聞 此 篇 則 知 
X88n1646_023:0223c09	余得達摩諸祖最上一乘之妙旨。可因一言而悟萬	余 得 達 摩 諸 祖 最 上 一 乘 之 妙 旨 可 因 一 言 而 悟 萬 
X88n1646_023:0223c10	法也。如其習氣尚餘。則歸中小之見。亦非余之咎矣。	法 也 如 其 習 氣 尚 餘 則 歸 中 小 之 見 亦 非 余 之 咎 矣 
X88n1646_023:0223c11	外篇偈頌三十三首。文多不錄。錄其無心頌云。堪笑	外 篇 偈 頌 三 十 三 首 文 多 不 錄 錄 其 無 心 頌 云 堪 笑 
X88n1646_023:0223c12	我心。如頑如鄙。兀兀騰騰。任物安委。不解修行。亦不	我 心 如 頑 如 鄙 兀 兀 騰 騰 任 物 安 委 不 解 修 行 亦 不 
X88n1646_023:0223c13	造罪。不曾利人。亦不私己。不持戒律。不拘忌諱。不知	造 罪 不 曾 利 人 亦 不 私 己 不 持 戒 律 不 拘 忌 諱 不 知 
X88n1646_023:0223c14	禮樂。不行仁義。人間所能。百無一會。飢來喫飯。渴來	禮 樂 不 行 仁 義 人 間 所 能 百 無 一 會 飢 來 喫 飯 渴 來 
X88n1646_023:0223c15	飲水。困則打睡。覺則行履。熱則單衣。寒則盖被。無思	飲 水 困 則 打 睡 覺 則 行 履 熱 則 單 衣 寒 則 盖 被 無 思 
X88n1646_023:0223c16	無慮。何憂何喜。不悔不謀。無念無意。此生榮辱。逆旅	無 慮 何 憂 何 喜 不 悔 不 謀 無 念 無 意 此 生 榮 辱 逆 旅 
X88n1646_023:0223c17	而已。林木棲鳥。亦可為比。來亦不禁。去亦不止。不避	而 已 林 木 棲 鳥 亦 可 為 比 來 亦 不 禁 去 亦 不 止 不 避 
X88n1646_023:0223c18	不求。無讚無毀。不厭醜惡。不羨善美。不棲靜室。不遠	不 求 無 讚 無 毀 不 厭 醜 惡 不 羨 善 美 不 棲 靜 室 不 遠 
X88n1646_023:0223c19	閙市。不說人非。不誇己是。不厚尊官。不薄賤稚。親愛	閙 市 不 說 人 非 不 誇 己 是 不 厚 尊 官 不 薄 賤 稚 親 愛 
X88n1646_023:0223c20	冤讐。大小內外。哀樂得喪。欽侮險易。心無兩覩。坦然	冤 讐 大 小 內 外 哀 樂 得 喪 欽 侮 險 易 心 無 兩 覩 坦 然 
X88n1646_023:0223c21	一揆。不為福先。不為禍始。感而後應。迫而後起。不畏	一 揆 不 為 福 先 不 為 禍 始 感 而 後 應 迫 而 後 起 不 畏 
X88n1646_023:0223c22	鋒刃。焉怕虎兕。隨物稱呼。豈拘名字。眼不就色。聲不	鋒 刃 焉 怕 虎 兕 隨 物 稱 呼 豈 拘 名 字 眼 不 就 色 聲 不 
X88n1646_023:0223c23	來耳。凡所有相。皆屬妄偽。男女形聲。悉非定體。體相	來 耳 凡 所 有 相 皆 屬 妄 偽 男 女 形 聲 悉 非 定 體 體 相 
X88n1646_023:0223c24	無心。不染不礙。自在逍遙。物莫能累。妙覺光圓。映徹	無 心 不 染 不 礙 自 在 逍 遙 物 莫 能 累 妙 覺 光 圓 映 徹 
X88n1646_023:0224a01	表裏。包褁六極。無有遐邇。光兮非光。如月在水。取捨	表 裏 包 褁 六 極 無 有 遐 邇 光 兮 非 光 如 月 在 水 取 捨 
X88n1646_023:0224a02	既難。復何比擬。了茲妙用。迥然超彼。或問所宗。此而	既 難 復 何 比 擬 了 茲 妙 用 迥 然 超 彼 或 問 所 宗 此 而 
X88n1646_023:0224a03	已矣。年九十一坐趺而化。用茶毗法。得舍利千百。大	已 矣 年 九 十 一 坐 趺 而 化 用 茶 毗 法 得 舍 利 千 百 大 
X88n1646_023:0224a04	者如芡實。色皆紺碧。至淳熈中甞一還家。踞上席與	者 如 芡 實 色 皆 紺 碧 至 淳 熈 中 甞 一 還 家 踞 上 席 與 
X88n1646_023:0224a05	家人語化後事甚悉。時其孫不在。及歸則已遠去矣。	家 人 語 化 後 事 甚 悉 時 其 孫 不 在 及 歸 則 已 遠 去 矣 
X88n1646_023:0224a06	其弟子有王邦叔者。從平叔九年。不知入道之要。一	其 弟 子 有 王 邦 叔 者 從 平 叔 九 年 不 知 入 道 之 要 一 
X88n1646_023:0224a07	日至羅浮觀。平叔問曰。子從我久矣。而不求道何也。	日 至 羅 浮 觀 平 叔 問 曰 子 從 我 久 矣 而 不 求 道 何 也 
X88n1646_023:0224a08	曰非敢然也。自揣愚昧。恐無分耳。平叔曰。噫。道在我	曰 非 敢 然 也 自 揣 愚 昧 恐 無 分 耳 平 叔 曰 噫 道 在 我 
X88n1646_023:0224a09	心。人人有之。賢者不加多。愚者不加少。如子言。是自	心 人 人 有 之 賢 者 不 加 多 愚 者 不 加 少 如 子 言 是 自 
X88n1646_023:0224a10	蔽其明也。可哀也哉。邦叔涕泗交頤。拜不能起。平叔	蔽 其 明 也 可 哀 也 哉 邦 叔 涕 泗 交 頤 拜 不 能 起 平 叔 
X88n1646_023:0224a11	曰。子姑退而深思之。有所覺急來告我。邦叔辭去。入	曰 子 姑 退 而 深 思 之 有 所 覺 急 來 告 我 邦 叔 辭 去 入 
X88n1646_023:0224a12	室靜思。至夜。平叔往省之。邦叔啟戶出。平叔笑曰。吾	室 靜 思 至 夜 平 叔 往 省 之 邦 叔 啟 戶 出 平 叔 笑 曰 吾 
X88n1646_023:0224a13	一尋汝便見頭面。汝固有之物尋之不得。何也。遂滅	一 尋 汝 便 見 頭 面 汝 固 有 之 物 尋 之 不 得 何 也 遂 滅 
X88n1646_023:0224a14	所執燭而去。邦叔大窘。坐至五更大悟。通體汗流。待	所 執 燭 而 去 邦 叔 大 窘 坐 至 五 更 大 悟 通 體 汗 流 待 
X88n1646_023:0224a15	旦呈頌曰。月照長江風浪息。魚龍遁跡水天平。箇中	旦 呈 頌 曰 月 照 長 江 風 浪 息 魚 龍 遁 跡 水 天 平 箇 中 
X88n1646_023:0224a16	誰唱真仙子。聲滿虗空萬籟清。平叔覧之問曰。誰唱	誰 唱 真 仙 子 聲 滿 虗 空 萬 籟 清 平 叔 覧 之 問 曰 誰 唱 
X88n1646_023:0224a17	誰聽。邦叔再頌曰。莫問誰。莫問誰。一聲高了一聲低。	誰 聽 邦 叔 再 頌 曰 莫 問 誰 莫 問 誰 一 聲 高 了 一 聲 低 
X88n1646_023:0224a18	阿誰唱。阿誰聽。橫竪大千說不盡。先生有意度迷津。	阿 誰 唱 阿 誰 聽 橫 竪 大 千 說 不 盡 先 生 有 意 度 迷 津 
X88n1646_023:0224a19	急撞靈臺安寶鏡。鏡明澄靜萬緣空。百萬絲條處處	急 撞 靈 臺 安 寶 鏡 鏡 明 澄 靜 萬 緣 空 百 萬 絲 條 處 處 
X88n1646_023:0224a20	通。斗轉星移人睡定。覺來紅日正當中。平叔遂出金	通 斗 轉 星 移 人 睡 定 覺 來 紅 日 正 當 中 平 叔 遂 出 金 
X88n1646_023:0224a21	丹圖授之。止於羅浮。後三十年坐逝(天台志．悟真篇．青華祕文)。	丹 圖 授 之 止 於 羅 浮 後 三 十 年 坐 逝 天 台 志 悟 真 篇 青 華 祕 文 
X88n1646_023:0224a22	知歸子曰。世之學仙者往往執幻為真。從空覓有。迷	知 歸 子 曰 世 之 學 仙 者 往 往 執 幻 為 真 從 空 覓 有 迷 
X88n1646_023:0224a23	失真常。歷諸塵劫。首楞嚴經呵之切矣。平叔雖志慕	失 真 常 歷 諸 塵 劫 首 楞 嚴 經 呵 之 切 矣 平 叔 雖 志 慕 
X88n1646_023:0224a24	金丹。其所論撰往往契西來大意。於老氏之徒可謂	金 丹 其 所 論 撰 往 往 契 西 來 大 意 於 老 氏 之 徒 可 謂 
X88n1646_023:0224b01	具正知見者。予故表而出之。	具 正 知 見 者 予 故 表 而 出 之 
X88n1646_023:0224b02	汪大紳云。予甞略觀其書。盖在佛老門中能真實	汪 大 紳 云 予 甞 略 觀 其 書 盖 在 佛 老 門 中 能 真 實 
X88n1646_023:0224b03	踐履者。然以明眼人觀之。得毋坐在閨閤中做功	踐 履 者 然 以 明 眼 人 觀 之 得 毋 坐 在 閨 閤 中 做 功 
X88n1646_024:0224b08	居士傳二十四	居 士 傳 二 十 四 
X88n1646_024:0224b10	鍾離孫陸張孫馬左范胡孫朱二王吳張李	鍾 離 孫 陸 張 孫 馬 左 范 胡 孫 朱 二 王 吳 張 李 
X88n1646_024:0224b11	陸閻錢昝吳陳傳	陸 閻 錢 昝 吳 陳 傳 
X88n1646_024:0224b12	鍾離瑾會稽人。母任夫人。精修淨業。年九十八起居	鍾 離 瑾 會 稽 人 母 任 夫 人 精 修 淨 業 年 九 十 八 起 居 
X88n1646_024:0224b13	如常。時一日忽戒瑾曰。人人有箇彌陀。奈何拋去。處	如 常 時 一 日 忽 戒 瑾 曰 人 人 有 箇 彌 陀 奈 何 拋 去 處 
X88n1646_024:0224b14	處無非極樂。不解歸來。予將行矣。汝其念之。翼日晨	處 無 非 極 樂 不 解 歸 來 予 將 行 矣 汝 其 念 之 翼 日 晨 
X88n1646_024:0224b15	起焚香持佛名。頃之合掌而化。瑾自是感奮。日行利	起 焚 香 持 佛 名 頃 之 合 掌 而 化 瑾 自 是 感 奮 日 行 利 
X88n1646_024:0224b16	益二十事。後知吉水縣。將嫁女。為置媵。審之則舊令	益 二 十 事 後 知 吉 水 縣 將 嫁 女 為 置 媵 審 之 則 舊 令 
X88n1646_024:0224b17	女也。乃報姻家請緩婚期。而先遣舊令女姻家曰。公	女 也 乃 報 姻 家 請 緩 婚 期 而 先 遣 舊 令 女 姻 家 曰 公 
X88n1646_024:0224b18	安得獨為君子。予有猶子方擇偶。請平分奩具。俾同	安 得 獨 為 君 子 予 有 猶 子 方 擇 偶 請 平 分 奩 具 俾 同 
X88n1646_024:0224b19	親迎可乎。從之。夜夢舊令來謝曰。賤息荷公厚德。已	親 迎 可 乎 從 之 夜 夢 舊 令 來 謝 曰 賤 息 荷 公 厚 德 已 
X88n1646_024:0224b20	奏之上帝。當十世有祿。尋官浙西。與慈雲式公論往	奏 之 上 帝 當 十 世 有 祿 尋 官 浙 西 與 慈 雲 式 公 論 往 
X88n1646_024:0224b21	生指要。清修彌篤。任夫人故有旃檀佛像。常頂戴行	生 指 要 清 修 彌 篤 任 夫 人 故 有 旃 檀 佛 像 常 頂 戴 行 
X88n1646_024:0224b22	道。及是瑾方瞻禮。眉間忽迸出舍利數粒。未幾知開	道 及 是 瑾 方 瞻 禮 眉 間 忽 迸 出 舍 利 數 粒 未 幾 知 開 
X88n1646_024:0224b23	封府。方夜半。忽起謂家人曰。夫人報我往生期至矣。	封 府 方 夜 半 忽 起 謂 家 人 曰 夫 人 報 我 往 生 期 至 矣 
X88n1646_024:0224b24	即趺跏坐逝。前一日舉家夢瑾乘青蓮華。天樂圍繞。	即 趺 跏 坐 逝 前 一 日 舉 家 夢 瑾 乘 青 蓮 華 天 樂 圍 繞 
X88n1646_024:0224c01	乘空西邁。子景融。官朝請大夫。徙居儀真東園側。常	乘 空 西 邁 子 景 融 官 朝 請 大 夫 徙 居 儀 真 東 園 側 常 
X88n1646_024:0224c02	誦觀無量壽佛經。修念佛三昧。甞曰。不識彌陀。彌陀	誦 觀 無 量 壽 佛 經 修 念佛三昧 甞 曰 不 識 彌 陀 彌 陀 
X88n1646_024:0224c03	更在西方外。識得彌陀。彌陀只在自己家。一夕請僧	更 在 西 方 外 識 得 彌 陀 彌 陀 只 在 自 己 家 一 夕 請 僧 
X88n1646_024:0224c04	妙應誦普賢行願品。炷香聽畢。兩手作印而化。曾孫	妙 應 誦 普 賢 行 願 品 炷 香 聽 畢 兩 手 作 印 而 化 曾 孫 
X88n1646_024:0224c05	松。官朝請大夫。主管台州崇道觀。乾道中寓居蘇州。	松 官 朝 請 大 夫 主 管 台 州 崇 道 觀 乾 道 中 寓 居 蘇 州 
X88n1646_024:0224c06	與寶積實公結社修淨業。與者且百人。年八十六無	與 寶 積 實 公 結 社 修 淨 業 與 者 且 百 人 年 八 十 六 無 
X88n1646_024:0224c07	疾化去(佛祖統記．樂邦文類)。	疾 化 去 佛 祖 統 記 樂 邦 文 類 
X88n1646_024:0224c08	孫良錢塘人。隱居閱大藏。尤得華嚴之旨。甞依大智	孫 良 錢 塘 人 隱 居 閱 大 藏 尤 得 華 嚴 之 旨 甞 依 大 智 
X88n1646_024:0224c09	律師受菩薩戒。日課佛名萬聲。二十年不輟。忽令家	律 師 受 菩 薩 戒 日 課 佛 名 萬 聲 二 十 年 不 輟 忽 令 家 
X88n1646_024:0224c10	人請僧唱佛名。方半日。望空合掌曰。世尊菩薩已荷	人 請 僧 唱 佛 名 方 半 日 望 空 合 掌 曰 世 尊 菩 薩 已 荷 
X88n1646_024:0224c11	降臨。即退坐而化(佛祖統記)。	降 臨 即 退 坐 而 化 佛 祖 統 記 
X88n1646_024:0224c12	陸浚錢塘人。少為吏。久之棄去。預西湖繫念會。以淨	陸 浚 錢 塘 人 少 為 吏 久 之 棄 去 預 西 湖 繫 念 會 以 淨 
X88n1646_024:0224c13	土為歸。每對佛前懺悔聲淚並下。間與友人相見。說	土 為 歸 每 對 佛 前 懺 悔 聲 淚 並 下 間 與 友 人 相 見 說 
X88n1646_024:0224c14	淨土因緣。未甞不感慨嗚咽。恐此生之不度。淨業之	淨 土 因 緣 未 甞 不 感 慨 嗚 咽 恐 此 生 之 不 度 淨 業 之 
X88n1646_024:0224c15	難成也。臨終請圓淨法師說淨土法門。諷觀經至上	難 成 也 臨 終 請 圓 淨 法 師 說 淨 土 法 門 諷 觀 經 至 上 
X88n1646_024:0224c16	品上生章。圓淨語之曰。此時好去。浚曰。眾聖未齊。且	品 上 生 章 圓 淨 語 之 曰 此 時 好 去 浚 曰 眾 聖 未 齊 且 
X88n1646_024:0224c17	待少時。起就竹牀面西端坐。頃刻化去(佛祖統記)。	待 少 時 起 就 竹 牀 面 西 端 坐 頃 刻 化 去 佛 祖 統 記 
X88n1646_024:0224c18	張廸錢塘人。官助教。從圓淨法師受菩薩戒。專修淨	張 廸 錢 塘 人 官 助 教 從 圓 淨 法 師 受 菩 薩 戒 專 修 淨 
X88n1646_024:0224c19	業。佛前然臂香為誓。每稱佛名其聲奮厲。至失音猶	業 佛 前 然 臂 香 為 誓 每 稱 佛 名 其 聲 奮 厲 至 失 音 猶 
X88n1646_024:0224c20	不已。甞於靜室見白色頻伽飛舞於前。又有綠髮童	不 已 甞 於 靜 室 見 白 色 頻 伽 飛 舞 於 前 又 有 綠 髮 童 
X88n1646_024:0224c21	子合掌問訊。後三年。西向念佛名而化(佛祖統記)。	子 合 掌 問 訊 後 三 年 西 向 念 佛 名 而 化 佛 祖 統 記 
X88n1646_024:0224c22	孫十二郎名忠。明州人。早慕西方。蔬食持戒。於府城	孫 十 二 郎 名 忠 明 州 人 早 慕 西 方 蔬 食 持 戒 於 府 城 
X88n1646_024:0224c23	東築菴。鑿二池種白蓮。臨池建閣。月集眾為念佛會。	東 築 菴 鑿 二 池 種 白 蓮 臨 池 建 閣 月 集 眾 為 念 佛 會 
X88n1646_024:0224c24	甞見佛身現空中。趨出呼其二子至同拜禮焉。久之	甞 見 佛 身 現 空 中 趨 出 呼 其 二 子 至 同 拜 禮 焉 久 之 
X88n1646_024:0225a01	始隱。後人因名其地為駐佛巷。元祐八年。釋可久神	始 隱 後 人 因 名 其 地 為 駐 佛 巷 元 祐 八 年 釋 可 久 神 
X88n1646_024:0225a02	遊西方三日而蘇。言池中金臺標可久名。其次則孫	遊 西 方 三 日 而 蘇 言 池 中 金 臺 標 可 久 名 其 次 則 孫 
X88n1646_024:0225a03	十二郎也。遂逝。久之十二郎得疾。請道俗百人為念	十 二 郎 也 遂 逝 久 之 十 二 郎 得 疾 請 道 俗 百 人 為 念 
X88n1646_024:0225a04	佛會。忽仰視虗空合掌問訊。手結雙印怡然而化。闔	佛 會 忽 仰 視 虗 空 合 掌 問 訊 手 結 雙 印 怡 然 而 化 闔 
X88n1646_024:0225a05	城皆聞天樂異香漸向西沒。二子能繼其業。亦向西	城 皆 聞 天 樂 異 香 漸 向 西 沒 二 子 能 繼 其 業 亦 向 西 
X88n1646_024:0225a06	坐化(佛祖統記)。	坐 化 佛 祖 統 記 
X88n1646_024:0225a07	馬仲玉名圩。廬州合肥人。父忠肅公亮。守杭州日。慈	馬 仲 玉 名 圩 廬 州 合 肥 人 父 忠 肅 公 亮 守 杭 州 日 慈 
X88n1646_024:0225a08	雲式公授以淨土法門。遂全家奉佛。元豐中仲玉遇	雲 式 公 授 以 淨 土 法 門 遂 全 家 奉 佛 元 豐 中 仲 玉 遇 
X88n1646_024:0225a09	僧廣初。得天台十疑論。喜曰。吾今得所歸矣。遂依慈	僧 廣 初 得 天 台 十 疑 論 喜 曰 吾 今 得 所 歸 矣 遂 依 慈 
X88n1646_024:0225a10	雲十念回向法。行之二十餘年。後更與王敏仲往還。	雲 十 念 回 向 法 行 之 二 十 餘 年 後 更 與 王 敏 仲 往 還 
X88n1646_024:0225a11	益精進念佛。常以放生為佛事。歷守淄川新定。以慈	益 精 進 念 佛 常 以 放 生 為 佛 事 歷 守 淄 川 新 定 以 慈 
X88n1646_024:0225a12	惠為政。課誦經呪。觀想西方。日有常法。時荊王夫人	惠 為 政 課 誦 經 呪 觀 想 西 方 日 有 常 法 時 荊 王 夫 人 
X88n1646_024:0225a13	與其侍妾同修淨土。其妾已化。去已見夢於夫人。引	與 其 侍 妾 同 修 淨 土 其 妾 已 化 去 已 見 夢 於 夫 人 引 
X88n1646_024:0225a14	之遊於蓮池。見有朝服而坐華上者。曰此馬圩．楊傑	之 遊 於 蓮 池 見 有 朝 服 而 坐 華 上 者 曰 此 馬 圩 楊 傑 
X88n1646_024:0225a15	也。時傑已化去。而仲玉尚無恙。崇寧元年得疾。盥沐	也 時 傑 已 化 去 而 仲 玉 尚 無 恙 崇 寧 元 年 得 疾 盥 沐 
X88n1646_024:0225a16	易衣端坐念佛而逝。有氣如青盖騰空而上。已而家	易 衣 端 坐 念 佛 而 逝 有 氣 如 青 盖 騰 空 而 上 已 而 家 
X88n1646_024:0225a17	人十數同夢仲玉曰。吾已得生淨土上品矣。其秋有	人 十 數 同 夢 仲 玉 曰 吾 已 得 生 淨 土 上 品 矣 其 秋 有 
X88n1646_024:0225a18	婢臥疾。亦念佛而逝。子永逸亦行十念法。習十六觀。	婢 臥 疾 亦 念 佛 而 逝 子 永 逸 亦 行 十 念 法 習 十 六 觀 
X88n1646_024:0225a19	閱三十餘年。已而得疾。見阿彌陀佛及二菩薩來接	閱 三 十 餘 年 已 而 得 疾 見 阿 彌 陀 佛 及 二 菩 薩 來 接 
X88n1646_024:0225a20	引。結印示寂。香氣滿室中。既殮。柩上產五色華。其光	引 結 印 示 寂 香 氣 滿 室 中 既 殮 柩 上 產 五 色 華 其 光 
X88n1646_024:0225a21	爛然(樂邦文類)。	爛 然 樂 邦 文 類 
X88n1646_024:0225a22	左伸天台臨海人。從法師神照受菩薩戒。遂造西方	左 伸 天 台 臨 海 人 從 法 師 神 照 受 菩 薩 戒 遂 造 西 方 
X88n1646_024:0225a23	三聖像求生淨土。誦法華經三千四百部。金剛經二	三 聖 像 求 生 淨 土 誦 法 華 經 三 千 四 百 部 金 剛 經 二 
X88n1646_024:0225a24	萬卷。紹聖二年秋有疾。命其子沙門淨圓唱法華首	萬 卷 紹 聖 二 年 秋 有 疾 命 其 子 沙 門 淨 圓 唱 法 華 首 
X88n1646_024:0225b01	題。已而夢三偉人立江臯。召伸登舟。復請僧誦阿彌	題 已 而 夢 三 偉 人 立 江 臯 召 伸 登 舟 復 請 僧 誦 阿 彌 
X88n1646_024:0225b02	陀經。遽曰。我已見佛光。即端坐結印而化(法華持驗記．佛祖統	陀 經 遽 曰 我 已 見 佛 光 即 端 坐 結 印 而 化 法 華 持 驗 記 佛 祖 統 
X88n1646_024:0225b03	記)。	記 
X88n1646_024:0225b04	范儼仁和人。居常蔬食。不牽世緣。曰百年旅泊耳。尚	范 儼 仁 和 人 居 常 蔬 食 不 牽 世 緣 曰 百 年 旅 泊 耳 尚 
X88n1646_024:0225b05	何求哉。日誦法華經。手書一部。求生淨土。大觀中忽	何 求 哉 日 誦 法 華 經 手 書 一 部 求 生 淨 土 大 觀 中 忽 
X88n1646_024:0225b06	見普賢乘六牙白象放金色光謂儼曰。汝常誦法華。	見 普 賢 乘 六牙白象 放 金 色 光 謂 儼 曰 汝 常 誦 法 華 
X88n1646_024:0225b07	念彌陀佛。得生淨土。故來相報。越一夕。覩眾聖授手。	念 彌 陀 佛 得 生 淨 土 故 來 相 報 越 一 夕 覩 眾 聖 授 手 
X88n1646_024:0225b08	就座合掌而逝(佛祖統記)。	就 座 合 掌 而 逝 佛 祖 統 記 
X88n1646_024:0225b09	胡達夫名闉。錢塘人。官宣義郎。為人坦易。好吟咏。好	胡 達 夫 名 闉 錢 塘 人 官 宣 義 郎 為 人 坦 易 好 吟 咏 好 
X88n1646_024:0225b10	遊山水。亦信向佛法。未能入也。晚年致政。與清照律	遊 山 水 亦 信 向 佛 法 未 能 入 也 晚 年 致 政 與 清 照 律 
X88n1646_024:0225b11	師遊。一日感疾。其子請清照過之。謂曰。達夫平生與	師 遊 一 日 感 疾 其 子 請 清 照 過 之 謂 曰 達 夫 平 生 與 
X88n1646_024:0225b12	慧亨相善。豈可不知末後大事乎。達夫曰。將謂心淨	慧 亨 相 善 豈 可 不 知 末 後 大 事 乎 達 夫 曰 將 謂 心 淨 
X88n1646_024:0225b13	則土淨也。清照曰。達夫一切時中無雜念染污否。曰	則 土 淨 也 清 照 曰 達 夫 一 切 時 中 無 雜 念 染 污 否 曰 
X88n1646_024:0225b14	未能也。清照曰。如此安能心淨土淨耶。達夫曰。經言	未 能 也 清 照 曰 如 此 安 能 心 淨 土 淨 耶 達 夫 曰 經 言 
X88n1646_024:0225b15	一稱阿彌陀佛。能滅八十億劫生死之罪。何也。清照	一 稱 阿 彌 陀 佛 能 滅 八 十 億 劫 生 死 之 罪 何 也 清 照 
X88n1646_024:0225b16	曰。阿彌陀佛有大誓願。有大威德。光明神力不可思	曰 阿 彌 陀 佛 有 大 誓 願 有 大 威 德 光 明 神 力 不 可 思 
X88n1646_024:0225b17	議。具如經說。以是一稱洪名罪垢自消。如赫日正中	議 具 如 經 說 以 是 一 稱 洪 名 罪 垢 自 消 如 赫 日 正 中 
X88n1646_024:0225b18	霜雪何有。達夫大感悟。遂一心稱佛名。請僧為之助。	霜 雪 何 有 達 夫 大 感 悟 遂 一 心 稱 佛 名 請 僧 為 之 助 
X88n1646_024:0225b19	累月。最後清照至。達夫曰。此來何晚。已煩觀音勢至	累 月 最 後 清 照 至 達 夫 曰 此 來 何 晚 已 煩 觀 音 勢 至 
X88n1646_024:0225b20	降臨甚久。清照與眾僧同舉佛名。達夫安然而化(樂邦	降 臨 甚 久 清 照 與 眾 僧 同 舉 佛 名 達 夫 安 然 而 化 樂 邦 
X88n1646_024:0225b21	文類)。	文 類 
X88n1646_024:0225b22	孫忭錢塘人。號無諍居士。幼學易。歎曰。窮理盡性。易	孫 忭 錢 塘 人 號 無 諍 居 士 幼 學 易 歎 曰 窮 理 盡 性 易 
X88n1646_024:0225b23	之教也。烏用于祿為。遂掩關晦迹。居絕俗務。沙門守	之 教 也 烏 用 于 祿 為 遂 掩 關 晦 迹 居 絕 俗 務 沙 門 守 
X88n1646_024:0225b24	寧與之交。謂曰。白樂天以儒修身。以釋治心。君聞之	寧 與 之 交 謂 曰 白 樂 天 以 儒 修 身 以 釋 治 心 君 聞 之 
X88n1646_024:0225c01	乎。忭有省。遂日閱華嚴．金剛諸經。以淨土為歸。母龔	乎 忭 有 省 遂 日 閱 華 嚴 金 剛 諸 經 以 淨 土 為 歸 母 龔 
X88n1646_024:0225c02	氏誦阿彌陀經。持佛名。晝夜不輟。偶得疾。請清照律	氏 誦 阿 彌 陀 經 持 佛 名 晝 夜 不 輟 偶 得 疾 請 清 照 律 
X88n1646_024:0225c03	師指示西歸。說法未終。端坐而化。老妾于氏亦專持	師 指 示 西 歸 說 法 未 終 端 坐 而 化 老 妾 于 氏 亦 專 持 
X88n1646_024:0225c04	佛名。忽夢龔氏告曰。吾已得生淨土矣。汝後七日亦	佛 名 忽 夢 龔 氏 告 曰 吾 已 得 生 淨 土 矣 汝 後 七 日 亦 
X88n1646_024:0225c05	當來也。至期果逝。頃之。忭夢至蓮池。見清照在側。旁	當 來 也 至 期 果 逝 頃 之 忭 夢 至 蓮 池 見 清 照 在 側 旁 
