T85n2902_001:1435c08	法句經疏	法 句 經 疏 
T85n2902_001:1440a02	則無。故論言。心生則種種法生。心滅則種種	則 無 故 論 言 心 生 則 種 種 法 生 心 滅 則 種 種 
T85n2902_001:1440a03	法滅也。下約分別性說。文中初釋。次結。如石	法 滅 也 下 約 分 別 性 說 文 中 初 釋 次 結 如 石 
T85n2902_001:1440a04	女兒者。石女無兒。則善惡靡分。妄計興念。豈	女 兒 者 石 女 無 兒 則 善 惡 靡 分 妄 計 興 念 豈 
T85n2902_001:1440a05	不謬乎。如電久住者。萬法無實。念念不亭。如	不 謬 乎 如 電 久 住 者 萬 法 無 實 念 念 不 亭 如 
T85n2902_001:1440a06	電尋滅何得久住。若住生終不滅。住滅終不	電 尋 滅 何 得 久 住 若 住 生 終 不 滅 住 滅 終 不 
T85n2902_001:1440a07	生。良以滅故不住生。生故不住滅。滅故不住	生 良 以 滅 故 不 住 生 生 故 不 住 滅 滅 故 不 住 
T85n2902_001:1440a08	生則生是空生。生故不住滅滅則是空滅。生	生 則 生 是 空 生 生 故 不 住 滅 滅 則 是 空 滅 生 
T85n2902_001:1440a09	滅尚空。焉得有住也。論言。諸行生滅不住。無	滅 尚 空 焉 得 有 住 也 論 言 諸 行 生 滅 不 住 無 
T85n2902_001:1440a10	自性故空。識等既然。色亦如是。始從嬰兒終	自 性 故 空 識 等 既 然 色 亦 如 是 始 從 嬰 兒 終 
T85n2902_001:1440a11	至老年。十時改變。一念不亭。非空如幻也。龜	至 老 年 十 時 改 變 一 念 不 亭 非 空 如 幻 也 龜 
T85n2902_001:1440a12	老兔角類可知也。下第三觀益中有二。初明修	老 兔 角 類 可 知 也 下 第 三 觀 益 中 有 二 初 明 修 
T85n2902_001:1440a13	之成益。第二一切眾生已下。明不修致損。前	之 成 益 第 二 一 切 眾 生 已 下 明 不 修 致 損 前 
T85n2902_001:1440a14	中復二。初牒結。上來修學觀人勸勵。智者當	中 復 二 初 牒 結 上 來 修 學 觀 人 勸 勵 智 者 當 
T85n2902_001:1440a15	如法性而觀。離生離滅。離有離無。亦有亦無。	如 法 性 而 觀 離 生 離 滅 離有離無 亦 有 亦 無 
T85n2902_001:1440a16	非有非無等。如世生盲未曾覩色。雖對青黃	非有非無 等 如 世 生 盲 未 曾 覩 色 雖 對 青 黃 
T85n2902_001:1440a17	無可分別。行者觀色知其性空不應分別。故	無 可 分 別 行 者 觀 色 知 其 性 空 不 應 分 別 故 
T85n2902_001:1440a18	言諸有智應除諸見等也。下第二正明觀益。	言 諸 有 智 應 除 諸 見 等 也 下 第 二 正 明 觀 益 
T85n2902_001:1440a19	尋遇善友久觀不已。自然悟無分別理。心與	尋 遇 善 友 久 觀 不 已 自 然 悟 無 分 別 理 心 與 
T85n2902_001:1440a20	理冥。境與神會。不久當得阿耨菩提。故言若	理 冥 境 與 神 會 不 久 當 得 阿耨菩提 故 言 若 
T85n2902_001:1440a21	不分別當知不久得無上菩提也。下明不修	不 分 別 當 知 不 久 得 無上菩提 也 下 明 不 修 
T85n2902_001:1440a22	損中有二。初明一切眾生心性無染具足恒	損 中 有 二 初 明 一 切 眾 生 心 性 無 染 具 足 恒 
T85n2902_001:1440a23	沙諸論功德。可謂自體有大智慧光明義乃	沙 諸 論 功 德 可 謂 自 體 有 大 智慧光明 義 乃 
T85n2902_001:1440a24	至自性清淨義。然為無始無明客塵煩惱隱	至 自 性 清 淨 義 然 為 無 始 無 明 客塵煩惱 隱 
T85n2902_001:1440a25	於自心。不得顯用。妄執根塵。計之為實。而	於 自 心 不 得 顯 用 妄 執 根 塵 計 之 為 實 而 
T85n2902_001:1440a26	增愛深。故言一切眾生為諸煩惱弊於惠目	增 愛 深 故 言 一 切 眾 生 為 諸 煩 惱 弊 於 惠 目 
T85n2902_001:1440a27	乃至如起貪著也。二明因之造業隨還三界	乃 至 如 起 貪 著 也 二 明 因 之 造 業 隨 還 三 界 
T85n2902_001:1440a28	也。	也 
T85n2902_001:1440a29	自下大文第三勸近善友。於中有三。初正勸	自 下 大 文 第 三 勸 近 善 友 於 中 有 三 初 正 勸 
T85n2902_001:1440b01	寶明請問善智識相。第二佛言下答。第三善	寶 明 請 問 善 智 識 相 第 二 佛 言 下 答 第 三 善 
T85n2902_001:1440b02	知識有如下總結也。答中有二。初明善知識。	知 識 有 如 下 總 結 也 答 中 有 二 初 明 善 知 識 
T85n2902_001:1440b03	洞達深義。解窮法性。方可利人堪為善友。二	洞 達 深 義 解 窮 法 性 方 可 利 人 堪 為 善 友 二 
T85n2902_001:1440b04	明依解起行隨緣益物。正彰善友功能。亦可	明 依 解 起 行 隨 緣 益 物 正 彰 善 友 功 能 亦 可 
T85n2902_001:1440b05	自明善友自利德。後明利他德也。前中復二。	自 明 善 友 自 利 德 後 明 利 他 德 也 前 中 復 二 
T85n2902_001:1440b06	初舉智論境。直談法性理深。第二了達已下	初 舉 智 論 境 直 談 法 性 理 深 第 二 了 達 已 下 
T85n2902_001:1440b07	舉境論智。正明善友功力。前中初總。次別	舉 境 論 智 正 明 善 友 功 力 前 中 初 總 次 別 
T85n2902_001:1440b08	總者法性理玄。唯佛乃窮。諸餘不聖未測其	總 者 法 性 理 玄 唯 佛 乃 窮 諸 餘 不 聖 未 測 其 
T85n2902_001:1440b09	原。名為深法也。自下別明。即是三空門也。智	原 名 為 深 法 也 自 下 別 明 即 是 三 空 門 也 智 
T85n2902_001:1440b10	論言。觀諸法空名為空。於空中不可取相。是	論 言 觀 諸 法 空 名 為 空 於 空 中 不 可 取 相 是 
T85n2902_001:1440b11	時空轉名無相。無相中不應有所作。是時無	時 空 轉 名 無 相 無 相 中 不 應 有 所 作 是 時 無 
T85n2902_001:1440b12	相轉名無作。以是三門觀世間即是涅槃何	相 轉 名 無 作 以 是 三 門 觀 世 間 即 是 涅 槃 何 
T85n2902_001:1440b13	以故。涅槃空無相無作。世間亦如是。彼問	以 故 涅 槃 空 無 相 無 作 世 間 亦 如 是 彼 問 
T85n2902_001:1440b14	曰。如經說涅槃一門。今何以說三。答曰。法雖	曰 如 經 說 涅 槃 一 門 今 何 以 說 三 答 曰 法 雖 
T85n2902_001:1440b15	是一而義有三。存為應度者有三故說三門。	是 一 而 義 有 三 存 為 應 度 者 有 三 故 說 三 門 
T85n2902_001:1440b16	有愛多者見多者愛見等者。見多者為說空	有 愛 多 者 見 多 者 愛 見 等 者 見 多 者 為 說 空 
T85n2902_001:1440b17	解脫門。觀一切法從因緣生無有自性。無自	解 脫 門 觀 一 切 法 從因緣生 無 有 自 性 無 自 
T85n2902_001:1440b18	性故空。空故諸見滅。愛多者為說無作解脫	性 故 空 空 故 諸 見 滅 愛 多 者 為 說 無 作 解 脫 
T85n2902_001:1440b19	門。見一切法無常苦從因緣生。見己心厭離	門 見 一 切 法 無 常 苦 從因緣生 見 己 心 厭 離 
T85n2902_001:1440b20	愛則得入道。愛見等者為說無相解脫門。聞	愛 則 得 入 道 愛 見 等 者 為 說 無相解脫門 聞 
T85n2902_001:1440b21	是男女等相無故斷愛。一異等相無故斷見	是 男 女 等 相 無 故 斷 愛 一 異 等 相 無 故 斷 見 
T85n2902_001:1440b22	也。故言空無相無作也。理體常寂故無生滅。	也 故 言 空 無 相 無 作 也 理 體 常 寂 故 無 生 滅 
T85n2902_001:1440b23	下明善友功力。初釋。後結。釋中初總。次別。	下 明 善 友 功 力 初 釋 後 結 釋 中 初 總 次 別 
T85n2902_001:1440b24	了達諸法究竟平等者。萬法雖眾無性理同	了 達 諸 法 究 竟 平 等 者 萬 法 雖 眾 無 性 理 同 
T85n2902_001:1440b25	名為平等。別中初言無業者。業從緣生。竟無	名 為 平 等 別 中 初 言 無 業 者 業 從 緣 生 竟 無 
T85n2902_001:1440b26	自體。安得為有也。何者且如殺業。竟假眾緣。	自 體 安 得 為 有 也 何 者 且 如 殺 業 竟 假 眾 緣 
T85n2902_001:1440b27	一內心欲殺。及貪嗔煩惱以之為因。二有刀杖	一 內 心 欲 殺 及 貪 嗔 煩 惱 以 之 為 因 二 有 刀 杖 
T85n2902_001:1440b28	空明及所殺境以為外緣。因緣具故作業方	空 明 及 所 殺 境 以 為 外 緣 因 緣 具 故 作 業 方 
T85n2902_001:1440b29	成。來無所從。滅無所至。殺業既爾。盜等亦	成 來 無 所 從 滅 無 所 至 殺 業 既 爾 盜 等 亦 
T85n2902_001:1440c01	然。但心無或。縱有空明業亦不成。雖有刀杖	然 但 心 無 或 縱 有 空 明 業 亦 不 成 雖 有 刀 杖 
T85n2902_001:1440c02	等具。若離於心及所起煩惱業亦不成。因緣	等 具 若 離 於 心 及 所 起 煩 惱 業 亦 不 成 因 緣 
T85n2902_001:1440c03	無性各不自生。有無共法。內外推求。竟無所	無 性 各 不 自 生 有 無 共 法 內 外 推 求 竟 無 所 
T85n2902_001:1440c04	從。雖為起者所起如幻。何得有實。故論言。業	從 雖 為 起 者 所 起 如 幻 何 得 有 實 故 論 言 業 
T85n2902_001:1440c05	不從緣生。不從非緣生。是故則無有能起於	不 從 緣 生 不 從 非 緣 生 是 故 則 無 有 能 起 於 
T85n2902_001:1440c06	業者也。無報者報不自生。竟從或業而生。煩	業 者 也 無 報 者 報 不 自 生 竟 從 或 業 而 生 煩 
T85n2902_001:1440c07	惱與業自體尚空。所生果報豈得為有。故論	惱 與 業 自 體 尚 空 所 生 果 報 豈 得 為 有 故 論 
T85n2902_001:1440c08	言。諸煩惱及業是說身因緣。煩惱諸業空。何	言 諸 煩 惱 及 業 是 說 身 因 緣 煩 惱 諸 業 空 何 
T85n2902_001:1440c09	況於諸身也。無因無果者。凡論因果之法無	況 於 諸 身 也 無 因 無 果 者 凡 論 因 果 之 法 無 
T85n2902_001:1440c10	有決定。離有離無。不生不滅。非先非後亦	有 決 定 離有離無 不生不滅 非 先 非 後 亦 
T85n2902_001:1440c11	非一時。何者夫言因義對果為名。果若未生	非 一 時 何 者 夫 言 因 義 對 果 為 名 果 若 未 生 
T85n2902_001:1440c12	因何所寄。要待果生方受其名。故知無性何	因 何 所 寄 要 待 果 生 方 受 其 名 故 知 無 性 何 
T85n2902_001:1440c13	得為有。又因無定性隨緣改。而果若不生未	得 為 有 又 因 無 定 性 隨 緣 改 而 果 若 不 生 未 
T85n2902_001:1440c14	剋。誰因當容有實也。又因若有實而生果者。	剋 誰 因 當 容 有 實 也 又 因 若 有 實 而 生 果 者 
T85n2902_001:1440c15	為有故生。為無故生果。若先有不須更生。以	為 有 故 生 為 無 故 生 果 若 先 有 不 須 更 生 以 
T85n2902_001:1440c16	先有故。若其先無何由可生。先無性故。假令	先 有 故 若 其 先 無 何 由 可 生 先 無 性 故 假 令 
T85n2902_001:1440c17	半有半無。而復相違亦無生義。但因生果。不	半 有 半 無 而 復 相 違 亦 無 生 義 但 因 生 果 不 
T85n2902_001:1440c18	出此三。三中既無因義。要在因既由果得名。	出 此 三 三 中 既 無 因 義 要 在 因 既 由 果 得 名 
T85n2902_001:1440c19	果復從因受稱。若因在先可使從生名。果要	果 復 從 因 受 稱 若 因 在 先 可 使 從 生 名 果 要 
T85n2902_001:1440c20	由果生方得為因。則知先無體。何故從生而	由 果 生 方 得 為 因 則 知 先 無 體 何 故 從 生 而 
T85n2902_001:1440c21	云為果。此雖因果熾然而恒寂滅也。性謂體	云 為 果 此 雖 因 果 熾 然 而 恒 寂 滅 也 性 謂 體 
T85n2902_001:1440c22	性。起用為相。性相俱空稱曰如如。如收萬法。	性 起 用 為 相 性 相 俱 空 稱 曰 如 如 如 收 萬 法 
T85n2902_001:1440c23	統無不盡。名往實際也。物從緣故不有。緣起	統 無 不 盡 名 往 實 際 也 物 從 緣 故 不 有 緣 起 
T85n2902_001:1440c24	故不無。雖不是於有無而不捨。於有無無為。	故 不 無 雖 不 是 於 有 無 而 不 捨 於 有 無 無 為 
T85n2902_001:1440c25	而無所不為無相。亦無所不相。故言於畢竟	而 無 所 不 為 無 相 亦 無 所 不 相 故 言 於 畢 竟 
T85n2902_001:1440c26	空中熾然建立也。下第二結。若能如上觀察	空 中 熾 然 建 立 也 下 第 二 結 若 能 如 上 觀 察 
T85n2902_001:1440c27	證之相應。方是眾生真善知識。故言名善知	證 之 相 應 方 是 眾 生 真 善 知 識 故 言 名 善 知 
T85n2902_001:1440c28	識也。下明善友功能。隨機利物。於中約喻彰	識 也 下 明 善 友 功 能 隨 機 利 物 於 中 約 喻 彰 
T85n2902_001:1440c29	德。文有十二一。則一一文中皆有三句。初牒。次	德 文 有 十 二 一 則 一 一 文 中 皆 有 三 句 初 牒 次 
T85n2902_001:1441a01	喻。三明善友功能。前生蒙益也。初云父母	喻 三 明 善 友 功 能 前 生 蒙 益 也 初 云 父 母 
T85n2902_001:1441a02	者。第二喻也。此中借淺況深。故以父母為譬。	者 第 二 喻 也 此 中 借 淺 況 深 故 以 父 母 為 譬 
T85n2902_001:1441a03	若校量功力亦未方其大恩。世間父母養子。	若 校 量 功 力 亦 未 方 其 大 恩 世 間 父 母 養 子 
T85n2902_001:1441a04	但成八尺危脆之身。容勉水火等難。又怖之	但 成 八 尺 危 脆 之 身 容 勉 水 火 等 難 又 怖 之 
T85n2902_001:1441a05	報恩浩天罔極。況出世善友養育。終成三佛	報 恩 浩 天 罔 極 況 出 世 善 友 養 育 終 成 三 佛 
T85n2902_001:1441a06	菩提金剛之體。遠離生死長劫等苦。無心求	菩 提 金 剛 之 體 遠 離 生 死 長 劫 等 苦 無 心 求 
T85n2902_001:1441a07	報也。何者一切眾生身心萬法皆由藏識而	報 也 何 者 一 切 眾 生 身 心 萬 法 皆 由 藏 識 而 
T85n2902_001:1441a08	生。識不自生。復由惑業重習。此二相依幻	生 識 不 自 生 復 由 惑 業 重 習 此 二 相 依 幻 
T85n2902_001:1441a09	生果報。報從緣起無有自體。從本已來不生	生 果 報 報 從 緣 起 無 有 自 體 從 本 已 來 不 生 
T85n2902_001:1441a10	不滅。即是性淨菩提。故起信論言。明五陰法	不 滅 即 是 性 淨 菩 提 故 起 信 論 言 明 五 陰 法 
T85n2902_001:1441a11	自性不生則無有滅。本來涅槃故。上經又言。	自 性 不 生 則 無 有 滅 本 來 涅 槃 故 上 經 又 言 
T85n2902_001:1441a12	於三處中無有實法。即為解脫。解脫者即菩	於 三 處 中 無 有 實 法 即 為 解 脫 解 脫 者 即 菩 
T85n2902_001:1441a13	提也。始從凡夫上至諸佛。皆以之為體。無始	提 也 始 從 凡 夫 上 至 諸 佛 皆 以 之 為 體 無 始 
T85n2902_001:1441a14	已來無明不了。妄執我法轉生死。爾來無始	已 來 無 明 不 了 妄 執 我 法 轉 生 死 爾 來 無 始 
T85n2902_001:1441a15	諸佛菩薩證之究竟了知。眾生與己同體。愍	諸佛菩薩 證 之 究 竟 了 知 眾 生 與 己 同 體 愍 
T85n2902_001:1441a16	而不已。發大慈悲。遂語眾生。汝之身心本來	而 不 已 發 大 慈 悲 遂 語 眾 生 汝 之 身 心 本 來 
T85n2902_001:1441a17	無生。究竟寂滅。與我無別。何故自生迷惑	無 生 究竟寂滅 與 我 無 別 何 故 自 生 迷 惑 
T85n2902_001:1441a18	沈溺三有。然以眾生謂有念動生滅。我所差	沈 溺 三 有 然 以 眾 生 謂 有 念 動 生 滅 我 所 差 
T85n2902_001:1441a19	別目屬無。明心之解了功力。猶是本覺用。諸	別 目 屬 無 明 心 之 解 了 功 力 猶 是 本 覺 用 諸 
T85n2902_001:1441a20	佛菩薩所有言教。從最清淨法界慈悲心流。	佛 菩 薩 所 有 言 教 從 最 清 淨 法 界 慈 悲 心 流 
T85n2902_001:1441a21	亦是本覺用。此二體同而復用融。以體同用	亦 是 本 覺 用 此 二 體 同 而 復 用 融 以 體 同 用 
T85n2902_001:1441a22	融。故聞便信受。隨分思量。久思不已。遂悟	融 故 聞 便 信 受 隨 分 思 量 久 思 不 已 遂 悟 
T85n2902_001:1441a23	自心緣境故生。生由於境則起。不屬心未曾	自 心 緣 境 故 生 生 由 於 境 則 起 不 屬 心 未 曾 
T85n2902_001:1441a24	是生。境不自生。復從心起。雖非是生亦不是	是 生 境 不 自 生 復 從 心 起 雖 非 是 生 亦 不 是 
T85n2902_001:1441a25	滅。既無生無滅。本來空寂。豈非涅槃。但作比	滅 既 無生無滅 本 來 空 寂 豈 非 涅 槃 但 作 比 
T85n2902_001:1441a26	觀。無明漸薄所觀理顯。緣生觀智。觀智轉明。	觀 無 明 漸 薄 所 觀 理 顯 緣 生 觀 智 觀 智 轉 明 
T85n2902_001:1441a27	復顯於理。理為所觀所乘。智是能觀能乘。境	復 顯 於 理 理 為 所 觀 所 乘 智 是 能 觀 能 乘 境 
T85n2902_001:1441a28	智相乘三祇圓滿。所觀理顯名為法身。即性	智 相 乘 三 祇 圓 滿 所 觀 理 顯 名 為 法 身 即 性 
T85n2902_001:1441a29	淨菩提。能觀智滿成應化二身。即方便淨菩	淨 菩 提 能 觀 智 滿 成 應 化 二 身 即 方 便 淨 菩 
T85n2902_001:1441b01	提。如此大事功由善友成辨。故言養育汝等	提 如 此 大 事 功 由 善 友 成 辨 故 言 養 育 汝 等 
T85n2902_001:1441b02	菩提身故。是汝眼目者。昔未逢善友。無明	菩 提 身 故 是 汝 眼 目 者 昔 未 逢 善 友 無 明 
T85n2902_001:1441b03	所盲造惡。履危顛墜三途。今蒙善友嘉誨。依	所 盲 造 惡 履 危 顛 墜 三 途 今 蒙 善 友 嘉 誨 依 
T85n2902_001:1441b04	之修習方踐如來所行之迹。如人有目遊之	之 修 習 方 踐 如 來 所 行 之 迹 如 人 有 目 遊 之 
T85n2902_001:1441b05	正道。故言示導汝等菩提路故。是汝脚足者。	正 道 故 言 示 導 汝 等 菩 提 路 故 是 汝 脚 足 者 
T85n2902_001:1441b06	隨逐惡人則常沒生死。善友護持則請昇出	隨 逐 惡 人 則 常 沒 生 死 善 友 護 持 則 請 昇 出 
T85n2902_001:1441b07	離。事同脚足遠有所涉。故言荷負汝等離生	離 事 同 脚 足 遠 有 所 涉 故 言 荷 負 汝 等 離 生 
T85n2902_001:1441b08	死故。是汝梯橙者。又處生死如在深坑。善友	死 故 是 汝 梯 橙 者 又 處 生 死 如 在 深 坑 善 友 
T85n2902_001:1441b09	策勵則階之有期。故言扶恃汝等至彼岸故。	策 勵 則 階 之 有 期 故 言 扶 恃 汝 等 至 彼 岸 故 
T85n2902_001:1441b10	是汝飲食者。為惡自纏則損害法身。善友示	是 汝 飲 食 者 為 惡 自 纏 則 損 害 法 身 善 友 示 
T85n2902_001:1441b11	教令修解行資成本性。譬同飲食。故言能使	教 令 修 解 行 資 成 本 性 譬 同 飲 食 故 言 能 使 
T85n2902_001:1441b12	汝等增長法身故。是汝寶衣者。無始已來不	汝 等 增 長 法 身 故 是 汝 寶 衣 者 無始已來 不 
T85n2902_001:1441b13	善熏習。染污淨心漂輸五道。今依善友修習	善 熏 習 染 污 淨 心 漂 輸 五 道 今 依 善 友 修 習 
T85n2902_001:1441b14	破染興淨功德。法身不改隨流事同寶衣覆蓋	破 染 興 淨 功 德 法 身 不 改 隨 流 事 同 寶 衣 覆 蓋 
T85n2902_001:1441b15	諸塵不染。故言覆蓋汝等功德身故。是汝橋	諸 塵 不 染 故 言 覆 蓋 汝 等 功 德 身 故 是 汝 橋 
T85n2902_001:1441b16	梁者。聖者慈悲利物無厭。故能長處生死濟	梁 者 聖 者 慈 悲 利 物 無 厭 故 能 長 處 生 死 濟 
T85n2902_001:1441b17	度群品。譬如橋梁載之無倦。故言運載汝等	度 群 品 譬 如 橋 梁 載 之 無 倦 故 言 運 載 汝 等 
T85n2902_001:1441b18	度有海故。有謂。三有欲有色有無色有。此之	度 有 海 故 有 謂 三 有 欲 有 色 有 無 色 有 此 之 
T85n2902_001:1441b19	三有生死沈溺眾生。深而且廣。故譬之如海	三 有 生 死 沈 溺 眾 生 深 而 且 廣 故 譬 之 如 海 
T85n2902_001:1441b20	也。是汝財寶者。一切眾生從本已來。具有無	也 是 汝 財 寶 者 一 切 眾 生 從 本 已 來 具 有 無 
T85n2902_001:1441b21	量本覺恒沙功德。但以無明隱覆不得顯用	量 本 覺 恒 沙 功 德 但 以 無 明 隱 覆 不 得 顯 用 
T85n2902_001:1441b22	於心。譬如窮子。亦同貧女寶藏。今蒙善友開	於 心 譬 如 窮 子 亦 同 貧 女 寶 藏 今 蒙 善 友 開 
T85n2902_001:1441b23	導顯示見真實身內明珠。似如長者出庫藏	導 顯 示 見 真 實 身 內 明 珠 似 如 長 者 出 庫 藏 
T85n2902_001:1441b24	奇珍委付其子。故言救攝汝等離貧苦故。是	奇 珍 委 付 其 子 故 言 救 攝 汝 等 離 貧 苦 故 是 
T85n2902_001:1441b25	汝日月者。無明翳理事同於暗。依憑善友。順	汝 日 月 者 無 明 翳 理 事 同 於 暗 依 憑 善 友 順 
T85n2902_001:1441b26	理觀察。解生惑喪。如日除昏。故言照曜汝等	理 觀 察 解 生 惑 喪 如 日 除 昏 故 言 照 曜 汝 等 
T85n2902_001:1441b27	離黑暗故。是汝身命者。寶命重生初我俱。然	離 黑 暗 故 是 汝 身 命 者 寶 命 重 生 初 我 俱 然 
T85n2902_001:1441b28	此心相續恒無間斷。聖人亦爾。護念眾生未	此 心 相 續 恒 無 間 斷 聖 人 亦 爾 護 念 眾 生 未 
T85n2902_001:1441b29	曾暫捨。現則安然自在。隨心所適終報出世	曾 暫 捨 現 則 安 然 自 在 隨 心 所 適 終 報 出 世 
T85n2902_001:1441c01	常身命財。故言護惜汝等無有時故。是汝鎧	常 身 命 財 故 言 護 惜 汝 等 無 有 時 故 是 汝 鎧 
T85n2902_001:1441c02	仗者。鎧仗防身則外息強怨。依友自固則魔	仗 者 鎧 仗 防 身 則 外 息 強 怨 依 友 自 固 則 魔 
T85n2902_001:1441c03	不能為。故言降伏汝等諸魔得無畏故。魔謂	不 能 為 故 言 降 伏 汝 等 諸 魔 得 無 畏 故 魔 謂 
T85n2902_001:1441c04	四魔。一者煩惱魔。二謂陰魔。三曰天魔。四	四 魔 一 者 煩 惱 魔 二 謂 陰 魔 三 曰 天 魔 四 
T85n2902_001:1441c05	是外道也。是汝絙繩者。三界繫閉猶如牢獄。	是 外 道 也 是 汝 絙 繩 者 三 界 繫 閉 猶 如 牢 獄 
T85n2902_001:1441c06	善友慈悲拔苦施安。如被囚執仗人維維。故	善 友 慈 悲 拔 苦 施 安 如 被 囚 執 仗 人 維 維 故 
T85n2902_001:1441c07	言挽拔汝等離地獄故。是汝妙藥者。法能遣	言 挽 拔 汝 等 離 地 獄 故 是 汝 妙 藥 者 法 能 遣 
T85n2902_001:1441c08	惑事同良藥。稟之修行擬無不碎。如人服飲	惑 事 同 良 藥 稟 之 修 行 擬 無 不 碎 如 人 服 飲 
T85n2902_001:1441c09	藥。行至處有病斯遣。故言療治汝等煩惱病	藥 行 至 處 有 病 斯 遣 故 言 療 治 汝 等 煩 惱 病 
T85n2902_001:1441c10	故也。是汝利刀者。稽流生死寔由於愛。覃羅	故 也 是 汝 利 刀 者 稽 流 生 死 寔 由 於 愛 覃 羅 
T85n2902_001:1441c11	行者事同其網。善友教導竟能破裂。似如利	行 者 事 同 其 網 善 友 教 導 竟 能 破 裂 似 如 利 
T85n2902_001:1441c12	刀有物斯斷。故言割斷汝等諸愛網故也。是	刀 有 物 斯 斷 故 言 割 斷 汝 等 諸 愛 網 故 也 是 
T85n2902_001:1441c13	汝時雨者。卉木將枯雨潤便生。善友利人	汝 時 雨 者 卉 木 將 枯 雨 潤 便 生 善 友 利 人 
T85n2902_001:1441c14	則道牙茲茂事同甘雨滂沱萌牙普洽。故言	則 道 牙 茲 茂 事 同 甘 雨 滂 沱 萌 牙 普 洽 故 言 
T85n2902_001:1441c15	潤清汝等菩提牙故也。是汝明燈者。智體清	潤 清 汝 等 菩 提 牙 故 也 是 汝 明 燈 者 智 體 清 
T85n2902_001:1441c16	潔能造蓋纏。類以明燈暗無不破。正由善友	潔 能 造 蓋 纏 類 以 明 燈 暗 無 不 破 正 由 善 友 
T85n2902_001:1441c17	功力此事方成。故能破汝等五蓋暗故。五蓋	功 力 此 事 方 成 故 能 破 汝 等 五 蓋 暗 故 五 蓋 
T85n2902_001:1441c18	者。一貪欲。二瞋恚。三睡眠。四掉悔。五疑	者 一 貪 欲 二 瞋 恚 三 睡 眠 四 掉 悔 五 疑 
T85n2902_001:1441c19	也。是汝善標者。將度深河望樓。隣淺漸蒙得	也 是 汝 善 標 者 將 度 深 河 望 樓 隣 淺 漸 蒙 得 
T85n2902_001:1441c20	達。無復沈溺之憂。親近善友。順教修行。生	達 無 復 沈 溺 之 憂 親近善友 順 教 修 行 生 
T85n2902_001:1441c21	死大海度竟有期。故言教示汝等趣正道故。	死 大 海 度 竟 有 期 故 言 教 示 汝 等 趣 正 道 故 
T85n2902_001:1441c22	是汝薪火者。依友習智焚蕩惑薪。功成大果	是 汝 薪 火 者 依 友 習 智 焚 蕩 惑 薪 功 成 大 果 
T85n2902_001:1441c23	利益無崖。故言成熟汝等涅槃食故也。是汝	利 益 無 崖 故 言 成 熟 汝 等 涅 槃 食 故 也 是 汝 
T85n2902_001:1441c24	弓箭者。損害善根。其唯煩惱劫人功德。譬	弓 箭 者 損 害 善 根 其 唯 煩 惱 劫 人 功 德 譬 
T85n2902_001:1441c25	之如賊。懃修正觀殄之。在近箭傷惡人。其類	之 如 賊 懃 修 正 觀 殄 之 在 近 箭 傷 惡 人 其 類 
T85n2902_001:1441c26	是同。故言射殺汝等煩惱賊故也。是汝勇將	是 同 故 言 射 殺 汝 等 煩 惱 賊 故 也 是 汝 勇 將 
T85n2902_001:1441c27	者。強敵侵凌則憑之。猛將生死大軍。竟依	者 強 敵 侵 凌 則 憑 之 猛 將 生 死 大 軍 竟 依 
T85n2902_001:1441c28	善友方破。故言能破汝等生死軍故也。是如	善 友 方 破 故 言 能 破 汝 等 生 死 軍 故 也 是 如 
T85n2902_001:1441c29	來者。昔由無明在心違背己體。理外分別事	來 者 昔 由 無 明 在 心 違 背 己 體 理 外 分 別 事 
T85n2902_001:1442a01	同其志。今蒙善友修習返本還無。故曰如來。	同 其 志 今 蒙 善 友 修 習 返 本 還 無 故 曰 如 來 
T85n2902_001:1442a02	煩惱是客。虛無體性。正智若生不除自遣。故	煩 惱 是 客 虛 無 體 性 正 智 若 生 不 除 自 遣 故 
T85n2902_001:1442a03	言能破汝等煩惱至涅槃故也。第四勸近。如	言 能 破 汝 等 煩 惱 至 涅 槃 故 也 第 四 勸 近 如 
T85n2902_001:1442a04	文可知也。	文 可 知 也 
T85n2902_001:1442a05	自下大文第四寶明大眾聞法慶喜。於中有	自 下 大 文 第 四 寶 明 大 眾 聞 法 慶 喜 於 中 有 
T85n2902_001:1442a06	三。初明聞法歡喜。第二自念下若善友恩深	三 初 明 聞 法 歡 喜 第 二 自 念 下 若 善 友 恩 深 
T85n2902_001:1442a07	身心推動。第三爾時已下次明世尊悲念。前	身 心 推 動 第 三 爾 時 已 下 次 明 世 尊 悲 念 前 
T85n2902_001:1442a08	中有二。初明寶明大眾聞上所說。善友功能	中 有 二 初 明 寶 明 大 眾 聞 上 所 說 善 友 功 能 
T85n2902_001:1442a09	及聞深法。慶已所得悲喜交懷。故言聞說妙	及 聞 深 法 慶 已 所 得 悲 喜 交 懷 故 言 聞 說 妙 
T85n2902_001:1442a10	法乃至悲啼懊惱不能自裁也。自下第二以	法 乃 至 悲 啼 懊 惱 不 能 自 裁 也 自 下 第 二 以 
T85n2902_001:1442a11	今方古推功於昔。如上所明。善友恩德利益	今 方 古 推 功 於 昔 如 上 所 明 善 友 恩 德 利 益 
T85n2902_001:1442a12	眾生。其實若此。當知從本已來恒蒙善友慈	眾 生 其 實 若 此 當 知 從 本 已 來 恒 蒙 善 友 慈 
