T85n2815_001:1174a22	起信論註	起 信 論 註 
T85n2815_001:1177c08	□□粗斷彼正故曰唯識。問。何者尋思實智。	 粗 斷 彼 正 故 曰 唯 識 問 何 者 尋 思 實 智 
T85n2815_001:1177c09	答。實者了了智。世間法非總不所德猶幻無	答 實 者 了 了 智 世 間 法 非 總 不 所 德 猶 幻 無 
T85n2815_001:1177c10	一所實。故名尋思實智。亦名親證。真如方便	一 所 實 故 名 尋 思 實 智 亦 名 親 證 真 如 方 便 
T85n2815_001:1177c11	者。體正故曰方。助道曰故便。漸伏如是法執	者 體 正 故 曰 方 助 道 曰 故 便 漸 伏 如 是 法 執 
T85n2815_001:1177c12	分別。若一切隨眠種□正故但曰俱正。得地	分 別 若 一 切 隨 眠 種 正 故 但 曰 俱 正 得 地 
T85n2815_001:1177c13	上無漏淨心。證三無性遍滿真如。法執分別	上 無 漏 淨 心 證 三 無 性 遍 滿 真 如 法 執 分 別 
T85n2815_001:1177c14	種現俱正故淨心地究竟離也。	種 現 俱 正 故 淨 心 地 究 竟 離 也 
T85n2815_001:1177c15	論三者分別智相應染依具戒地漸離乃至無	論 三 者 分 別 智 相 應 染 依 具 戒 地 漸 離 乃 至 無 
T85n2815_001:1177c16	相方便地究竟離故　述曰。即五意中名為	相 方 便 地 究 竟 離 故 述 曰 即 五 意 中 名 為 
T85n2815_001:1177c17	智識。念慮染淨名分別智。猶分別此則是淨	智 識 念 慮 染 淨 名 分 別 智 猶 分 別 此 則 是 淨 
T85n2815_001:1177c18	此則是染。故曰慮也。亦分別智污淨心故名	此 則 是 染 故 曰 慮 也 亦 分 別 智 污 淨 心 故 名 
T85n2815_001:1177c19	之為染。從第二地至第六地入觀緣理分別	之 為 染 從 第 二 地 至 第 六 地 入 觀 緣 理 分 別 
T85n2815_001:1177c20	時。分分能除故云漸離。若至七地長時入觀	時 分 分 能 除 故 云 漸 離 若 至 七 地 長 時 入 觀 
T85n2815_001:1177c21	故此法執永不現行。猶數數須作意不作則	故 此 法 執 永 不 現 行 猶 數 數 須 作 意 不 作 則 
T85n2815_001:1177c22	恐失念。猶有作意法執在未能得任運。故曰	恐 失 念 猶 有 作 意 法 執 在 未 能 得 任 運 故 曰 
T85n2815_001:1177c23	法執也。第三地猶有分別染淨此則淨法此	法 執 也 第 三 地 猶 有 分 別 染 淨 此 則 淨 法 此 
T85n2815_001:1177c24	則染法。此分別智也。問。離何分別。只離分別	則 染 法 此 分 別 智 也 問 離 何 分 別 只 離 分 別 
T85n2815_001:1177c25	此則是法此則是染法。到第六地入觀緣理	此 則 是 法 此 則 是 染 法 到 第 六 地 入 觀 緣 理 
T85n2815_001:1177c26	離分別時故分分能除。故云漸離。若至七地	離 分 別 時 故 分 分 能 除 故 云 漸 離 若 至 七 地 
T85n2815_001:1177c27	長時入觀故此法永不現行。名究竟離。具戒	長 時 入 觀 故 此 法 永 不 現 行 名 究 竟 離 具 戒 
T85n2815_001:1177c28	地者即第二地。此地具足三聚淨戒。何三聚	地 者 即 第 二 地 此 地 具 足 三聚淨戒 何 三 聚 
T85n2815_001:1177c29	淨戒。答。為第三卷經性戒他不犯也。故無相	淨 戒 答 為 第 三 卷 經 性 戒 他 不 犯 也 故 無 相 
T85n2815_001:1178a01	方便即第七地。常作意住無相觀故。	方 便 即 第 七 地 常 作 意 住 無 相 觀 故 
T85n2815_001:1178a02	四者現色不相應染依色自在地能離故　述	四 者 現 色 不 相 應 染 依 色 自 在 地 能 離 故 述 
T85n2815_001:1178a03	曰。即五意中第三現色識。動心現境名為現	曰 即 五 意 中 第 三 現 色 識 動 心 現 境 名 為 現 
T85n2815_001:1178a04	色。能污淨心名之為染。相應義如下所明。八	色 能 污 淨 心 名 之 為 染 相 應 義 如 下 所 明 八 
T85n2815_001:1178a05	地能得相云自在。色性隨心名色自在。能澄	地 能 得 相 云 自 在 色 性 隨 心 名 色 自 在 能 澄 
T85n2815_001:1178a06	相土自在真如。菩薩到八地任運自在。八地	相 土 自 在 真 如 菩 薩 到 八 地 任 運 自 在 八 地 
T85n2815_001:1178a07	以前所智惠依無明起。若至八地一切所起	以 前 所 智 惠 依 無 明 起 若 至 八 地 一 切 所 起 
T85n2815_001:1178a08	智惠從真如起故自在。所變他自在。或變大	智 惠 從 真 如 起 故 自 在 所 變 他 自 在 或 變 大 
T85n2815_001:1178a09	海變成[蘇禾+又]樂。或變大地為金餘色。故曰相土	海 變 成 [蘇禾又] 樂 或 變 大 地 為 金 餘 色 故 曰 相 土 
T85n2815_001:1178a10	自在。或變身為滿虛空。或變身如界子。或生	自 在 或 變 身 為 滿 虛 空 或 變 身 如 界 子 或 生 
T85n2815_001:1178a11	畜生中。或生人中為他眾生故□□□□隨	畜 生 中 或 生 人 中 為 他 眾 生 故 隨 
T85n2815_001:1178a12	意受生故名自在。或一字中說一切法。或一	意 受 生 故 名 自 在 或 一 字 中 說 一 切 法 或 一 
T85n2815_001:1178a13	□□□□說故名如。現色境用從真而起無	 說 故 名 如 現 色 境 用 從 真 而 起 無 
T85n2815_001:1178a14	妄境界。從此永離故說現染此地能離。	妄 境 界 從 此 永 離 故 說 現 染 此 地 能 離 
T85n2815_001:1178a15	論五者能心不相應染依心自在地能離故	論 五 者 能 心不相應 染 依 心 自 在 地 能 離 故 
T85n2815_001:1178a16	　述曰。此五意中第二轉識。依於動心成能見。	 述 曰 此 五 意 中 第 二 轉 識 依 於 動 心 成 能 見 
T85n2815_001:1178a17	污淨心故名能見染。至第九地得無礙智。善	污 淨 心 故 名 能 見 染 至 第 九 地 得 無 礙 智 善 
T85n2815_001:1178a18	知眾生心行稠林。自他無礙名心自在。無明	知 眾 生 心 行 稠 林 自 他 無 礙 名 心 自 在 無 明 
