X88n1658_001:0421a03	 諸天傳序	 諸 天 傳 序 
X88n1658_001:0425c20	　琉璃城中立宮殿　　無邊欲樂恣嬉遊	 琉 璃 城 中 立 宮 殿 無 邊 欲 樂 恣 嬉 遊 
X88n1658_001:0425c21	　天像巍峩全甲冑　　威楞剛毅出常流	 天 像 巍 峩 全 甲 冑 威 楞 剛 毅 出 常 流 
X88n1658_001:0425c22	　左臂舒下刀在手　　右手持珠光燄浮	 左 臂 舒 下 刀 在 手 右 手 持 珠 光 燄 浮 
X88n1658_001:0425c23	　統領鬼神數無量　　略言二部類應周	 統 領 鬼 神 數 無 量 略 言 二 部 類 應 周 
X88n1658_001:0425c24	　彥達縛乃尋香者　　每隨天帝樂神収	 彥 達 縛 乃 尋 香 者 每 隨 天 帝 樂 神 収 
X88n1658_001:0426a01	　富單那即名臭鬼　　時行熱病使人憂	 富 單 那 即 名 臭 鬼 時 行 熱 病 使 人 憂 
X88n1658_001:0426a02	　天王禁禦令調伏　　庶令國界得安休	 天 王 禁 禦 令 調 伏 庶 令 國 界 得 安 休 
X88n1658_001:0426a03	　賞善罸惡難思力　　是宜眾彚總歸投	 賞 善 罸 惡 難 思 力 是 宜 眾 彚 總 歸 投 
X88n1658_001:0426a04	南方天王傳	南 方 天 王 傳 
X88n1658_001:0426a05	梵語毗留勒叉。此翻增長。令自他威德增長也。亦令	梵 語 毗 留 勒 叉 此 翻 增 長 令 自 他 威 德 增 長 也 亦 令 
X88n1658_001:0426a06	自他善根增長。陀羅尼集云。父字和脩吉。母名慪惙	自 他 善 根 增 長 陀 羅 尼 集 云 父 字 和 脩 吉 母 名 慪 惙 
X88n1658_001:0426a07	帝。其所居也即須彌山半第四層南埵。智論云。毗留	帝 其 所 居 也 即 須 彌 山 半 第 四 層 南 埵 智 論 云 毗 留 
X88n1658_001:0426a08	勒叉天王。護南善部洲。亦兼餘洲。住琉璃埵。梵語吠	勒 叉 天 王 護 南 善 部 洲 亦 兼 餘 洲 住 琉 璃 埵 梵 語 吠 
X88n1658_001:0426a09	琉璃。此云不遠山寶。復古編云。字當作流離。不當從	琉 璃 此 云 不 遠 山 寶 復 古 編 云 字 當 作 流 離 不 當 從 
X88n1658_001:0426a10	玉。以此寶出須彌山不遠故也。增一阿含經云。水精	玉 以 此 寶 出 須 彌 山 不 遠 故 也 增 一 阿 含 經 云 水 精 
X88n1658_001:0426a11	城。琉璃城。中間毗留勒叉天王。將諸魔鬼。孔雀經云。	城 琉 璃 城 中 間 毗 留 勒 叉 天 王 將 諸 魔 鬼 孔 雀 經 云 
X88n1658_001:0426a12	南方有大天王。名曰增長。是矩畔挐。主以無量百千	南 方 有 大 天 王 名 曰 增 長 是 矩 畔 挐 主 以 無 量 百 千 
X88n1658_001:0426a13	矩畔挐而為眷屬。守護南方。彼有子孫兄弟軍將大	矩 畔 挐 而 為 眷 屬 守 護 南 方 彼 有 子 孫 兄 弟 軍 將 大 
X88n1658_001:0426a14	臣雜使。智論明此天領二部鬼眾。一名鳩槃荼。此云	臣 雜 使 智 論 明 此 天 領 二 部 鬼 眾 一 名 鳩 槃 荼 此 云 
X88n1658_001:0426a15	甕形。由似冬瓜。是魘魅鬼也。二名薜茘多。此云祖父。	甕 形 由 似 冬 瓜 是 魘 魅 鬼 也 二 名 薜 茘 多 此 云 祖 父 
X88n1658_001:0426a16	乃餓鬼中之劣者。毗沙門天王經云。南方有鳩槃荼	乃 餓 鬼 中 之 劣 者 毗 沙 門 天 王 經 云 南 方 有 鳩 槃 荼 
X88n1658_001:0426a17	王。名尾嚕吒迦。此乃與孔雀經舉其一也。陀羅尼集	王 名 尾 嚕 吒 迦 此 乃 與 孔 雀 經 舉 其 一 也 陀 羅 尼 集 
X88n1658_001:0426a18	云。此天王左手亦伸臂垂下把刀。右手持矟。矟根著	云 此 天 王 左 手 亦 伸 臂 垂 下 把 刀 右 手 持 矟 矟 根 著 
X88n1658_001:0426a19	地。是知由折伏邪惡方能增長善根。雖四王同功。而	地 是 知 由 折 伏 邪 惡 方 能 增 長 善 根 雖 四 王 同 功 而 
X88n1658_001:0426a20	今以總從別。故目其號。如經所謂增長身力。心進勇	今 以 總 從 別 故 目 其 號 如 經 所 謂 增 長 身 力 心 進 勇 
X88n1658_001:0426a21	銳。增益諸天。此則增長善根也。又云。是諸人王應得	銳 增 益 諸 天 此 則 增 長 善 根 也 又 云 是 諸 人 王 應 得 
X88n1658_001:0426a22	擁護。乃至護宅之神。增長威德。此則增長威德也。通	擁 護 乃 至 護 宅 之 神 增 長 威 德 此 則 增 長 威 德 也 通 
X88n1658_001:0426a23	自他益。經有其文。然此南洲。正屬此天王所護。欲善	自 他 益 經 有 其 文 然 此 南 洲 正 屬 此 天 王 所 護 欲 善 
X88n1658_001:0426a24	根威德增長。而無增長惡趣增長惡伴自他之患。得	根 威 德 增 長 而 無 增 長 惡 趣 增 長 惡 伴 自 他 之 患 得 
X88n1658_001:0426b01	不荷其呵護之賜乎。讚曰。	不 荷 其 呵 護 之 賜 乎 讚 曰 
X88n1658_001:0426b02	　南方天王號增長　　居琉璃埵護南洲	 南 方 天 王 號 增 長 居 琉 璃 埵 護 南 洲 
X88n1658_001:0426b03	　水精城中立宮殿　　無邊欲樂恣嬉遊	 水 精 城 中 立 宮 殿 無 邊 欲 樂 恣 嬉 遊 
X88n1658_001:0426b04	　天像威嚴施甲冑　　右手持矟拄其矛	 天 像 威 嚴 施 甲 冑 右 手 持 矟 拄 其 矛 
X88n1658_001:0426b05	　左手把刀却垂下　　摧邪輔正護真流	 左 手 把 刀 却 垂 下 摧 邪 輔 正 護 真 流 
X88n1658_001:0426b06	　百千眷屬子孫等　　略言二部統應周	 百 千 眷 屬 子 孫 等 略 言 二 部 統 應 周 
X88n1658_001:0426b07	　鳩槃荼乃甕形鬼　　所謂魘魅在閻浮	 鳩 槃 荼 乃 甕 形 鬼 所 謂 魘 魅 在 閻 浮 
X88n1658_001:0426b08	　薜茘多名祖父鬼　　鬼中劣者是其儔	 薜 茘 多 名 祖 父 鬼 鬼 中 劣 者 是 其 儔 
X88n1658_001:0426b09	　天王統攝遮其惡　　不令侵惱起群憂	 天 王 統 攝 遮 其 惡 不 令 侵 惱 起 群 憂 
X88n1658_001:0426b10	　雖則四王功不異　　總中彰別有因由	 雖 則 四 王 功 不 異 總 中 彰 別 有 因 由 
X88n1658_001:0426b11	　增長善根心勇銳　　增長威德每同休	 增 長 善 根 心 勇 銳 增 長 威 德 每 同 休 
X88n1658_001:0426b12	　況我此方真世主　　素蒙呵護免愆尤	 況 我 此 方 真 世 主 素 蒙 呵 護 免 愆 尤 
X88n1658_001:0426b13	西方天王傳	西 方 天 王 傳 
X88n1658_001:0426b14	梵語毗留博叉。亦云尾嚕叉。此云雜語。以能作種種	梵 語 毗 留 博 叉 亦 云 尾 嚕 叉 此 云 雜 語 以 能 作 種 種 
X88n1658_001:0426b15	語故。又翻惡眼。又非好報。孔雀翻云廣目。陀羅尼集	語 故 又 翻 惡 眼 又 非 好 報 孔 雀 翻 云 廣 目 陀 羅 尼 集 
X88n1658_001:0426b16	云。父名婆伽羅。母名澀秀卑。其所居也即須彌山半	云 父 名 婆 伽 羅 母 名 澀 秀 卑 其 所 居 也 即 須 彌 山 半 
X88n1658_001:0426b17	第四層之西白銀埵。阿含。金城。水精城。中間毗留波	第 四 層 之 西 白 銀 埵 阿 含 金 城 水 精 城 中 間 毗 留 波 
X88n1658_001:0426b18	叉天王。將諸龍神。智論云。毗留愽叉天王。護西洲亦	叉 天 王 將 諸 龍 神 智 論 云 毗 留 愽 叉 天 王 護 西 洲 亦 
X88n1658_001:0426b19	兼餘洲。領二部鬼眾。一名毗舍闍。此云噉人精氣。令	兼 餘 洲 領 二 部 鬼 眾 一 名 毗 舍 闍 此 云 噉 人 精 氣 令 
X88n1658_001:0426b20	人四百四病。遇苦發心。亦噉五穀精氣。令國饑饉。二	人 四 百 四 病 遇 苦 發 心 亦 噉 五 穀 精 氣 令 國 饑 饉 二 
X88n1658_001:0426b21	名毒龍。護世經說。龍有四毒。謂視毒．噓毒．氣毒．觸毒。	名 毒 龍 護 世 經 說 龍 有 四 毒 謂 視 毒 噓 毒 氣 毒 觸 毒 
X88n1658_001:0426b22	遇此毒者隨一皆死。孔雀經云。西方有大天王名曰	遇 此 毒 者 隨 一 皆 死 孔 雀 經 云 西 方 有 大 天 王 名 曰 
X88n1658_001:0426b23	廣目。是大龍王。以無量百千諸龍而為眷屬。守護西	廣 目 是 大 龍 王 以 無 量 百 千 諸 龍 而 為 眷 屬 守 護 西 
X88n1658_001:0426b24	方。彼有子孫兄弟將軍大臣雜使。陀羅尼集云。此天	方 彼 有 子 孫 兄 弟 將 軍 大 臣 雜 使 陀 羅 尼 集 云 此 天 
X88n1658_001:0426c01	王左手同前執矟少異。右手中把赤索。亦由折伏方	王 左 手 同 前 執 矟 少 異 右 手 中 把 赤 索 亦 由 折 伏 方 
X88n1658_001:0426c02	能生善。然名廣目惡眼者。口怒目張。威使邪惡潰散。	能 生 善 然 名 廣 目 惡 眼 者 口 怒 目 張 威 使 邪 惡 潰 散 
X88n1658_001:0426c03	如西凉府城北門樓天王怒視。番師大奔兵眾驚潰	如 西 凉 府 城 北 門 樓 天 王 怒 視 番 師 大 奔 兵 眾 驚 潰 
X88n1658_001:0426c04	也。又其雜語。亦以種種語言折伏邪辯也。故經云。以	也 又 其 雜 語 亦 以 種 種 語 言 折 伏 邪 辯 也 故 經 云 以 
X88n1658_001:0426c05	淨天眼過於人眼。常觀擁護此閻浮提。若此國土有	淨 天 眼 過 於 人 眼 常 觀 擁 護 此 閻 浮 提 若 此 國 土 有 
X88n1658_001:0426c06	諸衰耗怨賊侵境饑饉疾疫。乃至悉皆滅盡。此其廣	諸 衰 耗 怨 賊 侵 境 饑 饉 疾 疫 乃 至 悉 皆 滅 盡 此 其 廣 
X88n1658_001:0426c07	目之義也。又云能說正法。修行正法。為世法王。以法	目 之 義 也 又 云 能 說 正 法 修 行 正 法 為 世 法 王 以 法 
X88n1658_001:0426c08	治世。又云。能以正法摧伏諸惡。能壞三千大千世界	治 世 又 云 能 以 正 法 摧 伏 諸 惡 能 壞 三千大千世界 
X88n1658_001:0426c09	外道邪論。摧伏諸魔怨賊異形。此皆種種語言折伏	外道邪論 摧 伏 諸 魔 怨 賊 異 形 此 皆 種 種 語 言 折 伏 
X88n1658_001:0426c10	邪義也。然滅惡生善。四王同功。今亦以總彰別。總顯	邪 義 也 然 滅 惡 生 善 四 王 同 功 今 亦 以 總 彰 別 總 顯 
X88n1658_001:0426c11	其名。而弘護真乘。加被說聽。法力聖力共摧煩惱之	其 名 而 弘 護 真 乘 加 被 說 聽 法 力 聖 力 共 摧 煩 惱 之 
X88n1658_001:0426c12	魔怨。惡眼天眼咸鑑流通之邪正。讚曰。	魔 怨 惡 眼 天 眼 咸 鑑 流 通 之 邪 正 讚 曰 
X88n1658_001:0426c13	　西方天王名廣目　　居白銀埵護西洲	 西 方 天 王 名 廣 目 居 白 銀 埵 護 西 洲 
X88n1658_001:0426c14	　水精城中立宮殿　　無邊欲樂恣嬉遊	 水 精 城 中 立 宮 殿 無 邊 欲 樂 恣 嬉 遊 
X88n1658_001:0426c15	　天像左手持矛矟　　右把赤索御邪流	 天 像 左 手 持 矛 矟 右 把 赤 索 御 邪 流 
X88n1658_001:0426c16	　眷屬百千及軍將　　略言二部類應周	 眷 屬 百 千 及 軍 將 略 言 二 部 類 應 周 
X88n1658_001:0426c17	　毗舍闍鬼噉精氣　　生人痴病省愆尤	 毗 舍 闍 鬼 噉 精 氣 生 人 痴 病 省 愆 尤 
X88n1658_001:0426c18	　亦虗五穀作饑饉　　國民為害起灾憂	 亦 虗 五 穀 作 饑 饉 國 民 為 害 起 灾 憂 
X88n1658_001:0426c19	　諸惡毒龍無量數　　亦隨統攝護田疇	 諸 惡 毒 龍 無 量 數 亦 隨 統 攝 護 田 疇 
X88n1658_001:0426c20	　能以語言挫邪辯　　時張怒目散兵酋	 能 以 語 言 挫 邪 辯 時 張 怒 目 散 兵 酋 
X88n1658_001:0426c21	　滅惡四王功豈異　　總中彰別有因由	 滅 惡 四 王 功 豈 異 總 中 彰 別 有 因 由 
X88n1658_001:0426c22	　天眼洞視除衰耗　　正法治世護薰修	 天 眼 洞 視 除 衰 耗 正 法 治 世 護 薰 修 
X88n1658_001:0426c23	　光及四方皆保衛　　故當虔恪用歸投	 光 及 四 方 皆 保 衛 故 當 虔 恪 用 歸 投 
X88n1658_001:0426c24	金剛密迹傳	金 剛 密 迹 傳 
X88n1658_001:0427a01	梵語跋折那。或云跋闍羅。此云金剛。又梵語那羅延。	梵 語 跋 折 那 或 云 跋 闍 羅 此 云 金 剛 又 梵 語 那 羅 延 
X88n1658_001:0427a02	此翻金剛手。由羅延翻手。或翻執。而略跋折二字。只	此 翻 金 剛 手 由 羅 延 翻 手 或 翻 執 而 略 跋 折 二 字 只 
X88n1658_001:0427a03	云那羅延也。由此力士手中執金剛寶杵。故從所執	云 那 羅 延 也 由 此 力 士 手 中 執 金 剛 寶 杵 故 從 所 執 
X88n1658_001:0427a04	以立名。楞嚴中本名烏芻瑟摩。此云火頭。經云。我以	以 立 名 楞 嚴 中 本 名 烏 芻 瑟 摩 此 云 火 頭 經 云 我 以 
X88n1658_001:0427a05	火光三昧力故。成阿羅漢。心發大願。諸佛成道。我為	火 光 三 昧 力 故 成 阿 羅 漢 心 發 大 願 諸 佛 成 道 我 為 
X88n1658_001:0427a06	力士。親伏魔怨。寶積經云。法意太子願作力士。立名	力 士 親 伏 魔 怨 寶 積 經 云 法 意 太 子 願 作 力 士 立 名 
X88n1658_001:0427a07	密迹。常親近佛。在外威儀。省知如來一切密迹秘要	密 迹 常 親 近 佛 在 外 威 儀 省 知 如 來 一 切 密 迹 秘 要 
X88n1658_001:0427a08	之事。信樂不疑。其始因也。集要引佛名經及上生經	之 事 信 樂 不 疑 其 始 因 也 集 要 引 佛 名 經 及 上 生 經 
X88n1658_001:0427a09	說。昔有一王生千單二子。千兄同詣佛所發心修道。	說 昔 有 一 王 生 千 單 二 子 千 兄 同 詣 佛 所 發 心 修 道 
X88n1658_001:0427a10	而二弟不知。一弟發願。若千兄成道。我佛佛所為魔	而 二 弟 不 知 一 弟 發 願 若 千 兄 成 道 我 佛 佛 所 為 魔 
X88n1658_001:0427a11	惱害。一弟發願。我佛佛所為力士。護千兄教法。故賢	惱 害 一 弟 發 願 我 佛 佛 所 為 力 士 護 千 兄 教 法 故 賢 
X88n1658_001:0427a12	劫千佛中皆其護法也。其居處也。孔雀經云。大聖金	劫 千 佛 中 皆 其 護 法 也 其 居 處 也 孔 雀 經 云 大 聖 金 
X88n1658_001:0427a13	剛手。住居王舍城。常在鷲峰山。以為依止處。其同類	剛 手 住 居 王 舍 城 常 在 鷲 峰 山 以 為 依 止 處 其 同 類 
X88n1658_001:0427a14	及顯現者。俱舍頌云。妙高頂八萬。三十三天居。四角	及 顯 現 者 俱 舍 頌 云 妙 高 頂 八 萬 三十三天 居 四 角 
X88n1658_001:0427a15	有四峯。金剛手所住。世尊云。山頂四角各有一峯。其	有 四 峯 金 剛 手 所 住 世 尊 云 山 頂 四 角 各 有 一 峯 其 
X88n1658_001:0427a16	量高廣各有五百藥叉神。名金剛手於中止住。光明	量 高 廣 各 有 五 百 藥 叉 神 名 金 剛 手 於 中 止 住 光 明 
X88n1658_001:0427a17	云。金剛密迹。大鬼神王。及其眷屬五百徒黨。一切皆	云 金 剛 密 迹 大 鬼 神 王 及 其 眷 屬 五 百 徒 黨 一 切 皆 
X88n1658_001:0427a18	是大菩薩等。什師譯孔雀經。列五百各有金剛密迹	是 大 菩 薩 等 什 師 譯 孔 雀 經 列 五 百 各 有 金 剛 密 迹 
X88n1658_001:0427a19	力士。圓覺經。火頭摧碎八萬金剛。楞嚴經中十恒河	力 士 圓 覺 經 火 頭 摧 碎 八 萬 金 剛 楞 嚴 經 中 十 恒 河 
X88n1658_001:0427a20	沙金剛密迹。如是之類。眾經非一。今之所奉。即密迹	沙 金 剛 密 迹 如 是 之 類 眾 經 非 一 今 之 所 奉 即 密 迹 
X88n1658_001:0427a21	力士火頭金剛也。其像也。露袒其身。怒目開口。徧體	力 士 火 頭 金 剛 也 其 像 也 露 袒 其 身 怒 目 開 口 徧 體 
X88n1658_001:0427a22	赤色。頭上有髻。手中執杵。以跣双足。威楞勇倢。長阿	赤 色 頭 上 有 髻 手 中 執 杵 以 跣 双 足 威 楞 勇 倢 長 阿 
X88n1658_001:0427a23	含云。外道阿摩晝問佛四姓。佛云汝姓是釋迦奴種。	含 云 外 道 阿 摩 晝 問 佛 四 姓 佛 云 汝 姓 是 釋 迦 奴 種 
X88n1658_001:0427a24	彼不肯信。故不答。佛云。汝宜速答。密迹力士手執金	彼 不 肯 信 故 不 答 佛 云 汝 宜 速 答 密迹力士 手 執 金 
X88n1658_001:0427b01	剛鈴杵在吾左右。當破汝頭分為七分。時力士即現	剛 鈴 杵 在 吾 左 右 當 破 汝 頭 分 為 七 分 時 力 士 即 現 
X88n1658_001:0427b02	空中。彼方信伏。又秦始皇時。天竺室利房等沙門一	空 中 彼 方 信 伏 又 秦 始 皇 時 天 竺 室 利 房 等 沙 門 一 
X88n1658_001:0427b03	十八人來至長安。始皇囚於獄中。金剛力士破獄垣	十 八 人 來 至 長 安 始 皇 囚 於 獄 中 金剛力士 破 獄 垣 
X88n1658_001:0427b04	以出之。江西有一寺。乃金剛打供。寸土不居於寺界	以 出 之 江 西 有 一 寺 乃 金 剛 打 供 寸 土 不 居 於 寺 界 
X88n1658_001:0427b05	之外。皆二聖力士。一切所須令施者送至。建炎初金	之 外 皆 二 聖 力 士 一 切 所 須 令 施 者 送 至 建 炎 初 金 
X88n1658_001:0427b06	人犯順。既至其寺。不信靈感。以鐵索拽之。忽力士發	人 犯 順 既 至 其 寺 不 信 靈 感 以 鐵 索 拽 之 忽 力 士 發 
X88n1658_001:0427b07	聲。兵眾皆倒。至今尚在。其靈應之事不唯紀之於文。	聲 兵 眾 皆 倒 至 今 尚 在 其 靈 應 之 事 不 唯 紀 之 於 文 
X88n1658_001:0427b08	亦往來者皆能言之。夫本華實芽。母鳴子應。其猶鏡	亦 往 來 者 皆 能 言 之 夫 本 華 實 芽 母 鳴 子 應 其 猶 鏡 
X88n1658_001:0427b09	像谷聲。則大願力護善遮惡。信不評矣。然賢劫千佛	像 谷 聲 則 大 願 力 護 善 遮 惡 信 不 評 矣 然 賢 劫 千 佛 
X88n1658_001:0427b10	之二弟。一為調達。以魔惱。一為力士。以護持。則法華	之 二 弟 一 為 調 達 以 魔 惱 一 為 力 士 以 護 持 則 法 華 
X88n1658_001:0427b11	以提婆達多善知識故得成正覺。授記號天王如來。	以 提 婆 達 多 善 知 識 故 得 成 正 覺 授 記 號 天 王 如 來 
X88n1658_001:0427b12	上生經中婁至佛願作力。士護千兄教。得非逆順皆	上 生 經 中 婁 至 佛 願 作 力 士 護 千 兄 教 得 非 逆 順 皆 
X88n1658_001:0427b13	其助乎。是故形氣相求各因其類。故楞嚴云。是故鬼	其 助 乎 是 故 形 氣 相 求 各 因 其 類 故 楞 嚴 云 是 故 鬼 
X88n1658_001:0427b14	神及諸天魔魍魎妖精。於三昧時僉來惱汝。然彼諸	神 及 諸 天 魔 魍 魎 妖 精 於 三 昧 時 僉 來 惱 汝 然 彼 諸 
X88n1658_001:0427b15	魔雖有大怒。彼塵勞內汝妙覺中。如風吹光。如刀斷	魔 雖 有 大 怒 彼 塵 勞 內 汝 妙 覺 中 如 風 吹 光 如 刀 斷 
X88n1658_001:0427b16	水。了不相觸。汝如沸湯。彼如堅氷。煖氣漸鄰。不日銷	水 了 不 相 觸 汝 如 沸 湯 彼 如 堅 氷 煖 氣 漸 鄰 不 日 銷 
X88n1658_001:0427b17	殞。徒恃威神。但為其客。成就破亂。由汝心中五陰主	殞 徒 恃 威 神 但 為 其 客 成 就 破 亂 由 汝 心 中 五 陰 主 
X88n1658_001:0427b18	人。主人若迷。客得其便。當處禪那覺悟無惑。則彼魔	人 主 人 若 迷 客 得 其 便 當 處 禪 那 覺 悟 無 惑 則 彼 魔 
X88n1658_001:0427b19	事無柰汝何。是知邪念若生。魔必得便。正心若發。力	事 無 柰 汝 何 是 知 邪 念 若 生 魔 必 得 便 正 心 若 發 力 
X88n1658_001:0427b20	士潛護。故佛一呼空中頓現。室利枉囚。破垣脫厄。得	士 潛 護 故 佛 一 呼 空 中 頓 現 室 利 枉 囚 破 垣 脫 厄 得 
X88n1658_001:0427b21	非是與故修行者能持正法。則大士必執金剛之杵	非 是 與 故 修 行 者 能 持 正 法 則 大 士 必 執 金 剛 之 杵 
X88n1658_001:0427b22	而左右之。所謂能以正法摧滅諸惡者也。讚曰。	而 左 右 之 所 謂 能 以 正 法 摧 滅 諸 惡 者 也 讚 曰 
X88n1658_001:0427b23	　密迹力士執金剛　　群魔來惱悉能防	 密迹力士 執 金 剛 群 魔 來 惱 悉 能 防 
X88n1658_001:0427b24	　烏芻瑟摩初發願　　三昧圓成號火光	 烏 芻 瑟 摩 初 發 願 三 昧 圓 成 號 火 光 
X88n1658_001:0427c01	　法意昔因曾立誓　　千兄賢劫護行藏	 法 意 昔 因 曾 立 誓 千 兄 賢 劫 護 行 藏 
X88n1658_001:0427c02	　一一盡皆成正覺　　教法遐宣徧一方	 一 一 盡 皆 成 正 覺 教 法 遐 宣 徧 一 方 
X88n1658_001:0427c03	　最後成佛名婁至　　即是密迹證法王	 最 後 成 佛 名 婁 至 即 是 密 迹 證 法 王 
X88n1658_001:0427c04	　見住鷲峯或天上　　或云五百守天堂	 見 住 鷲 峯 或 天 上 或 云 五 百 守 天 堂 
X88n1658_001:0427c05	　或云八萬皆名異　　十恒河沙數莫量	 或 云 八 萬 皆 名 異 十 恒 河 沙 數 莫 量 
X88n1658_001:0427c06	　其身赤色頭有髻　　手持寶杵力難當	 其 身 赤 色 頭 有 髻 手 持 寶 杵 力 難 當 
X88n1658_001:0427c07	　現身曾折阿摩晝　　破獄因救室利房	 現 身 曾 折 阿 摩 晝 破 獄 因 救 室 利 房 
X88n1658_001:0427c08	　由慈誓願弘持故　　至今佛宇息它殃	 由 慈 誓 願 弘 持 故 至 今 佛 宇 息 它 殃 
X88n1658_001:0427c09	　自此仰祈呵護力　　永銷魔罥法門昌	 自 此 仰 祈 呵 護 力 永 銷 魔 罥 法 門 昌 
X88n1658_001:0427c10	摩醯首天傳	摩 醯 首 天 傳 
X88n1658_001:0427c11	梵語摩醯首羅。此翻大自在。或翻威靈帝。或云三目。	梵 語 摩 醯 首 羅 此 翻 大 自 在 或 翻 威 靈 帝 或 云 三 目 
X88n1658_001:0427c12	智論立三界主。即摩醯首羅為三界尊極之主。華嚴	智 論 立 三 界 主 即 摩 醯 首 羅 為 三 界 尊 極 之 主 華 嚴 
X88n1658_001:0427c13	經亦稱三界主。其居處也在色界頂。樓炭經云。阿迦	經 亦 稱 三 界 主 其 居 處 也 在 色 界 頂 樓 炭 經 云 阿 迦 
X88n1658_001:0427c14	尼吒。即首羅。所居有頂天也。華嚴疏引智論云。過五	尼 吒 即 首 羅 所 居 有 頂 天 也 華 嚴 疏 引 智 論 云 過 五 
X88n1658_001:0427c15	淨居有十住菩薩住處。亦名淨居。號大自在天王。輔	淨 居 有 十住菩薩 住 處 亦 名 淨 居 號 大 自 在 天 王 輔 
X88n1658_001:0427c16	行記云。色界頂。夫三目八臂。騎白牛。報白拂。有大威	行 記 云 色 界 頂 夫 三 目 八 臂 騎 白 牛 報 白 拂 有 大 威 
X88n1658_001:0427c17	力。能傾覆世界。舉世以尊之。妙樂云。色究竟天。壽萬	力 能 傾 覆 世 界 舉 世 以 尊 之 妙 樂 云 色 究 竟 天 壽 萬 
X88n1658_001:0427c18	六千劫。身長一萬六千踰繕那。華嚴經云。能知大千	六 千 劫 身 長 一 萬 六 千 踰 繕 那 華 嚴 經 云 能 知 大 千 
X88n1658_001:0427c19	雨滴之數。是十地菩薩。入大乘論等說魔醯首羅天	雨 滴 之 數 是 十地菩薩 入 大 乘 論 等 說 魔醯首羅 天 
X88n1658_001:0427c20	上。有一實報土。成佛以大千世界為所統境。然經中	上 有 一 實 報 土 成 佛 以 大千世界 為 所 統 境 然 經 中 
X88n1658_001:0427c21	別有摩醯首羅。乃藥叉神。非此天主。如孔雀經云。摩	別 有 摩 醯 首 羅 乃 藥 叉 神 非 此 天 主 如 孔 雀 經 云 摩 
X88n1658_001:0427c22	醯首藥叉。止羅多國住。既云藥叉止住羅多國。定非	醯 首 藥 叉 止 羅 多 國 住 既 云 藥 叉 止 住 羅 多 國 定 非 
X88n1658_001:0427c23	色頂天主也。光明經鬼神品內先云大自在天。即此	色 頂 天 主 也 光 明 經 鬼 神 品 內 先 云 大 自 在 天 即 此 
X88n1658_001:0427c24	天主。次云大力鬼王那羅延等。摩醯首羅即藥叉者。	天 主 次 云 大 力 鬼 王 那 羅 延 等 摩 醯 首 羅 即 藥 叉 者 
X88n1658_001:0428a01	所以舊傳以列位卑下為疑也。又本行經說。太子以	所 以 舊 傳 以 列 位 卑 下 為 疑 也 又 本 行 經 說 太 子 以 
X88n1658_001:0428a02	西國之法。令禮天神。名曰摩醯首羅。其神極惡。而復	西 國 之 法 令 禮 天 神 名 曰 摩 醯 首 羅 其 神 極 惡 而 復 
X88n1658_001:0428a03	有靈。太子至其神所。神自離座下堦先禮太子。是既	有 靈 太 子 至 其 神 所 神 自 離 座 下 堦 先 禮 太 子 是 既 
X88n1658_001:0428a04	知云極惡。必非天主耳。所以古人甞議摩醯首羅有	知 云 極 惡 必 非 天 主 耳 所 以 古 人 甞 議 摩 醯 首 羅 有 
X88n1658_001:0428a05	二神而不決者。以名同故也。盖摩醯首羅。此云三目。	二 神 而 不 決 者 以 名 同 故 也 盖 摩 醯 首 羅 此 云 三 目 
X88n1658_001:0428a06	由二神皆有三目。名故相濫。今古畫像作兩種不同。	由 二 神 皆 有 三 目 名 故 相 濫 今 古 畫 像 作 兩 種 不 同 
X88n1658_001:0428a07	一作菩薩相。但三目八臂。執拂持鈴杵并尺結印合	一 作 菩 薩 相 但 三 目 八 臂 執 拂 持 鈴 杵 并 尺 結 印 合 
X88n1658_001:0428a08	掌。一作藥叉之形。赤髮髼起三目八臂執弓箭等。至	掌 一 作 藥 叉 之 形 赤 髮 髼 起 三 目 八 臂 執 弓 箭 等 至 
X88n1658_001:0428a09	今二像不同。今既曰大自在及威靈帝。定非藥叉矣。	今 二 像 不 同 今 既 曰 大 自 在 及 威 靈 帝 定 非 藥 叉 矣 
X88n1658_001:0428a10	然楞嚴又云。窮諸行空已滅生滅。而於寂滅精妙未	然 楞 嚴 又 云 窮 諸 行 空 已 滅 生 滅 而 於 寂 滅 精 妙 未 
X88n1658_001:0428a11	圓。若於所歸。覧為自體。盡虗空界十二類內所有眾	圓 若 於 所 歸 覧 為 自 體 盡 虗 空 界 十 二 類 內 所 有 眾 
X88n1658_001:0428a12	生。皆我身中一類流出生勝解者。是人則墮能非能	生 皆 我 身 中 一 類 流 出 生 勝 解 者 是 人 則 墮 能 非 能 
X88n1658_001:0428a13	執。摩醯首羅現無邊身。成其伴侶。迷佛菩提。忘失知	執 摩 醯 首 羅 現 無 邊 身 成 其 伴 侶 迷 佛 菩 提 忘 失 知 
X88n1658_001:0428a14	見。若爾則雖無覺觀。號令下界。而其執情未除也。又	見 若 爾 則 雖 無 覺 觀 號 令 下 界 而 其 執 情 未 除 也 又 
X88n1658_001:0428a15	云背涅槃城。生大慢天。所謂尊極三界。慢心不忘。未	云 背 涅 槃 城 生 大 慢 天 所 謂 尊 極 三 界 慢 心 不 忘 未 
