X16n0311_001:0373a04	 引　〔龍其〕	 引 龍 其 
X16n0311_002:0388a08	忍有二義。一理智雙明。二唯就智說。復二。一智不	忍 有 二 義 一 理 智 雙 明 二 唯 就 智 說 復 二 一 智 不 
X16n0311_002:0388a09	生。即無分別智體無念慮故。二煩惱不生。妄想不	生 即 無分別智 體 無 念 慮 故 二 煩 惱 不 生 妄 想 不 
X16n0311_002:0388a10	起故。無生法下判位。上句下出得忍所以。又無生	起 故 無 生 法 下 判 位 上 句 下 出 得 忍 所 以 又 無 生 
X16n0311_002:0388a11	下。約別相義釋。若無生等者。具云若無生則無滅。	下 約 別 相 義 釋 若 無 生 等 者 具 云 若 無 生 則 無 滅 
X16n0311_002:0388a12	若無滅則無盡。若無盡則離垢。若離垢則無差別。	若 無 滅 則 無 盡 若 無 盡 則 離 垢 若 離 垢 則 無 差 別 
X16n0311_002:0388a13	若無差別則無處所。若無處所則寂靜。若寂靜則	若 無 差 別 則 無 處 所 若 無 處 所 則 寂 靜 若 寂 靜 則 
X16n0311_002:0388a14	離欲。若離欲則無作。若無作則無願。若無願則無	離 欲 若 離 欲 則 無 作 若 無 作 則 無 願 若 無 願 則 無 
X16n0311_002:0388a15	住。若無住則無去無來。無生無來離欲無作無願	住 若 無 住 則 無 去 無 來 無 生 無 來 離 欲 無 作 無 願 
X16n0311_002:0388a16	空也。無滅無盡無去不空也。離垢無別無處寂靜	空 也 無 滅 無 盡 無 去 不 空 也 離 垢 無 別 無 處 寂 靜 
X16n0311_002:0388a17	無住空不空也。今念下配釋可知。此亦下通妨也。	無 住 空 不 空 也 今 念 下 配 釋 可 知 此 亦 下 通 妨 也 
X16n0311_002:0388a18	難曰。既有無滅忍等。云何獨無生耶。釋曰。此有二	難 曰 既 有 無 滅 忍 等 云 何 獨 無 生 耶 釋 曰 此 有 二 
X16n0311_002:0388a19	意。一者舉總攝別。稱為無生。二者以初攝後。但標	意 一 者 舉 總 攝 別 稱 為 無 生 二 者 以 初 攝 後 但 標 
X16n0311_002:0388a20	無生理。實具諸忍也。若唯下亦通妨也。難曰。唯約	無 生 理 實 具 諸 忍 也 若 唯 下 亦 通 妨 也 難 曰 唯 約 
X16n0311_002:0388a21	無生法理不通無滅忍等。有何過耶。釋曰。等覺之	無 生 法 理 不 通 無 滅 忍 等 有 何 過 耶 釋 曰 等 覺 之 
X16n0311_002:0388a22	忍。在無滅等。故非淺近。若唯無生。小乘亦證。何足	忍 在 無 滅 等 故 非 淺 近 若 唯 無 生 小 乘 亦 證 何 足 
X16n0311_002:0388a23	深玄。△二利他。	深 玄 二 利 他 
X16n0311_002:0388a24	今於此界。攝念佛人。歸於淨土。	今 於 此 界 攝 念 佛 人 歸 於 淨 土 
X16n0311_002:0388b01	【疏】此界娑婆。苦世界也。淨土安養。樂國土也。攝者	 疏 此 界 娑 婆 苦 世 界 也 淨 土 安 養 樂 國 土 也 攝 者 
X16n0311_002:0388b02	持也接也。生前以威力加持。令不退念。臨終以願	持 也 接 也 生 前 以 威 力 加 持 令 不 退 念 臨 終 以 願 
X16n0311_002:0388b03	力接引。令得往生。歸者還也。此界為旅亭。彼土是	力 接 引 令 得 往 生 歸 者 還 也 此 界 為 旅 亭 彼 土 是 
X16n0311_002:0388b04	家鄉。猶如有人。因事遠遊。未得歸還。今遇親友指	家 鄉 猶 如 有 人 因 事 遠 遊 未 得 歸 還 今 遇 親 友 指 
X16n0311_002:0388b05	示道路。速回家鄉也。能攝屬勢至。所攝屬行人。攝	示 道 路 速 回 家 鄉 也 能 攝 屬 勢 至 所 攝 屬 行 人 攝 
X16n0311_002:0388b06	則雙通能所。歸義亦然。能歸行人也。所歸淨土也。	則 雙 通 能 所 歸 義 亦 然 能 歸 行 人 也 所 歸 淨 土 也 
X16n0311_002:0388b07	歸兼能所念佛法也。有五法門。見五土佛。謂憶想	歸 兼 能 所 念 佛 法 也 有 五 法 門 見 五 土 佛 謂 憶 想 
X16n0311_002:0388b08	外境念佛。則生歸變化土。見變化身佛。攝境歸心	外 境 念 佛 則 生 歸 變 化 土 見 變 化 身 佛 攝 境 歸 心 
X16n0311_002:0388b09	念佛。則生劣受用土。見劣受用身佛。心境互融念	念 佛 則 生 劣 受 用 土 見 劣 受 用 身 佛 心 境 互 融 念 
X16n0311_002:0388b10	佛。則歸勝受用土。見勝受用身佛。心境雙泯念佛。	佛 則 歸 勝 受 用 土 見 勝 受 用 身 佛 心 境 雙 泯 念 佛 
X16n0311_002:0388b11	則生法性土。見法性身佛。圓通無盡念佛。則歸法	則 生 法 性 土 見 法 性 身 佛 圓 通 無 盡 念 佛 則 歸 法 
X16n0311_002:0388b12	界無障礙土。見法界無障礙身佛。人者機也。具聞	界 無 障 礙 土 見 法 界 無 障 礙 身 佛 人 者 機 也 具 聞 
X16n0311_002:0388b13	思修三妙慧故。備信願行三資糧故。始名念佛人	思 修 三 妙 慧 故 備 信 願 行 三 資 糧 故 始 名 念 佛 人 
X16n0311_002:0388b14	也。問。設行五逆十惡。亦具三資糧慧。得生彼土否	也 問 設 行 五 逆 十 惡 亦 具 三 資 糧 慧 得 生 彼 土 否 
X16n0311_002:0388b15	耶。答。雖有諸過。於彼佛土有信行願。亦名為器。如	耶 答 雖 有 諸 過 於 彼 佛 土 有 信 行 願 亦 名 為 器 如 
X16n0311_002:0388b16	三輩九品中下輩下品是也。問。念幾時佛得能見	三 輩 九 品 中 下 輩 下 品 是 也 問 念 幾 時 佛 得 能 見 
X16n0311_002:0388b17	佛生方。答。隨機不定。或盡形持。或九十日。或七七	佛 生 方 答 隨 機 不 定 或 盡 形 持 或 九 十 日 或 七 七 
X16n0311_002:0388b18	一七。或十日一日。或十念。或一念。但能稱名。必得	一 七 或 十 日 一 日 或 十 念 或 一 念 但 能 稱 名 必 得 
X16n0311_002:0388b19	見佛。況有彌陀本願。勢至攝受。豈有念佛不生方	見 佛 況 有 彌 陀 本 願 勢 至 攝 受 豈 有 念 佛 不 生 方 
X16n0311_002:0388b20	耶。	耶 
X16n0311_002:0388b21	【鈔】此界苦淨土樂者。謂此土具八苦。生居胎獄。老	 鈔 此 界 苦 淨 土 樂 者 謂 此 土 具 八 苦 生 居 胎 獄 老 
X16n0311_002:0388b22	厭龍鍾。病受痛疴。死悲分散。愛則欲合偏離。冤則	厭 龍 鍾 病 受 痛 疴 死 悲 分 散 愛 則 欲 合 偏 離 冤 則 
X16n0311_002:0388b23	欲逃偏遇。求則欲得偏失。乃至五陰熾盛。而彼國	欲 逃 偏 遇 求 則 欲 得 偏 失 乃 至 五 陰 熾 盛 而 彼 國 
X16n0311_002:0388b24	蓮華化生則無生苦。寒暑不遷則無老苦。身離分	蓮 華 化 生 則 無 生 苦 寒 暑 不 遷 則 無 老 苦 身 離 分 
X16n0311_002:0388c01	段則無病苦。壽命無量則無死苦。無父母妻子則	段 則 無 病 苦 壽 命 無 量 則 無 死 苦 無 父 母 妻 子 則 
X16n0311_002:0388c02	無愛別離苦。上善人聚則無怨憎會苦。所欲自至	無 愛別離苦 上 善 人 聚 則 無 怨憎會苦 所 欲 自 至 
X16n0311_002:0388c03	則無求不得苦。觀照空寂則無五陰盛苦。慈雲懺	則 無 求不得苦 觀 照 空 寂 則 無 五 陰 盛 苦 慈 雲 懺 
X16n0311_002:0388c04	主云。不值佛。不聞法。惡友纏。羣魔惱。受輪迴。墮惡	主 云 不 值 佛 不 聞 法 惡 友 纏 羣 魔 惱 受 輪 迴 墮 惡 
X16n0311_002:0388c05	趣。塵緣障道。壽命短促。修行退失。塵劫難成。此即	趣 塵 緣 障 道 壽 命 短 促 修 行 退 失 塵 劫 難 成 此 即 
X16n0311_002:0388c06	娑婆十種苦也。常見佛。常聞法。聖賢會。離魔事。輪	娑 婆 十 種 苦 也 常 見 佛 常 聞 法 聖 賢 會 離 魔 事 輪 
X16n0311_002:0388c07	迴息。無惡道。勝緣助道。壽命無量。入正定聚。一生	迴 息 無 惡 道 勝 緣 助 道 壽 命 無 量 入正定聚 一 生 
X16n0311_002:0388c08	行滿。此即安養十種樂也。歸義下。清凉貞元疏。問。	行 滿 此 即 安 養 十 種 樂 也 歸 義 下 清 凉 貞 元 疏 問 
X16n0311_002:0388c09	不生華藏而生極樂者何也。答。有四意。一者有緣	不 生 華 藏 而 生 極 樂 者 何 也 答 有 四 意 一 者 有 緣 
X16n0311_002:0388c10	故。彌陀願重。偏接娑婆人也。二者使眾生歸憑情	故 彌 陀 願 重 偏 接 娑 婆 人 也 二 者 使 眾 生 歸 憑 情 
X16n0311_002:0388c11	一故。若說十方皆妙。初心茫然。無所依托也。三者	一 故 若 說 十 方 皆 妙 初 心 茫 然 無 所 依 托 也 三 者 
X16n0311_002:0388c12	不離華藏故。極樂去此。十萬億剎。即在華藏第十	不 離 華 藏 故 極 樂 去 此 十 萬 億 剎 即 在 華 藏 第 十 
X16n0311_002:0388c13	三層。未出剎種外出。四者即本師故。經云。或有見	三 層 未 出 剎 種 外 出 四 者 即 本 師 故 經 云 或 有 見 
X16n0311_002:0388c14	佛無量壽。觀自在等所圍繞。既讚本尊遮那之德	佛 無 量 壽 觀 自 在 等 所 圍 繞 既 讚 本 尊 遮 那 之 德 
X16n0311_002:0388c15	如是。豈非本師隨名異化也。事則從此界。歸彼界。	如 是 豈 非 本 師 隨 名 異 化 也 事 則 從 此 界 歸 彼 界 
X16n0311_002:0388c16	見彌陀。居極樂。理則返不覺。還本覺。見自性。居唯	見 彌 陀 居 極 樂 理 則 返 不 覺 還 本 覺 見 自 性 居 唯 
X16n0311_002:0388c17	心。問。既萬法唯心。何以見彼此土有苦樂。生佛有	心 問 既 萬 法 唯 心 何 以 見 彼 此 土 有 苦 樂 生 佛 有 
X16n0311_002:0388c18	來去耶。答土有苦樂。即心相垢淨。生有來去。即心	來 去 耶 答 土 有 苦 樂 即 心 相 垢 淨 生 有 來 去 即 心 
X16n0311_002:0388c19	性迷悟。如是垢淨迷悟。總不離乎法界。故云心外	性 迷 悟 如 是 垢 淨 迷 悟 總 不 離 乎 法 界 故 云 心 外 
X16n0311_002:0388c20	無法。楞伽亦云。若一切皆心。世間何處住。何因見	無 法 楞 伽 亦 云 若 一 切 皆 心 世 間 何 處 住 何 因 見 
X16n0311_002:0388c21	大地。眾生有去來。(問難也)如鳥(喻眾生)遊虗空(喻自心)隨	大 地 眾 生 有 去 來 問 難 也 如 鳥 喻 眾 生 遊 虗 空 喻 自 心 隨 
X16n0311_002:0388c22	分別而去。(喻分別識。謂從自心空中。而後現眾生鳥。彼眾生鳥。還於自心空中。隨分別識	分 別 而 去 喻 分 別 識 謂 從 自 心 空 中 而 後 現 眾 生 鳥 彼 眾 生 鳥 還 於 自 心 空 中 隨 分 別 識 
X16n0311_002:0388c23	去來遊履也)無依亦無住。如履地而行。(謂自心空。雖無依止住處。而能	去 來 遊 履 也 無 依 亦 無 住 如 履 地 而 行 謂 自 心 空 雖 無 依 止 住 處 而 能 
X16n0311_002:0388c24	令眾生鳥如履平地似有依住也)眾生亦如是。隨於妄分別。遊履	令 眾 生 鳥 如 履 平 地 似 有 依 住 也 眾 生 亦 如 是 隨 於 妄 分 別 遊 履 
X16n0311_002:0389a01	於自心。如鳥在虗空。(答釋也。前四句喻。後四句合)聞思修者。聞	於 自 心 如 鳥 在 虗 空 答 釋 也 前 四 句 喻 後 四 句 合 聞 思 修 者 聞 
X16n0311_002:0389a02	說佛名為聞慧。憶想在懷為思慧。持念不忘為修	說 佛 名 為 聞 慧 憶 想 在 懷 為 思 慧 持 念 不 忘 為 修 
X16n0311_002:0389a03	慧。佛地論云。菩薩履三妙慧淨土往還。釋云。以聞	慧 佛 地 論 云 菩 薩 履 三 妙 慧 淨 土 往 還 釋 云 以 聞 
X16n0311_002:0389a04	思修。得入淨土。故念佛人必具三慧。信願行者。聞	思 修 得 入 淨 土 故 念 佛 人 必 具 三 慧 信 願 行 者 聞 
X16n0311_002:0389a05	念佛門。心不疑貳。謂之信。信已而解。心起樂欲。謂	念 佛 門 心 不 疑 貳 謂 之 信 信 已 而 解 心 起 樂 欲 謂 
X16n0311_002:0389a06	之願。願已而念。心勤精進。謂之行。彌陀經云。若有	之 願 願 已 而 念 心 勤 精 進 謂 之 行 彌 陀 經 云 若 有 
X16n0311_002:0389a07	信者。應當發願執持名號。雖有諸過等者。觀經鈔	信 者 應 當 發 願 執 持 名 號 雖 有 諸 過 等 者 觀 經 鈔 
X16n0311_002:0389a08	云。此土博地凡夫。屬邪定聚。發心修行未得不退	云 此 土 博 地 凡 夫 屬 邪 定 聚 發 心 修 行 未 得 不 退 
X16n0311_002:0389a09	者。屬不定聚。已得不退者。屬正定聚。若生安養。不	者 屬 不 定 聚 已 得 不 退 者 屬 正 定 聚 若 生 安 養 不 
X16n0311_002:0389a10	論高下。所以者何。五逆罪人。臨終十念得往生者。	論 高 下 所以者何 五 逆 罪 人 臨 終 十 念 得 往 生 者 
X16n0311_002:0389a11	亦得不退。成正定聚故。準知罪人十念即名器矣。	亦 得 不 退 成 正 定 聚 故 準 知 罪 人 十 念 即 名 器 矣 
X16n0311_002:0389a12	反顯世人雖行眾善。於彼佛土。無信行願。亦名為	反 顯 世 人 雖 行 眾 善 於 彼 佛 土 無 信 行 願 亦 名 為 
X16n0311_002:0389a13	非器也。三輩九品者。若發菩提心。深信因果。不謗	非 器 也 三 輩 九 品 者 若 發菩提心 深 信 因 果 不 謗 
X16n0311_002:0389a14	三寶。大修功德。專念彌陀。願生彼國。真佛來迎。坐	三 寶 大 修 功 德 專 念 彌 陀 願 生 彼 國 真 佛 來 迎 坐 
X16n0311_002:0389a15	七寶蓮。住不退轉。智慧勇猛。神通自在。此名為上	七 寶 蓮 住不退轉 智 慧 勇 猛 神通自在 此 名 為 上 
X16n0311_002:0389a16	輩也。兼利他行。若發菩提心。深信因果。不謗正法。	輩 也 兼 利 他 行 若 發菩提心 深 信 因 果 不 謗 正 法 
X16n0311_002:0389a17	少修功德。專念佛名。回向願生。化佛來迎。坐蓮華	少 修 功 德 專 念 佛 名 回 向 願 生 化 佛 來 迎 坐 蓮 華 
X16n0311_002:0389a18	中。往生其國。住不退轉。功德智慧。此名為中輩也。	中 往 生 其 國 住不退轉 功 德 智 慧 此 名 為 中 輩 也 
X16n0311_002:0389a19	唯自利行。若發菩提心。亦信因果。不謗正法。不造	唯 自 利 行 若 發菩提心 亦 信 因 果 不 謗 正 法 不 造 
X16n0311_002:0389a20	五逆。雖無功德。專念佛名十聲一聲。臨命終時夢	五 逆 雖 無 功 德 專 念 佛 名 十 聲 一 聲 臨命終時 夢 
X16n0311_002:0389a21	見彼佛。亦得往生。功德智慧。此名為下輩也。缺二	見 彼 佛 亦 得 往 生 功 德 智 慧 此 名 為 下 輩 也 缺 二 
X16n0311_002:0389a22	利行。若七日七夜禮念佛名。三心(至誠心。深心。回向發願心)六	利 行 若 七日七夜 禮 念 佛 名 三 心 至 誠 心 深 心 回 向 發 願 心 六 
X16n0311_002:0389a23	念(佛。法。僧。天。施。戒)讀經解義。深信因果。持戒利生。發心發	念 佛 法 僧 天 施 戒 讀 經 解 義 深 信 因 果 持 戒 利 生 發 心 發 
X16n0311_002:0389a24	願。回向求生者。(因也)真佛與化佛來迎。乘金剛臺。即	願 回 向 求 生 者 因 也 真 佛 與 化 佛 來 迎 乘 金 剛 臺 即 
X16n0311_002:0389b01	得華開見佛聞法。悟無生忍。受諸佛記。(果也)此名為	得 華 開 見佛聞法 悟 無 生 忍 受 諸 佛 記 果 也 此 名 為 
X16n0311_002:0389b02	上品上生也。若五日五夜專意念佛。不謗三寶。善	上 品 上 生 也 若 五 日 五 夜 專 意 念 佛 不 謗 三 寶 善 
X16n0311_002:0389b03	解義趣。深信因果。持戒弘法。發大心願。回向求生	解 義 趣 深 信 因 果 持 戒 弘 法 發 大 心 願 回 向 求 生 
X16n0311_002:0389b04	者。(因也)真佛與化佛來迎。乘紫金臺。經宿華開。見佛	者 因 也 真 佛 與 化 佛 來 迎 乘 紫 金 臺 經 宿 華 開 見 佛 
X16n0311_002:0389b05	聞法。七日後菩提不退。一小劫得忍受記。(果也)此名	聞 法 七 日 後 菩 提 不 退 一 小 劫 得 忍 受 記 果 也 此 名 
X16n0311_002:0389b06	為上品中生也。若七日或五夜至心念佛。不謗三	為 上 品 中 生 也 若 七 日 或 五 夜 至 心 念 佛 不 謗 三 
X16n0311_002:0389b07	寶。深信因果。持戒利物。發大道心。回向求生者。(因也)	寶 深 信 因 果 持 戒 利 物 發 大 道 心 回 向 求 生 者 因 也 
X16n0311_002:0389b08	真佛與化佛來接。坐金蓮華。一日一夜華開。七日	真 佛 與 化 佛 來 接 坐 金 蓮 華 一 日 一 夜 華 開 七 日 
X16n0311_002:0389b09	之中見佛。於三七後聞法。經三小劫。住歡喜地。(果也)	之 中 見 佛 於 三 七 後 聞 法 經 三 小 劫 住 歡 喜 地 果 也 
X16n0311_002:0389b10	此名為上品下生也。如是三品。即前上輩所開。兼	此 名 為 上 品 下 生 也 如 是 三 品 即 前 上 輩 所 開 兼 
X16n0311_002:0389b11	利他行。若三日三夜禮念佛名。持諸齋戒。發心發	利 他 行 若 三 日 三 夜 禮 念 佛 名 持 諸 齋 戒 發 心 發 
X16n0311_002:0389b12	願回向求生者。(因也)真佛來引。乘蓮華臺。往生彼土	願 回 向 求 生 者 因 也 真 佛 來 引 乘 蓮 華 臺 往 生 彼 土 
X16n0311_002:0389b13	蓮華即開。聞四諦法。得羅漢果。(果也)此名為中品上	蓮 華 即 開 聞 四 諦 法 得 羅 漢 果 果 也 此 名 為 中 品 上 
X16n0311_002:0389b14	生也。若一日一夜稱念彌陀。八戒十戒。發心發願	生 也 若 一 日 一 夜 稱 念 彌 陀 八 戒 十 戒 發 心 發 願 
X16n0311_002:0389b15	回向求生者。(因也)真佛來引。坐七寶蓮。經七日開。得	回 向 求 生 者 因 也 真 佛 來 引 坐 七 寶 蓮 經 七 日 開 得 
X16n0311_002:0389b16	須陀洹。至半劫後成羅漢界。(果也)此名為中品中生	須 陀 洹 至 半 劫 後 成 羅 漢 界 果 也 此 名 為 中 品 中 生 
X16n0311_002:0389b17	也。若一日或一夜專意念佛。孝養仁慈。臨終遇善	也 若 一 日 或 一 夜 專 意 念 佛 孝 養 仁 慈 臨 終 遇 善 
X16n0311_002:0389b18	知識指示淨土法門者。(因也)命終坐蓮華生彼。經	知 識 指 示 淨 土 法 門 者 因 也 命 終 坐 蓮 華 生 彼 經 
X16n0311_002:0389b19	七日已。聞法得須陀洹。過一小劫成阿羅漢。(果也)此	七 日 已 聞 法 得 須 陀 洹 過 一 小 劫 成 阿 羅 漢 果 也 此 
X16n0311_002:0389b20	名為中品下生也。如是三品。即前中輩所開。唯自	名 為 中 品 下 生 也 如 是 三 品 即 前 中 輩 所 開 唯 自 
X16n0311_002:0389b21	利行。若不謗正法。亦作眾惡。命終時。聞經名。稱彌	利 行 若 不 謗 正 法 亦 作 眾 惡 命 終 時 聞 經 名 稱 彌 
X16n0311_002:0389b22	陀至半日或半夜者。(因也)化佛來引。坐寶蓮華。經七	陀 至 半 日 或 半 夜 者 因 也 化 佛 來 引 坐 寶 蓮 華 經 七 
X16n0311_002:0389b23	七日華開。聞法發菩提心。過十小劫得入初地。(果也)	七 日 華 開 聞 法 發菩提心 過 十 小 劫 得 入 初 地 果 也 
X16n0311_002:0389b24	此名為下品上生也。若破戒偷盜。然不謗三寶。臨	此 名 為 下 品 上 生 也 若 破 戒 偷 盜 然 不 謗 三 寶 臨 
X16n0311_002:0389c01	終聞淨土法。稱念佛名。經一時一刻者。(因也)化佛來	終 聞 淨 土 法 稱 念 佛 名 經 一 時 一 刻 者 因 也 化 佛 來 
X16n0311_002:0389c02	引。坐蓮華上。過六劫後。蓮華始開。聞法發心。(果也)此	引 坐 蓮 華 上 過 六 劫 後 蓮 華 始 開 聞 法 發 心 果 也 此 
X16n0311_002:0389c03	名為下品中生也。若造五逆十惡。然亦不謗正法。	名 為 下 品 中 生 也 若 造 五 逆 十 惡 然 亦 不 謗 正 法 
X16n0311_002:0389c04	臨終聞佛。至心十念乃至一念者。(因也)命終。見金蓮	臨 終 聞 佛 至 心 十 念 乃 至 一 念 者 因 也 命 終 見 金 蓮 
X16n0311_002:0389c05	華。滿十二大劫蓮華方開。聞實相法。發無上心。(果也)	華 滿 十 二 大 劫 蓮 華 方 開 聞 實 相 法 發 無 上 心 果 也 
X16n0311_002:0389c06	此名為下品下生也。如是三品。即前下輩所開。無	此 名 為 下 品 下 生 也 如 是 三 品 即 前 下 輩 所 開 無 
X16n0311_002:0389c07	二利行。問。大本云唯除五逆。觀經云五逆得生。二	二 利 行 問 大 本 云 唯 除 五 逆 觀 經 云 五 逆 得 生 二 
X16n0311_002:0389c08	義云何。答。大本云唯除五逆誹謗正法。則知五逆	義 云 何 答 大 本 云 唯 除 五 逆 誹謗正法 則 知 五 逆 
X16n0311_002:0389c09	而兼謗法者。乃在所除也。如不兼謗者。亦未必除。	而 兼 謗 法 者 乃 在 所 除 也 如 不 兼 謗 者 亦 未 必 除 
X16n0311_002:0389c10	良由謗則不信。不信則不生。所謂疑則華不開。是	良 由 謗 則 不 信 不 信 則 不 生 所 謂 疑 則 華 不 開 是 
X16n0311_002:0389c11	也。觀經但言五逆。不言謗法。則知雖具五逆。不謗	也 觀 經 但 言 五 逆 不 言 謗 法 則 知 雖 具 五 逆 不 謗 
X16n0311_002:0389c12	法者。必定得生。如兼謗者。亦不生也。良由信則不	法 者 必 定 得 生 如 兼 謗 者 亦 不 生 也 良 由 信 則 不 
X16n0311_002:0389c13	謗。不謗則華開。所謂信則決定生。是也。下輩下品	謗 不 謗 則 華 開 所 謂 信 則 決 定 生 是 也 下 輩 下 品 
X16n0311_002:0389c14	者。謂下輩內之下品。非中上也。問。大本三輩。純明	者 謂 下 輩 內 之 下 品 非 中 上 也 問 大 本 三 輩 純 明 
X16n0311_002:0389c15	善行不及惡人。止齊觀經前之六品。云何今以下	善 行 不 及 惡 人 止 齊 觀 經 前 之 六 品 云 何 今 以 下 
X16n0311_002:0389c16	輩配下品耶。答。有三意。一約行因。善惡雖異。而位	輩 配 下 品 耶 答 有 三 意 一 約 行 因 善 惡 雖 異 而 位 
X16n0311_002:0389c17	次輩品正同。(三三成九故)今取位不取行也。二下輩與	次 輩 品 正 同 三 三 成 九 故 今 取 位 不 取 行 也 二 下 輩 與 
X16n0311_002:0389c18	下品。十念行同故。三五逆十惡而不謗者。亦攝下	下 品 十 念 行 同 故 三 五 逆 十 惡 而 不 謗 者 亦 攝 下 
X16n0311_002:0389c19	輩善人中故。大本云。地獄鬼畜生亦生我剎中。墮	輩 善 人 中 故 大 本 云 地 獄 鬼 畜 生 亦 生 我 剎 中 墮 
X16n0311_002:0389c20	地獄者。非五逆人而何。若下輩不攝。置於何輩耶。	地 獄 者 非 五 逆 人 而 何 若 下 輩 不 攝 置 於 何 輩 耶 
X16n0311_002:0389c21	盡形持者。大本經云。一向專念無量壽佛。則知一	盡 形 持 者 大 本 經 云 一 向 專 念 無 量 壽 佛 則 知 一 
X16n0311_002:0389c22	生持也。九十日者。般舟三昧經云。九十日中常行	生 持 也 九 十 日 者 般舟三昧 經 云 九 十 日 中 常 行 
X16n0311_002:0389c23	常立。一心繫念。於三昧中得見阿彌。文殊般若云。	常 立 一 心 繫 念 於 三 昧 中 得 見 阿 彌 文 殊 般 若 云 
X16n0311_002:0389c24	九十日中。端坐西向。專念於佛。即成三昧。七七者。	九 十 日 中 端 坐 西 向 專 念 於 佛 即 成 三 昧 七 七 者 
X16n0311_002:0390a01	大集經云。若專念佛至七七日。現身見佛。一七者。	大 集 經 云 若 專 念 佛 至 七 七 日 現 身 見 佛 一 七 者 
X16n0311_002:0390a02	彌陀經觀經皆云。一日乃至七日即得往生。十日	彌 陀 經 觀 經 皆 云 一 日 乃至七日 即 得 往 生 十 日 
X16n0311_002:0390a03	者。鼓音王經云。受持佛號十日十夜。除捨散亂。必	者 鼓 音 王 經 云 受 持 佛 號 十 日 十 夜 除 捨 散 亂 必 
X16n0311_002:0390a04	得見佛。大本云。一心常念十晝夜不絕者。命終必	得 見 佛 大 本 云 一 心 常 念 十 晝 夜 不 絕 者 命 終 必 
X16n0311_002:0390a05	生我剎。一日者。大本云。一心繫念於我。雖止一晝	生 我 剎 一 日 者 大 本 云 一 心 繫 念 於 我 雖 止 一 晝 
X16n0311_002:0390a06	夜不絕。必生我剎。十念者。觀經云。其人苦迫不遑	夜 不 絕 必 生 我 剎 十 念 者 觀 經 云 其 人 苦 迫 不 遑 
X16n0311_002:0390a07	念佛。十聲稱佛。即得往生。一念者。大本云。信樂不	念 佛 十 聲 稱 佛 即 得 往 生 一 念 者 大 本 云 信 樂 不 
X16n0311_002:0390a08	疑。乃至一念念於彼佛。亦得往生。問。云何一念彼	疑 乃 至 一 念 念 於 彼 佛 亦 得 往 生 問 云 何 一 念 彼 
X16n0311_002:0390a09	佛。亦得生彼國土。一聲彌陀。能滅八十億劫生死	佛 亦 得 生 彼 國 土 一 聲 彌 陀 能 滅 八 十 億 劫 生 死 
X16n0311_002:0390a10	罪耶。答。一心朗念。積妄頓空。喻如一燈能滅千年	罪 耶 答 一 心 朗 念 積 妄 頓 空 喻 如 一 燈 能 滅 千 年 
X16n0311_002:0390a11	室暗。一火能燒百輛車薪。況乘如來本願功德。豈	室 暗 一 火 能 燒 百 輛 車 薪 況 乘 如 來 本 願 功 德 豈 
X16n0311_002:0390a12	可思議耶。故法華云。一稱南無佛。皆已成佛道。佛	可 思 議 耶 故 法 華 云 一 稱 南 無 佛 皆 已 成 佛 道 佛 
X16n0311_002:0390a13	名經云。一聞佛名。滅無量劫生死之罪。大悲經云。	名 經 云 一 聞 佛 名 滅 無 量 劫 生 死 之 罪 大 悲 經 云 
X16n0311_002:0390a14	一稱佛名。以是善根。入涅槃界不可窮盡。大莊嚴	一 稱 佛 名 以 是 善 根 入 涅 槃 界 不可窮盡 大 莊 嚴 
X16n0311_002:0390a15	經論云。佛世一老人來求出家。舍利弗等俱不肯	經 論 云 佛 世 一 老 人 來 求 出 家 舍 利 弗 等 俱 不 肯 
X16n0311_002:0390a16	度。以觀彼多劫無善根故。佛自度之。即證道果。因	度 以 觀 彼 多 劫 無 善 根 故 佛 自 度 之 即 證 道 果 因 
X16n0311_002:0390a17	告大眾。此人無量劫前。為採薪人。猛虎逼極。大怖	告 大 眾 此 人 無 量 劫 前 為 採 薪 人 猛 虎 逼 極 大 怖 
X16n0311_002:0390a18	上樹。稱南無佛。以是善根。遇我得度。況有下。上明	上 樹 稱 南 無 佛 以 是 善 根 遇 我 得 度 況 有 下 上 明 
X16n0311_002:0390a19	自力。此明他力。自力復二。一者稱念彼佛力。如帆	自 力 此 明 他 力 自 力 復 二 一 者 稱 念 彼 佛 力 如 帆 
X16n0311_002:0390a20	楫。二者本有佛性力。如舟船。他力即是佛願攝取	楫 二 者 本 有 佛 性 力 如 舟 船 他 力 即 是 佛 願 攝 取 
X16n0311_002:0390a21	力。如順風。三事周圓。必生彼土矣。問。佛既自來迎	力 如 順 風 三 事 周 圓 必 生 彼 土 矣 問 佛 既 自 來 迎 
X16n0311_002:0390a22	引。何又假多少化佛授手耶。答。顯其功行有淺深	引 何 又 假 多 少 化 佛 授 手 耶 答 顯 其 功 行 有 淺 深 
X16n0311_002:0390a23	故。如善導千念而飛千光。少康十聲而出十佛。華	故 如 善 導 千 念 而 飛 千 光 少 康 十 聲 而 出 十 佛 華 
X16n0311_002:0390a24	嚴離垢幢菩薩偈云。以佛為境界。專念而不捨。此	嚴 離 垢 幢 菩 薩 偈 云 以 佛 為 境 界 專 念 而 不 捨 此 
