X53n0837_001:0106a06	法宗原	法 宗 原 
X53n0837_001:0110c14	餘二十四唯非學非無學十四不相應中得四相通	餘 二 十 四 唯 非 學 非 無 學 十 四 不 相 應 中 得 四 相 通 
X53n0837_001:0110c15	三學餘九種唯非學非無學三無為唯非學非無學。	三 學 餘 九 種 唯 非 學 非 無 學 三 無 為 唯 非 學 非 無 學 
X53n0837_001:0110c16	有尋有伺等三地者一有尋有伺地謂欲界初定	有 尋 有 伺 等 三 地 者 一 有 尋 有 伺 地 謂 欲 界 初 定 
X53n0837_001:0110c17	二無尋唯伺地謂靜慮中間地三無尋無伺地謂二	二 無 尋 唯 伺 地 謂 靜 慮 中 間 地 三 無 尋 無 伺 地 謂 二 
X53n0837_001:0110c18	定已上諸地由依三地起法不同故分三別色十一	定 已 上 諸 地 由 依 三 地 起 法 不 同 故 分 三 別 色 十 一 
X53n0837_001:0110c19	中香味唯有尋有伺餘九通三地心王通三地四十	中 香 味 唯 有 尋 有 伺 餘 九 通 三 地 心 王 通 三 地 四 十 
X53n0837_001:0110c20	六心所法中不善地法二小煩惱地法中忿覆慳嫉	六 心 所 法 中 不 善 地 法 二 小煩惱地法 中 忿 覆 慳 嫉 
X53n0837_001:0110c21	惱害恨不定中尋睡眠惡作嗔此十三唯有尋有伺	惱 害 恨 不 定 中 尋 睡 眠 惡 作 嗔 此 十 三 唯 有 尋 有 伺 
X53n0837_001:0110c22	地諂誑及伺此通有尋有伺地無尋唯伺地餘三十	地 諂 誑 及 伺 此 通 有 尋 有 伺 地 無 尋 唯 伺 地 餘 三 十 
X53n0837_001:0110c23	法通三地不相應中得非得同分命根四相通三地	法 通 三 地 不 相 應 中 得 非 得 同 分 命 根 四 相 通 三 地 
X53n0837_001:0110c24	無想異熟二定唯無尋無伺地名句文若說隨語繫	無 想 異 熟 二 定 唯 無 尋 無 伺 地 名 句 文 若 說 隨 語 繫 
X53n0837_001:0111a01	欲界初定通有尋有伺地無尋唯伺地若說隨身繫	欲 界 初 定 通 有 尋 有 伺 地 無 尋 唯 伺 地 若 說 隨 身 繫 
X53n0837_001:0111a02	通三地。三業者一身業二語業三意業造作名業	通 三 地 三 業 者 一 身 業 二 語 業 三 意 業 造 作 名 業 
X53n0837_001:0111a03	依身起業故名身業表無表性即語名業故名語業	依 身 起 業 故 名 身 業 表 無 表 性 即 語 名 業 故 名 語 業 
X53n0837_001:0111a04	表無表性由意等起故名意業體即是思身表以色	表 無 表 性 由 意 等 起 故 名 意 業 體 即 是 思 身 表 以 色 
X53n0837_001:0111a05	十為性語表以聲為性身語無表以無表為性意業	十 為 性 語 表 以 聲 為 性 身 語 無 表 以 無 表 為 性 意 業 
X53n0837_001:0111a06	以大地法中思為性。三寶者一佛寶二法寶三僧	以 大 地 法 中 思 為 性 三 寶 者 一 佛 寶 二 法 寶 三 僧 
X53n0837_001:0111a07	寶世所珍重故名為寶覺悟名佛以佛身中無漏五	寶 世 所 珍 重 故 名 為 寶 覺 悟 名 佛 以 佛 身 中 無 漏 五 
X53n0837_001:0111a08	蘊為體法謂軌持即是涅槃善常最勝故名為法寶	蘊 為 體 法 謂 軌 持 即 是 涅 槃 善 常 最 勝 故 名 為 法 寶 
X53n0837_001:0111a09	和合名僧四向四果聲聞身中無漏五蘊七十五法	和 合 名 僧 四向四果 聲 聞 身 中 無 漏 五 蘊 七十五法 
X53n0837_001:0111a10	中無表色心王大地法十大善地法十尋伺得四相	中 無 表 色 心 王 大 地 法 十 大善地法 十 尋 伺 得 四 相 
X53n0837_001:0111a11	通佛僧寶擇滅唯法。三藏者一素怛纜藏謂經能	通 佛 僧 寶 擇 滅 唯 法 三 藏 者 一 素 怛 纜 藏 謂 經 能 
X53n0837_001:0111a12	詮於定二毗奈耶藏謂律能詮於戒三阿毗達磨藏	詮 於 定 二 毗 奈 耶 藏 謂 律 能 詮 於 戒 三 阿 毗 達 磨 藏 
X53n0837_001:0111a13	謂論能詮於慧包含名藏此三藏教體准藏婆沙評	謂 論 能 詮 於 慧 包 含 名 藏 此 三 藏 教 體 准 藏 婆 沙 評 
X53n0837_001:0111a14	家以音聲為體即是七十五法中聲也。戒等三學	家 以 音 聲 為 體 即 是 七十五法 中 聲 也 戒 等 三 學 
X53n0837_001:0111a15	者一戒學謂無漏戒二定學謂無漏定三慧學謂無	者 一 戒 學 謂 無 漏 戒 二 定 學 謂 無 漏 定 三 慧 學 謂 無 
X53n0837_001:0111a16	漏慧學戒定慧故名為學戒以色十一中無表為性	漏 慧 學 戒 定 慧 故 名 為 學 戒 以 色 十 一 中 無 表 為 性 
X53n0837_001:0111a17	定慧以大地法中定慧為性。三種戒者一別解脫	定 慧 以 大 地 法 中 定 慧 為 性 三 種 戒 者 一 別 解 脫 
X53n0837_001:0111a18	戒謂受戒時別別棄捨種種惡故名別解脫戒表無	戒 謂 受 戒 時 別 別 棄 捨 種 種 惡 故 名 別解脫戒 表 無 
X53n0837_001:0111a19	表性二定俱戒與定同時名定俱戒以有漏無表為	表 性 二 定 俱 戒 與 定 同 時 名 定 俱 戒 以 有 漏 無 表 為 
X53n0837_001:0111a20	性三道俱戒與無漏道同時名道共戒以無漏無表	性 三 道 俱 戒 與 無 漏 道 同 時 名 道 共 戒 以 無 漏 無 表 
X53n0837_001:0111a21	為性七十五法中色聲表以色十一中色聲為性三	為 性 七十五法 中 色 聲 表 以 色 十 一 中 色 聲 為 性 三 
X53n0837_001:0111a22	種無表皆以無表為性。有尋有伺等三定者一有	種 無 表 皆 以 無 表 為 性 有 尋 有 伺 等 三 定 者 一 有 
X53n0837_001:0111a23	尋有伺定謂未至初定二無尋唯伺定謂中間定三	尋 有 伺 定 謂 未 至 初 定 二 無 尋 唯 伺 定 謂 中 間 定 三 
X53n0837_001:0111a24	無尋無伺定謂二定已上皆通有漏及無漏定此三	無 尋 無 伺 定 謂 二 定 已 上 皆 通 有 漏 及 無 漏 定 此 三 
X53n0837_001:0111b01	皆以大地法中定為體性由相應法依地不同故分	皆 以 大 地 法 中 定 為 體 性 由 相 應 法 依 地 不 同 故 分 
X53n0837_001:0111b02	三種。淨等三定者一味定謂色無色界愛相應定	三 種 淨 等 三 定 者 一 味 定 謂 色無色界 愛 相 應 定 
X53n0837_001:0111b03	二淨定謂有漏善定三無漏定謂無漏法相應定此	二 淨 定 謂 有 漏 善 定 三 無 漏 定 謂 無 漏 法 相 應 定 此 
X53n0837_001:0111b04	三皆以心所法中定為體也。三牟尼者一身牟尼	三 皆 以 心 所 法 中 定 為 體 也 三 牟 尼 者 一 身 牟 尼 
X53n0837_001:0111b05	謂無學身業二語牟尼謂無學語業三意牟尼謂無	謂 無 學 身 業 二 語 牟 尼 謂 無 學 語 業 三 意 牟 尼 謂 無 
X53n0837_001:0111b06	學意業牟尼此云寂默諸煩惱言皆寂默故身語牟	學 意 業 牟 尼 此 云 寂 默 諸 煩 惱 言 皆 寂 默 故 身 語 牟 
X53n0837_001:0111b07	尼以色十一中無表為性意牟尼以心王為性唯是	尼 以 色 十 一 中 無 表 為 性 意 牟 尼 以 心 王 為 性 唯 是 
X53n0837_001:0111b08	無漏。三清淨者一身清淨二語清淨三意清淨蹔	無 漏 三 清 淨 者 一 身 清 淨 二 語 清 淨 三 意 清 淨 蹔 
X53n0837_001:0111b09	永遠離一切惡行煩惱垢故名為清淨體性相攝如	永 遠 離 一 切 惡 行 煩 惱 垢 故 名 為 清 淨 體 性 相 攝 如 
X53n0837_001:0111b10	下三妙行中說。三惡行者一身惡行謂一切不善	下 三 妙 行 中 說 三 惡 行 者 一 身 惡 行 謂 一 切 不 善 
X53n0837_001:0111b11	身業二語惡行謂一切不善語業三意惡行謂一切	身 業 二 語 惡 行 謂 一 切 不 善 語 業 三 意 惡 行 謂 一 切 
X53n0837_001:0111b12	不善意業及非意業貪嗔邪見此行即惡故名惡行	不 善 意 業 及 非 意 業 貪 嗔 邪 見 此 行 即 惡 故 名 惡 行 
X53n0837_001:0111b13	身惡行以色十一中無表為性語惡行以聲及無表	身 惡 行 以 色 十 一 中 無 表 為 性 語 惡 行 以 聲 及 無 表 
X53n0837_001:0111b14	為性意惡行以心所中思貪嗔慧為性。三妙行者	為 性 意 惡 行 以 心 所 中 思 貪 嗔 慧 為 性 三 妙 行 者 
X53n0837_001:0111b15	一身妙行謂一切善身業二語妙行謂一切善語業	一 身 妙 行 謂 一 切 善 身 業 二 語 妙 行 謂 一 切 善 語 業 
X53n0837_001:0111b16	三意妙行謂一切善意業及非意業無貪無嗔正見	三 意 妙 行 謂 一 切 善 意 業 及 非 意 業 無 貪 無 嗔 正 見 
X53n0837_001:0111b17	此行即妙故名妙行身妙行以色十一中色及無表	此 行 即 妙 故 名 妙 行 身 妙 行 以 色 十 一 中 色 及 無 表 
X53n0837_001:0111b18	為性語妙行以聲及無表為性意妙行以心所思無	為 性 語 妙 行 以 聲 及 無 表 為 性 意 妙 行 以 心 所 思 無 
X53n0837_001:0111b19	貪無嗔慧為性。三明者一宿住智證明治前際愚	貪 無 嗔 慧 為 性 三 明 者 一 宿住智證明 治 前 際 愚 
X53n0837_001:0111b20	即六通中宿住隨念智證通二死生智證明治後際	即 六 通 中 宿住隨念智 證 通 二 死 生 智 證 明 治 後 際 
X53n0837_001:0111b21	愚即六通中天眼智證通三漏盡智證明治中際愚	愚 即 六 通 中 天眼智證通 三 漏盡智證明 治 中 際 愚 
X53n0837_001:0111b22	即六通中漏盡智證通前二世俗智後一若緣漏盡	即 六 通 中 漏盡智證通 前 二 世 俗 智 後 一 若 緣 漏 盡 
X53n0837_001:0111b23	為境六智性謂法類俗盡無生滅若漏盡身中起即	為 境 六 智 性 謂 法 類 俗 盡 無 生 滅 若 漏 盡 身 中 起 即 
X53n0837_001:0111b24	十智性此三皆以心所法中慧為體性。三示導者	十 智 性 此 三 皆 以 心 所 法 中 慧 為 體 性 三 示 導 者 
X53n0837_001:0111c01	一神變示導即六通中神境智證通俗智性二記心	一 神 變 示 導 即 六 通 中 神境智證通 俗 智 性 二 記 心 
X53n0837_001:0111c02	示導即六通中佗心智證通五智性謂法類道俗佗	示 導 即 六 通 中 佗 心 智 證 通 五 智 性 謂 法 類 道 俗 佗 
X53n0837_001:0111c03	心三教誡示導即六通中漏盡智證通或六智或十	心 三 教 誡 示 導 即 六 通 中 漏盡智證通 或 六 智 或 十 
X53n0837_001:0111c04	智如前說能示能導得示導名此三皆以心所法中	智 如 前 說 能 示 能 導 得 示 導 名 此 三 皆 以 心 所 法 中 
X53n0837_001:0111c05	慧為體性。三種三摩地者一空三摩地謂空非我	慧 為 體 性 三 種 三 摩 地 者 一 空三摩地 謂 空 非 我 
X53n0837_001:0111c06	相應等持二無相三摩地謂緣滅諦四種行相相應	相 應 等 持 二 無相三摩地 謂 緣 滅 諦 四 種 行 相 相 應 
X53n0837_001:0111c07	等持滅諦無十相謂無色等五男女二三有為相故	等 持 滅 諦 無 十 相 謂 無 色 等 五 男 女 二 三 有 為 相 故 
X53n0837_001:0111c08	名無相緣彼三摩地得無相名三無願三摩地緣苦	名 無 相 緣 彼 三 摩 地 得 無 相 名 三 無 願 三 摩 地 緣 苦 
X53n0837_001:0111c09	集道十種行相相應等持言十種者謂非常苦因集	集 道 十 種 行 相 相 應 等 持 言 十 種 者 謂 非 常 苦 因 集 
X53n0837_001:0111c10	生緣道如行出苦集二諦可厭患故道如船筏必可	生 緣 道 如 行 出 苦 集 二 諦 可 厭 患 故 道 如 船 筏 必 可 
X53n0837_001:0111c11	捨故能緣彼定得無願名空非我相非可厭捨以與	捨 故 能 緣 彼 定 得 無 願 名 空 非 我 相 非 可 厭 捨 以 與 
X53n0837_001:0111c12	涅槃相相似故故不相應此三皆通有漏無漏心所	涅 槃 相 相 似 故 故 不 相 應 此 三 皆 通 有漏無漏 心 所 
X53n0837_001:0111c13	法中定為體性。三解脫門者一空解脫門二無願	法 中 定 為 體 性 三解脫門 者 一 空解脫門 二 無 願 
X53n0837_001:0111c14	解脫門三無相解脫門能與涅槃為入門故應知是	解 脫 門 三 無相解脫門 能 與 涅 槃 為 入 門 故 應 知 是 
X53n0837_001:0111c15	前三等持中無漏者。	前 三 等 持 中 無 漏 者 
X53n0837_001:0111c16	四門分別略有二十二種四諦四食四身繫四顛倒	四 門 分 別 略 有 二 十 二 種 四 諦 四 食 四 身 繫 四 顛 倒 
X53n0837_001:0111c17	四識住四靜慮四無色四緣四生四業四念住四善	四 識 住 四 靜 慮 四 無 色 四 緣 四 生 四 業 四 念 住 四 善 
X53n0837_001:0111c18	根四向四果四無畏四無礙解四無量四正斷四神	根 四向四果 四 無 畏 四無礙解 四 無 量 四 正 斷 四 神 
X53n0837_001:0111c19	足四通行四道四證淨。四諦者一苦諦謂有漏果	足 四 通 行 四 道 四 證 淨 四 諦 者 一 苦 諦 謂 有 漏 果 
X53n0837_001:0111c20	逼迫性故二集諦謂能招集故謂有漏因三滅諦生	逼 迫 性 故 二 集 諦 謂 能 招 集 故 謂 有 漏 因 三 滅 諦 生 
X53n0837_001:0111c21	死斷故謂擇滅四道諦通行義故謂無漏道七十五	死 斷 故 謂 擇 滅 四 道 諦 通 行 義 故 謂 無 漏 道 七 十 五 
X53n0837_001:0111c22	法中無表心王大善地法十大地法十尋伺得四相	法 中 無 表 心 王 大善地法 十大地法 十 尋 伺 得 四 相 
X53n0837_001:0111c23	此二十九通苦集道三諦擇滅一種唯滅諦餘四十	此 二 十 九 通 苦 集 道 三 諦 擇 滅 一 種 唯 滅 諦 餘 四 十 
X53n0837_001:0111c24	五中除虗空非擇滅餘四十三通苦集二諦虗空非	五 中 除 虗 空 非 擇 滅 餘 四 十 三 通 苦 集 二 諦 虗 空 非 
X53n0837_001:0112a01	擇滅非四諦攝如前釋也。四食者一段食二觸食	擇 滅 非 四 諦 攝 如 前 釋 也 四 食 者 一 段 食 二 觸 食 
X53n0837_001:0112a02	三思食四識食資益名食皆唯有漏色十一中欲界	三 思 食 四 識 食 資 益 名 食 皆 唯 有 漏 色 十 一 中 欲 界 
X53n0837_001:0112a03	香味觸名段食大地法中觸名觸食思名思食心王	香 味 觸 名 段 食 大 地 法 中 觸 名 觸 食 思 名 思 食 心 王 
X53n0837_001:0112a04	名識食。四身繫者一貪欲身繫二嗔恚身繫三戒	名 識 食 四 身 繫 者 一 貪 欲 身 繫 二 嗔 恚 身 繫 三 戒 
X53n0837_001:0112a05	禁取身繫四此實執身繫欲界五部貪名初身繫五	禁 取 身 繫 四 此 實 執 身 繫 欲 界 五 部 貪 名 初 身 繫 五 
X53n0837_001:0112a06	部嗔名第二身繫六戒禁取名第三身繫十二見取	部 嗔 名 第 二 身 繫 六 戒 禁 取 名 第 三 身 繫 十 二 見 取 
X53n0837_001:0112a07	名第四身繫種種纏縛有情自體故名身繫是羂網	名 第 四 身 繫 種 種 纏 縛 有 情 自 體 故 名 身 繫 是 羂 網 
X53n0837_001:0112a08	有情身義前二以不定中貪嗔為體後二以大地法	有 情 身 義 前 二 以 不 定 中 貪 嗔 為 體 後 二 以 大 地 法 
X53n0837_001:0112a09	中慧為體。四顛倒者一於非常執常顛倒二於諸	中 慧 為 體 四 顛 倒 者 一 於 非 常 執 常 顛 倒 二 於 諸 
X53n0837_001:0112a10	苦執樂顛倒三於不淨執淨顛倒四於非我執我顛	苦 執 樂 顛 倒 三 於 不 淨 執 淨 顛 倒 四 於 非 我 執 我 顛 
X53n0837_001:0112a11	倒初一以邊見中常見為體次二以見取中計樂淨	倒 初 一 以 邊 見 中 常 見 為 體 次 二 以 見 取 中 計 樂 淨 
X53n0837_001:0112a12	為體後一以有身見中我見為體有說我倒攝身見	為 體 後 一 以 有 身 見 中 我 見 為 體 有 說 我 倒 攝 身 見 
X53n0837_001:0112a13	全皆以大地法中慧為性。四識住者一色識住二	全 皆 以 大 地 法 中 慧 為 性 四 識 住 者 一 色 識 住 二 
X53n0837_001:0112a14	受識住三想識住四行識住識著彼故名識住有漏	受 識 住 三 想 識 住 四 行 識 住 識 著 彼 故 名 識 住 有 漏 
X53n0837_001:0112a15	四蘊唯有情數七十五法中除心王及三無為餘隨	四 蘊 唯 有 情 數 七十五法 中 除 心 王 及 三 無 為 餘 隨 
X53n0837_001:0112a16	所應名四識住。四靜慮者初靜慮二靜慮三靜慮	所 應 名 四 識 住 四 靜 慮 者 初 靜 慮 二 靜 慮 三 靜 慮 
X53n0837_001:0112a17	四靜慮由定寂靜慧能審慮故名靜慮七十五法中	四 靜 慮 由 定 寂 靜 慧 能 審 慮 故 名 靜 慮 七十五法 中 
X53n0837_001:0112a18	眼等五根色聲觸無表心王大地法十大善地法十	眼 等 五 根 色 聲 觸 無 表 心 王 大 地 法 十 大善地法 十 
X53n0837_001:0112a19	大煩惱地法六憍慢貪疑不相應中得非得同分命	大煩惱地法 六 憍 慢 貪 疑 不 相 應 中 得 非 得 同 分 命 
X53n0837_001:0112a20	根四相通四靜慮諂誑尋伺唯初靜慮名句文若說	根 四 相 通 四 靜 慮 諂 誑 尋 伺 唯 初 靜 慮 名 句 文 若 說 
X53n0837_001:0112a21	隨語唯初靜慮若說隨身通四靜慮無想異熟無想	隨 語 唯 初 靜 慮 若 說 隨 身 通 四 靜 慮 無 想 異 熟 無 想 
X53n0837_001:0112a22	定唯第四靜慮。四無色者一空無邊處二識無邊	定 唯 第四靜慮 四 無 色 者 一 空 無 邊 處 二 識 無 邊 
X53n0837_001:0112a23	處二無所有處四非想非非想處四中前三從加行	處 二 無所有處 四 非想非非想處 四 中 前 三 從 加 行 
X53n0837_001:0112a24	立名謂加行位觀無邊空易能離色名空無邊處觀	立 名 謂 加 行 位 觀 無 邊 空 易 能 離 色 名 空 無 邊 處 觀 
X53n0837_001:0112b01	彼空已次復觀彼能緣識作識無邊解名識無邊處	彼 空 已 次 復 觀 彼 能 緣 識 作 識 無 邊 解 名 識無邊處 
X53n0837_001:0112b02	次復觀彼能緣之識無所有名無所有處後一當體	次 復 觀 彼 能 緣 之 識 無 所 有 名 無所有處 後 一 當 體 
X53n0837_001:0112b03	立名非想謂非有麤想非非想謂有昧劣想非同二	立 名 非 想 謂 非 有 麤 想 非 非 想 謂 有 昧 劣 想 非 同 二 
X53n0837_001:0112b04	定全無心想名非非想處是有情生長處也由無色	定 全 無 心 想 名 非非想處 是 有 情 生 長 處 也 由 無 色 
X53n0837_001:0112b05	故立無色名七十五法中心王大地法十大善地法	故 立 無 色 名 七十五法 中 心 王 大 地 法 十 大善地法 
X53n0837_001:0112b06	十大煩惱地法六憍貪慢疑得非得同分命根四相	十 大煩惱地法 六 憍 貪 慢 疑 得 非 得 同 分 命 根 四 相 
X53n0837_001:0112b07	通四無色滅盡定唯非非想。四緣者一因緣即因	通 四 無 色 滅 盡 定 唯 非 非 想 四 緣 者 一 因 緣 即 因 
X53n0837_001:0112b08	是緣謂五因性除能作二等無間緣等而無間名等	是 緣 謂 五 因 性 除 能 作 二 等無間緣 等 而 無 間 名 等 
X53n0837_001:0112b09	無間即等無間名緣謂除無學最後心心所法諸餘	無 間 即 等 無 間 名 緣 謂 除 無 學 最 後 心心所法 諸 餘 
X53n0837_001:0112b10	已生心心所法為性三所緣緣即所緣名緣以一切	已 生 心心所法 為 性 三 所 緣 緣 即 所 緣 名 緣 以 一 切 
X53n0837_001:0112b11	法為性四增上緣即增上名緣即能作因亦一切法	法 為 性 四 增 上 緣 即 增 上 名 緣 即 能 作 因 亦 一 切 法 
X53n0837_001:0112b12	為性若約七十五法因緣除三無為通餘七十二法	為 性 若 約 七十五法 因 緣 除 三 無 為 通 餘 七 十 二 法 
X53n0837_001:0112b13	等無間緣通心王及四十六心所法所緣緣增上緣	等無間緣 通 心 王 及 四 十 六 心 所 法 所 緣 緣 增 上 緣 
X53n0837_001:0112b14	通七十五法。四生者一胎生二卵生三濕生四化	通 七十五法 四 生 者 一 胎 生 二 卵 生 三 濕 生 四 化 
X53n0837_001:0112b15	生異熟五蘊為性七十五法中眼等五根色香味觸	生 異 熟 五 蘊 為 性 七十五法 中 眼 等 五 根 色香味觸 
X53n0837_001:0112b16	心王大地法十尋伺睡眠得同分命根四相通四生	心 王 大 地 法 十 尋 伺 睡 眠 得 同 分 命 根 四 相 通 四 生 
X53n0837_001:0112b17	無想異熟唯化生。四業者一順現法受業謂此生	無 想 異 熟 唯 化 生 四 業 者 一 順現法受業 謂 此 生 
X53n0837_001:0112b18	造即此生熟二順次生受業謂此生造第二生熟三	造 即 此 生 熟 二 順次生受業 謂 此 生 造 第 二 生 熟 三 
X53n0837_001:0112b19	順後次生受業謂此生造從第三生後次第熟四順	順 後 次 生 受 業 謂 此 生 造 從 第 三 生 後 次 第 熟 四 順 
X53n0837_001:0112b20	不定受業非定受業故立不定名皆唯有漏通善不	不定受業 非 定 受 業 故 立 不 定 名 皆 唯 有 漏 通 善 不 
X53n0837_001:0112b21	善七十五法中色聲無表心所中思體是業故皆通	善 七十五法 中 色 聲 無 表 心 所 中 思 體 是 業 故 皆 通 
X53n0837_001:0112b22	四業。四念住者一身念住二受念住三心念住四	四 業 四 念 住 者 一 身 念 住 二 受 念 住 三 心 念 住 四 
X53n0837_001:0112b23	法念住以大地法中慧為體性身受心法是所緣境	法 念 住 以 大 地 法 中 慧 為 體 性 身 受 心 法 是 所 緣 境 
X53n0837_001:0112b24	慧由念住從境及伴為名名身念住等。四善根者	慧 由 念 住 從 境 及 伴 為 名 名 身 念 住 等 四 善 根 者 
X53n0837_001:0112c01	一暖二頂三忍四世間第一諸聖道火前相名暖進	一 暖 二 頂 三 忍 四 世 間 第 一 諸 聖 道 火 前 相 名 暖 進 
X53n0837_001:0112c02	退二際猶如山頂名頂於四諦理情能堪忍名忍有	退 二 際 猶 如 山 頂 名 頂 於 四 諦 理 情 能 堪 忍 名 忍 有 
X53n0837_001:0112c03	漏故名世間勝暖等故名第一皆慧為體相應俱有	漏 故 名 世 間 勝 暖 等 故 名 第 一 皆 慧 為 體 相 應 俱 有 
X53n0837_001:0112c04	五蘊為性七十五法中無表心王大地法十大善地	五 蘊 為 性 七十五法 中 無 表 心 王 大 地 法 十 大 善 地 
X53n0837_001:0112c05	法十尋伺得四相皆通四種。四向者一預流向二	法 十 尋 伺 得 四 相 皆 通 四 種 四 向 者 一 預 流 向 二 
X53n0837_001:0112c06	一來向三不還向四阿羅漢向隨其所應皆以無漏	一 來 向 三 不 還 向 四 阿羅漢向 隨其所應 皆 以 無 漏 
X53n0837_001:0112c07	五蘊為性趣向果故名向七十五法中無表心王大	五 蘊 為 性 趣 向 果 故 名 向 七十五法 中 無 表 心 王 大 
X53n0837_001:0112c08	地法十大善地法十尋伺得四相皆通四向。四果	地 法 十 大善地法 十 尋 伺 得 四 相 皆 通 四 向 四 果 
X53n0837_001:0112c09	者一預流果二一來果三不還果四阿羅漢果預流	者 一 預 流 果 二 一 來 果 三 不 還 果 四 阿羅漢果 預 流 
X53n0837_001:0112c10	果者謂無漏道總名為流由此為因趣涅槃故預言	果 者 謂 無 漏 道 總 名 為 流 由 此 為 因 趣 涅 槃 故 預 言 
X53n0837_001:0112c11	為顯最初至得彼流故說名預流一來者彼往天上	為 顯 最 初 至 得 彼 流 故 說 名 預 流 一 來 者 彼 往 天 上 
X53n0837_001:0112c12	一來人間而般涅槃故名一來果不還者必不還來	一 來 人 間 而 般 涅 槃 故 名 一 來 果 不 還 者 必 不 還 來 
X53n0837_001:0112c13	生欲界故名不還阿羅漢者此云應即此唯應化佗	生 欲 界 故 名 不 還 阿 羅 漢 者 此 云 應 即 此 唯 應 化 佗 
X53n0837_001:0112c14	身故諸有情者所應供故名為應所求得遂故名為	身 故 諸 有 情 者 所 應 供 故 名 為 應 所 求 得 遂 故 名 為 
X53n0837_001:0112c15	果隨其所應皆以無漏五蘊擇滅為性七十五法中	果 隨其所應 皆 以 無 漏 五 蘊 擇 滅 為 性 七十五法 中 
X53n0837_001:0112c16	無表色心王大地法十大善地法十尋伺得四相擇	無 表 色 心 王 大 地 法 十 大善地法 十 尋 伺 得 四 相 擇 
X53n0837_001:0112c17	滅無為皆通四果。四無畏者一正等覺無畏我於	滅 無 為 皆 通 四 果 四 無 畏 者 一 正等覺無畏 我 於 
X53n0837_001:0112c18	諸法皆等正覺若得外難無怖畏故十智為性二漏	諸 法 皆 等 正 覺 若 得 外 難 無 怖 畏 故 十 智 為 性 二 漏 
X53n0837_001:0112c19	盡無畏我於諸漏已得永盡若得外難無怖畏故或	盡 無 畏 我 於 諸 漏 已 得 永 盡 若 得 外 難 無 怖 畏 故 或 
X53n0837_001:0112c20	六智為性或十智為性若漏盡為境六智性謂法類	六 智 為 性 或 十 智 為 性 若 漏 盡 為 境 六 智 性 謂 法 類 
X53n0837_001:0112c21	盡無生滅俗智若漏盡身中所得十智性三說障法	盡 無 生 滅 俗 智 若 漏 盡 身 中 所 得 十 智 性 三 說 障 法 
X53n0837_001:0112c22	無畏我為弟子說能障法染必為障若得外難無怖	無 畏 我 為 弟 子 說 能 障 法 染 必 為 障 若 得 外 難 無 怖 
X53n0837_001:0112c23	畏故八智為性除滅道智四說出道無畏我為弟子	畏 故 八 智 為 性 除 滅 道 智 四 說出道無畏 我 為 弟 子 
X53n0837_001:0112c24	說能出道修必出苦若得外難無怖畏故若緣能趣	說 能 出 道 修 必 出 苦 若 得 外 難 無 怖 畏 故 若 緣 能 趣 
X53n0837_001:0113a01	為境九智為性除滅若亦緣彼所趣為境十智為性	為 境 九 智 為 性 除 滅 若 亦 緣 彼 所 趣 為 境 十 智 為 性 
X53n0837_001:0113a02	由有智故不怯懼他故名無畏皆以心所中慧為體	由 有 智 故 不 怯 懼 他 故 名 無 畏 皆 以 心 所 中 慧 為 體 
X53n0837_001:0113a03	性。四無礙解者一法無礙解二義無礙解三詞無	性 四無礙解 者 一 法無礙解 二 義無礙解 三 詞 無 
X53n0837_001:0113a04	礙解四辨無礙解法義詞辨是所緣境無礙解是能	礙 解 四 辨 無 礙 解 法 義 詞 辨 是 所 緣 境 無 礙 解 是 能 
X53n0837_001:0113a05	緣智此四皆智為自性謂無退智緣能詮法名句文	緣 智 此 四 皆 智 為 自 性 謂 無 退 智 緣 能 詮 法 名 句 文 
X53n0837_001:0113a06	身立為第一緣所詮義立為第二緣方言詞立為第	身 立 為 第 一 緣 所 詮 義 立 為 第 二 緣 方 言 詞 立 為 第 
X53n0837_001:0113a07	三緣應正理無滯礙說及緣自在定慧二道立為第	三 緣 應 正 理 無 滯 礙 說 及 緣 自 在 定 慧 二 道 立 為 第 
X53n0837_001:0113a08	四法詞二種唯俗智性緣事境故義無礙解若說諸	四 法 詞 二 種 唯 俗 智 性 緣 事 境 故 義無礙解 若 說 諸 
X53n0837_001:0113a09	法皆名為義義無礙解十智性若唯涅槃名義義無	法 皆 名 為 義 義無礙解 十 智 性 若 唯 涅 槃 名 義 義 無 
X53n0837_001:0113a10	礙解六智性俗法類滅盡及無生辨無礙解九智性	礙 解 六 智 性 俗 法 類 滅 盡 及 無 生 辨 無 礙 解 九 智 性 
X53n0837_001:0113a11	除滅智緣說道故皆心所中慧為自性。四無量者	除 滅 智 緣 說 道 故 皆 心 所 中 慧 為 自 性 四 無 量 者 
X53n0837_001:0113a12	一慈無量二悲無量三喜無量四捨無量慈能與樂	一 慈 無 量 二 悲 無 量 三 喜 無 量 四 捨 無 量 慈 能 與 樂 
X53n0837_001:0113a13	悲能拔苦喜謂喜慶捨謂平等緣無量有情故名無	悲 能 拔 苦 喜 謂 喜 慶 捨 謂 平 等 緣 無 量 有 情 故 名 無 
X53n0837_001:0113a14	量慈悲大善地法中無嗔為性有說悲以不害為性	量 慈 悲 大善地法 中 無 嗔 為 性 有 說 悲 以 不 害 為 性 
