T85n2766_001:0306a04	藥師經疏	藥 師 經 疏 
T85n2766_001:0310a19	健心性和善王大夫人見之心著即微喚之。	健 心 性 和 善 王 大 夫 人 見 之 心 著 即 微 喚 之 
T85n2766_001:0310a20	欲令從己揵極不從。夫人大怒向王讒之反	欲 令 從 己 揵 極 不 從 夫 人 大 怒 向 王 讒 之 反 
T85n2766_001:0310a21	拔其罪。王聞即節節解之棄於塚間。命未絕	拔 其 罪 王 聞 即 節 節 解 之 棄 於 塚 間 命 未 絕 
T85n2766_001:0310a22	頃。其夜虎狼羅剎來欲食之。是時佛到其邊	頃 其 夜 虎 狼 羅 剎 來 欲 食 之 是 時 佛 到 其 邊 
T85n2766_001:0310a23	光明照之。身即平服。其心大喜。佛為說法。	光 明 照 之 身 即 平 服 其 心 大 喜 佛 為 說 法 
T85n2766_001:0310a24	則得三道。佛幸其手將至祇桓。是人言我身	則 得 三 道 佛 幸 其 手 將 至 祇 桓 是 人 言 我 身 
T85n2766_001:0310a25	己破己棄佛續我身。今當盡此形壽以身布	己 破 己 棄 佛 續 我 身 今 當 盡 此 形 壽 以 身 布 
T85n2766_001:0310a26	施　佛及比丘僧明曰。波斯匿王聞是事。來至	施 佛 及 比 丘 僧 明 曰 波 斯 匿 王 聞 是 事 來 至 
T85n2766_001:0310a27	祇。桓語揵極言向悔過。汝實無罪枉相形害。	祇 桓 語 揵 極 言 向 悔 過 汝 實 無 罪 枉 相 形 害 
T85n2766_001:0310a28	今當與汝分國半治。揵極言。我亦厭矣。王亦	今 當 與 汝 分 國 半 治 揵 極 言 我 亦 厭 矣 王 亦 
T85n2766_001:0310a29	無罪。我宿世殃各罪報應爾。我今己身施佛	無 罪 我 宿 世 殃 各 罪 報 應 爾 我 今 己 身 施 佛 
T85n2766_001:0310b01	及僧不復還也。如是若有眾生不具足者。蒙	及 僧 不 復 還 也 如 是 若 有 眾 生 不具足者 蒙 
T85n2766_001:0310b02	佛光明得具足。就此願中但有二別。第一標	佛 光 明 得 具 足 就 此 願 中 但 有 二 別 第 一 標 
T85n2766_001:0310b03	數。二出外化之境。即是盲聾眾生何意無興	數 二 出 外 化 之 境 即 是 盲 聾 眾 生 何 意 無 興 
T85n2766_001:0310b04	願明公何假興願求病六情不具。所以此中	願 明 公 何 假 興 願 求 病 六 情 不 具 所 以 此 中 
T85n2766_001:0310b05	不興也　第七願者。此下兩願就慈悲體為	不 興 也 第 七 願 者 此 下 兩 願 就 慈 悲 體 為 
T85n2766_001:0310b06	一雙。初一願是悲願。就此中復分為之第標	一 雙 初 一 願 是 悲 願 就 此 中 復 分 為 之 第 標 
T85n2766_001:0310b07	數。第二興願即出悲體。第三下施眾生。第七	數 第 二 興 願 即 出 悲 體 第 三 下 施 眾 生 第 七 
T85n2766_001:0310b08	願初標數使我來世。此下第二興願就興願	願 初 標 數 使 我 來 世 此 下 第 二 興 願 就 興 願 
T85n2766_001:0310b09	中復為三。第一出悲家境。第三正明悲體。若	中 復 為 三 第 一 出 悲 家 境 第 三 正 明 悲 體 若 
T85n2766_001:0310b10	有苦惱無救護者。此明悲境。我為此等設大	有 苦 惱 無 救 護 者 此 明 悲 境 我 為 此 等 設 大 
T85n2766_001:0310b11	法藥。第二正出悲體令諸疾病。皆得除愈。第	法 藥 第 二 正 出 悲 體 令 諸 疾 病 皆 得 除 愈 第 
T85n2766_001:0310b12	三迴施眾生　第八願者。第二明慈體。就明	三 迴 施 眾 生 第 八 願 者 第 二 明 慈 體 就 明 
T85n2766_001:0310b13	慈體中亦分為三。第一標數。第二興願。即出	慈 體 中 亦 分 為 三 第 一 標 數 第 二 興 願 即 出 
T85n2766_001:0310b14	慈體。第三迴施眾生。第八願者初先標願使	慈 體 第 三 迴 施 眾 生 第 八 願 者 初 先 標 願 使 
T85n2766_001:0310b15	我來世。第二興願。就此中復分為二。第一出	我 來 世 第 二 興 願 就 此 中 復 分 為 二 第 一 出 
T85n2766_001:0310b16	慈境。第二出慈體也。使我來世。以善業因緣	慈 境 第 二 出 慈 體 也 使 我 來 世 以 善 業 因 緣 
T85n2766_001:0310b17	為諸惡業無量眾生。第一出慈家境也。講宣	為 諸 惡 業 無 量 眾 生 第 一 出 慈 家 境 也 講 宣 
T85n2766_001:0310b18	妙法。第二慈體□度脫得實智入智慧門得	妙 法 第 二 慈 體 度 脫 得 實 智 入 智 慧 門 得 
T85n2766_001:0310b19	權智也。普使明了。第三迴施眾生也　第九	權 智 也 普 使 明 了 第 三 迴 施 眾 生 也 第 九 
T85n2766_001:0310b20	願者。此是第五制天魔摧外道為一雙置後。	願 者 此 是 第 五 制 天 魔 摧 外 道 為 一 雙 置 後 
T85n2766_001:0310b21	就初制天魔願中凡有三階。第一標數。第二	就 初 制 天 魔 願 中 凡 有 三 階 第 一 標 數 第 二 
T85n2766_001:0310b22	興願下制天魔。第三上隆三寶。第九願者。第	興 願 下 制 天 魔 第 三 上 隆 三 寶 第 九 願 者 第 
T85n2766_001:0310b23	一標數。使我來世摧伏惡魔。第二下制天魔	一 標 數 使 我 來 世 摧 伏 惡 魔 第 二 下 制 天 魔 
T85n2766_001:0310b24	有兩句。初制天魔下句他外道也。顯揚清淨	有 兩 句 初 制 天 魔 下 句 他 外 道 也 顯 揚 清 淨 
T85n2766_001:0310b25	無上道法。第三上隆三寶。即釋上句云何那	無 上 道 法 第 三 上 隆 三 寶 即 釋 上 句 云 何 那 
T85n2766_001:0310b26	若使佛興願。但位心制天魔及外道。此心非	若 使 佛 興 願 但 位 心 制 天 魔 及 外 道 此 心 非 
T85n2766_001:0310b27	善。下釋言所以制天魔本為上隆三寶。並無	善 下 釋 言 所 以 制 天 魔 本 為 上 隆 三 寶 並 無 
T85n2766_001:0310b28	惠意也　第十願者。第二化諸外道。何意化	惠 意 也 第 十 願 者 第 二 化 諸 外 道 何 意 化 
T85n2766_001:0310b29	外道。乃言王法所加解言九十六種道。王亦	外 道 乃 言 王 法 所 加 解 言 九 十 六 種 道 王 亦 
T85n2766_001:0310c01	是一道。豈非化道耶。就此願中復分為二。第	是 一 道 豈 非 化 道 耶 就 此 願 中 復 分 為 二 第 
T85n2766_001:0310c02	一標數。第二興願第三施眾生。第十願者。第	一 標 數 第 二 興 願 第 三 施 眾 生 第 十 願 者 第 
T85n2766_001:0310c03	一標數。使我來世。此下第二出願家事也。如	一 標 數 使 我 來 世 此 下 第 二 出 願 家 事 也 如 
T85n2766_001:0310c04	是諸苦惱眾生等悉令解脫。第三下施眾生	是 諸 苦 惱 眾 生 等 悉 令 解 脫 第 三 下 施 眾 生 
T85n2766_001:0310c05	耶　第十一願者。此下第六雙出慈悲境。此	耶 第 十 一 願 者 此 下 第 六 雙 出 慈 悲 境 此 
T85n2766_001:0310c06	第一先標悲境。就此中復分為三。第一標數。	第 一 先 標 悲 境 就 此 中 復 分 為 三 第 一 標 數 
T85n2766_001:0310c07	第二興願。第三出悲境。即下施眾生。第十	第 二 興 願 第 三 出 悲 境 即 下 施 眾 生 第 十 
T85n2766_001:0310c08	一願者使我來世。第二興願者若有眾生飢	一 願 者 使 我 來 世 第 二 興 願 者 若 有 眾 生 飢 
T85n2766_001:0310c09	火所惱。此下第三出境。即下施眾生也　第	火 所 惱 此 下 第 三 出 境 即 下 施 眾 生 也 第 
T85n2766_001:0310c10	十二願者。此下第二次出慈境。就此凡有五	十 二 願 者 此 下 第 二 次 出 慈 境 就 此 凡 有 五 
T85n2766_001:0310c11	階。第一標數。第二興願。第三出慈境。第四	階 第 一 標 數 第 二 興 願 第 三 出 慈 境 第 四 
T85n2766_001:0310c12	與樂。第五總結。十二願者。第一標數。使我來	與 樂 第 五 總 結 十 二 願 者 第 一 標 數 使 我 來 
