T48n2003_001:0139a03	碧巖錄序	碧 巖 錄 序 
T48n2003_004:0178a29	裏。也不妨奇特。豈同他常人。不知天之高地	裏 也 不 妨 奇 特 豈 同 他 常 人 不 知 天 之 高 地 
T48n2003_004:0178b01	之厚。豈有恁麼事。陸亘大夫恁麼問。奇則甚	之 厚 豈 有 恁 麼 事 陸 亘 大 夫 恁 麼 問 奇 則 甚 
T48n2003_004:0178b02	奇。只是不出教意。若道教意是極則。世尊何	奇 只 是 不 出 教 意 若 道 教 意 是 極 則 世 尊 何 
T48n2003_004:0178b03	故更拈花。祖師更西來作麼。南泉答處。用衲	故 更 拈 花 祖 師 更 西 來 作 麼 南 泉 答 處 用 衲 
T48n2003_004:0178b04	僧巴鼻。與他拈出痛處。破他窠窟。遂指庭前	僧 巴 鼻 與 他 拈 出 痛 處 破 他 窠 窟 遂 指 庭 前 
T48n2003_004:0178b05	花。召大夫云。時人見此一株花。如夢相似。如	花 召 大 夫 云 時 人 見 此 一 株 花 如 夢 相 似 如 
T48n2003_004:0178b06	引人向萬丈懸崖上打一推。令他命斷。爾若	引 人 向 萬 丈 懸 崖 上 打 一 推 令 他 命 斷 爾 若 
T48n2003_004:0178b07	平地上推倒彌勒佛下生。也只不解命斷。亦	平 地 上 推 倒 彌 勒 佛 下 生 也 只 不 解 命 斷 亦 
T48n2003_004:0178b08	如人在夢。欲覺不覺被人喚醒相似。南泉若	如 人 在 夢 欲 覺 不 覺 被 人 喚 醒 相 似 南 泉 若 
T48n2003_004:0178b09	是眼目不正。必定被他搽糊將去。看他恁麼	是 眼 目 不 正 必 定 被 他 搽 糊 將 去 看 他 恁 麼 
T48n2003_004:0178b10	說話。也不妨難會。若是眼目定動。活底聞得。	說 話 也 不 妨 難 會 若 是 眼 目 定 動 活 底 聞 得 
T48n2003_004:0178b11	如醍醐上味。若是死底聞得翻成毒藥。古人	如 醍 醐 上 味 若 是 死 底 聞 得 翻 成 毒 藥 古 人 
T48n2003_004:0178b12	道。若於事上見。墮在常情。若向意根下卜度。	道 若 於 事 上 見 墮 在 常 情 若 向 意 根 下 卜 度 
T48n2003_004:0178b13	卒摸索不著。巖頭道。此是向上人活計。只露	卒 摸 索 不 著 巖 頭 道 此 是 向 上 人 活 計 只 露 
T48n2003_004:0178b14	目前些子。如同電拂。南泉大意如此。有擒	目 前 些 子 如 同 電 拂 南 泉 大 意 如 此 有 擒 
T48n2003_004:0178b15	虎兕定龍蛇底手脚。到這裏也須是自會始	虎 兕 定 龍 蛇 底 手 脚 到 這 裏 也 須 是 自 會 始 
T48n2003_004:0178b16	得。不見道。向上一路千聖不傳。學者勞形如	得 不 見 道 向 上 一 路 千 聖 不 傳 學 者 勞 形 如 
T48n2003_004:0178b17	猿捉影。看他雪竇頌出。	猿 捉 影 看 他 雪 竇 頌 出 
T48n2003_004:0178b18	聞見覺知非一一(森羅萬象無有一法。七花八裂。眼耳鼻舌身意。一時是箇無孔	聞 見 覺 知 非 一 一 森 羅 萬 象 無 有 一 法 七 花 八 裂 眼 耳 鼻 舌 身 意 一 時 是 箇 無 孔 
T48n2003_004:0178b19	鐵鎚)　　山河不在鏡中觀(我這裏無這箇消息。長者自長短者自短。青是青黃是黃。	鐵 鎚 山 河 不 在 鏡 中 觀 我 這 裏 無 這 箇 消 息 長 者 自 長 短 者 自 短 青 是 青 黃 是 黃 
T48n2003_004:0178b20	爾向什麼處觀)　　霜天月落夜將半(引爾入草了也。遍界不曾藏。切忌向鬼窟裏坐)	爾 向 什 麼 處 觀 霜 天 月 落 夜 將 半 引 爾 入 草 了 也 遍 界 不 曾 藏 切 忌 向 鬼 窟 裏 坐 
T48n2003_004:0178b21	　誰共澄潭照影寒(有麼有麼。若不同床睡。焉知被底穿。愁人莫向愁人說。說	 誰 共 澄 潭 照 影 寒 有 麼 有 麼 若 不 同 床 睡 焉 知 被 底 穿 愁 人 莫 向 愁 人 說 說 
T48n2003_004:0178b22	向愁人愁殺人)	向 愁 人 愁 殺 人 
T48n2003_004:0178b23	南泉小睡語。雪竇大睡語。雖然作夢却作得	南 泉 小 睡 語 雪 竇 大 睡 語 雖 然 作 夢 却 作 得 
T48n2003_004:0178b24	箇好夢。前頭說一體。這裏說不同。聞見覺知	箇 好 夢 前 頭 說 一 體 這 裏 說 不 同 聞 見 覺 知 
T48n2003_004:0178b25	非一一。山河不在鏡中觀。若道在鏡中觀。然	非 一 一 山 河 不 在 鏡 中 觀 若 道 在 鏡 中 觀 然 
T48n2003_004:0178b26	後方曉了。則不離鏡處。山河大地。草木叢林。	後 方 曉 了 則 不 離 鏡 處 山 河 大 地 草 木 叢 林 
T48n2003_004:0178b27	莫將鏡鑑。若將鏡鑑。便為兩段。但只可山是	莫 將 鏡 鑑 若 將 鏡 鑑 便 為 兩 段 但 只 可 山 是 
T48n2003_004:0178b28	山水是水。法法住法位。世間相常住。山河不	山 水 是 水 法 法 住 法 位 世 間 相 常 住 山 河 不 
T48n2003_004:0178b29	在鏡中觀。且道向什麼處觀。還會麼。到這	在 鏡 中 觀 且 道 向 什 麼 處 觀 還 會 麼 到 這 
T48n2003_004:0178c01	裏。向霜天月落夜將半。這邊與爾打併了	裏 向 霜 天 月 落 夜 將 半 這 邊 與 爾 打 併 了 
T48n2003_004:0178c02	也。那邊爾自相度。還知雪竇以本分事為人	也 那 邊 爾 自 相 度 還 知 雪 竇 以 本 分 事 為 人 
T48n2003_004:0178c03	麼。誰共澄潭照影寒。為復自照。為復共人照。	麼 誰 共 澄 潭 照 影 寒 為 復 自 照 為 復 共 人 照 
T48n2003_004:0178c04	須是絕機絕解。方到這境界。即今也不要澄	須 是 絕 機 絕 解 方 到 這 境 界 即 今 也 不 要 澄 
T48n2003_004:0178c05	潭。也不待霜天月落。即今作麼生。	潭 也 不 待 霜 天 月 落 即 今 作 麼 生 
T48n2003_004:0178c06	佛果圜悟禪師碧巖錄卷第四(終)	佛 果 圜 悟 禪 師 碧 巖 錄 卷 第 四 終 
T48n2003_005:0178c09	佛果圜悟禪師碧巖錄卷第五	佛 果 圜 悟 禪 師 碧 巖 錄 卷 第 五 
T48n2003_005:0178c11	垂示云。是非交結處。聖亦不能知。逆順縱橫	垂 示 云 是 非 交 結 處 聖 亦 不 能 知 逆 順 縱 橫 
T48n2003_005:0178c12	時。佛亦不能辨。為絕世超倫之士。顯逸群	時 佛 亦 不 能 辨 為 絕 世 超 倫 之 士 顯 逸 群 
T48n2003_005:0178c13	大士之能。向氷凌上行。劍刃上走。直下如麒	大 士 之 能 向 氷 凌 上 行 劍 刃 上 走 直 下 如 麒 
T48n2003_005:0178c14	麟頭角。似火裏蓮花。宛見超方。始知同道。誰	麟 頭 角 似 火 裏 蓮 花 宛 見 超 方 始 知 同 道 誰 
T48n2003_005:0178c15	是好手者。試舉看。	是 好 手 者 試 舉 看 
T48n2003_005:0178c16	【四一】舉。趙州問投子。大死底人却活時如何(有恁	 四 一 舉 趙 州 問 投 子 大 死 底 人 却 活 時 如 何 有 恁 
T48n2003_005:0178c17	麼事賊不打貧兒家。慣曾作客方憐客)投子云。不許夜行。投明	麼 事 賊 不 打 貧 兒 家 慣 曾 作 客 方 憐 客 投 子 云 不 許 夜 行 投 明 
T48n2003_005:0178c18	須到(看樓打樓。是賊識賊。若不同床臥。焉知被底穿)。	須 到 看 樓 打 樓 是 賊 識 賊 若 不 同 床 臥 焉 知 被 底 穿 
T48n2003_005:0178c19	趙州問投子。大死底人却活時如何。投子對	趙 州 問 投 子 大 死 底 人 却 活 時 如 何 投 子 對 
T48n2003_005:0178c20	他道。不許夜行。投明須到。且道是什麼時	他 道 不 許 夜 行 投 明 須 到 且 道 是 什 麼 時 
T48n2003_005:0178c21	節。無孔笛撞著氈拍版。此謂之驗主問。亦謂	節 無 孔 笛 撞 著 氈 拍 版 此 謂 之 驗 主 問 亦 謂 
T48n2003_005:0178c22	之心行問。投子趙州諸方皆美之得逸群之	之 心 行 問 投 子 趙 州 諸 方 皆 美 之 得 逸 群 之 
T48n2003_005:0178c23	辯。二老雖承嗣不同。看他機鋒相投一船。投	辯 二 老 雖 承 嗣 不 同 看 他 機 鋒 相 投 一 船 投 
T48n2003_005:0178c24	子一日為趙州。置茶筵相待。自過蒸餅與趙	子 一 日 為 趙 州 置 茶 筵 相 待 自 過 蒸 餅 與 趙 
T48n2003_005:0178c25	州。州不管。投子令行者過胡餅與趙州。州禮	州 州 不 管 投 子 令 行 者 過 胡 餅 與 趙 州 州 禮 
T48n2003_005:0178c26	行者三拜。且道他意是如何。看他盡是向根	行 者 三 拜 且 道 他 意 是 如 何 看 他 盡 是 向 根 
T48n2003_005:0178c27	本上。提此本分事為人。有僧問。如何是道。答	本 上 提 此 本 分 事 為 人 有 僧 問 如 何 是 道 答 
T48n2003_005:0178c28	云。道。如何是佛。答云。佛。又問。金鎖未開時	云 道 如 何 是 佛 答 云 佛 又 問 金 鎖 未 開 時 
T48n2003_005:0178c29	如何。答云。開。金雞未鳴時如何。答云。無這	如 何 答 云 開 金 雞 未 鳴 時 如 何 答 云 無 這 
T48n2003_005:0179a01	箇音響。鳴後如何。答云。各自知時。投子平生	箇 音 響 鳴 後 如 何 答 云 各 自 知 時 投 子 平 生 
T48n2003_005:0179a02	問答總如此。看趙州問。大死底人却活時如	問 答 總 如 此 看 趙 州 問 大 死 底 人 却 活 時 如 
T48n2003_005:0179a03	何。他便道。不許夜行。投明須到。直下如擊石	何 他 便 道 不 許 夜 行 投 明 須 到 直 下 如 擊 石 
T48n2003_005:0179a04	火。似閃電光。還他向上人始得。大死底人。都	火 似 閃 電 光 還 他 向 上 人 始 得 大 死 底 人 都 
T48n2003_005:0179a05	無佛法道理玄妙得失是非長短。到這裏只	無 佛 法 道 理 玄 妙 得 失 是 非 長 短 到 這 裏 只 
T48n2003_005:0179a06	恁麼休去。古人謂之平地上死人無數。過得	恁 麼 休 去 古 人 謂 之 平 地 上 死 人 無 數 過 得 
T48n2003_005:0179a07	荊棘林是好手。也須是透過那邊始得。雖然	荊 棘 林 是 好 手 也 須 是 透 過 那 邊 始 得 雖 然 
T48n2003_005:0179a08	如是。如今人到這般田地。早是難得。或若	如 是 如 今 人 到 這 般 田 地 早 是 難 得 或 若 
T48n2003_005:0179a09	有依倚有解會。則沒交涉。喆和尚謂之見不	有 依 倚 有 解 會 則 沒 交 涉 喆 和 尚 謂 之 見 不 
T48n2003_005:0179a10	淨潔。五祖先師。謂之命根不斷。須是大死一	淨 潔 五 祖 先 師 謂 之 命 根 不 斷 須 是 大 死 一 
T48n2003_005:0179a11	番。却活始得。浙中永光和尚道。言鋒若差鄉	番 却 活 始 得 浙 中 永 光 和 尚 道 言 鋒 若 差 鄉 
T48n2003_005:0179a12	關萬里。直須懸崖撒手。自肯承當。絕後再	關 萬 里 直 須 懸 崖 撒 手 自 肯 承 當 絕 後 再 
T48n2003_005:0179a13	甦。欺君不得。非常之旨。人焉廋哉。趙州問	甦 欺 君 不 得 非 常 之 旨 人 焉 廋 哉 趙 州 問 
T48n2003_005:0179a14	意如此。投子是作家。亦不辜負他所問。只是	意 如 此 投 子 是 作 家 亦 不 辜 負 他 所 問 只 是 
T48n2003_005:0179a15	絕情絕迹。不妨難會。只露面前些子。所以古	絕 情 絕 迹 不 妨 難 會 只 露 面 前 些 子 所 以 古 
T48n2003_005:0179a16	人道。欲得親切。莫將問來問。問在答處。答在	人 道 欲 得 親 切 莫 將 問 來 問 問 在 答 處 答 在 
T48n2003_005:0179a17	問處。若非投子。被趙州一問。也大難酬對。	問 處 若 非 投 子 被 趙 州 一 問 也 大 難 酬 對 
T48n2003_005:0179a18	只為他是作家漢。舉著便知落處。頌云。廋	只 為 他 是 作 家 漢 舉 著 便 知 落 處 頌 云 廋 
T48n2003_005:0179a19	(所留反匿也)。	 所 留 反 匿 也 
T48n2003_005:0179a20	活中有眼還同死(兩不相知。翻來覆去。若不蘊藉。爭辨得這漢緇素)　藥	活 中 有 眼 還 同 死 兩 不 相 知 翻 來 覆 去 若 不 蘊 藉 爭 辨 得 這 漢 緇 素 藥 
T48n2003_005:0179a21	忌何須鑒作家(若不驗過。爭辨端的。遇著試與一鑒。又且何妨。也要問過)　　古	忌 何 須 鑒 作 家 若 不 驗 過 爭 辨 端 的 遇 著 試 與 一 鑒 又 且 何 妨 也 要 問 過 古 
T48n2003_005:0179a22	佛尚言會未到(賴是有伴。千聖也不傳。山僧亦不知)　　不知誰解撒	佛 尚 言 會 未 到 賴 是 有 伴 千 聖 也 不 傳 山 僧 亦 不 知 不 知 誰 解 撒 
T48n2003_005:0179a23	塵沙(即今也不少。開眼也著。合眼也著。闍黎恁麼舉。落在什麼處)	塵 沙 即 今 也 不 少 開 眼 也 著 合 眼 也 著 闍 黎 恁 麼 舉 落 在 什 麼 處 
T48n2003_005:0179a24	活中有眼還同死。雪竇是知有底人。所以敢	活 中 有 眼 還 同 死 雪 竇 是 知 有 底 人 所 以 敢 
T48n2003_005:0179a25	頌。古人道。他參活句。不參死句。雪竇道。活	頌 古 人 道 他 參 活 句 不 參 死 句 雪 竇 道 活 
T48n2003_005:0179a26	中有眼還同於死漢相似。何曾死死。中具眼	中 有 眼 還 同 於 死 漢 相 似 何 曾 死 死 中 具 眼 
T48n2003_005:0179a27	如同活人。古人道。殺盡死人方見活人。活盡	如 同 活 人 古 人 道 殺 盡 死 人 方 見 活 人 活 盡 
T48n2003_005:0179a28	死人方見死人。趙州是活底人。故作死問。驗	死 人 方 見 死 人 趙 州 是 活 底 人 故 作 死 問 驗 
T48n2003_005:0179a29	取投子。如藥性所忌之物。故將去試驗相似。	取 投 子 如 藥 性 所 忌 之 物 故 將 去 試 驗 相 似 
T48n2003_005:0179b01	所以雪竇道。藥忌何須鑒作家。此頌趙州問	所 以 雪 竇 道 藥 忌 何 須 鑒 作 家 此 頌 趙 州 問 
T48n2003_005:0179b02	處。後面頌投子。古佛尚言曾未到。只這大	處 後 面 頌 投 子 古 佛 尚 言 曾 未 到 只 這 大 
T48n2003_005:0179b03	死底人却活處。古佛亦不曾到。天下老和尚	死 底 人 却 活 處 古 佛 亦 不 曾 到 天 下 老 和 尚 
T48n2003_005:0179b04	亦不曾到。任是釋迦老子。碧眼胡僧也須再	亦 不 曾 到 任 是 釋 迦 老 子 碧 眼 胡 僧 也 須 再 
T48n2003_005:0179b05	參始得。所以道。只許老胡知。不許老胡會。	參 始 得 所 以 道 只 許 老 胡 知 不 許 老 胡 會 
T48n2003_005:0179b06	雪竇道。不知誰解撒塵沙。不見僧問長慶。如	雪 竇 道 不 知 誰 解 撒 塵 沙 不 見 僧 問 長 慶 如 
T48n2003_005:0179b07	何是善知識眼。慶云。有願不撒沙。保福云。不	何 是 善 知 識 眼 慶 云 有 願 不 撒 沙 保 福 云 不 
T48n2003_005:0179b08	可更撒也。天下老和尚據曲彔木床上。行棒	可 更 撒 也 天 下 老 和 尚 據 曲 彔 木 床 上 行 棒 
T48n2003_005:0179b09	行喝竪拂敲床。現神通作主宰。盡是撒沙。且	行 喝 竪 拂 敲 床 現 神 通 作 主 宰 盡 是 撒 沙 且 
T48n2003_005:0179b10	道如何免得。	道 如 何 免 得 
T48n2003_005:0179b11	垂示云。單提獨弄帶水拕泥敲唱俱行。銀山	垂 示 云 單 提 獨 弄 帶 水 拕 泥 敲 唱 俱 行 銀 山 
T48n2003_005:0179b12	鐵壁。擬議則髑髏前見鬼。尋思則黑山下打	鐵 壁 擬 議 則 髑 髏 前 見 鬼 尋 思 則 黑 山 下 打 
T48n2003_005:0179b13	坐。明明杲日麗天。颯颯清風匝地。且道古人	坐 明 明 杲 日 麗 天 颯 颯 清 風 匝 地 且 道 古 人 
T48n2003_005:0179b14	還有誵訛處麼。試舉看。	還 有 誵 訛 處 麼 試 舉 看 
T48n2003_005:0179b15	【四二】舉。龐居士辭藥山(這老漢作怪也)山命十人禪客。	 四 二 舉 龐 居 士 辭 藥 山 這 老 漢 作 怪 也 山 命 十 人 禪 客 
T48n2003_005:0179b16	相送至門首(也不輕他。是什麼境界。也須是識端倪底衲僧始得)居士指	相 送 至 門 首 也 不 輕 他 是 什 麼 境 界 也 須 是 識 端 倪 底 衲 僧 始 得 居 士 指 
T48n2003_005:0179b17	空中雪云。好雪片片不落別處(無風起浪指頭。有眼。這老漢言	空 中 雪 云 好 雪 片 片 不 落 別 處 無 風 起 浪 指 頭 有 眼 這 老 漢 言 
T48n2003_005:0179b18	中有響)時有全禪客云。落在什麼處(中也。相隨來也。果然	中 有 響 時 有 全 禪 客 云 落 在 什 麼 處 中 也 相 隨 來 也 果 然 
T48n2003_005:0179b19	上鈎來)士打一掌(著。果然。勾賊破家)全云。居士也不得草	上 鈎 來 士 打 一 掌 著 果 然 勾 賊 破 家 全 云 居 士 也 不 得 草 
T48n2003_005:0179b20	草(棺木裏瞠眼)士云。汝恁麼稱禪客。閻老子未放	草 棺 木 裏 瞠 眼 士 云 汝 恁 麼 稱 禪 客 閻 老 子 未 放 
T48n2003_005:0179b21	汝在(第二杓惡水潑了。何止閻老子。山僧這裏也不放過)全云。居士作麼	汝 在 第 二 杓 惡 水 潑 了 何 止 閻 老 子 山 僧 這 裏 也 不 放 過 全 云 居 士 作 麼 
T48n2003_005:0179b22	生(麤心不改。又是要喫棒。這僧從頭到尾不著便)士又打一掌(果然。雪上加	生 麤 心 不 改 又 是 要 喫 棒 這 僧 從 頭 到 尾 不 著 便 士 又 打 一 掌 果 然 雪 上 加 
T48n2003_005:0179b23	霜。喫棒了呈欵)云眼見如盲。口說如啞(更有斷和句。又與他讀判語)	霜 喫 棒 了 呈 欵 云 眼 見 如 盲 口 說 如 啞 更 有 斷 和 句 又 與 他 讀 判 語 
T48n2003_005:0179b24	雪竇別云。初問處但握雪團便打(是則是。賊過後張	雪 竇 別 云 初 問 處 但 握 雪 團 便 打 是 則 是 賊 過 後 張 
T48n2003_005:0179b25	弓。也漏逗不少。雖然如是要見箭鋒相拄。爭奈落在鬼窟裏了也)。	弓 也 漏 逗 不 少 雖 然 如 是 要 見 箭 鋒 相 拄 爭 奈 落 在 鬼 窟 裏 了 也 
T48n2003_005:0179b26	龐居士。參馬祖石頭兩處有頌。初見石頭。便	龐 居 士 參 馬 祖 石 頭 兩 處 有 頌 初 見 石 頭 便 
T48n2003_005:0179b27	問。不與萬法為侶。是什麼人。聲未斷。被石頭	問 不 與 萬 法 為 侶 是 什 麼 人 聲 未 斷 被 石 頭 
T48n2003_005:0179b28	掩却口。有箇省處作頌道。日用事無別。唯	掩 却 口 有 箇 省 處 作 頌 道 日 用 事 無 別 唯 
T48n2003_005:0179c01	吾自偶諧。頭頭非取捨。處處沒張乖。朱紫誰	吾 自 偶 諧 頭 頭 非 取 捨 處 處 沒 張 乖 朱 紫 誰 
T48n2003_005:0179c02	為號。青山絕點埃。神通并妙用。運水及搬柴	為 號 青 山 絕 點 埃 神 通 并 妙 用 運 水 及 搬 柴 
T48n2003_005:0179c03	後參馬祖。又問。不與萬法為侶。是什麼人。祖	後 參 馬 祖 又 問 不 與 萬 法 為 侶 是 什 麼 人 祖 
T48n2003_005:0179c04	云。待爾一口吸盡西江水。即向汝道。士豁然	云 待 爾 一 口 吸 盡 西 江 水 即 向 汝 道 士 豁 然 
T48n2003_005:0179c05	大悟。作頌云。十方同聚會。箇箇學無為。此是	大 悟 作 頌 云 十 方 同 聚 會 箇 箇 學 無 為 此 是 
T48n2003_005:0179c06	選佛場。心空及第歸。為他是作家。後列剎相	選 佛 場 心 空 及 第 歸 為 他 是 作 家 後 列 剎 相 
T48n2003_005:0179c07	望。所至競譽。到藥山盤桓既久。遂辭藥山。山	望 所 至 競 譽 到 藥 山 盤 桓 既 久 遂 辭 藥 山 山 
T48n2003_005:0179c08	至重他。命十人禪客相送。是時值雪下。居	至 重 他 命 十 人 禪 客 相 送 是 時 值 雪 下 居 
T48n2003_005:0179c09	士指雪云。好雪片片不落別處。全禪客云。落	士 指 雪 云 好 雪 片 片 不 落 別 處 全 禪 客 云 落 
T48n2003_005:0179c10	在什麼處。士便掌。全禪客既不能行令。居士	在 什 麼 處 士 便 掌 全 禪 客 既 不 能 行 令 居 士 
T48n2003_005:0179c11	令行一半。令雖行。全禪客恁麼酬對。也不是	令 行 一 半 令 雖 行 全 禪 客 恁 麼 酬 對 也 不 是 
T48n2003_005:0179c12	他不知落處。各有機鋒。卷舒不同。然有不到	他 不 知 落 處 各 有 機 鋒 卷 舒 不 同 然 有 不 到 
T48n2003_005:0179c13	居士處。所以落他架下。難出他彀中。居士打	居 士 處 所 以 落 他 架 下 難 出 他 彀 中 居 士 打 
T48n2003_005:0179c14	了。更與說道理云。眼見如盲口說如啞。雪竇	了 更 與 說 道 理 云 眼 見 如 盲 口 說 如 啞 雪 竇 
T48n2003_005:0179c15	別前語云。初問處但握雪團便打。雪竇恁麼。	別 前 語 云 初 問 處 但 握 雪 團 便 打 雪 竇 恁 麼 
T48n2003_005:0179c16	要不辜他問端。只是機遲。慶藏主道。居士	要 不 辜 他 問 端 只 是 機 遲 慶 藏 主 道 居 士 
T48n2003_005:0179c17	機如掣電。等爾握雪團。到幾時。和聲便應	機 如 掣 電 等 爾 握 雪 團 到 幾 時 和 聲 便 應 
T48n2003_005:0179c18	和聲打。方始勦絕。雪竇自頌他打處云。彀	和 聲 打 方 始 勦 絕 雪 竇 自 頌 他 打 處 云 彀 
T48n2003_005:0179c19	(古豆切。張弓弩也。弓滿也)。	 古 豆 切 張 弓 弩 也 弓 滿 也 
T48n2003_005:0179c20	雪團打雪團打(爭奈落在第二機。不勞拈出。頭上漫漫脚下漫漫)　龐老	雪 團 打 雪 團 打 爭 奈 落 在 第 二 機 不 勞 拈 出 頭 上 漫 漫 脚 下 漫 漫 龐 老 
T48n2003_005:0179c21	機關沒可把(往往有人不知。只恐不恁麼)　　天上人間不自	機 關 沒 可 把 往 往 有 人 不 知 只 恐 不 恁 麼 天 上 人 間 不 自 
T48n2003_005:0179c22	知(是什麼消息。雪竇還知麼)　　眼裏耳裏絕瀟灑(箭鋒相拄。眼見如盲。口說	知 是 什 麼 消 息 雪 竇 還 知 麼 眼 裏 耳 裏 絕 瀟 灑 箭 鋒 相 拄 眼 見 如 盲 口 說 
T48n2003_005:0179c23	如啞)　　瀟灑絕(作麼生。向什麼處。見龐老與雪竇)　碧眼胡僧難辨	如 啞 瀟 灑 絕 作 麼 生 向 什 麼 處 見 龐 老 與 雪 竇 碧 眼 胡 僧 難 辨 
T48n2003_005:0179c24	別(達磨出來。向爾道什麼。打云。闍黎道什麼。一坑理却)	別 達 磨 出 來 向 爾 道 什 麼 打 云 闍 黎 道 什 麼 一 坑 理 却 
T48n2003_005:0179c25	雪團打雪團打。龐老機關沒可把雪竇要在	雪 團 打 雪 團 打 龐 老 機 關 沒 可 把 雪 竇 要 在 
T48n2003_005:0179c26	居士頭上行。古人以雪明一色邊事。雪竇意	居 士 頭 上 行 古 人 以 雪 明 一 色 邊 事 雪 竇 意 
T48n2003_005:0179c27	道。當時若握雪團打時。居士縱有如何機關。	道 當 時 若 握 雪 團 打 時 居 士 縱 有 如 何 機 關 
T48n2003_005:0179c28	亦難搆得。雪竇自誇他打處。殊不知有落節	亦 難 搆 得 雪 竇 自 誇 他 打 處 殊 不 知 有 落 節 
T48n2003_005:0180a01	處。天上人間不自知。眼裏耳裏絕瀟灑。眼裏	處 天 上 人 間 不 自 知 眼 裏 耳 裏 絕 瀟 灑 眼 裏 
T48n2003_005:0180a02	也是雪。耳裏也是雪。正住在一色邊。亦謂之	也 是 雪 耳 裏 也 是 雪 正 住 在 一 色 邊 亦 謂 之 
T48n2003_005:0180a03	普賢境界一色邊事。亦謂之打成一片。雲門	普 賢 境 界 一 色 邊 事 亦 謂 之 打 成 一 片 雲 門 
T48n2003_005:0180a04	道。直得盡乾坤大地無纖毫過患。猶為轉句。	道 直 得 盡 乾 坤 大 地 無 纖 毫 過 患 猶 為 轉 句 
T48n2003_005:0180a05	不見一色。始是半提。若要全提。須知有向上	不 見 一 色 始 是 半 提 若 要 全 提 須 知 有 向 上 
T48n2003_005:0180a06	一路始得。到這裏須是大用現前。針劄不入。	一 路 始 得 到 這 裏 須 是 大 用 現 前 針 劄 不 入 
T48n2003_005:0180a07	不聽他人處分。所以道。他參活句。不參死句。	不 聽 他 人 處 分 所 以 道 他 參 活 句 不 參 死 句 
T48n2003_005:0180a08	古人道。一句合頭語。萬劫繫驢橛。有什麼	古 人 道 一 句 合 頭 語 萬 劫 繫 驢 橛 有 什 麼 
T48n2003_005:0180a09	用處。雪竇到此頌殺了。復轉機道。只此瀟灑	用 處 雪 竇 到 此 頌 殺 了 復 轉 機 道 只 此 瀟 灑 
T48n2003_005:0180a10	絕。直饒是碧眼胡僧也難辨別。碧眼胡僧尚	絕 直 饒 是 碧 眼 胡 僧 也 難 辨 別 碧 眼 胡 僧 尚 
T48n2003_005:0180a11	難辨別。更教山僧說箇什麼。	難 辨 別 更 教 山 僧 說 箇 什 麼 
T48n2003_005:0180a12	垂示云。定乾坤句。萬世共遵。擒虎兕機。千聖	垂 示 云 定 乾 坤 句 萬 世 共 遵 擒 虎 兕 機 千 聖 
T48n2003_005:0180a13	莫辨。直下更無纖翳。全機隨處齊彰。要明向	莫 辨 直 下 更 無 纖 翳 全 機 隨 處 齊 彰 要 明 向 
T48n2003_005:0180a14	上鉗鎚。須是作家爐韛。且道從上來還有恁	上 鉗 鎚 須 是 作 家 爐 韛 且 道 從 上 來 還 有 恁 
T48n2003_005:0180a15	麼家風也無。試舉看。	麼 家 風 也 無 試 舉 看 
T48n2003_005:0180a16	【四三】舉。僧問洞山。寒暑到來如何迴避(不是這箇時節。劈	 四 三 舉 僧 問 洞 山 寒 暑 到 來 如 何 迴 避 不 是 這 箇 時 節 劈 
T48n2003_005:0180a17	頭劈面在什麼處)山云。何不向無寒暑處去(天下人尋不得。藏	頭 劈 面 在 什 麼 處 山 云 何 不 向 無 寒 暑 處 去 天 下 人 尋 不 得 藏 
T48n2003_005:0180a18	身露影。蕭何賣却假銀城)僧云。如何是無寒暑處(賺殺一船人。隨他	身 露 影 蕭 何 賣 却 假 銀 城 僧 云 如 何 是 無 寒 暑 處 賺 殺 一 船 人 隨 他 
T48n2003_005:0180a19	轉。也一釣便上)山云。寒時寒殺闍黎。熱時熱殺闍	轉 也 一 釣 便 上 山 云 寒 時 寒 殺 闍 黎 熱 時 熱 殺 闍 
T48n2003_005:0180a20	黎(真不掩偽。曲不藏直。臨崖看虎兕。特地一場愁。掀翻大海踢倒須彌。且道洞山在什麼處)。	黎 真 不 掩 偽 曲 不 藏 直 臨 崖 看 虎 兕 特 地 一 場 愁 掀 翻 大 海 踢 倒 須 彌 且 道 洞 山 在 什 麼 處 
T48n2003_005:0180a21	黃龍新和尚拈云。洞山袖頭打領腋下剜襟。	黃 龍 新 和 尚 拈 云 洞 山 袖 頭 打 領 腋 下 剜 襟 
T48n2003_005:0180a22	爭柰這僧不甘。如今有箇出來問黃龍。且道	爭 柰 這 僧 不 甘 如 今 有 箇 出 來 問 黃 龍 且 道 
T48n2003_005:0180a23	如何支遣。良久云。安禪不必須山水。滅却心	如 何 支 遣 良 久 云 安 禪 不 必 須 山 水 滅 却 心 
T48n2003_005:0180a24	頭火自涼。諸人且道。洞山圈繢落在什麼處。	頭 火 自 涼 諸 人 且 道 洞 山 圈 繢 落 在 什 麼 處 
T48n2003_005:0180a25	若明辨得。始知洞山下五位回互正偏接人。	若 明 辨 得 始 知 洞 山 下 五 位 回 互 正 偏 接 人 
T48n2003_005:0180a26	不妨奇特。到這向上境界。方能如此。不消安	不 妨 奇 特 到 這 向 上 境 界 方 能 如 此 不 消 安 
