T34n1722_001:0633b09	法華遊意	法 華 遊 意 
T34n1722_001:0641c06	豈可用常住之見用為佛耶？問：蓋是《中論》遣	豈 可 用 常 住 之 見 用 為 佛 耶 問 蓋 是 中 論 遣 
T34n1722_001:0641c07	蕩之言、對邪之術耳。未知《法花》明佛，其相云	蕩 之 言 對 邪 之 術 耳 未 知 法 花 明 佛 其 相 云 
T34n1722_001:0641c08	何？答：《中論》云「如來寂滅相」，分別有亦非佛。《法	何 答 中 論 云 如 來 寂 滅 相 分 別 有 亦 非 佛 法 
T34n1722_001:0641c09	花》云「諸法寂滅相，不可以言宣」。論主猶引《法	花 云 諸 法 寂 滅 相 不 可 以 言 宣 論 主 猶 引 法 
T34n1722_001:0641c10	華》寂滅相明於法身。《論》既辨法身出於四句，	華 寂 滅 相 明 於 法 身 論 既 辨 法 身 出 於 四 句 
T34n1722_001:0641c11	此經豈有不絕百非耶？故〈壽量品〉略明法身	此 經 豈 有 不 絕 百 非 耶 故 壽 量 品 略 明 法 身 
T34n1722_001:0641c12	具足十不，謂不如三界見於三界，無有生死	具 足 十 不 謂 不 如 三 界 見 於 三 界 無 有 生 死 
T34n1722_001:0641c13	若退若出，亦無在世及滅度者，非實非虛，非	若 退 若 出 亦 無 在 世 及 滅 度 者 非 實 非 虛 非 
T34n1722_001:0641c14	如非異，然能乘佛既非常非無常，所乘之法	如 非 異 然 能 乘 佛 既 非常非無常 所 乘 之 法 
T34n1722_001:0641c15	亦非常非無常，所乘之法亦非三非一，但	亦 非常非無常 所 乘 之 法 亦 非 三 非 一 但 
T34n1722_001:0641c16	為對昔三故強歎為一，為對昔謂佛無常故	為 對 昔 三 故 強 歎 為 一 為 對 昔 謂 佛 無 常 故 
T34n1722_001:0641c17	假說常耳。說一說常，名為用妙；非常非無常、	假 說 常 耳 說 一 說 常 名 為 用 妙 非常非無常 
T34n1722_001:0641c18	不三不一、言辭相寂滅，秤為體妙。問：既以佛	不 三 不 一 言 辭 相 寂 滅 秤 為 體 妙 問 既 以 佛 
T34n1722_001:0641c19	乘為妙，一化始終皆辨於佛，亦得並是妙	乘 為 妙 一 化 始 終 皆 辨 於 佛 亦 得 並 是 妙 
T34n1722_001:0641c20	不？答：約一化始終，五種論之：一、根本妙，二、枝	不 答 約 一 化 始 終 五 種 論 之 一 根 本 妙 二 枝 
T34n1722_001:0641c21	末妙，三、攝末歸本妙，四、絕待妙，五、無麁妙。根	末 妙 三 攝 末 歸 本 妙 四 絕 待 妙 五 無 麁 妙 根 
T34n1722_001:0641c22	本妙者，謂《花嚴》之會明一乘因果究竟法身，	本 妙 者 謂 花 嚴 之 會 明 一 乘 因 果 究 竟 法 身 
T34n1722_001:0641c23	故彼文云「欲令眾生生歡喜善故現王宮生，	故 彼 文 云 欲 令 眾 生 生 歡 喜 善 故 現 王 宮 生 
T34n1722_001:0641c24	欲令眾生生戀慕善故示雙林滅，如來實不	欲 令 眾 生 生 戀 慕 善 故 示 雙 林 滅 如 來 實 不 
T34n1722_001:0641c25	出世亦不涅槃。何以故？法身常住同法界故。」	出 世 亦 不 涅 槃 何 以 故 法 身 常 住 同 法 界 故 
T34n1722_001:0641c26	二、枝末妙，「於一佛乘分別說三」，三中之二目	二 枝 末 妙 於 一 佛 乘 分 別 說 三 三 中 之 二 目 
T34n1722_001:0641c27	之為麁，佛乘為勝故稱為妙。故此經云「唯	之 為 麁 佛 乘 為 勝 故 稱 為 妙 故 此 經 云 唯 
T34n1722_001:0641c28	一事實，餘二則非實」。三、攝末歸本妙，即此經	一 事 實 餘 二 則 非 實 三 攝 末 歸 本 妙 即 此 經 
T34n1722_001:0641c29	中所辨佛乘究竟圓滿，故稱為妙。四、絕待妙	中 所 辨 佛 乘 究 竟 圓 滿 故 稱 為 妙 四 絕 待 妙 
T34n1722_001:0642a01	者，上來三種妙是皆對麁明妙，未是好妙，	者 上 來 三 種 妙 是 皆 對 麁 明 妙 未 是 好 妙 
T34n1722_001:0642a02	然第四妙非麁非妙，不知何以目之，強歎為	然 第 四 妙 非 麁 非 妙 不 知 何 以 目 之 強 歎 為 
T34n1722_001:0642a03	妙，故是絕待妙也。問：何處有此絕待妙文？答：	妙 故 是 絕 待 妙 也 問 何 處 有 此 絕 待 妙 文 答 
T34n1722_001:0642a04	《涅槃》云「對苦說樂，樂還成苦，非苦非樂方名	 涅 槃 云 對 苦 說 樂 樂 還 成 苦 非 苦 非 樂 方 名 
T34n1722_001:0642a05	大樂」，又云「不因小涅槃名大涅槃故」，《智度論》	大 樂 又 云 不 因 小 涅 槃 名 大 涅 槃 故 智 度 論 
T34n1722_001:0642a06	云「十八空為相待空，獨空非相待空」，既有待、	云 十 八 空 為 相 待 空 獨 空 非 相 待 空 既 有 待 
T34n1722_001:0642a07	不待二空，寧無待、不待兩妙？又羅什學士道	不 待 二 空 寧 無 待 不 待 兩 妙 又 羅 什 學 士 道 
T34n1722_001:0642a08	場惠觀著《法花．序》云「秤之為妙而體絕精麁，	場 惠 觀 著 法 花 序 云 秤 之 為 妙 而 體 絕 精 麁 
T34n1722_001:0642a09	寄花宣微道玄像表，頌曰『是法不可示，言辭	寄 花 宣 微 道 玄 像 表 頌 曰 是 法 不 可 示 言 辭 
T34n1722_001:0642a10	相寂滅』，二乘所以息慮、補處所以絕崖。」作	相 寂 滅 二 乘 所 以 息 慮 補 處 所 以 絕 崖 作 
T34n1722_001:0642a11	序竟，示羅什，羅什歎曰：「善男子！自不深入經	序 竟 示 羅 什 羅 什 歎 曰 善 男 子 自 不 深 入 經 
T34n1722_001:0642a12	藏，不能作如是說也。」又《注法花經》云「非三	藏 不 能 作如是說 也 又 注 法 花 經 云 非 三 
T34n1722_001:0642a13	非一盡相為妙，非大非小通物為法」，故知絕	非 一 盡 相 為 妙 非 大 非 小 通 物 為 法 故 知 絕 
T34n1722_001:0642a14	待釋妙，關河舊宗也。五、無麁妙者即淨土法	待 釋 妙 關 河 舊 宗 也 五 無 麁 妙 者 即 淨 土 法 
T34n1722_001:0642a15	門，故香積菩薩云「我土無有聲聞辟支佛名」，	門 故 香 積 菩 薩 云 我 土 無 有 聲 聞 辟 支 佛 名 
T34n1722_001:0642a16	即無麁也，「唯有清淨大菩薩眾」，謂有妙也。《智	即 無 麁 也 唯 有 清 淨 大 菩 薩 眾 謂 有 妙 也 智 
T34n1722_001:0642a17	度論》云「七珍世界純諸菩薩」，亦是其事。此	度 論 云 七 珍 世 界 純 諸 菩 薩 亦 是 其 事 此 
T34n1722_001:0642a18	五種妙即是次第，又攝十方三世諸佛淨穢	五 種 妙 即 是 次 第 又 攝 十 方 三世諸佛 淨 穢 
T34n1722_001:0642a19	二土一切教門。問：已知此經辨正果妙，亦得	二 土 一 切 教 門 問 已 知 此 經 辨 正 果 妙 亦 得 
T34n1722_001:0642a20	辨因妙不？答：有人言，此經明因未辨佛性，但	辨 因 妙 不 答 有 人 言 此 經 明 因 未 辨 佛 性 但 
T34n1722_001:0642a21	明萬善緣因成佛，望前三乘之因故名為妙，	明 萬 善 緣 因 成 佛 望 前 三 乘 之 因 故 名 為 妙 
T34n1722_001:0642a22	若望後《涅槃》佛性正因，未是妙也。今以十	若 望 後 涅 槃 佛 性 正 因 未 是 妙 也 今 以 十 
T34n1722_001:0642a23	種文義推之，不同此釋：一者、大乘若有三則	種 文 義 推 之 不 同 此 釋 一 者 大 乘 若 有 三 則 
T34n1722_001:0642a24	有三性，既道理唯一佛乘，所以唯一佛性也。	有 三 性 既 道 理 唯 一 佛 乘 所 以 唯 一 佛 性 也 
T34n1722_001:0642a25	二者、若言此經但明善人有佛性、惡人無佛性，	二 者 若 言 此 經 但 明 善 人 有 佛 性 惡 人 無 佛 性 
T34n1722_001:0642a26	異《涅槃經》者，常不輕菩薩見增上慢四眾惡	異 涅 槃 經 者 常 不 輕 菩 薩 見 增 上 慢 四 眾 惡 
T34n1722_001:0642a27	人云「我不輕汝等，汝等行菩薩道，必當作佛」。	人 云 我 不 輕 汝 等 汝 等 行菩薩道 必 當 作 佛 
T34n1722_001:0642a28	《法花論》釋云「示一切眾生皆有佛性，故悉當	 法 花 論 釋 云 示 一 切 眾 生 皆 有 佛 性 故 悉 當 
T34n1722_001:0642a29	作佛」。以此推之，知非善人獨有佛性。又〈譬喻	作 佛 以 此 推 之 知 非 善 人 獨 有 佛 性 又 譬 喻 
T34n1722_001:0642b01	品〉勸信文云「汝等若能信受是語，一切皆當	品 勸 信 文 云 汝 等 若 能 信 受 是 語 一 切 皆 當 
T34n1722_001:0642b02	得成佛道」，此分明說一切成佛，豈簡惡人？三	得 成 佛 道 此 分 明 說 一 切 成 佛 豈 簡 惡 人 三 
T34n1722_001:0642b03	者、若此經但有一乘名故不明佛性者，蓋是	者 若 此 經 但 有 一 乘 名 故 不 明 佛 性 者 蓋 是 
T34n1722_001:0642b04	未識一法多名故生此謬耳。《涅槃》云「佛性有	未 識 一 法 多 名 故 生 此 謬 耳 涅 槃 云 佛 性 有 
T34n1722_001:0642b05	五名，一乘則五中之一」，又言「佛性亦一非一。	五 名 一 乘 則 五 中 之 一 又 言 佛 性 亦 一 非 一 
T34n1722_001:0642b06	云何為一？一切眾生同一乘故為一。云何非	云 何 為 一 一 切 眾 生 同 一 乘 故 為 一 云 何 非 
T34n1722_001:0642b07	一？非數法故」，則知佛性與一乘皆是異名。四、	一 非 數 法 故 則 知 佛 性 與 一 乘 皆 是 異 名 四 
T34n1722_001:0642b08	引例釋之，若言此經無佛性語即是未明佛	引 例 釋 之 若 言 此 經 無 佛 性 語 即 是 未 明 佛 
T34n1722_001:0642b09	性者，《涅槃》、《花嚴》無八識之名，亦無變易生死	性 者 涅 槃 花 嚴 無 八 識 之 名 亦 無 變易生死 
T34n1722_001:0642b10	之語，則》涅槃》》花嚴》應未明八識及二生死也。	之 語 則 涅 槃 花 嚴 應 未 明 八 識 及 二 生 死 也 
T34n1722_001:0642b11	五者、《寶性論》云「《究竟一乘經》說有如來藏及三	五 者 寶 性 論 云 究 竟 一 乘 經 說 有 如 來 藏 及 三 
T34n1722_001:0642b12	寶無差別」，此經既明究竟一乘，則知亦辨如	寶 無 差 別 此 經 既 明 究 竟 一 乘 則 知 亦 辨 如 
T34n1722_001:0642b13	來藏，故〈信解品〉云「而不為我分別汝等當有	來 藏 故 信 解 品 云 而 不 為 我 分 別 汝 等 當 有 
T34n1722_001:0642b14	如來知見寶藏之分」，其證也。六者、《中論．四諦	如 來 知 見 寶 藏 之 分 其 證 也 六 者 中 論 四 諦 
T34n1722_001:0642b15	品》云「雖復懃精進修行菩提道，若先無佛性	品 云 雖 復 懃 精 進 修 行 菩 提 道 若 先 無 佛 性 
T34n1722_001:0642b16	終不得成佛」。長行釋云「如鐵無金性，雖復鍛	終 不 得 成 佛 長 行 釋 云 如 鐵 無 金 性 雖 復 鍛 
T34n1722_001:0642b17	鍊終不成金」。若此經不明佛性，雖修萬善不	鍊 終 不 成 金 若 此 經 不 明 佛 性 雖 修 萬 善 不 
T34n1722_001:0642b18	得成佛。七者、天親《釋金剛波若》上已明佛性，	得 成 佛 七 者 天 親 釋 金 剛 波 若 上 已 明 佛 性 
T34n1722_001:0642b19	況《法花》耶？八者、《涅槃經》引《摩訶波若》云「我	況 法 花 耶 八 者 涅 槃 經 引 摩 訶 波 若 云 我 
T34n1722_001:0642b20	無我無有二相」，此明眾生無我與佛性真我	無 我 無 有 二 相 此 明 眾 生 無 我 與 佛 性 真 我 
T34n1722_001:0642b21	更無有異，而《大品》已明佛性，況《法花》耶？九	更 無 有 異 而 大 品 已 明 佛 性 況 法 花 耶 九 
T34n1722_001:0642b22	者、夫見佛性方得常身，〈壽量品〉既明常，豈	者 夫 見 佛 性 方 得 常 身 壽 量 品 既 明 常 豈 
T34n1722_001:0642b23	得此經不明佛性？十者、人語難依聖語宜信，	得 此 經 不 明 佛 性 十 者 人 語 難 依 聖 語 宜 信 
T34n1722_001:0642b24	天親《法花論》七處明佛性：一者〈方便品〉云「唯	天 親 法 花 論 七 處 明 佛 性 一 者 方 便 品 云 唯 
T34n1722_001:0642b25	佛與佛乃能究竟盡諸法實相」，論云「諸法	佛 與 佛 乃 能 究 竟 盡 諸法實相 論 云 諸 法 
T34n1722_001:0642b26	實相者，謂如來藏法身體不變故」，乃至釋	實 相 者 謂 如 來 藏 法 身 體 不 變 故 乃 至 釋 
T34n1722_001:0642b27	〈法師品〉云「知去佛性水不遠故」。以十種文義	 法 師 品 云 知 去 佛 性 水 不 遠 故 以 十 種 文 義 
T34n1722_001:0642b28	往推，即知此經已明佛性，即因門究竟謂	往 推 即 知 此 經 已 明 佛 性 即 因 門 究 竟 謂 
T34n1722_001:0642b29	因妙也。次釋蓮華經言「無名相法為眾生故	因 妙 也 次 釋 蓮 華 經 言 無 名 相 法 為 眾 生 故 
T34n1722_001:0642c01	假名相說，欲令眾生因此名相悟無名相，蓋	假 名 相 說 欲 令 眾 生 因 此 名 相 悟 無 名 相 蓋 
T34n1722_001:0642c02	是垂教之大宗群聖之本意」。所以無名相中	是 垂 教 之 大 宗 群 聖 之 本 意 所 以 無 名 相 中 
T34n1722_001:0642c03	假名相說者，如《大品》云「一切眾生皆是名相	假 名 相 說 者 如 大 品 云 一 切 眾 生 皆 是 名 相 
T34n1722_001:0642c04	中行」，今欲止其名相，故借名相令悟無名相	中 行 今 欲 止 其 名 相 故 借 名 相 令 悟 無 名 相 
T34n1722_001:0642c05	矣。通而言，妙法與蓮華皆悉是名相，故	矣 通 而 言 妙 法 與 蓮 華 皆 悉 是 名 相 故 
T34n1722_001:0642c06	經云「說大乘經名妙法蓮華」；據別而言，妙法	經 云 說 大 乘 經 名 妙法蓮華 據 別 而 言 妙 法 
T34n1722_001:0642c07	則是無名而名，蓮花是無相而相。故此經之	則 是 無 名 而 名 蓮 花 是 無 相 而 相 故 此 經 之 
T34n1722_001:0642c08	題，法喻雙舉、名相俱陳也。舊云，外國稱分陀	題 法 喻 雙 舉 名 相 俱 陳 也 舊 云 外 國 稱 分 陀 
T34n1722_001:0642c09	利，此翻為連花。今謂分陀利未必翻為蓮花，	利 此 翻 為 連 花 今 謂 分 陀 利 未 必 翻 為 蓮 花 
T34n1722_001:0642c10	《涅槃經》云「人中蓮花、人中分陀利花」，既其兩	 涅 槃 經 云 人 中 蓮 花 人 中 分 陀 利 花 既 其 兩 
T34n1722_001:0642c11	出，似如為異。今謂蓮花為通，分陀利為別，	出 似 如 為 異 今 謂 蓮 花 為 通 分 陀 利 為 別 
T34n1722_001:0642c12	所以然知者之，凡引五證：一、《涅槃經》迦葉	所 以 然 知 者 之 凡 引 五 證 一 涅 槃 經 迦 葉 
T34n1722_001:0642c13	問云「云何處濁世不污如蓮花？」佛具舉優鉢	問 云 云 何 處 濁 世 不 污 如 蓮 花 佛 具 舉 優 鉢 
T34n1722_001:0642c14	羅花、波頭摩、拘物頭、分陀利四花答問。	羅 花 波 頭 摩 拘 物 頭 分 陀 利 四 花 答 問 
T34n1722_001:0642c15	即知蓮花通四華，故舉四華答之。二者、《大品	即 知 蓮 花 通 四 華 故 舉 四 華 答 之 二 者 大 品 
T34n1722_001:0642c16	經》有文列外國四華，謂優鉢羅、拘物頭、波	經 有 文 列 外 國 四 華 謂 優 鉢 羅 拘 物 頭 波 
T34n1722_001:0642c17	頭摩、分陀利花；此有文列此土四花，謂青蓮	頭 摩 分 陀 利 花 此 有 文 列 此 土 四 花 謂 青 蓮 
T34n1722_001:0642c18	花乃至白蓮花。三者、《地獄經》云「優鉢羅地獄	花 乃 至 白 蓮 花 三 者 地 獄 經 云 優 鉢 羅 地 獄 
T34n1722_001:0642c19	形似青蓮華，波頭摩地獄其形似赤色，拘	形 似 青 蓮 華 波 頭 摩 地 獄 其 形 似 赤 色 拘 
T34n1722_001:0642c20	物頭地獄其形示黃色，分陀利地獄形以白	物 頭 地 獄 其 形 示 黃 色 分 陀 利 地 獄 形 以 白 
T34n1722_001:0642c21	蓮花」。四者、《悲花經》列四華云「分陀利者謂白	蓮 花 四 者 悲 花 經 列 四 華 云 分 陀 利 者 謂 白 
T34n1722_001:0642c22	蓮華」。五者、謂《法顯傳》及天竺諸僧皆云「分陀	蓮 華 五 者 謂 法 顯 傳 及 天 竺 諸 僧 皆 云 分 陀 
T34n1722_001:0642c23	利者白蓮華也」。故知蓮華是通，白蓮華是別。	利 者 白 蓮 華 也 故 知 蓮 華 是 通 白 蓮 華 是 別 
T34n1722_001:0642c24	又此華凡有三時，未敷之時名屈摩羅，敷而	又 此 華 凡 有 三 時 未 敷 之 時 名 屈 摩 羅 敷 而 
T34n1722_001:0642c25	將落名迦摩羅，處中盛時秤分陀利華。即知	將 落 名 迦 摩 羅 處 中 盛 時 秤 分 陀 利 華 即 知 
T34n1722_001:0642c26	分陀利是四色中是一色，三時中是一時，以	分 陀 利 是 四 色 中 是 一 色 三 時 中 是 一 時 以 
T34n1722_001:0642c27	其處中盛時榮曜備滿足鮮白分明，以喻斯	其 處 中 盛 時 榮 曜 備 滿 足 鮮 白 分 明 以 喻 斯 
T34n1722_001:0642c28	經也。問：即此《法華》有斯文不？答：妙音菩薩	經 也 問 即 此 法 華 有 斯 文 不 答 妙 音 菩 薩 
T34n1722_001:0642c29	為弘通《法花》，故來化作八萬四千眾寶蓮華，	為 弘 通 法 花 故 來 化 作 八萬四千 眾 寶 蓮 華 
T34n1722_001:0643a01	閻浮檀金為莖，白銀為葉，金剛為鬚，甄叔	閻浮檀金 為 莖 白 銀 為 葉 金 剛 為 鬚 甄 叔 
T34n1722_001:0643a02	迦寶以為其臺，即知是白蓮華。以八萬四千	迦 寶 以 為 其 臺 即 知 是 白 蓮 華 以 八萬四千 
T34n1722_001:0643a03	法藏皆攝入法華，今欲示弘白蓮華經，故前	法 藏 皆 攝 入 法 華 今 欲 示 弘 白 蓮 華 經 故 前 
T34n1722_001:0643a04	現白華之相也。問：《智度論》云「陸生華中須	現 白 華 之 相 也 問 智 度 論 云 陸 生 華 中 須 
T34n1722_001:0643a05	曼那花為第一，水生中青蓮花為最上」，今何	曼 那 花 為 第 一 水 生 中 青 蓮 花 為 最 上 今 何 
T34n1722_001:0643a06	故乃舉白華為喻耶？答：青蓮華形相則妙，故	故 乃 舉 白 華 為 喻 耶 答 青 蓮 華 形 相 則 妙 故 
T34n1722_001:0643a07	譬如來之眼，白華所況為勝，宜喻於此經。所	譬 如 來 之 眼 白 華 所 況 為 勝 宜 喻 於 此 經 所 
T34n1722_001:0643a08	以然者，欲辨此經其義明白，故以白華為喻。	以 然 者 欲 辨 此 經 其 義 明 白 故 以 白 華 為 喻 
T34n1722_001:0643a09	何以知然？此經二章瑞相皆辨於白，初段放	何 以 知 然 此 經 二 章 瑞 相 皆 辨 於 白 初 段 放 
T34n1722_001:0643a10	眉間白毫相光，開乘方便門、顯乘真實義；次	眉間白毫相光 開 乘 方 便 門 顯 乘 真 實 義 次 
T34n1722_001:0643a11	〈見寶塔品〉初又放眉間白毫相光，欲表開身	 見 寶 塔 品 初 又 放 眉間白毫相光 欲 表 開 身 
T34n1722_001:0643a12	方便門、顯身真實義。以此經開二方便、示二	方 便 門 顯 身 真 實 義 以 此 經 開 二 方 便 示 二 
T34n1722_001:0643a13	真實義最顯明故，舉白花為喻。二者、白是眾	真 實 義 最 顯 明 故 舉 白 花 為 喻 二 者 白 是 眾 
T34n1722_001:0643a14	色之中本，明一乘為三乘之本，故於此一	色 之 中 本 明 一 乘 為 三 乘 之 本 故 於 此 一 
T34n1722_001:0643a15	說三；說三為一，令歸於一法身。一法身	說 三 說 三 為 一 令 歸 於 一 法 身 一 法 身 
T34n1722_001:0643a16	垂於應迹說於應用，為令悟於法身，故初章	垂 於 應 迹 說 於 應 用 為 令 悟 於 法 身 故 初 章 
T34n1722_001:0643a17	以一乘為本。次段以法身為本，欲顯二本之	以 一 乘 為 本 次 段 以 法 身 為 本 欲 顯 二 本 之 
T34n1722_001:0643a18	義，故以本色為名。三者、駕御大車即是白	義 故 以 本 色 為 名 三 者 駕 御 大 車 即 是 白 
T34n1722_001:0643a19	牛，白牛喻平等大慧，無有漏之垢故秤為白。	牛 白 牛 喻 平 等 大 慧 無 有 漏 之 垢 故 秤 為 白 
T34n1722_001:0643a20	此經文雖七軸宗歸大慧，故舉白牛為喻也。	此 經 文 雖 七 軸 宗 歸 大 慧 故 舉 白 牛 為 喻 也 
T34n1722_001:0643a21	問：無漏出何文？答：〈方便品〉云「又告舍利弗，無	問 無 漏 出 何 文 答 方 便 品 云 又 告 舍 利 弗 無 
T34n1722_001:0643a22	漏不思議，甚深微妙法，唯我知是相，十方佛	漏 不 思 議 甚深微妙法 唯 我 知 是 相 十 方 佛 
T34n1722_001:0643a23	亦然」也。四者、乃至普賢乘六牙白象護人	亦 然 也 四 者 乃 至 普 賢 乘 六牙白象 護 人 
T34n1722_001:0643a24	通法，亦顯菩薩所乘之法，德無不圓、累無不	通 法 亦 顯 菩 薩 所 乘 之 法 德 無 不 圓 累 無 不 
T34n1722_001:0643a25	盡，故乘六牙白象王來也。問：於四花中何故	盡 故 乘 六牙白象 王 來 也 問 於 四 花 中 何 故 
T34n1722_001:0643a26	不借餘二為喻？答：屈摩羅時，華猶未開形相	不 借 餘 二 為 喻 答 屈 摩 羅 時 華 猶 未 開 形 相 
T34n1722_001:0643a27	未妙，喻昔來諸教未開方便門、未顯真實義，	未 妙 喻 昔 來 諸 教 未 開 方 便 門 未 顯 真 實 義 
T34n1722_001:0643a28	故不得喻於此經；迦摩羅時，花既將落形好	故 不 得 喻 於 此 經 迦 摩 羅 時 花 既 將 落 形 好 
T34n1722_001:0643a29	欲毀，喻法花後教已開方便門、已顯真實義，	欲 毀 喻 法 花 後 教 已 開 方 便 門 已 顯 真 實 義 
T34n1722_001:0643b01	亦不得喻於此經。唯分陀利處中盛時形相	亦 不 得 喻 於 此 經 唯 分 陀 利 處 中 盛 時 形 相 
T34n1722_001:0643b02	可愛，喻於此經正開方便門、正顯真實義，微	可 愛 喻 於 此 經 正 開 方 便 門 正 顯 真 實 義 微 
T34n1722_001:0643b03	妙第一。故華有三時，喻教有三種。故〈法師品〉	妙 第 一 故 華 有 三 時 喻 教 有 三 種 故 法 師 品 
T34n1722_001:0643b04	云「已說今說當說中，此法花經最為第一」。問：	云 已 說 今 說 當 說 中 此 法 花 經 最 為 第 一 問 
T34n1722_001:0643b05	何故舉蓮花為喻？答：略有三義：一者、離喻，二	何 故 舉 蓮 花 為 喻 答 略 有 三 義 一 者 離 喻 二 
T34n1722_001:0643b06	者、合喻，三者、遍喻。言離喻者又有三義：一	者 合 喻 三 者 遍 喻 言 離 喻 者 又 有 三 義 一 
T34n1722_001:0643b07	者、此花不有而已，有則花實俱含。此經不說	者 此 花 不 有 而 已 有 則 花 實 俱 含 此 經 不 說 
T34n1722_001:0643b08	而已，說則因果雙辨，故以蓮花喻於因果。二	而 已 說 則 因 果 雙 辨 故 以 蓮 花 喻 於 因 果 二 
T34n1722_001:0643b09	者、由花開故而實現，由言教故而理顯，故以	者 由 花 開 故 而 實 現 由 言 教 故 而 理 顯 故 以 
T34n1722_001:0643b10	蓮華喻於理教，是以經云「其義深遠其語巧	蓮 華 喻 於 理 教 是 以 經 云 其 義 深 遠 其 語 巧 
T34n1722_001:0643b11	妙」。三者、花未開而實未現，花開則實方顯，未	妙 三 者 花 未 開 而 實 未 現 花 開 則 實 方 顯 未 
T34n1722_001:0643b12	開方便門則真實相未顯，開方便門則真實	開 方 便 門 則 真 實 相 未 顯 開 方 便 門 則 真 實 
T34n1722_001:0643b13	相方顯，故以花開喻方便門開，實現譬真實	相 方 顯 故 以 花 開 喻 方 便 門 開 實 現 譬 真 實 
T34n1722_001:0643b14	相顯也。次合譬者略明十義：一者、此花從種	相 顯 也 次 合 譬 者 略 明 十 義 一 者 此 花 從 種 
T34n1722_001:0643b15	而生，喻一乘必有其種。頌曰「天人兩足尊，知	而 生 喻 一 乘 必 有 其 種 頌 曰 天 人 兩 足 尊 知 
T34n1722_001:0643b16	法常無性，佛種從緣起，是故說一乘」。二者、此	法 常 無 性 佛 種 從 緣 起 是 故 說 一 乘 二 者 此 
T34n1722_001:0643b17	花從微至麁，喻佛乘漸漸增長。頌曰「漸漸	花 從 微 至 麁 喻 佛 乘 漸 漸 增 長 頌 曰 漸 漸 
T34n1722_001:0643b18	積功德，具足大悲心，如是諸人等，皆已成佛	積 功 德 具 足 大 悲 心 如 是 諸 人 等 皆 已 成 佛 
T34n1722_001:0643b19	道」。三者、此花增長滿足出濁泥水，喻佛德無	道 三 者 此 花 增 長 滿 足 出 濁 泥 水 喻 佛 德 無 
T34n1722_001:0643b20	不圓、累無不盡，出離生死諸濁泥水。頌曰「如	不 圓 累 無 不 盡 出 離 生 死 諸 濁 泥 水 頌 曰 如 
T34n1722_001:0643b21	來已離三界火宅，寂然閑居安處林野」。四者、	來 已 離 三 界 火 宅 寂 然 閑 居 安 處 林 野 四 者 
T34n1722_001:0643b22	此花雖出泥水而不捨泥水，喻佛雖出四流	此 花 雖 出 泥 水 而 不 捨 泥 水 喻 佛 雖 出 四 流 
T34n1722_001:0643b23	之外不捨三界之中。頌曰「是時長者在門外	之 外 不 捨 三 界 之 中 頌 曰 是 時 長 者 在 門 外 
T34n1722_001:0643b24	立，驚入火宅方宜救濟」。五者、此花微妙鮮潔	立 驚 入 火 宅 方 宜 救 濟 五 者 此 花 微 妙 鮮 潔 
T34n1722_001:0643b25	第一，如佛乘五乘中第一。頌曰「是乘微妙	第 一 如 佛 乘 五 乘 中 第 一 頌 曰 是 乘 微 妙 
T34n1722_001:0643b26	清淨第一，於諸世間為無有上」。六者、此花為	清 淨 第 一 於 諸 世 間 為 無 有 上 六 者 此 花 為 
T34n1722_001:0643b27	凡聖稱嘆愛敬，佛乘亦爾，為世間出世間凡	凡 聖 稱 嘆 愛 敬 佛 乘 亦 爾 為 世間出世間 凡 
T34n1722_001:0643b28	聖稱嘆愛敬。頌曰「佛所悅可，一切眾生所應	聖 稱 嘆 愛 敬 頌 曰 佛 所 悅 可 一 切 眾 生 所 應 
T34n1722_001:0643b29	稱嘆供養禮拜」。七者、此華臺葉具足，喻佛乘	稱 嘆 供 養 禮 拜 七 者 此 華 臺 葉 具 足 喻 佛 乘 
T34n1722_001:0643c01	萬德皆圓滿。頌曰「無量億千諸力解脫禪定	萬 德 皆 圓 滿 頌 曰 無 量 億 千 諸 力 解 脫 禪 定 
T34n1722_001:0643c02	智慧及佛餘法」。八者、此華諸佛菩薩而坐其	智 慧 及 佛 餘 法 八 者 此 華 諸佛菩薩 而 坐 其 
T34n1722_001:0643c03	上，大乘亦爾，為諸佛菩薩而住其中。頌曰「佛	上 大 乘 亦 爾 為 諸佛菩薩 而 住 其 中 頌 曰 佛 
T34n1722_001:0643c04	自住大乘，如其所得法，定慧力莊嚴，以此度眾	自 住 大 乘 如 其 所 得 法 定 慧 力 莊 嚴 以 此 度 眾 
T34n1722_001:0643c05	生」。九者、此花開合有時，喻一乘之法隱顯有	生 九 者 此 花 開 合 有 時 喻 一 乘 之 法 隱 顯 有 
T34n1722_001:0643c06	時，昔日即隱、今日即顯。頌曰「所以未曾說，說	時 昔 日 即 隱 今 日 即 顯 頌 曰 所 以 未 曾 說 說 
T34n1722_001:0643c07	時未至故，今正是其時，決定說大乘」。十者、劫	時 未 至 故 今 正 是 其 時 決 定 說 大 乘 十 者 劫 
T34n1722_001:0643c08	初成時大梵天王坐蓮華座，為一切眾生之	初 成 時 大 梵 天 王 坐 蓮 華 座 為 一 切 眾 生 之 
T34n1722_001:0643c09	父，《妙法蓮華》亦是三世諸佛根本。〈藥王品〉云	父 妙法蓮華 亦 是 三世諸佛 根 本 藥 王 品 云 
