T13n0402_001:0536c03	寶星經序	寶 星 經 序 
T13n0402_004:0556c15	諸眷屬，即見世尊形相威儀還如佛住，復得	諸 眷 屬 即 見 世 尊 形 相 威 儀 還 如 佛 住 復 得 
T13n0402_004:0556c16	憶念，自念久遠先種善根而得現前。時光味	憶 念 自 念 久 遠 先 種 善 根 而 得 現 前 時 光 味 
T13n0402_004:0556c17	仙人即得菩薩三昧，名曰寶星。所得三昧於	仙 人 即 得 菩 薩 三 昧 名 曰 寶 星 所 得 三 昧 於 
T13n0402_004:0556c18	菩薩三昧一切觀見，如在高幢，觀見一切三	菩 薩 三 昧 一 切 觀 見 如 在 高 幢 觀 見 一 切 三 
T13n0402_004:0556c19	昧，自在境界無所繫屬，不依他見，無人能	昧 自 在 境 界 無 所 繫 屬 不 依 他 見 無 人 能 
T13n0402_004:0556c20	壞無人能奪。時光味仙人即於佛前合掌而	壞 無 人 能 奪 時 光 味 仙 人 即 於 佛 前 合 掌 而 
T13n0402_004:0556c21	住，兩手捧華，以偈讚佛：	住 兩 手 捧 華 以 偈 讚 佛 
T13n0402_004:0556c22	「無邊稱實說，　　世間善依怙，	 無 邊 稱 實 說 世 間 善 依 怙 
T13n0402_004:0556c23	　如來慧眼光，　　照一切眾生，	 如 來 慧 眼 光 照 一 切 眾 生 
T13n0402_004:0556c24	　出過眾生上，　　精進常慈悲。	 出 過 眾 生 上 精 進 常 慈 悲 
T13n0402_004:0556c25	　稽首堅固者，　　導師盡諸著，	 稽 首 堅 固 者 導 師 盡 諸 著 
T13n0402_004:0556c26	　紫磨金色光，　　觸眾生清涼，	 紫 磨 金 色 光 觸 眾 生 清 涼 
T13n0402_004:0556c27	　覺一切眾生，　　以菩提功德。	 覺 一 切 眾 生 以 菩 提 功 德 
T13n0402_004:0556c28	　佛轉大法輪，　　能破煩惱山，	 佛 轉 大 法 輪 能 破 煩 惱 山 
T13n0402_004:0556c29	　最後所行訖，　　今得菩提智。	 最 後 所 行 訖 今 得 菩 提 智 
T13n0402_004:0557a01	　眾生中大醫，　　真實相莊嚴，	 眾 生 中 大 醫 真 實 相 莊 嚴 
T13n0402_004:0557a02	　說我當得佛，　　眾生中導師，	 說 我 當 得 佛 眾 生 中 導 師 
T13n0402_004:0557a03	　割壞諸愛網，　　自度亦度他。	 割 壞 諸 愛 網 自 度 亦 度 他 
T13n0402_004:0557a04	　久近得佛記，　　當作人中上，	 久 近 得 佛 記 當 作 人 中 上 
T13n0402_004:0557a05	　苦流漂眾生，　　令度於有海，	 苦 流 漂 眾 生 令 度 於 有 海 
T13n0402_004:0557a06	　涅槃安隱處，　　置立無漏道。	 涅 槃 安 隱 處 置 立 無 漏 道 
T13n0402_004:0557a07	　所有十方佛，　　功德如大海，	 所 有 十 方 佛 功 德 如 大 海 
T13n0402_004:0557a08	　彼為我作證，　　迴向菩提心。	 彼 為 我 作 證 迴向菩提 心 
T13n0402_004:0557a09	　一切諸眾生，　　苦觸極惡惱，	 一 切 諸 眾 生 苦 觸 極 惡 惱 
T13n0402_004:0557a10	　三世及福德，　　我本身口意，	 三 世 及 福 德 我 本 身 口 意 
T13n0402_004:0557a11	　及一切眾生，　　苦滅得佛樂。	 及 一 切 眾 生 苦 滅 得 佛 樂 
T13n0402_004:0557a12	　眾生普具足，　　得常住涅槃，	 眾 生 普 具 足 得 常 住 涅 槃 
T13n0402_004:0557a13	　眾生病寂滅，　　煩惱水枯涸，	 眾 生 病 寂 滅 煩 惱 水 枯 涸 
T13n0402_004:0557a14	　得智等諸根，　　自性常堅固。	 得 智 等 諸 根 自 性 常 堅 固 
T13n0402_004:0557a15	　眾生到殺處，　　及受眾苦縛，	 眾 生 到 殺 處 及 受 眾 苦 縛 
T13n0402_004:0557a16	　以我福德光，　　普令速解脫。	 以 我 福 德 光 普 令 速 解 脫 
T13n0402_004:0557a17	　一一眾生界，　　得如海功德，	 一 一 眾 生 界 得 如 海 功 德 
T13n0402_004:0557a18	　得無量福智，　　一切樂具足。	 得 無 量 福 智 一 切 樂 具 足 
T13n0402_004:0557a19	　棄彼諸惡見，　　速親近正見，	 棄 彼 諸 惡 見 速 親 近 正 見 
T13n0402_004:0557a20	　憶念前生處，　　眾生得法行。	 憶 念 前 生 處 眾 生 得 法 行 
T13n0402_004:0557a21	　一切得法船，　　度有海彼岸，	 一 切 得 法 船 度 有 海 彼 岸 
T13n0402_004:0557a22	　既度彼岸已，　　得佛一切法。	 既 度 彼 岸 已 得 佛 一 切 法 
T13n0402_004:0557a23	　久住無量劫，　　普雨大法雨，	 久 住 無 量 劫 普 雨大法雨 
T13n0402_004:0557a24	　法雲清淨水，　　淨洗諸眾生。	 法 雲 清 淨 水 淨 洗 諸 眾 生 
T13n0402_004:0557a25	　若我身口意，　　一切所作惡，	 若 我 身 口 意 一 切 所 作 惡 
T13n0402_004:0557a26	　我一切發露，　　唯佛作證知。	 我 一 切 發 露 唯 佛 作 證 知 
T13n0402_004:0557a27	　我生敬重意，　　莫復行惡業，	 我 生 敬 重 意 莫 復 行 惡 業 
T13n0402_004:0557a28	　佛不可思議，　　常得現前見。	 佛 不可思議 常 得 現 前 見 
T13n0402_004:0557a29	　若有一福德，　　迴向為菩提，	 若 有 一 福 德 迴 向 為 菩 提 
T13n0402_004:0557b01	　我因諸眾生，　　忍受一切苦，	 我 因 諸 眾 生 忍 受 一 切 苦 
T13n0402_004:0557b02	　我勸請眾生，　　行菩提上道，	 我 勸 請 眾 生 行 菩 提 上 道 
T13n0402_004:0557b03	　淨諸剎土劫，　　及眾生智海。	 淨 諸 剎 土 劫 及 眾 生 智 海 
T13n0402_004:0557b04	　我得淨剎土，　　隨彼證菩提，	 我 得 淨 剎 土 隨 彼 證 菩 提 
T13n0402_004:0557b05	　得清淨徒眾，　　淨忍住諸地，	 得 清 淨 徒 眾 淨 忍 住 諸 地 
T13n0402_004:0557b06	　決定五神通，　　我得師子說。	 決 定 五 神 通 我 得 師 子 說 
T13n0402_004:0557b07	　無著智示者，　　導師當記我，	 無 著 智 示 者 導 師 當 記 我 
T13n0402_004:0557b08	　若定得佛時，　　一切法調御，	 若 定 得 佛 時 一 切 法 調 御 
T13n0402_004:0557b09	　我所散之華，　　空中成華蓋，	 我 所 散 之 華 空 中 成 華 蓋 
T13n0402_004:0557b10	　天龍人等眾，　　一切來作證，	 天 龍 人 等 眾 一 切 來 作 證 
T13n0402_004:0557b11	　我頂禮佛足，　　令地大震動。」	 我 頂禮佛足 令 地 大 震 動 
T13n0402_004:0557b12	爾時，光味仙人所散之華，住虛空中近佛頂	爾 時 光 味 仙 人 所 散 之 華 住 虛 空 中 近 佛 頂 
T13n0402_004:0557b13	上合為一蓋。時光味仙人見此事已，倍復過	上 合 為 一 蓋 時 光 味 仙 人 見 此 事 已 倍 復 過 
T13n0402_004:0557b14	量無餘悕望，第一愛樂生大歡喜，即便稽首	量 無 餘 悕 望 第 一 愛 樂 生大歡喜 即 便 稽 首 
T13n0402_004:0557b15	兩膝著地禮世尊足。光味大仙禮佛足時，應	兩 膝 著 地 禮 世 尊 足 光 味 大 仙 禮 佛 足 時 應 
T13n0402_004:0557b16	時無間一切三千大千世界六種震動，所有	時 無 間 一 切 三千大千世界 六種震動 所 有 
T13n0402_004:0557b17	無量阿僧祇眾生，百千俱胝那由他等，普來	無量阿僧祇 眾 生 百 千 俱 胝 那 由 他 等 普 來 
T13n0402_004:0557b18	集會悉皆悲喜，生大驚嘆怪未曾有。	集 會 悉 皆 悲 喜 生 大 驚 嘆 怪 未 曾 有 
T13n0402_004:0557b19	是時，如來隨彼眾生所應見者，現種種身，應	是 時 如 來 隨 彼 眾 生 所 應 見 者 現種種身 應 
T13n0402_004:0557b20	以象形而教化者，即見如來如彼象形生愛	以 象 形 而 教 化 者 即 見 如 來 如 彼 象 形 生 愛 
T13n0402_004:0557b21	樂心。又見大仙人所散之華，住上虛空變成	樂 心 又 見 大 仙 人 所 散 之 華 住 上 虛 空 變 成 
T13n0402_004:0557b22	華蓋，及大地動，既見此已倍復過量生希	華 蓋 及 大 地 動 既 見 此 已 倍 復 過 量 生 希 
T13n0402_004:0557b23	有心，到世尊所頂禮佛足。所有眾生應以佛	有 心 到 世 尊 所 頂禮佛足 所 有 眾 生 應 以 佛 
T13n0402_004:0557b24	身而教化者，彼見如來如佛身相生希有心。	身 而 教 化 者 彼 見 如 來 如 佛 身 相 生希有心 
T13n0402_004:0557b25	是時，世尊即便起定，從首楞嚴三昧安詳而	是 時 世 尊 即 便 起 定 從 首楞嚴三昧 安 詳 而 
T13n0402_004:0557b26	起。無量眾生所教化者，皆見世尊無餘悕望，	起 無 量 眾 生 所 教 化 者 皆 見 世 尊 無 餘 悕 望 
T13n0402_004:0557b27	皆大喜悅生愛樂心，各如所得，華鬘衣服末	皆 大 喜 悅 生 愛 樂 心 各 如 所 得 華 鬘 衣 服 末 
T13n0402_004:0557b28	香塗香，諸莊嚴具持散供養。	香 塗 香 諸 莊 嚴 具 持 散 供 養 
T13n0402_004:0557b29	爾時，世尊即為光味仙人說受記偈：	爾 時 世 尊 即 為 光 味 仙 人 說 受 記 偈 
T13n0402_004:0557c01	「速起聽受記，　　導師今為說，	 速 起 聽 受 記 導 師 今 為 說 
T13n0402_004:0557c02	　大仙得菩提，　　地動華一蓋，	 大 仙 得 菩 提 地 動 華 一 蓋 
T13n0402_004:0557c03	　住上虛空中，　　無比加護故。	 住 上 虛 空 中 無 比 加 護 故 
T13n0402_004:0557c04	　汝得兩足尊，　　自在利世間，	 汝 得 兩 足 尊 自 在 利 世 間 
T13n0402_004:0557c05	　佛有無邊福，　　邊量等虛空，	 佛 有 無 邊 福 邊 量 等 虛 空 
T13n0402_004:0557c06	　三界中堅固，　　法燈照世間。」	 三 界 中 堅 固 法 燈 照 世 間 
T13n0402_004:0557c07	爾時，光味菩薩摩訶薩即前，恭敬白佛言：「世	爾 時 光 味 菩薩摩訶薩 即 前 恭 敬 白 佛 言 世 
T13n0402_004:0557c08	尊！我得佛剎似何等相，我於彼剎轉大法輪？」	尊 我 得 佛 剎 似 何 等 相 我 於 彼 剎 轉 大 法 輪 
T13n0402_004:0557c09	是時，世尊告光味言：「汝未來世過無量阿僧	是 時 世 尊 告 光 味 言 汝 未 來 世 過 無 量 阿 僧 
T13n0402_004:0557c10	祇劫，於北方分有世界名開敷香，具足莊嚴	祇 劫 於 北 方 分 有 世 界 名 開 敷 香 具 足 莊 嚴 
T13n0402_004:0557c11	有如是相，如今西方安樂世界。汝善丈夫於	有 如 是 相 如 今 西 方 安樂世界 汝 善 丈 夫 於 
T13n0402_004:0557c12	彼佛剎，當得阿耨多羅三藐三菩提，號無垢	彼 佛 剎 當 得阿耨多羅三藐三菩提 號 無 垢 
T13n0402_004:0557c13	香光勝如來、應供、正遍知、明行足、善逝、世間解、	香 光 勝 如 來 應 供 正 遍 知 明 行 足 善 逝 世 間 解 
T13n0402_004:0557c14	無上士、調御丈夫、天人師、佛、世尊。彼佛壽命	無 上 士 調御丈夫 天 人 師 佛 世 尊 彼 佛 壽 命 
T13n0402_004:0557c15	十中劫量，唯諸菩薩摩訶薩俱，無有聲聞、辟	十 中 劫 量 唯 諸 菩薩摩訶薩 俱 無 有 聲 聞 辟 
T13n0402_004:0557c16	支佛乘，純說無上清淨大乘。」時彼大眾，聞佛	支 佛 乘 純 說 無 上 清 淨 大 乘 時 彼 大 眾 聞 佛 
T13n0402_004:0557c17	世尊授彼光味仙人記已，各以所持供養之	世 尊 授 彼 光 味 仙 人 記 已 各 以 所 持 供 養 之 
T13n0402_004:0557c18	具供養仙人。時五百摩那婆等，及九十二那	具 供 養 仙 人 時 五 百 摩 那 婆 等 及 九 十 二 那 
T13n0402_004:0557c19	由他百千俱胝眾生，發阿耨多羅三藐三菩	由 他 百 千 俱 胝 眾 生 發 阿 耨 多 羅 三 藐 三 菩 
T13n0402_004:0557c20	提心，及得菩薩不忘菩提心三摩提。	提 心 及 得 菩 薩 不 忘 菩 提 心 三 摩 提 
T13n0402_004:0557c21	寶星陀羅尼經卷第四	寶 星 陀 羅 尼 經 卷 第 四 
T13n0402_005:0558a02	寶星陀羅尼經卷第五	寶 星 陀 羅 尼 經 卷 第 五 
T13n0402_005:0558a04	唐天竺三藏波羅頗蜜多羅譯	唐 天 竺 三 藏 波 羅 頗 蜜 多 羅 譯 
T13n0402_005:0558a05	相品第五	相 品 第 五 
T13n0402_005:0558a06	爾時，三千大千世界百億諸魔生如是念：「今	爾 時 三千大千世界 百 億 諸 魔 生 如 是 念 今 
T13n0402_005:0558a07	佛世尊入王舍城門，我等應以最上莊嚴，嚴	佛 世 尊 入 王 舍 城 門 我 等 應 以 最 上 莊 嚴 嚴 
T13n0402_005:0558a08	飾此城門之內及彼地方，如彼城外天、龍、	飾 此 城 門 之 內 及 彼 地 方 如 彼 城 外 天 龍 
T13n0402_005:0558a09	夜叉之所莊嚴。」	夜 叉 之 所 莊 嚴 
T13n0402_005:0558a10	爾時，世尊以他心智知百億魔心之所念，欲	爾 時 世 尊 以 他 心 智 知 百 億 魔 心 之 所 念 欲 
T13n0402_005:0558a11	以神通最上色相莊嚴佛處。是時，世尊以神	以 神 通 最 上 色 相 莊 嚴 佛 處 是 時 世 尊 以 神 
T13n0402_005:0558a12	通力，於王舍大城十二門內，一一門中皆	通 力 於 王 舍 大 城 十 二 門 內 一 一 門 中 皆 
T13n0402_005:0558a13	有如來及諸大眾，共入城門。時百億魔即	有 如 來 及 諸 大 眾 共 入 城 門 時 百 億 魔 即 
T13n0402_005:0558a14	以神通種種莊嚴勝中勝者、阿僧祇等諸莊嚴	以 神 通 種 種 莊 嚴 勝 中 勝 者 阿 僧 祇 等 諸 莊 嚴 
T13n0402_005:0558a15	具，嚴飾城門及地方城壁諸樹，地上虛空勝	具 嚴 飾 城 門 及 地 方 城 壁 諸 樹 地 上 虛 空 勝 
T13n0402_005:0558a16	妙莊嚴而莊嚴之。時百億魔并諸眷屬，或有	妙 莊 嚴 而 莊 嚴 之 時 百 億 魔 并 諸 眷 屬 或 有 
T13n0402_005:0558a17	作於梵天之形，乃至作於大仙之形，於諸	作 於 梵 天 之 形 乃 至 作 於 大 仙 之 形 於 諸 
T13n0402_005:0558a18	重閣窓門樓櫓却敵樹間諸處地，及虛空各於	重 閣 窓 門 樓 櫓 却 敵 樹 間 諸 處 地 及 虛 空 各 於 
T13n0402_005:0558a19	中住。以種種華末香燒香金粟銀粟，以摩尼	中 住 以 種 種 華 末 香 燒 香 金 粟 銀 粟 以 摩 尼 
T13n0402_005:0558a20	真珠及種種莊嚴以嚴衣服，并諸綺繡莊嚴	真 珠 及 種 種 莊 嚴 以 嚴 衣 服 并 諸 綺 繡 莊 嚴 
T13n0402_005:0558a21	具等普雨供養。又以種種天之音樂擊鼓拍	具 等 普 雨 供 養 又 以 種 種 天 之 音 樂 擊 鼓 拍 
T13n0402_005:0558a22	手，種種讚嘆歌詠如來無量功德，悉皆聚集	手 種 種 讚 嘆 歌 詠 如來無量功德 悉 皆 聚 集 
T13n0402_005:0558a23	供養世尊，以如是第一最勝莊嚴大希有相，	供 養 世 尊 以 如 是 第 一 最 勝 莊 嚴 大 希 有 相 
T13n0402_005:0558a24	所未曾有所未曾聞。	所 未 曾 有 所 未 曾 聞 
T13n0402_005:0558a25	爾時，世尊住城門下，以右足指觸城門閾，應	爾 時 世 尊 住 城 門 下 以 右 足 指 觸 城 門 閾 應 
T13n0402_005:0558a26	時無間一切三千大千世界普皆震動，及此	時 無 間 一 切 三千大千世界 普 皆 震 動 及 此 
T13n0402_005:0558a27	三千大千世界所有釋梵日月護世大自在	三千大千世界 所 有 釋 梵 日 月 護 世 大 自 在 
T13n0402_005:0558a28	天，天，龍、夜叉、乾闥婆、阿修羅、伽樓羅、緊那羅、	天 天 龍 夜 叉 乾 闥 婆 阿 修 羅 伽 樓 羅 緊 那 羅 
T13n0402_005:0558a29	摩睺羅伽等主，地天水天大海諸山城邑等	摩睺羅伽 等 主 地 天 水 天 大 海 諸 山 城 邑 等 
T13n0402_005:0558b01	天，及諸男女童男童女天仙等眾，乃至阿迦	天 及 諸 男 女 童 男 童 女 天 仙 等 眾 乃 至 阿 迦 
T13n0402_005:0558b02	尼吒天宮已來，所有眾生得大滋味色貌光	尼 吒 天 宮 已 來 所 有 眾 生 得 大 滋 味 色 貌 光 
T13n0402_005:0558b03	澤。彼一切眾見地大動光照覺悟，於王舍大	澤 彼 一 切 眾 見 地 大 動 光 照 覺 悟 於 王 舍 大 
T13n0402_005:0558b04	城地及虛空圍遶而住，乃至華香黑栴檀末	城 地 及 虛 空 圍 遶 而 住 乃 至 華 香 黑 栴 檀 末 
T13n0402_005:0558b05	散佛供養。是時，世尊釋迦牟尼佛，以神通力	散 佛 供 養 是 時 世 尊 釋 迦 牟 尼 佛 以 神 通 力 
T13n0402_005:0558b06	令彼散華乃至末香，普遍十方微塵等剎，一	令 彼 散 華 乃 至 末 香 普 遍 十 方 微 塵 等 剎 一 
T13n0402_005:0558b07	一方分所有清淨及不清淨、空不空等諸佛	一 方 分 所 有 清 淨 及 不 清 淨 空 不 空 等 諸 佛 
T13n0402_005:0558b08	剎土，悉皆供養供給彼佛。彼彼佛剎此所散	剎 土 悉 皆 供 養 供 給 彼 佛 彼 彼 佛 剎 此 所 散 
T13n0402_005:0558b09	華，并諸末香莊嚴具等，皆出如是偈句之聲：	華 并 諸 末 香 莊 嚴 具 等 皆 出 如 是 偈 句 之 聲 
T13n0402_005:0558b10	「汝等疾覺悟，　　觀不放逸行，	 汝 等 疾 覺 悟 觀 不放逸行 
T13n0402_005:0558b11	　最上菩提因，　　流轉甚生死，	 最 上 菩 提 因 流 轉 甚 生 死 
T13n0402_005:0558b12	　我今拔濟汝，　　宜速捨世事。	 我 今 拔 濟 汝 宜 速 捨 世 事 
T13n0402_005:0558b13	　憶往昔誓願，　　時到熟相應，	 憶 往 昔 誓 願 時 到 熟 相 應 
T13n0402_005:0558b14	　各得菩提記，　　牟尼因陀羅，	 各 得 菩 提 記 牟 尼 因 陀 羅 
T13n0402_005:0558b15	　利益世間故，　　今入王舍城。	 利 益 世 間 故 今 入 王 舍 城 
T13n0402_005:0558b16	　大仙勝無憂，　　已降百億魔，	 大 仙 勝 無 憂 已 降 百 億 魔 
T13n0402_005:0558b17	　轉清淨法輪，　　應當大歡喜。	 轉 清 淨 法 輪 應 當 大 歡 喜 
T13n0402_005:0558b18	　如是利世間，　　普示勇健事，	 如 是 利 世 間 普 示 勇 健 事 
T13n0402_005:0558b19	　解脫世間苦。　　今為摩利沙，	 解 脫 世 間 苦 今 為 摩 利 沙 
T13n0402_005:0558b20	　當得菩提故，　　今授汝等記。	 當 得 菩 提 故 今 授 汝 等 記 
T13n0402_005:0558b21	　速往彼剎土，　　見妙好莊嚴，	 速 往 彼 剎 土 見 妙 好 莊 嚴 
T13n0402_005:0558b22	　自然如是得，　　入彼無憂城，	 自 然 如 是 得 入 彼 無 憂 城 
T13n0402_005:0558b23	　漸次菩提行，　　決定當得佛。」	 漸 次 菩 提 行 決 定 當 得 佛 
T13n0402_005:0558b24	爾時，十方微塵等一切佛剎彼彼大眾，以佛	爾 時 十 方 微 塵 等 一 切 佛 剎 彼 彼 大 眾 以 佛 
T13n0402_005:0558b25	力故，悉見此佛竹林大眾菩薩摩訶薩各各	力 故 悉 見 此 佛 竹 林 大 眾 菩薩摩訶薩 各 各 
T13n0402_005:0558b26	三昧思量。是時，竹林所有菩薩摩訶薩思惟	三 昧 思 量 是 時 竹 林 所 有 菩薩摩訶薩 思 惟 
T13n0402_005:0558b27	住者，并諸聲聞大聲聞，皆見世尊於王舍城	住 者 并 諸 聲 聞 大 聲 聞 皆 見 世 尊 於 王 舍 城 
T13n0402_005:0558b28	門調伏住待。彼諸大眾隨世尊後住，見大莊	門 調 伏 住 待 彼 諸 大 眾 隨 世 尊 後 住 見 大 莊 
T13n0402_005:0558b29	嚴具中出諸偈已，悉皆遍滿十方一切微塵	嚴 具 中 出 諸 偈 已 悉 皆 遍 滿 十 方 一 切 微 塵 
T13n0402_005:0558c01	等淨不淨、空不空一切佛剎。彼諸佛剎所有	等 淨 不 淨 空 不 空 一 切 佛 剎 彼 諸 佛 剎 所 有 
T13n0402_005:0558c02	菩薩摩訶薩，及住聲聞，聞此聲已，作如是念：	菩薩摩訶薩 及 住 聲 聞 聞 此 聲 已 作如是念 
T13n0402_005:0558c03	「何處有此法聲遍滿如是可意聲？如是美妙，	 何 處 有 此 法 聲 遍 滿 如 是 可 意 聲 如 是 美 妙 
T13n0402_005:0558c04	如是可愛，如是可樂，如是可喜，如是勸發，	如 是 可 愛 如 是 可 樂 如 是 可 喜 如 是 勸 發 
T13n0402_005:0558c05	如是大功德稱揚之聲？」及見華末香雨，雨於	如 是 大 功 德 稱 揚 之 聲 及 見 華 末 香 雨 雨 於 
T13n0402_005:0558c06	十方無量莊嚴，無量華香細末之雨。時彼菩	十 方 無 量 莊 嚴 無 量 華 香 細 末 之 雨 時 彼 菩 
T13n0402_005:0558c07	薩摩訶薩及大聲聞，捨所作業皆大驚歎。	薩 摩 訶 薩 及 大 聲 聞 捨 所 作 業 皆 大 驚 歎 
T13n0402_005:0558c08	爾時，釋迦如來即入三昧，名依佛莊嚴嚴飾	爾 時 釋 迦 如 來 即 入 三 昧 名 依 佛 莊 嚴 嚴 飾 
T13n0402_005:0558c09	三昧，入三昧已應時無間一切娑婆世界，及	三 昧 入 三 昧 已 應 時 無 間 一 切 娑婆世界 及 
T13n0402_005:0558c10	十方一切微塵佛剎所有大眾，悉見此佛剎	十 方 一 切 微 塵 佛 剎 所 有 大 眾 悉 見 此 佛 剎 
T13n0402_005:0558c11	中如是大莊嚴相。如彼未來世中普見如來	中 如 是 大 莊 嚴 相 如 彼 未 來 世 中 普 見 如 來 
T13n0402_005:0558c12	淨無染聚世界功德莊嚴，唯無一事，謂城壁	淨 無 染 聚 世 界 功德莊嚴 唯 無 一 事 謂 城 壁 
T13n0402_005:0558c13	等，而自然莊嚴。一切十方諸佛剎土微塵等	等 而 自 然 莊 嚴 一 切 十方諸佛 剎 土 微 塵 等 
T13n0402_005:0558c14	世界諸佛世尊，普見釋迦如來住王舍大城，	世 界 諸佛世尊 普 見 釋 迦 如 來 住 王 舍 大 城 
T13n0402_005:0558c15	光明赫弈甚大端嚴。彼諸佛剎所有大菩薩	光 明 赫 弈 甚 大 端 嚴 彼 諸 佛 剎 所 有 大 菩 薩 
T13n0402_005:0558c16	摩訶薩等及大聲聞，聞此偈已，各皆憶念觀	摩 訶 薩 等 及 大 聲 聞 聞 此 偈 已 各 皆 憶 念 觀 
T13n0402_005:0558c17	於四方，見此世界如對目前，以一切諸佛境	於 四 方 見 此 世 界 如 對 目 前 以 一切諸佛 境 
T13n0402_005:0558c18	界力故，及見諸天種種莊嚴。時彼菩薩摩訶	界 力 故 及 見 諸 天 種 種 莊 嚴 時 彼 菩 薩 摩 訶 
T13n0402_005:0558c19	薩等，及大聲聞作如是念：「我等決定往於彼	薩 等 及 大 聲 聞 作如是念 我 等 決 定 往 於 彼 
T13n0402_005:0558c20	土大集會中莊嚴之處，及彼佛剎功德莊嚴	土 大 集 會 中 莊 嚴 之 處 及 彼 佛 剎 功德莊嚴 
T13n0402_005:0558c21	普觀察之，見釋迦如來已，修行供養我等於	普 觀 察 之 見 釋 迦 如 來 已 修 行 供 養 我 等 於 
T13n0402_005:0558c22	彼佛所，得阿耨多羅三藐三菩提記。」時彼十	彼 佛 所 得阿耨多羅三藐三菩提 記 時 彼 十 
T13n0402_005:0558c23	方一切佛剎微塵等世界，諸菩薩摩訶薩等	方 一 切 佛 剎 微 塵 等 世 界 諸 菩薩摩訶薩 等 
T13n0402_005:0558c24	及大聲聞，釋迦如來神力加故，各自佛剎，於	及 大 聲 聞 釋 迦 如來神力 加 故 各 自 佛 剎 於 
T13n0402_005:0558c25	剎那羅婆摸呼多頃，彼沒此現到娑婆世界。	剎 那 羅 婆 摸 呼 多 頃 彼 沒 此 現 到 娑婆世界 
T13n0402_005:0558c26	時彼十方一一方分無量無數佛剎，微塵等	時 彼 十 方 一 一 方 分 無量無數 佛 剎 微 塵 等 
T13n0402_005:0558c27	菩薩摩訶薩，一切悉來到此佛剎，地及虛空	菩薩摩訶薩 一 切 悉 來 到 此 佛 剎 地 及 虛 空 
T13n0402_005:0558c28	遍滿而住。彼諸菩薩摩訶薩等，各依菩薩種	遍 滿 而 住 彼 諸 菩薩摩訶薩 等 各 依 菩 薩 種 
T13n0402_005:0558c29	種善根若干力故，修營供養釋迦如來。且置	種 善 根 若 干 力 故 修 營 供 養 釋 迦 如 來 且 置 
T13n0402_005:0559a01	是事，或有菩薩於此佛剎，雨種種華一切	是 事 或 有 菩 薩 於 此 佛 剎 雨 種 種 華 一 切 
T13n0402_005:0559a02	遍滿，為供養事供養世尊；或有雨於種種真	遍 滿 為 供 養 事 供 養 世 尊 或 有 雨 於 種 種 真 
T13n0402_005:0559a03	珠，乃至或有金銀毘琉璃頗梨、石藏寶摸薩	珠 乃 至 或 有 金 銀 毘 琉 璃 頗 梨 石 藏 寶 摸 薩 
T13n0402_005:0559a04	羅、牛頭栴檀、龍堅栴檀、多摩羅葉，悉以為末	羅 牛頭栴檀 龍 堅 栴 檀 多 摩 羅 葉 悉 以 為 末 
T13n0402_005:0559a05	而滿虛空，為供養事供養世尊；或有雨於種	而 滿 虛 空 為 供 養 事 供 養 世 尊 或 有 雨 於 種 
T13n0402_005:0559a06	種嚴飾諸莊嚴具衣服綺繡，為供養事供養	種 嚴 飾 諸 莊 嚴 具 衣 服 綺 繡 為 供 養 事 供 養 
T13n0402_005:0559a07	世尊；或竪種種幢幡華蓋，為供養事供養	世 尊 或 竪 種 種 幢 幡 華 蓋 為 供 養 事 供 養 
T13n0402_005:0559a08	世尊；或燒種種之香，或散種種寶鬘，或擊種	世 尊 或 燒 種 種 之 香 或 散 種 種 寶 鬘 或 擊 種 
T13n0402_005:0559a09	種伎樂，或有示現種種歌舞，或有種種香	種 伎 樂 或 有 示 現 種 種 歌 舞 或 有 種 種 香 
T13n0402_005:0559a10	水雨此方地而灑潤之，或有種種寶器盛種	水 雨 此 方 地 而 灑 潤 之 或 有 種 種 寶 器 盛 種 
T13n0402_005:0559a11	種寶，於世尊前捧持供養。或有種種寶器盛	種 寶 於 世 尊 前 捧 持 供 養 或 有 種 種 寶 器 盛 
T13n0402_005:0559a12	滿香水，以華果葉而莊嚴之，於世尊前捧持	滿 香 水 以 華 果 葉 而 莊 嚴 之 於 世 尊 前 捧 持 
T13n0402_005:0559a13	供養。或有種種寶樹種種天衣，華果莊嚴舉	供 養 或 有 種 種 寶 樹 種 種 天 衣 華 果 莊 嚴 舉 
T13n0402_005:0559a14	手捧持，於世尊前為供養事。或有化作大梵	手 捧 持 於 世 尊 前 為 供 養 事 或 有 化 作 大 梵 
T13n0402_005:0559a15	天身合掌佛前，乃至廣說如前所作。或有化	天 身 合 掌 佛 前 乃至廣說 如 前 所 作 或 有 化 
T13n0402_005:0559a16	作師子之形，於世尊前如是禮拜。彼諸眾生	作 師 子 之 形 於 世 尊 前 如 是 禮 拜 彼 諸 眾 生 
T13n0402_005:0559a17	以佛神力，及自善根加護力故，互相觀視，於	以佛神力 及 自 善 根 加 護 力 故 互 相 觀 視 於 
T13n0402_005:0559a18	自眼根不取諸色。以佛世尊現如是相，及魔	自 眼 根 不 取 諸 色 以 佛 世 尊 現 如 是 相 及 魔 
T13n0402_005:0559a19	王所作、大境界天之所作若干境界，及以如	王 所 作 大 境 界 天 之 所 作 若 干 境 界 及 以 如 
T13n0402_005:0559a20	來自念處、正斷、神足、根、力、覺、道、十八不共法	來 自 念 處 正 斷 神 足 根 力 覺 道 十八不共法 
