T85n2859_001:1314b03	惠遠外傳	惠 遠 外 傳 
T85n2859_001:1318b14	以平等為性。善慶問曰。既稱平等為性。緣何	以 平 等 為 性 善 慶 問 曰 既 稱 平 等 為 性 緣 何 
T85n2859_001:1318b15	眾生沈輪生死。佛即證無餘涅槃。道安答曰。	眾 生 沈 輪 生 死 佛 即 證 無餘涅槃 道 安 答 曰 
T85n2859_001:1318b16	眾生沈輪惡道。從無明妄想而生。佛證無餘	眾 生 沈 輪 惡 道 從 無 明 妄 想 而 生 佛 證 無 餘 
T85n2859_001:1318b17	涅槃。從一切皆盡。善慶又問曰。眾生無明有	涅 槃 從 一 切 皆 盡 善 慶 又 問 曰 眾 生 無 明 有 
T85n2859_001:1318b18	煩惱。與佛性如何。道安答曰。無明煩惱是眾	煩 惱 與 佛 性 如 何 道 安 答 曰 無 明 煩 惱 是 眾 
T85n2859_001:1318b19	生一切斷處為佛性。所以眾生不離於佛色不	生 一 切 斷 處 為 佛 性 所 以 眾 生 不 離 於 佛 色 不 
T85n2859_001:1318b20	離眾生。上來所說言詞謹答例皆如是。善慶	離 眾 生 上 來 所 說 言 詞 謹 答 例 皆 如 是 善 慶 
T85n2859_001:1318b21	曰。闍梨適來所說言詞大違講讚。經文大錯	曰 闍 梨 適 來 所 說 言 詞 大 違 講 讚 經 文 大 錯 
T85n2859_001:1318b22	總是信口落荒。只要悅喻門徒順耳。且聽。如	總 是 信 口 落 荒 只 要 悅 喻 門 徒 順 耳 且 聽 如 
T85n2859_001:1318b23	江潮大海其中有多少眾生。或即是黿鼉。或	江 潮 大 海 其 中 有 多 少 眾 生 或 即 是 黿 鼉 或 
T85n2859_001:1318b24	若是鰕[魚*解]龍魚。如是多般盡屬於水。雖然魚	若 是 鰕 [魚解] 龍 魚 如 是 多 般 盡 屬 於 水 雖 然 魚 
T85n2859_001:1318b25	水相同。於其中間有異魚不得水如便死。水	水 相 同 於其中間 有 異 魚 不 得 水 如 便 死 水 
T85n2859_001:1318b26	不得魚湛然。無生離佛即有沈輪。佛離眾生	不 得 魚 湛 然 無 生 離 佛 即 有 沈 輪 佛 離 眾 生 
T85n2859_001:1318b27	即有寂滅。蓋聞佛者出世獨尊。一相之中逈起	即 有 寂 滅 蓋 聞 佛 者 出 世 獨 尊 一 相 之 中 逈 起 
T85n2859_001:1318b28	三界。為慈悲之故救度眾生。若佛與凡同。所	三 界 為 慈 悲 之 故 救 度 眾 生 若 佛 與 凡 同 所 
T85n2859_001:1318b29	說例皆不是。涅槃之經甚處譬喻幽玄。今對	說 例 皆 不 是 涅 槃 之 經 甚 處 譬 喻 幽 玄 今 對 
T85n2859_001:1318c01	眾前略請上人一說。道安答曰。涅槃經譬喻	眾 前 略 請 上 人 一 說 道 安 答 曰 涅 槃 經 譬 喻 
T85n2859_001:1318c02	其數最多。大喻三千。少喻八百。於其中間。善	其 數 最 多 大 喻 三 千 少 喻 八 百 於其中間 善 
T85n2859_001:1318c03	慶問曰。黑風義者何。道安答曰。黑風義者是	慶 問 曰 黑 風 義 者 何 道 安 答 曰 黑 風 義 者 是 
T85n2859_001:1318c04	眾生無明之風。眾生從無量劫來彼此風搖	眾 生 無 明 之 風 眾 生 從 無 量 劫 來 彼 此 風 搖 
T85n2859_001:1318c05	動不定。將此風分為八般。引義臺友□說不	動 不 定 將 此 風 分 為 八 般 引 義 臺 友 說 不 
T85n2859_001:1318c06	盡。於是善慶知道安不解。解說不能。善慶問	盡 於 是 善 慶 知 道 安 不 解 解 說 不 能 善 慶 問 
T85n2859_001:1318c07	曰。闍梨既稱國之大德。即合問一答十。雖有髑	曰 闍 梨 既 稱 國 之 大 德 即 合 問 一 答 十 雖 有 髑 
T85n2859_001:1318c08	髏還無兩眼。凡人渡水第一須解怕浮不解徒	髏 還 無 兩 眼 凡 人 渡 水 第 一 須 解 怕 浮 不 解 徒 
T85n2859_001:1318c09	勞入水。黑風之義誰人所講經文阿誰章疏於	勞 入 水 黑 風 之 義 誰 人 所 講 經 文 阿 誰 章 疏 於 
T85n2859_001:1318c10	是道安心疑答口不能答口擬答心不能答手	是 道 安 心 疑 答 口 不 能 答 口 擬 答 心 不 能 答 手 
T85n2859_001:1318c11	脚專顒唯稱大罪。願汝慈悲。與我解說說善慶	脚 專 顒 唯 稱 大 罪 願 汝 慈 悲 與 我 解 說 說 善 慶 
T85n2859_001:1318c12	曰。涅槃經義大無恐怖但請安心勿令懷憂慮。	曰 涅 槃 經 義 大 無 恐 怖 但 請 安 心 勿 令 懷 憂 慮 
T85n2859_001:1318c13	不問別餘即問上人涅槃經疏抄從甚處得來。	不 問 別 餘 即 問 上 人 涅 槃 經 疏 抄 從 甚 處 得 來 
T85n2859_001:1318c14	道安答曰從[山*盧]山遠大師處得來。善慶曰。如今	道 安 答 曰 從 [山盧] 山 遠 大 師 處 得 來 善 慶 曰 如 今 
T85n2859_001:1318c15	者若見遠公還相識已否。道安曰。如今若見遠	者 若 見 遠 公 還 相 識 已 否 道 安 曰 如 今 若 見 遠 
T85n2859_001:1318c16	公實當不識。善慶曰。既言不識疏抄從甚處得	公 實 當 不 識 善 慶 曰 既 言 不 識 疏 抄 從 甚 處 得 
T85n2859_001:1318c17	來。道安答曰。向遠公上足弟子雲慶和尚處得	來 道 安 答 曰 向 遠 公 上 足 弟 子 雲 慶 和 尚 處 得 
T85n2859_001:1318c18	來。善慶曰。若覓諸人實當不是。若覓遠公只這	來 善 慶 曰 若 覓 諸 人 實 當 不 是 若 覓 遠 公 只 這 
T85n2859_001:1318c19	賤奴便是。道安聞語由身自懷疑惑。我聞大師	賤 奴 便 是 道 安 聞 語 由 身 自 懷 疑 惑 我 聞 大 師 
T85n2859_001:1318c20	身有異相。腕有肉環。若是大師現出其相。於	身 有 異 相 腕 有 肉 環 若 是 大 師 現 出 其 相 於 
T85n2859_001:1318c21	是遠公為破疑情宣其左膊。果然腕有肉環	是 遠 公 為 破 疑 情 宣 其 左 膊 果 然 腕 有 肉 環 
T85n2859_001:1318c22	放大光明。聽眾皆普見。於是道安起下高座	放大光明 聽 眾 皆 普 見 於 是 道 安 起 下 高 座 
T85n2859_001:1318c23	舉身自撲。七孔之中皆流鮮血。步步向前已	舉 身 自 撲 七 孔 之 中 皆 流 鮮 血 步 步 向 前 已 
T85n2859_001:1318c24	懺前悔擬。將尖刀剜眼自恨生盲不識。上人	懺 前 悔 擬 將 尖 刀 剜 眼 自 恨 生 盲 不 識 上 人 
T85n2859_001:1318c25	雨淚悲啼。伏願上人慈悲懺悔。遠公曰。汝莫	雨 淚 悲 啼 伏 願 上 人 慈 悲 懺 悔 遠 公 曰 汝 莫 
T85n2859_001:1318c26	心懷疑慮。不用苦賜悲啼。汝是具足凡夫。如	心 懷 疑 慮 不 用 苦 賜 悲 啼 汝 是 具 足 凡 夫 如 
T85n2859_001:1318c27	何得識於吾所講涅槃之義。早是入吾師位	何 得 識 於 吾 所 講 涅 槃 之 義 早 是 入 吾 師 位 
T85n2859_001:1318c28	待我拜謝。相公迴來與汝宣揚政法。於是遠	待 我 拜 謝 相 公 迴 來 與 汝 宣 揚 政 法 於 是 遠 
T85n2859_001:1318c29	公直至相公面前啟相公曰。但賤奴伏事。相	公 直 至 相 公 面 前 啟 相 公 曰 但 賤 奴 伏 事 相 
T85n2859_001:1319a01	公曰。未淺施汗馬之功。輒入寺中有亂於法	公 曰 未 淺 施 汗 馬 之 功 輒 入 寺 中 有 亂 於 法 
T85n2859_001:1319a02	會。蒙相公慈造未施罪愆。今對眾前請科痛	會 蒙 相 公 慈 造 未 施 罪 愆 今 對 眾 前 請 科 痛 
T85n2859_001:1319a03	杖。於是相公聞語舉身自撲。匐面在地更不	杖 於 是 相 公 聞 語 舉 身 自 撲 匐 面 在 地 更 不 
T85n2859_001:1319a04	再起。良久乃甦進步向前啟上人曰。但弟子	再 起 良 久 乃 甦 進 步 向 前 啟 上 人 曰 但 弟 子 
T85n2859_001:1319a05	雖宰相觸時無堪。濟舉三□朝定漿用。凡夫	雖 宰 相 觸 時 無 堪 濟 舉 三 朝 定 漿 用 凡 夫 
T85n2859_001:1319a06	肉眼豈辯聖賢。負罪彌天且放免。尤六載為	肉 眼 豈 辯 聖 賢 負 罪 彌 天 且 放 免 尤 六 載 為 
T85n2859_001:1319a07	奴驅使常在宅內。或即麁語嗔喝。於上人如	奴 驅 使 常 在 宅 內 或 即 麁 語 嗔 喝 於 上 人 如 
T85n2859_001:1319a08	是罪愆如何懺悔。遠公曰。緣貧道宿世曾為	是 罪 愆 如 何 懺 悔 遠 公 曰 緣 貧 道 宿 世 曾 為 
T85n2859_001:1319a09	保見。有其債負未還。欲得今世無冤合來此	保 見 有 其 債 負 未 還 欲 得 今 世 無 冤 合 來 此 
T85n2859_001:1319a10	處計會一常百了事且無疑。自今已後前眼	處 計 會 一 常 百 了 事 且 無 疑 自 今 已 後 前 眼 
T85n2859_001:1319a11	相看更不用憂慮。於是相公聞語轉更悲啼。	相 看 更 不 用 憂 慮 於 是 相 公 聞 語 轉 更 悲 啼 
T85n2859_001:1319a12	伏願上人慈悲與說宿生果。遠公曰。相公前	伏 願 上 人 慈 悲 與 說 宿 生 果 遠 公 曰 相 公 前 
T85n2859_001:1319a13	世作一箇商人他家白莊也。是一箇商人。相	世 作 一 箇 商 人 他 家 白 莊 也 是 一 箇 商 人 相 
T85n2859_001:1319a14	公遂於白莊邊借錢五貫文。是時貧道作保	公 遂 於 白 莊 邊 借 錢 五 貫 文 是 時 貧 道 作 保 
T85n2859_001:1319a15	後。乃相公身亡。貧道欲擬填還不幸亦死。輪	後 乃 相 公 身 亡 貧 道 欲 擬 填 還 不 幸 亦 死 輪 
T85n2859_001:1319a16	迴數遍不愚相逢。已是因緣保債得債。於是	迴 數 遍 不 愚 相 逢 已 是 因 緣 保 債 得 債 於 是 
T85n2859_001:1319a17	相公聞語進步向前。雨淚悲啼自責愆過。弟	相 公 聞 語 進 步 向 前 雨 淚 悲 啼 自 責 愆 過 弟 
T85n2859_001:1319a18	子自負他人債。即合自己常用填勞使上人	子 自 負 他 人 債 即 合 自 己 常 用 填 勞 使 上 人 
T85n2859_001:1319a19	之身弟子若愚此生死後必沈地獄。遠公曰。	之 身 弟 子 若 愚 此 生 死 後 必 沈 地 獄 遠 公 曰 
T85n2859_001:1319a20	今債已常了勿致疑。從今已後更不復作苦。	今 債 已 常 了 勿 致 疑 從 今 已 後 更 不 復 作 苦 
T85n2859_001:1319a21	勸門徒弟子缺債。直須還他貧道為作保人	勸 門 徒 弟 子 缺 債 直 須 還 他 貧 道 為 作 保 人 
T85n2859_001:1319a22	上自六載為奴不了凡夫淺識不且罪愆廣造	上 自 六 載 為 奴 不 了 凡 夫 淺 識 不 且 罪 愆 廣 造 
T85n2859_001:1319a23	眾罪。如何懺悔。是時聽眾雨淚悲啼嗟念。遠	眾 罪 如 何 懺 悔 是 時 聽 眾 雨 淚 悲 啼 嗟 念 遠 
T85n2859_001:1319a24	公盡懷惆悵。千人瞻禮萬眾咨嗟。是日聽眾	公 盡 懷 惆 悵 千 人 瞻 禮 萬 眾 咨 嗟 是 日 聽 眾 
T85n2859_001:1319a25	悉斷慳貪。是時遠公由未了遂被會下諸并	悉 斷 慳 貪 是 時 遠 公 由 未 了 遂 被 會 下 諸 并 
T85n2859_001:1319a26	及相公再請。遠公重昇高座。是日遠公由如	及 相 公 再 請 遠 公 重 昇 高 座 是 日 遠 公 由 如 
T85n2859_001:1319a27	臨崖枯木再得逢春。亦似鉤[金*罔]之魚蒙放却	臨 崖 枯 木 再 得 逢 春 亦 似 鉤 [金罔] 之 魚 蒙 放 却 
T85n2859_001:1319a28	歸江海。天生意氣不與凡同。骨貌神姿世人	歸 江 海 天 生 意 氣 不 與 凡 同 骨 貌 神 姿 世 人 
T85n2859_001:1319a29	之罕有。重聲鐘罄再舉經題為眾宣揚。其時	之 罕 有 重 聲 鐘 罄 再 舉 經 題 為 眾 宣 揚 其 時 
T85n2859_001:1319b01	道安亦亦在會下而座。是時遠公纔開經之	道 安 亦 亦 在 會 下 而 座 是 時 遠 公 纔 開 經 之 
T85n2859_001:1319b02	題目。便感得地皆六種震搖。五色常雲長空	題 目 便 感 得 地 皆 六 種 震 搖 五 色 常 雲 長 空 
T85n2859_001:1319b03	而遍。百千天眾共奏宮商。無量聖賢同聲梵	而 遍 百 千 天 眾 共 奏 宮 商 無 量 聖 賢 同 聲 梵 
T85n2859_001:1319b04	音。經聲歷歷法韻珊珊。大眾覩此其希聽眾	音 經 聲 歷 歷 法 韻 珊 珊 大 眾 覩 此 其 希 聽 眾 
T85n2859_001:1319b05	言罕有。是時相公再在連宮之會重開香積	言 罕 有 是 時 相 公 再 在 連 宮 之 會 重 開 香 積 
T85n2859_001:1319b06	之莚。大集兩街僧尼遂。	之 莚 大 集 兩 街 僧 尼 遂 
T85n2859_001:1319b07	將金刀落髮。相公是日只於福光寺內具將	將 金 刀 落 髮 相 公 是 日 只 於 福 光 寺 內 具 將 
T85n2859_001:1319b08	此事寫表奏上晉文皇帝。皇帝攬表大悅。龍	此 事 寫 表 奏 上 晉 文 皇 帝 皇 帝 攬 表 大 悅 龍 
T85n2859_001:1319b09	顏頻稱美哉惟言罕有。當時有勅令。中書門	顏 頻 稱 美 哉 惟 言 罕 有 當 時 有 勅 令 中 書 門 
T85n2859_001:1319b10	下排比釋道儒三教同至福光寺內。迎請遠	下 排 比 釋 道 儒 三 教 同 至 福 光 寺 內 迎 請 遠 
T85n2859_001:1319b11	公入其大內供養。是時續有勅旨賜遠公如	公 入 其 大 內 供 養 是 時 續 有 勅 旨 賜 遠 公 如 
T85n2859_001:1319b12	意數珠串。六環錫[金*丈]一條意著僧衣數對。兼	意 數 珠 串 六 環 錫 [金丈] 一 條 意 著 僧 衣 數 對 兼 
T85n2859_001:1319b13	將御輿來迎。遠公入內勅既行下。內外咸知	將 御 輿 來 迎 遠 公 入 內 勅 既 行 下 內 外 咸 知 
T85n2859_001:1319b14	卿宰相排比何銖[日/羽]佛威儀直入寺中。便請	卿 宰 相 排 比 何 銖 [日羽] 佛 威 儀 直 入 寺 中 便 請 
T85n2859_001:1319b15	大師上輿。是時遠公再三不肯。貧道是一界	大 師 上 輿 是 時 遠 公 再 三 不 肯 貧 道 是 一 界 
T85n2859_001:1319b16	凡僧。每謝君王請命。尼僧却擬歸山。即是	凡 僧 每 謝 君 王 請 命 尼 僧 却 擬 歸 山 即 是 
T85n2859_001:1319b17	貧道所願。崔相公進步向前啟言。和尚伏願	貧 道 所 願 崔 相 公 進 步 向 前 啟 言 和 尚 伏 願 
T85n2859_001:1319b18	慈悲莫違所請。皇帝於大內顒顒專望。瞻仰	慈 悲 莫 違 所 請 皇 帝 於 大 內 顒 顒 專 望 瞻 仰 
T85n2859_001:1319b19	上人一為法界眾生。二願莫違皇帝請命。遠	上 人 一 為 法 界 眾 生 二 願 莫 違 皇 帝 請 命 遠 
T85n2859_001:1319b20	公既蒙再三邀請。遂了進步而行。百般伎藝	公 既 蒙 再 三 邀 請 遂 了 進 步 而 行 百 般 伎 藝 
T85n2859_001:1319b21	仙樂前迎。群宰喜賀當今萬歲。遠公出得寺	仙 樂 前 迎 群 宰 喜 賀 當 今 萬 歲 遠 公 出 得 寺 
T85n2859_001:1319b22	門約行百步已來忽然騰空而去。莫知所在。	門 約 行 百 步 已 來 忽 然 騰 空 而 去 莫 知 所 在 
T85n2859_001:1319b23	相公憂懼作禮云。空虔誠啟告。大師有無邊	相 公 憂 懼 作 禮 云 空 虔 誠 啟 告 大 師 有 無 邊 
T85n2859_001:1319b24	之力。伏願乞捨慈悲。且依君王請命行行啟告	之 力 伏 願 乞 捨 慈 悲 且 依 君 王 請 命 行 行 啟 告 
T85n2859_001:1319b25	迤邐而行是日也。遠公早先至閣門謹取勅旨。	迤 邐 而 行 是 日 也 遠 公 早 先 至 閣 門 謹 取 勅 旨 
T85n2859_001:1319b26	於是皇帝知道。遠公到來便出宮門。千迴瞻	於 是 皇 帝 知 道 遠 公 到 來 便 出 宮 門 千 迴 瞻 
T85n2859_001:1319b27	禮萬遍虔恭。亦見遠公龍顏大悅喜也。無盡。	禮 萬 遍 虔 恭 亦 見 遠 公 龍 顏 大 悅 喜 也 無 盡 
T85n2859_001:1319b28	於是帝曰。朕之少國喜遇上人降臨。國人安	於 是 帝 曰 朕 之 少 國 喜 遇 上 人 降 臨 國 人 安 
T85n2859_001:1319b29	泰皆因和尚。只於大內供養數年。六宮欽仰	泰 皆 因 和 尚 只 於 大 內 供 養 數 年 六 宮 欽 仰 
T85n2859_001:1319c01	五院虔恭。皇帝於和尚處受三歸五戒。無從	五 院 虔 恭 皇 帝 於 和 尚 處 受 三 歸 五 戒 無 從 
T85n2859_001:1319c02	不依自從。遠公於大內見諸宮□將字□穢	不 依 自 從 遠 公 於 大 內 見 諸 宮 將 字 穢 
T85n2859_001:1319c03	用次廁之中悉嗔。諸人以為偈曰。儒童說五	用 次 廁 之 中 悉 嗔 諸 人 以 為 偈 曰 儒 童 說 五 
T85n2859_001:1319c04	典。釋教立三宗。視禮行忠孝。□遣出九農。	典 釋 教 立 三 宗 視 禮 行 忠 孝 遣 出 九 農 
T85n2859_001:1319c05	長揚并五策。字與藏經同。不解生珍敬。穢用	長 揚 并 五 策 字 與 藏 經 同 不 解 生 珍 敬 穢 用 
T85n2859_001:1319c06	在廁中。悟滅恒沙罪。多□懺不客。陷身五百	在 廁 中 悟 滅 恒 沙 罪 多 懺 不 客 陷 身 五 百 
T85n2859_001:1319c07	劫。常作廁生虫。是時大內因。遠公說偈盡皆	劫 常 作 廁 生 虫 是 時 大 內 因 遠 公 說 偈 盡 皆 
T85n2859_001:1319c08	修福。遠公忽因一日憶得阿閦如來有言遂便	修 福 遠 公 忽 因 一 日 憶 得 阿 閦 如 來 有 言 遂 便 
T85n2859_001:1319c09	辭。皇帝臣僧於大內蒙陛下供養數年。今擬	辭 皇 帝 臣 僧 於 大 內 蒙 陛 下 供 養 數 年 今 擬 
T85n2859_001:1319c10	却歸[山*盧]山。伏乞陛下進旨。皇帝聞語滿目淚	却 歸 [山盧] 山 伏 乞 陛 下 進 旨 皇 帝 聞 語 滿 目 淚 
T85n2859_001:1319c11	流。良久乃言和尚曰。朕之小國總無供養。上入	流 良 久 乃 言 和 尚 曰 朕 之 小 國 總 無 供 養 上 入 
T85n2859_001:1319c12	數年在其內中。朕且無心輕慢。朕雖為人主	數 年 在 其 內 中 朕 且 無 心 輕 慢 朕 雖 為 人 主 
T85n2859_001:1319c13	濫處乾坤。每謝上人來過小國。伏願和尚慈	濫 處 乾 坤 每 謝 上 人 來 過 小 國 伏 願 和 尚 慈 
T85n2859_001:1319c14	悲更住三五日間得之已否。遠公曰。若夫涅	悲 更 住 三 五 日 間 得 之 已 否 遠 公 曰 若 夫 涅 
T85n2859_001:1319c15	槃之義本無攀緣。若有攀緣皆屬忘想。伏願	槃 之 義 本 無 攀 緣 若 有 攀 緣 皆 屬 忘 想 伏 願 
T85n2859_001:1319c16	陛下莫懷惆悵。貧道有願歸山。皇帝見他遠	陛 下 莫 懷 惆 悵 貧 道 有 願 歸 山 皇 帝 見 他 遠 
T85n2859_001:1319c17	公語。切便如情意難留。有勅先報六宮。闇裏	公 語 切 便 如 情 意 難 留 有 勅 先 報 六 宮 闇 裏 
T85n2859_001:1319c18	排比祖送。是時皇帝慕戀辟宰冲冲。合國大	排 比 祖 送 是 時 皇 帝 慕 戀 辟 宰 冲 冲 合 國 大 
T85n2859_001:1319c19	臣同時祖送。遠公上路離宮闕別龍樓。望[山*盧]	臣 同 時 祖 送 遠 公 上 路 離 宮 闕 別 龍 樓 望 [山盧] 
T85n2859_001:1319c20	山而路遠。覩江河以逍遙。是日遠公能涉長	山 而 路 遠 覩 江 河 以 逍 遙 是 日 遠 公 能 涉 長 
T85n2859_001:1319c21	路而行遂即密現神通。遠公既出長安。足下	路 而 行 遂 即 密 現 神 通 遠 公 既 出 長 安 足 下 
T85n2859_001:1319c22	雲生如牡□□臂。須臾之問便生[山*盧]山。遠公	雲 生 如 牡 臂 須 臾 之 問 便 生 [山盧] 山 遠 公 
T85n2859_001:1319c23	亦也不歸。舊寺相去十里。已來於一峻嶺上。	亦 也 不 歸 舊 寺 相 去 十 里 已 來 於 一 峻 嶺 上 
T85n2859_001:1319c24	權時結一草菴。彼中結跏敷坐。便即重尋舊	權 時 結 一 草 菴 彼 中 結 跏 敷 坐 便 即 重 尋 舊 
T85n2859_001:1319c25	卷再舉經聲。荏苒之間又經數月。遠公忽望	卷 再 舉 經 聲 荏 苒 之 間 又 經 數 月 遠 公 忽 望 
T85n2859_001:1319c26	高原乃喚此上。其境峻峰鶴鳴澗下龍吟。百	高 原 乃 喚 此 上 其 境 峻 峰 鶴 鳴 澗 下 龍 吟 百 
T85n2859_001:1319c27	谷千峰例皆花發。地平長流之水園開不朽之	谷 千 峰 例 皆 花 發 地 平 長 流 之 水 園 開 不 朽 之 
T85n2859_001:1319c28	花。是如來修行之處。於是遠公正坐入其三	花 是 如 來 修 行 之 處 於 是 遠 公 正 坐 入 其 三 
T85n2859_001:1319c29	昧。然淨意澄心思惟佛道。念浮生不久想凡	昧 然 淨 意 澄 心 思 惟 佛 道 念 浮 生 不 久 想 凡 
T85n2859_001:1320a01	世而無堪。便將自性心王造一法船。歸依	世 而 無 堪 便 將 自 性 心 王 造 一 法 船 歸 依 
T85n2859_001:1320a02	上界。遠公造船不用凡間料物也。不要諸般	上 界 遠 公 造 船 不 用 凡 間 料 物 也 不 要 諸 般 
T85n2859_001:1320a03	自持。無漏大乘已為纜索。菩提般若用作拘	自 持 無 漏 大 乘 已 為 纜 索 菩 提 般 若 用 作 拘 
T85n2859_001:1320a04	欄。金剛密迹已為□□□。	欄 金 剛 密 迹 已 為 
