T08n0237_001:0762a04	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0237_001:0766b06	言：「須菩提！此聚一執，但世言說。須菩提！是法	言 須 菩 提 此 聚 一 執 但 世 言 說 須 菩 提 是 法 
T08n0237_001:0766b07	非可言法，嬰兒凡夫偏言所取。	非 可 言 法 嬰 兒 凡 夫 偏 言 所 取 
T08n0237_001:0766b08	「須菩提！若有人言：『如來說我見、眾生見、壽者	 須 菩 提 若 有 人 言 如 來 說 我 見 眾 生 見 壽 者 
T08n0237_001:0766b09	見、受者見。』須菩提！汝意云何？是人言說，為	見 受 者 見 須 菩 提 汝意云何 是 人 言 說 為 
T08n0237_001:0766b10	正語不？」須菩提言：「不正，世尊！不正，修伽	正 語 不 須 菩 提 言 不 正 世 尊 不 正 修 伽 
T08n0237_001:0766b11	陀！何以故？如來所說我見、眾生見、壽者見、受	陀 何 以 故 如 來 所 說 我 見 眾 生 見 壽 者 見 受 
T08n0237_001:0766b12	者見，即是非見，是故說我見、眾生見、壽者見、	者 見 即 是 非 見 是 故 說 我 見 眾 生 見 壽 者 見 
T08n0237_001:0766b13	受者見。」「須菩提！若人行菩薩乘，如是應知應	受 者 見 須 菩 提 若 人 行 菩 薩 乘 如 是 應 知 應 
T08n0237_001:0766b14	見應信，一切諸法；如是應修，為令法想不得	見 應 信 一切諸法 如 是 應 修 為 令 法 想 不 得 
T08n0237_001:0766b15	生起。何以故？須菩提！是法想、法想者，如來說	生 起 何 以 故 須 菩 提 是 法 想 法 想 者 如 來 說 
T08n0237_001:0766b16	即非想，故說法想。「須菩提！若有菩薩摩訶	即 非 想 故 說 法 想 須 菩 提 若 有 菩 薩 摩 訶 
T08n0237_001:0766b17	薩，以滿無數無量世界七寶持用布施，若有	薩 以 滿 無 數 無量世界 七 寶 持用布施 若 有 
T08n0237_001:0766b18	善男子、善女人，從此般若波羅蜜經，乃至四	善 男 子 善 女 人 從 此 般若波羅蜜經 乃 至 四 
T08n0237_001:0766b19	句偈等，受持讀誦，教他修行，為他廣說。是善	句 偈 等 受持讀誦 教 他 修 行 為 他 廣 說 是 善 
T08n0237_001:0766b20	男子、善女人，以是因緣，所生福德，最多於彼	男 子 善 女 人 以是因緣 所 生 福 德 最 多 於 彼 
T08n0237_001:0766b21	無量無數。云何顯說此經？如無所顯說，故言	無量無數 云 何 顯 說 此 經 如 無 所 顯 說 故 言 
T08n0237_001:0766b22	顯說。	顯 說 
T08n0237_001:0766b23	「如如不動，　　恒有正說。　　應觀有為法，	 如 如 不 動 恒 有 正 說 應 觀 有 為 法 
T08n0237_001:0766b24	　如暗、翳、燈、幻，　　露、泡、夢、電、雲。」	 如 暗 翳 燈 幻 露 泡 夢 電 雲 
T08n0237_001:0766b25	爾時世尊說是經已，大德須菩提，心進歡喜，	爾 時 世 尊 說 是 經 已 大 德 須 菩 提 心 進 歡 喜 
T08n0237_001:0766b26	及諸比丘、比丘尼、優婆塞、優婆夷眾，人、天、阿	及 諸 比 丘 比 丘 尼 優 婆 塞 優 婆 夷 眾 人 天 阿 
T08n0237_001:0766b27	修羅等，一切世間踊躍歡喜信受奉行。	修 羅 等 一切世間 踊 躍 歡喜信受 奉 行 
T08n0237_001:0766b28	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
