X88n1645_001:0107a03	 六道集敘	 六 道 集 敘 
X88n1645_003:0135c01	口鬼者。此鬼腹大如山。口如鍼孔。雖見種種上妙飲	口 鬼 者 此 鬼 腹 大 如 山 口 如 鍼 孔 雖 見 種 種 上 妙 飲 
X88n1645_003:0135c02	食。不能受用。饑渴難忍。臭口鬼者。此鬼口中。恒出極	食 不 能 受 用 饑 渴 難 忍 臭 口 鬼 者 此 鬼 口 中 恒 出 極 
X88n1645_003:0135c03	惡腐爛臭氣。過於糞穢。沸溢廁門。惡氣自熏。恒空嘔	惡 腐 爛 臭 氣 過 於 糞 穢 沸 溢 廁 門 惡 氣 自 熏 恒 空 嘔 
X88n1645_003:0135c04	逆。設遇飲食。亦不能受。饑渴所惱。狂叫亂奔。少財。亦	逆 設 遇 飲 食 亦 不 能 受 饑 渴 所 惱 狂 叫 亂 奔 少 財 亦 
X88n1645_003:0135c05	有三。謂鍼毛。臭毛。大癭。鍼毛鬼者。此鬼身毛。堅剛銛	有 三 謂 鍼 毛 臭 毛 大 癭 鍼 毛 鬼 者 此 鬼 身 毛 堅 剛 銛 
X88n1645_003:0135c06	利。不可附近。內鑽自體。外射多身。如鹿中毒箭。怖狂	利 不 可 附 近 內 鑽 自 體 外 射 多 身 如 鹿 中 毒 箭 怖 狂 
X88n1645_003:0135c07	走時。若逢不淨。少濟饑渴。臭毛鬼者。此鬼身毛臭甚。	走 時 若 逢 不 淨 少 濟 饑 渴 臭 毛 鬼 者 此 鬼 身 毛 臭 甚 
X88n1645_003:0135c08	常穢薰爛。肌骨蒸坌。腸腹衝喉。變嘔荼毒。難忍攖體。	常 穢 薰 爛 肌 骨 蒸 坌 腸 腹 衝 喉 變 嘔 荼 毒 難 忍 攖 體 
X88n1645_003:0135c09	拔毛傷裂皮膚。轉加劇苦。時逢不淨。少濟饑渴。大癭	拔 毛 傷 裂 皮 膚 轉 加 劇 苦 時 逢 不 淨 少 濟 饑 渴 大 癭 
X88n1645_003:0135c10	鬼者。謂此鬼咽。惡業力故。生於大癭。如大擁腫。熱怖	鬼 者 謂 此 鬼 咽 惡 業 力 故 生 於 大 癭 如 大 擁 腫 熱 怖 
X88n1645_003:0135c11	酸疼。更相[利禾+皮][罩卓+齊]。臭膿湧出。爭共取食。少得充饑。多財。	酸 疼 更 相 [利禾皮][罩卓齊] 臭 膿 湧 出 爭 共 取 食 少 得 充 饑 多 財 
X88n1645_003:0135c12	亦有三。謂希祠。希棄。大勢。希祠鬼者。此鬼恒時。往祠	亦 有 三 謂 希 祠 希 棄 大 勢 希 祠 鬼 者 此 鬼 恒 時 往 祠 
X88n1645_003:0135c13	祀中。饗受他祭。生處法爾。時歷異方。如鳥凌空。往還	祀 中 饗 受 他 祭 生 處 法 爾 時 歷 異 方 如 鳥 凌 空 往 還 
X88n1645_003:0135c14	無礙。由先勝解。作是希望。我若命終。諸子孫等。必當	無 礙 由 先 勝 解 作 是 希 望 我 若 命 終 諸 子 孫 等 必 當 
X88n1645_003:0135c15	祠我。資具飲食。由勝解力。生此鬼中。乘宿善因。感此	祠 我 資 具 飲 食 由 勝 解 力 生 此 鬼 中 乘 宿 善 因 感 此 
X88n1645_003:0135c16	祠祀。或有先世。性愛親知。為欲皆令豐足資具。以不	祠 祀 或 有 先 世 性 愛 親 知 為 欲 皆 令 豐 足 資 具 以 不 
X88n1645_003:0135c17	如法積集珍財。慳恡居心。不能布施。乘斯惡業。生此	如 法 積 集 珍 財 慳 恡 居 心 不 能 布 施 乘 斯 惡 業 生 此 
X88n1645_003:0135c18	鬼中。住本舍邊。便穢等處。親知追念。為請沙門。梵志。	鬼 中 住 本 舍 邊 便 穢 等 處 親 知 追 念 為 請 沙 門 梵 志 
X88n1645_003:0135c19	孤窮。供施崇福。彼鬼見已。於自親知。及財物中。生己	孤 窮 供 施 崇 福 彼 鬼 見 已 於 自 親 知 及 財 物 中 生 己 
X88n1645_003:0135c20	有想。又自明見慳果現前。於所施田。心生淨信。相續	有 想 又 自 明 見 慳 果 現 前 於 所 施 田 心 生 淨 信 相 續 
X88n1645_003:0135c21	生長。捨相應心。由此便成順現法受。乘斯力故。得資	生 長 捨 相 應 心 由 此 便 成 順現法受 乘 斯 力 故 得 資 
X88n1645_003:0135c22	具豐饒。希棄鬼者。此鬼欲恒收他所棄吐殘糞等。用	具 豐 饒 希 棄 鬼 者 此 鬼 欲 恒 收 他 所 棄 吐 殘 糞 等 用 
X88n1645_003:0135c23	充所食。亦得豐饒。謂彼宿生。慳過失故。有飲食處見	充 所 食 亦 得 豐 饒 謂 彼 宿 生 慳 過 失 故 有 飲 食 處 見 
X88n1645_003:0135c24	穢。或空。樂穢見空。樂淨見穢。亦由現福。如其所應。各	穢 或 空 樂 穢 見 空 樂 淨 見 穢 亦 由 現 福 如其所應 各 
X88n1645_003:0136a01	得豐饒。飲食資具。生處法爾。所受不同。不可推徵。詞	得 豐 饒 飲 食 資 具 生 處 法 爾 所 受 不 同 不 可 推 徵 詞 
X88n1645_003:0136a02	到所以。如地獄趣。異熟生色。斷已復續。餘趣則無。於	到 所 以 如 地 獄 趣 異 熟 生 色 斷 已 復 續 餘 趣 則 無 於 
X88n1645_003:0136a03	人趣中。有勝念智。修梵行等。餘趣中無。如天趣中。隨	人 趣 中 有 勝 念 智 修 梵 行 等 餘 趣 中 無 如 天 趣 中 隨 
X88n1645_003:0136a04	欲眾具皆現。如斯等事。生處法然。不可於中求其定	欲 眾 具 皆 現 如 斯 等 事 生 處 法 然 不 可 於 中 求 其 定 
X88n1645_003:0136a05	量。大勢鬼者。如婆沙論云。鬼中好者。如有威德鬼。形	量 大 勢 鬼 者 如 婆 沙 論 云 鬼 中 好 者 如 有 威 德 鬼 形 
X88n1645_003:0136a06	容端正。諸天無異。又一切五嶽。四瀆。山海。諸神。悉多	容 端 正 諸 天 無 異 又 一 切 五 嶽 四 瀆 山 海 諸 神 悉 多 
X88n1645_003:0136a07	端正。名為好也。鬼中醜者。謂無威德鬼。形容鄙惡。不	端 正 名 為 好 也 鬼 中 醜 者 謂 無 威 德 鬼 形 容 鄙 惡 不 
X88n1645_003:0136a08	可具說。頡如餓狗之腔。頭若飛蓬之亂。咽同細小之	可 具 說 頡 如 餓 狗 之 腔 頭 若 飛 蓬 之 亂 咽 同 細 小 之 
X88n1645_003:0136a09	鍼。脚如朽槁之木。口常垂涎。鼻恒流涕。耳內生膿。眼	鍼 脚 如 朽 槁 之 木 口 常 垂 涎 鼻 恒 流 涕 耳 內 生 膿 眼 
X88n1645_003:0136a10	中出血。諸如是等。名為大醜。又鬼中苦者。即彼無威	中 出 血 諸 如 是 等 名 為 大 醜 又 鬼 中 苦 者 即 彼 無 威 
X88n1645_003:0136a11	德鬼。恒常饑渴。累年不聞漿水之名。豈得逢斯甘饍。	德 鬼 恒 常 饑 渴 累 年 不 聞 漿 水 之 名 豈 得 逢 斯 甘 饍 
X88n1645_003:0136a12	設值大河欲飲。即變為炬火。縱得入口。即腹爛焦然。	設 值 大 河 欲 飲 即 變 為 炬 火 縱 得 入 口 即 腹 爛 焦 然 
X88n1645_003:0136a13	如斯之類。豈不苦哉。鬼中樂者。即彼有威德中。富足	如 斯 之 類 豈 不 苦 哉 鬼 中 樂 者 即 彼 有 威 德 中 富 足 
X88n1645_003:0136a14	豐美。衣食自然。身服天衣。口餐天供。形容優縱。策乘	豐 美 衣 食 自 然 身 服 天 衣 口 餐 天 供 形 容 優 縱 策 乘 
X88n1645_003:0136a15	輕馳。任情遊戲。共天何殊。如斯之類。豈不樂哉。問曰。	輕 馳 任 情 遊 戲 共 天 何 殊 如 斯 之 類 豈 不 樂 哉 問 曰 
X88n1645_003:0136a16	既有此樂。便勝於人。何故經說人鬼異趣。答曰。經說	既 有 此 樂 便 勝 於 人 何 故 經 說 人 鬼 異 趣 答 曰 經 說 
X88n1645_003:0136a17	鬼神。不如人道。略述二意。一受報分顯。不及於人。為	鬼 神 不 如 人 道 略 述 二 意 一 受 報 分 顯 不 及 於 人 為 
X88n1645_003:0136a18	彼鬼神。晝伏夜遊。故不及於人。二虗怯多畏。不及於	彼 鬼 神 晝 伏 夜 遊 故 不 及 於 人 二 虗 怯 多 畏 不 及 於 
X88n1645_003:0136a19	人。雖有威德。以報卑劣。常畏於人。縱晝夜值人。恒避	人 雖 有 威 德 以 報 卑 劣 常 畏 於 人 縱 晝 夜 值 人 恒 避 
X88n1645_003:0136a20	路私隱。問曰。既劣於人。何得威德。報同於天。答曰。然	路 私 隱 問 曰 既 劣 於 人 何 得 威 德 報 同 於 天 答 曰 然 
X88n1645_003:0136a21	由前身。大行施故。得受威報。由前身謟曲不實。故受	由 前 身 大 行 施 故 得 受 威 報 由 前 身 謟 曲 不 實 故 受 
X88n1645_003:0136a22	斯鬼道也。復有貴賤。如有威德者。即名為貴。無威德	斯 鬼 道 也 復 有 貴 賤 如 有 威 德 者 即 名 為 貴 無 威 德 
X88n1645_003:0136a23	者。即名為賤。又為鬼王者。即名為貴。受驅使者。即名	者 即 名 為 賤 又 為 鬼 王 者 即 名 為 貴 受 驅 使 者 即 名 
X88n1645_003:0136a24	為賤。問。富貧如何。答。有威德者。多饒衣食。僕使自在。	為 賤 問 富 貧 如 何 答 有 威 德 者 多 饒 衣 食 僕 使 自 在 
X88n1645_003:0136b01	即名為富。身常區區。恒被敦役。麤食不聞。弊服難值。	即 名 為 富 身 常 區 區 恒 被 敦 役 麤 食 不 聞 弊 服 難 值 
X88n1645_003:0136b02	如斯之類。即名為貧。又有威德者。或住山谷。或住空	如 斯 之 類 即 名 為 貧 又 有 威 德 者 或 住 山 谷 或 住 空 
X88n1645_003:0136b03	中。或住海邊。皆有宮殿。七寶莊嚴。首冠華鬘。身著天	中 或 住 海 邊 皆 有 宮 殿 七 寶 莊 嚴 首 冠 華 鬘 身 著 天 
X88n1645_003:0136b04	衣。食甘露食。猶如天子。乘象馬車。各各遊戲。果報過	衣 食 甘 露 食 猶 如 天 子 乘 象 馬 車 各 各 遊 戲 果 報 過 
X88n1645_003:0136b05	人。一切山河諸佛。悉有舍宅。依之而住。無威德者。如	人 一 切 山 河 諸 佛 悉 有 舍 宅 依 之 而 住 無 威 德 者 如 
X88n1645_003:0136b06	浮遊浪鬼。饑渴之徒。悉無舍宅。或依塚墓。或止叢林。	浮 遊 浪 鬼 饑 渴 之 徒 悉 無 舍 宅 或 依 塚 墓 或 止 叢 林 
X88n1645_003:0136b07	草木巖穴。或依不淨糞穢而住。或依屏廁故塸而居。	草 木 巖 穴 或 依 不 淨 糞 穢 而 住 或 依 屏 廁 故 塸 而 居 
X88n1645_003:0136b08	皆無舍宅。頭髮髼亂。裸形無衣。顏色枯悴。以髮自覆。	皆 無 舍 宅 頭 髮 髼 亂 裸 形 無 衣 顏 色 枯 悴 以 髮 自 覆 
X88n1645_003:0136b09	執持瓦器。而行乞丐。果報劣人。其形多分如人。亦有	執 持 瓦 器 而 行 乞 丐 果 報 劣 人 其 形 多 分 如 人 亦 有 
X88n1645_003:0136b10	傍者。或面似猪。或似種種諸惡禽獸。如今壁上彩畫	傍 者 或 面 似 猪 或 似 種 種 諸 惡 禽 獸 如 今 壁 上 彩 畫 
X88n1645_003:0136b11	者。莊嚴論云。佛言。昔有大商主子。名曰億耳。入海採	者 莊 嚴 論 云 佛 言 昔 有 大 商 主 子 名 曰 億 耳 入 海 採 
X88n1645_003:0136b12	寶。既得迴還。與伴別宿。失伴慞惶。饑渴所逼。遙見一	寶 既 得 迴 還 與 伴 別 宿 失 伴 慞 惶 饑 渴 所 逼 遙 見 一 
X88n1645_003:0136b13	城。謂為有水。往至城邊。欲索水飲。然此城者。是餓鬼	城 謂 為 有 水 往 至 城 邊 欲 索 水 飲 然 此 城 者 是 餓 鬼 
X88n1645_003:0136b14	城。到此城中。四衢道頭。眾人集處。空無所見。唱言。水	城 到 此 城 中 四 衢 道 頭 眾 人 集 處 空 無 所 見 唱 言 水 
X88n1645_003:0136b15	水。諸餓鬼輩。聞是水聲。皆來雲集。誰慈悲者。欲與我	水 諸 餓 鬼 輩 聞 是 水 聲 皆 來 雲 集 誰 慈 悲 者 欲 與 我 
X88n1645_003:0136b16	水。此諸餓鬼。身如焦柱。以髮自纏。皆來合掌。作如是	水 此 諸 餓 鬼 身 如 焦 柱 以 髮 自 纏 皆 來 合 掌 作 如 是 
X88n1645_003:0136b17	言。願乞我水。億耳語言。我渴所逼。故來求水。爾時餓	言 願 乞 我 水 億 耳 語 言 我 渴 所 逼 故 來 求 水 爾 時 餓 
X88n1645_003:0136b18	鬼聞億耳為渴所逼。自行求水。希望都息。皆各長歎。	鬼 聞 億 耳 為 渴 所 逼 自 行 求 水 希 望 都 息 皆 各 長 歎 
X88n1645_003:0136b19	作如是言。汝可不知。此餓鬼城。云何此中而索水耶	作如是言 汝 可 不 知 此 餓 鬼 城 云 何 此 中 而 索 水 耶 
X88n1645_003:0136b20	(鬼有胎化二生也。異熟生色者。即果報生身也。莊嚴論是馬鳴菩薩集註佛經者。四天王及忉利天。惟有大威	 鬼 有 胎 化 二 生 也 異 熟 生 色 者 即 果 報 生 身 也 莊 嚴 論 是 馬 鳴 菩 薩 集 註 佛 經 者 四 天 王 及 忉 利 天 惟 有 大 威 
X88n1645_003:0136b21	德鬼。與諸天眾。守門防邏。導從給使也)。	德 鬼 與 諸 天 眾 守 門 防 邏 導 從 給 使 也 
X88n1645_003:0136b22	正法念經云。佛言。餓鬼大數。有三十六種。行因不等。	正 法 念 經 云 佛 言 餓 鬼 大 數 有 三 十 六 種 行 因 不 等 
X88n1645_003:0136b23	受報各別。一鑊身鬼(由受他僱殺生。受鑊湯煎煮。或受他寄。抵拒不還。故受斯報也)	受 報 各 別 一 鑊 身 鬼 由 受 他 僱 殺 生 受 鑊 湯 煎 煮 或 受 他 寄 抵 拒 不 還 故 受 斯 報 也 
X88n1645_003:0136b24	二鍼口臭鬼(以財僱人。令行殺戮。故咽如鍼鋒。滴水不容也)三食吐鬼(夫勸婦施。	二 鍼 口 臭 鬼 以 財 僱 人 令 行 殺 戮 故 咽 如 鍼 鋒 滴 水 不 容 也 三 食 吐 鬼 夫 勸 婦 施 
X88n1645_003:0136c01	惜言無。積財慳恡。故常食吐也)四食糞鬼(由婦人誑夫。自噉飲食。惡婦夫故。常食吐糞也)五	惜 言 無 積 財 慳 恡 故 常 食 吐 也 四 食 糞 鬼 由 婦 人 誑 夫 自 噉 飲 食 惡 婦 夫 故 常 食 吐 糞 也 五 
X88n1645_003:0136c02	食食鬼(由禁人糧食。令其合死。故受火燒。嘷叫饑渴苦也)六食氣鬼(多食美食。不施	食 食 鬼 由 禁 人 糧 食 令 其 合 死 故 受 火 燒 嘷 叫 饑 渴 苦 也 六 食 氣 鬼 多 食 美 食 不 施 
X88n1645_003:0136c03	妻兒。常因饑渴。惟得臭氣)七食法鬼(以求財利。為人說法。身。常饑渴。身肉消盡。蒙僧說法命得	妻 兒 常 因 饑 渴 惟 得 臭 氣 七 食 法 鬼 以 求 財 利 為 人 說 法 身 常 饑 渴 身 肉 消 盡 蒙 僧 說 法 命 得 
X88n1645_003:0136c04	存立也)八食水鬼(由酤酒侵水。以惑愚人。不持齋戒。常患焦渴也)九希望鬼(由買	存 立 也 八 食 水 鬼 由 酤 酒 侵 水 以 惑 愚 人 不 持 齋 戒 常 患 焦 渴 也 九 希 望 鬼 由 買 
X88n1645_003:0136c05	賣諍價。欺誑取物。常患饑渴。先靈祭祀。即得食之也)十食唾鬼(以不淨食。誑出家人。身常饑渴。	賣 諍 價 欺 誑 取 物 常 患 饑 渴 先 靈 祭 祀 即 得 食 之 也 十 食 唾 鬼 以 不 淨 食 誑 出 家 人 身 常 饑 渴 
X88n1645_003:0136c06	恒被煮燒。以求人唾。兼食不淨)十一食鬘鬼(以前世時。盜佛華鬘。用自莊嚴。若人遭事。以鬘	恒 被 煮 燒 以 求 人 唾 兼 食 不 淨 十 一 食 鬘 鬼 以 前 世 時 盜 佛 華 鬘 用 自 莊 嚴 若 人 遭 事 以 鬘 
X88n1645_003:0136c07	賞祭。因得鬘食也。華貫串名鬘)十二食血鬼(由殺生血食。不施妻。又受此鬼。身以血塗。祭方	賞 祭 因 得 鬘 食 也 華 貫 串 名 鬘 十 二 食 血 鬼 由 殺 生 血 食 不 施 妻 又 受 此 鬼 身 以 血 塗 祭 方 
X88n1645_003:0136c08	得食之)十三食肉鬼(由以眾生身肉。臠割秤之。賣買欺誑。因受此報也。多詐醜惡。人惡見	得 食 之 十 三 食 肉 鬼 由 以 眾 生 身 肉 臠 割 秤 之 賣 買 欺 誑 因 受 此 報 也 多 詐 醜 惡 人 惡 見 
X88n1645_003:0136c09	之。祭祀雜肉。方得食之)十四食香鬼(由賣惡香。多取酬直。惟食香煙。後受窮報。)十五	之 祭 祀 雜 肉 方 得 食 之 十 四 食 香 鬼 由 賣 惡 香 多 取 酬 直 惟 食 香 煙 後 受 窮 報 十 五 
X88n1645_003:0136c10	疾行鬼(若有破戒。而披法服。誑惑取財。言供病人。竟不施與。便自食之。由受此報。常食不淨。自燒	疾 行 鬼 若 有 破 戒 而 披 法 服 誑 惑 取 財 言 供 病 人 竟 不 施 與 便 自 食 之 由 受 此 報 常 食 不 淨 自 燒 
X88n1645_003:0136c11	其身)十六伺便鬼(由謀誑取財。不修福業。因受此報。身毛火出。食人氣力不淨。以自存活)	其 身 十 六 伺 便 鬼 由 謀 誑 取 財 不 修 福 業 因 受 此 報 身 毛 火 出 食 人 氣 力 不 淨 以 自 存 活 
X88n1645_003:0136c12	十七黑闇鬼(由枉法求財。繫人牢中。目無所見。聲常哀酸。故受闇處。惡蛇遍滿。猶刀割苦也)	十 七 黑 闇 鬼 由 枉 法 求 財 繫 人 牢 中 目 無 所 見 聲 常 哀 酸 故 受 闇 處 惡 蛇 遍 滿 猶 刀 割 苦 也 
X88n1645_003:0136c13	十八大力鬼(由偷盜人物。施諸惡友。不施福田。因受此報。大力神通。多被苦惱也)十九	十 八 大 力 鬼 由 偷 盜 人 物 施 諸 惡 友 不 施 福 田 因 受 此 報 大 力 神 通 多 被 苦 惱 也 十 九 
X88n1645_003:0136c14	熾然鬼(由破城抄掠。殺害百姓。因受此報。嘷哭叫喚。遍身火然。死墮地獄。後得為人常被劫奪也)	熾 然 鬼 由 破 城 抄 掠 殺 害 百 姓 因 受 此 報 嘷 哭 叫 喚 遍 身 火 然 死 墮 地 獄 後 得 為 人 常 被 劫 奪 也 
X88n1645_003:0136c15	二十伺孾兒便鬼(由殺孾兒。生心大怒。因受此報。常伺人便。能害孾兒也)二十	二 十 伺 孾 兒 便 鬼 由 殺 孾 兒 生 心 大 怒 因 受 此 報 常 伺 人 便 能 害 孾 兒 也 二 十 
X88n1645_003:0136c16	一欲色鬼(由好婬得財。不施福田。因受此報。遊行人間。與人交會。妄為妖怪。以求活命也)二	一 欲 色 鬼 由 好 婬 得 財 不 施 福 田 因 受 此 報 遊 行 人 間 與 人 交 會 妄 為 妖 怪 以 求 活 命 也 二 
X88n1645_003:0136c17	十二海渚鬼(由行曠野。見病苦人。欺人誑取財物。生海渚中。受寒熱苦。十倍過人苦也)二	十 二 海 渚 鬼 由 行 曠 野 見 病 苦 人 欺 人 誑 取 財 物 生 海 渚 中 受 寒 熱 苦 十 倍 過 人 苦 也 二 
X88n1645_003:0136c18	十三閻羅王執仗鬼(由前世時。親近國王大臣。專行暴惡。因受此報。為王給使。作執	十 三 閻 羅 王 執 仗 鬼 由 前 世 時 親 近 國 王 大 臣 專 行 暴 惡 因 受 此 報 為 王 給 使 作 執 
X88n1645_003:0136c19	仗也)二十四食小兒鬼(由說呪術。誑惑取人財物。殺害猪羊。死墮地獄。後受此報。常食	仗 也 二 十 四 食 小 兒 鬼 由 說 呪 術 誑 惑 取 人 財 物 殺 害 猪 羊 死 墮 地 獄 後 受 此 報 常 食 
X88n1645_003:0136c20	小兒)二十五食精氣鬼(由詐為親友。我為汝護。令他勇力沒陣而死。竟不救護。故受斯	小 兒 二 十 五 食精氣鬼 由 詐 為 親 友 我 為 汝 護 令 他 勇 力 沒 陣 而 死 竟 不 救 護 故 受 斯 
X88n1645_003:0136c21	報也)二十六羅剎鬼(由殺生命。以為大會。故受此饑火所燒報)二十七燒食	報 也 二 十 六 羅 剎 鬼 由 殺 生 命 以 為 大 會 故 受 此 饑 火 所 燒 報 二 十 七 燒 食 
X88n1645_003:0136c22	鬼(由慳嫉覆心。喜噉僧食。先墮地獄。從地獄出。受火爐燒身也)二十八不淨巷陌	鬼 由 慳 嫉 覆 心 喜 噉 僧 食 先 墮 地 獄 從 地 獄 出 受 火 爐 燒 身 也 二 十 八 不 淨 巷 陌 
X88n1645_003:0136c23	鬼(由以不淨食與修行人。因墮此報。常食不淨)二十九食風鬼(因見出家人來乞。許	鬼 由 以 不 淨 食 與 修 行 人 因 墮 此 報 常 食 不 淨 二 十 九 食 風 鬼 因 見 出 家 人 來 乞 許 
X88n1645_003:0136c24	已不施其食。故受此報。常患饑渴如地獄苦)三十食炭鬼(由典主刑獄。禁其飲食。因受此	已 不 施 其 食 故 受 此 報 常 患 饑 渴 如 地 獄 苦 三 十 食 炭 鬼 由 典 主 刑 獄 禁 其 飲 食 因 受 此 
X88n1645_003:0137a01	報。常食火炭也)三十一食毒鬼(由以毒食令人喪命。因墮地獄。後出為鬼。常餓餓恒食毒。	報 常 食 火 炭 也 三 十 一 食 毒 鬼 由 以 毒 食 令 人 喪 命 因 墮 地 獄 後 出 為 鬼 常 餓 餓 恒 食 毒 
X88n1645_003:0137a02	火燒其身)三十二曠野鬼(由他曠野。作湖池井。造已施人。惡心決破。令行人渴乏。故受斯	火 燒 其 身 三 十 二 曠 野 鬼 由 他 曠 野 作 湖 池 井 造 已 施 人 惡 心 決 破 令 行 人 渴 乏 故 受 斯 
X88n1645_003:0137a03	報。常患饑渴。火燒其身)三十三塚間食灰土鬼(由盜佛華。賣已活命。故受此報。	報 常 患 饑 渴 火 燒 其 身 三 十 三 塚 間 食 灰 土 鬼 由 盜 佛 華 賣 已 活 命 故 受 此 報 
X88n1645_003:0137a04	常食死人處燒屍熱灰也)三十四樹下住鬼(由見人種樹。施人作蔭。惡心斫伐。取材而	常 食 死 人 處 燒 屍 熱 灰 也 三 十 四 樹 下 住 鬼 由 見 人 種 樹 施 人 作 蔭 惡 心 斫 伐 取 材 而 
X88n1645_003:0137a05	用。故墮樹中。受寒熱苦)三十五交道鬼(由盜行路人糧。以惡業故。常被鐵鋸截身。因交	用 故 墮 樹 中 受 寒 熱 苦 三 十 五 交 道 鬼 由 盜 行 路 人 糧 以 惡 業 故 常 被 鐵 鋸 截 身 因 交 
X88n1645_003:0137a06	道祭祀。取食自活)三十六魔羅鬼(由行邪道。不信正真。因墮魔鬼。常破人善法也)若	道 祭 祀 取 食 自 活 三 十 六 魔 羅 鬼 由 行 邪 道 不 信 正 真 因 墮 魔 鬼 常 破 人 善 法 也 若 
X88n1645_003:0137a07	起貪嫉。邪佞諂曲。欺誑於他。或復慳貪。積財不施。皆	起 貪 嫉 邪 佞 諂 曲 欺 誑 於 他 或 復 慳 貪 積 財 不 施 皆 
X88n1645_003:0137a08	生鬼道。從鬼命終。多生畜生道中。受遮吒迦鳥身。恒	生 鬼 道 從 鬼 命 終 多 生 畜 生 道 中 受 遮 吒 迦 鳥 身 恒 
X88n1645_003:0137a09	常饑渴。受大苦惱。惟飲天雨。仰口而承。不得更飲餘	常 饑 渴 受 大 苦 惱 惟 飲 天 雨 仰 口 而 承 不 得 更 飲 餘 
X88n1645_003:0137a10	水。是故常困饑渴。(俗名此鳥為吊天翁)業報差別經云。具造十	水 是 故 常 困 饑 渴 俗 名 此 鳥 為 吊 天 翁 業 報 差 別 經 云 具 造 十 
X88n1645_003:0137a11	業。生餓鬼中。一身行輕惡。二口行輕惡。三意行輕惡。	業 生 餓 鬼 中 一 身 行 輕 惡 二 口 行 輕 惡 三 意 行 輕 惡 
X88n1645_003:0137a12	四慳澀多貪。五起非分惡。六諂曲嫉妒。七起邪見。八	四 慳 澀 多 貪 五 起 非 分 惡 六 諂 曲 嫉 妒 七 起 邪 見 八 
X88n1645_003:0137a13	愛著資生。即便命終。九因饑而亡。十枯渴而死。以是	愛 著 資 生 即 便 命 終 九 因 饑 而 亡 十 枯 渴 而 死 以 是 
X88n1645_003:0137a14	業故。生餓鬼中。大智論云。或有餓鬼。先世惡口。好以	業 故 生 餓 鬼 中 大 智 論 云 或 有 餓 鬼 先 世 惡 口 好 以 
X88n1645_003:0137a15	麤言。加彼眾生。眾生憎惡。見之如讎。以此罪故。墮餓	麤 言 加 彼 眾 生 眾 生 憎 惡 見 之 如 讎 以 此 罪 故 墮 餓 
X88n1645_003:0137a16	鬼中。(此論一百卷。是龍樹菩薩釋大品般若經)法句經云。佛言。雖為沙門。	鬼 中 此 論 一 百 卷 是 龍 樹 菩 薩 釋 大 品 般 若 經 法 句 經 云 佛 言 雖 為 沙 門 
X88n1645_003:0137a17	不攝身口。麤言惡說。多所中傷。眾所不愛。智者不惜。	不 攝 身 口 麤 言 惡 說 多 所 中 傷 眾 所 不 愛 智 者 不 惜 
X88n1645_003:0137a18	身死神去。輪轉三途。自生自死。苦惱無量。諸佛聖賢。	身 死 神 去 輪 轉 三 途 自 生 自 死 苦 惱 無 量 諸 佛 聖 賢 
X88n1645_003:0137a19	所不愛惜。假令眾生。身雖無過。不慎口業。亦墮惡道。	所 不 愛 惜 假 令 眾 生 身 雖 無 過 不 慎 口 業 亦 墮 惡 道 
X88n1645_003:0137a20	故大論云。時有一鬼。頭似豬頭。臭蟲從口出。身有金	故 大 論 云 時 有 一 鬼 頭 似 豬 頭 臭 蟲 從 口 出 身 有 金 
X88n1645_003:0137a21	色光明。是鬼宿世作比丘。惡口罵詈客比丘。身持淨	色 光 明 是 鬼 宿 世 作 比 丘 惡 口 罵 詈 客 比 丘 身 持 淨 
X88n1645_003:0137a22	戒。故身有光明。口作惡言。故臭蟲從口出。付法藏經	戒 故 身 有 光 明 口 作 惡 言 故 臭 蟲 從 口 出 付 法 藏 經 
X88n1645_003:0137a23	云。昔尊者闍夜多羅漢。將諸弟子。詣德叉尸羅城。到	云 昔 尊 者 闍 夜 多 羅 漢 將 諸 弟 子 詣 德 叉 尸 羅 城 到 
X88n1645_003:0137a24	其城已。慘然不悅。弟子白師。願說因緣。尊者答曰。我	其 城 已 慘 然 不 悅 弟 子 白 師 願 說 因 緣 尊 者 答 曰 我 
X88n1645_003:0137b01	初至城。於城門下。見一鬼子。饑急語我。我母入城。為	初 至 城 於 城 門 下 見 一 鬼 子 饑 急 語 我 我 母 入 城 為 
X88n1645_003:0137b02	我求食。與母別來。經五百歲。饑虗困乏。命將不遠。尊	我 求 食 與 母 別 來 經 五 百 歲 饑 虗 困 乏 命 將 不 遠 尊 
X88n1645_003:0137b03	者入城。若見我母。道我辛苦。願語早來。始入城。便見	者 入 城 若 見 我 母 道 我 辛 苦 願 語 早 來 始 入 城 便 見 
X88n1645_003:0137b04	彼母。具說子意。鬼母答我。吾入城來。經五百歲。未曾	彼 母 具 說 子 意 鬼 母 答 我 吾 入 城 來 經 五 百 歲 未 曾 
X88n1645_003:0137b05	能得見一人洟唾。我既新產。氣力羸劣。設得少唾。諸	能 得 見 一 人 洟 唾 我 既 新 產 氣 力 羸 劣 設 得 少 唾 諸 
X88n1645_003:0137b06	鬼奪去。今值一人。遇得少唾。欲持出城。共子分食。門	鬼 奪 去 今 值 一 人 遇 得 少 唾 欲 持 出 城 共 子 分 食 門 
X88n1645_003:0137b07	下多有大力鬼神。畏不敢出。惟願尊者。延我出城。我	下 多 有 大 力 鬼 神 畏 不 敢 出 惟 願 尊 者 延 我 出 城 我 
