X26n0574_001:0950c03	摩訶般若波羅蜜多心經	摩訶般若波羅蜜 多 心 經 
X26n0574_001:0955c17	能拈掇且去真空妙性無眼能見無耳能聞無鼻	能 拈 掇 且 去 真 空 妙 性 無 眼 能 見 無 耳 能 聞 無 鼻 
X26n0574_001:0955c18	能嗅無舌能言無脚能行無手能拈意根有名無	能 嗅 無 舌 能 言 無 脚 能 行 無 手 能 拈 意 根 有 名 無 
X26n0574_001:0955c19	形分為八萬四千見聞知覺總歸六根徧身互用	形 分 為 八萬四千 見 聞 知 覺 總 歸 六 根 徧 身 互 用 
X26n0574_001:0955c20	神通玅用　古云通身是徧身是　道云不須他	神 通 玅 用 古 云 通 身 是 徧 身 是 道 云 不 須 他 
X26n0574_001:0955c21	處遠搜尋十二時中遶徧身　色空不異妙理全	處 遠 搜 尋 十 二 時 中 遶 徧 身 色 空 不 異 妙 理 全 
X26n0574_001:0955c22	彰色可色非真色空可空非真空總歸大空　且	彰 色 可 色 非 真 色 空 可 空 非 真 空 總 歸 大 空 且 
X26n0574_001:0955c23	道此理如何　川老有云有相有求皆是妄無形	道 此 理 如 何 川 老 有 云 有 相 有 求 皆 是 妄 無 形 
X26n0574_001:0955c24	無影墮偏枯堂堂密密何曾間一道寒光爍太虗	無 影 墮 偏 枯 堂 堂 密 密 何 曾 間 一 道 寒 光 爍 太 虗 
X26n0574_001:0956a01	　道經云知空不空知色不色名為照了予今不	 道 經 云 知 空 不 空 知 色 不 色 名 為 照 了 予 今 不 
X26n0574_001:0956a02	免饒舌說破若見一切有相境物休教染著若到	免 饒 舌 說 破 若 見 一 切 有 相 境 物 休 教 染 著 若 到 
X26n0574_001:0956a03	情忘念絕之處休教迷真著相則著有迷真則落	情 忘 念 絕 之 處 休 教 迷 真 著 相 則 著 有 迷 真 則 落 
X26n0574_001:0956a04	空若不著空不著有方是了事底人　省麼　休	空 若 不 著 空 不 著 有 方 是 了 事 底 人 省 麼 休 
X26n0574_001:0956a05	得瞌睡惺惺著。	得 瞌 睡 惺 惺 著 
X26n0574_001:0956a06	　萬竅都因一竅通　　一竅能納太虗空	 萬 竅 都 因 一 竅 通 一 竅 能 納 太 虗 空 
X26n0574_001:0956a07	　若還拿住玄中竅　　擺手皆歸大道中	 若 還 拿 住 玄 中 竅 擺 手 皆 歸 大 道 中 
X26n0574_001:0956a08	空即是色。	空 即 是 色 
X26n0574_001:0956a09	色在空外人被境瞞　僊真云道無萬彚則不能	色 在 空 外 人 被 境 瞞 僊 真 云 道 無 萬 彚 則 不 能 
X26n0574_001:0956a10	顯萬彚無道則不能生　釋云見色便見空無色	顯 萬 彚 無 道 則 不 能 生 釋 云 見 色 便 見 空 無 色 
X26n0574_001:0956a11	空不見　是以三教聖賢不見有色有空色空雙	空 不 見 是 以 三 教 聖 賢 不 見 有 色 有 空 色 空 雙 
X26n0574_001:0956a12	泯內外無分別如如常自然光明洞耀周徧沙界	泯 內 外 無 分 別 如 如 常 自 然 光 明 洞 耀 周 徧 沙 界 
X26n0574_001:0956a13	世人則不然也分內分外論彼論此著相分別見	世 人 則 不 然 也 分 內 分 外 論 彼 論 此 著 相 分 別 見 
X26n0574_001:0956a14	種種相隨聲逐色迷真不覺出殻入殻展轉不知	種 種 相 隨 聲 逐 色 迷 真 不 覺 出 殻 入 殻 展 轉 不 知 
X26n0574_001:0956a15	改頭換面無有了期非干他事是自尋得底何不	改 頭 換 面 無 有 了 期 非 干 他 事 是 自 尋 得 底 何 不 
X26n0574_001:0956a16	及早回頭自救　且道怎生救得　咄　放下從	及 早 回 頭 自 救 且 道 怎 生 救 得 咄 放 下 從 
X26n0574_001:0956a17	前惡水瓶　楝著痛處便金鍼。	前 惡 水 瓶 楝 著 痛 處 便 金 鍼 
X26n0574_001:0956a18	　一槩均平有甚差　　本來元是一人家	 一 槩 均 平 有 甚 差 本 來 元 是 一 人 家 
X26n0574_001:0956a19	　只因著在枝稍上　　迷了從前太道芽	 只 因 著 在 枝 稍 上 迷 了 從 前 太 道 芽 
X26n0574_001:0956a20	受想行識。	受 想 行 識 
X26n0574_001:0956a21	因眼見故受色因受色心有思想因思想念行因	因 眼 見 故 受 色 因 受 色 心 有 思 想 因 思 想 念 行 因 
X26n0574_001:0956a22	念行有識解有六根因六根生六塵一識便有四	念 行 有 識 解 有 六 根 因 六 根 生 六 塵 一 識 便 有 四 
X26n0574_001:0956a23	大五蘊有此五蘊色身便明著相分別隨聲逐色	大 五 蘊 有 此 五 蘊 色 身 便 明 著 相 分 別 隨 聲 逐 色 
X26n0574_001:0956a24	憎愛憂恐從茲而起以致流浪生死而無停息若	憎 愛 憂 恐 從 茲 而 起 以 致 流 浪 生 死 而 無 停 息 若 
X26n0574_001:0956b01	要生死斷輪迴止但從起處一根照破令四大五	要 生 死 斷 輪 迴 止 但 從 起 處 一 根 照 破 令 四 大 五 
X26n0574_001:0956b02	蘊淨盡廓然無我當下空寂直下承當空劫已前	蘊 淨 盡 廓 然 無 我 當 下 空 寂 直 下 承 當 空 劫 已 前 
X26n0574_001:0956b03	自己○寂而常照照而常寂　太上云寂無所寂	自 己 寂 而 常 照 照 而 常 寂 太 上 云 寂 無 所 寂 
X26n0574_001:0956b04	慾豈長生慾既不生即是真靜　又云唯見於空	慾 豈 長 生 慾 既 不 生 即 是 真 靜 又 云 唯 見 於 空 
X26n0574_001:0956b05	觀空亦空空無所空所空既無無無亦無無無既	觀 空 亦 空 空 無 所 空 所 空 既 無 無 無 亦 無 無 無 既 
X26n0574_001:0956b06	無湛然常寂　釋云人亦空法亦空二相本來同	無 湛 然 常 寂 釋 云 人 亦 空 法 亦 空 二 相 本 來 同 
X26n0574_001:0956b07	　且道人法俱空必竟何處住○諸境萬緣留不	 且 道 人 法 俱 空 必 竟 何 處 住 諸 境 萬 緣 留 不 
X26n0574_001:0956b08	住　混然隱在太虗空。	住 混 然 隱 在 太 虗 空 
X26n0574_001:0956b09	　眼界牽連眾界忙　　不見可欲萬緣忘	 眼 界 牽 連 眾 界 忙 不 見 可 欲 萬 緣 忘 
X26n0574_001:0956b10	　忘無可忘全身出　　便見靈山大法王	 忘 無 可 忘 全 身 出 便 見 靈 山 大 法 王 
X26n0574_001:0956b11	亦復如是。	亦復如是 
X26n0574_001:0956b12	既無我則萬法皆無復歸於空便得返本還元也	既 無 我 則 萬 法 皆 無 復 歸 於 空 便 得 返 本 還 元 也 
X26n0574_001:0956b13	　佛家喚作萬法歸一　道家喚作復命歸根	 佛 家 喚 作 萬 法 歸 一 道 家 喚 作 復 命 歸 根 
X26n0574_001:0956b14	　儒家喚作復遂元初天理到這裡言語道斷心行	 儒 家 喚 作 復 遂 元 初 天 理 到 這 裡 言語道斷 心 行 
X26n0574_001:0956b15	處滅若動念即乖張安排即不是所以　川老云	處 滅 若 動 念 即 乖 張 安 排 即 不 是 所 以 川 老 云 
X26n0574_001:0956b16	退後退後看看頑石動也　理會得麼　咄　休	退 後 退 後 看 看 頑 石 動 也 理 會 得 麼 咄 休 
X26n0574_001:0956b17	得胡走動著三十棒。	得 胡 走 動 著 三 十 棒 
X26n0574_001:0956b18	　一念纔興相便成　　述真逐妄昧歸程	 一 念 纔 興 相 便 成 述 真 逐 妄 昧 歸 程 
X26n0574_001:0956b19	　若能放下空無物　　穩向如來藏裡行	 若 能 放 下 空 無 物 穩 向 如 來 藏 裡 行 
X26n0574_001:0956b20	舍利子。	舍 利 子 
X26n0574_001:0956b21	當面不識火不能燒水不能溺箭不能傷刀不能	當 面 不 識 火 不 能 燒 水 不 能 溺 箭 不 能 傷 刀 不 能 
X26n0574_001:0956b22	劈風不能飄日不能炙雨不能洒描畵不出毒藥	劈 風 不 能 飄 日 不 能 炙 雨 不 能 洒 描 畵 不 出 毒 藥 
X26n0574_001:0956b23	不能害惡蟲不能螫只因行走路頭差所以失却	不 能 害 惡 蟲 不 能 螫 只 因 行 走 路 頭 差 所 以 失 却 
X26n0574_001:0956b24	波羅蜜見舍利子麼亘古到今不曾改變只是來	波 羅 蜜 見 舍 利 子 麼 亘 古 到 今 不 曾 改 變 只 是 來 
X26n0574_001:0956c01	往賃屋居住或時朱樓畵閣或時草舍茅堂或時	往 賃 屋 居 住 或 時 朱 樓 畵 閣 或 時 草 舍 茅 堂 或 時 
X26n0574_001:0956c02	金屏朱戶或時破廟窑龕　省得麼　川老云雲	金 屏 朱 戶 或 時 破 廟 窑 龕 省 得 麼 川 老 云 雲 
X26n0574_001:0956c03	起南山雨北山馬名驢子幾多般請看浩渺無情	起 南 山 雨 北 山 馬 名 驢 子 幾 多 般 請 看 浩 渺 無 情 
X26n0574_001:0956c04	水幾處隨方幾處圓　若要不來不去須得諸漏	水 幾 處 隨 方 幾 處 圓 若 要 不來不去 須 得 諸 漏 
X26n0574_001:0956c05	已盡以歸寂滅如此者未出三界外天地不能拘	已 盡 以 歸 寂 滅 如 此 者 未 出 三 界 外 天 地 不 能 拘 
X26n0574_001:0956c06	作箇物外閑人　會麼　向前不如退步　紐揑	作 箇 物 外 閑 人 會 麼 向 前 不 如 退 步 紐 揑 
X26n0574_001:0956c07	不如自然。	不 如 自 然 
X26n0574_001:0956c08	　自家房內主人公　　同居共住不知踪	 自 家 房 內 主 人 公 同 居 共 住 不 知 踪 
X26n0574_001:0956c09	　若能退步回頭望　　物物頭頭總得逢	 若 能 退 步 回 頭 望 物 物 頭 頭 總 得 逢 
X26n0574_001:0956c10	是諸法空相。	是 諸 法 空 相 
X26n0574_001:0956c11	諸法皆空本非實際　仙真云法本無法形本非	諸法皆空 本 非 實 際 仙 真 云 法 本 無 法 形 本 非 
X26n0574_001:0956c12	形有形終是假無相是真人　金剛經云法尚應	形 有 形 終 是 假 無 相 是 真 人 金 剛 經 云 法 尚 應 
X26n0574_001:0956c13	捨何況非法　又云一切有相皆是虗妄若見諸	捨 何 況 非 法 又 云 一 切 有 相 皆 是 虗 妄 若 見 諸 
X26n0574_001:0956c14	相非相即見如來　從上諸師一味談空者只為	相 非 相 即 見 如 來 從 上 諸 師 一 味 談 空 者 只 為 
X26n0574_001:0956c15	眾生直下是空擔負不行起種種假名引導有情	眾 生 直 下 是 空 擔 負 不 行 起 種 種 假 名 引 導 有 情 
X26n0574_001:0956c16	無情皆歸空寂得返本原若信未及但去靜坐反	無 情 皆 歸 空 寂 得 返 本 原 若 信 未 及 但 去 靜 坐 反 
X26n0574_001:0956c17	照照見五蘊實無所有自然忘形忘體得其人空	照 照 見 五 蘊 實無所有 自 然 忘 形 忘 體 得 其 人 空 
X26n0574_001:0956c18	既得人空如病安去藥其法亦空人法俱空自然	既 得 人 空 如 病 安 去 藥 其 法 亦 空 人 法 俱 空 自 然 
X26n0574_001:0956c19	休去歇去　經云我身本不有憎愛何由生　既	休 去 歇 去 經 云 我 身 本 不 有 憎 愛 何 由 生 既 
X26n0574_001:0956c20	得忘形忘體有甚念慮可牽到這地面自然放下	得 忘 形 忘 體 有 甚 念 慮 可 牽 到 這 地 面 自 然 放 下 
X26n0574_001:0956c21	無仙佛可做無生死可斷無脩無證若更有絲毫	無 仙 佛 可 做 無 生 死 可 斷 無 脩 無 證 若 更 有 絲 毫 
X26n0574_001:0956c22	可脩可證則墮生死界永劫受沉淪若能徹底脫	可 脩 可 證 則 墮 生 死 界 永 劫 受 沉 淪 若 能 徹 底 脫 
X26n0574_001:0956c23	洒無所依倚不落有無二邊如虗空獨立直下承	洒 無 所 依 倚 不 落 有 無 二 邊 如 虗 空 獨 立 直 下 承 
X26n0574_001:0956c24	當空劫已前○圓陀陀光爍爍底有何不可　會	當 空 劫 已 前 圓 陀 陀 光 爍 爍 底 有 何 不 可 會 
X26n0574_001:0957a01	麼　乾坤兩朵海中蓮　一切眾生虗出沒。	麼 乾 坤 兩 朵 海 中 蓮 一 切 眾 生 虗 出 沒 
X26n0574_001:0957a02	　人法皆空心自休　　也無歡喜也無愁	 人 法 皆 空 心 自 休 也 無 歡 喜 也 無 愁 
X26n0574_001:0957a03	　風平浪靜雲歸去　　月照寒江一色秋	 風 平 浪 靜 雲 歸 去 月 照 寒 江 一 色 秋 
X26n0574_001:0957a04	不生不滅。	不生不滅 
X26n0574_001:0957a05	有成有壞是事相不生不滅是理性此直言直說	有 成 有 壞 是 事 相 不生不滅 是 理 性 此 直 言 直 說 
X26n0574_001:0957a06	眾生具足法身真空妙性亘古今不曾生不曾滅	眾 生 具 足 法 身 真 空 妙 性 亘 古 今 不 曾 生 不 曾 滅 
X26n0574_001:0957a07	不變不移無來無去無舊無新巍巍如是　大上	不 變 不 移 無 來 無 去 無 舊 無 新 巍 巍 如 是 大 上 
X26n0574_001:0957a08	云寂兮寥兮獨立而不改周行而不殆　又云寂	云 寂 兮 寥 兮 獨 立 而 不 改 周 行 而 不 殆 又 云 寂 
X26n0574_001:0957a09	然不動感而遂通四大五蘊任他虗生虗沒於自	然 不 動 感 而 遂 通 四 大 五 蘊 任 他 虗 生 虗 沒 於 自 
X26n0574_001:0957a10	己法身總無交涉　且道既無交涉如何步步不	己 法 身 總 無 交 涉 且 道 既 無 交 涉 如 何 步 步 不 
X26n0574_001:0957a11	離　古德云和光塵不染三界獨為尊　川老又	離 古 德 云 和 光 塵 不 染 三 界 獨 為 尊 川 老 又 
X26n0574_001:0957a12	云得優游處且優游雲自高飛水自流只見黑風	云 得 優 游 處 且 優 游 雲 自 高 飛 水 自 流 只 見 黑 風 
X26n0574_001:0957a13	飜大浪未聞沉却釣魚舟　如是者且道有交涉	飜 大 浪 未 聞 沉 却 釣 魚 舟 如 是 者 且 道 有 交 涉 
X26n0574_001:0957a14	也無交涉　若得五蘊皆空有甚離與不離　理	也 無 交 涉 若 得 五 蘊 皆 空 有 甚 離 與 不 離 理 
X26n0574_001:0957a15	會得麼　水流常不住　青山鎮日閑。	會 得 麼 水 流 常 不 住 青 山 鎮 日 閑 
X26n0574_001:0957a16	　任他四大往來奔　　雲來雲去鎮常存	 任 他 四 大 往 來 奔 雲 來 雲 去 鎮 常 存 
X26n0574_001:0957a17	　竹影掃堦塵不起　　月穿潭底水無痕	 竹 影 掃 堦 塵 不 起 月 穿 潭 底 水 無 痕 
X26n0574_001:0957a18	不垢不淨。	不垢不淨 
X26n0574_001:0957a19	亦說眾生本來清淨法身無名無相無痕無瑕無	亦 說 眾 生 本 來 清 淨 法 身 無 名 無 相 無 痕 無 瑕 無 
X26n0574_001:0957a20	染無活不長不短不方不圓壞不得燒不得如虗	染 無 活 不 長 不 短 不 方 不 圓 壞 不 得 燒 不 得 如 虗 
X26n0574_001:0957a21	空似蓮華不著水也不垢穢亦不淨潔常劫如然	空 似 蓮 華 不 著 水 也 不 垢 穢 亦 不 淨 潔 常 劫 如 然 
X26n0574_001:0957a22	如水中月　要見麼　隨處放光　幾人能得見。	如水中月 要 見 麼 隨 處 放 光 幾 人 能 得 見 
X26n0574_001:0957a23	　清淨無瑕一法身　　如蓮出水不沾塵	 清 淨 無 瑕 一 法 身 如 蓮 出 水 不 沾 塵 
X26n0574_001:0957a24	　分身應現千江水　　千月還同一月真	 分 身 應 現 千 江 水 千 月 還 同 一 月 真 
X26n0574_001:0957b01	不增不減。	不增不減 
X26n0574_001:0957b02	謂混沌虗空之體迢迢空劫之身如何增得如何	謂 混 沌 虗 空 之 體 迢 迢 空 劫 之 身 如 何 增 得 如 何 
X26n0574_001:0957b03	減得也害不得也益不得　道云在聖而不餘在	減 得 也 害 不 得 也 益 不 得 道 云 在 聖 而 不 餘 在 
X26n0574_001:0957b04	凡而不欠　釋云如如自然無欠無餘　又云經	凡 而 不 欠 釋 云 如 如 自 然 無 欠 無 餘 又 云 經 
X26n0574_001:0957b05	歷劫而不壞至亘古而不遷　古德云體似虗空	歷 劫 而 不 壞 至 亘 古 而 不 遷 古 德 云 體 似 虗 空 
X26n0574_001:0957b06	沒崖崖上乘菩薩信無疑中下聞之必生恠　且	沒 崖 崖 上 乘 菩 薩 信 無 疑 中 下 聞 之 必 生 恠 且 
X26n0574_001:0957b07	道因何如是　呵呵　自家繩子短倒怨井水深	道 因 何 如 是 呵 呵 自 家 繩 子 短 倒 怨 井 水 深 
X26n0574_001:0957b08	　正是自家味了　咄　靈山會上曾相識今日	 正 是 自 家 味 了 咄 靈 山 會 上 曾 相 識 今 日 
X26n0574_001:0957b09	因何不認人。	因 何 不 認 人 
X26n0574_001:0957b10	　法身與色身　　不必論疎親	 法 身 與 色 身 不 必 論 疎 親 
X26n0574_001:0957b11	　皆賴東君力　　華柳一般春	 皆 賴 東 君 力 華 柳 一 般 春 
X26n0574_001:0957b12	是故空中。	是 故 空 中 
X26n0574_001:0957b13	妙法真空不生不滅無垢無淨增不得減不得清	妙 法 真 空 不生不滅 無 垢 無 淨 增 不 得 減 不 得 清 
X26n0574_001:0957b14	淨本然古今不改萬劫常存刀割不斷箭射不穿	淨 本 然 古 今 不 改 萬 劫 常 存 刀 割 不 斷 箭 射 不 穿 
X26n0574_001:0957b15	繩繫不住火燒不燃雨洒不濕推擁不偏擊之不	繩 繫 不 住 火 燒 不 燃 雨 洒 不 濕 推 擁 不 偏 擊 之 不 
X26n0574_001:0957b16	痛捉之難拈　因何如是物不礙虗空虗空不礙	痛 捉 之 難 拈 因 何 如 是 物 不 礙 虗 空 虗 空 不 礙 
X26n0574_001:0957b17	物也　仙真云真空不掛物大道不沾塵　川老	物 也 仙 真 云 真 空 不 掛 物 大 道 不 沾 塵 川 老 
X26n0574_001:0957b18	云虗空不閡絲毫念所以彰名大覺仙　文始真	云 虗 空 不 閡 絲 毫 念 所 以 彰 名 大 覺 仙 文 始 真 
X26n0574_001:0957b19	經云天地雖大不能芽空中之核陰陽雖妙不能	經 云 天 地 雖 大 不 能 芽 空 中 之 核 陰 陽 雖 妙 不 能 
X26n0574_001:0957b20	卵無雄之雌　且道天地因何不能生發陰陽其	卵 無 雄 之 雌 且 道 天 地 因 何 不 能 生 發 陰 陽 其 
X26n0574_001:0957b21	生不能造化空中之物不能生芽者不沾地土不	生 不 能 造 化 空 中 之 物 不 能 生 芽 者 不 沾 地 土 不 
X26n0574_001:0957b22	著境界也無雄之卵不能造化者內空無物也	著 境 界 也 無 雄 之 卵 不 能 造 化 者 內 空 無 物 也 
X26n0574_001:0957b23	　省得麼　內外徹底空　鬼神拿不著。	 省 得 麼 內 外 徹 底 空 鬼 神 拿 不 著 
X26n0574_001:0957b24	　真空元不立纖塵　　纔有微塵便不真	 真 空 元 不 立 纖 塵 纔 有 微 塵 便 不 真 
X26n0574_001:0957c01	　泥水布衫都脫下　　分明便見裡頭人	 泥 水 布 衫 都 脫 下 分 明 便 見 裡 頭 人 
X26n0574_001:0957c02	無色無受想行識。	無 色 無 受 想 行 識 
X26n0574_001:0957c03	既是空中有甚五蘊積習虗空之體安色不受色	既 是 空 中 有 甚 五 蘊 積 習 虗 空 之 體 安 色 不 受 色 
X26n0574_001:0957c04	安聲不受聲安受不受受安想不受想安行不受	安 聲 不 受 聲 安 受 不 受 受 安 想 不 受 想 安 行 不 受 
X26n0574_001:0957c05	行安識不受識六道四生一切假名假相都無納	行 安 識 不 受 識 六 道 四 生 一 切 假 名 假 相 都 無 納 
X26n0574_001:0957c06	受清虗妙道纖塵不立必竟無形行如鳥道坐若	受 清 虗 妙 道 纖 塵 不 立 必 竟 無 形 行 如 鳥 道 坐 若 
X26n0574_001:0957c07	太虗　且道如何謂之鳥道太虗　咦　鳥道雖	太 虗 且 道 如 何 謂 之 鳥 道 太 虗 咦 鳥 道 雖 
X26n0574_001:0957c08	行而不見跡　真空雖露而不見相　會麼。	行 而 不 見 跡 真 空 雖 露 而 不 見 相 會 麼 
X26n0574_001:0957c09	　五蘊俱無便見空　　何須他覔主人公	 五 蘊 俱 無 便 見 空 何 須 他 覔 主 人 公 
X26n0574_001:0957c10	　既得水清魚自見　　頭頭不昧有神通	 既 得 水 清 魚 自 見 頭 頭 不 昧 有 神 通 
X26n0574_001:0957c11	無眼耳鼻舌身意。	無 眼 耳 鼻 舌 身 意 
X26n0574_001:0957c12	且道無眼耳鼻舌身意是箇甚麼　休呆看蹉過	且 道 無 眼 耳 鼻 舌 身 意 是 箇 甚 麼 休 呆 看 蹉 過 
X26n0574_001:0957c13	了　予今明說有此六根是色身無此六識名法	了 予 今 明 說 有 此 六 根 是 色 身 無 此 六 識 名 法 
X26n0574_001:0957c14	相　如此之者只是數脩行人眼雖看不要著在	相 如 此 之 者 只 是 數 脩 行 人 眼 雖 看 不 要 著 在 
X26n0574_001:0957c15	色上耳雖聽不要著在聲上鼻雖嗅不要著在香	色 上 耳 雖 聽 不 要 著 在 聲 上 鼻 雖 嗅 不 要 著 在 香 
X26n0574_001:0957c16	臭上舌雖甞不要著在滋味上雖有身體休要著	臭 上 舌 雖 甞 不 要 著 在 滋 味 上 雖 有 身 體 休 要 著 
X26n0574_001:0957c17	在相上須要忘形忘體意雖應事不要著在境物	在 相 上 須 要 忘 形 忘 體 意 雖 應 事 不 要 著 在 境 物 
X26n0574_001:0957c18	上要應應常靜　道云眼不觀色耳不聽聲舌不	上 要 應 應 常 靜 道 云 眼 不 觀 色 耳 不 聽 聲 舌 不 
X26n0574_001:0957c19	躭味鼻不嗅香身不妄動意不狂亂　儒云非禮	躭 味 鼻 不 嗅 香 身 不 妄 動 意 不 狂 亂 儒 云 非 禮 
X26n0574_001:0957c20	勿視非禮勿聽非禮勿言非禮勿動便是無眼耳	勿 視 非 禮 勿 聽 非 禮 勿 言 非 禮 勿 動 便 是 無 眼 耳 
X26n0574_001:0957c21	鼻舌身意也亦是六根清淨便是六塵不染又是	鼻 舌 身 意 也 亦 是 六 根 清 淨 便 是 六 塵 不 染 又 是 
X26n0574_001:0957c22	六識皆空總而言之十八界靜也又名六耗消亡	六 識 皆 空 總 而 言 之 十 八 界 靜 也 又 名 六 耗 消 亡 
X26n0574_001:0957c23	六賊死一真不動六門關總而言之十八獄空也	六 賊 死 一 真 不 動 六 門 關 總 而 言 之 十 八 獄 空 也 
X26n0574_001:0957c24	斷也若此則天堂近也便見本來法身　要見本	斷 也 若 此 則 天 堂 近 也 便 見 本 來 法 身 要 見 本 
X26n0574_001:0958a01	來法身麼　在眼曰見在耳曰聞在鼻曰臭在舌	來 法 身 麼 在 眼 曰 見 在 耳 曰 聞 在 鼻 曰 臭 在 舌 
X26n0574_001:0958a02	談論在手拈掇在足運奔全體起用全體法身非	談 論 在 手 拈 掇 在 足 運 奔 全 體 起 用 全 體 法 身 非 
X26n0574_001:0958a03	是六根四大五蘊見聞知覺切忌休認四大六根	是 六 根 四 大 五 蘊 見 聞 知 覺 切 忌 休 認 四 大 六 根 
X26n0574_001:0958a04	為己　金剛經云凡所有相皆是虗妄　道云悟	為 己 金 剛 經 云 凡 所 有 相 皆 是 虗 妄 道 云 悟 
X26n0574_001:0958a05	者忘念歸真迷者著相失本　盡是假名引導眾	者 忘 念 歸 真 迷 者 著 相 失 本 盡 是 假 名 引 導 眾 
X26n0574_001:0958a06	生不可知得便了須是親見法身若得親見轉凡	生 不 可 知 得 便 了 須 是 親 見 法 身 若 得 親 見 轉 凡 
X26n0574_001:0958a07	成聖若聽人言說或文字上知解如畫餅充饑似	成 聖 若 聽 人 言 說 或 文 字 上 知 解 如 畫 餅 充 饑 似 
X26n0574_001:0958a08	說酒止渴終不濟事　虗實云華藥欄莫顢頇星	說 酒 止 渴 終 不 濟 事 虗 實 云 華 藥 欄 莫 顢 頇 星 
X26n0574_001:0958a09	在秤弓不在盤　重陽祖師云休教錯認定盤星	在 秤 弓 不 在 盤 重 陽 祖 師 云 休 教 錯 認 定 盤 星 
X26n0574_001:0958a10	　且道此句如何說　謂盤只可等物知輕別重	 且 道 此 句 如 何 說 謂 盤 只 可 等 物 知 輕 別 重 
X26n0574_001:0958a11	者皆在星上　祖師又恐人錯認定盤星討準定	者 皆 在 星 上 祖 師 又 恐 人 錯 認 定 盤 星 討 準 定 
X26n0574_001:0958a12	盤星是死物不知輕重是以休教錯認定盤星一	盤 星 是 死 物 不 知 輕 重 是 以 休 教 錯 認 定 盤 星 一 
X26n0574_001:0958a13	般都是星有用得著底有用不著底此皆喻法精	般 都 是 星 有 用 得 著 底 有 用 不 著 底 此 皆 喻 法 精 
X26n0574_001:0958a14	細審察休執著一邊　且道此理如何　真性與	細 審 察 休 執 著 一 邊 且 道 此 理 如 何 真 性 與 
X26n0574_001:0958a15	識性真神與識神一般同住止一假一成真　牢	識 性 真 神 與 識 神 一 般 同 住 止 一 假 一 成 真 牢 
X26n0574_001:0958a16	著眼　鷺鶿藏雪內飛起却纔知。	著 眼 鷺 鶿 藏 雪 內 飛 起 却 纔 知 
X26n0574_001:0958a17	　六箇門頭一箇關　　五門不必更遮欄	 六 箇 門 頭 一 箇 關 五 門 不 必 更 遮 欄 
X26n0574_001:0958a18	　從他世事紛紛亂　　堂上家尊鎮日安	 從 他 世 事 紛 紛 亂 堂 上 家 尊 鎮 日 安 
X26n0574_001:0958a19	無色聲香味觸法。	無 色聲香味觸 法 
X26n0574_001:0958a20	此乃六塵也皆從一根上起但去一根上反照從	此 乃 六 塵 也 皆 從 一 根 上 起 但 去 一 根 上 反 照 從 
X26n0574_001:0958a21	何而起若識起處從根本生起處是妄休教生苗	何 而 起 若 識 起 處 從 根 本 生 起 處 是 妄 休 教 生 苗 
X26n0574_001:0958a22	　仙真云揚湯點沸不如釜底抽薪　釋云要伐	 仙 真 云 揚 湯 點 沸 不 如 釜 底 抽 薪 釋 云 要 伐 
X26n0574_001:0958a23	其樹先去其根枝稍自墜　既識根本棄假歸真	其 樹 先 去 其 根 枝 稍 自 墜 既 識 根 本 棄 假 歸 真 
X26n0574_001:0958a24	識得我身非有我身尚無萬法皆空自然清靜觀	識 得 我 身 非 有 我 身 尚 無 萬 法 皆 空 自 然 清 靜 觀 
X26n0574_001:0958b01	身無身觀法亦然都歸空寂更去靜坐觀過去所	身 無 身 觀 法 亦 然 都 歸 空 寂 更 去 靜 坐 觀 過 去 所 
X26n0574_001:0958b02	作多種色聲香味觸法在於何處既無所有還如	作 多 種 色聲香味觸 法 在 於 何 處 既 無 所 有 還 如 
X26n0574_001:0958b03	昨夢我心本空福罪無主何者是罪何者是福。	昨 夢 我 心 本 空 福 罪 無 主 何 者 是 罪 何 者 是 福 
X26n0574_001:0958b04	經云諦觀心罪本來空是則名為真懺悔　且道	經 云 諦 觀 心 罪 本 來 空 是 則 名 為 真 懺 悔 且 道 
X26n0574_001:0958b05	懺箇甚麼悔箇甚麼懺則懺其前非悔則再不重	懺 箇 甚 麼 悔 箇 甚 麼 懺 則 懺 其 前 非 悔 則 再 不 重 
X26n0574_001:0958b06	犯　咄　既得諸根斷　何處可生苗　只有虗	犯 咄 既 得 諸 根 斷 何 處 可 生 苗 只 有 虗 
X26n0574_001:0958b07	空在　要見虗空麼　看不見　模不著　對面	空 在 要 見 虗 空 麼 看 不 見 模 不 著 對 面 
X26n0574_001:0958b08	如常光爍爍　認得也未。	如 常 光 爍 爍 認 得 也 未 
X26n0574_001:0958b09	　萬法皆空罪福無　　更須靜坐嘴羅都	 萬 法 皆 空 罪 福 無 更 須 靜 坐 嘴 羅 都 
X26n0574_001:0958b10	　驀然拿住毗盧手　　做箇男兒大丈夫	 驀 然 拿 住 毗 盧 手 做 箇 男 兒 大 丈 夫 
X26n0574_001:0958b11	無眼界乃至無意識界。	無 眼 界 乃 至 無 意 識 界 
X26n0574_001:0958b12	若眼界淨竟識安十八界自然平安此十八界因	若 眼 界 淨 竟 識 安 十 八 界 自 然 平 安 此 十 八 界 因 
X26n0574_001:0958b13	執有眼界連累十八界不安但去眼根反究虗假	執 有 眼 界 連 累 十 八 界 不 安 但 去 眼 根 反 究 虗 假 
