X68n1319_001:0523c06	 御製總序	 御 製 總 序 
X68n1319_016:0647b15	悞。谷響既有聲。鏡像能回顧。	悞 谷 響 既 有 聲 鏡 像 能 回 顧 
X68n1319_016:0647b16	天柱崇慧禪師	天 柱 崇 慧 禪 師 
X68n1319_016:0647b17	僧問。達摩未來此土時。還有佛法也無。　師曰。未來且	僧 問 達 摩 未 來 此 土 時 還 有 佛 法 也 無 師 曰 未 來 且 
X68n1319_016:0647b18	置。即今事作麼生。　曰。某甲不會。乞師指示。　師曰。萬古	置 即 今 事 作 麼 生 曰 某 甲 不 會 乞 師 指 示 師 曰 萬 古 
X68n1319_016:0647b19	長空。一朝風月。僧無語。　師復曰。闍黎會麼。　曰。不會。　師	長 空 一 朝 風 月 僧 無 語 師 復 曰 闍 黎 會 麼 曰 不 會 師 
X68n1319_016:0647b20	曰。自己分上作麼生。干他達摩來與未來作麼。他家	曰 自 己 分 上 作 麼 生 干 他 達 摩 來 與 未 來 作 麼 他 家 
X68n1319_016:0647b21	來。大似賣卜漢。見汝不會。為汝錐破卦文。纔生吉凶。	來 大 似 賣 卜 漢 見 汝 不 會 為 汝 錐 破 卦 文 纔 生 吉 凶 
X68n1319_016:0647b22	盡在汝分上。一切自看。　僧曰。如何是解卜度人。　師曰。	盡 在 汝 分 上 一 切 自 看 僧 曰 如 何 是 解 卜 度 人 師 曰 
X68n1319_016:0647b23	汝纔出門時便不中也。	汝 纔 出 門 時 便 不 中 也 
X68n1319_016:0647b24	徑山道欽禪師	徑 山 道 欽 禪 師 
X68n1319_016:0647c01	馬祖令人送書到。書中作一圓相。師發緘。於圓相中	馬 祖 令 人 送 書 到 書 中 作 一 圓 相 師 發 緘 於 圓 相 中 
X68n1319_016:0647c02	著一點。却封回。	著 一 點 却 封 回 
X68n1319_016:0647c03	鳥窠道林禪師	鳥 窠 道 林 禪 師 
X68n1319_016:0647c04	白居易守杭時。入山謁師。問曰。禪師住處甚危險。　師	白 居 易 守 杭 時 入 山 謁 師 問 曰 禪 師 住 處 甚 危 險 師 
X68n1319_016:0647c05	曰。太守危險尤甚。　白曰。弟子位鎮江山。何險之有。　師	曰 太 守 危 險 尤 甚 白 曰 弟 子 位 鎮 江 山 何 險 之 有 師 
X68n1319_016:0647c06	曰。薪火相交。識性不停。得非險乎。　又問。如何是佛法	曰 薪 火 相 交 識 性 不 停 得 非 險 乎 又 問 如 何 是 佛 法 
X68n1319_016:0647c07	大意。　師曰。諸惡莫作。眾善奉行。　白曰。三歲孩兒也解	大 意 師 曰 諸 惡 莫 作 眾 善 奉 行 白 曰 三 歲 孩 兒 也 解 
X68n1319_016:0647c08	恁麼道。　師曰。三歲孩兒雖道得。八十老人行不得。白	恁 麼 道 師 曰 三 歲 孩 兒 雖 道 得 八 十 老 人 行 不 得 白 
X68n1319_016:0647c09	作禮而退。	作 禮 而 退 
X68n1319_016:0647c10	壽州道樹禪師	壽 州 道 樹 禪 師 
X68n1319_016:0647c11	師得法於北宗秀。卜壽州三峯山。結茅而居。常有野	師 得 法 於 北 宗 秀 卜 壽 州 三 峯 山 結 茅 而 居 常 有 野 
X68n1319_016:0647c12	人。服色素樸。言談詭異。時忽化作佛及菩薩．羅漢．天	人 服 色 素 樸 言 談 詭 異 時 忽 化 作 佛 及 菩 薩 羅 漢 天 
X68n1319_016:0647c13	仙等形。或放神光。或呈聲響。師之學徒覩之。皆不能	仙 等 形 或 放 神 光 或 呈 聲 響 師 之 學 徒 覩 之 皆 不 能 
X68n1319_016:0647c14	測。如此涉十年後。寂無形影。　師告眾曰。野人作多色	測 如 此 涉 十 年 後 寂 無 形 影 師 告 眾 曰 野 人 作 多 色 
X68n1319_016:0647c15	伎倆眩惑於人。只消老僧不見不聞。伊伎倆有窮。吾	伎 倆 眩 惑 於 人 只 消 老 僧 不 見 不 聞 伊 伎 倆 有 窮 吾 
X68n1319_016:0647c16	不見不聞無盡。	不 見 不 聞 無 盡 
X68n1319_016:0647c17	嵩嶽破竈墮和尚	嵩 嶽 破 竈 墮 和 尚 
X68n1319_016:0647c18	師不稱名氏。言行叵測。隱居嵩嶽。山塢有廟甚靈。殿	師 不 稱 名 氏 言 行 叵 測 隱 居 嵩 嶽 山 塢 有 廟 甚 靈 殿 
X68n1319_016:0647c19	中惟安一竈。遠近祭祀不輟。烹宰物命甚多。　師一日	中 惟 安 一 竈 遠 近 祭 祀 不 輟 烹 宰 物 命 甚 多 師 一 日 
X68n1319_016:0647c20	領寺僧入廟。以杖敲竈三下。曰。咄。此竈只是泥瓦合	領 寺 僧 入 廟 以 杖 敲 竈 三 下 曰 咄 此 竈 只 是 泥 瓦 合 
X68n1319_016:0647c21	成。聖從何來。靈從何起。恁麼烹宰物命。又打三下。竈	成 聖 從 何 來 靈 從 何 起 恁 麼 烹 宰 物 命 又 打 三 下 竈 
X68n1319_016:0647c22	乃傾破墮落。　須臾。有一人青衣峩冠。設拜師前。師曰。	乃 傾 破 墮 落 須 臾 有 一 人 青 衣 峩 冠 設 拜 師 前 師 曰 
X68n1319_016:0647c23	是甚麼人。　曰。我本此廟竈神。久受業報。今日蒙師說	是 甚 麼 人 曰 我 本 此 廟 竈 神 久 受 業 報 今 日 蒙 師 說 
X68n1319_016:0647c24	無生法。得脫此處。生在天中。特來致謝。　師曰。是汝本	無 生 法 得 脫 此 處 生 在 天 中 特 來 致 謝 師 曰 是 汝 本 
X68n1319_016:0648a01	有之性。非吾強言。神再禮而沒。　少選。侍僧問曰。某等	有 之 性 非 吾 強 言 神 再 禮 而 沒 少 選 侍 僧 問 曰 某 等 
X68n1319_016:0648a02	久侍和尚。不蒙示誨。竈神得甚麼徑旨。便得生天。　師	久 侍 和 尚 不 蒙 示 誨 竈 神 得 甚 麼 徑 旨 便 得 生 天 師 
X68n1319_016:0648a03	曰。我只向伊道是泥瓦合成。別也無道理為伊。侍僧	曰 我 只 向 伊 道 是 泥 瓦 合 成 別 也 無 道 理 為 伊 侍 僧 
X68n1319_016:0648a04	無言。　師曰。會麼。　僧曰。不會。　師曰。本有之性。為甚麼不	無 言 師 曰 會 麼 僧 曰 不 會 師 曰 本 有 之 性 為 甚 麼 不 
X68n1319_016:0648a05	會。侍僧等乃禮拜。　師曰。破也。破也。墮也。墮也。	會 侍 僧 等 乃 禮 拜 師 曰 破 也 破 也 墮 也 墮 也 
X68n1319_016:0648a06	嵩嶽元珪禪師	嵩 嶽 元 珪 禪 師 
X68n1319_016:0648a07	師得法安國師。隱於嶽之龐塢。一日。有神人率羣從	師 得 法 安 國 師 隱 於 嶽 之 龐 塢 一 日 有 神 人 率 羣 從 
X68n1319_016:0648a08	謁師。師覩其貌。奇偉非常。乃問曰。善來仁者。胡為而	謁 師 師 覩 其 貌 奇 偉 非 常 乃 問 曰 善 來 仁 者 胡 為 而 
X68n1319_016:0648a09	至。　彼曰。師寧識我耶。　師曰。吾觀佛與眾生等。吾一目	至 彼 曰 師 寧 識 我 耶 師 曰 吾 觀 佛 與 眾 生 等 吾 一 目 
X68n1319_016:0648a10	之。豈分別耶。　彼曰。吾此嶽神也。能生死於人。師安得	之 豈 分 別 耶 彼 曰 吾 此 嶽 神 也 能 生 死 於 人 師 安 得 
X68n1319_016:0648a11	一目我哉。　師曰。吾本不生。汝焉能死。吾視身與空等。	一 目 我 哉 師 曰 吾 本 不 生 汝 焉 能 死 吾 視 身 與 空 等 
X68n1319_016:0648a12	視吾與汝等。汝能壞空與汝乎。苟能壞空及汝。吾則	視 吾 與 汝 等 汝 能 壞 空 與 汝 乎 苟 能 壞 空 及 汝 吾 則 
X68n1319_016:0648a13	不生不滅也。汝尚不能如是。又安能生死吾耶。　神稽	不生不滅 也 汝 尚 不 能 如 是 又 安 能 生 死 吾 耶 神 稽 
X68n1319_016:0648a14	首曰。我亦聰明正直於餘神。詎知師有廣大之智辯	首 曰 我 亦 聰 明 正 直 於 餘 神 詎 知 師 有 廣 大 之 智 辯 
X68n1319_016:0648a15	乎。願授以正戒。令我度世。　師曰。汝既乞戒。即既戒也。	乎 願 授 以 正 戒 令 我 度 世 師 曰 汝 既 乞 戒 即 既 戒 也 
X68n1319_016:0648a16	所以者何。戒外無戒。又何戒哉。　神曰。此理也。我聞茫	所以者何 戒 外 無 戒 又 何 戒 哉 神 曰 此 理 也 我 聞 茫 
X68n1319_016:0648a17	昧。止求師戒我身為門弟子。　師即為張座。秉鑪正几。	昧 止 求 師 戒 我 身 為 門 弟 子 師 即 為 張 座 秉 鑪 正 几 
X68n1319_016:0648a18	曰。付汝五戒。若能奉持。即應曰能。不能。即曰否。　曰。謹	曰 付 汝 五 戒 若 能 奉 持 即 應 曰 能 不 能 即 曰 否 曰 謹 
X68n1319_016:0648a19	受教。　師曰。汝能不婬乎。　曰。我亦娶也。　師曰。非謂此也。	受 教 師 曰 汝 能 不 婬 乎 曰 我 亦 娶 也 師 曰 非 謂 此 也 
X68n1319_016:0648a20	謂無羅欲也。　曰。能。　師曰。汝能不盜乎。　曰。何乏我也。焉	謂 無 羅 欲 也 曰 能 師 曰 汝 能 不 盜 乎 曰 何 乏 我 也 焉 
X68n1319_016:0648a21	有盜取哉。　師曰。非謂此也。謂嚮而福淫。不供而禍善	有 盜 取 哉 師 曰 非 謂 此 也 謂 嚮 而 福 淫 不 供 而 禍 善 
X68n1319_016:0648a22	也。　曰。能。　師曰。汝能不殺乎。　曰。實司其柄。焉曰不殺。　師	也 曰 能 師 曰 汝 能 不 殺 乎 曰 實 司 其 柄 焉 曰 不 殺 師 
X68n1319_016:0648a23	曰。非謂此也。謂有濫悞疑混也。　曰。能。　師曰。汝能不妄	曰 非 謂 此 也 謂 有 濫 悞 疑 混 也 曰 能 師 曰 汝 能 不 妄 
X68n1319_016:0648a24	乎。　曰。我正直。焉有妄乎。　師曰。非謂此也。謂先後不合	乎 曰 我 正 直 焉 有 妄 乎 師 曰 非 謂 此 也 謂 先 後 不 合 
X68n1319_016:0648b01	天心也。　曰。能。　師曰。汝不遭酒敗乎。　曰。能。　師曰。如上是	天 心 也 曰 能 師 曰 汝 不 遭 酒 敗 乎 曰 能 師 曰 如 上 是 
X68n1319_016:0648b02	為佛戒也。又言。以有心奉持。而無心拘執。以有心為	為 佛 戒 也 又 言 以 有 心 奉 持 而 無 心 拘 執 以 有 心 為 
X68n1319_016:0648b03	物。而無心想身。能如是。則先天地生不為精。後天地	物 而 無 心 想 身 能 如 是 則 先 天 地 生 不 為 精 後 天 地 
X68n1319_016:0648b04	死不為老。終日變化而不為動。畢盡寂默而不為休。	死 不 為 老 終 日 變 化 而 不 為 動 畢 盡 寂 默 而 不 為 休 
X68n1319_016:0648b05	信此。則雖娶非妻也。雖嚮非取也。雖柄非權也。雖作	信 此 則 雖 娶 非 妻 也 雖 嚮 非 取 也 雖 柄 非 權 也 雖 作 
X68n1319_016:0648b06	非故也。雖醉非惽也。若能無心於萬物。則羅欲不為	非 故 也 雖 醉 非 惽 也 若 能 無 心 於 萬 物 則 羅 欲 不 為 
X68n1319_016:0648b07	淫。福淫禍善不為盜。濫悞疑混不為殺。先後違天不	淫 福 淫 禍 善 不 為 盜 濫 悞 疑 混 不 為 殺 先 後 違 天 不 
X68n1319_016:0648b08	為妄。惛荒顛倒不為醉。是謂無心也。無心則無戒。無	為 妄 惛 荒 顛 倒 不 為 醉 是 謂 無 心 也 無 心 則 無 戒 無 
X68n1319_016:0648b09	戒則無心．無佛．無眾生．無汝及無我。孰為戒哉。　神曰。	戒 則 無 心 無 佛 無 眾 生 無 汝 及 無 我 孰 為 戒 哉 神 曰 
X68n1319_016:0648b10	我神通亞佛。　師曰。汝神通十句。五能五不能。佛則十	我 神 通 亞 佛 師 曰 汝 神 通 十 句 五 能 五 不 能 佛 則 十 
X68n1319_016:0648b11	句。七能三不能。　神竦然避席。跪啟曰。可得聞乎。　師曰。	句 七 能 三 不 能 神 竦 然 避 席 跪 啟 曰 可 得 聞 乎 師 曰 
X68n1319_016:0648b12	汝能戾上帝。東天行而西七曜乎。　曰。不能。　師曰。汝能	汝 能 戾 上 帝 東 天 行 而 西 七 曜 乎 曰 不 能 師 曰 汝 能 
X68n1319_016:0648b13	奪地祇。融五嶽而結四海乎。　曰。不能。　師曰。是謂五不	奪 地 祇 融 五 嶽 而 結 四 海 乎 曰 不 能 師 曰 是 謂 五 不 
X68n1319_016:0648b14	能也。佛能空一切相。成萬法智。而不能即滅定業。佛	能 也 佛 能 空 一 切 相 成 萬 法 智 而 不 能 即 滅 定 業 佛 
X68n1319_016:0648b15	能知羣有性。窮億劫事。而不能化導無緣。佛能度無	能 知 羣 有 性 窮 億 劫 事 而 不 能 化 導 無 緣 佛 能 度 無 
X68n1319_016:0648b16	量有情。而不能盡眾生界。是為三不能也。定業亦不	量 有 情 而 不 能 盡 眾 生 界 是 為 三 不 能 也 定 業 亦 不 
X68n1319_016:0648b17	牢久。無緣亦是一期。眾生界本無增減。亘無一人能	牢 久 無 緣 亦 是 一 期 眾 生 界 本 無 增 減 亘 無 一 人 能 
X68n1319_016:0648b18	主其法。有法無主。是謂無法。無法無主。是謂無心。如	主 其 法 有 法 無 主 是 謂 無 法 無 法 無 主 是 謂 無 心 如 
X68n1319_016:0648b19	我解。佛亦無神通也。但能以無心通達一切法爾。　神	我 解 佛 亦 無 神 通 也 但 能 以 無 心 通達一切法 爾 神 
X68n1319_016:0648b20	曰。我誠淺昧。未聞空義。師所授戒。我當奉行。今願報	曰 我 誠 淺 昧 未 聞 空 義 師 所 授 戒 我 當 奉 行 今 願 報 
X68n1319_016:0648b21	慈德。效我所能。　師曰。我觀身無物。觀法無常。塊然更	慈 德 效 我 所 能 師 曰 我 觀 身 無 物 觀 法 無 常 塊 然 更 
X68n1319_016:0648b22	有何欲耶。　神曰。師必命我為世間事。展我小神功。使	有 何 欲 耶 神 曰 師 必 命 我 為 世 間 事 展 我 小 神 功 使 
X68n1319_016:0648b23	已發心．初發心．未發心．不信心．必信心五等人。目我	已 發 心 初 發 心 未 發 心 不 信 心 必 信 心 五 等 人 目 我 
X68n1319_016:0648b24	神踪。知有佛．有神．有能．有不能．有自然．有非自然者。	神 踪 知 有 佛 有 神 有 能 有 不 能 有 自 然 有 非 自 然 者 
X68n1319_016:0648c01	　師曰。無為是。無為是。　神曰。佛亦使神護法。師寧墮叛	 師 曰 無 為 是 無 為 是 神 曰 佛 亦 使 神 護 法 師 寧 墮 叛 
X68n1319_016:0648c02	佛耶。願隨意垂誨。　師不得已而言曰。東巖寺之障。莽	佛 耶 願 隨 意 垂 誨 師 不 得 已 而 言 曰 東 巖 寺 之 障 莽 
X68n1319_016:0648c03	然無樹。北岫有之。而背非屏擁。汝能移北樹於東嶺	然 無 樹 北 岫 有 之 而 背 非 屏 擁 汝 能 移 北 樹 於 東 嶺 
X68n1319_016:0648c04	乎。　神曰。已聞命矣。然昏夜必有喧動。願師無駭。即作	乎 神 曰 已 聞 命 矣 然 昏 夜 必 有 喧 動 願 師 無 駭 即 作 
X68n1319_016:0648c05	禮而去。　師門送而目觀之。見儀衛逶迤。如王者之狀。	禮 而 去 師 門 送 而 目 觀 之 見 儀 衛 逶 迤 如 王 者 之 狀 
X68n1319_016:0648c06	其夕。果有暴風吼雷。棟宇搖蕩。師曰。神言徵矣。眾可	其 夕 果 有 暴 風 吼 雷 棟 宇 搖 蕩 師 曰 神 言 徵 矣 眾 可 
X68n1319_016:0648c07	無怖。　詰旦和霽。則北巖松栝盡移東嶺。森然行植。師	無 怖 詰 旦 和 霽 則 北 巖 松 栝 盡 移 東 嶺 森 然 行 植 師 
X68n1319_016:0648c08	謂其徒曰。毋令外知。人將妖我。　曰。吾始居寺東嶺。吾	謂 其 徒 曰 毋 令 外 知 人 將 妖 我 曰 吾 始 居 寺 東 嶺 吾 
X68n1319_016:0648c09	滅。汝必置吾骸於彼。言訖。若委蛻焉。	滅 汝 必 置 吾 骸 於 彼 言 訖 若 委 蛻 焉 
X68n1319_016:0648c10	嵩山峻極和尚	嵩 山 峻 極 和 尚 
X68n1319_016:0648c11	僧問。如何是修善行人。　師曰。擔枷帶鎖。　曰。如何是作	僧 問 如 何 是 修 善 行 人 師 曰 擔 枷 帶 鎖 曰 如 何 是 作 
X68n1319_016:0648c12	惡行人。　師曰。修禪入定。　曰。某甲淺機。請師直指。　師曰。	惡 行 人 師 曰 修 禪 入 定 曰 某 甲 淺 機 請 師 直 指 師 曰 
X68n1319_016:0648c13	汝問我惡。惡不從善。汝問我善。善不從惡。僧良久。　師	汝 問 我 惡 惡 不 從 善 汝 問 我 善 善 不 從 惡 僧 良 久 師 
X68n1319_016:0648c14	曰。會麼。　曰。不會。　師曰。惡人無善念。善人無惡心。所以	曰 會 麼 曰 不 會 師 曰 惡 人 無 善 念 善 人 無 惡 心 所 以 
X68n1319_016:0648c15	道。善惡如浮雲。俱無起滅處。僧於言下大悟。　後破竈	道 善 惡 如 浮 雲 俱 無 起 滅 處 僧 於 言 下 大 悟 後 破 竈 
X68n1319_016:0648c16	墮聞舉。乃曰。此子會盡諸法無生。	墮 聞 舉 乃 曰 此 子 會 盡 諸 法 無 生 
X68n1319_016:0648c17	南陽慧忠國師	南 陽 慧 忠 國 師 
X68n1319_016:0648c18	西天大耳三藏到京。云得他心通。帝命師試驗三藏。	西 天 大 耳 三 藏 到 京 云 得 他 心 通 帝 命 師 試 驗 三 藏 
X68n1319_016:0648c19	纔見師。便禮拜。立於右邊。師問曰。汝得他心通那。　對	纔 見 師 便 禮 拜 立 於 右 邊 師 問 曰 汝 得 他 心 通 那 對 
X68n1319_016:0648c20	曰。不敢。　師曰。汝道老僧即今在甚麼處。　曰。和尚是一	曰 不 敢 師 曰 汝 道 老 僧 即 今 在 甚 麼 處 曰 和 尚 是 一 
X68n1319_016:0648c21	國之師。何得却去西川看競渡。　良久。再問。汝道老僧	國 之 師 何 得 却 去 西 川 看 競 渡 良 久 再 問 汝 道 老 僧 
X68n1319_016:0648c22	即今在甚麼處。　曰。和尚是一國之師。何得却在天津	即 今 在 甚 麼 處 曰 和 尚 是 一 國 之 師 何 得 却 在 天 津 
X68n1319_016:0648c23	橋上看弄猢猻。　師良久復問。汝道老僧只今在甚麼	橋 上 看 弄 猢 猻 師 良 久 復 問 汝 道 老 僧 只 今 在 甚 麼 
X68n1319_016:0648c24	處。藏罔測。　師叱曰。這野狐精。他心通在甚麼處。藏無	處 藏 罔 測 師 叱 曰 這 野 狐 精 他 心 通 在 甚 麼 處 藏 無 
X68n1319_016:0649a01	對。	對 
X68n1319_016:0649a02	一日。喚侍者。者應諾。如是三召。三應。師曰。將謂吾孤	一 日 喚 侍 者 者 應 諾 如 是 三 召 三 應 師 曰 將 謂 吾 孤 
X68n1319_016:0649a03	負汝。却是汝孤負吾。	負 汝 却 是 汝 孤 負 吾 
X68n1319_016:0649a04	南泉到參。師問。甚麼處來。　曰。江西來。　師曰。還將得馬	南 泉 到 參 師 問 甚 麼 處 來 曰 江 西 來 師 曰 還 將 得 馬 
X68n1319_016:0649a05	師真來否。　曰。只這是。　師曰。背後底呢。南泉便休。	師 真 來 否 曰 只 這 是 師 曰 背 後 底 呢 南 泉 便 休 
X68n1319_016:0649a06	丹霞來訪。值師睡次。乃問侍者耽源云。國師在否。　者	丹 霞 來 訪 值 師 睡 次 乃 問 侍 者 耽 源 云 國 師 在 否 者 
X68n1319_016:0649a07	曰。在即在。祇是不見客。　霞云。太深遠生。　者云。莫道上	曰 在 即 在 祇 是 不 見 客 霞 云 太 深 遠 生 者 云 莫 道 上 
X68n1319_016:0649a08	座。佛眼也覷不見。　霞云。龍生龍子。鳳生鳳兒。　師睡起。	座 佛 眼 也 覷 不 見 霞 云 龍 生 龍 子 鳳 生 鳳 兒 師 睡 起 
X68n1319_016:0649a09	侍者舉似師。師打二十棒趁出。丹霞聞。云。不謬為南	侍 者 舉 似 師 師 打 二 十 棒 趁 出 丹 霞 聞 云 不 謬 為 南 
X68n1319_016:0649a10	陽國師。	陽 國 師 
X68n1319_016:0649a11	師問紫璘供奉。甚處來。　云。城南來。　師云。城南草作何	師 問 紫 璘 供 奉 甚 處 來 云 城 南 來 師 云 城 南 草 作 何 
X68n1319_016:0649a12	色。　云。作黃色。　師乃問童子。城南草作何色。　云。作黃色。	色 云 作 黃 色 師 乃 問 童 子 城 南 草 作 何 色 云 作 黃 色 
X68n1319_016:0649a13	　師云。只這童子亦可簾前賜紫。對御談玄。	 師 云 只 這 童 子 亦 可 簾 前 賜 紫 對 御 談 玄 
X68n1319_016:0649a14	耽源應真禪師	耽 源 應 真 禪 師 
X68n1319_016:0649a15	吉州耽源山應真禪師。為國師侍者時。一日。國師在	吉 州 耽 源 山 應 真 禪 師 為 國 師 侍 者 時 一 日 國 師 在 
X68n1319_016:0649a16	法堂中。師入來。國師乃放下一足。師見便出。良久却	法 堂 中 師 入 來 國 師 乃 放 下 一 足 師 見 便 出 良 久 却 
X68n1319_016:0649a17	回。國師曰。適來意作麼生。　師曰。向阿誰說即得。　國師	回 國 師 曰 適 來 意 作 麼 生 師 曰 向 阿 誰 說 即 得 國 師 
X68n1319_016:0649a18	曰。我問你。　師曰。甚麼處見某甲。　師又問。百年後有人	曰 我 問 你 師 曰 甚 麼 處 見 某 甲 師 又 問 百 年 後 有 人 
X68n1319_016:0649a19	問極則事。如何。　國師曰。幸自可憐生。須要覓箇護身	問 極 則 事 如 何 國 師 曰 幸 自 可 憐 生 須 要 覓 箇 護 身 
X68n1319_016:0649a20	符子作麼。	符 子 作 麼 
X68n1319_016:0649a21	國師諱日設齋。有僧問曰。國師還來否。　師曰。未具他	國 師 諱 日 設 齋 有 僧 問 曰 國 師 還 來 否 師 曰 未 具 他 
X68n1319_016:0649a22	心。　曰。又用設齋作麼。　師曰。不斷世諦。	心 曰 又 用 設 齋 作 麼 師 曰 不 斷 世 諦 
X68n1319_016:0649a23	宋太宗皇帝	宋 太 宗 皇 帝 
X68n1319_016:0649a24	一日。幸相國寺。問看經僧曰。是甚麼經。　曰。仁王經。　曰。	一 日 幸 相 國 寺 問 看 經 僧 曰 是 甚 麼 經 曰 仁 王 經 曰 
X68n1319_016:0649b01	既是寡人經。因甚却在卿手裏。無對　幸開寶塔。問	既 是 寡 人 經 因 甚 却 在 卿 手 裏 無 對 幸 開 寶 塔 問 
X68n1319_016:0649b02	僧。卿是甚人。　曰。塔主。　曰。朕之塔。因甚卿作主。無對	僧 卿 是 甚 人 曰 塔 主 曰 朕 之 塔 因 甚 卿 作 主 無 對 
X68n1319_016:0649b03	　僧朝。宗問。甚處來。　曰。廬山臥雲庵。　曰。朕聞臥雲深處	 僧 朝 宗 問 甚 處 來 曰 廬 山 臥 雲 庵 曰 朕 聞 臥 雲 深 處 
X68n1319_016:0649b04	不朝天。因甚到此。無對　僧入對次。奏曰。陛下還記	不 朝 天 因 甚 到 此 無 對 僧 入 對 次 奏 曰 陛 下 還 記 
X68n1319_016:0649b05	得麼。　曰。甚處相見來。　曰。靈山一別。直至如今。　曰。以何	得 麼 曰 甚 處 相 見 來 曰 靈 山 一 別 直 至 如 今 曰 以 何 
X68n1319_016:0649b06	為驗。無對　京寺回祿。藏經燬。僧乞宣賜。召問。昔日	為 驗 無 對 京 寺 回 祿 藏 經 燬 僧 乞 宣 賜 召 問 昔 日 
X68n1319_016:0649b07	摩騰不燒。如今為甚却燒。無對　宗嘗夢神人報曰。	摩 騰 不 燒 如 今 為 甚 却 燒 無 對 宗 嘗 夢 神 人 報 曰 
X68n1319_016:0649b08	請陛下發菩提心。因早朝宣問左右街。菩提心作麼	請 陛 下 發菩提心 因 早 朝 宣 問 左 右 街 菩 提 心 作 麼 
X68n1319_016:0649b09	生發。無對。	生 發 無 對 
X68n1319_016:0649b10	茶陵郁山主	茶 陵 郁 山 主 
X68n1319_016:0649b11	師不曾行脚。因廬山有化士至。論及宗門中事。教看	師 不 曾 行 脚 因 廬 山 有 化 士 至 論 及 宗 門 中 事 教 看 
X68n1319_016:0649b12	僧問法燈。百尺竿頭如何進步。燈曰。噁。凡三年。一日。	僧 問 法 燈 百 尺 竿 頭 如 何 進 步 燈 曰 噁 凡 三 年 一 日 
X68n1319_016:0649b13	乘驢度橋。一蹋橋板而墮。忽然大悟。遂有頌云。我有	乘 驢 度 橋 一 蹋 橋 板 而 墮 忽 然 大 悟 遂 有 頌 云 我 有 
X68n1319_016:0649b14	神珠一顆。久被塵勞關鎖。今朝塵盡光生。照破山河	神 珠 一 顆 久 被 塵 勞 關 鎖 今 朝 塵 盡 光 生 照 破 山 河 
X68n1319_016:0649b15	萬朵。因茲更不遊方。	萬 朵 因 茲 更 不 遊 方 
X68n1319_016:0649b16	樓子和尚	樓 子 和 尚 
X68n1319_016:0649b17	師不知何許人。亦不知其名氏。一日。偶經遊街市間。	師 不 知 何 許 人 亦 不 知 其 名 氏 一 日 偶 經 遊 街 市 間 
X68n1319_016:0649b18	於酒樓下整韈帶次。聞樓上人唱曲云。你既無心我	於 酒 樓 下 整 韈 帶 次 聞 樓 上 人 唱 曲 云 你 既 無 心 我 
X68n1319_016:0649b19	便休。忽然大悟。因號樓子焉。	便 休 忽 然 大 悟 因 號 樓 子 焉 
X68n1319_016:0649b20	福州雲頂禪師	福 州 雲 頂 禪 師 
X68n1319_016:0649b21	有居士問。洞山道。有一物。上拄天。下拄地。未審是甚	有 居 士 問 洞 山 道 有 一 物 上 拄 天 下 拄 地 未 審 是 甚 
X68n1319_016:0649b22	麼物。　師曰。擔鐵枷。喫鐵棒。　曰。天地黑。山河走。　師曰。閻	麼 物 師 曰 擔 鐵 枷 喫 鐵 棒 曰 天 地 黑 山 河 走 師 曰 閻 
X68n1319_016:0649b23	老殿前添一鬼。北邙山下臥千年。　曰。快活。快活。　師曰。	老 殿 前 添 一 鬼 北 邙 山 下 臥 千 年 曰 快 活 快 活 師 曰 
X68n1319_016:0649b24	也是野狐吞老鼠。	也 是 野 狐 吞 老 鼠 
X68n1319_016:0649c01	無名老宿	無 名 老 宿 
X68n1319_016:0649c02	師一夏不為師僧說話。有僧歎曰。我祇恁麼空過一	師 一 夏 不 為 師 僧 說 話 有 僧 歎 曰 我 祇 恁 麼 空 過 一 
X68n1319_016:0649c03	夏。不敢望和尚說佛法。得聞正因兩字也得。　老宿聞。	夏 不 敢 望 和 尚 說 佛 法 得 聞 正 因 兩 字 也 得 老 宿 聞 
X68n1319_016:0649c04	乃曰。闍黎莫[斯/言]速。若論正因。一字也無。道了。扣齒云。	乃 曰 闍 黎 莫 [斯言] 速 若 論 正 因 一 字 也 無 道 了 扣 齒 云 
X68n1319_016:0649c05	適來無端。不合與麼道。　鄰壁有一老宿聞。曰。好一釜	適 來 無 端 不 合 與 麼 道 鄰 壁 有 一 老 宿 聞 曰 好 一 釜 
X68n1319_016:0649c06	羮。被一顆鼠糞污却。	羮 被 一 顆 鼠 糞 污 却 
X68n1319_016:0649c07	無名婆子	無 名 婆 子 
X68n1319_016:0649c08	婆子供養一庵主。經二十年。常令一二八女子送飯	婆 子 供 養 一 庵 主 經 二 十 年 常 令 一 二 八 女 子 送 飯 
X68n1319_016:0649c09	給侍。一日。令女子抱定曰。正恁麼時如何。　主曰。枯木	給 侍 一 日 令 女 子 抱 定 曰 正 恁 麼 時 如 何 主 曰 枯 木 
X68n1319_016:0649c10	倚寒巖。三冬無煖氣。　女子舉似婆。婆曰。我二十年祇	倚 寒 巖 三 冬 無 煖 氣 女 子 舉 似 婆 婆 曰 我 二 十 年 祇 
X68n1319_016:0649c11	供養得箇俗漢。遂遣出。燒却庵。	供 養 得 箇 俗 漢 遂 遣 出 燒 却 庵 
X68n1319_016:0649c12	有一僧參米胡。路逢一婆住庵。僧問。婆有眷屬否。　曰。	有 一 僧 參 米 胡 路 逢 一 婆 住 庵 僧 問 婆 有 眷 屬 否 曰 
