T85n2761_001:0253b02	勝鬘義記	勝 鬘 義 記 
T85n2761_001:0257c06	際等住者。此二明法體常。無限大悲無限安	際 等 住 者 此 二 明 法 體 常 無 限 大 悲 無 限 安 
T85n2761_001:0257c07	慰世間者。此二句明化被無窮。是名善說如	慰 世 間 者 此 二 句 明 化 被 無 窮 是 名 善 說 如 
T85n2761_001:0257c08	來者。稱說如來化被無窮者得佛之實故名	來 者 稱 說 如 來 化 被 無 窮 者 得 佛 之 實 故 名 
T85n2761_001:0257c09	為善。若說如來化盡雙樹者失佛之實不得	為 善 若 說 如 來 化 盡 雙 樹 者 失 佛 之 實 不 得 
T85n2761_001:0257c10	名善也　無盡法常住法者。稱說如來體。是	名 善 也 無 盡 法 常 住 法 者 稱 說 如 來 體 是 
T85n2761_001:0257c11	常住者。亦得為佛實得為善也。若說如來壽	常 住 者 亦 得 為 佛 實 得 為 善 也 若 說 如 來 壽 
T85n2761_001:0257c12	盡雙樹丈六身者不名為善也。一切世間之	盡 雙 樹 丈 六 身 者 不 名 為 善 也 一切世間 之 
T85n2761_001:0257c13	所依者。法身常而能實被知依此者為最真	所 依 者 法 身 常 而 能 實 被 知 依 此 者 為 最 真 
T85n2761_001:0257c14	實也。二乘昔來歸依丈六應現化佛以之為	實 也 二 乘 昔 來 歸 依 丈 六 應 現 化 佛 以 之 為 
T85n2761_001:0257c15	實。今說法身常住之佛為大士。故知二乘未	實 今 說 法 身 常 住 之 佛 為 大 士 故 知 二 乘 未 
T85n2761_001:0257c16	歸真佛也。是故未度世間者。生死未除也。無	歸 真 佛 也 是 故 未 度 世 間 者 生 死 未 除 也 無 
T85n2761_001:0257c17	依世間者。善未滿足故無依也。與後際等作	依 世 間 者 善 未 滿 足 故 無 依 也 與 後 際 等 作 
T85n2761_001:0257c18	無盡歸依者。如來法身盡未際。常與眾生作	無 盡 歸 依 者 如來法身 盡 未 際 常 與 眾 生 作 
T85n2761_001:0257c19	歸依。處常住歸依處常住歸依者。謂如來等	歸 依 處 常 住 歸 依 處 常 住 歸 依 者 謂 如 來 等 
T85n2761_001:0257c20	正覺者。是法身佛也。出真依體明常住佛寶	正 覺 者 是 法 身 佛 也 出 真 依 體 明 常 住 佛 寶 
T85n2761_001:0257c21	訖於此也法者即是說一乘道僧者是三乘眾	訖 於 此 也 法 者 即 是 說 一 乘 道 僧 者 是 三 乘 眾 
T85n2761_001:0257c22	者。此明昔說法僧不真萬善為法寶。三乘人	者 此 明 昔 說 法 僧 不 真 萬 善 為 法 寶 三 乘 人 
T85n2761_001:0257c23	以為僧寶。此明是二乘。昔來所依也。非究	以 為 僧 寶 此 明 是 二 乘 昔 來 所 依 也 非 究 
T85n2761_001:0257c24	竟歸依者。未乞常住一體法僧也。名少分者。	竟 歸 依 者 未 乞 常 住 一 體 法 僧 也 名 少 分 者 
T85n2761_001:0257c25	雖曰無常是聖故可暫依也。何以故者。何以	雖 曰 無 常 是 聖 故 可 暫 依 也 何 以 故 者 何 以 
T85n2761_001:0257c26	少分者也。說一乘道法得究竟法者。釋法是	少 分 者 也 說 一 乘 道 法 得 究 竟 法 者 釋 法 是 
T85n2761_001:0257c27	少分。與究竟作因故知少分也。於上更無說	少 分 與 究 竟 作 因 故 知 少 分 也 於 上 更 無 說 
T85n2761_001:0257c28	一乘道法得究竟法事者。於佛地上更無所	一 乘 道 法 得 究 竟 法 事 者 於 佛 地 上 更 無 所 
T85n2761_001:0257c29	求也。三乘眾者有恐怖者。釋僧是少分。生死	求 也 三 乘 眾 者 有 恐 怖 者 釋 僧 是 少 分 生 死 
T85n2761_001:0258a01	未除煩惱未盡。求出眾惡修行萬善向無上	未 除 煩 惱 未 盡 求 出 眾 惡 修 行 萬 善 向 無 上 
T85n2761_001:0258a02	道故名少分也。是故二依境是有限。依辨結	道 故 名 少 分 也 是 故 二 依 境 是 有 限 依 辨 結 
T85n2761_001:0258a03	法僧是少分也。可盡之法可捨之聖名有限	法 僧 是 少 分 也 可 盡 之 法 可 捨 之 聖 名 有 限 
T85n2761_001:0258a04	也。若有眾生如來調伏。明為二乘說。於昔	也 若 有 眾 生 如 來 調 伏 明 為 二 乘 說 於 昔 
T85n2761_001:0258a05	日三歸之如來初現化也。邪眾生令信三寶	日 三 歸 之 如 來 初 現 化 也 邪 眾 生 令 信 三 寶 
T85n2761_001:0258a06	也。歸依如來者丈六佛也。得法津澤者。受行	也 歸 依 如 來 者 丈 六 佛 也 得 法 津 澤 者 受 行 
T85n2761_001:0258a07	佛教也。生信樂心者。信有善法及聖人也。歸	佛 教 也 生 信 樂 心 者 信 有 善 法 及 聖 人 也 歸 
T85n2761_001:0258a08	依僧者受持二歸也。一乘為法三乘聖為僧	依 僧 者 受 持 二 歸 也 一 乘 為 法 三 乘 聖 為 僧 
T85n2761_001:0258a09	也。是三歸依者稱法僧也。舉此二歸明於歸	也 是 三 歸 依 者 稱 法 僧 也 舉 此 二 歸 明 於 歸 
T85n2761_001:0258a10	佛也。非此二歸依是歸依如來者。上稱此非	佛 也 非 此 二 歸 依 是 歸 依 如 來 者 上 稱 此 非 
T85n2761_001:0258a11	者。欲明昔歸法僧之人。歸於丈六不知歸於	者 欲 明 昔 歸 法 僧 之 人 歸 於 丈 六 不 知 歸 於 
T85n2761_001:0258a12	法身如來也。歸依第一義者是歸依如來者。	法 身 如 來 也 歸 依 第 一 義 者 是 歸 依 如 來 者 
T85n2761_001:0258a13	法身常住名第一義天也。若知歸此真歸佛	法 身 常 住 名 第 一 義 天 也 若 知 歸 此 真 歸 佛 
T85n2761_001:0258a14	也。此二歸依第一義是究竟歸依如來者。此	也 此 二 歸 依 第 一 義 是 究 竟 歸 依 如 來 者 此 
T85n2761_001:0258a15	二歸依法僧之人者。知歸依法身即歸一體	二 歸 依 法 僧 之 人 者 知 歸 依 法 身 即 歸 一 體 
T85n2761_001:0258a16	佛法僧也。何以故者。以歸佛便得法僧也。無	佛 法 僧 也 何 以 故 者 以 歸 佛 便 得 法 僧 也 無 
T85n2761_001:0258a17	異二歸依者。體既無別歸一得二也。如來即	異 二 歸 依 者 體 既 無 別 歸 一 得 二 也 如 來 即 
T85n2761_001:0258a18	三歸依者。大覺名佛。可軌名法。體常和順	三 歸 依 者 大 覺 名 佛 可 軌 名 法 體 常 和 順 
T85n2761_001:0258a19	故名為僧也。佛地圓滿故。備此三學地未足	故 名 為 僧 也 佛 地 圓 滿 故 備 此 三 學 地 未 足 
T85n2761_001:0258a20	別體受名也。二乘知昧為說麁顯體別三歸	別 體 受 名 也 二 乘 知 昧 為 說 麁 顯 體 別 三 歸 
T85n2761_001:0258a21	菩薩知明為說法身體一三寶也。何以故者。	菩 薩 知 明 為 說 法 身 體 一 三 寶 也 何 以 故 者 
T85n2761_001:0258a22	何以體一而有三名也。說一乘道法者。釋所	何 以 體 一 而 有 三 名 也 說 一 乘 道 法 者 釋 所 
T85n2761_001:0258a23	以三意乘體是一隨人說三也。所以引此凡	以 三 意 乘 體 是 一 隨 人 說 三 也 所 以 引 此 凡 
T85n2761_001:0258a24	有二意。一以證義。二以歸宗也。如來四無畏	有 二 意 一 以 證 義 二 以 歸 宗 也 如 來 四 無 畏 
T85n2761_001:0258a25	者。此明如來達解無礙故。能隨人於一說三。	者 此 明 如 來 達 解 無 礙 故 能 隨 人 於 一 說 三 
T85n2761_001:0258a26	若如來隨彼所欲而方便說者。此明如來不	若 如 來 隨 彼 所 欲 而 方 便 說 者 此 明 如 來 不 
T85n2761_001:0258a27	妄說法人好不同方便說法人好不同方便說	妄 說 法 人 好 不 同 方 便 說 法 人 好 不 同 方 便 說 
T85n2761_001:0258a28	三了。即是大乘者。乘名雖三體實一大也。無	三 了 即 是 大 乘 者 乘 名 雖 三 體 實 一 大 也 無 
T85n2761_001:0258a29	有二乘者無二乘法。入於一乘者。既無別法。	有 二 乘 者 無 二 乘 法 入 於 一 乘 者 既 無 別 法 
T85n2761_001:0258b01	豈得不入此章之稱。無歸此文一乘者。即第	豈 得 不 入 此 章 之 稱 無 歸 此 文 一 乘 者 即 第 
T85n2761_001:0258b02	一義乘者。唯或法身更無異趣也。	一 義 乘 者 唯 或 法 身 更 無 異 趣 也 
T85n2761_001:0258b03	聲聞緣覺初觀聖諦者。第六經名也。聖諦之	聲 聞 緣 覺 初 觀 聖 諦 者 第 六 經 名 也 聖 諦 之 
T85n2761_001:0258b04	始也。將明諦有精麁。先辨智有明昧。諦既精	始 也 將 明 諦 有 精 麁 先 辨 智 有 明 昧 諦 既 精 
T85n2761_001:0258b05	麁。學亦有漸。始觀麁諦名之為初也。以一	麁 學 亦 有 漸 始 觀 麁 諦 名 之 為 初 也 以 一 
T85n2761_001:0258b06	智斷諸住地者。一切斷結智同一無礙故名	智 斷 諸 住 地 者 一 切 斷 結 智 同 一 無 礙 故 名 
T85n2761_001:0258b07	一智也。又一解觀一滅諦斷結智也。以一智	一 智 也 又 一 解 觀 一 滅 諦 斷 結 智 也 以 一 智 
T85n2761_001:0258b08	四斷知功德作證者。一切證結盡智同一解	四 斷 知 功 德 作 證 者 一 切 證 結 盡 智 同 一 解 
T85n2761_001:0258b09	脫名也。又一解觀一滅諦證結智也。亦善知	脫 名 也 又 一 解 觀 一 滅 諦 證 結 智 也 亦 善 知 
T85n2761_001:0258b10	也。此四法義者。分明了了見四真諦也。又一	也 此 四 法 義 者 分 明 了 了 見 四 真 諦 也 又 一 
T85n2761_001:0258b11	解欲觀滅諦須先觀四也。無有出世間上上	解 欲 觀 滅 諦 須 先 觀 四 也 無 有 出 世 間 上 上 
T85n2761_001:0258b12	智四智漸至及四緣漸至者。明佛智滿足無	智 四 智 漸 至 及 四 緣 漸 至 者 明 佛 智 滿 足 無 
T85n2761_001:0258b13	漸增進。世間有二。一分段身。二變易法。如	漸 增 進 世 間 有 二 一 分 段 身 二 變 易 法 如 
T85n2761_001:0258b14	來已離名之為出大士。二乘在凡夫上如來	來 已 離 名 之 為 出 大 士 二 乘 在 凡 夫 上 如 來 
T85n2761_001:0258b15	復勝故名上上也。捨苦觀習乃至捨滅觀道	復 勝 故 名 上 上 也 捨 苦 觀 習 乃 至 捨 滅 觀 道 
T85n2761_001:0258b16	境智異時故名為漸。如來一智圓照諸法不	境 智 異 時 故 名 為 漸 如 來 一 智 圓 照 諸 法 不 
T85n2761_001:0258b17	名漸至法。是出世間上上智者。前明非漸。此	名 漸 至 法 是 出 世 間 上 上 智 者 前 明 非 漸 此 
T85n2761_001:0258b18	明圓照也。金剛喻者是第一義智者。此明斷	明 圓 照 也 金 剛 喻 者 是 第一義智 者 此 明 斷 
T85n2761_001:0258b19	結不同。二乘種智大解滅一切。或非聲聞緣	結 不 同 二 乘 種 智 大 解 滅 一 切 或 非 聲 聞 緣 
T85n2761_001:0258b20	覺訖第一義智。此明二乘不斷無明住地煩	覺 訖 第一義智 此 明 二 乘 不 斷 無明住地 煩 
T85n2761_001:0258b21	惱。始觀三界麁四聖諦不得第一種智之名	惱 始 觀 三 界 麁 四 聖 諦 不 得 第 一 種 智 之 名 
T85n2761_001:0258b22	也。以無二聖諦智斷諸住地者。此明佛智也。	也 以 無 二 聖 諦 智 斷 諸 住 地 者 此 明 佛 智 也 
T85n2761_001:0258b23	唯觀無作更不慮作故言無二。四住無明一	唯 觀 無 作 更 不 慮 作 故 言 無 二 四 住 無 明 一 
T85n2761_001:0258b24	切都盡名諸住地也。非聲聞緣覺境界者。佛	切 都 盡 名 諸 住 地 也 非 聲 聞 緣 覺 境 界 者 佛 
T85n2761_001:0258b25	地幽微非二乘所及也。不思議空智者。法身	地 幽 微 非 二 乘 所 及 也 不 思 議 空 智 者 法 身 
T85n2761_001:0258b26	難測不思議也。眾患悉除為空智也。是究竟	難 測 不 思 議 也 眾 患 悉 除 為 空 智 也 是 究 竟 
T85n2761_001:0258b27	智者。累盡智周寂然無事二義以訖。是以結	智 者 累 盡 智 周 寂 然 無 事 二 義 以 訖 是 以 結 
T85n2761_001:0258b28	之。初聖諦智者。二乘之人見理不周除患未	之 初 聖 諦 智 者 二 乘 之 人 見 理 不 周 除 患 未 
T85n2761_001:0258b29	盡。方須涉求向無上道結二乘智也。聖義者	盡 方 須 涉 求 向 無 上 道 結 二 乘 智 也 聖 義 者 
T85n2761_001:0258c01	訖名之為聖。此明二乘聖名未真。功德薄少	訖 名 之 為 聖 此 明 二 乘 聖 名 未 真 功 德 薄 少 
T85n2761_001:0258c02	故言有量少分也。聖諦者非聲聞緣覺諦者。	故 言 有 量 少 分 也 聖 諦 者 非 聲 聞 緣 覺 諦 者 
T85n2761_001:0258c03	已明聖名未真。今明知諦未盡也。無作無邊	已 明 聖 名 未 真 今 明 知 諦 未 盡 也 無 作 無 邊 
T85n2761_001:0258c04	二乘未解也。非聲聞功德者。盡道是善能生	二 乘 未 解 也 非 聲 聞 功 德 者 盡 道 是 善 能 生 
T85n2761_001:0258c05	善也。初始覺知者。始成佛時方得知盡也。開	善 也 初 始 覺 知 者 始 成 佛 時 方 得 知 盡 也 開 
T85n2761_001:0258c06	示演說者為未知者說使解也。說甚深義微	示 演 說 者 為 未 知 者 說 使 解 也 說 甚 深 義 微 
T85n2761_001:0258c07	細難知者。有為諸法事相眾多。隨類麁細可	細 難 知 者 有 為 諸 法 事 相 眾 多 隨 類 麁 細 可 
T85n2761_001:0258c08	有其二。一者麁顯。二者微細。三界結縛名	有 其 二 一 者 麁 顯 二 者 微 細 三 界 結 縛 名 
T85n2761_001:0258c09	之為麁。此法受切名為麁。苦能生名習。斷處	之 為 麁 此 法 受 切 名 為 麁 苦 能 生 名 習 斷 處 
T85n2761_001:0258c10	名滅。觀知名道。為二乘人說此四也。不繫三	名 滅 觀 知 名 道 為 二 乘 人 說 此 四 也 不 繫 三 
T85n2761_001:0258c11	界八住乘法身以上至金剛心所觀諸法名之	界 八 住 乘 法 身 以 上 至 金 剛 心 所 觀 諸 法 名 之 
T85n2761_001:0258c12	為細也　此法受切名為細。苦能生名習。斷處	為 細 也 此 法 受 切 名 為 細 苦 能 生 名 習 斷 處 
T85n2761_001:0258c13	名滅。觀智名道。佛地無為亦入滅諦。理深義	名 滅 觀 智 名 道 佛 地 無 為 亦 入 滅 諦 理 深 義 
T85n2761_001:0258c14	遠自非大士無由得知。不以空無微細也。非	遠 自 非 大 士 無 由 得 知 不 以 空 無 微 細 也 非 
T85n2761_001:0258c15	思量境界者。不以二乘可思議智作境界也。	思 量 境 界 者 不 以 二 乘 可 思 議 智 作 境 界 也 
T85n2761_001:0258c16	是智者所知者除四住結智惠憎明乃能解	是 智 者 所 知 者 除 四 住 結 智 惠 憎 明 乃 能 解 
T85n2761_001:0258c17	也。一切世間所不能信者。轉迴六趣者。不能	也 一切世間 所 不 能 信 者 轉 迴 六 趣 者 不 能 
T85n2761_001:0258c18	知有無作諦也。此說如來甚深之藏者。佛性	知 有 無 作 諦 也 此 說 如 來 甚 深 之 藏 者 佛 性 
T85n2761_001:0258c19	之異名。體不改變為性。備含眾德為藏。滅諦	之 異 名 體 不 改 變 為 性 備 含 眾 德 為 藏 滅 諦 
T85n2761_001:0258c20	所攝故以釋之也。如來藏者是如來境界者。	所 攝 故 以 釋 之 也 如 來 藏 者 是 如來境界 者 
T85n2761_001:0258c21	第七經名也。唯佛明了耳。	第 七 經 名 也 唯 佛 明 了 耳 
T85n2761_001:0258c22	若於無量煩惱者。第八經始也。諸煩惱積聚	若 於 無 量 煩 惱 者 第 八 經 始 也 諸 煩 惱 積 聚 
T85n2761_001:0258c23	為藏也。所纏如來藏者。眾生佛性也。法身亦	為 藏 也 所 纏 如 來 藏 者 眾 生 佛 性 也 法 身 亦 
T85n2761_001:0258c24	無疑惑者。如來佛性者能信或累眾生有大	無 疑 惑 者 如 來 佛 性 者 能 信 或 累 眾 生 有 大 
T85n2761_001:0258c25	明之性者必能信知無或之解者。有大明也。	明 之 性 者 必 能 信 知 無 或 之 解 者 有 大 明 也 
T85n2761_001:0258c26	於說如來藏訖及方便者。於二性無疑者。必	於 說 如 來 藏 訖 及 方 便 者 於 二 性 無 疑 者 必 
T85n2761_001:0258c27	能方便為人說也。此則信解說二聖者。解有	能 方 便 為 人 說 也 此 則 信 解 說 二 聖 者 解 有 
T85n2761_001:0258c28	二性。能解二種諦也。知作諦者名眾生佛性。	二 性 能 解 二 種 諦 也 知 作 諦 者 名 眾 生 佛 性 
T85n2761_001:0258c29	解無作諦得如來佛性。既知性有二種。必能	解 無 作 諦 得 如 來 佛 性 既 知 性 有 二 種 必 能 
T85n2761_001:0259a01	知諦有二種也。如是難知難解者。此下解釋	知 諦 有 二 種 也 如 是 難 知 難 解 者 此 下 解 釋 
T85n2761_001:0259a02	二種諦義也。作聖諦義無作聖諦義者。可學	二 種 諦 義 也 作 聖 諦 義 無 作 聖 諦 義 者 可 學 
T85n2761_001:0259a03	名作。不可學名無作。教無教之異名。是說有	名 作 不 可 學 名 無 作 教 無 教 之 異 名 是 說 有 
T85n2761_001:0259a04	量四聖諦者。三界因果各有定期名為有量	量 四 聖 諦 者 三 界 因 果 各 有 定 期 名 為 有 量 
T85n2761_001:0259a05	也。非因他能知一切苦說一切道。此一解由	也 非 因 他 能 知 一 切 苦 說 一 切 道 此 一 解 由 
T85n2761_001:0259a06	於教教得知三界少分四諦也。非是自解智	於 教 教 得 知 三 界 少 分 四 諦 也 非 是 自 解 智 
T85n2761_001:0259a07	慧之力知於一切無作四諦也。有有為生死	慧 之 力 知 於 一 切 無 作 四 諦 也 有 有 為 生 死 
T85n2761_001:0259a08	者無為生死者。諦既有有生死亦然。凡夫輪	者 無 為 生 死 者 諦 既 有 有 生 死 亦 然 凡 夫 輪 
T85n2761_001:0259a09	轉未斷煩惱名為有也。二乘已斷三界四住	轉 未 斷 煩 惱 名 為 有 也 二 乘 已 斷 三 界 四 住 
T85n2761_001:0259a10	名無為也。涅槃亦二種有餘及無餘者。分段	名 無 為 也 涅 槃 亦 二 種 有 餘 及 無 餘 者 分 段 
T85n2761_001:0259a11	生身名有餘也。能以自力知一切受苦訖受	生 身 名 有 餘 也 能 以 自 力 知 一 切 受 苦 訖 受 
T85n2761_001:0259a12	滅道得法身者。智慧轉明自解力多師承義	滅 道 得 法 身 者 智 慧 轉 明 自 解 力 多 師 承 義 
T85n2761_001:0259a13	少。究竟明見四諦理盡也。如來說四聖諦者。	少 究 竟 明 見 四 諦 理 盡 也 如 來 說 四 聖 諦 者 
T85n2761_001:0259a14	名同理順故。守其四隨法麁細故有其八也。	名 同 理 順 故 守 其 四 隨 法 麁 細 故 有 其 八 也 
T85n2761_001:0259a15	如來應等正覺事究竟者。無作之理。唯佛能	如 來 應 等 正 覺 事 究 竟 者 無 作 之 理 唯 佛 能 
T85n2761_001:0259a16	盡。非是二乘所能究也。何以故者。何二乘	盡 非 是 二 乘 所 能 究 也 何 以 故 者 何 二 乘 
T85n2761_001:0259a17	不於無得究竟也。非下中上法得涅槃者。釋	不 於 無 得 究 竟 也 非 下 中 上 法 得涅槃者 釋 
T85n2761_001:0259a18	所以也。二乘若得無作究竟所得涅槃應同	所 以 也 二 乘 若 得 無 作 究 竟 所 得 涅 槃 應 同 
T85n2761_001:0259a19	佛。無餘無下中上。若以聲聞為下。緣覺為	佛 無 餘 無 下 中 上 若 以 聲 聞 為 下 緣 覺 為 
T85n2761_001:0259a20	中。佛為上者。故知二乘不得同佛觀無作諦	中 佛 為 上 者 故 知 二 乘 不 得 同 佛 觀 無 作 諦 
T85n2761_001:0259a21	也。何以如來說事究竟。此明如來。何以故能	也 何 以 如 來 說 事 究 竟 此 明 如 來 何 以 故 能 
T85n2761_001:0259a22	於無作究竟以一切如來者諸佛也。知一切	於 無 作 究 竟 以 一 切 如 來 者 諸 佛 也 知 一 切 
T85n2761_001:0259a23	未來苦者。知一切法也。未來難知。二世易解。	未 來 苦 者 知一切法 也 未 來 難 知 二 世 易 解 
T85n2761_001:0259a24	是以不別一切煩惱所攝受一切集者。四住	是 以 不 別 一切煩惱 所 攝 受 一 切 集 者 四 住 
T85n2761_001:0259a25	恒沙起及無明為一切也。一切盡是集諦法	恒 沙 起 及 無 明 為 一 切 也 一 切 盡 是 集 諦 法 
T85n2761_001:0259a26	也。滅一切意生身陰。一切苦滅作證者。意	也 滅 一 切 意 生 身 陰 一 切 苦 滅 作 證 者 意 
T85n2761_001:0259a27	生身盡分段亦除在後滅故。就之立言也。非	生 身 盡 分 段 亦 除 在 後 滅 故 就 之 立 言 也 非 
T85n2761_001:0259a28	壞法故名為共滅者。非是分段意生變易無	壞 法 故 名 為 共 滅 者 非 是 分 段 意 生 變 易 無 
T85n2761_001:0259a29	常破壞念念生滅也。所言苦滅者是常住滅	常 破 壞 念念生滅 也 所 言 苦 滅 者 是 常 住 滅 
T85n2761_001:0259b01	也。無始者不始生也。無作者非造作也。無作	也 無 始 者 不 始 生 也 無 作 者 非 造 作 也 無 作 
T85n2761_001:0259b02	者非造作也。無起者動也。無盡者無終滅也。	者 非 造 作 也 無 起 者 動 也 無 盡 者 無 終 滅 也 
T85n2761_001:0259b03	離盡者無盡相也。常住者湛然也。自性清淨	離 盡 者 無 盡 相 也 常 住 者 湛 然 也 自 性 清 淨 
T85n2761_001:0259b04	者無諸惡也。離一切煩惱藏者略說一患也。	者 無 諸 惡 也 離 一切煩惱藏 者 略 說 一 患 也 
T85n2761_001:0259b05	過於恒沙不離者此明佛性也。未免生死也。	過 於 恒 沙 不 離 者 此 明 佛 性 也 未 免 生 死 也 
T85n2761_001:0259b06	不脫者未免煩惱也。不異者未與世間超然	不 脫 者 未 免 煩 惱 也 不 異 者 未 與 世 間 超 然 
T85n2761_001:0259b07	殊別也。不思議佛法者是佛性也。明佛性訖	殊 別 也 不 思 議 佛 法 者 是 佛 性 也 明 佛 性 訖 
T85n2761_001:0259b08	說如來法身者。行滿惡除種智現用。此明法	說 如來法身 者 行 滿 惡 除 種 智 現 用 此 明 法 
T85n2761_001:0259b09	身也。不離煩惱藏明如來藏者。此明性也。眾	身 也 不 離 煩 惱 藏 明 如 來 藏 者 此 明 性 也 眾 
T85n2761_001:0259b10	生佛性未是累表也。所以在法身文中說眾	生 佛 性 未 是 累 表 也 所 以 在 法 身 文 中 說 眾 
T85n2761_001:0259b11	生佛性也。欲明眾生佛性如來佛性體同無	生 佛 性 也 欲 明 眾 生 佛 性 如 來 佛 性 體 同 無 
T85n2761_001:0259b12	異。所以眾生當有如來已有故有種也。如來	異 所 以 眾 生 當 有 如 來 已 有 故 有 種 也 如 來 
T85n2761_001:0259b13	藏智者如來佛性也。是如來空智者無生生	藏 智 者 如 來 佛 性 也 是 如 來 空 智 者 無 生 生 
T85n2761_001:0259b14	煩惱一切相累。直舉前句為明此義。如來藏	煩 惱 一 切 相 累 直 舉 前 句 為 明 此 義 如 來 藏 
T85n2761_001:0259b15	者。復舉此句者。欲明三乘行人未見未得也。	者 復 舉 此 句 者 欲 明 三 乘 行 人 未 見 未 得 也 
T85n2761_001:0259b16	有二種者第九經名也。如來藏者眾生佛性。	有 二 種 者 第 九 經 名 也 如 來 藏 者 眾 生 佛 性 
T85n2761_001:0259b17	是一種也。空智者如來佛性。是二種也。空如	是 一 種 也 空 智 者 如 來 佛 性 是 二 種 也 空 如 
T85n2761_001:0259b18	來藏者。若離說一切煩惱藏。此解空智也。	來 藏 者 若 離 說 一切煩惱藏 此 解 空 智 也 
T85n2761_001:0259b19	不空如來訖不思議佛性法。此明眾生佛性	不 空 如 來 訖 不 思 議 佛 性 法 此 明 眾 生 佛 性 
T85n2761_001:0259b20	也。此二者此上二種性空智諸大聲聞者。無	也 此 二 者 此 上 二 種 性 空 智 諸 大 聲 聞 者 無 
T85n2761_001:0259b21	四住分段為空智也。菩薩有大心聞一乘也。	四 住 分 段 為 空 智 也 菩 薩 有 大 心 聞 一 乘 也 
T85n2761_001:0259b22	能信如來者。大士明智能信佛說二種佛性	能 信 如 來 者 大 士 明 智 能 信 佛 說 二 種 佛 性 
T85n2761_001:0259b23	也。一切阿羅漢說境界轉二乘之人。雖無四	也 一 切 阿 羅 漢 說 境 界 轉 二 乘 之 人 雖 無 四 
T85n2761_001:0259b24	住分段生死。於四無作諦未能照了。於二種	住 分段生死 於 四 無 作 諦 未 能 照 了 於 二 種 
T85n2761_001:0259b25	佛性亦未能解也。本所不見者。二乘大殊。能	佛 性 亦 未 能 解 也 本所不見 者 二 乘 大 殊 能 
T85n2761_001:0259b26	解無作諦二種佛性也。本所不得者。無無作	解 無 作 諦 二 種 佛 性 也 本 所 不 得 者 無 無 作 
T85n2761_001:0259b27	在心而行也。未得佛性用在已也。一切苦滅	在 心 而 行 也 未 得 佛 性 用 在 已 也 一 切 苦 滅 
T85n2761_001:0259b28	唯佛得證者。眾苦悉除。唯佛能爾也。湛然常	唯 佛 得 證 者 眾 苦 悉 除 唯 佛 能 爾 也 湛 然 常 
T85n2761_001:0259b29	存此可名為真滅諦。修一切苦道者。此結道	存 此 可 名 為 真 滅 諦 修 一 切 苦 道 者 此 結 道 
T85n2761_001:0259c01	諦也。斷煩惱盡須具智慧。道諦滿足者無過	諦 也 斷 煩 惱 盡 須 具 智 慧 道 諦 滿 足 者 無 過 
T85n2761_001:0259c02	佛地。	佛 地 
T85n2761_001:0259c03	三是無常一是常者。第十經名也。非第一義	三 是 無 常 一 是 常 者 第 十 經 名 也 非 第 一 義 
T85n2761_001:0259c04	諦者。以常住者為第一義。三諦無常故言非	諦 者 以 常 住 者 為 第 一 義 三 諦 無 常 故 言 非 
T85n2761_001:0259c05	也。	也 
T85n2761_001:0259c06	一苦滅諦離有為相者。第十一經名也。過一	一 苦 滅 諦 離 有 為 相 者 第 十 一 經 名 也 過 一 
T85n2761_001:0259c07	切眾生心識所緣者。凡夫無智。何能得知也。	切 眾 生 心 識 所 緣 者 凡 夫 無 智 何 能 得 知 也 
T85n2761_001:0259c08	亦非阿羅漢辟支佛智慧境界者。二乘智劣	亦 非 阿 羅 漢 辟 支 佛 智 慧 境 界 者 二 乘 智 劣 
T85n2761_001:0259c09	未能解了。譬如生盲者。以凡夫作況。未有無	未 能 解 了 譬 如 生 盲 者 以 凡 夫 作 況 未 有 無 
T85n2761_001:0259c10	漏觀滅智也。不見眾色青黃赤白如滅諦也。	漏 觀 滅 智 也 不 見 眾 色 青 黃 赤 白 如 滅 諦 也 
T85n2761_001:0259c11	七日嬰兒者。唯二乘也。得無漏智如嬰兒之	七 日 嬰 兒 者 唯 二 乘 也 得 無 漏 智 如 嬰 兒 之 
T85n2761_001:0259c12	目開也。不見日輪者。雖知作滅未達無作。如	目 開 也 不 見 日 輪 者 雖 知 作 滅 未 達 無 作 如 
T85n2761_001:0259c13	盲見無明未分曰非曰異。凡夫識者二見顛	盲 見 無 明 未 分 曰 非 曰 異 凡 夫 識 者 二 見 顛 
T85n2761_001:0259c14	倒者。此明凡夫如盲意也。一計斷常二有四	倒 者 此 明 凡 夫 如 盲 意 也 一 計 斷 常 二 有 四 
T85n2761_001:0259c15	倒也。則是清淨者。此明二乘見滅不圓也。邊	倒 也 則 是 清 淨 者 此 明 二 乘 見 滅 不 圓 也 邊 
T85n2761_001:0259c16	見者釋二見也。計斷計常不無中道也。於五	見 者 釋 二 見 也 計 斷 計 常 不 無 中 道 也 於 五 
T85n2761_001:0259c17	受陰者。列生見處也。我見者以五陰為我也。	受 陰 者 列 生 見 處 也 我 見 者 以 五 陰 為 我 也 
T85n2761_001:0259c18	妄相計著實非真我妄計為實也。生二見者。	妄 相 計 著 實 非 真 我 妄 計 為 實 也 生 二 見 者 
T85n2761_001:0259c19	於此我上生二見心。是名邊見者。以此二見	於 此 我 上 生 二 見 心 是 名 邊 見 者 以 此 二 見 
