X63n1255_001:0737b06	禪家龜鑑	禪 家 龜 鑑 
X63n1255_001:0742b18	智論。一道人五粒粟受牛身。生償筋骨。死還皮肉。	智 論 一 道 人 五 粒 粟 受 牛 身 生 償 筋 骨 死 還 皮 肉 
X63n1255_001:0742b19	虗受信施。報應如響。	虗 受 信 施 報 應 如 響 
X63n1255_001:0742b20	故曰。寧以熱鐵纏身。不受信心人衣。寧以洋銅灌口。	故 曰 寧 以 熱 鐵 纏 身 不 受 信 心 人 衣 寧 以 洋 銅 灌 口 
X63n1255_001:0742b21	不受信心人食。寧以鐵鑵投身。不受信心人房舍等。	不 受 信 心 人 食 寧 以 鐵 鑵 投 身 不 受 信 心 人 房 舍 等 
X63n1255_001:0742b22	梵網經云。不以破戒之身受信心人種種供養乃	梵 網 經 云 不 以 破 戒 之 身 受 信 心 人 種種供養 乃 
X63n1255_001:0742b23	種種施物。菩薩若不發是願則得輕垢罪。	種 種 施 物 菩 薩 若 不 發 是 願 則 得 輕 垢 罪 
X63n1255_001:0742b24	故曰。道人進食如進毒。受施如受箭。弊厚言甘。道人	故 曰 道 人 進 食 如 進 毒 受 施 如 受 箭 弊 厚 言 甘 道 人 
X63n1255_001:0742c01	所畏。	所 畏 
X63n1255_001:0742c02	進食如進毒者。畏喪其道眼也。受施如受箭者。畏	進 食 如 進 毒 者 畏 喪 其 道 眼 也 受 施 如 受 箭 者 畏 
X63n1255_001:0742c03	失其道果也。	失 其 道 果 也 
X63n1255_001:0742c04	故曰。修道之人如一塊磨刀之石。張三也來磨。李四	故 曰 修 道 之 人 如 一 塊 磨 刀 之 石 張 三 也 來 磨 李 四 
X63n1255_001:0742c05	也來磨。磨來磨去。別人刀快而自家石漸消。然有人	也 來 磨 磨 來 磨 去 別 人 刀 快 而 自 家 石 漸 消 然 有 人 
X63n1255_001:0742c06	更嫌佗人不來我石上磨。實為可惜。	更 嫌 佗 人 不 來 我 石 上 磨 實 為 可 惜 
X63n1255_001:0742c07	如此道人。平生所向只在溫飽。	如 此 道 人 平 生 所 向 只 在 溫 飽 
X63n1255_001:0742c08	故古語亦有之曰。三途苦未是苦。袈裟下失人身始	故 古 語 亦 有 之 曰 三 途 苦 未 是 苦 袈 裟 下 失 人 身 始 
X63n1255_001:0742c09	是苦也。	是 苦 也 
X63n1255_001:0742c10	古人云。今生未明心。滴水也難消。此所以袈裟下	古 人 云 今 生 未 明 心 滴 水 也 難 消 此 所 以 袈 裟 下 
X63n1255_001:0742c11	失人身也。佛子佛子憤之激之。此章始起於一於	失 人 身 也 佛 子 佛 子 憤 之 激 之 此 章 始 起 於 一 於 
X63n1255_001:0742c12	戲。終結於一古語。中間細繹許多。故曰字亦一段	戲 終 結 於 一 古 語 中 間 細 繹 許 多 故 曰 字 亦 一 段 
X63n1255_001:0742c13	文法也。	文 法 也 
X63n1255_001:0742c14	咄哉此身。九孔常流百千癰疽一片薄皮。又云革囊	咄 哉 此 身 九 孔 常 流 百 千 癰 疽 一 片 薄 皮 又 云 革 囊 
X63n1255_001:0742c15	盛糞膿血之聚。臭穢可鄙。無貪惜之。何況百年將養	盛 糞 膿 血 之 聚 臭 穢 可 鄙 無 貪 惜 之 何 況 百 年 將 養 
X63n1255_001:0742c16	一息背恩。	一 息 背 恩 
X63n1255_001:0742c17	上來諸業皆由此身。發聲叱咄深有警也。此身諸	上 來 諸 業 皆 由 此 身 發 聲 叱 咄 深 有 警 也 此 身 諸 
X63n1255_001:0742c18	愛根本。了之虗妄則諸愛自除。如其耽著則起無	愛 根 本 了 之 虗 妄 則 諸 愛 自 除 如 其 耽 著 則 起 無 
X63n1255_001:0742c19	量過患。故於此特明之。以開修道之眼也。	量 過 患 故 於 此 特 明 之 以 開 修 道 之 眼 也 
X63n1255_001:0742c20	評曰。四大無生故一為假四冤。四大背恩故一	評 曰 四 大 無 生 故 一 為 假 四 冤 四 大 背 恩 故 一 
X63n1255_001:0742c21	為養四蛇。我不了虗妄故為佗人也嗔之慢之。	為 養 四 蛇 我 不 了 虗 妄 故 為 佗 人 也 嗔 之 慢 之 
X63n1255_001:0742c22	佗人亦不了虗妄故為我也嗔之慢之。若二鬼	佗 人 亦 不 了 虗 妄 故 為 我 也 嗔 之 慢 之 若 二 鬼 
X63n1255_001:0742c23	之爭一屍也。一屍之為體也。一曰泡聚。一曰夢	之 爭 一 屍 也 一 屍 之 為 體 也 一 曰 泡 聚 一 曰 夢 
X63n1255_001:0742c24	聚。一曰苦聚。一曰糞聚。非徒速朽亦甚鄙陋。上	聚 一 曰 苦 聚 一 曰 糞 聚 非 徒 速 朽 亦 甚 鄙 陋 上 
X63n1255_001:0743a01	七孔常流涕唾。下二孔常流屎尿。故須十二時	七 孔 常 流 涕 唾 下 二 孔 常 流 屎 尿 故 須 十 二 時 
X63n1255_001:0743a02	中潔淨身器以參眾數。凡行麤不淨者善神必	中 潔 淨 身 器 以 參 眾 數 凡 行 麤 不 淨 者 善 神 必 
X63n1255_001:0743a03	背去。因果經云。將不淨手執經卷。在佛前涕唾	背 去 因 果 經 云 將 不 淨 手 執 經 卷 在 佛 前 涕 唾 
X63n1255_001:0743a04	者。必當獲廁虫報。文殊經云。大小便時狀如木	者 必 當 獲 廁 虫 報 文 殊 經 云 大 小 便 時 狀 如 木 
X63n1255_001:0743a05	石。慎勿語言作聲。又勿畫壁書字。又勿吐痰入	石 慎 勿 語 言 作 聲 又 勿 畫 壁 書 字 又 勿 吐 痰 入 
X63n1255_001:0743a06	廁中。又云登廁不洗淨者。不得坐禪狀。不得登	廁 中 又 云 登 廁 不 洗 淨 者 不 得 坐 禪 狀 不 得 登 
X63n1255_001:0743a07	寶殿。律云。初入廁時。先須彈指三下。以警在穢	寶 殿 律 云 初 入 廁 時 先 須 彈 指 三 下 以 警 在 穢 
X63n1255_001:0743a08	之鬼。默誦神呪各七遍。初誦入廁呪曰。(【韓】【韓】【韓】【韓】【韓】【韓】	之 鬼 默 誦 神 呪 各 七 遍 初 誦 入 廁 呪 曰 韓 韓 韓 韓 韓 韓 
X63n1255_001:0743a09	唵狠嚕陀耶莎訶)。次誦洗淨呪曰。(【韓】【韓】【韓】【韓】【韓】【韓】【韓】【韓】唵賀曩蜜[口*栗]帝莎訶)。	唵 狠 嚕 陀 耶 莎 訶 次 誦 洗 淨 呪 曰 韓 韓 韓 韓 韓 韓 韓 韓 唵 賀 曩 蜜 [口栗] 帝 莎 訶 
X63n1255_001:0743a10	右手執瓶。左手(用無名指)洗之。淨水旋旋傾之。著實	右 手 執 瓶 左 手 用 無 名 指 洗 之 淨 水 旋 旋 傾 之 著 實 
X63n1255_001:0743a11	洗淨。次誦洗手呪曰。(【韓】【韓】【韓】【韓】唵主迦囉【韓】【韓】【韓】野莎訶)。次誦去	洗 淨 次 誦 洗 手 呪 曰 韓 韓 韓 韓 唵 主 迦 囉 韓 韓 韓 野 莎 訶 次 誦 去 
X63n1255_001:0743a12	穢呪曰。(【韓】【韓】【韓】【韓】【韓】【韓】唵室利曳婆醯【韓】【韓】【韓】婆嚩賀)。次誦淨身呪曰。	穢 呪 曰 韓 韓 韓 韓 韓 韓 唵 室 利 曳 婆 醯 韓 韓 韓 婆 嚩 賀 次 誦 淨 身 呪 曰 
X63n1255_001:0743a13	(【韓】【韓】【韓】【韓】【韓】【韓】【韓】唵跋折囉惱迦吒娑【韓】【韓】嚩賀)。此五神呪有大威德。	 韓 韓 韓 韓 韓 韓 韓 唵 跋 折 囉 惱 迦 吒 娑 韓 韓 嚩 賀 此 五 神 呪 有 大 威 德 
X63n1255_001:0743a14	諸惡鬼神聞必拱手。若不如法誦持。則雖用七	諸 惡 鬼 神 聞 必 拱 手 若 不 如 法 誦 持 則 雖 用 七 
X63n1255_001:0743a15	恒河水洗至金剛際亦不得身器清淨。又云。洗	恒 河 水 洗 至 金 剛 際 亦 不 得 身 器 清 淨 又 云 洗 
X63n1255_001:0743a16	淨須用冷水。洗手須用皂角。又木屑灰泥亦通。	淨 須 用 冷 水 洗 手 須 用 皂 角 又 木 屑 灰 泥 亦 通 
X63n1255_001:0743a17	若不用灰泥。則觸水淋其手背垢穢尚存。禮佛	若 不 用 灰 泥 則 觸 水 淋 其 手 背 垢 穢 尚 存 禮 佛 
X63n1255_001:0743a18	誦經必得罪(云云)。此登廁洗淨之法。亦是道人	誦 經 必 得 罪 云 云 此 登 廁 洗 淨 之 法 亦 是 道 人 
X63n1255_001:0743a19	日用行實。故略引經語并附于此。	日 用 行 實 故 略 引 經 語 并 附 于 此 
X63n1255_001:0743a20	有罪即懺悔。發業即慚愧有丈夫氣象。又改過自新	有 罪 即 懺 悔 發 業 即 慚 愧 有 丈 夫 氣 象 又 改 過 自 新 
X63n1255_001:0743a21	罪隨心滅。	罪 隨 心 滅 
X63n1255_001:0743a22	懺悔者。懺其前愆。悔其後過。慚愧者。慚責於內。愧	懺 悔 者 懺 其 前 愆 悔 其 後 過 慚 愧 者 慚 責 於 內 愧 
X63n1255_001:0743a23	發於外。然心本空寂罪業無寄。	發 於 外 然 心 本 空 寂 罪 業 無 寄 
X63n1255_001:0743a24	道人宜應端心以質直為本。一瓢一衲旅泊無累。	道 人 宜 應 端 心 以 質 直 為 本 一 瓢 一 衲 旅 泊 無 累 
X63n1255_001:0743b01	佛云心如直絃。又云直心是道場。若不耽著此身。	佛 云 心 如 直 絃 又 云 直 心 是 道 場 若 不 耽 著 此 身 
X63n1255_001:0743b02	則必旅泊無累。	則 必 旅 泊 無 累 
X63n1255_001:0743b03	凡夫取境。道人取心。心境兩忘乃是真法。	凡 夫 取 境 道 人 取 心 心 境 兩 忘 乃 是 真 法 
X63n1255_001:0743b04	取境者如鹿之趂空花也。取心者如猿之捉水月	取 境 者 如 鹿 之 趂 空 花 也 取 心 者 如 猿 之 捉 水 月 
X63n1255_001:0743b05	也。境心雖殊。取病則一也。此合論凡夫二乘。　天	也 境 心 雖 殊 取 病 則 一 也 此 合 論 凡 夫 二 乘 天 
X63n1255_001:0743b06	地尚空秦日月。山河不見漢君臣。	地 尚 空 秦 日 月 山 河 不 見 漢 君 臣 
X63n1255_001:0743b07	聲聞宴坐林中被魔王捉。菩薩遊戲世間外魔不見。	聲 聞 宴 坐 林 中 被 魔 王 捉 菩 薩 遊 戲 世 間 外 魔 不 見 
X63n1255_001:0743b08	聲聞取靜為行故心動。心動則鬼見也。菩薩性自	聲 聞 取 靜 為 行 故 心 動 心 動 則 鬼 見 也 菩 薩 性 自 
X63n1255_001:0743b09	空寂故無迹。無迹則外魔不見。此合論二乘菩薩。	空 寂 故 無 迹 無 迹 則 外 魔 不 見 此 合 論 二 乘 菩 薩 
X63n1255_001:0743b10	三月懶遊花下路。一家愁閉雨中門。	三 月 懶 遊 花 下 路 一 家 愁 閉 雨 中 門 
X63n1255_001:0743b11	凡人臨命終時。但觀五蘊皆空四大無我。真心無相	凡 人 臨命終時 但 觀 五 蘊 皆 空 四 大 無 我 真 心 無 相 
X63n1255_001:0743b12	不去不來。生時性亦不生。死時性亦不去。湛然圓寂	不 去 不 來 生 時 性 亦 不 生 死 時 性 亦 不 去 湛 然 圓 寂 
X63n1255_001:0743b13	心境一如。但能如是直下頓了。不為三世所抅繫。便	心 境 一 如 但 能 如 是 直 下 頓 了 不 為 三 世 所 抅 繫 便 
X63n1255_001:0743b14	是出世自由人也。若見諸佛無心隨去。若見地獄無	是 出 世 自 由 人 也 若 見 諸 佛 無 心 隨 去 若 見 地 獄 無 
X63n1255_001:0743b15	心怖畏。但自無心同於法界。此即是要節也。然則平	心 怖 畏 但 自 無 心 同 於 法 界 此 即 是 要 節 也 然 則 平 
X63n1255_001:0743b16	常是因。臨終是果。道人須著眼看。	常 是 因 臨 終 是 果 道 人 須 著 眼 看 
X63n1255_001:0743b17	　怕死老年親釋迦。　如向此時明自己。　百年光	 怕 死 老 年 親 釋 迦 如 向 此 時 明 自 己 百 年 光 
X63n1255_001:0743b18	影轉頭非。	影 轉 頭 非 
X63n1255_001:0743b19	凡人臨命終時。若一毫毛凡聖情量不盡。思慮未忘。	凡 人 臨命終時 若 一 毫 毛 凡 聖 情 量 不 盡 思 慮 未 忘 
X63n1255_001:0743b20	向驢胎馬腹裏托質。泥犂鑊湯中煑煠。乃至依前再	向 驢 胎 馬 腹 裏 托 質 泥 犂 鑊 湯 中 煑 煠 乃 至 依 前 再 
X63n1255_001:0743b21	為螻蟻蚊虻。	為 螻 蟻 蚊 虻 
X63n1255_001:0743b22	白雲云。設使一毫毛凡聖情念淨盡。亦未免入驢	白 雲 云 設 使 一 毫 毛 凡 聖 情 念 淨 盡 亦 未 免 入 驢 
X63n1255_001:0743b23	胎馬腹中。二見星飛散入諸趣。　烈火茫茫寶劒	胎 馬 腹 中 二 見 星 飛 散 入 諸 趣 烈 火 茫 茫 寶 劒 
X63n1255_001:0743b24	當門。	當 門 
X63n1255_001:0743c01	評曰。此二節特開宗師無心合道門。權遮教中	評 曰 此 二 節 特 開 宗 師 無 心 合 道 門 權 遮 教 中 
X63n1255_001:0743c02	念佛求生門。然根器不同。志願亦異。各各如是	念 佛 求 生 門 然 根 器 不 同 志 願 亦 異 各 各 如 是 
X63n1255_001:0743c03	兩不相妨。願諸道者平常隨分各自勞力。最後	兩 不 相 妨 願 諸 道 者 平 常 隨 分 各 自 勞 力 最 後 
X63n1255_001:0743c04	剎那莫生疑悔。	剎 那 莫 生 疑 悔 
X63n1255_001:0743c05	禪學者本地風光若未發明。則孤峭玄關擬從何透。	禪 學 者 本 地 風 光 若 未 發 明 則 孤 峭 玄 關 擬 從 何 透 
X63n1255_001:0743c06	往往斷滅空以為禪。無記空以為道。一切俱無以為	往 往 斷 滅 空 以 為 禪 無 記 空 以 為 道 一 切 俱 無 以 為 
X63n1255_001:0743c07	高見。此冥然頑空受病幽矣。今天下之言禪者多坐	高 見 此 冥 然 頑 空 受 病 幽 矣 今 天 下 之 言 禪 者 多 坐 
X63n1255_001:0743c08	在此病。	在 此 病 
X63n1255_001:0743c09	向上一關措足無門。雲門云。光不透脫有兩種病。	向 上 一 關 措 足 無 門 雲 門 云 光 不 透 脫 有 兩 種 病 
X63n1255_001:0743c10	透過法身亦有兩種病。須一一透得始得。　不行	透 過 法 身 亦 有 兩 種 病 須 一 一 透 得 始 得 不 行 
X63n1255_001:0743c11	芳草路。難至落花村。	芳 草 路 難 至 落 花 村 
X63n1255_001:0743c12	宗師亦有多病。病在耳目者以[目*當]眉努目側耳點頭	宗 師 亦 有 多 病 病 在 耳 目 者 以 [目當] 眉 努 目 側 耳 點 頭 
X63n1255_001:0743c13	為禪。病在口舌者以顛言倒語胡喝亂喝為禪。病在	為 禪 病 在 口 舌 者 以 顛 言 倒 語 胡 喝 亂 喝 為 禪 病 在 
X63n1255_001:0743c14	手足者以進前退後指東畫西為禪。病在心腹者以	手 足 者 以 進 前 退 後 指 東 畫 西 為 禪 病 在 心 腹 者 以 
X63n1255_001:0743c15	窮玄究玅超情離見為禪。據實而論。無非是病。	窮 玄 究 玅 超 情 離 見 為 禪 據 實 而 論 無 非 是 病 
X63n1255_001:0743c16	殺父母者佛前懺悔。謗般若者懺悔無路。　空中	殺 父 母 者 佛 前 懺 悔 謗 般 若 者 懺 悔 無 路 空 中 
X63n1255_001:0743c17	撮影非為玅。物外追蹤豈俊機。	撮 影 非 為 玅 物 外 追 蹤 豈 俊 機 
X63n1255_001:0743c18	本分宗師全提此句。如木人唱拍紅爐點雪。亦如石	本 分 宗 師 全 提 此 句 如 木 人 唱 拍 紅 爐 點 雪 亦 如 石 
X63n1255_001:0743c19	火電光。學者實不可擬議也。故古人知師恩曰。不重	火 電 光 學 者 實 不 可 擬 議 也 故 古 人 知 師 恩 曰 不 重 
X63n1255_001:0743c20	先師道德。只重先師不為我說破。	先 師 道 德 只 重 先 師 不 為 我 說 破 
X63n1255_001:0743c21	不道不道。恐上紙墨。　箭穿江月影。須是射鵰人。	不 道 不 道 恐 上 紙 墨 箭 穿 江 月 影 須 是 射 鵰 人 
X63n1255_001:0743c22	大抵學者先須詳辨宗途。昔馬祖一喝也百丈耳聾	大 抵 學 者 先 須 詳 辨 宗 途 昔 馬 祖 一 喝 也 百 丈 耳 聾 
X63n1255_001:0743c23	黃檗吐舌。這一喝便是拈花消息。亦是達磨初來底	黃 檗 吐 舌 這 一 喝 便 是 拈 花 消 息 亦 是 達 磨 初 來 底 
X63n1255_001:0743c24	面目。吁此臨濟宗之淵源。	面 目 吁 此 臨 濟 宗 之 淵 源 
X63n1255_001:0744a01	識法者懼。和聲便打。　杖子一枝無節目。慇懃分	識 法 者 懼 和 聲 便 打 杖 子 一 枝 無 節 目 慇 懃 分 
X63n1255_001:0744a02	付夜行人。	付 夜 行 人 
X63n1255_001:0744a03	昔馬祖一喝也百丈得大機。黃檗得大用。大機	昔 馬 祖 一 喝 也 百 丈 得 大 機 黃 檗 得 大 用 大 機 
X63n1255_001:0744a04	者圓應為義。大用者直截為義。事見傳燈錄。	者 圓 應 為 義 大 用 者 直 截 為 義 事 見 傳 燈 錄 
X63n1255_001:0744a05	大凡祖師宗途有五。曰臨濟宗。曰曹洞宗。曰雲	大 凡 祖 師 宗 途 有 五 曰 臨 濟 宗 曰 曹 洞 宗 曰 雲 
X63n1255_001:0744a06	門宗。曰溈仰宗。曰法眼宗。	門 宗 曰 溈 仰 宗 曰 法 眼 宗 
X63n1255_001:0744a07	臨濟宗	臨 濟 宗 
X63n1255_001:0744a08	本師釋迦佛至三十三世六祖慧能大師下直	本 師 釋 迦 佛 至 三 十 三 世 六 祖 慧 能 大 師 下 直 
X63n1255_001:0744a09	傳。曰南嶽懷讓。曰馬祖道一。曰百丈懷海。曰黃	傳 曰 南 嶽 懷 讓 曰 馬 祖 道 一 曰 百 丈 懷 海 曰 黃 
X63n1255_001:0744a10	檗希運。曰臨濟義玄。曰興化存獎。曰南院首顒。	檗 希 運 曰 臨 濟 義 玄 曰 興 化 存 獎 曰 南 院 首 顒 
X63n1255_001:0744a11	曰風穴延沼。曰首山省念。曰汾陽善昭。曰慈明	曰 風 穴 延 沼 曰 首 山 省 念 曰 汾 陽 善 昭 曰 慈 明 
X63n1255_001:0744a12	楚圓。曰楊岐方會。曰白雲守端。曰五祖法演(曰圓	楚 圓 曰 楊 岐 方 會 曰 白 雲 守 端 曰 五 祖 法 演 曰 圓 
X63n1255_001:0744a13	悟克勤。曰徑山宗杲)禪師等。	悟 克 勤 曰 徑 山 宗 杲 禪 師 等 
X63n1255_001:0744a14	曹洞宗	曹 洞 宗 
X63n1255_001:0744a15	六祖下傍傳。曰青原行思。曰石頭希遷。曰藥山	六 祖 下 傍 傳 曰 青 原 行 思 曰 石 頭 希 遷 曰 藥 山 
X63n1255_001:0744a16	惟儼。曰雲岩曇晟。曰洞山良价。曰曹山耽章。曰	惟 儼 曰 雲 岩 曇 晟 曰 洞 山 良 价 曰 曹 山 耽 章 曰 
X63n1255_001:0744a17	雲居道膺禪師等。	雲 居 道 膺 禪 師 等 
X63n1255_001:0744a18	雲門宗	雲 門 宗 
X63n1255_001:0744a19	馬祖傍傳。曰天王道悟。曰龍潭崇信。曰德山宣	馬 祖 傍 傳 曰 天 王 道 悟 曰 龍 潭 崇 信 曰 德 山 宣 
X63n1255_001:0744a20	鑑。曰雪峰義存。曰雲門文偃。曰雪竇重顯。曰天	鑑 曰 雪 峰 義 存 曰 雲 門 文 偃 曰 雪 竇 重 顯 曰 天 
X63n1255_001:0744a21	衣義懷禪師等。	衣 義 懷 禪 師 等 
X63n1255_001:0744a22	溈仰宗	溈 仰 宗 
X63n1255_001:0744a23	百丈傍傳。曰溈山靈祐。曰仰山慧寂。曰香嚴智	百 丈 傍 傳 曰 溈 山 靈 祐 曰 仰 山 慧 寂 曰 香 嚴 智 
X63n1255_001:0744a24	閑。曰南塔光漏。曰芭蕉慧清。曰霍山景通。曰無	閑 曰 南 塔 光 漏 曰 芭 蕉 慧 清 曰 霍 山 景 通 曰 無 
X63n1255_001:0744b01	著文喜禪師等。	著 文 喜 禪 師 等 
X63n1255_001:0744b02	法眼宗	法 眼 宗 
X63n1255_001:0744b03	雪峰傍傳。曰玄沙師備。曰地藏桂琛。曰法眼文	雪 峰 傍 傳 曰 玄 沙 師 備 曰 地 藏 桂 琛 曰 法 眼 文 
X63n1255_001:0744b04	益。曰天台德韶。曰永明延壽。曰龍濟紹修。曰南	益 曰 天 台 德 韶 曰 永 明 延 壽 曰 龍 濟 紹 修 曰 南 
X63n1255_001:0744b05	臺守安禪師等。	臺 守 安 禪 師 等 
X63n1255_001:0744b06	臨濟家風	臨 濟 家 風 
X63n1255_001:0744b07	赤手單刀殺佛殺祖。辨古今於玄要。驗龍蛇於	赤 手 單 刀 殺 佛 殺 祖 辨 古 今 於 玄 要 驗 龍 蛇 於 
X63n1255_001:0744b08	主賓。操金剛寶釰。掃除竹木精靈。奪獅子全威。	主 賓 操 金 剛 寶 釰 掃 除 竹 木 精 靈 奪 獅 子 全 威 
X63n1255_001:0744b09	震裂狐狸心膽。要識臨濟宗麼。青天轟霹靂。平	震 裂 狐 狸 心 膽 要 識 臨 濟 宗 麼 青 天 轟 霹 靂 平 
X63n1255_001:0744b10	地起波濤。	地 起 波 濤 
X63n1255_001:0744b11	曹洞家風	曹 洞 家 風 
X63n1255_001:0744b12	權開五位善接三根。橫抽寶釰斬諸見稠林。妙	權 開 五 位 善 接 三 根 橫 抽 寶 釰 斬 諸 見 稠 林 妙 
X63n1255_001:0744b13	恊弘通截萬機穿鑿。威音那畔滿目烟光。空劫	恊 弘 通 截 萬 機 穿 鑿 威 音 那 畔 滿 目 烟 光 空 劫 
X63n1255_001:0744b14	已前一壺風月。要識曹洞宗麼。佛祖未生空劫	已 前 一 壺 風 月 要 識 曹 洞 宗 麼 佛 祖 未 生 空 劫 
X63n1255_001:0744b15	外。正偏不落有無機。	外 正 偏 不 落 有 無 機 
X63n1255_001:0744b16	雲門家風	雲 門 家 風 
X63n1255_001:0744b17	劒鋒有路鐵壁無門。掀飜露布葛藤。剪却常情	劒 鋒 有 路 鐵 壁 無 門 掀 飜 露 布 葛 藤 剪 却 常 情 
X63n1255_001:0744b18	見解。迅電不及思量。裂焰寧容湊泊。要識雲門	見 解 迅 電 不 及 思 量 裂 焰 寧 容 湊 泊 要 識 雲 門 
X63n1255_001:0744b19	宗麼。拄杖子[跳兆+孛]跳上天。盞子裏諸佛說法。	宗 麼 拄 杖 子 [跳兆孛] 跳 上 天 盞 子 裏 諸 佛 說 法 
X63n1255_001:0744b20	溈仰家風	溈 仰 家 風 
X63n1255_001:0744b21	師資唱和父子一家。脇下書字頭角崢嶸。室中	師 資 唱 和 父 子 一 家 脇 下 書 字 頭 角 崢 嶸 室 中 
X63n1255_001:0744b22	驗人獅子腰折。離四句絕百非一槌粉碎。有兩	驗 人 獅 子 腰 折 離 四 句 絕 百 非 一 槌 粉 碎 有 兩 
X63n1255_001:0744b23	口無一舌九曲珠通。要識溈仰宗麼。斷碑橫古	口 無 一 舌 九 曲 珠 通 要 識 溈 仰 宗 麼 斷 碑 橫 古 
X63n1255_001:0744b24	路。鐵牛眠少室。	路 鐵 牛 眠 少 室 
X63n1255_001:0744c01	法眼家風	法 眼 家 風 
X63n1255_001:0744c02	言中有響句裡藏鋒。髑髏常于世界。鼻孔磨觸	言 中 有 響 句 裡 藏 鋒 髑 髏 常 于 世 界 鼻 孔 磨 觸 
X63n1255_001:0744c03	家風。風柯月渚顯露真心。翠竹黃花宣明妙法。	家 風 風 柯 月 渚 顯 露 真 心 翠 竹 黃 花 宣 明 妙 法 
X63n1255_001:0744c04	要識法眼宗麼。風送斷雲歸嶺去。月和流水過	要 識 法 眼 宗 麼 風 送 斷 雲 歸 嶺 去 月 和 流 水 過 
X63n1255_001:0744c05	橋來。	橋 來 
X63n1255_001:0744c06	別明臨濟宗旨	別 明 臨 濟 宗 旨 
X63n1255_001:0744c07	大凡一句中具三玄。一玄中具三要。一句無文	大 凡 一 句 中 具 三 玄 一 玄 中 具 三 要 一 句 無 文 
X63n1255_001:0744c08	綵即三玄三要。有文綵即權實玄照用要。	綵 即 三 玄 三 要 有 文 綵 即 權 實 玄 照 用 要 
X63n1255_001:0744c09	三句	三 句 
X63n1255_001:0744c10	第一句喪身失命。第二句未開口錯。第三句糞	第 一 句 喪 身 失 命 第 二 句 未 開 口 錯 第 三 句 糞 
X63n1255_001:0744c11	箕掃帚。	箕 掃 帚 
X63n1255_001:0744c12	三要	三 要 
X63n1255_001:0744c13	一要照即大機。二要照即大用。三要照用同時。	一 要 照 即 大 機 二 要 照 即 大 用 三 要 照 用 同 時 
X63n1255_001:0744c14	三玄	三 玄 
X63n1255_001:0744c15	體中玄。三世一念等。句中玄。徑截言句等。玄中	體 中 玄 三 世 一 念 等 句 中 玄 徑 截 言 句 等 玄 中 
X63n1255_001:0744c16	玄。良久棒喝等。	玄 良 久 棒 喝 等 
X63n1255_001:0744c17	四料棟	四 料 棟 
X63n1255_001:0744c18	奪人不奪境待下根。奪境不奪人待中根。人境	奪 人 不 奪 境 待 下 根 奪 境 不 奪 人 待 中 根 人 境 
X63n1255_001:0744c19	兩俱奪待上根。人境俱不奪待出格人。	兩 俱 奪 待 上 根 人 境 俱 不 奪 待 出 格 人 
X63n1255_001:0744c20	四賓主	四 賓 主 
X63n1255_001:0744c21	賓中賓。學人無鼻孔。有問有答。	賓 中 賓 學 人 無 鼻 孔 有 問 有 答 
X63n1255_001:0744c22	賓中主。學人有鼻孔。有主有法。	賓 中 主 學 人 有 鼻 孔 有 主 有 法 
X63n1255_001:0744c23	主中賓。師家無鼻孔。有問在。	主 中 賓 師 家 無 鼻 孔 有 問 在 
X63n1255_001:0744c24	主中主。師家有鼻孔。不妨奇特。	主 中 主 師 家 有 鼻 孔 不 妨 奇 特 
X63n1255_001:0745a01	四照用	四 照 用 
X63n1255_001:0745a02	先照後用有人在。先用後照有法在。照用同時	先 照 後 用 有 人 在 先 用 後 照 有 法 在 照 用 同 時 
X63n1255_001:0745a03	驅耕奪食。照用不同時有問有答。	驅 耕 奪 食 照 用 不 同 時 有 問 有 答 
X63n1255_001:0745a04	四大式(正利平常本分貢假)	四 大 式 正 利 平 常 本 分 貢 假 
X63n1255_001:0745a05	正利少林面壁類。平常禾山打皷類。本分山僧	正 利 少 林 面 壁 類 平 常 禾 山 打 皷 類 本 分 山 僧 
X63n1255_001:0745a06	不會類。貢假達磨不識類。	不 會 類 貢 假 達 磨 不 識 類 
X63n1255_001:0745a07	四喝	四 喝 
X63n1255_001:0745a08	金剛王寶劒。一刀揮斷一切情解。踞地獅子。發	金 剛 王 寶 劒 一 刀 揮 斷 一 切 情 解 踞 地 獅 子 發 
X63n1255_001:0745a09	言吐氣眾魔腦烈。探竿影草。探其有無師承鼻	言 吐 氣 眾 魔 腦 烈 探 竿 影 草 探 其 有 無 師 承 鼻 
X63n1255_001:0745a10	孔。一喝不作一喝用。具上三玄四賓主等。	孔 一 喝 不 作 一 喝 用 具 上 三 玄 四 賓 主 等 
X63n1255_001:0745a11	八棒	八 棒 
X63n1255_001:0745a12	觸令返玄。接掃從正。靠玄復正。苦責罰棒。順宗	觸 令 返 玄 接 掃 從 正 靠 玄 復 正 苦 責 罰 棒 順 宗 
X63n1255_001:0745a13	旨賞棒。有虗實辨棒。盲枷瞎棒。掃除凡聖正棒。	旨 賞 棒 有 虗 實 辨 棒 盲 枷 瞎 棒 掃 除 凡 聖 正 棒 
X63n1255_001:0745a14	此等法非特臨濟宗風。上自諸佛下至眾生皆	此 等 法 非 特 臨 濟 宗 風 上 自 諸 佛 下 至 眾 生 皆 
X63n1255_001:0745a15	分上事。若離此說法皆是妄語。	分 上 事 若 離 此 說 法 皆 是 妄 語 
