X14n0295_001:0624b03	 勸持敘	 勸 持 敘 
X14n0295_004:0646a21	獲如來無餘涅槃。本發心路。從何躡伏疇昔攀緣。	獲 如 來 無餘涅槃 本 發 心 路 從 何 躡 伏 疇 昔 攀 緣 
X14n0295_004:0646a22	得大總持。入佛知見。佛言。汝等決定發菩提心。於	得 大 總 持 入 佛 知 見 佛 言 汝 等 決 定 發菩提心 於 
X14n0295_004:0646a23	佛如來妙三摩提。不生疲倦。應當審觀因地發心	佛 如 來 妙 三 摩 提 不 生 疲 倦 應 當 審 觀 因 地 發 心 
X14n0295_004:0646a24	與果地覺。為同為異。若於因地。以生滅心。為本修	與 果 地 覺 為 同 為 異 若 於 因 地 以 生 滅 心 為 本 修 
X14n0295_004:0646b01	因。而求佛乘不生不滅。無有是處。以不生滅。合如	因 而 求 佛 乘 不生不滅 無 有 是 處 以 不 生 滅 合 如 
X14n0295_004:0646b02	來藏。則同矣。以生滅心。求常住果。則異矣。所以無	來 藏 則 同 矣 以 生 滅 心 求 常 住 果 則 異 矣 所 以 無 
X14n0295_004:0646b03	有是處。阿難。汝見世間可作之法。皆有變滅。誰為	有 是 處 阿 難 汝 見 世 間 可 作 之 法 皆 有 變 滅 誰 為 
X14n0295_004:0646b04	不壞。然終不聞爛壞虗空。何以故。空非可作。由是	不 壞 然 終 不 聞 爛 壞 虗 空 何 以 故 空 非 可 作 由 是 
X14n0295_004:0646b05	始終無壞無滅。夫己之一身。則有壞之相也。堅者	始 終 無 壞 無 滅 夫 己 之 一 身 則 有 壞 之 相 也 堅 者 
X14n0295_004:0646b06	為地。潤者為水。煖觸為火。動搖為風。由此四纏。分	為 地 潤 者 為 水 煖 觸 為 火 動 搖 為 風 由 此 四 纏 分 
X14n0295_004:0646b07	汝圓湛覺明。為視為聽。為覺為察。從始至終。五疊	汝 圓 湛 覺 明 為 視 為 聽 為 覺 為 察 從始至終 五 疊 
X14n0295_004:0646b08	渾濁。纏為生死根本。濁為惑業根本。何謂之濁。譬	渾 濁 纏 為 生 死 根 本 濁 為 惑 業 根 本 何 謂 之 濁 譬 
X14n0295_004:0646b09	如清水。與彼沙土。二體之性。本不相循。為彼世人。	如 清 水 與 彼 沙 土 二 體 之 性 本 不 相 循 為 彼 世 人 
X14n0295_004:0646b10	取彼沙土。投於淨水。是以土失留礙。水亡清潔。容	取 彼 沙 土 投 於 淨 水 是 以 土 失 留 礙 水 亡 清 潔 容 
X14n0295_004:0646b11	貌汩然。名之為濁。汝身之濁。凡有五重。一曰劫濁。	貌 汩 然 名 之 為 濁 汝 身 之 濁 凡 有 五 重 一 曰 劫 濁 
X14n0295_004:0646b12	二曰見濁。三煩惱濁。四眾生濁。五曰命濁。何為劫	二 曰 見 濁 三 煩 惱 濁 四 眾 生 濁 五 曰 命 濁 何 為 劫 
X14n0295_004:0646b13	濁。汝見虗空徧十方界。覺則非空非色。由一念不	濁 汝 見 虗 空 徧 十 方 界 覺 則 非 空 非 色 由 一 念 不 
X14n0295_004:0646b14	覺。妄見空相。以生發徧迷故。空見不分。雖見空而	覺 妄 見 空 相 以 生 發 徧 迷 故 空 見 不 分 雖 見 空 而 
X14n0295_004:0646b15	非本空之體。雖有見而非妙明之覺。二者相織成	非 本 空 之 體 雖 有 見 而 非 妙 明 之 覺 二 者 相 織 成 
X14n0295_004:0646b16	妄。此無明初起混茫之相也。故名第一重劫濁。何	妄 此 無 明 初 起 混 茫 之 相 也 故 名 第 一 重 劫 濁 何 
X14n0295_004:0646b17	謂見濁。汝身現摶結四大以為體。見聞覺知。遭其	謂 見 濁 汝 身 現 摶 結 四 大 以 為 體 見聞覺知 遭 其 
X14n0295_004:0646b18	壅塞。而成留礙。水火風土旋合。覺知相織。而成妄	壅 塞 而 成 留 礙 水 火 風 土 旋 合 覺 知 相 織 而 成 妄 
X14n0295_004:0646b19	見。是為第二重見濁。何謂煩惱濁。又汝心中。憶誦	見 是 為 第 二 重 見 濁 何 謂 煩 惱 濁 又 汝 心 中 憶 誦 
X14n0295_004:0646b20	記習。由是於性之內分。發為知見。容之外分。現為	記 習 由 是 於 性 之 內 分 發 為 知 見 容 之 外 分 現 為 
X14n0295_004:0646b21	六塵。根境煩搆。離塵則無相。離覺則無性。性相相	六 塵 根 境 煩 搆 離 塵 則 無 相 離 覺 則 無 性 性 相 相 
X14n0295_004:0646b22	織。而成幻妄。是謂煩惱濁。何謂眾生濁。又汝朝夕	織 而 成 幻 妄 是 謂 煩 惱 濁 何 謂 眾 生 濁 又 汝 朝 夕 
X14n0295_004:0646b23	生滅不停。以造業緣。戀着三界。知見常留於世間。	生 滅 不 停 以 造 業 緣 戀 着 三 界 知 見 常 留 於 世 間 
X14n0295_004:0646b24	隨趣受生。業運常遷於國土。如此相織妄成。是謂	隨 趣 受 生 業 運 常 遷 於 國 土 如 此 相 織 妄 成 是 謂 
X14n0295_004:0646c01	四重眾生濁。何謂命濁。汝等見聞。皆是湛圓中分。	四 重 眾 生 濁 何 謂 命 濁 汝 等 見 聞 皆 是 湛 圓 中 分 
X14n0295_004:0646c02	原無異性。由眾塵隔越。相織成妄。無狀異生。故性	原 無 異 性 由 眾 塵 隔 越 相 織 成 妄 無 狀 異 生 故 性 
X14n0295_004:0646c03	中則相知。用中則相背。相知者原無異性也。相背	中 則 相 知 用 中 則 相 背 相 知 者 原 無 異 性 也 相 背 
X14n0295_004:0646c04	者無狀異生也。同異失準。相織妄成。何謂同異失	者 無 狀 異 生 也 同 異 失 準 相 織 妄 成 何 謂 同 異 失 
X14n0295_004:0646c05	準。適言其同。而用又相背。適言其背。而性又相知。	準 適 言 其 同 而 用 又 相 背 適 言 其 背 而 性 又 相 知 
X14n0295_004:0646c06	故曰失準。是第五重命濁。汝等欲令汝之見聞覺	故 曰 失 準 是 第 五 重 命 濁 汝 等 欲 令 汝 之 見 聞 覺 
X14n0295_004:0646c07	知。遠契如來常樂我淨。應當先擇生死根本。見聞	知 遠 契 如 來 常樂我淨 應 當 先 擇 生 死 根 本 見 聞 
X14n0295_004:0646c08	覺知。人之六根受用也。常樂我淨。佛之涅槃妙德	覺 知 人 之 六 根 受 用 也 常樂我淨 佛 之 涅 槃 妙 德 
X14n0295_004:0646c09	也。死生根本。即前五濁業用。言欲返妄契真。先當	也 死 生 根 本 即 前 五 濁 業 用 言 欲 返 妄 契 真 先 當 
X14n0295_004:0646c10	擇去生死妄本。依不生滅圓湛之性。旋其虗妄。使	擇 去 生 死 妄 本 依 不 生 滅 圓 湛 之 性 旋 其 虗 妄 使 
X14n0295_004:0646c11	復還元覺。得圓明覺。無生滅性。以為因地。然後圓	復 還 元 覺 得 圓 明 覺 無 生 滅 性 以 為 因 地 然 後 圓 
X14n0295_004:0646c12	成果地修證。如澄濁水。貯於淨器。靜深不動。則沙	成 果 地 修 證 如 澄 濁 水 貯 於 淨 器 靜 深 不 動 則 沙 
X14n0295_004:0646c13	土自沉。清水現前。此但名為初伏客塵煩惱而已。	土 自 沉 清 水 現 前 此 但 名 為 初 伏 客塵煩惱 而 已 
X14n0295_004:0646c14	及去泥純水。得圓明覺。則無明之根本永斷。而覺	及 去 泥 純 水 得 圓 明 覺 則 無 明 之 根 本 永 斷 而 覺 
X14n0295_004:0646c15	湛明相。於是精純。一切變現。不為煩惱。皆合涅槃。	湛 明 相 於 是 精 純 一 切 變 現 不 為 煩 惱 皆 合 涅 槃 
X14n0295_004:0646c16	如去泥純水。一任攪掏。無復汩濁。因地如此。則果	如 去 泥 純 水 一 任 攪 掏 無 復 汩 濁 因 地 如 此 則 果 
X14n0295_004:0646c17	位修證無有不圓。涅槃妙德無有不合者矣。	位 修 證 無 有 不 圓 涅 槃 妙 德 無 有 不 合 者 矣 
X14n0295_004:0646c18	第二義者汝等必欲(至)彼六知根一時清淨。	第 二 義 者 汝 等 必 欲 至 彼 六 知 根 一 時 清 淨 
X14n0295_004:0646c19	第二義者。汝等發菩提心。於菩薩乘。生大勇猛。棄	第 二 義 者 汝 等 發菩提心 於 菩 薩 乘 生 大 勇 猛 棄 
X14n0295_004:0646c20	捐諸有為相。應當詳審煩惱根本。此無始來。發業	捐 諸 有 為 相 應 當 詳 審 煩惱根本 此 無 始 來 發 業 
X14n0295_004:0646c21	潤生。誰作誰受。若不詳審。則不能知虗妄根塵。何	潤 生 誰 作 誰 受 若 不 詳 審 則 不 能 知 虗 妄 根 塵 何 
X14n0295_004:0646c22	處顛倒。處尚不知。云何降伏。取如來位。汝觀世間	處 顛 倒 處 尚 不 知 云 何 降 伏 取 如 來 位 汝 觀 世 間 
X14n0295_004:0646c23	解結之人。不知所結。云何知解。未聞虗空有結可	解 結 之 人 不 知 所 結 云 何 知 解 未 聞 虗 空 有 結 可 
X14n0295_004:0646c24	解者。何以故。空無相形。無解結故。則汝現前之結	解 者 何 以 故 空 無 相 形 無 解 結 故 則 汝 現 前 之 結 
X14n0295_004:0647a01	多矣。眼耳鼻舌。及與身心。六為賊媒。自劫家寶。由	多 矣 眼 耳 鼻 舌 及 與 身 心 六 為 賊 媒 自 劫 家 寶 由 
X14n0295_004:0647a02	此無始。眾生世界生纏縛故。於器世間。不能超越。	此 無 始 眾 生 世 界 生 纏 縛 故 於 器 世 間 不 能 超 越 
X14n0295_004:0647a03	此正言虗妄根塵顛倒之處。自劫家寶。自劫真性。	此 正 言 虗 妄 根 塵 顛 倒 之 處 自 劫 家 寶 自 劫 真 性 
X14n0295_004:0647a04	生纏縛顛倒也。眾生世界即根身也。器世間即三	生 纏 縛 顛 倒 也 眾 生 世 界 即 根 身 也 器 世 間 即 三 
X14n0295_004:0647a05	界也。纏縛即結義。世為遷流。界為方位。東西南北	界 也 纏 縛 即 結 義 世 為 遷 流 界 為 方 位 東 西 南 北 
X14n0295_004:0647a06	四維上下為界。過去未來現在為世。方位有十。流	四 維 上 下 為 界 過去未來現在 為 世 方 位 有 十 流 
X14n0295_004:0647a07	數有三。皆一切眾生。織妄相成之相。身中貿遷。世	數 有 三 皆 一 切 眾 生 織 妄 相 成 之 相 身 中 貿 遷 世 
X14n0295_004:0647a08	界相涉。何以故。言眾生一身所具理。自互涉身。亦	界 相 涉 何 以 故 言 眾 生 一 身 所 具 理 自 互 涉 身 亦 
X14n0295_004:0647a09	有界則先後左右也。身亦有世。即下三四四三。宛	有 界 則 先 後 左 右 也 身 亦 有 世 即 下 三 四 四 三 宛 
X14n0295_004:0647a10	轉流變者也。然此權依世論。以顯妙用。大略云爾。	轉 流 變 者 也 然 此 權 依 世 論 以 顯 妙 用 大 略 云 爾 
X14n0295_004:0647a11	若夫一解六亡。互用圓照。則豈筭數之所及哉。今	若 夫 一 解 六 亡 互 用 圓 照 則 豈 筭 數 之 所 及 哉 今 
X14n0295_004:0647a12	且以方涉世而論。世間只有東南西北。上下無位。	且 以 方 涉 世 而 論 世 間 只 有 東 南 西 北 上 下 無 位 
X14n0295_004:0647a13	中無定方。止有東西南北四數而已。四數既明。與	中 無 定 方 止 有 東 西 南 北 四 數 而 已 四 數 既 明 與 
X14n0295_004:0647a14	世相涉。三四四三。宛轉十二。流變相疊一十百千。	世 相 涉 三 四 四 三 宛 轉 十 二 流 變 相 疊 一 十 百 千 
X14n0295_004:0647a15	總括始終。此蓋通舉增數。增一為十。增十為百。增	總 括 始 終 此 蓋 通 舉 增 數 增 一 為 十 增 十 為 百 增 
X14n0295_004:0647a16	百為千。共成三疊。第一約四方。各論三世。共成十	百 為 千 共 成 三 疊 第 一 約 四 方 各 論 三 世 共 成 十 
X14n0295_004:0647a17	二。第二於東方三世。變一成十。則成三十。南西北	二 第 二 於 東 方 三 世 變 一 成 十 則 成 三 十 南 西 北 
X14n0295_004:0647a18	方亦復如是。四方各各三十。成三四一百二十也。	方 亦復如是 四 方 各 各 三 十 成 三 四 一 百 二 十 也 
X14n0295_004:0647a19	第三於東方三十。變十為百。以成三百。南西北方	第 三 於 東 方 三 十 變 十 為 百 以 成 三 百 南 西 北 方 
X14n0295_004:0647a20	亦復如是。四方各各三百。又成三四一千二百也。	亦復如是 四 方 各 各 三 百 又 成 三 四 一 千 二 百 也 
X14n0295_004:0647a21	以方涉世。如此則以世涉方。其例可知。佛言此者。	以 方 涉 世 如 此 則 以 世 涉 方 其 例 可 知 佛 言 此 者 
X14n0295_004:0647a22	蓋指凡夫六根。根塵相織。世界相涉。從粗至細。所	蓋 指 凡 夫 六 根 根 塵 相 織 世 界 相 涉 從 粗 至 細 所 
X14n0295_004:0647a23	起塵勞。大數如此。莊子云。萬化而未始有極也。又	起 塵 勞 大 數 如 此 莊 子 云 萬 化 而 未 始 有 極 也 又 
X14n0295_004:0647a24	據六根了別之性同故。各各具有一千二百功德。	據 六 根 了 別 之 性 同 故 各 各 具 有 一 千 二 百 功 德 
X14n0295_004:0647b01	六塵了別之用異故。又有優劣全闕之殊。以眼言	六 塵 了 別 之 用 異 故 又 有 優 劣 全 闕 之 殊 以 眼 言 
X14n0295_004:0647b02	之。惟有八百功德。後方全暗。左右傍觀。三分之二。	之 惟 有 八 百 功 德 後 方 全 暗 左 右 傍 觀 三 分 之 二 
X14n0295_004:0647b03	以耳言之。圓滿一千二百功德。周聽則四方無遺。	以 耳 言 之 圓 滿 一 千 二 百 功 德 周 聽 則 四 方 無 遺 
X14n0295_004:0647b04	靜聞則無有邊際。以鼻言之。惟有八百功德。通息	靜 聞 則 無有邊際 以 鼻 言 之 惟 有 八 百 功 德 通 息 
X14n0295_004:0647b05	出入。而缺中交。如舌則圓滿一千二百功德。轉味	出 入 而 缺 中 交 如 舌 則 圓 滿 一 千 二 百 功 德 轉 味 
X14n0295_004:0647b06	為言。更覺妙用。盡諸世間。世出世智。言有方分。理	為 言 更 覺 妙 用 盡 諸 世 間 世 出 世 智 言 有 方 分 理 
X14n0295_004:0647b07	無窮盡。若身則惟八百功德。合時能覺。離時不知。	無 窮 盡 若 身 則 惟 八 百 功 德 合 時 能 覺 離 時 不 知 
X14n0295_004:0647b08	意則圓滿一千二百功德。十方三世一切世間世	意 則 圓 滿 一 千 二 百 功 德 十 方 三 世 一切世間 世 
X14n0295_004:0647b09	出世法。凡聖兼包。盡其涯際。阿難。汝今欲造生死	出 世 法 凡 聖 兼 包 盡 其 涯 際 阿 難 汝 今 欲 造 生 死 
X14n0295_004:0647b10	欲流。返窮流根。至不生滅。當驗此六受用根。於彼	欲 流 返 窮 流 根 至 不 生 滅 當 驗 此 六 受 用 根 於 彼 
X14n0295_004:0647b11	真性。誰合誰離。誰深誰淺。誰為圓通。誰不圓滿。若	真 性 誰 合 誰 離 誰 深 誰 淺 誰 為 圓 通 誰 不 圓 滿 若 
X14n0295_004:0647b12	能於此悟圓通根。則能逆彼。無始妄識。業流得循。	能 於 此 悟 圓 通 根 則 能 逆 彼 無 始 妄 識 業 流 得 循 
X14n0295_004:0647b13	圓通一門。深入一入無妄。彼六知根。一時清淨。	圓 通 一 門 深 入 一 入 無 妄 彼 六 知 根 一 時 清 淨 
X14n0295_004:0647b14	△圓六湛品第十五	 圓 六 湛 品 第 十 五 
X14n0295_004:0647b15	夫六根粘湛發妄故。一湛則六亡。根塵既消。云	夫 六 根 粘 湛 發 妄 故 一 湛 則 六 亡 根 塵 既 消 云 
X14n0295_004:0647b16	何覺明不成圓妙。	何 覺 明 不 成 圓 妙 
X14n0295_004:0647b17	阿難白佛言世尊云何逆流(至)云何覺明不成圓妙。	阿 難 白 佛 言 世 尊 云 何 逆 流 至 云 何 覺 明 不 成 圓 妙 
X14n0295_004:0647b18	阿難白世尊。云何逆流深入一門。能令六根一時	阿 難 白 世 尊 云 何 逆 流 深 入 一 門 能 令 六 根 一 時 
X14n0295_004:0647b19	清淨。佛告阿難。汝雖已得須陀洹果。已滅三界眾	清 淨 佛 告 阿 難 汝 雖 已 得 須陀洹果 已 滅 三 界 眾 
X14n0295_004:0647b20	生世間見所斷惑。然猶未斷思惑。乃積生無始虗	生 世 間 見所斷惑 然 猶 未 斷 思 惑 乃 積 生 無 始 虗 
X14n0295_004:0647b21	習。必三果乃斷。非阿難所知。此惑斷盡。六湛乃圓。	習 必 三 果 乃 斷 非 阿 難 所 知 此 惑 斷 盡 六 湛 乃 圓 
X14n0295_004:0647b22	今汝且觀。現前六根。為一為六。若言一者。耳何不	今 汝 且 觀 現 前 六 根 為 一 為 六 若 言 一 者 耳 何 不 
X14n0295_004:0647b23	見。目何不聞。若成六者。我今與汝。宣揚微妙法門。	見 目 何 不 聞 若 成 六 者 我 今 與 汝 宣 揚 微 妙 法 門 
X14n0295_004:0647b24	汝之六根。誰來領受。阿難言。我用耳聞。佛言。汝耳	汝 之 六 根 誰 來 領 受 阿 難 言 我 用 耳 聞 佛 言 汝 耳 
X14n0295_004:0647c01	自聞。何關身口。口來問義。身來領承。是故非一終	自 聞 何 關 身 口 口 來 問 義 身 來 領 承 是 故 非 一 終 
X14n0295_004:0647c02	六。非六終一。終不汝。根元一元六。當知是根非一	六 非 六 終 一 終 不 汝 根 元 一 元 六 當 知 是 根 非 一 
X14n0295_004:0647c03	非六。由無始顛倒。淪替於圓湛。一六義生。汝登初	非 六 由 無 始 顛 倒 淪 替 於 圓 湛 一 六 義 生 汝 登 初 
X14n0295_004:0647c04	果。雖得六銷。猶未忘一。六者粗惑妄結。一者細惑	果 雖 得 六 銷 猶 未 忘 一 六 者 粗 惑 妄 結 一 者 細 惑 
X14n0295_004:0647c05	法執。須陀洹已斷粗惑。不入聲色香味觸法。是得	法 執 須 陀 洹 已 斷 粗 惑 不 入 聲 色香味觸 法 是 得 
X14n0295_004:0647c06	六銷。而尚滯法執。是未亡一。以後文證之。此乃方	六 銷 而 尚 滯 法 執 是 未 亡 一 以 後 文 證 之 此 乃 方 
X14n0295_004:0647c07	得人空。而未能成法解脫。至俱空不生。乃云亡一	得 人 空 而 未 能 成 法 解 脫 至 俱 空 不 生 乃 云 亡 一 
X14n0295_004:0647c08	如彼太虗。參合羣品。由器形異。名之異空。除器觀	如 彼 太 虗 參 合 羣 品 由 器 形 異 名 之 異 空 除 器 觀 
X14n0295_004:0647c09	空。說空為一。彼太虗空。云何為汝。成同不同。何況	空 說 空 為 一 彼 太 虗 空 云 何 為 汝 成 同 不 同 何 況 
X14n0295_004:0647c10	更名是一非一。則汝了知。六受用根亦復如是。知	更 名 是 一 非 一 則 汝 了 知 六 受 用 根 亦復如是 知 
X14n0295_004:0647c11	太虗之同異。是非了無所立。則一六併亡。圓湛不	太 虗 之 同 異 是 非 了 無 所 立 則 一 六 併 亡 圓 湛 不 
X14n0295_004:0647c12	分矣然六一既無。而今現有六根者。由粘湛發妄	分 矣 然 六 一 既 無 而 今 現 有 六 根 者 由 粘 湛 發 妄 
X14n0295_004:0647c13	耳。由於明暗二種相形。於妙圓中。粘湛發見。見精	耳 由 於 明 暗 二 種 相 形 於 妙 圓 中 粘 湛 發 見 見 精 
X14n0295_004:0647c14	映色。結色成根。此根之元。目為清淨四大。因名眼	映 色 結 色 成 根 此 根 之 元 目 為 清 淨 四 大 因 名 眼 
X14n0295_004:0647c15	體。方是之時。如蒲萄朵。是體雖具。而識未流。及乎	體 方 是 之 時 如 蒲 萄 朵 是 體 雖 具 而 識 未 流 及 乎 
X14n0295_004:0647c16	流逸奔境。則以染故轉名。浮根四塵。而不名清淨	流 逸 奔 境 則 以 染 故 轉 名 浮 根 四 塵 而 不 名 清 淨 
X14n0295_004:0647c17	四大矣。由於動靜二種相擊。於妙圓中。粘湛發聰。	四 大 矣 由 於 動 靜 二 種 相 擊 於 妙 圓 中 粘 湛 發 聰 
X14n0295_004:0647c18	聰精映聲。卷聲成根元。名清淨四大。如新卷葉。及	聰 精 映 聲 卷 聲 成 根 元 名 清 淨 四 大 如 新 卷 葉 及 
X14n0295_004:0647c19	乎浮根流逸奔境。轉為四塵。不為清淨。由於通塞	乎 浮 根 流 逸 奔 境 轉 為 四 塵 不 為 清 淨 由 於 通 塞 
X14n0295_004:0647c20	二種相發。於妙圓中。粘湛發齅。齅精映香。納舌成	二 種 相 發 於 妙 圓 中 粘 湛 發 齅 齅 精 映 香 納 舌 成 
X14n0295_004:0647c21	根元。名清淨四大。如雙垂爪。及乎浮根流逸奔境。	根 元 名 清 淨 四 大 如 雙 垂 爪 及 乎 浮 根 流 逸 奔 境 
X14n0295_004:0647c22	轉為四塵。不名清淨。由於恬變二種相參。於妙圓	轉 為 四 塵 不 名 清 淨 由 於 恬 變 二 種 相 參 於 妙 圓 
X14n0295_004:0647c23	中。粘湛發甞。甞精映味。絞味成根。元名清淨四大。	中 粘 湛 發 甞 甞 精 映 味 絞 味 成 根 元 名 清 淨 四 大 
X14n0295_004:0647c24	如初偃月。及乎浮根流逸奔味。轉為四塵。不名清	如 初 偃 月 及 乎 浮 根 流 逸 奔 味 轉 為 四 塵 不 名 清 
X14n0295_004:0648a01	淨。由離合等二種相摩。於妙圓中。粘湛發覺。覺精	淨 由 離 合 等 二 種 相 摩 於 妙 圓 中 粘 湛 發 覺 覺 精 
X14n0295_004:0648a02	映觸。轉觸成根。如腰鼓顙。流逸奔觸。轉為浮根四	映 觸 轉 觸 成 根 如 腰 鼓 顙 流 逸 奔 觸 轉 為 浮 根 四 
X14n0295_004:0648a03	塵。不名清淨。由生滅等二種相續。於妙圓中。粘湛	塵 不 名 清 淨 由 生 滅 等 二 種 相 續 於 妙 圓 中 粘 湛 
X14n0295_004:0648a04	發知。知精映法。攬法成根。元為清淨四大。如幽室	發 知 知 精 映 法 攬 法 成 根 元 為 清 淨 四 大 如 幽 室 
X14n0295_004:0648a05	見。及乎浮根流逸奔法。轉為四塵。不名清淨。阿難	見 及 乎 浮 根 流 逸 奔 法 轉 為 四 塵 不 名 清 淨 阿 難 
X14n0295_004:0648a06	如是六根。由彼覺明有明。明覺失彼。精了粘妄。發	如 是 六 根 由 彼 覺 明 有 明 明 覺 失 彼 精 了 粘 妄 發 
X14n0295_004:0648a07	光覺明。真明也。有明明覺。妄明也。前云性覺必明	光 覺 明 真 明 也 有 明 明 覺 妄 明 也 前 云 性 覺 必 明 
X14n0295_004:0648a08	妄為明覺。義盡如此。是以汝今離暗離明。無有見	妄 為 明 覺 義 盡 如 此 是 以 汝 今 離 暗 離 明 無 有 見 
X14n0295_004:0648a09	體。離動離靜。原無聽質。無通無塞。齅性不生。非變	體 離 動 離 靜 原 無 聽 質 無 通 無 塞 齅 性 不 生 非 變 
X14n0295_004:0648a10	非恬。甞無所出。不離不合。覺觸本無。無滅無生。了	非 恬 甞 無 所 出 不 離 不 合 覺 觸 本 無 無 滅 無 生 了 
X14n0295_004:0648a11	知安寄。可見六皆虗妄離塵。悉無自體。汝但不循	知 安 寄 可 見 六 皆 虗 妄 離 塵 悉 無 自 體 汝 但 不 循 
X14n0295_004:0648a12	動靜合離。恬變通塞。生滅明暗。諸有為相。隨拔一	動 靜 合 離 恬 變 通 塞 生 滅 明 暗 諸 有 為 相 隨 拔 一 
X14n0295_004:0648a13	根。脫粘內伏。收聽返視。伏歸元真。發本明耀。耀性	根 脫 粘 內 伏 收 聽 返 視 伏 歸 元 真 發 本 明 耀 耀 性 
X14n0295_004:0648a14	發明。諸餘五粘。應拔圓脫。不由前塵所起知見。明	發 明 諸 餘 五 粘 應 拔 圓 脫 不 由 前 塵 所 起 知 見 明 
X14n0295_004:0648a15	不循根。寄根明發。由是六根互相為用。粘妄則由	不 循 根 寄 根 明 發 由 是 六 根 互 相 為 用 粘 妄 則 由 
X14n0295_004:0648a16	前塵循浮。故成隔礙。粘湛則不循不由。特寄根而	前 塵 循 浮 故 成 隔 礙 粘 湛 則 不 循 不 由 特 寄 根 而 
X14n0295_004:0648a17	已。故耳亦可視。眼亦可聽。互相為用。六用一原也。	已 故 耳 亦 可 視 眼 亦 可 聽 互 相 為 用 六 用 一 原 也 
X14n0295_004:0648a18	豈不知今此會中律陀無目而見。賢喜龍王無耳	豈 不 知 今 此 會 中 律 陀 無 目 而 見 賢 喜 龍 王 無 耳 
X14n0295_004:0648a19	而聽。恒河神女無鼻而聞香。驕梵異舌而知味。空	而 聽 恒 河 神 女 無 鼻 而 聞 香 驕 梵 異 舌 而 知 味 空 
X14n0295_004:0648a20	身無身而覺觸。如此會中摩訶迦葉。久滅意根。圓	身 無 身 而 覺 觸 如 此 會 中 摩 訶 迦 葉 久 滅 意 根 圓 
X14n0295_004:0648a21	明了知。不由心念。汝今諸根若圓拔已。內瑩發光。	明 了 知 不 由 心 念 汝 今 諸 根 若 圓 拔 已 內 瑩 發 光 
X14n0295_004:0648a22	如是浮塵幻相。如湯銷氷。成一圓融清淨寶覺。故	如 是 浮 塵 幻 相 如 湯 銷 氷 成 一 圓 融 清 淨 寶 覺 故 
X14n0295_004:0648a23	曰應念化生。無上知覺。圓妙如是。如彼世人聚見	曰 應 念 化 生 無 上 知 覺 圓 妙 如 是 如 彼 世 人 聚 見 
X14n0295_004:0648a24	於眼。若令急合。暗相現前。六根黯然。頭足相類。若	於 眼 若 令 急 合 暗 相 現 前 六 根 黯 然 頭 足 相 類 若 
X14n0295_004:0648b01	不假外明。而內瑩發光。是不明自發也。則諸暗相	不 假 外 明 而 內 瑩 發 光 是 不 明 自 發 也 則 諸 暗 相 
X14n0295_004:0648b02	永不能昏。其妙若此。若使根塵既消。云何覺明不	永 不 能 昏 其 妙 若 此 若 使 根 塵 既 消 云 何 覺 明 不 
X14n0295_004:0648b03	成圓妙。	成 圓 妙 
X14n0295_004:0648b04	△究竟修因品第十六	 究 竟 修 因 品 第 十 六 
X14n0295_004:0648b05	阿難悞認六塵緣影。為自心性。故疑離塵入滅。	阿 難 悞 認 六 塵 緣 影 為 自 心 性 故 疑 離 塵 入 滅 
X14n0295_004:0648b06	將誰立因。求無上覺故。佛使羅睺擊鐘使驗。根	將 誰 立 因 求 無 上 覺 故 佛 使 羅 睺 擊 鐘 使 驗 根 
X14n0295_004:0648b07	塵雖斷。聞性不滅。以此為因。則七常住果。於是	塵 雖 斷 聞 性 不 滅 以 此 為 因 則 七 常 住 果 於 是 
X14n0295_004:0648b08	可成。	可 成 
X14n0295_004:0648b09	阿難白佛言世尊如佛說言(至)云何不成無上知覺。	阿 難 白 佛 言 世 尊 如 佛 說 言 至 云 何 不 成 無 上 知 覺 
X14n0295_004:0648b10	阿難白佛言。世尊。如佛說言。因地覺心。欲求常住。	阿 難 白 佛 言 世 尊 如 佛 說 言 因 地 覺 心 欲 求 常 住 
X14n0295_004:0648b11	若此見聽。離於明暗動靜通塞。畢竟無體。猶如念	若 此 見 聽 離 於 明 暗 動 靜 通 塞 畢 竟 無 體 猶 如 念 
X14n0295_004:0648b12	心。離於前塵。本無所有。云何將此畢竟斷滅。以為	心 離 於 前 塵 本 無 所 有 云 何 將 此 畢 竟 斷 滅 以 為 
X14n0295_004:0648b13	修因。求常住果。烏得相應(七常住果曰菩提涅槃	修 因 求 常 住 果 烏 得 相 應 七 常 住 果 曰 菩 提 涅 槃 
X14n0295_004:0648b14	真如佛性。菴摩羅識。空如來藏。大圓鏡智。諸佛所得。	真 如 佛 性 菴摩羅識 空 如 來 藏 大圓鏡智 諸 佛 所 得 
X14n0295_004:0648b15	曰菩提。寂靜長樂。曰涅槃。不妄不變。曰真如。離過絕	曰 菩 提 寂 靜 長 樂 曰 涅 槃 不 妄 不 變 曰 真 如 離 過 絕 
X14n0295_004:0648b16	非。曰佛性分別一切。而無染着。曰菴摩羅識。一法不	非 曰 佛 性 分 別 一 切 而 無 染 着 曰 菴摩羅識 一 法 不 
X14n0295_004:0648b17	立。煩惱蕩盡曰空如來藏。洞照萬法。而無分別。曰大	立 煩 惱 蕩 盡 曰 空 如 來 藏 洞 照 萬 法 而 無 分 別 曰 大 
X14n0295_004:0648b18	圓鏡智)。	圓 鏡 智 
