T85n2767_001:0310c17	藥師經疏	藥 師 經 疏 
T85n2767_001:0318c19	名為戒。王言。若忍是戒者。當截汝耳。若能	名 為 戒 王 言 若 忍 是 戒 者 當 截 汝 耳 若 能 
T85n2767_001:0318c20	忍者知汝持戒。即截其耳。時我被截顏容不	忍 者 知 汝 持 戒 即 截 其 耳 時 我 被 截 顏 容 不 
T85n2767_001:0318c21	變。時王群臣見是事已即諫王言。如是大士	變 時 王 群 臣 見 是 事 已 即 諫 王 言 如 是 大 士 
T85n2767_001:0318c22	不應加害。王告諸臣。汝等云何知是大士。諸	不 應 加 害 王 告 諸 臣 汝 等 云 何 知 是 大 士 諸 
T85n2767_001:0318c23	臣答言。見受苦時容色不變。王復語言。我當	臣 答 言 見 受 苦 時 容 色 不 變 王 復 語 言 我 當 
T85n2767_001:0318c24	更試知變不變。即劓其鼻刖其手足。爾時菩	更 試 知 變 不 變 即 劓 其 鼻 刖 其 手 足 爾 時 菩 
T85n2767_001:0318c25	薩無量世中修習慈悲愍苦眾生。時四天王	薩 無 量 世 中 修 習 慈 悲 愍 苦 眾 生 時 四 天 王 
T85n2767_001:0318c26	心壞瞋忿雨沙礫石。王見是已心大怖畏。復	心 壞 瞋 忿 雨 沙 礫 石 王 見 是 已 心 大 怖 畏 復 
T85n2767_001:0318c27	至我所長跪而言。唯願哀愍聽我懺悔。我言。	至 我 所 長 跪 而 言 唯 願 哀 愍 聽 我 懺 悔 我 言 
T85n2767_001:0318c28	大王。我心無瞋亦如無貪。王言。大德。云何得	大 王 我 心 無 瞋 亦 如 無 貪 王 言 大 德 云 何 得 
T85n2767_001:0318c29	知心無瞋恨。我即立誓。我若真實無瞋恨者。	知 心 無 瞋 恨 我 即 立 誓 我 若 真 實 無 瞋 恨 者 
T85n2767_001:0319a01	令我此身平復如故。發是願已身即平復。是	令 我 此 身 平 復 如 故 發 是 願 已 身 即 平 復 是 
T85n2767_001:0319a02	故名為無嫌恨心。	故 名 為 無 嫌 恨 心 
T85n2767_001:0319a03	經。復次至憂波私　五治不定文分為七。一	經 復 次 至 憂 波 私 五 治 不 定 文 分 為 七 一 
T85n2767_001:0319a04	機器咸臻。二戒德資潤。三隨所願樂。四由昔	機 器 咸 臻 二 戒 德 資 潤 三 隨 所 願 樂 四 由 昔 
T85n2767_001:0319a05	聞名。五聖眾來迎。六天人受福。七永離女身。	聞 名 五 聖 眾 來 迎 六 天 人 受 福 七 永 離 女 身 
T85n2767_001:0319a06	此則初也。比丘如前。釋比丘尼者。此之乞士	此 則 初 也 比 丘 如 前 釋 比 丘 尼 者 此 之 乞 士 
T85n2767_001:0319a07	女。謂受五百戒者。亦攝戒叉摩那及沙彌	女 謂 受 五 百 戒 者 亦 攝 戒 叉 摩 那 及 沙 彌 
T85n2767_001:0319a08	尼。	尼 
T85n2767_001:0319a09	經。及餘信心至受持諸戒　二戒德資潤。云	經 及 餘 信 心 至 受 持 諸 戒 二 戒 德 資 潤 云 
T85n2767_001:0319a10	何名為受八分齋。智論十三云。先受三歸。次	何 名 為 受 八 分 齋 智 論 十 三 云 先 受 三 歸 次 
T85n2767_001:0319a11	為懺悔。後為受戒。應云如諸佛盡形壽不殺	為 懺 悔 後 為 受 戒 應 云 如 諸 佛 盡 形 壽 不 殺 
T85n2767_001:0319a12	生。我某甲一日夜不殺生能持不。如是不盜	生 我 某 甲 一 日 夜 不 殺 生 能 持 不 如 是 不 盜 
T85n2767_001:0319a13	不婬不妄語不飲酒不坐高廣大床不著花香	不 婬 不 妄 語 不 飲 酒 不 坐 高 廣 大 床 不 著 花 香 
T85n2767_001:0319a14	瓔珞不觀伎樂過中食等名八分齋。問何以	瓔 珞 不 觀 伎 樂 過 中 食 等 名 八 分 齋 問 何 以 
T85n2767_001:0319a15	六齋日受於八戒。答是日惡鬼逐人欲奪人	六 齋 日 受 於 八 戒 答 是 日 惡 鬼 逐 人 欲 奪 人 
T85n2767_001:0319a16	命。疾病凶衰不仁不吉。劫初聖人。教人持齋	命 疾 病 凶 衰 不 仁 不 吉 劫 初 聖 人 教 人 持 齋 
T85n2767_001:0319a17	修善。作福以避凶衰。是時齋法不受八戒。直	修 善 作 福 以 避 凶 衰 是 時 齋 法 不 受 八 戒 直 
T85n2767_001:0319a18	以一日不食為齋。後佛出世教言。汝當一日	以 一 日 不 食 為 齋 後 佛 出 世 教 言 汝 當 一 日 
T85n2767_001:0319a19	一夜如諸佛持八戒過中不食。以是功德將	一 夜 如 諸 佛 持 八 戒 過 中 不 食 以 是 功 德 將 
T85n2767_001:0319a20	人至涅槃。如四天王經中說。四天王等自下	人 至 涅 槃 如 四 天 王 經 中 說 四 天 王 等 自 下 
T85n2767_001:0319a21	觀察四天下人布施持戒孝順父母少者。四	觀 察 四 天 下 人 布 施 持 戒 孝順父母 少 者 四 
T85n2767_001:0319a22	天王等便上忉利以啟帝釋一切諸天心皆不	天 王 等 便 上 忉 利 以 啟 帝 釋 一 切 諸 天 心 皆 不 
T85n2767_001:0319a23	悅自傷歎言。修羅種多諸天種少。若布施持	悅 自 傷 歎 言 修 羅 種 多 諸 天 種 少 若 布 施 持 
T85n2767_001:0319a24	戒孝順多者。帝釋諸天心皆歡喜言。增益諸	戒 孝 順 多 者 帝 釋 諸 天 心 皆 歡 喜 言 增 益 諸 
T85n2767_001:0319a25	天眾減損阿修羅。是時帝釋自說偈言。六齋	天 眾 減 損 阿 修 羅 是 時 帝 釋 自 說 偈 言 六 齋 
T85n2767_001:0319a26	神足月。受持清淨戒。是人壽終後。功德必如	神 足 月 受 持 清 淨 戒 是 人 壽 終 後 功 德 必 如 
T85n2767_001:0319a27	我。佛告帝釋。汝三衰三毒未除。云何妄言	我 佛 告 帝 釋 汝 三 衰 三 毒 未 除 云 何 妄 言 
T85n2767_001:0319a28	持一日戒功德福報必得如我。若受持此戒。	持 一 日 戒 功 德 福 報 必 得 如 我 若 受 持 此 戒 
T85n2767_001:0319a29	必應如佛諸天歡喜福德增多。又此六齋日	必 應 如 佛 諸 天 歡 喜 福 德 增 多 又 此 六 齋 日 
T85n2767_001:0319b01	惡鬼害人惱亂一切。若所在國邑有持齋受	惡 鬼 害 人 惱 亂 一 切 若 所 在 國 邑 有 持 齋 受 
T85n2767_001:0319b02	戒人者。惡鬼遠去住處安隱。以是義故。六日	戒 人 者 惡 鬼 遠 去 住 處 安 隱 以是義故 六 日 
T85n2767_001:0319b03	持齋得福增多　問何故諸惡鬼輩以此六日	持 齋 得 福 增 多 問 何 故 諸 惡 鬼 輩 以 此 六 日 
T85n2767_001:0319b04	惱害於人。答天地本起經說。劫初成時有	惱 害 於 人 答 天 地 本 起 經 說 劫 初 成 時 有 
T85n2767_001:0319b05	異梵天王子諸鬼神父修梵志苦行滿天上十	異 梵 天 王 子 諸 鬼 神 父 修 梵 志 苦 行 滿 天 上 十 
T85n2767_001:0319b06	二歲。於此六日割肉出血以著火中。以是義	二 歲 於 此 六 日 割 肉 出 血 以 著 火 中 以 是 義 
T85n2767_001:0319b07	故。諸惡鬼神。於此六日輒有勢力　問諸鬼	故 諸 惡 鬼 神 於 此 六 日 輒 有 勢 力 問 諸 鬼 
T85n2767_001:0319b08	神父母。何以於此六日割身肉血以著火中。	神 父 母 何 以 於 此 六 日 割 身 肉 血 以 著 火 中 
T85n2767_001:0319b09	答諸天神中摩醯首羅最為第一。諸神皆有	答 諸 天 神 中 摩 醯 首 羅 最 為 第 一 諸 神 皆 有 
T85n2767_001:0319b10	日分。摩醯首羅一月有四日分。八日二十三	日 分 摩 醯 首 羅 一 月 有 四 日 分 八 日 二 十 三 
T85n2767_001:0319b11	日十四日二十九日。餘神一月有二日分。月	日 十 四 日 二 十 九 日 餘 神 一 月 有 二 日 分 月 
T85n2767_001:0319b12	一日十六日月二日十七日其十五日三十日	一 日 十 六 日 月 二 日 十 七 日 其 十 五 日 三 十 日 
T85n2767_001:0319b13	屬一切神。摩醯首羅為諸天王。又得日多故。	屬 一 切 神 摩 醯 首 羅 為 諸 天 王 又 得 日 多 故 
T85n2767_001:0319b14	數其四日為齋。二日是一切神日亦數為齋。	數 其 四 日 為 齋 二 日 是 一 切 神 日 亦 數 為 齋 
T85n2767_001:0319b15	是故諸鬼神。於此六日輒有勢力。又諸鬼神	是 故 諸 鬼 神 於 此 六 日 輒 有 勢 力 又 諸 鬼 神 
T85n2767_001:0319b16	父於此六日割肉出血以著火中。過十二年	父 於 此 六 日 割 肉 出 血 以 著 火 中 過 十 二 年 
T85n2767_001:0319b17	已天王來下語其子言。汝求何願。答言。我求	已 天 王 來 下 語 其 子 言 汝 求 何 願 答 言 我 求 
T85n2767_001:0319b18	有子。天王言。仙人供養法以燒香甘菓諸清	有 子 天 王 言 仙 人 供 養 法 以 燒 香 甘 菓 諸 清 
T85n2767_001:0319b19	淨事。汝云何以肉血著火中。如罪惡法破善	淨 事 汝 云 何 以 肉 血 著 火 中 如 罪 惡 法 破 善 
T85n2767_001:0319b20	法樂為惡事。令汝生惡子敢肉飲血。當說是	法 樂 為 惡 事 令 汝 生 惡 子 敢 肉 飲 血 當 說 是 
T85n2767_001:0319b21	時火中有八大鬼出。身黑如墨。髮黃眼赤。有	時 火 中 有 八 大 鬼 出 身 黑 如 墨 髮 黃 眼 赤 有 
T85n2767_001:0319b22	大光明。一切鬼神皆從此八鬼生。以是義	大 光 明 一 切 鬼 神 皆 從 此 八 鬼 生 以 是 義 
T85n2767_001:0319b23	於六日割身肉血以著火中而得勢力。如佛	於 六 日 割 身 肉 血 以 著 火 中 而 得 勢 力 如 佛 
T85n2767_001:0319b24	法中日無好惡。隨世惡日教持齋受戒。戒復	法 中 日 無 好 惡 隨 世 惡 日 教 持 齋 受 戒 戒 復 
T85n2767_001:0319b25	一年者。謂一年中月別六日常持八分齋戒。	一 年 者 謂 一 年 中 月 別 六 日 常 持 八 分 齋 戒 
T85n2767_001:0319b26	謂白月八日十四十五日。黑月亦爾。或復三	謂 白 月 八 日 十 四 十 五 日 黑 月 亦 爾 或 復 三 
T85n2767_001:0319b27	月者。謂未能一年常持月六。但經一年持三。	月 者 謂 未 能 一 年 常 持 月 六 但 經 一 年 持 三 
T85n2767_001:0319b28	長月謂正月即春分。四月之初月。五月即夏	長 月 謂 正 月 即 春 分 四 月 之 初 月 五 月 即 夏 
T85n2767_001:0319b29	分。四月之初月。九月即冬分。四月之初月。以	分 四 月 之 初 月 九 月 即 冬 分 四 月 之 初 月 以 
T85n2767_001:0319c01	彼天竺國法一年但有三時。三時之中各於	彼 天 竺 國 法 一 年 但 有 三 時 三 時 之 中 各 於 
T85n2767_001:0319c02	初月持齋戒。即表一年常修善也。	初 月 持 齋 戒 即 表 一 年 常 修 善 也 
T85n2767_001:0319c03	經。以此善根至如來所者　三隨所願樂。今	經 以 此 善 根 至 如 來 所 者 三 隨 所 願 樂 今 
T85n2767_001:0319c04	言以此善根者。是前持戒等善根。謂修此善	言 以 此 善 根 者 是 前 持 戒 等 善 根 謂 修 此 善 
T85n2767_001:0319c05	根願生西方也。云何名為極樂世界稱讚。經	根 願 生 西 方 也 云 何 名 為 極樂世界 稱 讚 經 
T85n2767_001:0319c06	說假使經於百千俱胝那庾多劫。以其無量	說 假 使 經 於 百 千 俱 胝 那 庾 多 劫 以 其 無 量 
T85n2767_001:0319c07	百千俱胝那庾多舌。一一舌上出無量聲讚	百 千 俱 胝 那 庾 多 舌 一 一 舌 上 出 無 量 聲 讚 
T85n2767_001:0319c08	其功德。亦不能盡。是故名為極樂世界。梵音	其 功 德 亦 不 能 盡 是 故 名 為 極樂世界 梵 音 
T85n2767_001:0319c09	阿彌陀。此云無量壽。	阿 彌 陀 此 云 無 量 壽 
T85n2767_001:0319c10	經。由得聞彼至名號故　四由昔聞名。由聞	經 由 得 聞 彼 至 名 號 故 四 由 昔 聞 名 由 聞 
T85n2767_001:0319c11	藥師如來名故。入正定聚。便得往生。問聚有	藥 師 如 來 名 故 入正定聚 便 得 往 生 問 聚 有 
T85n2767_001:0319c12	幾種。答聚有三種。問聚既有三未知位地如	幾 種 答 聚 有 三 種 問 聚 既 有 三 未 知 位 地 如 
T85n2767_001:0319c13	何。答依薩婆多宗。五亭心觀已前名邪定	何 答 依 薩 婆 多 宗 五 亭 心 觀 已 前 名 邪 定 
T85n2767_001:0319c14	聚。從五亭心觀至腹頂兩位名不定聚。忍位	聚 從 五 亭 心 觀 至 腹 頂 兩 位 名 不 定 聚 忍 位 
T85n2767_001:0319c15	已上名正定聚。若依大乘無三乘種性者名	已 上 名 正 定 聚 若 依 大 乘 無 三 乘 種 性 者 名 
T85n2767_001:0319c16	邪定聚。有三乘種性。或未發心。雖發心未是	邪 定 聚 有 三 乘 種 性 或 未 發 心 雖 發 心 未 是 
T85n2767_001:0319c17	不退　皆名不定聚。若有三乘種性。復已發	不 退 皆 名 不 定 聚 若 有 三 乘 種 性 復 已 發 
T85n2767_001:0319c18	心決定不退者名正定聚。謂前持戒等眾。雖	心 決 定 不 退 者 名 正 定 聚 謂 前 持 戒 等 眾 雖 
T85n2767_001:0319c19	願生極樂。有未入定位者。若後得聞藥師如	願 生 極 樂 有 未 入 定 位 者 若 後 得 聞 藥 師 如 
T85n2767_001:0319c20	來名號。便得入正定聚中終能往生。	來 名 號 便 得 入正定聚 中 終 能 往 生 
T85n2767_001:0319c21	經。於命終時至自然化生　五聖眾來迎。波	經 於 命 終 時 至 自然化生 五 聖 眾 來 迎 波 
T85n2767_001:0319c22	頭摩花者。赤蓮花也。問涅槃智論溫室經等。	頭 摩 花 者 赤 蓮 花 也 問 涅 槃 智 論 溫 室 經 等 
T85n2767_001:0319c23	明菴羅女本花中生名為濕生。今淨土中亦	明 菴 羅 女 本 花 中 生 名 為 濕 生 今 淨 土 中 亦 
T85n2767_001:0319c24	因花生乃名化生。竟有何意。答穢土之中及	因 花 生 乃 名 化 生 竟 有 何 意 答 穢 土 之 中 及 
T85n2767_001:0319c25	諸草木人未託生之前先自因濕而生。常有	諸 草 木 人 未 託 生 之 前 先 自 因 濕 而 生 常 有 
T85n2767_001:0319c26	濕氣。復得菴羅女等託此濕氣而生故名濕	濕 氣 復 得 菴 羅 女 等 託 此 濕 氣 而 生 故 名 濕 
T85n2767_001:0319c27	生。淨土蓮花與人同時無而忽有。若人若花	生 淨 土 蓮 花 與 人 同 時 無 而 忽 有 若 人 若 花 
T85n2767_001:0319c28	俱不因濕而起故名化生。	俱 不 因 濕 而 起 故 名 化 生 
T85n2767_001:0319c29	經。若復此人至如大力士　六天人受福。謂	經 若 復 此 人 至 如 大 力 士 六 天 人 受 福 謂 
T85n2767_001:0320a01	聞藥師如來名故。命終生天。此人雖復未凡	聞 藥 師 如 來 名 故 命 終 生 天 此 人 雖 復 未 凡 
T85n2767_001:0320a02	生淨土亦是正定聚人終能往生故。此經云	生 淨 土 亦 是 正 定 聚 人 終 能 往 生 故 此 經 云 
T85n2767_001:0320a03	雖生天中本昔吾根無有窮盡。不復更生諸	雖 生 天 中 本 昔 吾 根 無 有 窮 盡 不復更生 諸 
T85n2767_001:0320a04	餘惡趣。若是不定聚人豈得善根無盡不生	餘 惡 趣 若 是 不 定 聚 人 豈 得 善 根 無 盡 不 生 
T85n2767_001:0320a05	惡趣。本昔善根者。謂本出世善根。或聞藥師	惡 趣 本 昔 善 根 者 謂 本 出 世 善 根 或 聞 藥 師 
T85n2767_001:0320a06	如來名號善根。轉輪王者。俱舍十二云。輪	如 來 名 號 善 根 轉 輪 王 者 俱 舍 十 二 云 輪 
T85n2767_001:0320a07	王出世為在何時。幾種幾俱何威何相。從此	王 出 世 為 在 何 時 幾 種 幾 俱 何 威 何 相 從 此 
T85n2767_001:0320a08	洲人壽無量歲。乃至八萬歲有轉輪王生。減	洲 人 壽 無 量 歲 乃 至 八 萬 歲 有 轉 輪 王 生 減 
T85n2767_001:0320a09	八萬時。有情富樂壽量損減。眾惡漸盛。非大	八 萬 時 有 情 富 樂 壽 量 損 減 眾 惡 漸 盛 非 大 
T85n2767_001:0320a10	人器故無輪王。此王由輪旋轉應導威伏一	人 器 故 無 輪 王 此 王 由 輪 旋 轉 應 導 威 伏 一 
T85n2767_001:0320a11	切名轉輪王。施設足中說有四種。金銀銅鐵。	切 名 轉 輪 王 施 設 足 中 說 有 四 種 金 銀 銅 鐵 
T85n2767_001:0320a12	如其次第。勝上中下。逆次能王領一二三四	如 其 次 第 勝 上 中 下 逆 次 能 王 領 一 二 三 四 
T85n2767_001:0320a13	洲謂鐵輪王王一洲界。銅輪王二。銀輪王三。	洲 謂 鐵 輪 王 王 一 洲 界 銅 輪 王 二 銀 輪 王 三 
T85n2767_001:0320a14	若金輪王王四洲界。契經就勝但說金輪故。	若 金 輪 王 王 四 洲 界 契 經 就 勝 但 說 金 輪 故 
T85n2767_001:0320a15	契經言。若王生在剎帝利種。紹灑頂位。於十	契 經 言 若 王 生 在 剎 帝 利 種 紹 灑 頂 位 於 十 
T85n2767_001:0320a16	五日受齋戒時。沐浴首身受勝齋戒。非高臺	五 日 受 齋 戒 時 沐 浴 首 身 受 勝 齋 戒 非 高 臺 
T85n2767_001:0320a17	殿。臣僚輔翼。東方忽有金輪寶現。其輪千輻。	殿 臣 僚 輔 翼 東 方 忽 有 金 輪 寶 現 其 輪 千 輻 
T85n2767_001:0320a18	具足轂輞。眾相圓淨。如巧匠成。舒妙光明。來	具 足 轂 輞 眾 相 圓 淨 如 巧 匠 成 舒 妙 光 明 來 
T85n2767_001:0320a19	應王所。此王定是金轉輪王。餘轉輪王應知	應 王 所 此 王 定 是 金 轉 輪 王 餘 轉 輪 王 應 知 
T85n2767_001:0320a20	亦爾。如是所說四種輪王威定諸方亦有差	亦 爾 如是所說 四 種 輪 王 威 定 諸 方 亦 有 差 
T85n2767_001:0320a21	別。謂金輪者。諸小國王。各自來迎。作如是	別 謂 金 輪 者 諸 小 國 王 各 自 來 迎 作 如 是 
T85n2767_001:0320a22	請。我等國土寬廣豐饒安隱富樂多諸人眾。	請 我 等 國 土 寬 廣 豐 饒 安 隱 富 樂 多 諸 人 眾 
T85n2767_001:0320a23	唯願天尊親垂教勅。我等皆是天尊翼從。若	唯 願 天 尊 親 垂 教 勅 我 等 皆 是 天 尊 翼 從 若 
T85n2767_001:0320a24	銀輪王自往彼土威嚴近至彼方臣伏。若銅	銀 輪 王 自 往 彼 土 威 嚴 近 至 彼 方 臣 伏 若 銅 
T85n2767_001:0320a25	輪王至彼國已宣威競德彼方椎勝。若鐵輪	輪 王 至 彼 國 已 宣 威 競 德 彼 方 椎 勝 若 鐵 輪 
T85n2767_001:0320a26	王亦至彼國現威列陣剋勝便止。一切輪王	王 亦 至 彼 國 現 威 列 陣 剋 勝 便 止 一 切 輪 王 
T85n2767_001:0320a27	皆無傷害。令伏得勝已各安其所居。勸化令	皆 無 傷 害 令 伏 得 勝 已 各 安 其 所 居 勸 化 令 
T85n2767_001:0320a28	修十善業道故。輪王死定得生天。云何四洲。	修 十善業道 故 輪 王 死 定 得 生 天 云 何 四 洲 
T85n2767_001:0320a29	東勝身洲。南贍部洲。西牛貨洲。北俱盧洲。十	東勝身洲 南贍部洲 西 牛 貨 洲 北 俱 盧 洲 十 
T85n2767_001:0320b01	善業道者。廣如瑜伽雜集論說。十惡業道所	善 業 道 者 廣 如 瑜 伽 雜 集 論 說 十 惡 業 道 所 
T85n2767_001:0320b02	有果相翻彼即是十善業道。	有 果 相 翻 彼 即 是 十善業道 
T85n2767_001:0320b03	經。若有女人至永離女身　七永離女身。由	經 若 有 女 人 至 永 離 女 身 七 永 離 女 身 由 
T85n2767_001:0320b04	聞藥師如來名故。轉女成男。往生淨土。以女	聞 藥 師 如 來 名 故 轉 女 成 男 往 生 淨 土 以 女 
T85n2767_001:0320b05	人及根缺不生淨土。今此段文明轉不定業	人 及 根 缺 不 生 淨 土 今 此 段 文 明 轉 不 定 業 
T85n2767_001:0320b06	得成正定業。	得 成 正 定 業 
T85n2767_001:0320b07	經。爾時至覺悟其耳　五答攝生時節文分	經 爾 時 至 覺 悟 其 耳 五 答 攝 生 時 節 文 分 
T85n2767_001:0320b08	為六。一妙德利物。二如來述成。三師資辨益。	為 六 一 妙 德 利 物 二 如 來 述 成 三 師 資 辨 益 
T85n2767_001:0320b09	四救脫潤生。五示病救方。六令延遐壽。就初	四 救 脫 潤 生 五 示 病 救 方 六 令 延 遐 壽 就 初 
T85n2767_001:0320b10	文中文分為四。一正明辨利。二勸物受持。三	文 中 文 分 為 四 一 正 明 辨 利 二 勸 物 受 持 三 
T85n2767_001:0320b11	四鎮加威。四益持祛橫。此則初也。我於後時	四 鎮 加 威 四 益 持 祛 橫 此 則 初 也 我 於 後 時 
T85n2767_001:0320b12	者。謂於像法起時誓以大悲種種方便。令信	者 謂 於 像 法 起 時 誓 以 大 悲 種 種 方 便 令 信 
T85n2767_001:0320b13	男女得聞藥師如來名號。乃至睡中亦以佛	男 女 得 聞 藥 師 如 來 名 號 乃 至 睡 中 亦 以 佛 
T85n2767_001:0320b14	名覺悟其耳。	名 覺 悟 其 耳 
T85n2767_001:0320b15	經。若持此經至而用供養　二勸物受持。言	經 若 持 此 經 至 而 用 供 養 二 勸 物 受 持 言 
T85n2767_001:0320b16	供養者有其二種。一勝二財。法供養者。謂受	供 養 者 有 其 二 種 一 勝 二 財 法 供 養 者 謂 受 
T85n2767_001:0320b17	持讀誦宣說開解名法供養。財供養者謂種	持 讀 誦 宣 說 開 解 名 法 供 養 財 供 養 者 謂 種 
T85n2767_001:0320b18	種花香寶幢幡蓋名財供養故。智度論第三	種 花 香 寶 幢 幡 蓋 名 財 供 養 故 智 度 論 第 三 
T85n2767_001:0320b19	十云。法供養者。謂菩薩行六波羅蜜。以法供	十 云 法 供 養 者 謂 菩 薩 行 六波羅蜜 以 法 供 
T85n2767_001:0320b20	養戒時菩薩得無生法忍。自除煩惱。及除眾	養 戒 時 菩 薩 得無生法忍 自 除 煩 惱 及 除 眾 
T85n2767_001:0320b21	生煩惱。供養者隨其所宜。寒時應以薪火上	生 煩 惱 供 養 者 隨 其 所 宜 寒 時 應 以 薪 火 上 
T85n2767_001:0320b22	衣溫室被褥及以飲食。謂盛熱時應以冷水	衣 溫 室 被 褥 及 以 飲 食 謂 盛 熱 時 應 以 冷 水 
T85n2767_001:0320b23	扇蓋涼室生薄之衣上妙之食。風雨之時就	扇 蓋 涼 室 生 薄 之 衣 上 妙 之 食 風 雨 之 時 就 
T85n2767_001:0320b24	送供養。	送 供 養 
T85n2767_001:0320b25	經。爾時至皆詣其所　三四鎮加威。四大天	經 爾 時 至 皆 詣 其 所 三 四 鎮 加 威 四 大 天 
T85n2767_001:0320b26	王與其眷屬者。依俱舍論第十一云。四大天	王 與 其 眷 屬 者 依 俱 舍 論 第 十 一 云 四 大 天 
T85n2767_001:0320b27	王所部天眾。唯住妙高諸層級等有幾層級	王 所 部 天 眾 唯 住 妙 高 諸 層 級 等 有 幾 層 級 
T85n2767_001:0320b28	其量云何。何等諸天住何層級。蘇迷盧山有	其 量 云 何 何 等 諸 天 住 何 層 級 蘇 迷 盧 山 有 
T85n2767_001:0320b29	四層級。始從水際盡第一層。相去十千踰繕	四 層 級 始 從 水 際 盡 第 一 層 相 去 十 千 踰 繕 
T85n2767_001:0320c01	那量。如是乃至盡第四層亦十千量。此四層	那 量 如 是 乃 至 盡 第 四 層 亦 十 千 量 此 四 層 
T85n2767_001:0320c02	級。從妙高山傍出圍繞畫其下半。最初層級	級 從 妙 高 山 傍 出 圍 繞 畫 其 下 半 最 初 層 級 
T85n2767_001:0320c03	出十六千。第二第三第四層級如其次第。八	出 十 六 千 第二第三 第 四 層 級 如 其 次 第 八 
T85n2767_001:0320c04	四二千。有藥叉神名為堅手。住初層級。有名	四 二 千 有 藥 叉 神 名 為 堅 手 住 初 層 級 有 名 
T85n2767_001:0320c05	持鬘。住第二級。有名恒憍。住第三級。此三皆	持 鬘 住 第 二 級 有 名 恒 憍 住 第 三 級 此 三 皆 
T85n2767_001:0320c06	是四大天王所部天眾。第四層級。四大天王	是 四大天王 所 部 天 眾 第 四 層 級 四大天王 
T85n2767_001:0320c07	及諸眷屬共所居止故。經依此說四大王眾	及 諸 眷 屬 共 所 居 止 故 經 依 此 說 四 大 王 眾 
T85n2767_001:0320c08	天。如妙高山四外層級。四大王眾及眷屬居。	天 如 妙 高 山 四 外 層 級 四 大 王 眾 及 眷 屬 居 
T85n2767_001:0320c09	如是持雙持軸。乃至七金山上亦有天居。是	如 是 持 雙 持 軸 乃 至 七 金 山 上 亦 有 天 居 是 
T85n2767_001:0320c10	四大王所部封邑。是名依地住四大王眾天。	四 大 王 所 部 封 邑 是 名 依 地 住 四 大 王 眾 天 
T85n2767_001:0320c11	於欲天中此天最廣。	於 欲 天 中 此 天 最 廣 
T85n2767_001:0320c12	經。若此經卷至還復如故　四益持祛橫。謂	經 若 此 經 卷 至 還 復 如 故 四 益 持 祛 橫 謂 
T85n2767_001:0320c13	若復有人誦持此經。攝心專念如來名故者。	若 復 有 人 誦 持 此 經 攝 心 專 念 如 來 名 故 者 
T85n2767_001:0320c14	無性論說。此一念正聞熏習種子。雖在世間	無 性 論 說 此 一 念 正 聞 熏習種子 雖 在 世 間 
T85n2767_001:0320c15	有漏心中。剋性而言。是出世無漏心種子。此	有 漏 心 中 剋 性 而 言 是 出 世 無 漏 心 種 子 此 
T85n2767_001:0320c16	無漏心雖未生時以有四種功德。一已能對	無 漏 心 雖 未 生 時 以 有 四 種 功 德 一 已 能 對 
T85n2767_001:0320c17	治諸煩惱纏不復現行。二以能對治諸惡險	治 諸 煩 惱 纏 不 復 現 行 二 以 能 對 治 諸 惡 險 
T85n2767_001:0320c18	趣而不受報。三以能與法身而作了因。四以	趣 而 不 受 報 三 以 能 與 法 身 而 作 了 因 四 以 
T85n2767_001:0320c19	能與解脫身而作生因。由是持經人處無有	能 與 解 脫 身 而 作 生 因 由 是 持 經 人 處 無 有 
T85n2767_001:0320c20	橫死。及諸惡鬼奪其魂魄。設以奪者皆以如	橫 死 及 諸 惡 鬼 奪 其 魂 魄 設 以 奪 者 皆 以 如 
T85n2767_001:0320c21	來威力還得如故身心安樂。	來 威 力 還 得 如 故 身 心 安 樂 
T85n2767_001:0320c22	經。佛言至如汝所說　二如來述成文分為	經 佛 言 至 如 汝 所 說 二 如 來 述 成 文 分 為 
T85n2767_001:0320c23	二。一印可前言。二示其軌則。此則初也。	二 一 印 可 前 言 二 示 其 軌 則 此 則 初 也 
T85n2767_001:0320c24	經。曼殊至右繞佛像　二示其軌則文分為	經 曼 殊 至 右 繞 佛 像 二 示 其 軌 則 文 分 為 
T85n2767_001:0320c25	八。一正勸修形。二勸念昔行。三如所願樂。四	八 一 正 勸 修 形 二 勸 念 昔 行 三 如 所 願 樂 四 
T85n2767_001:0320c26	稱遂所求。五百怪長蠲。六眾災永彌。七毀禁	稱 遂 所 求 五 百 怪 長 蠲 六 眾 災 永 彌 七 毀 禁 
T85n2767_001:0320c27	還淨。八臨難蒙恩。此則初也。此人應作如來	還 淨 八 臨 難 蒙 恩 此 則 初 也 此 人 應 作 如 來 
T85n2767_001:0320c28	形像者。造立形像。福報經說。時憂填王復白	形 像 者 造 立 形 像 福 報 經 說 時 憂 填 王 復 白 
T85n2767_001:0320c29	佛言。人作善者。此之福祐當何所獲。佛去已	佛 言 人 作 善 者 此 之 福 祐 當 何 所 獲 佛 去 已 
T85n2767_001:0321a01	後我恐不復見佛。今欲作佛形像恭敬承事	後 我 恐 不 復 見 佛 今 欲 作 佛 形 像 恭 敬 承 事 
T85n2767_001:0321a02	得何福報。願佛哀愍為我說之。佛告王言。作	得 何 福 報 願 佛 哀 愍 為 我 說 之 佛 告 王 言 作 
