T22n1423_001:0206b23	五分比丘尼戒本	五 分 比丘尼戒 本 
T22n1423_001:0210b29	逸提。「若比丘尼，為戲笑故，藏比丘尼若	逸 提 若 比 丘 尼 為 戲 笑 故 藏 比 丘 尼 若 
T22n1423_001:0210c01	衣若鉢、若坐具針筒，如是一一生活具，若使	衣 若 鉢 若 坐 具 針 筒 如 是 一 一 生 活 具 若 使 
T22n1423_001:0210c02	人藏，波逸提。(六十)「若比丘尼，僧斷事時如法	人 藏 波 逸 提 六 十 若 比 丘 尼 僧 斷 事 時 如 法 
T22n1423_001:0210c03	與欲竟，後更呵，波逸提。「若比丘尼，作是語：	與 欲 竟 後 更 呵 波 逸 提 若 比 丘 尼 作 是 語 
T22n1423_001:0210c04	『諸比丘尼隨知識迴僧物與。』波逸提。「若比	 諸比丘尼 隨 知 識 迴 僧 物 與 波 逸 提 若 比 
T22n1423_001:0210c05	丘尼，與比丘、比丘尼、式叉摩那、沙彌、沙彌尼淨	丘 尼 與 比 丘 比 丘 尼 式叉摩那 沙 彌 沙 彌 尼 淨 
T22n1423_001:0210c06	施衣，強奪取，波逸提。「若比丘尼，受他請，食	施 衣 強 奪 取 波 逸 提 若 比 丘 尼 受 他 請 食 
T22n1423_001:0210c07	前食後行到諸家，不近白餘比丘尼，除因緣。	前 食 後 行 到 諸 家 不 近 白 餘 比 丘 尼 除 因 緣 
T22n1423_001:0210c08	波逸提。因緣者，衣時，是名因緣。「若比丘	波 逸 提 因 緣 者 衣 時 是 名 因 緣 若 比 丘 
T22n1423_001:0210c09	尼，以兜羅貯坐臥具，波逸提。「若比丘尼，自	尼 以 兜 羅 貯 坐 臥 具 波 逸 提 若 比 丘 尼 自 
T22n1423_001:0210c10	作坐臥繩床木床，足應高修伽陀八指，除	作 坐 臥 繩 床 木 床 足 應 高 修 伽 陀 八 指 除 
T22n1423_001:0210c11	入梐。若過，波逸提。「若比丘尼，用骨牙角作	入 梐 若 過 波 逸 提 若 比 丘 尼 用 骨 牙 角 作 
T22n1423_001:0210c12	針筒，波逸提。「若比丘尼，作修伽陀衣量衣、	針 筒 波 逸 提 若 比 丘 尼 作 修 伽 陀 衣 量 衣 
T22n1423_001:0210c13	若過，波逸提。修伽陀衣量者，長九修伽陀磔	若 過 波 逸 提 修 伽 陀 衣 量 者 長 九 修 伽 陀 磔 
T22n1423_001:0210c14	手、廣六磔手，是名修伽陀衣量。「若比丘尼，	手 廣 六 磔 手 是 名 修 伽 陀 衣 量 若 比 丘 尼 
T22n1423_001:0210c15	知檀越欲與僧物，迴與餘人，波逸提。「若比	知 檀 越 欲 與 僧 物 迴 與 餘 人 波 逸 提 若 比 
T22n1423_001:0210c16	丘尼，噉蒜，波逸提。(七十)「若比丘尼，以手拍女	丘 尼 噉 蒜 波 逸 提 七 十 若 比 丘 尼 以 手 拍 女 
T22n1423_001:0210c17	根，波逸提。「若比丘尼，作男根內女根中，波	根 波 逸 提 若 比 丘 尼 作 男 根 內 女 根 中 波 
T22n1423_001:0210c18	逸提。「若比丘尼，以水洗女根，應用二指齊	逸 提 若 比 丘 尼 以 水 洗 女 根 應 用 二 指 齊 
T22n1423_001:0210c19	一節。若過，波逸提。「若比丘尼，剃腋下、隱處	一 節 若 過 波 逸 提 若 比 丘 尼 剃 腋 下 隱 處 
T22n1423_001:0210c20	毛，波逸提。「若比丘尼，與比丘獨屏處共立	毛 波 逸 提 若 比 丘 尼 與 比 丘 獨 屏 處 共 立 
T22n1423_001:0210c21	共語，波逸提。「若比丘尼，與白衣及外道獨	共 語 波 逸 提 若 比 丘 尼 與 白 衣 及 外 道 獨 
T22n1423_001:0210c22	屏處共立共語，波逸提。「若比丘尼，與比丘	屏 處 共 立 共 語 波 逸 提 若 比 丘 尼 與 比 丘 
T22n1423_001:0210c23	獨露處共立共語，波逸提。「若比丘尼，與白	獨 露 處 共 立 共 語 波 逸 提 若 比 丘 尼 與 白 
T22n1423_001:0210c24	衣及外道獨露處共立共語，波逸提。「若比	衣 及 外 道 獨 露 處 共 立 共 語 波 逸 提 若 比 
T22n1423_001:0210c25	丘尼，與比丘獨街巷中共立耳語，遣伴比丘	丘 尼 與 比 丘 獨 街 巷 中 共 立 耳 語 遣 伴 比 丘 
T22n1423_001:0210c26	尼令遠去，波逸提。「若比丘尼，與白衣及外	尼 令 遠 去 波 逸 提 若 比 丘 尼 與 白 衣 及 外 
T22n1423_001:0210c27	道獨行巷中共立耳語，遣伴比丘尼令遠去，	道 獨 行 巷 中 共 立 耳 語 遣 伴 比 丘 尼 令 遠 去 
T22n1423_001:0210c28	波逸提。(八十)「若比丘尼，裸形洗浴，波逸提。「若	波 逸 提 八 十 若 比 丘 尼 裸 形 洗 浴 波 逸 提 若 
T22n1423_001:0210c29	比丘尼，離水，浴衣行，波逸提。「若比丘尼，比	比 丘 尼 離 水 浴 衣 行 波 逸 提 若 比 丘 尼 比 
T22n1423_001:0211a01	丘尼得新衣，先以供養，便不復還，波逸提。	丘 尼 得 新 衣 先 以 供 養 便 不 復 還 波 逸 提 
T22n1423_001:0211a02	「若比丘尼，遮僧分衣，波逸提。「若比丘尼，撤	 若 比 丘 尼 遮 僧 分 衣 波 逸 提 若 比 丘 尼 撤 
T22n1423_001:0211a03	比丘尼衣已，無病過四五日不成，波逸提。	比 丘 尼 衣 已 無 病 過 四 五 日 不 成 波 逸 提 
T22n1423_001:0211a04	「若比丘尼，離五衣行，波逸提。「若比丘尼，以	 若 比 丘 尼 離 五 衣 行 波 逸 提 若 比 丘 尼 以 
T22n1423_001:0211a05	比丘尼衣與白衣及外道女，波逸提。「若比	比 丘 尼 衣 與 白 衣 及 外 道 女 波 逸 提 若 比 
T22n1423_001:0211a06	丘尼，斷施人物與僧，波逸提。「若比丘尼，護	丘 尼 斷 施 人 物 與 僧 波 逸 提 若 比 丘 尼 護 
T22n1423_001:0211a07	惜他家，波逸提。「若比丘尼，不安居，波逸提。	惜 他 家 波 逸 提 若 比 丘 尼 不 安 居 波 逸 提 
T22n1423_001:0211a08	(九十)「若比丘尼，不依比丘眾安居，波逸提。「若	 九 十 若 比 丘 尼 不 依 比 丘 眾 安 居 波 逸 提 若 
T22n1423_001:0211a09	比丘尼，於安居內遊行，波逸提。「若比丘尼，	比 丘 尼 於 安 居 內 遊 行 波 逸 提 若 比 丘 尼 
T22n1423_001:0211a10	安居竟不從比丘僧請見聞疑罪，波逸提。	安 居 竟 不 從 比 丘 僧 請 見 聞 疑 罪 波 逸 提 
T22n1423_001:0211a11	「若比丘尼，就安居請竟，一宿不去，波逸提。	 若 比 丘 尼 就 安 居 請 竟 一 宿 不 去 波 逸 提 
T22n1423_001:0211a12	「若比丘尼，於國內恐怖處，無所依怙而獨行	 若 比 丘 尼 於 國 內 恐 怖 處 無 所 依 怙 而 獨 行 
T22n1423_001:0211a13	者，波逸提。「若比丘尼，出國境恐怖處，無所	者 波 逸 提 若 比 丘 尼 出 國 境 恐 怖 處 無 所 
T22n1423_001:0211a14	依怙而獨行者，波逸提。「若比丘尼安居竟，	依 怙 而 獨 行 者 波 逸 提 若 比 丘 尼 安 居 竟 
T22n1423_001:0211a15	不付囑精舍出行者，波逸提。「若比丘尼安	不 付 囑 精 舍 出 行 者 波 逸 提 若 比 丘 尼 安 
T22n1423_001:0211a16	居竟，不捨精舍還主去者，波逸提。「若比丘	居 竟 不 捨 精 舍 還 主 去 者 波 逸 提 若 比 丘 
T22n1423_001:0211a17	尼，種種遊看，波逸提。「若比丘尼，半月不於	尼 種 種 遊 看 波 逸 提 若 比 丘 尼 半 月 不 於 
T22n1423_001:0211a18	僧中乞教誡師，波逸提。(一百)「若比丘尼，入有比	僧 中 乞 教 誡 師 波 逸 提 一 百 若 比 丘 尼 入 有 比 
T22n1423_001:0211a19	丘住處，見比丘不白，除急難時，波逸提。	丘 住 處 見 比 丘 不 白 除 急 難 時 波 逸 提 
T22n1423_001:0211a20	「若比丘尼，不滿十二歲畜眷屬，波逸提。「若	 若 比 丘 尼 不 滿 十 二 歲 畜 眷 屬 波 逸 提 若 
T22n1423_001:0211a21	比丘尼，滿十二歲，僧不與作畜眾羯磨，畜眾	比 丘 尼 滿 十 二 歲 僧 不 與 作 畜 眾 羯 磨 畜 眾 
T22n1423_001:0211a22	者，波逸提。「若比丘尼，與未滿十二歲已嫁	者 波 逸 提 若 比 丘 尼 與 未 滿 十 二 歲 已 嫁 
T22n1423_001:0211a23	女受具足戒，波逸提。「若比丘尼，滿十二歲	女 受具足戒 波 逸 提 若 比 丘 尼 滿 十 二 歲 
T22n1423_001:0211a24	已嫁女，僧不作羯磨，與受具足戒，波逸提。	已 嫁 女 僧 不 作 羯 磨 與 受具足戒 波 逸 提 
T22n1423_001:0211a25	「若比丘尼，與未滿十八歲童女受學戒，波逸	 若 比 丘 尼 與 未 滿 十 八 歲 童 女 受 學 戒 波 逸 
T22n1423_001:0211a26	提。「若比丘尼，雖滿十八歲童女，僧不作羯	提 若 比 丘 尼 雖 滿 十 八 歲 童 女 僧 不 作 羯 
T22n1423_001:0211a27	磨，與受學戒，波逸提。「若比丘尼，語白衣歸	磨 與 受 學 戒 波 逸 提 若 比 丘 尼 語 白 衣 歸 
T22n1423_001:0211a28	女：『先與我衣，我當度汝。』波逸提。「若比丘尼，	女 先 與 我 衣 我 當 度 汝 波 逸 提 若 比 丘 尼 
T22n1423_001:0211a29	諸比丘尼語言：『如佛所說，應與作畜眾羯磨。	諸比丘尼 語 言 如 佛 所 說 應 與 作 畜 眾 羯 磨 
T22n1423_001:0211b01	汝無是事。』便呵諸比丘尼者，波逸提。「若比	汝 無 是 事 便 呵 諸比丘尼 者 波 逸 提 若 比 
T22n1423_001:0211b02	丘尼，教誡及羯磨時不往聽，波逸提。(一百一十)	丘 尼 教 誡 及 羯 磨 時 不 往 聽 波 逸 提 一 百 一 十 
T22n1423_001:0211b03	「若比丘尼，式叉摩那滿二歲無難，不與受具	 若 比 丘 尼 式叉摩那 滿 二 歲 無 難 不 與 受 具 
T22n1423_001:0211b04	足戒，語言：『汝且學是戒。』波逸提。「若比丘尼，	足 戒 語 言 汝 且 學 是 戒 波 逸 提 若 比 丘 尼 
T22n1423_001:0211b05	度婬女，波逸提。「若比丘尼，與未滿二歲學	度 婬 女 波 逸 提 若 比 丘 尼 與 未 滿 二 歲 學 
T22n1423_001:0211b06	戒尼受具足戒，波逸提。「若比丘尼，滿二歲	戒 尼 受具足戒 波 逸 提 若 比 丘 尼 滿 二 歲 
T22n1423_001:0211b07	學戒尼，僧不作羯磨，與受具足戒，波逸提。	學 戒 尼 僧 不 作 羯 磨 與 受具足戒 波 逸 提 
T22n1423_001:0211b08	「若比丘尼，與滿二歲學戒尼不學戒，受具足	 若 比 丘 尼 與 滿 二 歲 學 戒 尼 不 學 戒 受 具 足 
T22n1423_001:0211b09	戒，波逸提。「若比丘尼，與懷妊女受具足戒，	戒 波 逸 提 若 比 丘 尼 與 懷 妊 女 受具足戒 
T22n1423_001:0211b10	波逸提。「若比丘尼，與新產婦受具足戒，波	波 逸 提 若 比 丘 尼 與 新 產 婦 受具足戒 波 
T22n1423_001:0211b11	逸提。「若比丘尼，年年與弟子受具足戒，波	逸 提 若 比 丘 尼 年 年 與 弟 子 受具足戒 波 
T22n1423_001:0211b12	逸提。「若比丘尼，異宿與弟子受具足戒，波	逸 提 若 比 丘 尼 異 宿 與 弟 子 受具足戒 波 
T22n1423_001:0211b13	逸提。「若比丘尼，新受具足戒，不六年依承	逸 提 若 比 丘 尼 新 受具足戒 不 六 年 依 承 
T22n1423_001:0211b14	和上、若使人依承者，波逸提。(一百二十)「若比丘	和 上 若 使 人 依 承 者 波 逸 提 一 百 二 十 若 比 丘 
T22n1423_001:0211b15	尼，畜弟子，六年中不自攝取、不教人攝取，波	尼 畜 弟 子 六 年 中 不 自 攝 取 不 教 人 攝 取 波 
T22n1423_001:0211b16	逸提。「若比丘尼，畜弟子，不自將、不使人將	逸 提 若 比 丘 尼 畜 弟 子 不 自 將 不 使 人 將 
T22n1423_001:0211b17	離本處五六由旬，波逸提。「若比丘尼，同學	離 本 處 五 六 由 旬 波 逸 提 若 比 丘 尼 同 學 
T22n1423_001:0211b18	病，不自看、不教人看，波逸提。「若比丘尼，度	病 不 自 看 不 教 人 看 波 逸 提 若 比 丘 尼 度 
T22n1423_001:0211b19	屬人婦女，波逸提。「若比丘尼，度長病女人，	屬 人 婦 女 波 逸 提 若 比 丘 尼 度 長 病 女 人 
T22n1423_001:0211b20	波逸提。「若比丘尼，度屬夫婦人，波逸提。	波 逸 提 若 比 丘 尼 度 屬 夫 婦 人 波 逸 提 
T22n1423_001:0211b21	「若比丘尼，度負債女人，波逸提。「若比丘尼，	 若 比 丘 尼 度 負 債 女 人 波 逸 提 若 比 丘 尼 
T22n1423_001:0211b22	與男子闇處共立共語，波逸提。「若比丘尼，	與 男 子 闇 處 共 立 共 語 波 逸 提 若 比 丘 尼 
T22n1423_001:0211b23	不語主人輒坐其座，波逸提。「若比丘尼，自	不 語 主 人 輒 坐 其 座 波 逸 提 若 比 丘 尼 自 
T22n1423_001:0211b24	手與白衣及外道男子食，波逸提。(一百三十)「若比	手 與 白 衣 及 外 道 男 子 食 波 逸 提 一 百 三 十 若 比 
T22n1423_001:0211b25	丘尼，向白衣說比丘過，波逸提。「若比丘尼，與	丘 尼 向 白 衣 說 比 丘 過 波 逸 提 若 比 丘 尼 與 
T22n1423_001:0211b26	人鬪已，自打啼哭，波逸提。「若比丘尼，不諦	人 鬪 已 自 打 啼 哭 波 逸 提 若 比 丘 尼 不 諦 
T22n1423_001:0211b27	了人語，妄瞋他，波逸提。「若比丘尼自呪誓	了 人 語 妄 瞋 他 波 逸 提 若 比 丘 尼 自 呪 誓 
T22n1423_001:0211b28	實以呪彼。波逸提。「若比丘尼，擲屎尿於籬	實 以 呪 彼 波 逸 提 若 比 丘 尼 擲 屎 尿 於 籬 
T22n1423_001:0211b29	牆外、若使人擲，波逸提。「若比丘尼，擲糞	牆 外 若 使 人 擲 波 逸 提 若 比 丘 尼 擲 糞 
T22n1423_001:0211c01	掃及殘食於籬牆外、若使人擲，波逸提。「若	掃 及 殘 食 於 籬 牆 外 若 使 人 擲 波 逸 提 若 
T22n1423_001:0211c02	比丘尼，於生草上大小便，波逸提。「若比丘	比 丘 尼 於 生 草 上 大 小 便 波 逸 提 若 比 丘 
T22n1423_001:0211c03	尼，擲糞掃、殘食生草上，波逸提。「若比丘尼，	尼 擲 糞 掃 殘 食 生 草 上 波 逸 提 若 比 丘 尼 
T22n1423_001:0211c04	於有食家宿，波逸提。「若比丘尼，若比丘如	於 有 食 家 宿 波 逸 提 若 比 丘 尼 若 比 丘 如 
T22n1423_001:0211c05	法問不答，波逸提。(一百四十)「若比丘尼，乘乘行，	法 問 不 答 波 逸 提 一 百 四 十 若 比 丘 尼 乘 乘 行 
T22n1423_001:0211c06	波逸提。「若比丘尼，著革屣捉蓋行來，波逸	波 逸 提 若 比 丘 尼 著 革 屣 捉 蓋 行 來 波 逸 
T22n1423_001:0211c07	提。「若比丘尼，捉水瓶及扇立比丘前、若	提 若 比 丘 尼 捉 水 瓶 及 扇 立 比 丘 前 若 
T22n1423_001:0211c08	給水若扇，波逸提。「若比丘尼，誦治病經方，	給 水 若 扇 波 逸 提 若 比 丘 尼 誦 治 病 經 方 
T22n1423_001:0211c09	波逸提。「若比丘尼，教他誦治病經方，波逸	波 逸 提 若 比 丘 尼 教 他 誦 治 病 經 方 波 逸 
T22n1423_001:0211c10	提。「若比丘尼，為人治病以為生業，波逸提。	提 若 比 丘 尼 為 人 治 病 以 為 生 業 波 逸 提 
T22n1423_001:0211c11	「若比丘尼，教他治病以為生業，波逸提。	 若 比 丘 尼 教 他 治 病 以 為 生 業 波 逸 提 
T22n1423_001:0211c12	「若比丘尼，以飲食故為白衣家作，波逸提。	 若 比 丘 尼 以 飲 食 故 為 白 衣 家 作 波 逸 提 
T22n1423_001:0211c13	「若比丘尼，共白衣及外道婦女同衣臥，波逸	 若 比 丘 尼 共 白 衣 及 外 道 婦 女 同 衣 臥 波 逸 
T22n1423_001:0211c14	提。「若比丘尼，與比丘尼、式叉摩那、沙彌尼同	提 若 比 丘 尼 與 比 丘 尼 式叉摩那 沙 彌 尼 同 
T22n1423_001:0211c15	衣臥，波逸提。(一百五十)「若比丘尼，與白衣及外道	衣 臥 波 逸 提 一 百 五 十 若 比 丘 尼 與 白 衣 及 外 道 
T22n1423_001:0211c16	婦女更相覆眠，波逸提。「若比丘尼，與比丘	婦 女 更 相 覆 眠 波 逸 提 若 比 丘 尼 與 比 丘 
T22n1423_001:0211c17	尼、式叉摩那、沙彌尼更相覆眠，波逸提。「若	尼 式叉摩那 沙 彌 尼 更 相 覆 眠 波 逸 提 若 
T22n1423_001:0211c18	比丘尼，以香塗身，波逸提。「若比丘尼，無病，	比 丘 尼 以 香 塗 身 波 逸 提 若 比 丘 尼 無 病 
T22n1423_001:0211c19	以澤枯揩身，波逸提。「若比丘尼，畜華鬘若	以 澤 枯 揩 身 波 逸 提 若 比 丘 尼 畜 華 鬘 若 
T22n1423_001:0211c20	著，波逸提。「若比丘尼，著寶腰絡，波逸提。	著 波 逸 提 若 比 丘 尼 著 寶 腰 絡 波 逸 提 
T22n1423_001:0211c21	「若比丘尼，著裨身衣，波逸提。「若比丘，尼畜	 若 比 丘 尼 著 裨 身 衣 波 逸 提 若 比 丘 尼 畜 
T22n1423_001:0211c22	種種嚴身具，波逸提。「若比丘尼，畜髲，波	種 種 嚴 身 具 波 逸 提 若 比 丘 尼 畜 髲 波 
T22n1423_001:0211c23	逸提。「若比丘尼，髮長，波逸提。(一百六十)「若比丘	逸 提 若 比 丘 尼 髮 長 波 逸 提 一 百 六 十 若 比 丘 
T22n1423_001:0211c24	尼，著嚴身具，波逸提。「若比丘尼，為他作嚴	尼 著 嚴 身 具 波 逸 提 若 比 丘 尼 為 他 作 嚴 
T22n1423_001:0211c25	身具，波逸提。「若比丘尼，績縷，波逸提。「若	身 具 波 逸 提 若 比 丘 尼 績 縷 波 逸 提 若 
T22n1423_001:0211c26	比丘尼，不問白衣輒在其家敷臥具住，波逸	比 丘 尼 不 問 白 衣 輒 在 其 家 敷 臥 具 住 波 逸 
T22n1423_001:0211c27	提。「若比丘尼，至白衣家敷其坐臥具、若使	提 若 比 丘 尼 至 白 衣 家 敷 其 坐 臥 具 若 使 
T22n1423_001:0211c28	人敷，去時不自舉、不教人舉，波逸提。「若	人 敷 去 時 不 自 舉 不 教 人 舉 波 逸 提 若 
T22n1423_001:0211c29	比丘尼，自煮生物作食，波逸提。「若比丘尼，	比 丘 尼 自 煮 生 物 作 食 波 逸 提 若 比 丘 尼 
T22n1423_001:0212a01	先聽住後慎誘者，波逸提。「若比丘尼不白	先 聽 住 後 慎 誘 者 波 逸 提 若 比 丘 尼 不 白 
T22n1423_001:0212a02	僧輒使男子治病。波逸提。「若比丘尼，夜輒	僧 輒 使 男 子 治 病 波 逸 提 若 比 丘 尼 夜 輒 
T22n1423_001:0212a03	開都門出，不語餘比丘尼令閉，波逸提。「若	開 都 門 出 不 語 餘 比 丘 尼 令 閉 波 逸 提 若 
T22n1423_001:0212a04	比丘尼，白衣不喚非時入其家，波逸提。(一百七十)	比 丘 尼 白 衣 不 喚 非 時 入 其 家 波 逸 提 一 百 七 十 
T22n1423_001:0212a05	「若比丘尼，受請，主人未唱隨意，食者，波逸	 若 比 丘 尼 受 請 主 人 未 唱 隨 意 食 者 波 逸 
T22n1423_001:0212a06	提。「若比丘尼，被驅出羯磨，不去者，波逸	提 若 比 丘 尼 被 驅 出 羯 磨 不 去 者 波 逸 
T22n1423_001:0212a07	提。「若比丘尼，僧如法集會，不即往，波逸	提 若 比 丘 尼 僧 如 法 集 會 不 即 往 波 逸 
T22n1423_001:0212a08	提。「若比丘尼，觀歌舞作伎，波逸提。「若比	提 若 比 丘 尼 觀 歌 舞 作 伎 波 逸 提 若 比 
T22n1423_001:0212a09	丘尼，往邊地，波逸提。「若比丘尼，度二根人，	丘 尼 往 邊 地 波 逸 提 若 比 丘 尼 度 二 根 人 
T22n1423_001:0212a10	波逸提。「若比丘尼，度二道合作一道女人，	波 逸 提 若 比 丘 尼 度 二 道 合 作 一 道 女 人 
T22n1423_001:0212a11	波逸提。「若比丘尼，度常有月水女人，波逸	波 逸 提 若 比 丘 尼 度 常 有 月 水 女 人 波 逸 
T22n1423_001:0212a12	提。「若比丘尼，見比丘不起不禮不請坐，波	提 若 比 丘 尼 見 比 丘 不 起 不 禮 不 請 坐 波 
T22n1423_001:0212a13	逸提。「若比丘尼，燒隱處毛，波逸提。(一百八十)「若	逸 提 若 比 丘 尼 燒 隱 處 毛 波 逸 提 一 百 八 十 若 
T22n1423_001:0212a14	比丘尼，不著僧祇支入白衣家，波逸提。「若比	比 丘 尼 不 著 僧 祇 支 入 白 衣 家 波 逸 提 若 比 
T22n1423_001:0212a15	丘尼，與白衣對坐臨身相近說法，波逸提。	丘 尼 與 白 衣 對 坐 臨 身 相 近 說 法 波 逸 提 
T22n1423_001:0212a16	「若比丘尼，自歌舞，波逸提。「若比丘尼，遮受	 若 比 丘 尼 自 歌 舞 波 逸 提 若 比 丘 尼 遮 受 
T22n1423_001:0212a17	迦絺那衣，波逸提。「若比丘尼，遮捨迦絺那	迦 絺 那 衣 波 逸 提 若 比 丘 尼 遮 捨 迦 絺 那 
T22n1423_001:0212a18	衣，波逸提。「若比丘尼，不白比丘輒問義者，	衣 波 逸 提 若 比 丘 尼 不 白 比 丘 輒 問 義 者 
T22n1423_001:0212a19	波逸提。「若比丘尼，以男子不淨自內形中，	波 逸 提 若 比 丘 尼 以 男 子 不 淨 自 內 形 中 
T22n1423_001:0212a20	波逸提。「若比丘尼，作外道事火法然火，波	波 逸 提 若 比 丘 尼 作 外 道 事 火 法 然 火 波 
T22n1423_001:0212a21	逸提。「若比丘尼，在有人處浴，波逸提。「若	逸 提 若 比 丘 尼 在 有 人 處 浴 波 逸 提 若 
T22n1423_001:0212a22	比丘尼，誦外道呪術、若教人誦，波逸提。(一百九十)	比 丘 尼 誦 外 道 呪 術 若 教 人 誦 波 逸 提 一 百 九 十 
T22n1423_001:0212a23	「若比丘尼，一眾授具足戒，波逸提。「若比丘	 若 比 丘 尼 一 眾 授 具 足 戒 波 逸 提 若 比 丘 
T22n1423_001:0212a24	尼，自作畜眾羯磨，波逸提。「若比丘尼，自作	尼 自 作 畜 眾 羯 磨 波 逸 提 若 比 丘 尼 自 作 
T22n1423_001:0212a25	二歲學戒羯磨，波逸提。「若比丘尼，自受二	二 歲 學 戒 羯 磨 波 逸 提 若 比 丘 尼 自 受 二 
T22n1423_001:0212a26	歲學戒，波逸提。「若比丘尼，作二歲學戒竟，	歲 學 戒 波 逸 提 若 比 丘 尼 作 二 歲 學 戒 竟 
T22n1423_001:0212a27	羯磨經宿乃授具足戒，波逸提。「若比丘尼，	羯 磨 經 宿 乃 授 具 足 戒 波 逸 提 若 比 丘 尼 
T22n1423_001:0212a28	作二歲學戒羯磨竟，經宿乃授其學戒，波逸	作 二 歲 學 戒 羯 磨 竟 經 宿 乃 授 其 學 戒 波 逸 
T22n1423_001:0212a29	提。「若比丘尼，自織作衣著，波逸提。「若比	提 若 比 丘 尼 自 織 作 衣 著 波 逸 提 若 比 
T22n1423_001:0212b01	丘尼，國內恐怖處於中遊行，波逸提。「若	丘 尼 國 內 恐 怖 處 於 中 遊 行 波 逸 提 若 
T22n1423_001:0212b02	比丘尼，自作己像、若使人作，波逸提。「若比	比 丘 尼 自 作 己 像 若 使 人 作 波 逸 提 若 比 
T22n1423_001:0212b03	丘尼，莊嚴女人，波逸提。(二百)「若比丘尼，水中逆	丘 尼 莊 嚴 女 人 波 逸 提 二 百 若 比 丘 尼 水 中 逆 
T22n1423_001:0212b04	流行，波逸提。「若比丘尼，仰臥水來下處，波	流 行 波 逸 提 若 比 丘 尼 仰 臥 水 來 下 處 波 
T22n1423_001:0212b05	逸提。「若比丘尼，治腰使細，波逸提。「若比	逸 提 若 比 丘 尼 治 腰 使 細 波 逸 提 若 比 
T22n1423_001:0212b06	丘尼，種種治身，波逸提。「若比丘尼，如妓女	丘 尼 種 種 治 身 波 逸 提 若 比 丘 尼 如 妓 女 
T22n1423_001:0212b07	法著衣，波逸提。「若比丘尼，如白衣婦女法	法 著 衣 波 逸 提 若 比 丘 尼 如 白 衣 婦 女 法 
T22n1423_001:0212b08	著衣，波逸提。「若比丘尼，以欲心自觀形體，	著 衣 波 逸 提 若 比 丘 尼 以 欲 心 自 觀 形 體 
T22n1423_001:0212b09	波逸提。「若比丘尼，照鏡，波逸提。「若比丘	波 逸 提 若 比 丘 尼 照 鏡 波 逸 提 若 比 丘 
T22n1423_001:0212b10	尼，自卜、若就他卜，波逸提。「若比丘尼，隨世	尼 自 卜 若 就 他 卜 波 逸 提 若 比 丘 尼 隨 世 
T22n1423_001:0212b11	俗論者，波逸提。」(二百一十)「諸大姊！已說二百一	俗 論 者 波 逸 提 二 百 一 十 諸 大 姊 已 說 二 百 一 
T22n1423_001:0212b12	十波逸提法。今問，諸大姊是中清淨不？」(第二、第三亦如	十 波 逸 提 法 今 問 諸 大 姊 是 中 清 淨 不 第 二 第 三 亦 如 
T22n1423_001:0212b13	是說)「諸大姊是中清淨，默然故，是事如是持。」	是 說 諸 大 姊 是 中 清 淨 默 然 故 是事如是持 
T22n1423_001:0212b14	「諸大姊，是八波羅提提舍尼法，半月半月戒	 諸 大 姊 是 八波羅提提舍尼 法 半月半月 戒 
T22n1423_001:0212b15	經中說。「若比丘尼，無病，自為乞酥食。是比	經 中 說 若 比 丘 尼 無 病 自 為 乞 酥 食 是 比 
T22n1423_001:0212b16	丘尼應諸比丘尼邊悔過：『我墮可呵法，今向	丘 尼 應 諸比丘尼 邊 悔 過 我 墮 可 呵 法 今 向 
T22n1423_001:0212b17	諸阿姨悔過。』是名悔過法。「若比丘尼，無病，	諸 阿 姨 悔 過 是 名 悔 過 法 若 比 丘 尼 無 病 
T22n1423_001:0212b18	自為乞油食。是比丘尼應諸比丘尼邊悔過：	自 為 乞 油 食 是 比 丘 尼 應 諸比丘尼 邊 悔 過 
T22n1423_001:0212b19	『我墮可呵法，今向諸阿姨悔過。』是名悔過法。	 我 墮 可 呵 法 今 向 諸 阿 姨 悔 過 是 名 悔 過 法 
T22n1423_001:0212b20	「若比丘尼，無病，自為乞蜜食。是比丘尼應諸	 若 比 丘 尼 無 病 自 為 乞 蜜 食 是 比 丘 尼 應 諸 
T22n1423_001:0212b21	比丘尼邊悔過：『我墮可呵法，今向諸阿姨悔	比 丘 尼 邊 悔 過 我 墮 可 呵 法 今 向 諸 阿 姨 悔 
T22n1423_001:0212b22	過。』是名悔過法。「若比丘尼，無病，自為乞石	過 是 名 悔 過 法 若 比 丘 尼 無 病 自 為 乞 石 
T22n1423_001:0212b23	蜜食。是比丘尼應諸比丘尼邊悔過：『我墮可	蜜 食 是 比 丘 尼 應 諸比丘尼 邊 悔 過 我 墮 可 
T22n1423_001:0212b24	呵法，今向諸阿姨悔過。』是名悔過法。「若比	呵 法 今 向 諸 阿 姨 悔 過 是 名 悔 過 法 若 比 
T22n1423_001:0212b25	丘尼，無病，自為乞乳食。是比丘尼應諸比丘	丘 尼 無 病 自 為 乞 乳 食 是 比 丘 尼 應 諸 比 丘 
T22n1423_001:0212b26	尼邊悔過：『我墮可呵法，今向諸阿姨悔過。』是	尼 邊 悔 過 我 墮 可 呵 法 今 向 諸 阿 姨 悔 過 是 
T22n1423_001:0212b27	名悔過法。「若比丘尼，無病，自為乞酪食。是	名 悔 過 法 若 比 丘 尼 無 病 自 為 乞 酪 食 是 
