T08n0236b_001:0757a22	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
T08n0236b_001:0761b29	須菩提言：「彼隣虛聚甚多。世尊！何以故？	須 菩 提 言 彼 隣 虛 聚 甚 多 世 尊 何 以 故 
T08n0236b_001:0761c01	世尊！若隣虛聚是實有者，世尊則不應說	世 尊 若 隣 虛 聚 是 實 有 者 世 尊 則 不 應 說 
T08n0236b_001:0761c02	名隣虛聚。何以故？世尊所說，此隣虛聚，	名 隣 虛 聚 何 以 故 世 尊 所 說 此 隣 虛 聚 
T08n0236b_001:0761c03	如來說非隣虛聚，是故說名為隣虛聚。如	如 來 說 非 隣 虛 聚 是 故 說 名 為 隣 虛 聚 如 
T08n0236b_001:0761c04	來所說三千大千世界，則非世界，故說三	來 所 說 三千大千世界 則 非 世 界 故 說 三 
T08n0236b_001:0761c05	千大千世界。何以故？世尊！若執世界為	千 大千世界 何 以 故 世 尊 若 執 世 界 為 
T08n0236b_001:0761c06	實有者是聚一執，此聚一執，如來說非執，	實 有 者 是 聚 一 執 此 聚 一 執 如 來 說 非 執 
T08n0236b_001:0761c07	故說聚一執。」佛世尊言：「須菩提！此聚	故 說 聚 一 執 佛 世 尊 言 須 菩 提 此 聚 
T08n0236b_001:0761c08	一執但世言說。須菩提！是法非可言法，嬰	一 執 但 世 言 說 須 菩 提 是 法 非 可 言 法 嬰 
T08n0236b_001:0761c09	兒凡夫偏言所取。須菩提！若有人言：『如來	兒 凡 夫 偏 言 所 取 須 菩 提 若 有 人 言 如 來 
T08n0236b_001:0761c10	說我見、眾生見、壽者見、受者見。』須菩提！汝	說 我 見 眾 生 見 壽 者 見 受 者 見 須 菩 提 汝 
T08n0236b_001:0761c11	意云何？是人言說為正語不？」須菩提言：「不	意 云 何 是 人 言 說 為 正 語 不 須 菩 提 言 不 
T08n0236b_001:0761c12	也，世尊！不也，修伽陀！何以故？如來所說	也 世 尊 不 也 修 伽 陀 何 以 故 如 來 所 說 
T08n0236b_001:0761c13	我見、眾生見、壽者見、受者見，即是非見，是	我 見 眾 生 見 壽 者 見 受 者 見 即 是 非 見 是 
T08n0236b_001:0761c14	故說我見、眾生見、壽者見、受者見。」「須菩提！	故 說 我 見 眾 生 見 壽 者 見 受 者 見 須 菩 提 
T08n0236b_001:0761c15	若人行菩薩乘，如是應知、應見、應信，一切	若 人 行 菩 薩 乘 如 是 應 知 應 見 應 信 一 切 
T08n0236b_001:0761c16	諸法如是應修，為令法想不得生起。何以	諸 法 如 是 應 修 為 令 法 想 不 得 生 起 何 以 
T08n0236b_001:0761c17	故？須菩提！是法想、法想者，如來說即非想，	故 須 菩 提 是 法 想 法 想 者 如 來 說 即 非 想 
T08n0236b_001:0761c18	故說法想。「須菩提！若有菩薩摩訶薩，以	故 說 法 想 須 菩 提 若 有 菩薩摩訶薩 以 
T08n0236b_001:0761c19	滿無數無量世界七寶，持用布施。若有善	滿 無 數 無量世界 七 寶 持用布施 若 有 善 
T08n0236b_001:0761c20	男子、善女人，從此般若波羅蜜經乃至四	男 子 善 女 人 從 此 般若波羅蜜經 乃 至 四 
T08n0236b_001:0761c21	句偈等受持讀誦，教他修行為他廣說。是	句 偈 等 受持讀誦 教 他 修 行 為 他 廣 說 是 
T08n0236b_001:0761c22	善男子、善女人，以是因緣，所生福德最多	善 男 子 善 女 人 以是因緣 所 生 福 德 最 多 
T08n0236b_001:0761c23	於彼無量無數。云何顯說此經？如無所顯	於 彼 無量無數 云 何 顯 說 此 經 如 無 所 顯 
T08n0236b_001:0761c24	說，故言顯說。如如不動，恒有正說。應觀有	說 故 言 顯 說 如 如 不 動 恒 有 正 說 應 觀 有 
T08n0236b_001:0761c25	為法，如闇、翳、燈、幻，露、泡、夢、電、雲。」爾時世尊	為 法 如 闇 翳 燈 幻 露 泡 夢 電 雲 爾 時 世 尊 
T08n0236b_001:0761c26	說是經已，大德須菩提心進歡喜，及諸比	說 是 經 已 大 德 須 菩 提 心 進 歡 喜 及 諸 比 
T08n0236b_001:0761c27	丘、比丘尼、優婆塞、優婆夷眾，人、天、阿脩羅等	丘 比 丘 尼 優 婆 塞 優 婆 夷 眾 人 天 阿 脩 羅 等 
T08n0236b_001:0761c28	一切世間，踊躍歡喜信受奉行。	一切世間 踊 躍 歡喜信受 奉 行 
T08n0236b_001:0761c29	金剛般若波羅蜜經	金 剛 般若波羅蜜經 
