T14n0451_001:0409a03	  [  ; 灌頂經卷第十二]	 [灌頂經卷第十二] 
T14n0451_001:0413b10	令生正見，漸令修習諸菩薩行，乃至菩	令 生 正 見 漸 令 修 習 諸 菩 薩 行 乃 至 菩 
T14n0451_001:0413b11	提。	提 
T14n0451_001:0413b12	「第十大願：願我來世得菩提時，若諸有情，王	 第 十 大 願 願 我 來 世 得 菩 提 時 若 諸 有 情 王 
T14n0451_001:0413b13	法所拘，幽禁牢獄，枷鎖鞭撻，乃至極刑，復	法 所 拘 幽 禁 牢 獄 枷 鎖 鞭 撻 乃 至 極 刑 復 
T14n0451_001:0413b14	有眾多苦楚之事，逼切憂惱，無暫樂時；若	有 眾 多 苦 楚 之 事 逼 切 憂 惱 無 暫 樂 時 若 
T14n0451_001:0413b15	聞我名，以我福德威神力故，皆得解脫一	聞 我 名 以 我 福 德 威 神 力 故 皆 得 解 脫 一 
T14n0451_001:0413b16	切憂苦，乃至菩提。	切 憂 苦 乃至菩提 
T14n0451_001:0413b17	「第十一大願：願我來世得菩提時，若諸有	 第 十 一 大 願 願 我 來 世 得 菩 提 時 若 諸 有 
T14n0451_001:0413b18	情，飢火所惱，為求食故，造諸惡業；若聞我	情 飢 火 所 惱 為 求 食 故 造 諸 惡 業 若 聞 我 
T14n0451_001:0413b19	名，至心稱念，我當先以上妙飲食，隨意飽	名 至 心 稱 念 我 當 先 以 上 妙 飲 食 隨 意 飽 
T14n0451_001:0413b20	滿，後以法味，令住勝樂，乃至菩提。	滿 後 以 法 味 令 住 勝 樂 乃至菩提 
T14n0451_001:0413b21	「第十二大願：願我來世得菩提時，若諸有情，	 第 十 二 大 願 願 我 來 世 得 菩 提 時 若 諸 有 情 
T14n0451_001:0413b22	身無衣服，蚊虻、寒熱之所逼惱；若聞我名，	身 無 衣 服 蚊 虻 寒 熱 之 所 逼 惱 若 聞 我 名 
T14n0451_001:0413b23	至心稱念，隨其所好，即得種種上妙衣服、	至 心 稱 念 隨 其 所 好 即 得 種 種 上 妙 衣 服 
T14n0451_001:0413b24	寶莊嚴具、伎樂香華，皆令滿足，離諸苦惱，	寶 莊 嚴 具 伎 樂 香 華 皆 令 滿 足 離 諸 苦 惱 
T14n0451_001:0413b25	乃至菩提。	乃至菩提 
T14n0451_001:0413b26	「曼殊室利！是為藥師瑠璃光如來、應、正等覺，	 曼 殊 室 利 是 為 藥 師 瑠 璃 光 如 來 應 正 等 覺 
T14n0451_001:0413b27	行菩薩道時，所發十二微妙上願。」	行菩薩道 時 所 發 十 二 微 妙 上 願 
T14n0451_001:0413b28	藥師琉璃光七佛本願功德經卷上	藥師琉璃光 七 佛 本 願 功 德 經 卷 上 
T14n0451_002:0413c02	藥師琉璃光七佛本願功德經卷	藥師琉璃光 七 佛 本 願 功 德 經 卷 
T14n0451_002:0413c03	下	下 
T14n0451_002:0413c05	大唐三藏法師義淨於佛光內寺譯	大 唐 三藏法師 義 淨 於 佛 光 內 寺 譯 
T14n0451_002:0413c06	爾時，佛告曼殊室利：「彼藥師琉璃光如來，行	爾 時 佛 告 曼 殊 室 利 彼 藥師琉璃光 如 來 行 
T14n0451_002:0413c07	菩薩道時，所發大願，及彼佛土功德莊嚴，我	菩 薩 道 時 所 發 大 願 及 彼 佛 土 功德莊嚴 我 
T14n0451_002:0413c08	於一劫、若過一劫，說不能盡。然彼佛土純	於 一 劫 若 過 一 劫 說 不 能 盡 然 彼 佛 土 純 
T14n0451_002:0413c09	一清淨，無諸欲染，亦無女人及三惡趣、苦惱	一 清 淨 無 諸 欲 染 亦 無 女 人 及 三 惡 趣 苦 惱 
T14n0451_002:0413c10	之聲，以淨琉璃而為其地，城闕、宮殿，及諸	之 聲 以 淨 琉 璃 而 為 其 地 城 闕 宮 殿 及 諸 
T14n0451_002:0413c11	廊宇、軒窓、羅網，皆七寶成，亦如西方極樂世	廊 宇 軒 窓 羅 網 皆 七 寶 成 亦 如 西方極樂 世 
T14n0451_002:0413c12	界功德莊嚴。於彼國中，有二菩薩，一名日	界 功德莊嚴 於 彼 國 中 有 二 菩 薩 一 名 日 
T14n0451_002:0413c13	光遍照，二名月光遍照，於彼無量菩薩眾	光 遍 照 二 名 月 光 遍 照 於 彼 無 量 菩 薩 眾 
T14n0451_002:0413c14	中而為上首，能持彼佛正法寶藏。是故，曼	中 而 為 上 首 能 持 彼 佛 正 法 寶 藏 是 故 曼 
T14n0451_002:0413c15	殊室利！若有淨信男子、女人，應當願生	殊 室 利 若 有 淨 信 男 子 女 人 應 當 願 生 
T14n0451_002:0413c16	彼佛世界。	彼 佛 世 界 
T14n0451_002:0413c17	「復次，曼殊室利！若有眾生，不識善惡，惟	 復 次 曼 殊 室 利 若 有 眾 生 不 識 善 惡 惟 
T14n0451_002:0413c18	懷貪惜，不知惠施及施果報，愚癡少智，無	懷 貪 惜 不 知 惠 施 及 施 果 報 愚 癡 少 智 無 
T14n0451_002:0413c19	有信心；多畜珍財，勤勞守護，見乞者來，	有 信 心 多 畜 珍 財 勤 勞 守 護 見 乞 者 來 
T14n0451_002:0413c20	心生不喜；設不獲已，行惠施時，如割	心 生 不 喜 設 不 獲 已 行 惠 施 時 如 割 
T14n0451_002:0413c21	身肉，深生悋惜。復有無量慳貪有情，積集	身 肉 深 生 悋 惜 復 有 無 量 慳 貪 有 情 積 集 
T14n0451_002:0413c22	資財，然於自身，尚不能用，況當供給父	資 財 然 於 自 身 尚 不 能 用 況 當 供 給 父 
T14n0451_002:0413c23	母、妻子、奴婢、僕使及來乞者？彼諸有情，從此	母 妻 子 奴 婢 僕 使 及 來 乞 者 彼 諸 有 情 從 此 
T14n0451_002:0413c24	命終，生餓鬼中，或傍生趣。由昔人間曾聞藥	命 終 生 餓 鬼 中 或 傍 生 趣 由 昔 人 間 曾 聞 藥 
T14n0451_002:0413c25	師琉璃光如來名故，雖在惡趣，還得憶念	師 琉 璃 光 如 來 名 故 雖 在 惡 趣 還 得 憶 念 
T14n0451_002:0413c26	彼如來名，即於彼沒，生在人中，得宿命	彼 如 來 名 即 於 彼 沒 生 在 人 中 得 宿 命 
T14n0451_002:0413c27	智，念畏惡趣苦，不樂欲樂，好行惠施，	智 念 畏 惡 趣 苦 不 樂 欲 樂 好 行 惠 施 
T14n0451_002:0413c28	讚歎施者，所有財物無慳悋心，漸次尚能	讚 歎 施 者 所 有 財 物 無 慳 悋 心 漸 次 尚 能 
T14n0451_002:0413c29	以頭目、手足、血肉、身分施來求者，況餘財	以 頭 目 手 足 血 肉 身 分 施 來 求 者 況 餘 財 
T14n0451_002:0414a01	物？	物 
T14n0451_002:0414a02	「復次，曼殊室利！若復有人，歸依世尊，受諸	 復 次 曼 殊 室 利 若 復 有 人 歸 依 世 尊 受 諸 
T14n0451_002:0414a03	學處，而破壞戒威儀，及壞正見；諸有持	學 處 而 破 壞 戒 威 儀 及 壞 正 見 諸 有 持 
T14n0451_002:0414a04	戒正見，不求多聞，於佛所說契經深義不	戒 正 見 不 求 多 聞 於 佛 所 說 契 經 深 義 不 
T14n0451_002:0414a05	能解了；雖有多聞，而懷憍慢，由慢心	能 解 了 雖 有 多 聞 而 懷 憍 慢 由 慢 心 
T14n0451_002:0414a06	故，自是非他，嫌謗正法，為魔伴黨。如是	故 自 是 非 他 嫌 謗 正 法 為 魔 伴 黨 如 是 
T14n0451_002:0414a07	愚人，自行邪見，復令無量百千俱胝有情墮	愚 人 自 行 邪 見 復 令 無 量 百 千 俱 胝 有 情 墮 
T14n0451_002:0414a08	大險坑。此諸有情，墮於地獄、傍生、鬼趣，若	大 險 坑 此 諸 有 情 墮 於 地 獄 傍 生 鬼 趣 若 
T14n0451_002:0414a09	曾聞此藥師琉璃光如來名號，由彼如來本	曾 聞 此 藥師琉璃光 如 來 名 號 由 彼 如 來 本 
T14n0451_002:0414a10	願威力，於地獄中憶佛名號，從彼命盡，	願 威 力 於 地 獄 中 憶 佛 名 號 從 彼 命 盡 
T14n0451_002:0414a11	還生人間。正見精進，意樂調善，捨俗出家，	還 生 人 間 正 見 精 進 意 樂 調 善 捨 俗 出 家 
T14n0451_002:0414a12	於佛法中受持學處，無有毀犯，正見多聞，	於佛法中 受 持 學 處 無 有 毀 犯 正 見 多 聞 
T14n0451_002:0414a13	解甚深義，離於憍慢，不謗正法，不為魔	解 甚 深 義 離 於 憍 慢 不 謗 正 法 不 為 魔 
T14n0451_002:0414a14	伴，漸次修行諸菩薩行，乃至菩提。	伴 漸 次 修 行 諸 菩 薩 行 乃至菩提 
T14n0451_002:0414a15	「復次，曼殊室利！若諸有情，慳貪嫉妬，造諸惡	 復 次 曼 殊 室 利 若 諸 有 情 慳 貪 嫉 妬 造 諸 惡 
T14n0451_002:0414a16	業，自讚毀他，命終當墮三惡趣中，無量	業 自讚毀他 命 終 當 墮 三 惡 趣 中 無 量 
T14n0451_002:0414a17	千歲受諸劇苦；從彼終已，來生人間，或	千 歲 受 諸 劇 苦 從 彼 終 已 來 生 人 間 或 
T14n0451_002:0414a18	作牛、馬、駝、驢之屬，恒被鞭撻，飢渴纏心，	作 牛 馬 駝 驢 之 屬 恒 被 鞭 撻 飢 渴 纏 心 
T14n0451_002:0414a19	身常負重，困苦疲極；若得為人，生居下賤、	身 常 負 重 困 苦 疲 極 若 得 為 人 生 居 下 賤 
T14n0451_002:0414a20	奴婢、僕使，被他驅役，恒不自在。由昔人中	奴 婢 僕 使 被 他 驅 役 恒 不 自 在 由 昔 人 中 
T14n0451_002:0414a21	曾聞藥師琉璃光如來名號，彼善根力，今復	曾 聞 藥師琉璃光 如 來 名 號 彼 善 根 力 今 復 
T14n0451_002:0414a22	憶念，至心歸依，以佛神力，眾苦解脫，諸根聰	憶 念 至 心 歸 依 以佛神力 眾 苦 解 脫 諸 根 聰 
T14n0451_002:0414a23	利，智慧多聞，恒求勝法，常遇善友，永斷魔	利 智 慧 多 聞 恒 求 勝 法 常 遇 善 友 永 斷 魔 
T14n0451_002:0414a24	羂，破無明[穀禾+卵]，竭煩惱河，解脫一切生老病	羂 破 無 明 [穀禾卵] 竭 煩 惱 河 解 脫 一 切 生 老 病 
T14n0451_002:0414a25	死、憂悲苦惱，乃至菩提。	死 憂 悲 苦 惱 乃至菩提 
T14n0451_002:0414a26	「復次，曼殊室利！若諸有情，好憙乖離，更相鬪	 復 次 曼 殊 室 利 若 諸 有 情 好 憙 乖 離 更 相 鬪 
T14n0451_002:0414a27	訟，惱亂自他，以身語意造諸惡業，展轉常	訟 惱 亂 自 他 以 身 語 意 造 諸 惡 業 展 轉 常 
T14n0451_002:0414a28	為不饒益事，互相謀害；告召山林、樹塚等	為 不饒益事 互 相 謀 害 告 召 山 林 樹 塚 等 
T14n0451_002:0414a29	神，殺諸眾生，取其血肉，祭祀藥叉、羅剎神	神 殺 諸 眾 生 取 其 血 肉 祭 祀 藥 叉 羅 剎 神 
T14n0451_002:0414b01	等，書怨人名，或作形像，以惡呪術而呪	等 書 怨 人 名 或 作 形 像 以 惡 呪 術 而 呪 
T14n0451_002:0414b02	詛之，厭魅、蠱道、呪起死屍，令斷彼命，及	詛 之 厭 魅 蠱 道 呪 起 死 屍 令 斷 彼 命 及 
T14n0451_002:0414b03	壞其身。是諸有情，若得聞此藥師琉璃光	壞 其 身 是 諸 有 情 若 得 聞 此 藥師琉璃光 
T14n0451_002:0414b04	如來名號，彼諸惡緣悉不能害，一切展轉	如 來 名 號 彼 諸 惡 緣 悉 不 能 害 一 切 展 轉 
T14n0451_002:0414b05	皆起慈悲，利益安樂，無損惱意，及嫌恨心，	皆 起 慈 悲 利益安樂 無 損 惱 意 及 嫌 恨 心 
T14n0451_002:0414b06	於自所有，常生喜足。	於 自 所 有 常 生 喜 足 
T14n0451_002:0414b07	「復次，曼殊室利！若有四眾，苾芻、苾芻尼、近事	 復 次 曼 殊 室 利 若 有 四 眾 苾 芻 苾 芻 尼 近 事 
T14n0451_002:0414b08	男、近事女，及餘淨信男子、女人，若能受持八	男 近 事 女 及 餘 淨 信 男 子 女 人 若 能 受 持 八 
T14n0451_002:0414b09	支齋戒，或經一年，或復三月，受持學處，以	支 齋 戒 或 經 一 年 或 復 三 月 受 持 學 處 以 
T14n0451_002:0414b10	此善根，願生西方極樂世界，見無量壽佛。	此 善 根 願 生 西方極樂 世 界 見 無 量 壽 佛 
T14n0451_002:0414b11	若聞藥師琉璃光如來名號，臨命終時，有	若 聞 藥師琉璃光 如 來 名 號 臨命終時 有 
T14n0451_002:0414b12	八菩薩，乘神通來示其去處，即於彼界	八 菩 薩 乘 神 通 來 示 其 去 處 即 於 彼 界 
T14n0451_002:0414b13	種種雜色眾寶花中自然化生。或有因此	種 種 雜 色 眾 寶 花 中 自然化生 或 有 因 此 
T14n0451_002:0414b14	生於天上，雖生天中，而昔善根亦不窮盡，	生 於 天 上 雖 生 天 中 而 昔 善 根 亦 不 窮 盡 
T14n0451_002:0414b15	不復更生諸餘惡趣。天上壽盡，還生人間，	不復更生 諸 餘 惡 趣 天 上 壽 盡 還 生 人 間 
T14n0451_002:0414b16	或為輪王，統攝四洲，威德自在，勸化無量	或 為 輪 王 統 攝 四 洲 威德自在 勸 化 無 量 
T14n0451_002:0414b17	百千有情，於十善道令其修習；或生剎	百 千 有 情 於 十 善 道 令 其 修 習 或 生 剎 
T14n0451_002:0414b18	帝利、婆羅門、居士、貴族，多饒財寶，倉庫盈	帝 利 婆 羅 門 居 士 貴 族 多 饒 財 寶 倉 庫 盈 
T14n0451_002:0414b19	溢，形相端嚴，眷屬隆盛，聰明智慧，勇健威猛，	溢 形 相 端 嚴 眷 屬 隆 盛 聰 明 智 慧 勇 健 威 猛 
T14n0451_002:0414b20	有大身力。若是女人，得聞藥師琉璃光如	有 大 身 力 若 是 女 人 得 聞 藥師琉璃光 如 
T14n0451_002:0414b21	來名號，至心受持，於後不復更受女身。	來 名 號 至 心 受 持 於 後 不 復 更 受 女 身 
T14n0451_002:0414b22	「復次，曼殊室利！彼藥師琉璃光如來得菩提	 復 次 曼 殊 室 利 彼 藥師琉璃光 如 來 得 菩 提 
T14n0451_002:0414b23	時，由本願力，觀諸有情，遇眾病苦，瘦瘧、	時 由 本 願 力 觀 諸 有 情 遇 眾 病 苦 瘦 瘧 
T14n0451_002:0414b24	乾消、黃熱等病，或被厭魅、蠱道所中，或復	乾 消 黃 熱 等 病 或 被 厭 魅 蠱 道 所 中 或 復 
T14n0451_002:0414b25	短命，或時橫死，欲令是等病苦消除，所求願	短 命 或 時 橫 死 欲 令 是 等 病 苦 消 除 所 求 願 
T14n0451_002:0414b26	滿。時，彼世尊入三摩地，名曰滅除一切眾生	滿 時 彼 世 尊 入 三 摩 地 名 曰 滅 除 一 切 眾 生 
T14n0451_002:0414b27	苦惱，既入定已，於肉髻中出大光明，光中	苦 惱 既 入 定 已 於 肉 髻 中 出 大 光 明 光 中 
T14n0451_002:0414b28	演說大陀羅尼呪曰：	演 說 大 陀羅尼呪 曰 
T14n0451_002:0414b29	「『南謨薄伽伐帝　鞞殺社寠嚕　薜琉璃鉢喇	 南 謨 薄 伽 伐 帝 鞞 殺 社 寠 嚕 薜 琉 璃 鉢 喇 
T14n0451_002:0414c01	婆　曷囉闍也　呾他揭多也　阿囉喝帝	婆 曷 囉 闍 也 呾 他 揭 多 也 阿 囉 喝 帝 
T14n0451_002:0414c02	　三藐三勃陀也呾姪他唵　鞞殺逝鞞殺逝	 三 藐 三 勃 陀 也 呾 姪 他 唵 鞞 殺 逝 鞞 殺 逝 
T14n0451_002:0414c03	　鞞殺社三沒揭帝　莎訶』	 鞞 殺 社 三 沒 揭 帝 莎 訶 
T14n0451_002:0414c04	「爾時，光中說此呪已，大地震動，放大光明，	 爾 時 光 中 說 此 呪 已 大 地 震 動 放大光明 
T14n0451_002:0414c05	一切眾生，病苦皆除，受安隱樂。曼殊室利！	一 切 眾 生 病 苦 皆 除 受 安 隱 樂 曼 殊 室 利 
T14n0451_002:0414c06	若見男子、女人，有病苦者，應當一心為彼	若 見 男 子 女 人 有 病 苦 者 應 當 一 心 為 彼 
T14n0451_002:0414c07	病人清淨澡漱，或食、或藥、或無蟲水，呪一百	病 人 清 淨 澡 漱 或 食 或 藥 或 無 蟲 水 呪 一 百 
T14n0451_002:0414c08	八遍，與彼服食，所有病苦悉皆消滅。若有所	八 遍 與 彼 服 食 所 有 病 苦 悉 皆 消 滅 若 有 所 
T14n0451_002:0414c09	求，至心念誦，皆得如意，無病延年，命終之	求 至 心 念 誦 皆 得 如 意 無 病 延 年 命 終 之 
T14n0451_002:0414c10	後，生彼世界，得不退轉，乃至菩提。是故，曼	後 生 彼 世 界 得不退轉 乃至菩提 是 故 曼 
T14n0451_002:0414c11	殊室利！若有男子、女人，於彼藥師琉璃光如	殊 室 利 若 有 男 子 女 人 於 彼 藥師琉璃光 如 
T14n0451_002:0414c12	來，至心慇重、恭敬供養者，常持此呪，勿令	來 至 心 慇 重 恭敬供養 者 常 持 此 呪 勿 令 
T14n0451_002:0414c13	廢忘。	廢 忘 
T14n0451_002:0414c14	「復次，曼殊室利！若有淨信男子、女人，得聞	 復 次 曼 殊 室 利 若 有 淨 信 男 子 女 人 得 聞 
T14n0451_002:0414c15	如上七佛、如來、應、正等覺所有名號，聞已誦	如 上 七 佛 如 來 應 正 等 覺 所 有 名 號 聞 已 誦 
T14n0451_002:0414c16	持，晨嚼齒木，澡漱清淨，以諸香花、末香、燒香、	持 晨 嚼 齒 木 澡 漱 清 淨 以 諸 香 花 末 香 燒 香 
T14n0451_002:0414c17	塗香，作眾伎樂，供養形像；於此經典，若	塗 香 作 眾 伎 樂 供 養 形 像 於 此 經 典 若 
T14n0451_002:0414c18	自書，若教人書，一心受持，聽聞其義；於彼	自 書 若 教 人 書 一 心 受 持 聽 聞 其 義 於 彼 
T14n0451_002:0414c19	法師，應修供養，一切所有資身之具，悉皆	法 師 應 修 供 養 一 切 所 有 資 身 之 具 悉 皆 
T14n0451_002:0414c20	施與，勿令乏少。如是便蒙諸佛護念，所求	施 與 勿 令 乏 少 如 是 便 蒙 諸 佛 護 念 所 求 
T14n0451_002:0414c21	願滿，乃至菩提。」	願 滿 乃至菩提 
T14n0451_002:0414c22	爾時，曼殊室利童子白佛言：「世尊！我於末法	爾 時 曼 殊 室 利 童 子 白 佛 言 世 尊 我 於 末 法 
T14n0451_002:0414c23	之時，誓以種種方便，令諸淨信男子、女人，得	之 時 誓 以 種 種 方 便 令 諸 淨 信 男 子 女 人 得 
T14n0451_002:0414c24	聞七佛如來名號，乃至睡中亦以佛名令	聞 七 佛 如 來 名 號 乃 至 睡 中 亦 以 佛 名 令 
T14n0451_002:0414c25	其覺悟。世尊！若於此經，受持讀誦，或復為	其 覺 悟 世 尊 若 於 此 經 受持讀誦 或 復 為 
T14n0451_002:0414c26	他演說開示，若自書，若教人書，恭敬尊重，	他 演 說 開 示 若 自 書 若 教 人 書 恭 敬 尊 重 
T14n0451_002:0414c27	以種種華香、塗香、末香、燒香、華鬘、瓔珞、幡蓋、	以 種 種 華 香 塗 香 末 香 燒 香 華 鬘 瓔 珞 幡 蓋 
T14n0451_002:0414c28	伎樂而為供養，以五色繒綵，而裹祑之，	伎 樂 而 為 供 養 以 五 色 繒 綵 而 裹 祑 之 
T14n0451_002:0414c29	灑掃淨處，置高座上。	灑 掃 淨 處 置 高 座 上 
T14n0451_002:0415a01	「是時，四大天王與其眷屬，及餘無量百千	 是 時 四大天王 與 其 眷 屬 及 餘 無 量 百 千 
T14n0451_002:0415a02	天眾，皆詣其所，供養守護。世尊！若此經寶流	天 眾 皆 詣 其 所 供 養 守 護 世 尊 若 此 經 寶 流 
T14n0451_002:0415a03	行之處，及受持者，以彼七佛如來本願功德，	行 之 處 及 受 持 者 以 彼 七 佛 如 來 本 願 功 德 
T14n0451_002:0415a04	及聞名號威神之力，當知是處無復橫死，亦	及 聞 名 號 威 神 之 力 當 知 是 處 無 復 橫 死 亦 
T14n0451_002:0415a05	復不為諸惡鬼神奪其精氣，設已奪者，還得	復 不 為 諸 惡 鬼 神 奪其精氣 設 已 奪 者 還 得 
T14n0451_002:0415a06	如故，身心安樂。」	如 故 身 心 安 樂 
T14n0451_002:0415a07	佛告曼殊室利：「如是！如是！如汝所說。曼殊室	佛 告 曼 殊 室 利 如 是 如 是 如 汝 所 說 曼 殊 室 
T14n0451_002:0415a08	利！若有淨信男子、女人，欲供養彼七如來	利 若 有 淨 信 男 子 女 人 欲 供 養 彼 七 如 來 
T14n0451_002:0415a09	者，應先敬造七佛形像，安在清淨上妙	者 應 先 敬 造 七 佛 形 像 安 在 清 淨 上 妙 
T14n0451_002:0415a10	之座，散花、燒香，以諸幢幡，莊嚴其處；七日	之 座 散 花 燒 香 以 諸 幢 幡 莊 嚴 其 處 七 日 
T14n0451_002:0415a11	七夜，受八戒齋，食清淨食，澡浴身體，著新	七 夜 受 八 戒 齋 食 清 淨 食 澡 浴 身 體 著 新 
T14n0451_002:0415a12	淨衣；心無垢濁，亦無恚害，於諸有情常	淨 衣 心 無 垢 濁 亦 無 恚 害 於諸有情 常 
T14n0451_002:0415a13	起利樂、慈悲喜捨、平等之心；鼓樂絃歌，稱讚	起 利 樂 慈 悲 喜 捨 平 等 之 心 鼓 樂 絃 歌 稱 讚 
T14n0451_002:0415a14	功德，右繞佛像；念彼如來所有本願，讀誦	功 德 右 繞 佛 像 念 彼 如 來 所 有 本 願 讀 誦 
T14n0451_002:0415a15	此經，思惟其義，演說開示。隨其所願，求長	此 經 思 惟 其 義 演 說 開 示 隨 其 所 願 求 長 
T14n0451_002:0415a16	壽得長壽，求富饒得富饒，求官位得官	壽 得 長 壽 求 富 饒 得 富 饒 求 官 位 得 官 
T14n0451_002:0415a17	位，求男女得男女，一切皆遂。若復有人，	位 求 男 女 得 男 女 一 切 皆 遂 若 復 有 人 
T14n0451_002:0415a18	忽得惡夢，見諸惡相，或怪鳥來集，或於	忽 得 惡 夢 見 諸 惡 相 或 怪 鳥 來 集 或 於 
T14n0451_002:0415a19	其家，百怪出現，此人若以上妙資具，恭敬	其 家 百 怪 出 現 此 人 若 以 上 妙 資 具 恭 敬 
T14n0451_002:0415a20	供養彼諸佛者，惡夢、惡相、諸不吉祥，悉皆	供 養 彼 諸 佛 者 惡 夢 惡 相 諸 不 吉 祥 悉 皆 
T14n0451_002:0415a21	隱沒，不能為患。或有水火、刀毒、懸崖、險道、	隱 沒 不 能 為 患 或 有 水 火 刀 毒 懸 崖 險 道 
T14n0451_002:0415a22	惡象、師子、虎狼、熊羆、蛇蠍、蜈蚣如是等怖，若	惡 象 師 子 虎 狼 熊 羆 蛇 蠍 蜈 蚣 如 是 等 怖 若 
T14n0451_002:0415a23	能至心憶念彼佛，恭敬供養，一切怖畏皆得	能 至 心 憶 念 彼 佛 恭敬供養 一 切 怖 畏 皆 得 
T14n0451_002:0415a24	解脫。若他國侵擾，盜賊反亂，憶念恭敬彼	解 脫 若 他 國 侵 擾 盜 賊 反 亂 憶 念 恭 敬 彼 
T14n0451_002:0415a25	如來者，所有怨敵悉皆退散。「復次，曼殊室	如 來 者 所 有 怨 敵 悉 皆 退 散 復 次 曼 殊 室 
T14n0451_002:0415a26	利！若有淨信男子、女人等，乃至盡形，不事	利 若 有 淨 信 男 子 女 人 等 乃 至 盡 形 不 事 
T14n0451_002:0415a27	餘天，惟當一心歸佛、法、僧，受持禁戒，若	餘 天 惟 當 一 心 歸 佛 法 僧 受 持 禁 戒 若 
T14n0451_002:0415a28	五戒、十戒、菩薩二十四戒、苾芻二百五十戒、	五 戒 十 戒 菩 薩 二 十 四 戒 苾 芻 二百五十戒 
T14n0451_002:0415a29	苾芻尼五百戒，於諸戒中，或有毀犯，怖墮	苾 芻 尼 五 百 戒 於 諸 戒 中 或 有 毀 犯 怖 墮 
T14n0451_002:0415b01	惡趣，若能專念彼佛名號、恭敬供養者，必	惡 趣 若 能 專 念 彼 佛 名 號 恭敬供養 者 必 
T14n0451_002:0415b02	定不生三惡趣中。或有女人，臨當產時，受	定 不 生 三 惡 趣 中 或 有 女 人 臨 當 產 時 受 
T14n0451_002:0415b03	於極苦，若能至心稱名，禮讚恭敬，供養七	於 極 苦 若 能 至 心 稱 名 禮 讚 恭 敬 供 養 七 
T14n0451_002:0415b04	佛如來，眾苦皆除，所生之子顏貌端正，見者	佛 如 來 眾 苦 皆 除 所 生 之 子 顏 貌 端 正 見 者 
T14n0451_002:0415b05	歡喜，利根聰明，少病安樂，無有非人奪其	歡 喜 利 根 聰 明 少 病 安 樂 無 有 非 人 奪 其 
T14n0451_002:0415b06	精氣。」	精 氣 
T14n0451_002:0415b07	爾時，世尊告阿難言：「如我稱揚彼七如來	爾 時 世 尊 告 阿 難 言 如 我 稱 揚 彼 七 如 來 
T14n0451_002:0415b08	名號功德，此是諸佛甚深境界，難可了知，	名 號 功 德 此 是 諸 佛 甚 深 境 界 難可了知 
T14n0451_002:0415b09	汝勿生疑。」阿難白言：「世尊！我於如來所說	汝 勿 生 疑 阿 難 白 言 世 尊 我 於 如 來 所 說 
T14n0451_002:0415b10	契經深義，不生疑惑。所以者何？一切如來	契 經 深 義 不 生 疑 惑 所以者何 一 切 如 來 
T14n0451_002:0415b11	身、語、意業，皆無虛妄。世尊！此日月輪，可令	身 語 意 業 皆 無 虛 妄 世 尊 此 日 月 輪 可 令 
T14n0451_002:0415b12	墮落；妙高山王，可使傾動；諸佛所言，終無	墮 落 妙 高 山 王 可 使 傾 動 諸 佛 所 言 終 無 
T14n0451_002:0415b13	有異。世尊！然有眾生，信根不具，聞說諸	有 異 世 尊 然 有 眾 生 信 根 不 具 聞 說 諸 
T14n0451_002:0415b14	佛甚深境界，作是思惟：『云何但念七佛名	佛 甚 深 境 界 作是思惟 云 何 但 念 七 佛 名 
T14n0451_002:0415b15	號，便獲爾所功德、勝利？』由此不信，便生誹	號 便 獲 爾 所 功 德 勝 利 由 此 不 信 便 生 誹 
T14n0451_002:0415b16	謗。彼於長夜，失大利樂，墮諸惡趣。」佛告阿	謗 彼 於 長 夜 失 大 利 樂 墮諸惡趣 佛 告 阿 
T14n0451_002:0415b17	難：「彼諸有情，若得耳聞諸佛名號，墮惡趣	難 彼 諸 有 情 若 得 耳 聞 諸 佛 名 號 墮 惡 趣 
T14n0451_002:0415b18	者，無有是處，唯除定業不可轉者。阿難！此	者 無 有 是 處 唯 除 定 業 不 可 轉 者 阿 難 此 
T14n0451_002:0415b19	是諸佛甚深境界，難可信解。汝能信受，當	是 諸 佛 甚 深 境 界 難 可 信 解 汝 能 信 受 當 
T14n0451_002:0415b20	知皆是如來威力。阿難！一切聲聞及獨覺	知 皆 是 如 來 威 力 阿 難 一 切 聲 聞 及 獨 覺 
T14n0451_002:0415b21	等，皆不能知，唯除一生補處菩薩。阿難！人	等 皆 不 能 知 唯 除 一生補處菩薩 阿 難 人 
T14n0451_002:0415b22	身難得；於三寶中信敬、尊重，亦難可得；得	身 難 得 於 三 寶 中 信 敬 尊 重 亦 難 可 得 得 
T14n0451_002:0415b23	聞七佛如來名號，復難於是。阿難！彼諸如	聞 七 佛 如 來 名 號 復 難 於 是 阿 難 彼 諸 如 
T14n0451_002:0415b24	來無量菩薩行、無量巧方便、無量廣大願，	來 無 量 菩 薩 行 無 量 巧 方 便 無 量 廣 大 願 
T14n0451_002:0415b25	如是行願、善巧方便，我若一劫、若過一劫，說	如 是 行 願 善巧方便 我 若 一 劫 若 過 一 劫 說 
T14n0451_002:0415b26	不能盡。」	不 能 盡 
T14n0451_002:0415b27	爾時，眾中有一菩薩摩訶薩，名曰救脫，即從	爾 時 眾 中 有 一 菩薩摩訶薩 名 曰 救 脫 即 從 
T14n0451_002:0415b28	座起，偏袒右肩，右膝著地，合掌向佛，白言：	座 起 偏袒右肩 右膝著地 合 掌 向 佛 白 言 
