T15n0641_001:0623b07	佛說月燈三昧經	佛 說 月燈三昧 經 
T15n0641_001:0628a23	一者、諸行滅諦不可思議，二者、有為滅諦不	一 者 諸 行 滅 諦 不可思議 二 者 有 為 滅 諦 不 
T15n0641_001:0628a24	可思議，三者、無為滅諦不可思議，四者、有住	可 思 議 三 者 無 為 滅 諦 不可思議 四 者 有 住 
T15n0641_001:0628a25	滅諦不可思議，五者、無住滅諦不可思議，六	滅 諦 不可思議 五 者 無 住 滅 諦 不可思議 六 
T15n0641_001:0628a26	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628a27	「童子！菩薩摩訶薩復有六種苦因。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 苦 因 何 等 為 六 
T15n0641_001:0628a28	一者、諸行苦因不可思議，二者、有為苦因不	一 者 諸 行 苦 因 不可思議 二 者 有 為 苦 因 不 
T15n0641_001:0628a29	可思議，三者、無為苦因不可思議，四者、有住	可 思 議 三 者 無 為 苦 因 不可思議 四 者 有 住 
T15n0641_001:0628b01	苦因不可思議，五者、無住苦因不可思議，六	苦 因 不可思議 五 者 無 住 苦 因 不可思議 六 
T15n0641_001:0628b02	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628b03	「童子！菩薩摩訶薩復有六種集因。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 集 因 何 等 為 六 
T15n0641_001:0628b04	一者、諸行集因不可思議，二者、有為集因不	一 者 諸 行 集 因 不可思議 二 者 有 為 集 因 不 
T15n0641_001:0628b05	可思議，三者、無為集因不可思議，四者、有住	可 思 議 三 者 無 為 集 因 不可思議 四 者 有 住 
T15n0641_001:0628b06	集因不可思議，五者、無住集因不可思議，六	集 因 不可思議 五 者 無 住 集 因 不可思議 六 
T15n0641_001:0628b07	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628b08	「童子！菩薩摩訶薩復有六種滅因。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 滅 因 何 等 為 六 
T15n0641_001:0628b09	一者、諸行滅因不可思議，二者、有為滅因不	一 者 諸 行 滅 因 不可思議 二 者 有 為 滅 因 不 
T15n0641_001:0628b10	可思議，三者、無為滅因不可思議，四者、有住	可 思 議 三 者 無 為 滅 因 不可思議 四 者 有 住 
T15n0641_001:0628b11	滅因不可思議，五者、無住滅因不可思議，六	滅 因 不可思議 五 者 無 住 滅 因 不可思議 六 
T15n0641_001:0628b12	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628b13	「童子！菩薩摩訶薩復有六種道因。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 道 因 何 等 為 六 
T15n0641_001:0628b14	一者、諸行道因不可思議，二者、有為道因不	一 者 諸 行 道 因 不可思議 二 者 有 為 道 因 不 
T15n0641_001:0628b15	可思議，三者、無為道因不可思議，四者、有住	可 思 議 三 者 無 為 道 因 不可思議 四 者 有 住 
T15n0641_001:0628b16	道因不可思議，五者、無住道因不可思議，六	道 因 不可思議 五 者 無 住 道 因 不可思議 六 
T15n0641_001:0628b17	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628b18	「童子！菩薩摩訶薩復有六種苦緣。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 苦 緣 何 等 為 六 
T15n0641_001:0628b19	一者、諸行苦緣不可思議，二者、有為苦緣不	一 者 諸 行 苦 緣 不可思議 二 者 有 為 苦 緣 不 
T15n0641_001:0628b20	可思議，三者、無為苦緣不可思議，四者、有住	可 思 議 三 者 無 為 苦 緣 不可思議 四 者 有 住 
T15n0641_001:0628b21	苦緣不可思議，五者、無住苦緣不可思議，六	苦 緣 不可思議 五 者 無 住 苦 緣 不可思議 六 
T15n0641_001:0628b22	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628b23	「童子！菩薩摩訶薩復有六種集緣。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 集 緣 何 等 為 六 
T15n0641_001:0628b24	一者、諸行集緣不可思議，二者、有為集緣不	一 者 諸 行 集 緣 不可思議 二 者 有 為 集 緣 不 
T15n0641_001:0628b25	可思議，三者、無為集緣不可思議，四者、有住	可 思 議 三 者 無 為 集 緣 不可思議 四 者 有 住 
T15n0641_001:0628b26	集緣不可思議，五者、無住集緣不可思議，六	集 緣 不可思議 五 者 無 住 集 緣 不可思議 六 
T15n0641_001:0628b27	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628b28	「童子！菩薩摩訶薩復有六種滅緣。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 滅 緣 何 等 為 六 
T15n0641_001:0628b29	一者、諸行滅緣不可思議，二者、有為滅緣不	一 者 諸 行 滅 緣 不可思議 二 者 有 為 滅 緣 不 
T15n0641_001:0628c01	可思議，三者、無為滅緣不可思議，四者、有住	可 思 議 三 者 無 為 滅 緣 不可思議 四 者 有 住 
T15n0641_001:0628c02	滅緣不可思議，五者、無住滅緣不可思議，六	滅 緣 不可思議 五 者 無 住 滅 緣 不可思議 六 
T15n0641_001:0628c03	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628c04	「童子！菩薩摩訶薩復有六種道緣。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 道 緣 何 等 為 六 
T15n0641_001:0628c05	一者、諸行道緣不可思議，二者、有為道緣不	一 者 諸 行 道 緣 不可思議 二 者 有 為 道 緣 不 
T15n0641_001:0628c06	可思議，三者、無為道緣不可思議，四者、有住	可 思 議 三 者 無 為 道 緣 不可思議 四 者 有 住 
T15n0641_001:0628c07	道緣不可思議，五者、無住道緣不可思議，六	道 緣 不可思議 五 者 無 住 道 緣 不可思議 六 
T15n0641_001:0628c08	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628c09	「童子！菩薩摩訶薩復有六種苦行。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 苦 行 何 等 為 六 
T15n0641_001:0628c10	一者、諸行苦行不可思議，二者、有為苦行不	一 者 諸 行 苦 行 不可思議 二 者 有 為 苦 行 不 
T15n0641_001:0628c11	可思議，三者、無為苦行不可思議，四者、有住	可 思 議 三 者 無 為 苦 行 不可思議 四 者 有 住 
T15n0641_001:0628c12	苦行不可思議，五者、無住苦行不可思議，六	苦 行 不可思議 五 者 無 住 苦 行 不可思議 六 
T15n0641_001:0628c13	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628c14	「童子！菩薩摩訶薩復有六種集行。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 集 行 何 等 為 六 
T15n0641_001:0628c15	一者、諸行集行不可思議，二者、有為集行不	一 者 諸 行 集 行 不可思議 二 者 有 為 集 行 不 
T15n0641_001:0628c16	可思議，三者、無為集行不可思議，四者、有住	可 思 議 三 者 無 為 集 行 不可思議 四 者 有 住 
T15n0641_001:0628c17	集行不可思議，五者、無住集行不可思議，六	集 行 不可思議 五 者 無 住 集 行 不可思議 六 
T15n0641_001:0628c18	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628c19	「童子！菩薩摩訶薩復有六種滅行。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 滅 行 何 等 為 六 
T15n0641_001:0628c20	一者、諸行滅行不可思議，二者、有為滅行不	一 者 諸 行 滅 行 不可思議 二 者 有 為 滅 行 不 
T15n0641_001:0628c21	可思議，三者、無為滅行不可思議，四者、有住	可 思 議 三 者 無 為 滅 行 不可思議 四 者 有 住 
T15n0641_001:0628c22	滅行不可思議，五者、無住滅行不可思議，六	滅 行 不可思議 五 者 無 住 滅 行 不可思議 六 
T15n0641_001:0628c23	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628c24	「童子！菩薩摩訶薩復有六種道行。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 道 行 何 等 為 六 
T15n0641_001:0628c25	一者、諸行道行不可思議，二者、有為道行不	一 者 諸 行 道 行 不可思議 二 者 有 為 道 行 不 
T15n0641_001:0628c26	可思議，三者、無為道行不可思議，四者、有住	可 思 議 三 者 無 為 道 行 不可思議 四 者 有 住 
T15n0641_001:0628c27	道行不可思議，五者、無住道行不可思議，六	道 行 不可思議 五 者 無 住 道 行 不可思議 六 
T15n0641_001:0628c28	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0628c29	「童子！菩薩摩訶薩復有六種苦識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 苦 識 何 等 為 六 
T15n0641_001:0629a01	一者、諸行苦識不可思議，二者、有為苦識不	一 者 諸 行 苦 識 不可思議 二 者 有 為 苦 識 不 
T15n0641_001:0629a02	可思議，三者、無為苦識不可思議，四者、有住	可 思 議 三 者 無 為 苦 識 不可思議 四 者 有 住 
T15n0641_001:0629a03	苦識不可思議，五者、無住苦識不可思議，六	苦 識 不可思議 五 者 無 住 苦 識 不可思議 六 
T15n0641_001:0629a04	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0629a05	「童子！菩薩摩訶薩復有六種集識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 集 識 何 等 為 六 
T15n0641_001:0629a06	一者、諸行集識不可思議，二者、有為集識不	一 者 諸 行 集 識 不可思議 二 者 有 為 集 識 不 
T15n0641_001:0629a07	可思議，三者、無為集識不可思議，四者、有住	可 思 議 三 者 無 為 集 識 不可思議 四 者 有 住 
T15n0641_001:0629a08	集識不可思議，五者、無住集識不可思議，六	集 識 不可思議 五 者 無 住 集 識 不可思議 六 
T15n0641_001:0629a09	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0629a10	「童子！菩薩摩訶薩復有六種滅識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 滅 識 何 等 為 六 
T15n0641_001:0629a11	一者、諸行滅識不可思議，二者、有為滅識不	一 者 諸 行 滅 識 不可思議 二 者 有 為 滅 識 不 
T15n0641_001:0629a12	可思議，三者、無為滅識不可思議，四者、有住	可 思 議 三 者 無 為 滅 識 不可思議 四 者 有 住 
T15n0641_001:0629a13	滅識不可思議，五者、無住滅識不可思議，六	滅 識 不可思議 五 者 無 住 滅 識 不可思議 六 
T15n0641_001:0629a14	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0629a15	「童子！菩薩摩訶薩復有六種道識。何等為六？	 童 子 菩薩摩訶薩 復 有 六 種 道 識 何 等 為 六 
T15n0641_001:0629a16	一者、諸行道識不可思議，二者、有為道識不	一 者 諸 行 道 識 不可思議 二 者 有 為 道 識 不 
T15n0641_001:0629a17	可思議，三者、無為道識不可思議，四者、有住	可 思 議 三 者 無 為 道 識 不可思議 四 者 有 住 
T15n0641_001:0629a18	道識不可思議，五者、無住道識不可思議，六	道 識 不可思議 五 者 無 住 道 識 不可思議 六 
T15n0641_001:0629a19	者、皆空不可思議；是為六種。	者 皆 空 不可思議 是 為 六 種 
T15n0641_001:0629a20	「童子！菩薩摩訶薩諸行、有為、無為、有住、無	 童 子 菩薩摩訶薩 諸 行 有 為 無 為 有 住 無 
T15n0641_001:0629a21	住、皆空——六行之本——具如上說，若廣明喻，窮劫	住 皆 空 六 行 之 本 具 如 上 說 若 廣 明 喻 窮 劫 
T15n0641_001:0629a22	不盡。」	不 盡 
T15n0641_001:0629a23	佛說月燈三昧經	佛 說 月燈三昧 經 
