X58n1019_001:0584a07	辨非集	辨 非 集 
X58n1019_001:0588c17	也。敢問。譯主既尚刪略。何不於經初但舉一兩處。	也 敢 問 譯 主 既 尚 刪 略 何 不 於 經 初 但 舉 一 兩 處 
X58n1019_001:0588c18	下皆略去。何故獨於般若忍辱凡夫等處。無是名	下 皆 略 去 何 故 獨 於 般 若 忍 辱 凡 夫 等 處 無 是 名 
X58n1019_001:0588c19	之言。若謂譯主互顯。何不於佗句互顯。而獨於此	之 言 若 謂 譯 主 互 顯 何 不 於 佗 句 互 顯 而 獨 於 此 
X58n1019_001:0588c20	文互顯。有謂。奘本俱有是名。理必合有。若此言者。	文 互 顯 有 謂 奘 本 俱 有 是 名 理 必 合 有 若 此 言 者 
X58n1019_001:0588c21	則知奘什之意俱未通曉。儻或得暇。宜更看讀。	則 知 奘 什 之 意 俱 未 通 曉 儻 或 得 暇 宜 更 看 讀 
X58n1019_001:0588c22	當何名此經。我等云何奉持。楞嚴在正宗末。圓覺在	當 何 名 此 經 我 等 云 何 奉 持 楞 嚴 在 正 宗 末 圓 覺 在 
X58n1019_001:0588c23	流通初。尊者何故便請經名。須知此中所請。佛唱經	流 通 初 尊 者 何 故 便 請 經 名 須 知 此 中 所 請 佛 唱 經 
X58n1019_001:0588c24	名。而復蕩相破執。為令於信解地離外散亂。或起如	名 而 復 蕩 相 破 執 為 令 於 信 解 地 離 外 散 亂 或 起 如 
X58n1019_001:0589a01	言執義。為對治彼未來罪故。如來於此為唱經名。不	言 執 義 為 對 治 彼 未 來 罪 故 如 來 於 此 為 唱 經 名 不 
X58n1019_001:0589a02	妨其意已兼流通。	妨 其 意 已 兼 流 通 
X58n1019_001:0589a03	非曰。此經隨執即破。何必定在流通中。前聞二種	非 曰 此 經 隨 執 即 破 何 必 定 在 流 通 中 前 聞 二 種 
X58n1019_001:0589a04	校量。廣顯經勝。故上座須菩提遂問。法如是勝。何	校 量 廣 顯 經 勝 故 上 座 須 菩 提 遂 問 法 如 是 勝 何 
X58n1019_001:0589a05	以名目。佛約能斷惑勝故立金剛般若之名。又恐	以 名 目 佛 約 能 斷 惑 勝 故 立 金 剛 般 若 之 名 又 恐 
X58n1019_001:0589a06	如言而執。故云即非。而云不妨其意已兼流通。其	如 言 而 執 故 云 即 非 而 云 不 妨 其 意 已 兼 流 通 其 
X58n1019_001:0589a07	言稍疎也。	言 稍 疎 也 
X58n1019_001:0589a08	五眼皆如來具故。一眼即具五眼。五眼無非一眼。圭	五 眼 皆 如 來 具 故 一 眼 即 具 五 眼 五 眼 無 非 一 眼 圭 
X58n1019_001:0589a09	峯引古德天眼通非礙等。然圭峯引此注釋佛具五	峯 引 古 德 天 眼 通 非 礙 等 然 圭 峯 引 此 注 釋 佛 具 五 
X58n1019_001:0589a10	眼。恐未合經旨。以佛所具不可偏局。觀俗緣空。	眼 恐 未 合 經 旨 以 佛 所 具 不 可 偏 局 觀 俗 緣 空 
X58n1019_001:0589a11	非曰。圭峯云。前四在佛總名佛眼。彌勒云。諸佛五	非 曰 圭 峯 云 前 四 在 佛 總 名 佛 眼 彌 勒 云 諸 佛 五 
X58n1019_001:0589a12	種實。以見彼顛倒。以顯佛有五種用。欲彰用別。故	種 實 以 見 彼 顛 倒 以 顯 佛 有 五 種 用 欲 彰 用 別 故 
X58n1019_001:0589a13	引古德頌。以為料揀。却云不可偏局。若只就佛言。	引 古 德 頌 以 為 料 揀 却 云 不 可 偏 局 若 只 就 佛 言 
X58n1019_001:0589a14	安有異乎。今觀俗緣空。以彰用別。事苑但知其一	安 有 異 乎 今 觀 俗 緣 空 以 彰 用 別 事 苑 但 知 其 一 
X58n1019_001:0589a15	不睹其二。見其外不識其內也。	不 睹 其 二 見 其 外 不 識 其 內 也 
X58n1019_001:0589a16	乃至無有少法可得(云云)。是故三世如來。最後一分	乃 至 無 有 少 法 可 得 云 云 是 故 三 世 如 來 最 後 一 分 
X58n1019_001:0589a17	微細無明盡處。始為究竟。	微 細 無 明 盡 處 始 為 究 竟 
X58n1019_001:0589a18	非曰。須菩提自問。如來不得阿耨菩提耶。佛云如	非 曰 須 菩 提 自 問 如 來 不 得 阿耨菩提 耶 佛 云 如 
X58n1019_001:0589a19	是。乃至無有少法可得。無著云。為離有見過。顯示	是 乃 至 無 有 少 法 可 得 無 著 云 為 離 有 見 過 顯 示 
X58n1019_001:0589a20	菩提。菩提道彼中無微塵許法有體。天親又云。無	菩 提 菩 提 道 彼 中 無 微 塵 許 法 有 體 天 親 又 云 無 
X58n1019_001:0589a21	有一法可證。名為阿耨菩提。以顯法界平等。無增	有 一 法 可 證 名 為 阿耨菩提 以 顯 法 界 平 等 無 增 
X58n1019_001:0589a22	減故。佛說所證法無得。不說能證人也。如何却云	減 故 佛 說 所 證 法 無 得 不 說 能 證 人 也 如 何 却 云 
X58n1019_001:0589a23	三世如來最後微細無明耶。經論無此。得非教外	三 世 如 來 最 後 微 細 無 明 耶 經 論 無 此 得 非 教 外 
X58n1019_001:0589a24	別傳乎。	別 傳 乎 
X58n1019_001:0589b01	辯非集(終)	辯 非 集 終 
