X16n0308_001:0012a03	 續夢始末	 續 夢 始 末 
X16n0308_006:0191b06	目不能視者如土地不見洞山。鬼使不見事僧之	目 不 能 視 者 如 土 地 不 見 洞 山 鬼 使 不 見 事 僧 之 
X16n0308_006:0191b07	類。視既不能自然無害(問。此與前文鬼難何異。答前約一類。此約多類。又前	類 視 既 不 能 自 然 無 害 問 此 與 前 文 鬼 難 何 異 答 前 約 一 類 此 約 多 類 又 前 
X16n0308_006:0191b08	約身入鬼國此約無端誤遇。雖同為鬼難不妨前後各出)七枷鎖無畏。	約 身 入 鬼 國 此 約 無 端 誤 遇 雖 同 為 鬼 難 不 妨 前 後 各 出 七 枷 鎖 無 畏 
X16n0308_006:0191b09	七者音性圓銷觀聽反入。離諸塵妄。能令眾生禁繫	七 者 音 性 圓 銷 觀 聽 反 入 離 諸 塵 妄 能 令 眾 生 禁 繫 
X16n0308_006:0191b10	枷鎖所不能著。	枷 鎖 所 不 能 著 
X16n0308_006:0191b11	音性圓銷者謂聲塵銷滅也。觀聽反入者謂耳根	音 性 圓 銷 者 謂 聲 塵 銷 滅 也 觀 聽 反 入 者 謂 耳 根 
X16n0308_006:0191b12	旋復也。離諸塵妄者謂色等諸塵亦隨聲銷滅。見	旋 復 也 離 諸 塵 妄 者 謂 色 等 諸 塵 亦 隨 聲 銷 滅 見 
X16n0308_006:0191b13	等諸妄亦隨聞而旋復也。諸妄既復以真護彼。能	等 諸 妄 亦 隨 聞 而 旋 復 也 諸 妄 既 復 以 真 護 彼 能 
X16n0308_006:0191b14	令枷鎖斷壞。諸塵既滅。以空融彼。能令禁繫同虗	令 枷 鎖 斷 壞 諸 塵 既 滅 以 空 融 彼 能 令 禁 繫 同 虗 
X16n0308_006:0191b15	故云所不能著。八賊難無畏。	故 云 所 不 能 著 八 賊 難 無 畏 
X16n0308_006:0191b16	八者滅音圓聞徧生慈力。能令眾生經過險路賊不	八 者 滅 音 圓 聞 徧 生 慈 力 能 令 眾 生 經 過 險 路 賊 不 
X16n0308_006:0191b17	能劫。	能 劫 
X16n0308_006:0191b18	滅音亡聲則塵不能隔。塵不能隔則聞性圓徧。聞	滅 音 亡 聲 則 塵 不 能 隔 塵 不 能 隔 則 聞 性 圓 徧 聞 
X16n0308_006:0191b19	性圓徧故。尋聲所至徧生慈力。徧生慈力故。隨處	性 圓 徧 故 尋 聲 所 至 徧 生 慈 力 徧 生 慈 力 故 隨 處 
X16n0308_006:0191b20	護生應緣化暴。故能令諸眾生遇賊不劫。法華大	護 生 應 緣 化 暴 故 能 令 諸 眾 生 遇 賊 不 劫 法 華 大 
X16n0308_006:0191b21	成云。或曠絕幽隘之處。或怨賊衝出之徑。皆名險	成 云 或 曠 絕 幽 隘 之 處 或 怨 賊 衝 出 之 徑 皆 名 險 
X16n0308_006:0191b22	道。道即路也。九貪毒無畏。	道 道 即 路 也 九 貪 毒 無 畏 
X16n0308_006:0191b23	九者熏聞離塵色所不劫。能令一切多婬眾生遠離	九 者 熏 聞 離 塵 色 所 不 劫 能 令 一 切 多 婬 眾 生 遠 離 
X16n0308_006:0191b24	貪欲。	貪 欲 
X16n0308_006:0191c01	熏聞者。熏修聞性令六根圓通也。離塵者。離諸聲	熏 聞 者 熏 修 聞 性 令 六 根 圓 通 也 離 塵 者 離 諸 聲 
X16n0308_006:0191c02	塵并六境俱脫也。六境俱脫則幻色無力。六根圓	塵 并 六 境 俱 脫 也 六 境 俱 脫 則 幻 色 無 力 六 根 圓 
X16n0308_006:0191c03	通則真性有力。以無力劫有力自然不能。如云主	通 則 真 性 有 力 以 無 力 劫 有 力 自 然 不 能 如 云 主 
X16n0308_006:0191c04	人若悟則諸客邪不得其便是也。此雖菩薩自所	人 若 悟 則 諸 客 邪 不 得 其 便 是 也 此 雖 菩 薩 自 所 
X16n0308_006:0191c05	證境。然以下合力故因能令彼多淫眾生遠離貪	證 境 然 以 下 合 力 故 因 能 令 彼 多 淫 眾 生 遠 離 貪 
X16n0308_006:0191c06	欲。眾生言多淫者。謂欲習偏重。對境數起。輕而損	欲 眾 生 言 多 淫 者 謂 欲 習 偏 重 對 境 數 起 輕 而 損 
X16n0308_006:0191c07	身喪德。重而亡軀失命。且招來世妻不貞良。眷屬	身 喪 德 重 而 亡 軀 失 命 且 招 來 世 妻 不 貞 良 眷 屬 
X16n0308_006:0191c08	乖意。尤其甚者。銅柱鐵牀等報臨終現前。積寒堅	乖 意 尤 其 甚 者 銅 柱 鐵 牀 等 報 臨 終 現 前 積 寒 堅 
X16n0308_006:0191c09	冰等獄從頭自受。能令遠離菩薩之真慈大矣。	冰 等 獄 從 頭 自 受 能 令 遠 離 菩 薩 之 真 慈 大 矣 
X16n0308_006:0191c10	十瞋毒無畏。	十 瞋 毒 無 畏 
X16n0308_006:0191c11	十者純音無塵根境圓融。無對所對。能令一切忿恨	十 者 純 音 無 塵 根 境 圓 融 無 對 所 對 能 令 一 切 忿 恨 
X16n0308_006:0191c12	眾生離諸瞋恚。	眾 生 離 諸 瞋 恚 
X16n0308_006:0191c13	純音者離於徧計所執名相。唯餘依他所起音聲。	純 音 者 離 於 徧 計 所 執 名 相 唯 餘 依 他 所 起 音 聲 
X16n0308_006:0191c14	雖餘音聲而無染污障蔽之力。故曰無塵。然音既	雖 餘 音 聲 而 無 染 污 障 蔽 之 力 故 曰 無 塵 然 音 既 
X16n0308_006:0191c15	無染無障。根亦無局無礙。如是則根境融為一性。	無 染 無 障 根 亦 無 局 無 礙 如 是 則 根 境 融 為 一 性 
X16n0308_006:0191c16	如耳家根境既爾餘五亦然。故曰圓融。如前云見	如 耳 家 根 境 既 爾 餘 五 亦 然 故 曰 圓 融 如 前 云 見 
X16n0308_006:0191c17	與見緣并所想相如虗空華本無所有。此見及緣	與 見 緣 并 所 想 相 如 虗 空 華 本 無 所 有 此 見 及 緣 
X16n0308_006:0191c18	元是菩提妙淨明體是也。無對所對者。謂既為一	元 是 菩 提 妙 淨 明 體 是 也 無 對 所 對 者 謂 既 為 一 
X16n0308_006:0191c19	性則根無能對之義而境亦無所對之義自應無	性 則 根 無 能 對 之 義 而 境 亦 無 所 對 之 義 自 應 無 
X16n0308_006:0191c20	有瞋恚。以瞋恚生於對待違拒故也。能令一切等	有 瞋 恚 以 瞋 恚 生 於 對 待 違 拒 故 也 能 令 一 切 等 
X16n0308_006:0191c21	亦由菩薩下合力故。眾生言忿恨者。謂瞋習偏重	亦 由 菩 薩 下 合 力 故 眾 生 言 忿 恨 者 謂 瞋 習 偏 重 
X16n0308_006:0191c22	對境莫制。輕則傷氣取辱。重則忘身及親。且致來	對 境 莫 制 輕 則 傷 氣 取 辱 重 則 忘 身 及 親 且 致 來 
X16n0308_006:0191c23	世被他求砒。為人惱害。尤其甚者。刀山鐵橛劒樹	世 被 他 求 砒 為 人 惱 害 尤 其 甚 者 刀 山 鐵 橛 劒 樹 
X16n0308_006:0191c24	劒輪等相臨終現前。宮割斬斫剉刺槌擊等事從	劒 輪 等 相 臨 終 現 前 宮 割 斬 斫 剉 刺 槌 擊 等 事 從 
X16n0308_006:0192a01	頭自受。能令離瞋。菩薩之大悲深矣。然瞋為根本	頭 自 受 能 令 離 瞋 菩 薩 之 大 悲 深 矣 然 瞋 為 根 本 
X16n0308_006:0192a02	煩惱有輕重平等之異。輕則惟是忿怒。重則兼致	煩 惱 有 輕 重 平 等 之 異 輕 則 惟 是 忿 怒 重 則 兼 致 
X16n0308_006:0192a03	恨怨。平等則不過恚惱。此三皆隨瞋而起。根隨相	恨 怨 平 等 則 不 過 恚 惱 此 三 皆 隨 瞋 而 起 根 隨 相 
X16n0308_006:0192a04	依總一瞋毒。故忿恨眾生而言離諸瞋恚。其實忿	依 總 一 瞋 毒 故 忿 恨 眾 生 而 言 離 諸 瞋 恚 其 實 忿 
X16n0308_006:0192a05	恨眾生亦具瞋恚。離諸瞋恚亦兼忿恨。蓋互相顯	恨 眾 生 亦 具 瞋 恚 離 諸 瞋 恚 亦 兼 忿 恨 蓋 互 相 顯 
X16n0308_006:0192a06	攝耳。十一癡毒無畏。	攝 耳 十 一 癡 毒 無 畏 
X16n0308_006:0192a07	十一者銷塵旋明。法界身心猶如琉璃朗徹無礙。能	十 一 者 銷 塵 旋 明 法 界 身 心 猶 如 琉 璃 朗 徹 無 礙 能 
X16n0308_006:0192a08	令一切昏鈍性障諸阿顛迦永離癡暗。	令 一 切 昏 鈍 性 障 諸 阿 顛 迦 永 離 癡 暗 
X16n0308_006:0192a09	溫陵曰。癡由妄塵所蔽。無明所覆。銷塵則無蔽。旋	溫 陵 曰 癡 由 妄 塵 所 蔽 無 明 所 覆 銷 塵 則 無 蔽 旋 
X16n0308_006:0192a10	明則無覆。故於外之法界內之身心凝瑩朗徹。離	明 則 無 覆 故 於 外 之 法 界 內 之 身 心 凝 瑩 朗 徹 離 
X16n0308_006:0192a11	癡暗矣。然此亦屬自證。能令之義準上可知。正脈	癡 暗 矣 然 此 亦 屬 自 證 能 令 之 義 準 上 可 知 正 脈 
X16n0308_006:0192a12	云。具足見惑為昏。具足思惑為鈍。具足無明為性	云 具 足 見 惑 為 昏 具 足 思 惑 為 鈍 具 足 無 明 為 性 
X16n0308_006:0192a13	障。阿顛迦此云無善心。又癡之最重者也。愚謂昏	障 阿 顛 迦 此 云 無 善 心 又 癡 之 最 重 者 也 愚 謂 昏 
X16n0308_006:0192a14	鈍性即是愚癡。蓋愚癡以昏暗鈍滯為性故。由此	鈍 性 即 是 愚 癡 蓋 愚 癡 以 昏 暗 鈍 滯 為 性 故 由 此 
X16n0308_006:0192a15	所障永絕善心。故稱諸阿顛迦。此亦由於癡習偏	所 障 永 絕 善 心 故 稱 諸 阿 顛 迦 此 亦 由 於 癡 習 偏 
X16n0308_006:0192a16	重迷正知見。小而事理錯亂。大而邪正顛倒。且感	重 迷 正 知 見 小 而 事 理 錯 亂 大 而 邪 正 顛 倒 且 感 
X16n0308_006:0192a17	來世生邪見家。其心諂曲。尤其甚者。王使主吏證	來 世 生 邪 見 家 其 心 諂 曲 尤 其 甚 者 王 使 主 吏 證 
X16n0308_006:0192a18	執文籍等相臨終現前。勘問權詐考訊推鞫等事	執 文 籍 等 相 臨 終 現 前 勘 問 權 詐 考 訊 推 鞫 等 事 
X16n0308_006:0192a19	從頭徧歷。能令永離。菩薩之妙用神矣(問。水火等境現是苦	從 頭 徧 歷 能 令 永 離 菩 薩 之 妙 用 神 矣 問 水 火 等 境 現 是 苦 
X16n0308_006:0192a20	境可說怖畏。貪瞋癡三隨自心行何畏之有。答。有二義故可說怖畏。一者毒是苦因能招苦果。二者對境	境 可 說 怖 畏 貪 瞋 癡 三 隨 自 心 行 何 畏 之 有 答 有 二 義 故 可 說 怖 畏 一 者 毒 是 苦 因 能 招 苦 果 二 者 對 境 
X16n0308_006:0192a21	數起力不自由。蓋約信因識果。知畏求離者言之)十二求男無畏。	數 起 力 不 自 由 蓋 約 信 因 識 果 知 畏 求 離 者 言 之 十 二 求 男 無 畏 
X16n0308_006:0192a22	十二者融形復聞不動道場。涉入世間。不壞世界。能	十 二 者 融 形 復 聞 不 動 道 場 涉 入 世 間 不 壞 世 界 能 
X16n0308_006:0192a23	徧十方供養微塵諸佛如來。各各佛邊為法王子。能	徧 十 方 供 養 微 塵 諸佛如來 各 各 佛 邊 為 法 王 子 能 
X16n0308_006:0192a24	令法界無子眾生欲求男者誕生福德智慧之男。	令 法 界 無 子 眾 生 欲 求 男 者 誕 生 福 德 智 慧 之 男 
X16n0308_006:0192b01	融形復聞者。謂融銷幻形以復真聞。所謂諸根圓	融 形 復 聞 者 謂 融 銷 幻 形 以 復 真 聞 所 謂 諸 根 圓 
X16n0308_006:0192b02	拔內瑩發光。根身器界應念化成無上知覺。此即	拔 內 瑩 發 光 根 身 器 界 應 念 化 成 無 上 知 覺 此 即 
X16n0308_006:0192b03	事而理也。由即事而理。無違真而應俗。所以不動	事 而 理 也 由 即 事 而 理 無 違 真 而 應 俗 所 以 不 動 
X16n0308_006:0192b04	道場涉入世間。道場指真諦理言。以是法身所依	道 場 涉 入 世 間 道 場 指 真 諦 理 言 以 是 法 身 所 依 
X16n0308_006:0192b05	故。世間指俗諦事言。以是化身所徧故。不動而涉	故 世 間 指 俗 諦 事 言 以 是 化 身 所 徧 故 不 動 而 涉 
X16n0308_006:0192b06	正理事無礙境也。復由理事無礙事亦如理而廣	正 理 事 無 礙 境 也 復 由 理 事 無 礙 事 亦 如 理 而 廣 
X16n0308_006:0192b07	狹相即。所以不壞世界能徧十方。世界指一佛化	狹 相 即 所 以 不 壞 世 界 能 徧 十 方 世 界 指 一 佛 化 
X16n0308_006:0192b08	境。對十方為狹。十方指多佛化境。對一界為廣。不	境 對 十 方 為 狹 十 方 指 多 佛 化 境 對 一 界 為 廣 不 
X16n0308_006:0192b09	壞能徧又事事無礙境也。復由事事無礙身亦隨	壞 能 徧 又 事 事 無 礙 境 也 復 由 事 事 無 礙 身 亦 隨 
X16n0308_006:0192b10	界而一多俱在。所以能供養諸佛。各各佛邊為法	界 而 一 多 俱 在 所 以 能 供 養 諸 佛 各 各 佛 邊 為 法 
X16n0308_006:0192b11	王子。言法王子者謂現前助佛揚化。將來補處佛	王 子 言 法 王 子 者 謂 現 前 助 佛 揚 化 將 來 補 處 佛 
X16n0308_006:0192b12	位。如易云幹父之蠱。有子義也。能令等者謂菩薩	位 如 易 云 幹 父 之 蠱 有 子 義 也 能 令 等 者 謂 菩 薩 
X16n0308_006:0192b13	以法王之子。餘福餘慧利及無子諸眾生故。按普	以 法 王 之 子 餘 福 餘 慧 利 及 無 子 諸 眾 生 故 按 普 
X16n0308_006:0192b14	門品欲求唯約女人。以女人無子有三種苦。一者	門 品 欲 求 唯 約 女 人 以 女 人 無 子 有 三 種 苦 一 者 
X16n0308_006:0192b15	為自夫所棄。二者為餘婦所輕。三者為傍人所笑。	為 自 夫 所 棄 二 者 為 餘 婦 所 輕 三 者 為 傍 人 所 笑 
X16n0308_006:0192b16	怖畏偏重故。今則渾言眾生蓋是男女俱該。良以	怖 畏 偏 重 故 今 則 渾 言 眾 生 蓋 是 男 女 俱 該 良 以 
X16n0308_006:0192b17	不孝有三無後為大。故同欲求男。有福有德者富	不 孝 有 三 無 後 為 大 故 同 欲 求 男 有 福 有 德 者 富 
X16n0308_006:0192b18	而賢。有智有慧者貴而哲。四美具足。益以見聖惠	而 賢 有 智 有 慧 者 貴 而 哲 四 美 具 足 益 以 見 聖 惠 
X16n0308_006:0192b19	之無涯矣。十三求女無畏。	之 無 涯 矣 十 三 求 女 無 畏 
X16n0308_006:0192b20	十三者六根圓通明照無二。含十方界。立大圓鏡空	十 三 者 六 根 圓 通 明 照 無 二 含 十 方 界 立 大 圓 鏡 空 
X16n0308_006:0192b21	如來藏。承順十方微塵如來秘密法門受領無失。能	如 來 藏 承 順 十 方 微 塵 如 來 秘 密 法 門 受 領 無 失 能 
X16n0308_006:0192b22	令法界無子眾生欲求女者誕生端正福德柔順眾	令 法 界 無 子 眾 生 欲 求 女 者 誕 生 端 正 福 德 柔 順 眾 
X16n0308_006:0192b23	人愛敬有相之女。	人 愛 敬 有 相 之 女 
X16n0308_006:0192b24	六根互用曰圓。各各無礙曰通。互用故明照無二。	六 根 互 用 曰 圓 各 各 無 礙 曰 通 互 用 故 明 照 無 二 
X16n0308_006:0192c01	無礙故含界無遺。明照無二故立為鏡智之號。含	無 礙 故 含 界 無 遺 明 照 無 二 故 立 為 鏡 智 之 號 含 
X16n0308_006:0192c02	界無遺故立以空藏之名。由鏡義故承順如來秘	界 無 遺 故 立 以 空 藏 之 名 由 鏡 義 故 承 順 如 來 秘 
X16n0308_006:0192c03	密而明照無違。由藏義故領受如來秘密而含攝	密 而 明 照 無 違 由 藏 義 故 領 受 如 來 秘 密 而 含 攝 
X16n0308_006:0192c04	無失。能令等者。謂菩薩以承順諸佛領受法門餘	無 失 能 令 等 者 謂 菩 薩 以 承 順 諸 佛 領 受 法 門 餘 
X16n0308_006:0192c05	功餘德利及無女諸眾生故。無女而言無子者以	功 餘 德 利 及 無 女 諸 眾 生 故 無 女 而 言 無 子 者 以 
X16n0308_006:0192c06	女為半子故。良由男承內嗣。女結外親。有男無女	女 為 半 子 故 良 由 男 承 內 嗣 女 結 外 親 有 男 無 女 
X16n0308_006:0192c07	亦非全美。故亦有欲求女者。端正以備女品。福德	亦 非 全 美 故 亦 有 欲 求 女 者 端 正 以 備 女 品 福 德 
X16n0308_006:0192c08	以致尊榮。柔順以全婦道。正以有此三者故致眾	以 致 尊 榮 柔 順 以 全 婦 道 正 以 有 此 三 者 故 致 眾 
X16n0308_006:0192c09	人愛敬。謂端正致愛。福德致敬。柔順則愛敬并致。	人 愛 敬 謂 端 正 致 愛 福 德 致 敬 柔 順 則 愛 敬 并 致 
X16n0308_006:0192c10	是則有相者非有別相。即是有端正相。有福德相。	是 則 有 相 者 非 有 別 相 即 是 有 端 正 相 有 福 德 相 
X16n0308_006:0192c11	有柔順相也。女中不言智慧者攝柔順中。以有智	有 柔 順 相 也 女 中 不 言 智 慧 者 攝 柔 順 中 以 有 智 
X16n0308_006:0192c12	慧方能柔順。盡坤道備女德故。十四持名無畏	慧 方 能 柔 順 盡 坤 道 備 女 德 故 十 四 持 名 無 畏 
X16n0308_006:0192c13	(問。持名出自本心。何所畏耶。答恐其無功及不勝餘名皆畏也。今持觀音一名福等多名故無此畏)三。	 問 持 名 出 自 本 心 何 所 畏 耶 答 恐 其 無 功 及 不 勝 餘 名 皆 畏 也 今 持 觀 音 一 名 福 等 多 名 故 無 此 畏 三 
X16n0308_006:0192c14	一舉眾顯德。二述由明等。三釋疑防問。初。	一 舉 眾 顯 德 二 述 由 明 等 三 釋 疑 防 問 初 
X16n0308_006:0192c15	十四者此三千大千世界百億日月。○現在世間諸	十 四 者 此 三千大千世界 百 億 日 月 現 在 世 間 諸 
X16n0308_006:0192c16	法王子。有六十二恒河沙數。○修法垂範教化眾生。	法 王 子 有 六 十 二 恒 河 沙 數 修 法 垂 範 教 化 眾 生 
X16n0308_006:0192c17	隨順眾生方便智慧。各各不同。	隨 順 眾 生 方便智慧 各各不同 
X16n0308_006:0192c18	初顯依報之廣。此指娑婆。三千大千等統言一佛	初 顯 依 報 之 廣 此 指 娑 婆 三千大千 等 統 言 一 佛 
X16n0308_006:0192c19	化境。百億日月所照處也。○現住下顯眾聖之多。	化 境 百 億 日 月 所 照 處 也 現 住 下 顯 眾 聖 之 多 
X16n0308_006:0192c20	揀過去異未來故云現住世間。越三賢超十聖故	揀 過 去 異 未 來 故 云 現 住 世 間 越 三 賢 超 十 聖 故 
X16n0308_006:0192c21	云諸法王子。六十二恒沙實由菩薩現量所見。非	云 諸 法 王 子 六 十 二 恒 沙 實 由 菩 薩 現 量 所 見 非 
X16n0308_006:0192c22	假設之數也。○修法下顯化德各異。修法者自修	假 設 之 數 也 修 法 下 顯 化 德 各 異 修 法 者 自 修 
X16n0308_006:0192c23	有法。垂範者垂儀作範。教化眾生者成己所以成	有 法 垂 範 者 垂 儀 作 範 教 化 眾 生 者 成 己 所 以 成 
X16n0308_006:0192c24	物。自利便足利他故也。隨順眾生謂於三千界內	物 自 利 便 足 利 他 故 也 隨 順 眾 生 謂 於 三 千 界 內 
X16n0308_006:0193a01	各據一方。隨順一方之機。由此所以涉世方便說	各 據 一 方 隨 順 一 方 之 機 由 此 所 以 涉 世 方 便 說 
X16n0308_006:0193a02	法智慧各各不同。如下文所說二十五聖各當其	法 智 慧 各各不同 如 下 文 所 說 二 十 五 聖 各 當 其 
X16n0308_006:0193a03	根之類。二述由明等。	根 之 類 二 述 由 明 等 
X16n0308_006:0193a04	由我所得圓通本根發妙耳門。然後身心微妙含容。	由 我 所 得 圓 通 本 根 發 妙 耳 門 然 後 身 心 微 妙 含 容 
X16n0308_006:0193a05	周徧法界。能令眾生持我名號。與彼共持六十二恒	周 徧 法 界 能 令 眾 生 持 我 名 號 與 彼 共 持 六 十 二 恒 
X16n0308_006:0193a06	河沙諸法王子二人福德。正等無異。	河 沙 諸 法 王 子 二 人 福 德 正 等 無 異 
X16n0308_006:0193a07	圓通本根者有二義。一謂諸圓通中獨為娑婆本	圓 通 本 根 者 有 二 義 一 謂 諸 圓 通 中 獨 為 娑 婆 本 
X16n0308_006:0193a08	根。以後云此方真教體清淨在音聞故。此約正對	根 以 後 云 此 方 真 教 體 清 淨 在 音 聞 故 此 約 正 對 
X16n0308_006:0193a09	以明本義。二謂觀音所得仍為圓通本根。以後云	以 明 本 義 二 謂 觀 音 所 得 仍 為 圓 通 本 根 以 後 云 
X16n0308_006:0193a10	此是微塵佛一路涅槃門故。此約攝餘以明本義。	此 是 微 塵 佛 一 路 涅 槃 門 故 此 約 攝 餘 以 明 本 義 
X16n0308_006:0193a11	又圓通本根句惟是虗標。下乃出其名體。發妙耳	又 圓 通 本 根 句 惟 是 虗 標 下 乃 出 其 名 體 發 妙 耳 
X16n0308_006:0193a12	門者。謂開發耳門聞性以成真三昧也。然耳門三	門 者 謂 開 發 耳 門 聞 性 以 成 真 三 昧 也 然 耳 門 三 
X16n0308_006:0193a13	昧獨稱為妙者。以其具含容周徧義故。此門一發	昧 獨 稱 為 妙 者 以 其 具 含 容 周 徧 義 故 此 門 一 發 
X16n0308_006:0193a14	攝餘門而同己微妙。亦同己容徧。故能令持己一	攝 餘 門 而 同 己 微 妙 亦 同 己 容 徧 故 能 令 持 己 一 
X16n0308_006:0193a15	名與彼共持眾多名號。福德正等無有別異。是知	名 與 彼 共 持 眾 多 名 號 福 德 正 等 無 有 別 異 是 知 
X16n0308_006:0193a16	圓根與不圓根固日劫相倍也。三釋疑防問。	圓 根 與 不 圓 根 固 日 劫 相 倍 也 三 釋 疑 防 問 
X16n0308_006:0193a17	世尊。我一名號。與彼眾多名號無異。○由我修習得	世 尊 我 一 名 號 與 彼 眾 多 名 號 無 異 由 我 修 習 得 
X16n0308_006:0193a18	真圓通。	真 圓 通 
X16n0308_006:0193a19	初釋疑。(疑云一名多名。單持共持。以二人之行迹論之有類霄壤。以二人之福德論之不異	初 釋 疑 疑 云 一 名 多 名 單 持 共 持 以 二 人 之 行 迹 論 之 有 類 霄 壤 以 二 人 之 福 德 論 之 不 異 
X16n0308_006:0193a20	絲毫。其故何也。防云)我一名號與彼眾多名號無異。○由我	絲 毫 其 故 何 也 防 云 我 一 名 號 與 彼 眾 多 名 號 無 異 由 我 
X16n0308_006:0193a21	下防問。(問云。一名唯顯一德。多名應顯多德。一多逈殊何言無異。防云)由我修習	下 防 問 問 云 一 名 唯 顯 一 德 多 名 應 顯 多 德 一 多 逈 殊 何 言 無 異 防 云 由 我 修 習 
X16n0308_006:0193a22	得真圓通。然觀音圓通獨稱為真者。以具圓通常	得 真 圓 通 然 觀 音 圓 通 獨 稱 為 真 者 以 具 圓 通 常 
X16n0308_006:0193a23	三真實故。反顯六十二恒沙王子。隨順眾生方便	三 真 實 故 反 顯 六 十 二 恒 沙 王 子 隨 順 眾 生 方 便 
X16n0308_006:0193a24	智慧各各不同。其所得圓通唯似圓非真圓。似通	智 慧 各各不同 其 所 得 圓 通 唯 似 圓 非 真 圓 似 通 
X16n0308_006:0193b01	非真通耳。依數別明竟。三結力顯益。	非 真 通 耳 依 數 別 明 竟 三 結 力 顯 益 
X16n0308_006:0193b02	是名十四施無畏力福備眾生。	是 名 十 四 施 無 畏 力 福 備 眾 生 
X16n0308_006:0193b03	準前標數文云。令諸眾生於我身心獲十四種無	準 前 標 數 文 云 令 諸 眾 生 於 我 身 心 獲 十 四 種 無 
X16n0308_006:0193b04	畏功德。蓋菩薩身心為能施。十四無畏為所施。今	畏 功 德 蓋 菩 薩 身 心 為 能 施 十 四 無 畏 為 所 施 今 
X16n0308_006:0193b05	云是名等者。謂如上所說是名菩薩以自身心於	云 是 名 等 者 謂 如上所說 是 名 菩 薩 以 自 身 心 於 
X16n0308_006:0193b06	十四種苦難眾生施無畏力也。此是結力。福備句	十 四 種 苦 難 眾 生 施 無 畏 力 也 此 是 結 力 福 備 句 
X16n0308_006:0193b07	顯益。福護也。備全也。眾生者即指八難三毒二求	顯 益 福 護 也 備 全 也 眾 生 者 即 指 八 難 三 毒 二 求 
X16n0308_006:0193b08	及持名人也。八難眾生現遭極苦。畏其性命不保。	及 持 名 人 也 八 難 眾 生 現 遭 極 苦 畏 其 性 命 不 保 
X16n0308_006:0193b09	菩薩則福護而全其性命。三毒眾生現起深惑畏	菩 薩 則 福 護 而 全 其 性 命 三 毒 眾 生 現 起 深 惑 畏 
X16n0308_006:0193b10	其善根當失。菩薩則福護而全其善根。二求眾生	其 善 根 當 失 菩 薩 則 福 護 而 全 其 善 根 二 求 眾 生 
X16n0308_006:0193b11	現缺子女畏其後嗣將絕。菩薩則福護而全其後	現 缺 子 女 畏 其 後 嗣 將 絕 菩 薩 則 福 護 而 全 其 後 
X16n0308_006:0193b12	嗣。持名眾生現持名號畏其福德無多。菩薩則福	嗣 持 名 眾 生 現 持 名 號 畏 其 福 德 無 多 菩 薩 則 福 
X16n0308_006:0193b13	護而全其福德。是皆有以福之。有以備之。則菩薩	護 而 全 其 福 德 是 皆 有 以 福 之 有 以 備 之 則 菩 薩 
X16n0308_006:0193b14	之利益普矣。依下合而成十四無畏竟。	之 利 益 普 矣 依 下 合 而 成 十 四 無 畏 竟 
X16n0308_006:0193b15	三兼二勝而成四不思議(問。應身約上合。無畏約下合。文有明言。無可議	三 兼 二 勝 而 成 四 不 思 議 問 應 身 約 上 合 無 畏 約 下 合 文 有 明 言 無 可 議 
X16n0308_006:0193b16	者。今明四不思議兼於二勝何所據耶。答。文云我又獲是圓通脩證無上道故。是知脩證二字。非是圓通	者 今 明 四 不 思 議 兼 於 二 勝 何 所 據 耶 答 文 云 我 又 獲 是 圓 通 脩 證 無 上 道 故 是 知 脩 證 二 字 非 是 圓 通 
X16n0308_006:0193b17	以前。觀行脩證乃是獲圓通後。依於二勝歷事造修。歷位取證。究竟而至於無上道也。況下云。救護眾生	以 前 觀 行 脩 證 乃 是 獲 圓 通 後 依 於 二 勝 歷 事 造 修 歷 位 取 證 究 竟 而 至 於 無 上 道 也 況 下 云 救 護 眾 生 
X16n0308_006:0193b18	得大自在。義合同佛慈力。能以無畏施諸眾生。義合同生悲仰。然既有義可尋無妨說兼)二。一	得 大 自 在 義 合 同 佛 慈 力 能 以 無 畏 施 諸 眾 生 義 合 同 生 悲 仰 然 既 有 義 可 尋 無 妨 說 兼 二 一 
X16n0308_006:0193b19	牒由標數。二依數別明。初。	牒 由 標 數 二 依 數 別 明 初 
X16n0308_006:0193b20	世尊。我又獲是圓通修證無上道故。又能善獲四不	世 尊 我 又 獲 是 圓 通 修 證 無 上 道 故 又 能 善 獲 四 不 
X16n0308_006:0193b21	思議無作妙德。	思 議 無 作 妙 德 
X16n0308_006:0193b22	重牒所得故曰又獲。謂又以獲得耳根圓通也。上	重 牒 所 得 故 曰 又 獲 謂 又 以 獲 得 耳 根 圓 通 也 上 
X16n0308_006:0193b23	合下合即是歷事造修。歷位取證功圓行滿究竟	合 下 合 即 是 歷 事 造 修 歷 位 取 證 功 圓 行 滿 究 竟 
X16n0308_006:0193b24	成佛故曰無上道也。不惟能獲妙應及無畏力故	成 佛 故 曰 無 上 道 也 不 惟 能 獲 妙 應 及 無 畏 力 故 
X16n0308_006:0193c01	曰又能。獲而言善者上下兼合。慈悲雙運一獲一	曰 又 能 獲 而 言 善 者 上 下 兼 合 慈 悲 雙 運 一 獲 一 
X16n0308_006:0193c02	切獲故。四不思議者正脈云。以下所列德相。至妙	切 獲 故 四 不 思 議 者 正 脈 云 以 下 所 列 德 相 至 妙 
