X57n0975_001:0509a06	 隨緣集敘	 隨 緣 集 敘 
X57n0975_002:0522b01	講懺。寒暑不輟。歲以為常。學子歸投。如川赴壑。天溪	講 懺 寒 暑 不 輟 歲 以 為 常 學 子 歸 投 如 川 赴 壑 天 溪 
X57n0975_002:0522b02	法席。鬱為海內無憂安隱幢矣。三十七始應當湖馬	法 席 鬱 為 海 內 無 憂 安 隱 幢 矣 三 十 七 始 應 當 湖 馬 
X57n0975_002:0522b03	園楞嚴之講。其間應講則廣安玉庵大善智證化城	園 楞 嚴 之 講 其 間 應 講 則 廣 安 玉 庵 大 善 智 證 化 城 
X57n0975_002:0522b04	三峰梵洲幽瀾。暫住則玉庵等覺。率偶應耳。非專屬	三 峰 梵 洲 幽 瀾 暫 住 則 玉 庵 等 覺 率 偶 應 耳 非 專 屬 
X57n0975_002:0522b05	也。其行道養道。恢拓涅槃。俱在大覺。具吳默之先生	也 其 行 道 養 道 恢 拓 涅 槃 俱 在 大 覺 具 吳 默 之 先 生 
X57n0975_002:0522b06	碑記。著有藥師行法。准提行法。大悲懺科。瑜伽詮次	碑 記 著 有 藥 師 行 法 准 提 行 法 大 悲 懺 科 瑜 伽 詮 次 
X57n0975_002:0522b07	并註。會刻法華文句等書。夫住院弘經。興福著述。與	并 註 會 刻 法 華 文 句 等 書 夫 住 院 弘 經 興 福 著 述 與 
X57n0975_002:0522b08	人同耳。不足言也。先師正惡鋪張世事。臚列年譜種	人 同 耳 不 足 言 也 先 師 正 惡 鋪 張 世 事 臚 列 年 譜 種 
X57n0975_002:0522b09	種時套。故不許銘狀耳。惟是勤信真正。撐持法門。一	種 時 套 故 不 許 銘 狀 耳 惟 是 勤 信 真 正 撐 持 法 門 一 
X57n0975_002:0522b10	片苦心。特邁等夷。有足多者。敢記萬一。師志學之年。	片 苦 心 特 邁 等 夷 有 足 多 者 敢 記 萬 一 師 志 學 之 年 
X57n0975_002:0522b11	即攷苦讀誦。中夜不輟。略以木凳。息身不臥廣牀厚	即 攷 苦 讀 誦 中 夜 不 輟 略 以 木 凳 息 身 不 臥 廣 牀 厚 
X57n0975_002:0522b12	蓐。深自策勵。無少懈息。住院以後。研幾教觀。必堂內	蓐 深 自 策 勵 無 少 懈 息 住 院 以 後 研 幾 教 觀 必 堂 內 
X57n0975_002:0522b13	外人俱寢息已。方自就臥。鐘未鳴而足已在地矣。此	外 人 俱 寢 息 已 方 自 就 臥 鐘 未 鳴 而 足 已 在 地 矣 此 
X57n0975_002:0522b14	數十年。如一日者。即疾漸惟幾。猶不釋卷。勤何如哉。	數 十 年 如 一 日 者 即 疾 漸 惟 幾 猶 不 釋 卷 勤 何 如 哉 
X57n0975_002:0522b15	生平不畜。少有香資。即入常住。每曰。吾凡多與得常	生 平 不 畜 少 有 香 資 即 入 常 住 每 曰 吾 凡 多 與 得 常 
X57n0975_002:0522b16	住。一分一文。輙復快活。惟眾鐻修天台大師塔資一	住 一 分 一 文 輙 復 快 活 惟 眾 鐻 修 天 台 大 師 塔 資 一 
X57n0975_002:0522b17	項為常住。借去二十金。恐昧果因。中心不懌。臨終檢	項 為 常 住 借 去 二 十 金 恐 昧 果 因 中 心 不 懌 臨 終 檢 
X57n0975_002:0522b18	自裝文句三十餘部。付耀。比四人令出銀修葺。其信	自 裝 文 句 三 十 餘 部 付 耀 比 四 人 令 出 銀 修 葺 其 信 
X57n0975_002:0522b19	重因果如此。行履真率。似出天性。即傍人勉其暫作	重 因 果 如 此 行 履 真 率 似 出 天 性 即 傍 人 勉 其 暫 作 
X57n0975_002:0522b20	一句方便虗辭。初或允之。至期不能也。凡待同學同	一 句 方 便 虗 辭 初 或 允 之 至 期 不 能 也 凡 待 同 學 同 
X57n0975_002:0522b21	行子。侄常人。靡不皆然。至臨終遺囑。勿乞虗文以汙	行 子 侄 常 人 靡 不 皆 然 至 臨 終 遺 囑 勿 乞 虗 文 以 汙 
X57n0975_002:0522b22	真實。玄義止觀等書。皆有手眼判釋。文章典雅。膾炙	真 實 玄 義 止 觀 等 書 皆 有 手 眼 判 釋 文 章 典 雅 膾 炙 
X57n0975_002:0522b23	人口。示寂前數日。俱付諸祖龍曰。身將死焉。用文之	人 口 示 寂 前 數 日 俱 付 諸 祖 龍 曰 身 將 死 焉 用 文 之 
X57n0975_002:0522b24	且。語言文字。亦非吾之本真也。嗚呼時丁末法。人競	且 語 言 文 字 亦 非 吾 之 本 真 也 嗚 呼 時 丁 末 法 人 競 
X57n0975_002:0522c01	虗名。若師之真實不虗。當求諸飲光盤特間也。住大	虗 名 若 師 之 真 實 不 虗 當 求 諸 飲 光 盤 特 間 也 住 大 
X57n0975_002:0522c02	覺三十七年。終不畜沙彌小兒。足不履尼塵俗舍。有	覺 三 十 七 年 終 不 畜 沙 彌 小 兒 足 不 履 尼 塵 俗 舍 有 
X57n0975_002:0522c03	來叩者。聲色過厲。略無假借。或譏以為不近人情。師	來 叩 者 聲 色 過 厲 略 無 假 借 或 譏 以 為 不 近 人 情 師 
X57n0975_002:0522c04	曰。美男破老。美女破實。寧失之此。不失之彼也。雖縉	曰 美 男 破 老 美 女 破 實 寧 失 之 此 不 失 之 彼 也 雖 縉 
X57n0975_002:0522c05	紳先生。執弟子禮。侍坐聆教。以為固然。略無愉色。既	紳 先 生 執 弟 子 禮 侍 坐 聆 教 以 為 固 然 略 無 愉 色 既 
X57n0975_002:0522c06	去即安心教觀。亦無干謁。扳援之事。并不形諸口矣。	去 即 安 心 教 觀 亦 無 干 謁 扳 援 之 事 并 不 形 諸 口 矣 
X57n0975_002:0522c07	語言行事。巨細不苟。有即之者。惟覺其光明正大之	語 言 行 事 巨 細 不 苟 有 即 之 者 惟 覺 其 光 明 正 大 之 
X57n0975_002:0522c08	氣。凜凜逼人。而不可犯。凡海內衲子。至省城者。未有	氣 凜 凜 逼 人 而 不 可 犯 凡 海 內 衲 子 至 省 城 者 未 有 
X57n0975_002:0522c09	不參大覺。師慎重法門。不輕授受。學既半而別嗣者	不 參 大 覺 師 慎 重 法 門 不 輕 授 受 學 既 半 而 別 嗣 者 
X57n0975_002:0522c10	居多。即今四方禪教出世弘化之賢。半曾北面天溪	居 多 即 今 四 方 禪 教 出 世 弘 化 之 賢 半 曾 北 面 天 溪 
X57n0975_002:0522c11	老人者。因慨佛法下衰。故於天台教觀。極力研詳。鉤	老 人 者 因 慨 佛 法 下 衰 故 於 天 台 教 觀 極 力 研 詳 鉤 
X57n0975_002:0522c12	深剔遠。凡臨講授。意在言先。旨提象外。發先聖之未	深 剔 遠 凡 臨 講 授 意 在 言 先 旨 提 象 外 發 先 聖 之 未 
X57n0975_002:0522c13	發。啟後學之未聞。甞教耀輩曰。法門衰替。比比成風。	發 啟 後 學 之 未 聞 甞 教 耀 輩 曰 法 門 衰 替 比 比 成 風 
X57n0975_002:0522c14	惟當精心教觀。啟迪後昆則。台嶺一柱。庶可遏狂。汝	惟 當 精 心 教 觀 啟 迪 後 昆 則 台 嶺 一 柱 庶 可 遏 狂 汝 
X57n0975_002:0522c15	其勗諸。復以楞嚴數解與耀曰。此經未涉大師手判。	其 勗 諸 復 以 楞 嚴 數 解 與 耀 曰 此 經 未 涉 大 師 手 判 
X57n0975_002:0522c16	諸家互解。未免有狐裘蒙戎之憾。汝其悉心成疏。則	諸 家 互 解 未 免 有 狐 裘 蒙 戎 之 憾 汝 其 悉 心 成 疏 則 
X57n0975_002:0522c17	可謂山家功臣矣。至於應講住院。隨世隨緣。不必論	可 謂 山 家 功 臣 矣 至 於 應 講 住 院 隨 世 隨 緣 不 必 論 
X57n0975_002:0522c18	也。故師出世三十餘年。唯以弘宣教部。維持法門。為	也 故 師 出 世 三 十 餘 年 唯 以 弘 宣 教 部 維 持 法 門 為 
X57n0975_002:0522c19	己任。應赴講期。殊不多也。今六月九日示寂先十日。	己 任 應 赴 講 期 殊 不 多 也 今 六 月 九 日 示 寂 先 十 日 
X57n0975_002:0522c20	二三弟兄皆集。未能忘情。不無戚戚。而師欣欣然絕。	二 三 弟 兄 皆 集 未 能 忘 情 不 無 戚 戚 而 師 欣 欣 然 絕 
X57n0975_002:0522c21	無苦難之色。徹晝夜。講示顯密教部隱深宗旨。勉勵	無 苦 難 之 色 徹 晝 夜 講 示 顯 密 教 部 隱 深 宗 旨 勉 勵 
X57n0975_002:0522c22	後人。撐持祖道。以未完詮次註。託運遐法兄。以高僧	後 人 撐 持 祖 道 以 未 完 詮 次 註 託 運 遐 法 兄 以 高 僧 
X57n0975_002:0522c23	傳。委諸不肖。觀其娓娓台旨。似乎未盡所蘊。有再來	傳 委 諸 不 肖 觀 其 娓 娓 台 旨 似 乎 未 盡 所 蘊 有 再 來 
X57n0975_002:0522c24	恢弘之意。運遐法兄曰。和尚今而後。安心念佛罷。師	恢 弘 之 意 運 遐 法 兄 曰 和 尚 今 而 後 安 心 念 佛 罷 師 
X57n0975_002:0523a01	笑曰。西方吾豈不信。顧人各有願也。索筆書偈而逝。	笑 曰 西 方 吾 豈 不 信 顧 人 各 有 願 也 索 筆 書 偈 而 逝 
X57n0975_002:0523a02	則和尚撐持法門之弘願。固永永無窮也。豈常人所	則 和 尚 撐 持 法 門 之 弘 願 固 永 永 無 窮 也 豈 常 人 所 
X57n0975_002:0523a03	能比擬哉。	能 比 擬 哉 
X57n0975_002:0523a04	餘生字說	餘 生 字 說 
X57n0975_002:0523a05	冬乃歲之餘。月乃日之餘。生乃死之餘。餘則雖非正	冬 乃 歲 之 餘 月 乃 日 之 餘 生 乃 死 之 餘 餘 則 雖 非 正 
X57n0975_002:0523a06	事。然無其餘。亦不能成一切正事也。夢忍月子嘔血	事 然 無 其 餘 亦 不 能 成 一 切 正 事 也 夢 忍 月 子 嘔 血 
X57n0975_002:0523a07	至脂膜盡出。不能食者七日。淹淹就木。身在死法中	至 脂 膜 盡 出 不 能 食 者 七 日 淹 淹 就 木 身 在 死 法 中 
X57n0975_002:0523a08	矣。來予菴就醫鄰初石子。石子投以奇藥。而有生之	矣 來 予 菴 就 醫 鄰 初 石 子 石 子 投 以 奇 藥 而 有 生 之 
X57n0975_002:0523a09	氣。養一月而竟無死之心矣。今將歸。予為更其字。曰	氣 養 一 月 而 竟 無 死 之 心 矣 今 將 歸 予 為 更 其 字 曰 
X57n0975_002:0523a10	餘生。且贈之以說曰。子歸。盍善用其餘。以為福。抑不	餘 生 且 贈 之 以 說 曰 子 歸 盍 善 用 其 餘 以 為 福 抑 不 
X57n0975_002:0523a11	善用其餘。以售禍邪。今而後。精心乘戒。戮力上流。光	善 用 其 餘 以 售 禍 邪 今 而 後 精 心 乘 戒 戮 力 上 流 光 
X57n0975_002:0523a12	揚祖道。優入聖倫。是善用其餘。以成正事。如月為日	揚 祖 道 優 入 聖 倫 是 善 用 其 餘 以 成 正 事 如 月 為 日 
X57n0975_002:0523a13	之餘。而能清涼光耀。遍照神洲也。予方拭目竢之矣。	之 餘 而 能 清 涼 光 耀 遍 照 神 洲 也 予 方 拭 目 竢 之 矣 
X57n0975_002:0523a14	若貪饕飲噉。肆志無慚。乘戒俱緩。重入泥黎。是不善	若 貪 饕 飲 噉 肆 志 無 慚 乘 戒 俱 緩 重 入 泥 黎 是 不 善 
X57n0975_002:0523a15	用其餘。以釀惡業。如田水月。所謂楚南泰屯。得餘是	用 其 餘 以 釀 惡 業 如 田 水 月 所 謂 楚 南 泰 屯 得 餘 是 
X57n0975_002:0523a16	同。而用餘迴別。則餘者又不如無餘者之為愈也。則	同 而 用 餘 迴 別 則 餘 者 又 不 如 無 餘 者 之 為 愈 也 則 
X57n0975_002:0523a17	是字也。雖曰因事制名。以示不忘。然汝名為月。而字	是 字 也 雖 曰 因 事 制 名 以 示 不 忘 然 汝 名 為 月 而 字 
X57n0975_002:0523a18	為餘。意取月為日餘。以光燭無疆。不取屯氏之餘也。	為 餘 意 取 月 為 日 餘 以 光 燭 無 疆 不 取 屯 氏 之 餘 也 
X57n0975_002:0523a19	庸人視為兩可。智者唯從一說。斯意在此。而不在彼	庸 人 視 為 兩 可 智 者 唯 從 一 說 斯 意 在 此 而 不 在 彼 
X57n0975_002:0523a20	矣。昔黃魯直甞以奇藥活人。惜其所活者。皆庸人耳。	矣 昔 黃 魯 直 甞 以 奇 藥 活 人 惜 其 所 活 者 皆 庸 人 耳 
X57n0975_002:0523a21	勿使石子復抱魯直之惜。可也。	勿 使 石 子 復 抱 魯 直 之 惜 可 也 
X57n0975_002:0523a22	題報恩院交單	題 報 恩 院 交 單 
X57n0975_002:0523a23	松直棘曲。寶喜嵩嗔。不變隨緣之後。人物各自有性	松 直 棘 曲 寶 喜 嵩 嗔 不 變 隨 緣 之 後 人 物 各 自 有 性 
X57n0975_002:0523a24	也。予性喜銀。而性不喜畜。所到之處。必竭厥心。力興	也 予 性 喜 銀 而 性 不 喜 畜 所 到 之 處 必 竭 厥 心 力 興 
X57n0975_002:0523b01	建三寶。雖至逋負百金。催索狺狺。而不之悔。亦性成	建 三 寶 雖 至 逋 負 百 金 催 索 狺 狺 而 不 之 悔 亦 性 成 
X57n0975_002:0523b02	也。去夏。檀護請住此院。院經兵馬住後。殘缺可知。遂	也 去 夏 檀 護 請 住 此 院 院 經 兵 馬 住 後 殘 缺 可 知 遂 
X57n0975_002:0523b03	事土木。至今悲懺期畢。會計所費二百餘金。功過自	事 土 木 至 今 悲 懺 期 畢 會 計 所 費 二 百 餘 金 功 過 自 
X57n0975_002:0523b04	知。不必言也。頃應嘉禾楞嚴之請院託。祉森住持人	知 不 必 言 也 頃 應 嘉 禾 楞 嚴 之 請 院 託 祉 森 住 持 人 
X57n0975_002:0523b05	謂。當書所有。以便後人守成。故即於修建冊後。略記	謂 當 書 所 有 以 便 後 人 守 成 故 即 於 修 建 冊 後 略 記 
X57n0975_002:0523b06	新置。以為交單。今而後。興乎廢乎。人各有性也。豈可	新 置 以 為 交 單 今 而 後 興 乎 廢 乎 人 各 有 性 也 豈 可 
X57n0975_002:0523b07	以我性為人性哉。己未季春八日。	以 我 性 為 人 性 哉 己 未 季 春 八 日 
X57n0975_002:0523b08	智覺寺重興禪堂緣起	智 覺 寺 重 興 禪 堂 緣 起 
X57n0975_002:0523b09	智覺教寺在嘉禾郡治之南十五里。宋開寶八年。剏	智 覺 教 寺 在 嘉 禾 郡 治 之 南 十 五 里 宋 開 寶 八 年 剏 
X57n0975_002:0523b10	建。咸平六年。勅賜太平天壽院。治平元年。勅賜今額。	建 咸 平 六 年 勅 賜 太 平 天 壽 院 治 平 元 年 勅 賜 今 額 
X57n0975_002:0523b11	兵燹之餘。蕩為劫灰茂艸矣。永樂元年。里人張福信	兵 燹 之 餘 蕩 為 劫 灰 茂 艸 矣 永 樂 元 年 里 人 張 福 信 
X57n0975_002:0523b12	重建。相傳始於漢永年十三年。又云。柳孝文妻弟張	重 建 相 傳 始 於 漢 永 年 十 三 年 又 云 柳 孝 文 妻 弟 張 
X57n0975_002:0523b13	綱捨建。皆齊東之訛也。但塔寺所在。必有禪堂。居眾	綱 捨 建 皆 齊 東 之 訛 也 但 塔 寺 所 在 必 有 禪 堂 居 眾 
X57n0975_002:0523b14	用表剎幢面目。此寺獨無竊有疑焉。葢大殿既成。則	用 表 剎 幢 面 目 此 寺 獨 無 竊 有 疑 焉 葢 大 殿 既 成 則 
X57n0975_002:0523b15	列前後左右。無非禪室也。嗣後列院分房。隨隅割據。	列 前 後 左 右 無 非 禪 室 也 嗣 後 列 院 分 房 隨 隅 割 據 
X57n0975_002:0523b16	則苐有香火之實。而失禪室之名。理之固然。無足疑	則 苐 有 香 火 之 實 而 失 禪 室 之 名 理 之 固 然 無 足 疑 
X57n0975_002:0523b17	者。向延等菴法兄。養靜觀音堂者。十有三年。丙辰秋。	者 向 延 等 菴 法 兄 養 靜 觀 音 堂 者 十 有 三 年 丙 辰 秋 
X57n0975_002:0523b18	等兄化去。大宗伯杜公。暨本方信士杜君奭沈子目	等 兄 化 去 大 宗 伯 杜 公 暨 本 方 信 士 杜 君 奭 沈 子 目 
X57n0975_002:0523b19	諸君。請予重建禪堂。為千秋美舉。於菊月望。鳩工庀	諸 君 請 予 重 建 禪 堂 為 千 秋 美 舉 於 菊 月 望 鳩 工 庀 
X57n0975_002:0523b20	材。至仲冬朔。堂殿告成。期周兩月。匠及千工。四方瞻	材 至 仲 冬 朔 堂 殿 告 成 期 周 兩 月 匠 及 千 工 四 方 瞻 
X57n0975_002:0523b21	仰咸訝為神運速成。密邇知交。但憐予空炊無米。斯	仰 咸 訝 為 神 運 速 成 密 邇 知 交 但 憐 予 空 炊 無 米 斯 
X57n0975_002:0523b22	實大士之靈夫。豈一人之力哉。惟是數十日間。陞座	實 大 士 之 靈 夫 豈 一 人 之 力 哉 惟 是 數 十 日 間 陞 座 
X57n0975_002:0523b23	談經之暇。即躬親土木。手足胼胝。慘淡經營。夜以繼	談 經 之 暇 即 躬 親 土 木 手 足 胼 胝 慘 淡 經 營 夜 以 繼 
X57n0975_002:0523b24	日。竭厥心力。而不敢告。勞斗膽勇。為而不顧。後乏者	日 竭 厥 心 力 而 不 敢 告 勞 斗 膽 勇 為 而 不 顧 後 乏 者 
X57n0975_002:0523c01	是。予將此深心奉塵剎之微願也。落成之後。雖逋負	是 予 將 此 深 心 奉 塵 剎 之 微 願 也 落 成 之 後 雖 逋 負 
X57n0975_002:0523c02	數十餘金。然而規模既就。至止者略為可觀。今而後	數 十 餘 金 然 而 規 模 既 就 至 止 者 略 為 可 觀 今 而 後 
X57n0975_002:0523c03	白足來叅旃檀殿。明窗淨几。檀賢稅駕大士堂。仰止	白 足 來 叅 旃 檀 殿 明 窗 淨 几 檀 賢 稅 駕 大 士 堂 仰 止 
X57n0975_002:0523c04	留連。應二時之鐘板。則香積厨與僧堂竝列。接十方	留 連 應 二 時 之 鐘 板 則 香 積 厨 與 僧 堂 竝 列 接 十 方 
X57n0975_002:0523c05	之賢聖。則雲水寮對。客座分階。是役也。檀波輻輳。固	之 賢 聖 則 雲 水 寮 對 客 座 分 階 是 役 也 檀 波 輻 輳 固 
X57n0975_002:0523c06	仰千門之無靳。而劻勷終始。則最初請主杜沈諸君	仰 千 門 之 無 靳 而 劻 勷 終 始 則 最 初 請 主 杜 沈 諸 君 
X57n0975_002:0523c07	居多。茲不忍沒其盛心也。謹紀顛末。為刊碑緣起云。	居 多 茲 不 忍 沒 其 盛 心 也 謹 紀 顛 末 為 刊 碑 緣 起 云 
X57n0975_002:0523c08	題智覺交單	題 智 覺 交 單 
X57n0975_002:0523c09	智覺無交單。而有交單。實等菴法兄剏始也。智覺無	智 覺 無 交 單 而 有 交 單 實 等 菴 法 兄 剏 始 也 智 覺 無 
X57n0975_002:0523c10	禪堂。而有禪堂。實予為之剏建也。崇禎癸酉。諸檀護	禪 堂 而 有 禪 堂 實 予 為 之 剏 建 也 崇 禎 癸 酉 諸 檀 護 
X57n0975_002:0523c11	重建大殿之後。以所餘舊料。搆觀音堂。三間於殿東。	重 建 大 殿 之 後 以 所 餘 舊 料 搆 觀 音 堂 三 間 於 殿 東 
X57n0975_002:0523c12	以為一方祈籤之所。留一香火僧或佛子。看守而已。	以 為 一 方 祈 籤 之 所 留 一 香 火 僧 或 佛 子 看 守 而 已 
X57n0975_002:0523c13	康熈二載。始延等菴法師。於中養道。今丙辰七月。等	康 熈 二 載 始 延 等 菴 法 師 於 中 養 道 今 丙 辰 七 月 等 
X57n0975_002:0523c14	師即世。以新舊器物。彚成一冊。以便來者。稽程是有。	師 即 世 以 新 舊 器 物 彚 成 一 冊 以 便 來 者 稽 程 是 有 
X57n0975_002:0523c15	交單之昉也。眾信隨延。不慧住止鳩工。予因眾志樂	交 單 之 昉 也 眾 信 隨 延 不 慧 住 止 鳩 工 予 因 眾 志 樂 
X57n0975_002:0523c16	善。即謀啟建禪堂。始九月望。終季冬朔。厥工告成。計	善 即 謀 啟 建 禪 堂 始 九 月 望 終 季 冬 朔 厥 工 告 成 計 
X57n0975_002:0523c17	建殿堂房寮。二十餘間。雲水於以歸投。學人於焉戾	建 殿 堂 房 寮 二 十 餘 間 雲 水 於 以 歸 投 學 人 於 焉 戾 
X57n0975_002:0523c18	止。而始不失禪堂之名實矣。屈指又三稔矣。予既膺	止 而 始 不 失 禪 堂 之 名 實 矣 屈 指 又 三 稔 矣 予 既 膺 
X57n0975_002:0523c19	省城報恩之住。而復有武原玉菴分心。故將殿堂一	省 城 報 恩 之 住 而 復 有 武 原 玉 菴 分 心 故 將 殿 堂 一 
X57n0975_002:0523c20	并。託諸文可闍黎。併以建置屋物。續書冊後。使夫來	并 託 諸 文 可 闍 黎 併 以 建 置 屋 物 續 書 冊 後 使 夫 來 
X57n0975_002:0523c21	者。知無交單而有交單。始於等菴法師無禪堂。而有	者 知 無 交 單 而 有 交 單 始 於 等 菴 法 師 無 禪 堂 而 有 
X57n0975_002:0523c22	禪堂。建於不慧也。	禪 堂 建 於 不 慧 也 
X57n0975_002:0523c23	修井文	修 井 文 
X57n0975_002:0523c24	古聖賢分田。而制之以井者。不獨為灌潤田禾也。夫	古 聖 賢 分 田 而 制 之 以 井 者 不 獨 為 灌 潤 田 禾 也 夫 
X57n0975_002:0524a01	木入水。而水上出。源源不竭。可以備湯飲。解熱惱。禦	木 入 水 而 水 上 出 源 源 不 竭 可 以 備 湯 飲 解 熱 惱 禦 
X57n0975_002:0524a02	嚴寒。充澣滌。福利溥哉。東里之井。其來有歲矣。無如	嚴 寒 充 澣 滌 福 利 溥 哉 東 里 之 井 其 來 有 歲 矣 無 如 
X57n0975_002:0524a03	為日既久。磚石用隳。舊井無禽。時共舍之。井泥不食。	為 日 既 久 磚 石 用 隳 舊 井 無 禽 時 共 舍 之 井 泥 不 食 
X57n0975_002:0524a04	人失其利。象曰改邑。不改井宜甃之道也。既人井井。	人 失 其 利 象 曰 改 邑 不 改 井 宜 甃 之 道 也 既 人 井 井 
X57n0975_002:0524a05	而家井井。固當人甃井。而家甃井。不煩董事者之瑣	而 家 井 井 固 當 人 甃 井 而 家 甃 井 不 煩 董 事 者 之 瑣 
X57n0975_002:0524a06	告矣。雖然。人烏得以知之。行將潔乃底。去乃汙。增乃	告 矣 雖 然 人 烏 得 以 知 之 行 將 潔 乃 底 去 乃 汙 增 乃 
X57n0975_002:0524a07	磚。固乃石。寒食清明都過了。石泉槐火。一時新美。冽	磚 固 乃 石 寒 食 清 明 都 過 了 石 泉 槐 火 一 時 新 美 冽 
X57n0975_002:0524a08	涓涓可用。汲而備湯飲。充澣滌。竝受其福。在諸賢一	涓 涓 可 用 汲 而 備 湯 飲 充 澣 滌 竝 受 其 福 在 諸 賢 一 
X57n0975_002:0524a09	舉手間。則又不得不家至戶告也。	舉 手 間 則 又 不 得 不 家 至 戶 告 也 
X57n0975_002:0524a10	蓮花賦	蓮 花 賦 
X57n0975_002:0524a11	昔人目蓮花為君子空王。比玅法以蓮花。豈非以其	昔 人 目 蓮 花 為 君 子 空 王 比 玅 法 以 蓮 花 豈 非 以 其 
X57n0975_002:0524a12	皭然不滓高潔出塵者乎。予於西湖之蓮。三覯而三	皭 然 不 滓 高 潔 出 塵 者 乎 予 於 西 湖 之 蓮 三 覯 而 三 
X57n0975_002:0524a13	變。其態有感於斯。輙比物比志。而賦其事焉。辛卯中	變 其 態 有 感 於 斯 輙 比 物 比 志 而 賦 其 事 焉 辛 卯 中 
X57n0975_002:0524a14	夏。西泠文會。艤舟湖心寺。轉宣公祠。自孤山金沙灘	夏 西 泠 文 會 艤 舟 湖 心 寺 轉 宣 公 祠 自 孤 山 金 沙 灘 
X57n0975_002:0524a15	而止焉。美哉蓮花之盛也。其開三兮。未敷七耳。蓮房	而 止 焉 美 哉 蓮 花 之 盛 也 其 開 三 兮 未 敷 七 耳 蓮 房 
X57n0975_002:0524a16	深鎻。香閨未啟。掩映綽約。中藏處子。尚孩未笄。憨然	深 鎻 香 閨 未 啟 掩 映 綽 約 中 藏 處 子 尚 孩 未 笄 憨 然 
X57n0975_002:0524a17	稚齒。調笑由人。含羞不語。密雨絲絲。似左家嬌女貪	稚 齒 調 笑 由 人 含 羞 不 語 密 雨 絲 絲 似 左 家 嬌 女 貪 
X57n0975_002:0524a18	花。而不辭數百之適。微風漾漾。若漢皐神僊出游。而	花 而 不 辭 數 百 之 適 微 風 漾 漾 若 漢 皐 神 僊 出 游 而 
X57n0975_002:0524a19	恒珮如卵之子。細藥初萌。似壽陽深臥宮簷。肥葩欲	恒 珮 如 卵 之 子 細 藥 初 萌 似 壽 陽 深 臥 宮 簷 肥 葩 欲 
X57n0975_002:0524a20	綻。若玉奴賜浴壽邸。又如若耶溪畔隱花樣之西施。	綻 若 玉 奴 賜 浴 壽 邸 又 如 若 耶 溪 畔 隱 花 樣 之 西 施 
X57n0975_002:0524a21	姑射山中藏如雪之神女。半面初呈。春閨少婦。乍窺	姑 射 山 中 藏 如 雪 之 神 女 半 面 初 呈 春 閨 少 婦 乍 窺 
X57n0975_002:0524a22	楊柳之青。倚葉方遮前街女兒。昨贈搔頭之玉。雨露	楊 柳 之 青 倚 葉 方 遮 前 街 女 兒 昨 贈 搔 頭 之 玉 雨 露 
X57n0975_002:0524a23	不沾尉遲女。未解承恩。風波獨立。淳于兒能徼溫旨。	不 沾 尉 遲 女 未 解 承 恩 風 波 獨 立 淳 于 兒 能 徼 溫 旨 
X57n0975_002:0524a24	或窺宋於東墻。或拜月於西廂。或回舟於洛浦。或尚	或 窺 宋 於 東 墻 或 拜 月 於 西 廂 或 回 舟 於 洛 浦 或 尚 
X57n0975_002:0524b01	衣於君王。亭亭高櫂。宛昆明樓上選明月夜珠之句。	衣 於 君 王 亭 亭 高 櫂 宛 昆 明 樓 上 選 明 月 夜 珠 之 句 
X57n0975_002:0524b02	依依欲舞。若太液池邊逞雲衣花貌之章。或群或友。	依 依 欲 舞 若 太 液 池 邊 逞 雲 衣 花 貌 之 章 或 群 或 友 
X57n0975_002:0524b03	乍頡乍頏。三三五五。嬝嬝揚揚。皆碧玉之未經破爪。	乍 頡 乍 頏 三 三 五 五 嬝 嬝 揚 揚 皆 碧 玉 之 未 經 破 爪 
X57n0975_002:0524b04	而臨鏡則妒婦心降者也。間有花已開香氣全。紅顏	而 臨 鏡 則 妒 婦 心 降 者 也 間 有 花 已 開 香 氣 全 紅 顏 
X57n0975_002:0524b05	的的。翠葢田田。玉肌皜皜。腰柳纖纖。有如脩眉高目。	的 的 翠 葢 田 田 玉 肌 皜 皜 腰 柳 纖 纖 有 如 脩 眉 高 目 
X57n0975_002:0524b06	列屋而閑居。丹唇皓齒。爭妍而取憐。遊絲薄霧。趂天	列 屋 而 閑 居 丹 唇 皓 齒 爭 妍 而 取 憐 遊 絲 薄 霧 趂 天 
X57n0975_002:0524b07	風而遠引。髏飛燕之弟兄掌舞。濃粧淡抹。與西湖而	風 而 遠 引 髏 飛 燕 之 弟 兄 掌 舞 濃 粧 淡 抹 與 西 湖 而 
X57n0975_002:0524b08	競爽。如虢姬之姉妹朝天。韓侯顧止從碩人者。固非	競 爽 如 虢 姬 之 姉 妹 朝 天 韓 侯 顧 止 從 碩 人 者 固 非 
X57n0975_002:0524b09	一人。凝脂柔柹美碩人者。又非一端。遂使眾羨傾城。	一 人 凝 脂 柔 柹 美 碩 人 者 又 非 一 端 遂 使 眾 羨 傾 城 
X57n0975_002:0524b10	而我見猶憐香滯回舟一水人。爭立馬千山。是葢定	而 我 見 猶 憐 香 滯 回 舟 一 水 人 爭 立 馬 千 山 是 葢 定 
X57n0975_002:0524b11	情之伊始。故能消魂於萬千。越一紀。而予信宿于鳳	情 之 伊 始 故 能 消 魂 於 萬 千 越 一 紀 而 予 信 宿 于 鳳 
