T13n0417_001:0897c25	佛說般舟三昧經	佛 說 般舟三昧 經 
T13n0417_001:0902a28	逮等正覺、無上士、道法御、天人師、佛、世尊。是	逮 等 正 覺 無 上 士 道 法 御 天 人 師 佛 世 尊 是 
T13n0417_001:0902a29	時千比丘從得等正覺，皆名坻羅欝沈。教不	時 千 比 丘 從 得 等 正 覺 皆 名 坻 羅 欝 沈 教 不 
T13n0417_001:0902b01	可計人民皆求佛道。」佛告颰陀和：「何人聞是	可 計 人 民 皆 求 佛 道 佛 告 颰 陀 和 何 人 聞 是 
T13n0417_001:0902b02	三昧，不助歡喜學持守誦為人說者也？」佛言：	三 昧 不 助 歡 喜 學 持 守 誦 為 人 說 者 也 佛 言 
T13n0417_001:0902b03	「若有守是三昧者疾逮得佛，但聞其功德不	 若 有 守 是 三 昧 者 疾 逮 得 佛 但 聞 其 功 德 不 
T13n0417_001:0902b04	可計，何況學持者。若去百里、千里，有是三昧	可 計 何 況 學 持 者 若 去 百 里 千 里 有 是 三 昧 
T13n0417_001:0902b05	當求之，何況近而不求學也。若有聞是三	當 求 之 何 況 近 而 不 求 學 也 若 有 聞 是 三 
T13n0417_001:0902b06	昧欲學者，當承事其師十歲，供養瞻視不得	昧 欲 學 者 當 承 事 其 師 十 歲 供 養 瞻 視 不 得 
T13n0417_001:0902b07	自用，當隨師教常念師恩。」佛言：「我故為汝說	自 用 當 隨 師 教 常 念 師 恩 佛 言 我 故 為 汝 說 
T13n0417_001:0902b08	之。聞是三昧去四千里者，往到其所，正使不	之 聞 是 三 昧 去 四 千 里 者 往 到 其 所 正 使 不 
T13n0417_001:0902b09	得聞，其功德不可計也。所以者何？專精進故，	得 聞 其 功 德 不 可 計 也 所以者何 專 精 進 故 
T13n0417_001:0902b10	會當得之自致作佛。」	會 當 得 之 自 致 作 佛 
T13n0417_001:0902b11	至誠品第八	至 誠 品 第 八 
T13n0417_001:0902b12	佛言：「乃往昔有佛，名薩遮那摩等正覺、無上	佛 言 乃 往 昔 有 佛 名 薩 遮 那 摩 等 正 覺 無 上 
T13n0417_001:0902b13	士、天人師、佛、世尊。時有比丘名和輪，其佛般	士 天 人 師 佛 世 尊 時 有 比 丘 名 和 輪 其 佛 般 
T13n0417_001:0902b14	涅槃後，是比丘持是三昧。我時作國王剎利	涅 槃 後 是 比 丘 持 是 三 昧 我 時 作 國 王 剎 利 
T13n0417_001:0902b15	種，於夢中聞是三昧，覺已便行，求是比丘，即	種 於 夢 中 聞 是 三 昧 覺 已 便 行 求 是 比 丘 即 
T13n0417_001:0902b16	依作沙門，欲得聞是三昧，承事其師三萬六	依 作 沙 門 欲 得 聞 是 三 昧 承 事 其 師 三 萬 六 
T13n0417_001:0902b17	千歲，魔事數數起竟不得聞。佛告比丘、比丘	千 歲 魔 事 數 數 起 竟 不 得 聞 佛 告 比 丘 比 丘 
T13n0417_001:0902b18	尼、優婆塞、優婆夷：『我故語汝等，疾取是三昧	尼 優 婆 塞 優 婆 夷 我 故 語 汝 等 疾 取 是 三 昧 
T13n0417_001:0902b19	無得忘失，善承事其師，持是三昧，至一劫、若	無 得 忘 失 善 承 事 其 師 持 是 三 昧 至 一 劫 若 
T13n0417_001:0902b20	百劫、若百千劫，莫得有懈倦。守善師不離，若	百 劫 若 百 千 劫 莫 得 有 懈 倦 守 善 師 不 離 若 
T13n0417_001:0902b21	飲食資用，衣被、床臥、珍寶以上勿有愛惜。設	飲 食 資 用 衣 被 床 臥 珍 寶 以 上 勿 有 愛 惜 設 
T13n0417_001:0902b22	無者當行乞食給師，趣當得是三昧莫厭，常	無 者 當 行 乞 食 給 師 趣 當 得 是 三 昧 莫 厭 常 
T13n0417_001:0902b23	當自割身肉供養於善師，何況寶物，此不足	當 自 割 身 肉 供 養 於 善 師 何 況 寶 物 此 不 足 
T13n0417_001:0902b24	言耳！承事善師當如奴事大家，求是三昧者	言 耳 承 事 善 師 當 如 奴 事 大 家 求 是 三 昧 者 
T13n0417_001:0902b25	當如是。得三昧已，當堅持常念師恩。是三昧	當 如 是 得 三 昧 已 當 堅 持 常 念 師 恩 是 三 昧 
T13n0417_001:0902b26	難得值，正使求是三昧至百千劫，但欲得聞	難 得 值 正 使 求 是 三 昧 至 百 千 劫 但 欲 得 聞 
T13n0417_001:0902b27	其名不可得，何況學而不精進。得是三昧精	其 名 不 可 得 何 況 學 而 不 精 進 得 是 三 昧 精 
T13n0417_001:0902b28	進學轉教人者，正使如恒河沙佛剎滿中珍	進 學 轉 教 人 者 正 使 如 恒 河 沙 佛 剎 滿 中 珍 
T13n0417_001:0902b29	寶，用布施甚多，不如學是三昧者。』」佛告颰陀	寶 用 布 施 甚 多 不 如 學 是 三 昧 者 佛 告 颰 陀 
T13n0417_001:0902c01	和：「若有人欲學者，當助歡喜，欲學而得，學	和 若 有 人 欲 學 者 當 助 歡 喜 欲 學 而 得 學 
T13n0417_001:0902c02	者持佛威神使學，當好書是三昧著素上，當	者 持 佛 威 神 使 學 當 好 書 是 三 昧 著 素 上 當 
T13n0417_001:0902c03	得佛印印之，當善供養。何謂佛印？所謂不當	得 佛 印 印 之 當 善 供 養 何 謂 佛 印 所 謂 不 當 
T13n0417_001:0902c04	行、無所貪、無所求、無所想、無所著、無所願、無	行 無 所 貪 無 所 求 無 所 想 無 所 著 無 所 願 無 
T13n0417_001:0902c05	所向生、無所取、無所顧、無所住、無所礙、無所	所 向 生 無 所 取 無 所 顧 無 所 住 無 所 礙 無 所 
T13n0417_001:0902c06	結、無所有、盡於欲、無所生、無所滅、無所壞、無	結 無 所 有 盡 於 欲 無 所 生 無 所 滅 無 所 壞 無 
T13n0417_001:0902c07	所敗，道要、道本是印。阿羅漢、辟支佛所不能	所 敗 道 要 道 本 是 印 阿 羅 漢 辟 支 佛 所 不 能 
T13n0417_001:0902c08	及，何況愚癡者？是印是為佛印。」佛言：「我今說	及 何 況 愚 癡 者 是 印 是 為 佛 印 佛 言 我 今 說 
T13n0417_001:0902c09	是三昧時，千八百億諸天、阿須輪、鬼神、龍、人	是 三 昧 時 千 八 百 億 諸 天 阿 須 輪 鬼 神 龍 人 
T13n0417_001:0902c10	民，得須陀洹道；八百比丘得阿羅漢；五百比	民 得 須陀洹道 八 百 比 丘 得阿羅漢 五 百 比 
T13n0417_001:0902c11	丘尼得阿羅漢；萬菩薩得是三昧，得無從生	丘 尼 得阿羅漢 萬 菩 薩 得 是 三 昧 得 無 從 生 
T13n0417_001:0902c12	法於中立；萬二千菩薩不復退轉。」佛告舍利	法 於 中 立 萬 二 千 菩 薩 不 復 退 轉 佛 告 舍 利 
T13n0417_001:0902c13	弗、目揵連、比丘颰陀和等：「我從無數劫求道，	弗 目 揵 連 比 丘 颰 陀 和 等 我 從 無 數 劫 求 道 
T13n0417_001:0902c14	今已得作佛，持是經囑累汝等，學誦持守無	今 已 得 作 佛 持 是 經 囑 累 汝 等 學 誦 持 守 無 
T13n0417_001:0902c15	得忘失。若有欲學者，當具足安諦教之。其欲	得 忘 失 若 有 欲 學 者 當 具 足 安 諦 教 之 其 欲 
T13n0417_001:0902c16	聞者，當為具足說之。」佛說經竟，颰陀和菩薩	聞 者 當 為 具 足 說 之 佛 說 經 竟 颰 陀 和 菩 薩 
T13n0417_001:0902c17	等，舍利弗、目連、比丘阿難，及諸天、阿須輪、龍、鬼	等 舍 利 弗 目 連 比 丘 阿 難 及 諸 天 阿 須 輪 龍 鬼 
T13n0417_001:0902c18	神、人民，皆大歡喜，為佛作禮而去。	神 人 民 皆大歡喜 為 佛 作 禮 而 去 
T13n0417_001:0902c19	佛說般舟三昧經	佛 說 般舟三昧 經 
