X13n0284_001:0196a06	 重刻	 重 刻 
X13n0284_001:0208a03	門已成就現在諸菩薩今各入圓明未來修學人	門 已 成 就 現 在 諸 菩 薩 今 各 入 圓 明 未 來 修 學 人 
X13n0284_001:0208a04	當依如是法又云汝等有學未盡輪迴發心至誠	當 依 如 是 法 又 云 汝 等 有 學 未 盡 輪 迴 發 心 至 誠 
X13n0284_001:0208a05	取阿羅漢不持此呪而坐道場令其身心遠諸魔	取 阿 羅 漢 不 持 此 呪 而 坐 道 場 令 其 身 心 遠 諸 魔 
X13n0284_001:0208a06	事無有是處行不變也經云汝與眾生亦復如是	事 無 有 是 處 行 不 變 也 經 云 汝 與 眾 生 亦復如是 
X13n0284_001:0208a07	寶覺真心各各圓滿又云覺海性澄圓圓澄覺元	寶 覺 真 心 各 各 圓 滿 又 云 覺 海 性 澄 圓 圓 澄 覺 元 
X13n0284_001:0208a08	妙理不變也。二歷法明經者若從佛及四依聞	妙 理 不 變 也 二 歷 法 明 經 者 若 從 佛 及 四 依 聞 
X13n0284_001:0208a09	法則音聲為經若從卷帙則色塵為經若法行人	法 則 音 聲 為 經 若 從 卷 帙 則 色 塵 為 經 若 法 行 人 
X13n0284_001:0208a10	歷法觀察則法塵為經若他國土有以光明作佛	歷 法 觀 察 則 法 塵 為 經 若 他 國 土 有 以 光 明 作 佛 
X13n0284_001:0208a11	事者亦是色塵為經香積佛國即是香塵為經以	事 者 亦 是 色 塵 為 經 香 積 佛 國 即 是 香 塵 為 經 以 
X13n0284_001:0208a12	香飯作佛事兼取味塵為經或有佛國以天衣作	香 飯 作 佛 事 兼 取 味 塵 為 經 或 有 佛 國 以 天 衣 作 
X13n0284_001:0208a13	佛事即是觸塵為經復次悟者一切是經迷者一	佛 事 即 是 觸 塵 為 經 復 次 悟 者 一 切 是 經 迷 者 一 
X13n0284_001:0208a14	切不知是經且如佛正說法有時四百九十八人	切 不 知 是 經 且 如 佛 正 說 法 有 時 四 百 九 十 八 人 
X13n0284_001:0208a15	意中罔罔則與清風過耳何異而古人或聞擊竹	意 中 罔 罔 則 與 清 風 過 耳 何 異 而 古 人 或 聞 擊 竹 
X13n0284_001:0208a16	或聞婬詞或聞估肉俚言皆即悟道則何聲非經	或 聞 婬 詞 或 聞 估 肉 俚 言 皆 即 悟 道 則 何 聲 非 經 
X13n0284_001:0208a17	又如黃卷赤牘種種莊嚴牛羊雞犬視之則與草	又 如 黃 卷 赤 牘 種 種 莊 嚴 牛 羊 雞 犬 視 之 則 與 草 
X13n0284_001:0208a18	木瓦石何異而古人或見桃華或觀流水或觀塊	木 瓦 石 何 異 而 古 人 或 見 桃 華 或 觀 流 水 或 觀 塊 
X13n0284_001:0208a19	破皆即悟道則何色非經復次佛斥阿難云汝等	破 皆 即 悟 道 則 何 色 非 經 復 次 佛 斥 阿 難 云 汝 等 
X13n0284_001:0208a20	尚以緣心聽法此法亦緣非得法性既曰非得法	尚 以 緣 心 聽 法 此 法 亦 緣 非 得 法 性 既 曰 非 得 法 
X13n0284_001:0208a21	性是未悟理既不悟理即不成行既不成行則教	性 是 未 悟 理 既 不 悟 理 即 不 成 行 既 不 成 行 則 教 
X13n0284_001:0208a22	道亦虗而憍陳那於佛音聲悟明四諦既已悟理	道 亦 虗 而 憍 陳 那 於 佛 音 聲 悟 明 四 諦 既 已 悟 理 
X13n0284_001:0208a23	驗必成行既已成行則驗教非謬故知經體不殊	驗 必 成 行 既 已 成 行 則 驗 教 非 謬 故 知 經 體 不 殊 
X13n0284_001:0208a24	迷悟自異且尼沙陀觀色色即是教行理童子聞	迷 悟 自 異 且 尼 沙 陀 觀 色 色 即 是 教 行 理 童 子 聞 
X13n0284_001:0208b01	香香即是教行理藥王嘗味味即是教行理畢陵	香 香 即 是 教 行 理 藥 王 嘗 味 味 即 是 教 行 理 畢 陵 
X13n0284_001:0208b02	傷刺痛即是教行理乃至六根六識七大亦復如	傷 刺 痛 即 是 教 行 理 乃 至 六 根 六 識 七 大 亦 復 如 
X13n0284_001:0208b03	是以要言之根塵諸法一一本即如來藏性性不	是 以要言之 根 塵 諸 法 一 一 本 即 如 來 藏 性 性 不 
X13n0284_001:0208b04	可變法爾可軌舉體既即理經那得不是教經行	可 變 法 爾 可 軌 舉 體 既 即 理 經 那 得 不 是 教 經 行 
X13n0284_001:0208b05	經故於一一法中能見大佛頂理者則一一無非	經 故 於 一 一 法 中 能 見 大 佛 頂 理 者 則 一 一 無 非 
X13n0284_001:0208b06	如來密因修證了義一一無非諸菩薩萬行首楞	如 來 密 因 修 證 了 義 一 一 無 非 諸 菩 薩 萬 行 首 楞 
X13n0284_001:0208b07	嚴矣此經一名中印度那爛陀大道場經於灌頂	嚴 矣 此 經 一 名 中 印 度 那 爛 陀 大 道 場 經 於 灌 頂 
X13n0284_001:0208b08	部錄出別行即是以處彰名言灌頂部即密部也	部 錄 出 別 行 即 是 以 處 彰 名 言 灌 頂 部 即 密 部 也 
X13n0284_001:0208b09	若經中所結五名顯密互彰若今題存三略二以	若 經 中 所 結 五 名 顯 密 互 彰 若 今 題 存 三 略 二 以 
X13n0284_001:0208b10	顯該密乃結集家善巧若後世稱此經名畏於繁	顯 該 密 乃 結 集 家 善 巧 若 後 世 稱 此 經 名 畏 於 繁 
X13n0284_001:0208b11	文直云大佛頂首楞嚴經妙合經中王三昧名亦	文 直 云 大 佛 頂 首 楞 嚴 經 妙 合 經 中 王 三 昧 名 亦 
X13n0284_001:0208b12	復略攝性修旨趣已盡誠為無過若近世喜簡直	復 略 攝 性 修 旨 趣 已 盡 誠 為 無 過 若 近 世 喜 簡 直 
X13n0284_001:0208b13	呼為楞嚴經理固無礙奈與藏中首楞嚴三昧經	呼 為 楞 嚴 經 理 固 無 礙 奈 與 藏 中 首楞嚴三昧 經 
X13n0284_001:0208b14	相濫今謂圓頓妙詮互融互攝既可直云楞嚴經	相 濫 今 謂 圓 頓 妙 詮 互 融 互 攝 既 可 直 云 楞 嚴 經 
X13n0284_001:0208b15	亦何不可直云萬行經了義經密因經佛經菩薩	亦 何 不 可 直 云 萬 行 經 了 義 經 密 因 經 佛 經 菩 薩 
X13n0284_001:0208b16	經耶然雖互攝互融而性修理事亦仍不分而分	經 耶 然 雖 互 攝 互 融 而 性 修 理 事 亦 仍 不 分 而 分 
X13n0284_001:0208b17	自應以性攝修以理攝事似宜直稱大佛頂經則	自 應 以 性 攝 修 以 理 攝 事 似 宜 直 稱 大 佛 頂 經 則 
X13n0284_001:0208b18	經體既顯不濫他帙亦兩便也釋名竟。	經 體 既 顯 不 濫 他 帙 亦 兩 便 也 釋 名 竟 
X13n0284_002:0208c05	大佛頂如來密因修證了義諸菩薩萬行首楞嚴經	大 佛 頂 如 來 密 因 修 證 了 義 諸 菩 薩 萬 行 首 楞 嚴 經 
X13n0284_002:0208c06	玄義卷下	玄 義 卷 下 
X13n0284_002:0208c07	明菩薩沙彌古吳智旭　撰述	明 菩 薩 沙 彌 古 吳 智 旭 撰 述 
X13n0284_002:0208c08	明菩薩比丘溫陵道昉　參訂	明 菩 薩 比 丘 溫 陵 道 昉 參 訂 
X13n0284_002:0208c09	第二顯體為十初明須顯體二釋體義三正出體	第 二 顯 體 為 十 初 明 須 顯 體 二 釋 體 義 三 正 出 體 
X13n0284_002:0208c10	四引證五會通異名六廣簡偽濫七明入體之門	四 引 證 五 會 通 異 名 六 廣 簡 偽 濫 七 明 入 體 之 門 
X13n0284_002:0208c11	八徧為眾經體九徧為諸行體十徧為一切法體。	八 徧 為 眾 經 體 九 徧 為 諸 行 體 十 徧 為 一 切 法 體 
X13n0284_002:0208c12	初明須顯體者前釋通別二名共二十字皆是	初 明 須 顯 體 者 前 釋 通 別 二 名 共 二 十 字 皆 是 
X13n0284_002:0208c13	能詮之名文義浩博今更點示名下所詮要理正	能 詮 之 名 文 義 浩 博 今 更 點 示 名 下 所 詮 要 理 正 
X13n0284_002:0208c14	顯一經之主質意欲令人尋名得體如因指見月	顯 一 經 之 主 質 意 欲 令 人 尋 名 得 體 如 因 指 見 月 
X13n0284_002:0208c15	蓋標指非欲令其玩指見月始知別無他月又釋	蓋 標 指 非 欲 令 其 玩 指 見 月 始 知 別 無 他 月 又 釋 
X13n0284_002:0208c16	名總示三德顯體別在法身明字別在般若辨用	名 總 示 三 德 顯 體 別 在 法 身 明 字 別 在 般 若 辨 用 
X13n0284_002:0208c17	別在解脫教相分別總別故釋名之後須先辨體	別 在 解 脫 教 相 分 別 總 別 故 釋 名 之 後 須 先 辨 體 
X13n0284_002:0208c18	體雖法身必具二德雖具二德還屬法身具二德	體 雖 法 身 必 具 二 德 雖 具 二 德 還 屬 法 身 具 二 德 
X13n0284_002:0208c19	故非縱屬法身故非橫不縱不橫方是經體又經	故 非 縱 屬 法 身 故 非 橫 不 縱 不 橫 方 是 經 體 又 經 
X13n0284_002:0208c20	若無體則邪倒無印同於魔說故須顯體又得此	若 無 體 則 邪 倒 無 印 同 於 魔 說 故 須 顯 體 又 得 此 
X13n0284_002:0208c21	體已方能全性起修以修合性如有虗空方可駕	體 已 方 能 全 性 起 修 以 修 合 性 如 有 虗 空 方 可 駕 
X13n0284_002:0208c22	屋既成屋已仍取屋空是故須顯體也。	屋 既 成 屋 已 仍 取 屋 空 是 故 須 顯 體 也 
X13n0284_002:0208c23	二釋體義者體是主質亦釋為禮亦釋為底亦釋	二 釋 體 義 者 體 是 主 質 亦 釋 為 禮 亦 釋 為 底 亦 釋 
X13n0284_002:0208c24	為達只一主質具此三義非三體也言體禮者如	為 達 只 一 主 質 具 此 三 義 非 三 體 也 言 體 禮 者 如 
X13n0284_002:0209a01	君尊臣卑父貴子賤臣子雖多君父惟一經體亦	君 尊 臣 卑 父 貴 子 賤 臣 子 雖 多 君 父 惟 一 經 體 亦 
X13n0284_002:0209a02	爾惟是一理統攝萬法種種眾行之所歸趣無量	爾 惟 是 一 理 統 攝 萬 法 種 種 眾 行 之 所 歸 趣 無 量 
X13n0284_002:0209a03	功德之所莊嚴言說問答之所詮辨以貴極故稱	功 德 之 所 莊 嚴 言 說 問 答 之 所 詮 辨 以 貴 極 故 稱 
X13n0284_002:0209a04	為禮體經云妙湛總持不動尊又云頂禮如來藏	為 禮 體 經 云 妙 湛 總 持 不 動 尊 又 云 頂 禮 如 來 藏 
X13n0284_002:0209a05	無漏不思議此之謂也言體底者如恒河大海莫	無 漏 不 思 議 此 之 謂 也 言 體 底 者 如 恒 河 大 海 莫 
X13n0284_002:0209a06	測淺深唯香象修羅乃窮其底佛法亦爾釋論云	測 淺 深 唯 香 象 修 羅 乃 窮 其 底 佛 法 亦 爾 釋 論 云 
X13n0284_002:0209a07	如度大海惟佛窮底此經云如來常說諸法所生	如 度 大 海 惟 佛 窮 底 此 經 云 如 來 常 說 諸 法 所 生 
X13n0284_002:0209a08	唯心所現一切因果世界微塵因心成體又云我	唯 心 所 現 一 切 因 果 世 界 微 塵 因 心 成 體 又 云 我 
X13n0284_002:0209a09	以妙明不滅不生合如來藏惟妙覺明圓炤法界	以 妙 明 不滅不生 合 如 來 藏 惟 妙 覺 明 圓 炤 法 界 
X13n0284_002:0209a10	又云如來發明世出世法知其本因隨所緣出此	又 云 如 來 發 明 世 出 世 法 知 其 本 因 隨 所 緣 出 此 
X13n0284_002:0209a11	之謂也知此體者即知一切法之源底故名體底	之 謂 也 知 此 體 者 即 知一切法 之 源 底 故 名 體 底 
X13n0284_002:0209a12	言體達者如風行空中通達無礙如天王號令萬	言 體 達 者 如 風 行 空 中 通 達 無 礙 如 天 王 號 令 萬 
X13n0284_002:0209a13	國齊奉佛法亦爾知此體者即能徧達一切諸法	國 齊 奉 佛 法 亦 爾 知 此 體 者 即 能 徧 達 一切諸法 
X13n0284_002:0209a14	無有留礙故名體達經云若能轉物即同如來又	無 有 留 礙 故 名 體 達 經 云 若 能 轉 物 即 同 如 來 又 
X13n0284_002:0209a15	云十方如來及大菩薩於其自住三摩地中見與	云 十 方 如 來 及 大 菩 薩 於 其 自 住 三 摩 地 中 見 與 
X13n0284_002:0209a16	見緣并所想相如虗空華本無所有此見及緣元	見 緣 并 所 想 相 如 虗 空 華 本 無 所 有 此 見 及 緣 元 
X13n0284_002:0209a17	是菩提妙淨明體此之謂也禮體是法身體底是	是 菩 提 妙 淨 明 體 此 之 謂 也 禮 體 是 法 身 體 底 是 
X13n0284_002:0209a18	般若體達是解脫只一德而三德宛然總三義而	般 若 體 達 是 解 脫 只 一 德 而 三 德 宛 然 總 三 義 而 
X13n0284_002:0209a19	惟是一體是謂體義。	惟 是 一 體 是 謂 體 義 
X13n0284_002:0209a20	三正出體者此經以如來藏妙真如性為體於三	三 正 出 體 者 此 經 以 如 來 藏 妙 真 如 性 為 體 於 三 
X13n0284_002:0209a21	名中取大佛頂名於豎義中取大字義於橫義中	名 中 取 大 佛 頂 名 於 豎 義 中 取 大 字 義 於 橫 義 中 
X13n0284_002:0209a22	取體大義本覺義最尊義於三德中即是取法身	取 體 大 義 本 覺 義 最 尊 義 於 三 德 中 即 是 取 法 身 
X13n0284_002:0209a23	德復次於三因中取正因佛性於三了義中取理	德 復 次 於 三 因 中 取 正 因 佛 性 於 三 了 義 中 取 理 
X13n0284_002:0209a24	了義於十畢竟中取畢竟理復次於經文辨見中	了 義 於 十 畢 竟 中 取 畢 竟 理 復 次 於 經 文 辨 見 中 
X13n0284_002:0209b01	取見見非見義於陰入處界取隨緣不變義於氷	取 見 見 非 見 義 於 陰 入 處 界 取 隨 緣 不 變 義 於 氷 
X13n0284_002:0209b02	水喻中取濕性義於如來藏取離即離非是即非	水 喻 中 取 濕 性 義 於 如 來 藏 取 離 即 離 非 是 即 非 
X13n0284_002:0209b03	即義以繇離即離非是即非即義故前之俱非俱	即 義 以 繇 離 即 離 非 是 即 非 即 義 故 前 之 俱 非 俱 
X13n0284_002:0209b04	即二義並成問曰既取離即離非是即非即之如	即 二 義 並 成 問 曰 既 取 離 即 離 非 是 即 非 即 之 如 
X13n0284_002:0209b05	來藏為此經體何故阿難問果地七名但云空如	來 藏 為 此 經 體 何 故 阿 難 問 果 地 七 名 但 云 空 如 
X13n0284_002:0209b06	來藏觀音十四無畏中亦但云空如來藏耶答曰	來 藏 觀 音 十 四 無 畏 中 亦 但 云 空 如 來 藏 耶 答 曰 
X13n0284_002:0209b07	只此空如來藏便是離即離非是即非即之體非	只 此 空 如 來 藏 便 是 離 即 離 非 是 即 非 即 之 體 非 
X13n0284_002:0209b08	更別有不空等二藏以為之對已如前辨今更於	更 別 有 不 空 等 二 藏 以 為 之 對 已 如 前 辨 今 更 於 
X13n0284_002:0209b09	一名中點示三義空字即顯離即離非義藏字即	一 名 中 點 示 三 義 空 字 即 顯 離 即 離 非 義 藏 字 即 
X13n0284_002:0209b10	顯是即非即義如來二字即顯妙明心元義又繇	顯 是 即 非 即 義 如 來 二 字 即 顯 妙 明 心 元 義 又 繇 
X13n0284_002:0209b11	空義故則一非一切非十界三諦俱非繇藏義故	空 義 故 則 一 非 一 切 非 十 界 三 諦 俱 非 繇 藏 義 故 
X13n0284_002:0209b12	則一即一切即十界三諦俱即繇如來義故則一	則 一 即 一 切 即 十 界 三 諦 俱 即 繇 如 來 義 故 則 一 
X13n0284_002:0209b13	離即離非是即非即一切離即離非是即非即十	離 即 離 非 是 即 非 即 一 切 離 即 離 非 是 即 非 即 十 
X13n0284_002:0209b14	界三諦俱離即離非是即非即夫一非一切非體	界 三 諦 俱 離 即 離 非 是 即 非 即 夫 一 非 一 切 非 體 
X13n0284_002:0209b15	底義成一即一切即體達義成離即離非是即非	底 義 成 一 即 一 切 即 體 達 義 成 離 即 離 非 是 即 非 
X13n0284_002:0209b16	即禮體義成今更就經中盛談一一皆云本如來	即 禮 體 義 成 今 更 就 經 中 盛 談 一 一 皆 云 本 如 來 
X13n0284_002:0209b17	藏妙真如性故以此名而顯經體當知即是中道	藏 妙 真 如 性 故 以 此 名 而 顯 經 體 當 知 即 是 中 道 
X13n0284_002:0209b18	理性非空非不空仍雙炤空與不空以如來藏三	理 性 非 空 非 不 空 仍 雙 炤 空 與 不 空 以 如 來 藏 三 
X13n0284_002:0209b19	字點示眾生本具理體即是諸佛究竟果德之本	字 點 示 眾 生 本 具 理 體 即 是 諸 佛 究 竟 果 德 之 本 
X13n0284_002:0209b20	以一妙字點示如來藏如實不空義以一真字點	以 一 妙 字 點 示 如 來 藏 如 實 不 空 義 以 一 真 字 點 
X13n0284_002:0209b21	示如來藏非空非不空雙炤空不空義以一如字	示 如 來 藏 非 空 非 不 空 雙 炤 空 不 空 義 以 一 如 字 
X13n0284_002:0209b22	點示如來藏如實空義以一性字總上三義結成	點 示 如 來 藏 如 實 空 義 以 一 性 字 總 上 三 義 結 成 
X13n0284_002:0209b23	不變之體此理極成無容異議矣問曰既云事理	不 變 之 體 此 理 極 成 無 容 異 議 矣 問 曰 既 云 事 理 
X13n0284_002:0209b24	圓融性修不二何須於諸法中別簡正體答曰譬	圓 融 性 修 不 二 何 須 於 諸 法 中 別 簡 正 體 答 曰 譬 
X13n0284_002:0209c01	如梁柱成屋所取性是屋中之空若無屋空梁柱	如 梁 柱 成 屋 所 取 性 是 屋 中 之 空 若 無 屋 空 梁 柱 
X13n0284_002:0209c02	何用如來藏性亦復如是非因非果所依因果如	何 用 如 來 藏 性 亦復如是 非 因 非 果 所 依 因 果 如 
X13n0284_002:0209c03	梁柱藏性譬屋空梁柱可多屋空惟一以譬事相	梁 柱 藏 性 譬 屋 空 梁 柱 可 多 屋 空 惟 一 以 譬 事 相 
X13n0284_002:0209c04	因果雖多理性惟一又如日月星辰可多太虗惟	因 果 雖 多 理 性 惟 一 又 如 日 月 星 辰 可 多 太 虗 惟 
X13n0284_002:0209c05	一宰輔臣吏可多帝主惟一為此義故須顯正體	一 宰 輔 臣 吏 可 多 帝 主 惟 一 為 此 義 故 須 顯 正 體 
X13n0284_002:0209c06	雖三德祕藏不縱不橫不一不異以便於顯示必	雖 三 德 祕 藏 不 縱 不 橫 不 一 不 異 以 便 於 顯 示 必 
X13n0284_002:0209c07	簡般若解脫惟以法身當名既顯法身即顯般若	簡 般 若 解 脫 惟 以 法 身 當 名 既 顯 法 身 即 顯 般 若 
X13n0284_002:0209c08	解脫以本不即不離故也三德既爾餘法例然可	解 脫 以 本 不 即 不 離 故 也 三 德 既 爾 餘 法 例 然 可 
X13n0284_002:0209c09	以意知不復委出。	以 意 知 不 復 委 出 
X13n0284_002:0209c10	四引證者經於陰入處界之首即總標云殊不能	四 引 證 者 經 於 陰 入 處 界 之 首 即 總 標 云 殊 不 能 
X13n0284_002:0209c11	知生滅去來本如來藏常住妙明不動周圓妙真	知 生 滅 去 來 本 如 來 藏 常 住 妙 明 不 動 周 圓 妙 真 
X13n0284_002:0209c12	如性而於下文復徵起云何五陰本如來藏妙真	如 性 而 於 下 文 復 徵 起 云 何 五 陰 本 如 來 藏 妙 真 
X13n0284_002:0209c13	如性乃至十八界文亦皆如是又七大中一一皆	如 性 乃 至 十 八 界 文 亦 皆 如 是 又 七 大 中 一 一 皆 
X13n0284_002:0209c14	云汝元不知如來藏中性色真空性空真色等至	云 汝 元 不 知 如 來 藏 中 性 色 真 空 性 空 真 色 等 至 
X13n0284_002:0209c15	後三大文中各各更加性真圓融皆如來藏本無	後 三 大 文 中 各 各 更 加 性 真 圓 融 皆 如 來 藏 本 無 
X13n0284_002:0209c16	生滅之語重重昭示不一而足直至答滿慈問方	生 滅 之 語 重 重 昭 示 不 一 而 足 直 至 答 滿 慈 問 方 
X13n0284_002:0209c17	乃圓結如來藏性一體三義然後阿難領誨請修	乃 圓 結 如 來 藏 性 一 體 三 義 然 後 阿 難 領 誨 請 修 
X13n0284_002:0209c18	喻以雖獲大宅要因門入是明指此如來藏性為	喻 以 雖 獲 大 宅 要 因 門 入 是 明 指 此 如 來 藏 性 為 
X13n0284_002:0209c19	天王所賜華屋矣以藏性雖人人本具迷強不知	天 王 所 賜 華 屋 矣 以 藏 性 雖 人 人 本 具 迷 強 不 知 
X13n0284_002:0209c20	知繇佛示義如佛賜譬如諸侯失國天王為之繼	知 繇 佛 示 義 如 佛 賜 譬 如 諸 侯 失 國 天 王 為 之 繼 
X13n0284_002:0209c21	絕舉廢亦名為賜也又文殊選圓通畢結云頂禮	絕 舉 廢 亦 名 為 賜 也 又 文 殊 選 圓 通 畢 結 云 頂 禮 
X13n0284_002:0209c22	如來藏無漏不思議豈非以眾生所具即具此體	如 來 藏 無 漏 不 思 議 豈 非 以 眾 生 所 具 即 具 此 體 
X13n0284_002:0209c23	耳門所顯即顯此體諸佛所證即證此體故藉此	耳 門 所 顯 即 顯 此 體 諸 佛 所 證 即 證 此 體 故 藉 此 
X13n0284_002:0209c24	同體法性之力以加被於未來也哉明文在茲可	同 體 法 性 之 力 以 加 被 於 未 來 也 哉 明 文 在 茲 可 
X13n0284_002:0210a01	為誠證也。	為 誠 證 也 
X13n0284_002:0210a02	五會通異名又為二初會本經異名次會他經異	五 會 通 異 名 又 為 二 初 會 本 經 異 名 次 會 他 經 異 
X13n0284_002:0210a03	名。初會本經異名者初卷佛告阿難一切眾生	名 初 會 本 經 異 名 者 初 卷 佛 告 阿 難 一 切 眾 生 
X13n0284_002:0210a04	生死相續皆繇不知常住真心性淨明體即指此	生 死 相 續 皆 繇 不 知 常 住 真 心 性 淨 明 體 即 指 此 
X13n0284_002:0210a05	體次則阿難自悔責云當繇不知真際所詣真際	體 次 則 阿 難 自 悔 責 云 當 繇 不 知 真 際 所 詣 真 際 
X13n0284_002:0210a06	亦是此體異名佛示第二根本云無始菩提涅槃	亦 是 此 體 異 名 佛 示 第 二 根 本 云 無 始 菩 提 涅 槃 
X13n0284_002:0210a07	元清淨體又云何況清淨妙淨明心性一切心而	元 清 淨 體 又 云 何 況 清 淨 妙 淨 明 心 性 一 切 心 而 
X13n0284_002:0210a08	自無體皆指此體阿難又自責云良繇不知寂常	自 無 體 皆 指 此 體 阿 難 又 自 責 云 良 繇 不 知 寂 常 
X13n0284_002:0210a09	心性佛又告云吾今為汝建大法幢亦令十方一	心 性 佛 又 告 云 吾 今 為 汝 建 大 法 幢 亦 令 十 方 一 
X13n0284_002:0210a10	切眾生獲妙微密性淨明心亦指此體第二卷云	切 眾 生 獲 妙 微 密 性 淨 明 心 亦 指 此 體 第 二 卷 云 
X13n0284_002:0210a11	云何汝等遺失本妙圓妙明心寶明妙性又云本	云 何 汝 等 遺 失 本 妙 圓 妙 明 心 寶 明 妙 性 又 云 本 
X13n0284_002:0210a12	是妙明無上菩提淨圓真心又云汝等聲聞狹劣	是 妙 明 無上菩提 淨 圓 真 心 又 云 汝 等 聲 聞 狹 劣 
X13n0284_002:0210a13	無識不能通達清淨實相又云其性真為妙覺明	無 識 不 能 通 達 清 淨 實 相 又 云 其 性 真 為 妙 覺 明 
X13n0284_002:0210a14	體第三卷云故我今時為汝開示第一義諦又云	體 第 三 卷 云 故 我 今 時 為 汝 開 示 第一義諦 又 云 
X13n0284_002:0210a15	亦令當來修大乘者通達實相第四卷云普為此	亦 令 當 來 修 大 乘 者 通 達 實 相 第 四 卷 云 普 為 此 
X13n0284_002:0210a16	會宣勝義中真勝義性又云一乘寂滅場地又云	會 宣 勝 義 中 真 勝 義 性 又 云 一 乘 寂 滅 場 地 又 云 
X13n0284_002:0210a17	性覺妙明本覺明妙又云觀性元真惟妙覺明又	性 覺 妙 明 本 覺 明 妙 又 云 觀 性 元 真 惟 妙 覺 明 又 
X13n0284_002:0210a18	云故發真如妙覺明性又云寶覺真心各各圓滿	云 故 發 真 如 妙 覺 明 性 又 云 寶 覺 真 心 各 各 圓 滿 
X13n0284_002:0210a19	又云勝淨明心本周法界第六卷云覺海性澄圓	又 云 勝 淨 明 心 本 周 法 界 第 六 卷 云 覺 海 性 澄 圓 
X13n0284_002:0210a20	圓澄覺元妙又云是則圓真實是則通真實是則	圓 澄 覺 元 妙 又 云 是 則 圓 真 實 是 則 通 真 實 是 則 
X13n0284_002:0210a21	常真實第七卷云妙性圓明離諸名相第九卷云	常 真 實 第 七 卷 云 妙 性 圓 明 離 諸 名 相 第 九 卷 云 
X13n0284_002:0210a22	妙圓明無作本心又云本覺妙明覺圓心體第十	妙 圓 明 無 作 本 心 又 云 本 覺 妙 明 覺 圓 心 體 第 十 
X13n0284_002:0210a23	卷云於涅槃天將大明悟又云精真妙明本覺圓	卷 云 於 涅 槃 天 將 大 明 悟 又 云 精 真 妙 明 本 覺 圓 
X13n0284_002:0210a24	淨如是等種種異名不同義或各有所取而體性	淨 如 是 等 種種異名 不 同 義 或 各 有 所 取 而 體 性 
X13n0284_002:0210b01	是一義則或寂炤雙明或空有圓顯或但約雙離	是 一 義 則 或 寂 炤 雙 明 或 空 有 圓 顯 或 但 約 雙 離 
X13n0284_002:0210b02	或但約雙即或兼明遮炤直指本體而尅實為論	或 但 約 雙 即 或 兼 明 遮 炤 直 指 本 體 而 尅 實 為 論 
X13n0284_002:0210b03	惟取本有性德不取修成又雖取性德多就出障	惟 取 本 有 性 德 不 取 修 成 又 雖 取 性 德 多 就 出 障 
X13n0284_002:0210b04	圓明之性以彰在纏本有之性例前所明如來藏	圓 明 之 性 以 彰 在 纏 本 有 之 性 例 前 所 明 如 來 藏 
X13n0284_002:0210b05	心三義雖是在纏本具必於滅塵合覺之後明之	心 三 義 雖 是 在 纏 本 具 必 於 滅 塵 合 覺 之 後 明 之 
X13n0284_002:0210b06	以非滅塵合覺不顯自性本理故也然此正取自	以 非 滅 塵 合 覺 不 顯 自 性 本 理 故 也 然 此 正 取 自 
X13n0284_002:0210b07	性本理不兼修德若兼修德便涉宗用且令三無	性 本 理 不 兼 修 德 若 兼 修 德 便 涉 宗 用 且 令 三 無 
X13n0284_002:0210b08	差別之旨六而常即之致反成隱晦非是直指人	差 別 之 旨 六 而 常 即 之 致 反 成 隱 晦 非 是 直 指 人 
X13n0284_002:0210b09	心見性成佛本意故不可也惟性德明則修德自	心 見 性 成 佛 本 意 故 不 可 也 惟 性 德 明 則 修 德 自 
X13n0284_002:0210b10	顯以離性無修故故顯體後方可明宗用矣。次	顯 以 離 性 無 修 故 故 顯 體 後 方 可 明 宗 用 矣 次 
X13n0284_002:0210b11	會他經異名者釋論云除諸法實相餘皆魔事是	會 他 經 異 名 者 釋 論 云 除 諸法實相 餘 皆 魔 事 是 
X13n0284_002:0210b12	故諸大乘經同以實相為印為經正體今如來藏	故 諸 大 乘 經 同 以 實 相 為 印 為 經 正 體 今 如 來 藏 
X13n0284_002:0210b13	妙真如性即是實相正印但有異名更無異體又	妙 真 如 性 即 是 實 相 正 印 但 有 異 名 更 無 異 體 又 
X13n0284_002:0210b14	此實相正印華嚴名一真法界維摩名不思議解	此 實 相 正 印 華 嚴 名 一 真 法 界 維 摩 名 不 思 議 解 
X13n0284_002:0210b15	脫般若名一切種智法華名一乘實相涅槃名常	脫 般 若 名 一切種智 法 華 名 一 乘 實 相 涅 槃 名 常 
X13n0284_002:0210b16	住佛性又智者大師觀音玄中名為靈智合法身	住 佛 性 又 智 者 大 師 觀 音 玄 中 名 為 靈 智 合 法 身 
X13n0284_002:0210b17	光明玄中名為法性四明尊者妙宗鈔中名為上	光 明 玄 中 名 為 法 性 四 明 尊 者 妙 宗 鈔 中 名 為 上 
X13n0284_002:0210b18	品寂光如帝釋一人有千名字會須尋名得體不	品 寂 光 如 帝 釋 一 人 有 千 名 字 會 須 尋 名 得 體 不 
X13n0284_002:0210b19	可昧體而狥名也。	可 昧 體 而 狥 名 也 
X13n0284_002:0210b20	六廣簡偽濫復為四初約如來藏義簡二約妙義	六 廣 簡 偽 濫 復 為 四 初 約 如 來 藏 義 簡 二 約 妙 義 
