X67n1304_001:0322c06	 虗堂錄序	 虗 堂 錄 序 
X67n1304_003:0348b18	文錢與匠人(尋常語裏布槍旗)。若道得與吾親造塔(和尚幸是	文 錢 與 匠 人 尋 常 語 裏 布 槍 旗 若 道 得 與 吾 親 造 塔 和 尚 幸 是 
X67n1304_003:0348b19	大人。且莫造次)。僧無語(一句臨機下口難)。後舉似大嶺(走口送舌)。嶺云	大 人 且 莫 造 次 僧 無 語 一 句 臨 機 下 口 難 後 舉 似 大 嶺 走 口 送 舌 嶺 云 
X67n1304_003:0348b20	還有人道得麼(青山誰管你閑事)。僧云未有人道得(莫累他好)。	還 有 人 道 得 麼 青 山 誰 管 你 閑 事 僧 云 未 有 人 道 得 莫 累 他 好 
X67n1304_003:0348b21	嶺云。汝回舉似疎山道。大嶺聞舉有語云。若將三	嶺 云 汝 回 舉 似 疎 山 道 大 嶺 聞 舉 有 語 云 若 將 三 
X67n1304_003:0348b22	文錢與匠人。和尚今生決定不得塔(待要作麼)。若將兩	文 錢 與 匠 人 和 尚 今 生 決 定 不 得 塔 待 要 作 麼 若 將 兩 
X67n1304_003:0348b23	文錢與匠人。和尚與匠人共垂一隻手(徒勞摸索)。若將	文 錢 與 匠 人 和 尚 與 匠 人 共 垂 一 隻 手 徒 勞 摸 索 若 將 
X67n1304_003:0348b24	一文錢與匠人。累他匠人眉鬚墮落(好心招惡報)。其僧	一 文 錢 與 匠 人 累 他 匠 人 眉 鬚 墮 落 好 心 招 惡 報 其 僧 
X67n1304_003:0348c01	回舉似疎山(來往不易)。山具威儀望大嶺禮拜嘆云。大	回 舉 似 疎 山 來 往 不 易 山 具 威 儀 望 大 嶺 禮 拜 嘆 云 大 
X67n1304_003:0348c02	嶺古佛放光射至此間(惺惺怜惺惺)。雖然如是。也是臘	嶺 古 佛 放 光 射 至 此 間 惺 惺 怜 惺 惺 雖 然 如 是 也 是 臘 
X67n1304_003:0348c03	月蓮花(且恁將無做有)。大嶺後聞此語云。我恁麼道也是	月 蓮 花 且 恁 將 無 做 有 大 嶺 後 聞 此 語 云 我 恁 麼 道 也 是 
X67n1304_003:0348c04	龜毛長三尺(不知誰識斟量)。	龜 毛 長 三 尺 不 知 誰 識 斟 量 
X67n1304_003:0348c05	師云。魏府老元花嚴示眾曰。佛法在日用處。行住坐	師 云 魏 府 老 元 花 嚴 示 眾 曰 佛 法 在 日 用 處 行 住 坐 
X67n1304_003:0348c06	臥處。喫茶喫飯處。語言相問處。祇如這僧恁麼問。疎	臥 處 喫 茶 喫 飯 處 語 言 相 問 處 祇 如 這 僧 恁 麼 問 疎 
X67n1304_003:0348c07	山恁麼答。且道佛法其安在哉。你若向三文兩文一	山 恁 麼 答 且 道 佛 法 其 安 在 哉 你 若 向 三 文 兩 文 一 
X67n1304_003:0348c08	文上追求。本利俱失受窮一生。枉費功夫漫勞神力。	文 上 追 求 本 利 俱 失 受 窮 一 生 枉 費 功 夫 漫 勞 神 力 
X67n1304_003:0348c09	其僧果落圈圚閉口無言。不辭途路奔波。擬決情懷	其 僧 果 落 圈 圚 閉 口 無 言 不 辭 途 路 奔 波 擬 決 情 懷 
X67n1304_003:0348c10	疑慮。遂至大嶺重伸詢問。是他大嶺見義勇為當仁	疑 慮 遂 至 大 嶺 重 伸 詢 問 是 他 大 嶺 見 義 勇 為 當 仁 
X67n1304_003:0348c11	不讓。便與從頭酬價道。若將三文錢與匠人和尚今	不 讓 便 與 從 頭 酬 價 道 若 將 三 文 錢 與 匠 人 和 尚 今 
X67n1304_003:0348c12	生決定不得塔。何故勞而無益。為伊多酒慢功。若將	生 決 定 不 得 塔 何 故 勞 而 無 益 為 伊 多 酒 慢 功 若 將 
X67n1304_003:0348c13	兩文錢與匠人和尚與匠人共出一隻手。兩不相虧	兩 文 錢 與 匠 人 和 尚 與 匠 人 共 出 一 隻 手 兩 不 相 虧 
X67n1304_003:0348c14	並無懸欠。若將一文錢與匠人。累他匠人眉鬚墮落。	並 無 懸 欠 若 將 一 文 錢 與 匠 人 累 他 匠 人 眉 鬚 墮 落 
X67n1304_003:0348c15	皆為疎山一毛不拔。還知林泉恁麼判斷處麼。醉漢	皆 為 疎 山 一 毛 不 拔 還 知 林 泉 恁 麼 判 斷 處 麼 醉 漢 
X67n1304_003:0348c16	口。沒量斗。閑割炒。胡廝毆。半窓凉月酒醒時。燈火清	口 沒 量 斗 閑 割 炒 胡 廝 毆 半 窓 凉 月 酒 醒 時 燈 火 清 
X67n1304_003:0348c17	熒何所有。其僧回舉似疎山。山具威儀望大嶺禮拜	熒 何 所 有 其 僧 回 舉 似 疎 山 山 具 威 儀 望 大 嶺 禮 拜 
X67n1304_003:0348c18	嘆云。將謂無人。大嶺古佛放光射至此間。此之所謂	嘆 云 將 謂 無 人 大 嶺 古 佛 放 光 射 至 此 間 此 之 所 謂 
X67n1304_003:0348c19	欲要佛法興。無過僧敬僧。豈非贊之雙美者也。疎山	欲 要 佛 法 興 無 過 僧 敬 僧 豈 非 贊 之 雙 美 者 也 疎 山 
X67n1304_003:0348c20	云。雖然如是。也是臘月蓮花。林泉道。休嫌開較晚。本	云 雖 然 如 是 也 是 臘 月 蓮 花 林 泉 道 休 嫌 開 較 晚 本 
X67n1304_003:0348c21	是強生枝。大嶺後聞此語云。我恁麼道也是龜毛長	是 強 生 枝 大 嶺 後 聞 此 語 云 我 恁 麼 道 也 是 龜 毛 長 
X67n1304_003:0348c22	三尺。林泉道。從教大嶺誇長短。一任諸方漫較量。蓋	三 尺 林 泉 道 從 教 大 嶺 誇 長 短 一 任 諸 方 漫 較 量 蓋 
X67n1304_003:0348c23	為利物情深。隨波逐浪。致使丹霞二俱看破。頌曰。	為 利 物 情 深 隨 波 逐 浪 致 使 丹 霞 二 俱 看 破 頌 曰 
X67n1304_003:0348c24	清風吹動釣魚舡(往復無際)。皷起澄江浪接天(動靜一原)。堪	清 風 吹 動 釣 魚 舡 往 復 無 際 皷 起 澄 江 浪 接 天 動 靜 一 原 堪 
X67n1304_003:0349a01	笑錦鱗爭戲水(非唯滯句者迷)。到頭俱被曲鈎牽(皆為承言者喪)。	笑 錦 鱗 爭 戲 水 非 唯 滯 句 者 迷 到 頭 俱 被 曲 鈎 牽 皆 為 承 言 者 喪 
X67n1304_003:0349a02	師云。性海汪洋。辭源浩渺。穩駕慈航。釣絲輕裊。既被	師 云 性 海 汪 洋 辭 源 浩 渺 穩 駕 慈 航 釣 絲 輕 裊 既 被 
X67n1304_003:0349a03	慧風鼓扇。不無識浪翻騰。致令遠接禪天。解使虗含	慧 風 鼓 扇 不 無 識 浪 翻 騰 致 令 遠 接 禪 天 解 使 虗 含 
X67n1304_003:0349a04	心月。引流泉之不絕。三文兩文而莫可輕酬。逗阿賭	心 月 引 流 泉 之 不 絕 三 文 兩 文 而 莫 可 輕 酬 逗 阿 賭 
X67n1304_003:0349a05	之具陳。千貫萬貫而亦難塞命。叢林衲子恣意評量。	之 具 陳 千 貫 萬 貫 而 亦 難 塞 命 叢 林 衲 子 恣 意 評 量 
X67n1304_003:0349a06	塵世高流無不[多*農]茸。若錦鱗之戲水。逐華藻之飜身。	塵 世 高 流 無 不 [多農] 茸 若 錦 鱗 之 戲 水 逐 華 藻 之 飜 身 
X67n1304_003:0349a07	口貪香餌忽吞鈎。渾似尋言逐句者。所以先德云。離	口 貪 香 餌 忽 吞 鈎 渾 似 尋 言 逐 句 者 所 以 先 德 云 離 
X67n1304_003:0349a08	心意識參。出凡聖路學。還省得麼。休被業錢閑使作。	心 意 識 參 出 凡 聖 路 學 還 省 得 麼 休 被 業 錢 閑 使 作 
X67n1304_003:0349a09	朝晡計筭費神思。	朝 晡 計 筭 費 神 思 
X67n1304_003:0349a10	第四十八則　雲居上堂(示眾)	第 四 十 八 則 雲 居 上 堂 示 眾 
X67n1304_003:0349a11	示眾云。方來便去。特教倜儻縱橫。正按傍提。祇要英	示 眾 云 方 來 便 去 特 教 倜 儻 縱 橫 正 按 傍 提 祇 要 英 
X67n1304_003:0349a12	靈俏措。且道誰恁老婆心切。	靈 俏 措 且 道 誰 恁 老 婆 心 切 
X67n1304_003:0349a13	舉雲居膺禪師上堂云。得者不輕微。明者不賤用	舉 雲 居 膺 禪 師 上 堂 云 得 者 不 輕 微 明 者 不 賤 用 
X67n1304_003:0349a14	(道合平常)。識者不咨嗟。解者無厭惡(平常合道)。從天降下則	 道 合 平 常 識 者 不 咨 嗟 解 者 無 厭 惡 平 常 合 道 從 天 降 下 則 
X67n1304_003:0349a15	貧寒(有心用處還應錯)。從地湧出則富貴(無意看時却宛然)。門裏	貧 寒 有 心 用 處 還 應 錯 從 地 湧 出 則 富 貴 無 意 看 時 却 宛 然 門 裏 
X67n1304_003:0349a16	出身易。身裏出門難(將相本無種。男兒當自強)。動則埋身千丈。	出 身 易 身 裏 出 門 難 將 相 本 無 種 男 兒 當 自 強 動 則 埋 身 千 丈 
X67n1304_003:0349a17	不動則當處生苗(直恁沒轉裏)。一言逈脫獨拔當時(根塵	不 動 則 當 處 生 苗 直 恁 沒 轉 裏 一 言 逈 脫 獨 拔 當 時 根 塵 
X67n1304_003:0349a18	如透脫。心性自圓明)。言語不要多。多則無用處(維摩一默千載難忘)。	如 透 脫 心 性 自 圓 明 言 語 不 要 多 多 則 無 用 處 維 摩 一 默 千 載 難 忘 
X67n1304_003:0349a19	師云。陞堂上堂元無二種。聚眾集眾只是一般。朝夕	師 云 陞 堂 上 堂 元 無 二 種 聚 眾 集 眾 只 是 一 般 朝 夕 
X67n1304_003:0349a20	不廢指南。便是人天眼目。自百丈以來。立禪居。設法	不 廢 指 南 便 是 人 天 眼 目 自 百 丈 以 來 立 禪 居 設 法 
X67n1304_003:0349a21	座。開闢祖道。訓誨學徒。故有頌云。入門無佛殿。說法	座 開 闢 祖 道 訓 誨 學 徒 故 有 頌 云 入 門 無 佛 殿 說 法 
X67n1304_003:0349a22	有虗堂。祇此傳心印。當知是法王。直至於今。典刑具	有 虗 堂 祇 此 傳 心 印 當 知 是 法 王 直 至 於 今 典 刑 具 
X67n1304_003:0349a23	在。當是時叢林尤盛。雲居所以依法作法。振領提綱。	在 當 是 時 叢 林 尤 盛 雲 居 所 以 依 法 作 法 振 領 提 綱 
X67n1304_003:0349a24	開發後進。豈恡慈悲。故垂語云。得者不輕微。明者不	開 發 後 進 豈 恡 慈 悲 故 垂 語 云 得 者 不 輕 微 明 者 不 
X67n1304_003:0349b01	賤用。是汝靈知不昧本有之性。不假他求匪從人得。	賤 用 是 汝 靈 知 不 昧 本 有 之 性 不 假 他 求 匪 從 人 得 
X67n1304_003:0349b02	何敢輕微賤用者邪。識者不咨嗟。解者無厭惡。既具	何 敢 輕 微 賤 用 者 邪 識 者 不 咨 嗟 解 者 無 厭 惡 既 具 
X67n1304_003:0349b03	正知正見。雙眼圓明。六根解脫。何咨嗟厭惡而可縈	正 知 正 見 雙 眼 圓 明 六 根 解 脫 何 咨 嗟 厭 惡 而 可 縈 
X67n1304_003:0349b04	繫哉。從天降下則貧寒。從地湧出則富貴。林泉曾有	繫 哉 從 天 降 下 則 貧 寒 從 地 湧 出 則 富 貴 林 泉 曾 有 
X67n1304_003:0349b05	頌云。貧富應知祇在人。乾坤元不有疎親。隨家豐儉	頌 云 貧 富 應 知 祇 在 人 乾 坤 元 不 有 疎 親 隨 家 豐 儉 
X67n1304_003:0349b06	元平等。幣服華房各任真。門裏出身易。身裏出門難。	元 平 等 幣 服 華 房 各 任 真 門 裏 出 身 易 身 裏 出 門 難 
X67n1304_003:0349b07	不見天童道。草漫漫。門裏門外君自看。荊棘林中下	不 見 天 童 道 草 漫 漫 門 裏 門 外 君 自 看 荊 棘 林 中 下 
X67n1304_003:0349b08	脚易。夜明簾外轉身難。且隨老木同寒瘠。將逐春風	脚 易 夜 明 簾 外 轉 身 難 且 隨 老 木 同 寒 瘠 將 逐 春 風 
X67n1304_003:0349b09	入燒瘢。動則埋身千丈。不動則當處生苗。若定若動	入 燒 瘢 動 則 埋 身 千 丈 不 動 則 當 處 生 苗 若 定 若 動 
X67n1304_003:0349b10	當人變弄。埋沒生苗休閑打閧。一言逈脫獨拔當時。	當 人 變 弄 埋 沒 生 苗 休 閑 打 閧 一 言 逈 脫 獨 拔 當 時 
X67n1304_003:0349b11	正是古靈道底。靈光獨耀逈脫根塵。正當此是。若是	正 是 古 靈 道 底 靈 光 獨 耀 逈 脫 根 塵 正 當 此 是 若 是 
X67n1304_003:0349b12	洒洒落落。何慮不能超群拔萃者也。雖道言語不要	洒 洒 落 落 何 慮 不 能 超 群 拔 萃 者 也 雖 道 言 語 不 要 
X67n1304_003:0349b13	多。多則無用處。點檢將來。大似擔枷過狀。揚聲止響。	多 多 則 無 用 處 點 檢 將 來 大 似 擔 枷 過 狀 揚 聲 止 響 
X67n1304_003:0349b14	祇如許一落索有用處無用處。是他丹霞自知下落。	祇 如 許 一 落 索 有 用 處 無 用 處 是 他 丹 霞 自 知 下 落 
X67n1304_003:0349b15	頌曰。	頌 曰 
X67n1304_003:0349b16	門頭戶尾事千差(徒勞屈指從頭數)。了盡猶來未到家(竛竮	門 頭 戶 尾 事 千 差 徒 勞 屈 指 從 頭 數 了 盡 猶 來 未 到 家 竛 竮 
X67n1304_003:0349b17	辛苦幾時休)。明月堂前無影木(能為萬象主)。嚴凝雪夜正開	辛 苦 幾 時 休 明 月 堂 前 無 影 木 能 為 萬 象 主 嚴 凝 雪 夜 正 開 
X67n1304_003:0349b18	花(不逐四時凋)。	花 不 逐 四 時 凋 
X67n1304_003:0349b19	師云。門門有路戶戶無私。明之者弄影搖頭。昧之者	師 云 門 門 有 路 戶 戶 無 私 明 之 者 弄 影 搖 頭 昧 之 者 
X67n1304_003:0349b20	磕天絆地。非止斜街暗巷生客頭迷。亦猶深院幽庭	磕 天 絆 地 非 止 斜 街 暗 巷 生 客 頭 迷 亦 猶 深 院 幽 庭 
X67n1304_003:0349b21	愚夫意慘。忙忙世事杳杳塵緣。污坌心田眯昏道眼。	愚 夫 意 慘 忙 忙 世 事 杳 杳 塵 緣 污 坌 心 田 眯 昏 道 眼 
X67n1304_003:0349b22	何止千差而已哉。縱使見忘執謝捨妄歸真。翳金屑	何 止 千 差 而 已 哉 縱 使 見 忘 執 謝 捨 妄 歸 真 翳 金 屑 
X67n1304_003:0349b23	於眼中。掇太山於心上。去却一兮拈得七。笑倒雲門	於 眼 中 掇 太 山 於 心 上 去 却 一 兮 拈 得 七 笑 倒 雲 門 
X67n1304_003:0349b24	六不收。所以道直饒玄會得。猶是眼中塵。此雖半路	六 不 收 所 以 道 直 饒 玄 會 得 猶 是 眼 中 塵 此 雖 半 路 
X67n1304_003:0349c01	抽身終未到其家矣。當可從偏入正。兼帶叶通。向明	抽 身 終 未 到 其 家 矣 當 可 從 偏 入 正 兼 帶 叶 通 向 明 
X67n1304_003:0349c02	月堂前受用時時九夏。於太陽門下看承日日三秋。	月 堂 前 受 用 時 時 九 夏 於 太 陽 門 下 看 承 日 日 三 秋 
X67n1304_003:0349c03	無影林中列森森之古木。大庾嶺上綻馥馥之寒梅。	無 影 林 中 列 森 森 之 古 木 大 庾 嶺 上 綻 馥 馥 之 寒 梅 
X67n1304_003:0349c04	既逢凜冽深冬。必值嚴凝雪夜。遂竪起拂子云。一花	既 逢 凜 冽 深 冬 必 值 嚴 凝 雪 夜 遂 竪 起 拂 子 云 一 花 
X67n1304_003:0349c05	五葉正開時。休往前村獨自覔。	五 葉 正 開 時 休 往 前 村 獨 自 覔 
X67n1304_003:0349c06	第四十九則　青林逕往(兔蛇)	第 四 十 九 則 青 林 逕 往 兔 蛇 
X67n1304_003:0349c07	示眾云。驀直去處決省盤纏。舉意問時不無猶豫。端	示 眾 云 驀 直 去 處 決 省 盤 纏 舉 意 問 時 不 無 猶 豫 端 
X67n1304_003:0349c08	然指出長安道。爭奈時人不肯行。莫有西出陽關要	然 指 出 長 安 道 爭 奈 時 人 不 肯 行 莫 有 西 出 陽 關 要 
X67n1304_003:0349c09	餞送者麼。	餞 送 者 麼 
X67n1304_003:0349c10	舉僧問青林虔禪師。學人徑往時如何(迂迴作麼)。林云。	舉 僧 問 青 林 虔 禪 師 學 人 徑 往 時 如 何 迂 迴 作 麼 林 云 
X67n1304_003:0349c11	死蛇當大路。勸子莫當頭(早是孩兒怕。更把麻胡諕)。僧云當頭	死 蛇 當 大 路 勸 子 莫 當 頭 早 是 孩 兒 怕 更 把 麻 胡 諕 僧 云 當 頭 
X67n1304_003:0349c12	者如何(甚的大如割捨)。林云喪子命根(心直口快)。僧云不當頭	者 如 何 甚 的 大 如 割 捨 林 云 喪 子 命 根 心 直 口 快 僧 云 不 當 頭 
X67n1304_003:0349c13	時如何(却又着忙)。林云亦無迴避處(天寬地濶無處安身)。僧云正	時 如 何 却 又 着 忙 林 云 亦 無 迴 避 處 天 寬 地 濶 無 處 安 身 僧 云 正 
X67n1304_003:0349c14	當恁麼時如何(坐着即不堪)。林云失却也(終日尋不得)。僧云	當 恁 麼 時 如 何 坐 着 即 不 堪 林 云 失 却 也 終 日 尋 不 得 僧 云 
X67n1304_003:0349c15	未審向甚麼處去(果然不知下落)。林云草深無覔處(佛眼窺不	未 審 向 甚 麼 處 去 果 然 不 知 下 落 林 云 草 深 無 覔 處 佛 眼 窺 不 
X67n1304_003:0349c16	見)。僧云和尚也須隄防始得(慈悲生患害)。林撫掌云一	見 僧 云 和 尚 也 須 隄 防 始 得 慈 悲 生 患 害 林 撫 掌 云 一 
X67n1304_003:0349c17	等是箇毒氣(明眼人前一場漏逗)。	等 是 箇 毒 氣 明 眼 人 前 一 場 漏 逗 
X67n1304_003:0349c18	師云。短長亭畔路迢遙。多幸臨岐肯見招。若遇窮途	師 云 短 長 亭 畔 路 迢 遙 多 幸 臨 岐 肯 見 招 若 遇 窮 途 
X67n1304_003:0349c19	休慟哭。縱橫無處不通霄。這僧擬乎徑往。那知已早	休 慟 哭 縱 橫 無 處 不 通 霄 這 僧 擬 乎 徑 往 那 知 已 早 
X67n1304_003:0349c20	周遮。況洞山云。向道莫去。歸來背父。故青林以死蛇	周 遮 況 洞 山 云 向 道 莫 去 歸 來 背 父 故 青 林 以 死 蛇 
X67n1304_003:0349c21	諕他。恐犯當頭於身無益。這僧不頋危亡放沒抵賴	諕 他 恐 犯 當 頭 於 身 無 益 這 僧 不 頋 危 亡 放 沒 抵 賴 
X67n1304_003:0349c22	道當頭者如何。不見雪峰示眾云。南山有條鼈鼻蛇。	道 當 頭 者 如 何 不 見 雪 峰 示 眾 云 南 山 有 條 鼈 鼻 蛇 
X67n1304_003:0349c23	汝等諸人切須好看。長慶云。今日堂中大有人喪身	汝 等 諸 人 切 須 好 看 長 慶 云 今 日 堂 中 大 有 人 喪 身 
X67n1304_003:0349c24	失命。青林舉處好本多同。這僧雖有走智未必獲安。	失 命 青 林 舉 處 好 本 多 同 這 僧 雖 有 走 智 未 必 獲 安 
X67n1304_003:0350a01	不見永嘉道。弃有著空病亦然。還如避溺而投火。設	不 見 永 嘉 道 弃 有 著 空 病 亦 然 還 如 避 溺 而 投 火 設 
X67n1304_003:0350a02	使不當頭。亦無迴避處。這僧無可奈何往前當賭道。	使 不 當 頭 亦 無 迴 避 處 這 僧 無 可 奈 何 往 前 當 賭 道 
X67n1304_003:0350a03	正當恁麼時如何。林云失却也。秤槌移到徹梢頭。忽	正 當 恁 麼 時 如 何 林 云 失 却 也 秤 槌 移 到 徹 梢 頭 忽 
X67n1304_003:0350a04	然拶落飜斤斗。這僧亦不放閑又問。未審向甚麼處	然 拶 落 飜 斤 斗 這 僧 亦 不 放 閑 又 問 未 審 向 甚 麼 處 
X67n1304_003:0350a05	去。將謂知下落。不免折便宜。豈想青林撒手離脚。當	去 將 謂 知 下 落 不 免 折 便 宜 豈 想 青 林 撒 手 離 脚 當 
X67n1304_003:0350a06	面諱却道草深無覓處。殊不知已露栓索。被伊窺破	面 諱 却 道 草 深 無 覓 處 殊 不 知 已 露 栓 索 被 伊 窺 破 
X67n1304_003:0350a07	道和尚也須隄防始得。這僧特似喫苦不甘當仁不	道 和 尚 也 須 隄 防 始 得 這 僧 特 似 喫 苦 不 甘 當 仁 不 
X67n1304_003:0350a08	讓。致使青林撫掌云一等是箇毒氣。未審這僧還知	讓 致 使 青 林 撫 掌 云 一 等 是 箇 毒 氣 未 審 這 僧 還 知 
X67n1304_003:0350a09	痛痒也無。丹霞向風恬浪靜處著眼傍觀。頌曰。	痛 痒 也 無 丹 霞 向 風 恬 浪 靜 處 著 眼 傍 觀 頌 曰 
X67n1304_003:0350a10	長江澄澈即蟾華(水月交光)。滿目清光未是家(枉恁奔波)。借	長 江 澄 澈 即 蟾 華 水 月 交 光 滿 目 清 光 未 是 家 枉 恁 奔 波 借 
X67n1304_003:0350a11	問漁舟何處去(隄防動落今時)。夜深依舊宿蘆花(切忌靜沉死水)。	問 漁 舟 何 處 去 隄 防 動 落 今 時 夜 深 依 舊 宿 蘆 花 切 忌 靜 沉 死 水 
X67n1304_003:0350a12	師云。性水真空。湛玄淵而澄江似練。禪天心月。皎祖	師 云 性 水 真 空 湛 玄 淵 而 澄 江 似 練 禪 天 心 月 皎 祖 
X67n1304_003:0350a13	域而皓彩如銀。所以道清光照眼似迷家。明白轉身	域 而 皓 彩 如 銀 所 以 道 清 光 照 眼 似 迷 家 明 白 轉 身 
X67n1304_003:0350a14	還墮位。直得正不居正偏不垂偏。恁麼會得。無死蛇	還 墮 位 直 得 正 不 居 正 偏 不 垂 偏 恁 麼 會 得 無 死 蛇 
X67n1304_003:0350a15	之可遮攔。有活句之可救濟。任伊徑往。縱汝當頭。若	之 可 遮 攔 有 活 句 之 可 救 濟 任 伊 徑 往 縱 汝 當 頭 若 
X67n1304_003:0350a16	能明得劫初時。愁甚草深無覓處。且恁收綸罷釣趍	能 明 得 劫 初 時 愁 甚 草 深 無 覓 處 且 恁 收 綸 罷 釣 趍 
X67n1304_003:0350a17	岸停舟。不消借問緣由。何必追求去處。兩頭截斷中	岸 停 舟 不 消 借 問 緣 由 何 必 追 求 去 處 兩 頭 截 斷 中 
X67n1304_003:0350a18	道非安。向夜深時撥轉舡頭。於水寒處不離沙觜。既	道 非 安 向 夜 深 時 撥 轉 舡 頭 於 水 寒 處 不 離 沙 觜 既 
X67n1304_003:0350a19	依舊曾宿蘆花。想從此不虧蒻笠。若解隨流深得妙。	依 舊 曾 宿 蘆 花 想 從 此 不 虧 蒻 笠 若 解 隨 流 深 得 妙 
X67n1304_003:0350a20	肯教住岸即迷源。	肯 教 住 岸 即 迷 源 
X67n1304_003:0350a22	林泉老人評唱丹霞淳禪師頌古虗堂集卷三	林 泉 老 人 評 唱 丹 霞 淳 禪 師 頌 古 虗 堂 集 卷 三 
X67n1304_004:0350b03	林泉老人評唱丹霞淳禪師頌古虗堂集卷四	林 泉 老 人 評 唱 丹 霞 淳 禪 師 頌 古 虗 堂 集 卷 四 
X67n1304_004:0350b05	後學性一閱	後 學 性 一 閱 
X67n1304_004:0350b06	生生道人梓	生 生 道 人 梓 
X67n1304_004:0350b07	第五十則　二鼠侵藤(飛走)	第 五 十 則 二 鼠 侵 藤 飛 走 
X67n1304_004:0350b08	示眾云。潛續命根故有生而有滅。圓成道果本無去	示 眾 云 潛 續 命 根 故 有 生 而 有 滅 圓 成 道 果 本 無 去 
X67n1304_004:0350b09	以無來。任伊利齒靈牙。一任橫囓竪咬。正當此時與	以 無 來 任 伊 利 齒 靈 牙 一 任 橫 囓 竪 咬 正 當 此 時 與 
X67n1304_004:0350b10	解腕者麼。	解 腕 者 麼 
X67n1304_004:0350b11	舉僧問龍牙遁禪師。二鼠侵藤時如何(禍不單行)。牙云	舉 僧 問 龍 牙 遁 禪 師 二 鼠 侵 藤 時 如 何 禍 不 單 行 牙 云 
X67n1304_004:0350b12	須有隱身處始得(指示分明)。僧云如何是隱身處(聞風便颺)。	須 有 隱 身 處 始 得 指 示 分 明 僧 云 如 何 是 隱 身 處 聞 風 便 颺 
X67n1304_004:0350b13	牙云還見儂家麼(眼巧不如樣子比)。	牙 云 還 見 儂 家 麼 眼 巧 不 如 樣 子 比 
X67n1304_004:0350b14	師舉賓頭盧為優填王說法經云。我今為王略說譬	師 舉 賓 頭 盧 為 優 填 王 說 法 經 云 我 今 為 王 略 說 譬 
X67n1304_004:0350b15	喻。王志心聽。昔日有人於曠路中逢大惡象之所馳。	喻 王 志 心 聽 昔 日 有 人 於 曠 路 中 逢 大 惡 象 之 所 馳 
X67n1304_004:0350b16	逐狂懼走。突無所依怙。見一丘井。即時尋樹入。井中	逐 狂 懼 走 突 無 所 依 怙 見 一 丘 井 即 時 尋 樹 入 井 中 
X67n1304_004:0350b17	藏有黑白二鼠牙囓樹根。此井四邊有四毒蛇欲螫	藏 有 黑 白 二 鼠 牙 囓 樹 根 此 井 四 邊 有 四 毒 蛇 欲 螫 
X67n1304_004:0350b18	其人。而此井下有三毒龍。旁畏四蛇下畏毒龍。所攀	其 人 而 此 井 下 有 三 毒 龍 旁 畏 四 蛇 下 畏 毒 龍 所 攀 
X67n1304_004:0350b19	之樹其根動搖。樹上有蜜兩三滴墮其口中。於時動	之 樹 其 根 動 搖 樹 上 有 蜜 兩 三 滴 墮 其 口 中 於 時 動 
X67n1304_004:0350b20	搖敲擊蜂窩。眾蜂散飛唼螫其人。有野火起復來燒	搖 敲 擊 蜂 窩 眾 蜂 散 飛 唼 螫 其 人 有 野 火 起 復 來 燒 
X67n1304_004:0350b21	樹。大王。當知此人苦惱不可稱計。而彼得味甚少。苦	樹 大 王 當 知 此 人 苦 惱 不可稱計 而 彼 得 味 甚 少 苦 
X67n1304_004:0350b22	患甚多。大王。曠野者喻於生死。彼男子者喻於凡夫。	患 甚 多 大 王 曠 野 者 喻 於 生 死 彼 男 子 者 喻 於 凡 夫 
X67n1304_004:0350b23	象喻於無常。井喻於人身。樹喻於人命。黑白二鼠喻	象 喻 於 無 常 井 喻 於 人 身 樹 喻 於 人 命 黑 白 二 鼠 喻 
X67n1304_004:0350b24	於晝夜。樹根者喻念念滅。四毒蛇者喻於四大。蜜者	於 晝 夜 樹 根 者 喻 念 念 滅 四 毒 蛇 者 喻 於 四 大 蜜 者 
X67n1304_004:0350c01	喻於五欲。眾蜂喻惡覺。野火者喻於老邁。下三毒龍	喻 於 五 欲 眾 蜂 喻 惡 覺 野 火 者 喻 於 老 邁 下 三 毒 龍 
X67n1304_004:0350c02	喻於死亡墮三惡道。是故當知。欲味甚少。苦患甚多。	喻 於 死 亡 墮 三 惡 道 是故當知 欲 味 甚 少 苦 患 甚 多 
X67n1304_004:0350c03	這僧既知是事。怎不著忙而求決擇。牙亦不負來問。	這 僧 既 知 是 事 怎 不 著 忙 而 求 決 擇 牙 亦 不 負 來 問 
X67n1304_004:0350c04	具實指示道須有隱身處始得。這僧的的欲離生死。	具 實 指 示 道 須 有 隱 身 處 始 得 這 僧 的 的 欲 離 生 死 
X67n1304_004:0350c05	聞斯一語怎不根尋道如何是隱身處。牙不惜情劈	聞 斯 一 語 怎 不 根 尋 道 如 何 是 隱 身 處 牙 不 惜 情 劈 
X67n1304_004:0350c06	面便道還見儂家麼。昔鹽官會下有一主事僧。忽見	面 便 道 還 見 儂 家 麼 昔 鹽 官 會 下 有 一 主 事 僧 忽 見 
X67n1304_004:0350c07	一鬼使來追。僧告曰。某甲身為主事。未暇修行。乞容	一 鬼 使 來 追 僧 告 曰 某 甲 身 為 主 事 未 暇 修 行 乞 容 
X67n1304_004:0350c08	七日得否。使曰待為白王。若許七日後來。不然須臾	七 日 得 否 使 曰 待 為 白 王 若 許 七 日 後 來 不 然 須 臾 
