X51n0825_001:0454b06	 序〔龍省〕	 序 龍 省 
X51n0825_001:0483a07	○五無想天染(二)	 五 無 想 天 染 二 
X51n0825_001:0483a08	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0483a09	次釋成經義(二)	次 釋 成 經 義 二 
X51n0825_001:0483a10	初正釋(二)	初 正 釋 二 
X51n0825_001:0483a11	初明無意無想非染(謂)	初 明 無 意 無 想 非 染 謂 
X51n0825_001:0483a12	次明無意展轉有過(初)	次 明 無 意 展 轉 有 過 初 
X51n0825_001:0483a13	次結示(故)	次 結 示 故 
X51n0825_001:0483a15	○六三性心染(二)	 六 三 性 心 染 二 
X51n0825_001:0483a16	初引經證有(又)	初 引 經 證 有 又 
X51n0825_001:0483a17	次釋成經義(二)	次 釋 成 經 義 二 
X51n0825_001:0483a18	初正釋(二)	初 正 釋 二 
X51n0825_001:0483a19	初約相縛釋(二)	初 約 相 縛 釋 二 
X51n0825_001:0483a20	初釋(謂)	初 釋 謂 
X51n0825_001:0483a21	次證(三)	次 證 三 
X51n0825_001:0483a22	初引文(故)	初 引 文 故 
X51n0825_001:0483a23	次釋義(言)	次 釋 義 言 
X51n0825_001:0483a24	三重證(依)	三 重 證 依 
X51n0825_001:0483a25	次約成漏釋(二)	次 約 成 漏 釋 二 
X51n0825_001:0483a26	初簡六識等不能成漏(四)	初 簡 六 識 等 不 能 成 漏 四 
X51n0825_001:0483a27	初簡煩惱(又)	初 簡 煩 惱 又 
X51n0825_001:0483a28	二簡隨眠(又)	二 簡 隨 眠 又 
X51n0825_001:0483a29	三簡漏種(亦)	三 簡 漏 種 亦 
X51n0825_001:0483a30	四簡染引(雖)	四 簡 染 引 雖 
X51n0825_001:0483a31	次正明六七互益成漏(三)	次 正 明 六 七 互 益 成 漏 三 
X51n0825_001:0483a32	初正釋(然)	初 正 釋 然 
X51n0825_001:0483a33	次釋難(無)	次 釋 難 無 
X51n0825_001:0483a34	三結成(由)	三 結 成 由 
X51n0825_001:0483a35	次結示(故)	次 結 示 故 
X51n0825_001:0483a37	○三指廣勸信(證)	 三 指 廣 勸 信 證 
X51n0825_001:0483a39	○三通妨總結(然)	 三 通 妨 總 結 然 
X51n0825_001:0483a41	○三第三能變(二)	 三 第 三 能 變 二 
X51n0825_001:0483a42	初明差別等前六門(二)	初 明 差 別 等 前 六 門 二 
X51n0825_001:0483a43	初廣釋六門(二)	初 廣 釋 六 門 二 
X51n0825_001:0483a44	初釋前四門(三)	初 釋 前 四 門 三 
X51n0825_001:0483a45	初結前問後(如)	初 結 前 問 後 如 
X51n0825_001:0483a46	次舉本頌答(頌)	次 舉 本 頌 答 頌 
X51n0825_001:0483a47	三末論釋成(三)	三 末 論 釋 成 三 
X51n0825_001:0483a48	初差別門(二)	初 差 別 門 二 
X51n0825_001:0483a49	初標(論)	初 標 論 
X51n0825_001:0483a50	次釋(二)	次 釋 二 
X51n0825_001:0483a51	初正釋立名(二)	初 正 釋 立 名 二 
X51n0825_001:0483a52	初隨根立名(二)	初 隨 根 立 名 二 
X51n0825_001:0483a53	初正釋(謂)	初 正 釋 謂 
X51n0825_001:0483a54	次簡濫(雖)	次 簡 濫 雖 
X51n0825_001:0483a55	次隨境立名(二)	次 隨 境 立 名 二 
X51n0825_001:0483a56	初正釋(或)	初 正 釋 或 
X51n0825_001:0483a57	次簡濫(二)	次 簡 濫 二 
X51n0825_001:0483a58	初約六名簡(色)	初 約 六 名 簡 色 
X51n0825_001:0483a59	次約轉依簡(二)	次 約 轉 依 簡 二 
X51n0825_001:0483a60	初正簡(此)	初 正 簡 此 
X51n0825_001:0483a61	次釋妨(莊)	次 釋 妨 莊 
X51n0825_001:0483a62	次結指依緣(然)	次 結 指 依 緣 然 
X51n0825_001:0483a63	次性相二門(二)	次 性 相 二 門 二 
X51n0825_001:0483a64	初正釋(次)	初 正 釋 次 
X51n0825_001:0483a65	次引證(如)	次 引 證 如 
X51n0825_001:0483a66	三三性門(二)	三 三 性 門 二 
X51n0825_001:0484a01	初問答總標(此)	初 問 答 總 標 此 
X51n0825_001:0484a02	次正釋頌義(二)	次 正 釋 頌 義 二 
X51n0825_001:0484a03	初未轉依(三)	初 未 轉 依 三 
X51n0825_001:0484a04	初釋三性義(二)	初 釋 三 性 義 二 
X51n0825_001:0484a05	初別釋俱非(俱)	初 別 釋 俱 非 俱 
X51n0825_001:0484a06	次通釋三性(三)	次 通 釋 三 性 三 
X51n0825_001:0484a07	初善性(能)	初 善 性 能 
X51n0825_001:0484a08	次不善性(能)	次 不 善 性 能 
X51n0825_001:0484a09	三無記性(於)	三 無 記 性 於 
X51n0825_001:0484a10	次示三性相(此)	次 示 三 性 相 此 
X51n0825_001:0484a11	三明俱不俱(二)	三 明 俱 不 俱 二 
X51n0825_001:0484a12	初師不俱(二)	初 師 不 俱 二 
X51n0825_001:0484a13	初正釋(有)	初 正 釋 有 
X51n0825_001:0484a14	次通妨(瑜)	次 通 妨 瑜 
X51n0825_001:0484a15	次師容俱(三)	次 師 容 俱 三 
X51n0825_001:0484a16	初正釋(有)	初 正 釋 有 
X51n0825_001:0484a17	次引證(二)	次 引 證 二 
X51n0825_001:0484a18	初引瑜伽論(三)	初 引 瑜 伽 論 三 
X51n0825_001:0484a19	初引文(故)	初 引 文 故 
X51n0825_001:0484a20	次釋義(在)	次 釋 義 在 
X51n0825_001:0484a21	三重證(諸)	三 重 證 諸 
X51n0825_001:0484a22	次會雜集論(雜)	次 會 雜 集 論 雜 
X51n0825_001:0484a23	三結示(若)	三 結 示 若 
X51n0825_001:0484a24	次已轉依(得)	次 已 轉 依 得 
X51n0825_001:0484a25	次釋後二門(二)	次 釋 後 二 門 二 
X51n0825_001:0484a26	初略標心所廣釋受俱(三)	初 略 標 心 所 廣 釋 受 俱 三 
X51n0825_001:0484a27	初末論設問(六)	初 末 論 設 問 六 
X51n0825_001:0484a28	次本論頌答(頌)	次 本 論 頌 答 頌 
X51n0825_001:0484a29	三末諸釋成(二)	三 末 諸 釋 成 二 
X51n0825_001:0484a30	初略釋六位心所(二)	初 略 釋 六 位 心 所 二 
X51n0825_001:0484a31	初總標(論)	初 總 標 論 
X51n0825_001:0484a32	次別釋(二)	次 別 釋 二 
X51n0825_001:0484a33	初釋心所名義(二)	初 釋 心 所 名 義 二 
X51n0825_001:0484a34	初約三義釋(恒)	初 約 三 義 釋 恒 
X51n0825_001:0484a35	次約助事釋(二)	次 約 助 事 釋 二 
X51n0825_001:0484a36	初正釋(心)	初 正 釋 心 
X51n0825_001:0484a37	次引證(二)	次 引 證 二 
X51n0825_001:0484a38	初證徧行別境(二)	初 證 徧 行 別 境 二 
X51n0825_001:0484a39	初證徧行(故)	初 證 徧 行 故 
X51n0825_001:0484a40	次證別境(餘)	次 證 別 境 餘 
X51n0825_001:0484a41	次例善等四位(由)	次 例 善 等 四 位 由 
X51n0825_001:0484a42	次釋六位顯別(二)	次 釋 六 位 顯 別 二 
X51n0825_001:0484a43	初標列(雖)	初 標 列 雖 
X51n0825_001:0484a44	次釋義(二)	次 釋 義 二 
X51n0825_001:0484a45	初明六位總名(一)	初 明 六 位 總 名 一 
X51n0825_001:0484a46	次辯種類差別(然)	次 辯 種類差別 然 
X51n0825_001:0484a47	次廣釋三受相應(二)	次 廣 釋 三 受 相 應 二 
X51n0825_001:0484a48	初未轉依(二)	初 未 轉 依 二 
X51n0825_001:0484a49	初明六識受俱不俱(二)	初 明 六 識 受 俱 不 俱 二 
X51n0825_001:0484a50	初總標(此)	初 總 標 此 
X51n0825_001:0484a51	次別釋(六)	次 別 釋 六 
X51n0825_001:0484a52	初明三受相(領)	初 明 三 受 相 領 
X51n0825_001:0485a01	二明三各分二(如)	二 明 三 各 分 二 如 
X51n0825_001:0485a02	三明三各分三(或)	三 明 三 各 分 三 或 
X51n0825_001:0485a03	四三總分四(或)	四 三 總 分 四 或 
X51n0825_001:0485a04	五三各分四(三)	五 三 各 分 四 三 
X51n0825_001:0485a05	初標(有)	初 標 有 
X51n0825_001:0485a06	次釋(二)	次 釋 二 
X51n0825_001:0485a07	初正釋(五)	初 正 釋 五 
X51n0825_001:0485a08	次引證(二)	次 引 證 二 
X51n0825_001:0485a09	初瑜伽(瑜)	初 瑜 伽 瑜 
X51n0825_001:0485a10	次雜集(雜)	次 雜 集 雜 
X51n0825_001:0485a11	三結(故)	三 結 故 
X51n0825_001:0485a12	六總分五(二)	六 總 分 五 二 
X51n0825_001:0485a13	初正分五(或)	初 正 分 五 或 
X51n0825_001:0485a14	次對六識(二)	次 對 六 識 二 
X51n0825_001:0485a15	初適悅受(諸)	初 適 悅 受 諸 
X51n0825_001:0485a16	次逼迫受(二)	次 逼 迫 受 二 
X51n0825_001:0485a17	初標(諸)	初 標 諸 
X51n0825_001:0485a18	次釋(二)	次 釋 二 
X51n0825_001:0485a19	初對五識(五)	初 對 五 識 五 
X51n0825_001:0485a20	次對第六(二)	次 對 第 六 二 
X51n0825_001:0485a21	初標(意)	初 標 意 
X51n0825_001:0485a22	次釋(二)	次 釋 二 
X51n0825_001:0485a23	初師唯憂(三)	初 師 唯 憂 三 
X51n0825_001:0485a24	初立義(有)	初 立 義 有 
X51n0825_001:0485a25	次引證(瑜)	次 引 證 瑜 
X51n0825_001:0485a26	三結况(故)	三 結 况 故 
X51n0825_001:0485a27	次師通二(四)	次 師 通 二 四 
X51n0825_001:0485a28	初立義(有)	初 立 義 有 
X51n0825_001:0485a29	二引證(三)	二 引 證 三 
X51n0825_001:0485a30	初證第六俱生煩惱通三受(瑜)	初 證 第 六 俱 生 煩 惱 通 三 受 瑜 
X51n0825_001:0485a31	次證第六俱生二見屬苦根(又)	次 證 第 六 俱 生 二 見 屬 苦 根 又 
X51n0825_001:0485a32	三證純苦趣中唯苦根(三)	三 證 純 苦 趣 中 唯 苦 根 三 
X51n0825_001:0485a33	初引文(又)	初 引 文 又 
X51n0825_001:0485a34	次釋成(餘)	次 釋 成 餘 
X51n0825_001:0485a35	三料簡(三)	三 料 簡 三 
X51n0825_001:0485a36	初正簡(二)	初 正 簡 二 
X51n0825_001:0485a37	初正對初師簡七八二根(二)	初 正 對 初 師 簡 七 八 二 根 二 
X51n0825_001:0485a38	初簡意根(二)	初 簡 意 根 二 
X51n0825_001:0485a39	初師難捨根立意根為第七(豈)	初 師 難 捨 根 立 意 根 為 第 七 豈 
X51n0825_001:0485a40	次師破意根立捨根為第八(應)	次 師 破 意 根 立 捨 根 為 第 八 應 
X51n0825_001:0485a41	次簡憂根(二)	次 簡 憂 根 二 
X51n0825_001:0485a42	初師(縱許捨根為第七立)憂根為第八(不)	初 師 縱 許 捨 根 為 第 七 立 憂 根 為 第 八 不 
X51n0825_001:0485a43	次師(奪破憂根為第八立)苦根為第七(若)	次 師 奪 破 憂 根 為 第 八 立 苦 根 為 第 七 若 
X51n0825_001:0485a44	次兼簡執喜根等為第八(有)	次 兼 簡 執 喜 根 等 為 第 八 有 
X51n0825_001:0485a45	次結示(二)	次 結 示 二 
X51n0825_001:0485a46	初正示(由)	初 正 示 由 
X51n0825_001:0485a47	次通妨(餘)	次 通 妨 餘 
X51n0825_001:0485a48	三通前引教(二)	三 通 前 引 教 二 
X51n0825_001:0485a49	初正通所引(二)	初 正 通 所 引 二 
X51n0825_001:0485a50	初諸教(然)	初 諸 教 然 
X51n0825_001:0485a51	次瑜伽(瑜)	次 瑜 伽 瑜 
X51n0825_001:0485a52	次重通教意(二)	次 重 通 教 意 二 
X51n0825_001:0485a53	初約類(又)	初 約 類 又 
X51n0825_001:0485a54	次舉例(二)	次 舉 例 二 
X51n0825_001:0485a55	初正例(或)	初 正 例 或 
X51n0825_001:0485a56	次釋妨(然)	次 釋 妨 然 
X51n0825_001:0485a57	四總結指廣(由)	四 總 結 指 廣 由 
X51n0825_001:0485a58	次明六識三受俱不俱(二)	次 明 六 識 三 受 俱 不 俱 二 
X51n0825_001:0485a59	初師不俱(有)	初 師 不 俱 有 
X51n0825_001:0485a60	次師客俱(有)	次 師 客 俱 有 
X51n0825_001:0485a61	次已轉依(得)	次 已 轉 依 得 
X51n0825_001:0485a62	次廣釋六位心所別相○	次 廣 釋 六 位 心 所 別 相 
X51n0825_001:0485a63	次總示二諦○	次 總 示 二 諦 
X51n0825_001:0485a64	次明共依等後三門○	次 明 共 依 等 後 三 門 
X51n0825_001:0485a66	○次廣釋六位心所別相(五)	 次 廣 釋 六 位 心 所 別 相 五 
X51n0825_001:0485a67	初徧行別境(三)	初 徧 行 別 境 三 
X51n0825_001:0486a01	初躡前標問(前)	初 躡 前 標 問 前 
X51n0825_001:0486a02	次舉本頌答(頌)	次 舉 本 頌 答 頌 
X51n0825_001:0486a03	三末論釋成(二)	三 末 論 釋 成 二 
X51n0825_001:0486a04	初徧行(二)	初 徧 行 二 
X51n0825_001:0486a05	初指前已說(論)	初 指 前 已 說 論 
X51n0825_001:0486a06	次教理證成(二)	次 教 理 證 成 二 
X51n0825_001:0486a07	初徵(此)	初 徵 此 
X51n0825_001:0486a08	次釋(三)	次 釋 三 
X51n0825_001:0486a09	初略標(由)	初 略 標 由 
X51n0825_001:0486a10	次正釋(二)	次 正 釋 二 
X51n0825_001:0486a11	初引教(二)	初 引 教 二 
X51n0825_001:0486a12	初釋(二)	初 釋 二 
X51n0825_001:0486a13	初證四種(此)	初 證 四 種 此 
X51n0825_001:0486a14	次證作意(又)	次 證 作 意 又 
X51n0825_001:0486a15	次結(此)	次 結 此 
X51n0825_001:0486a16	次引理(理)	次 引 理 理 
X51n0825_001:0486a17	三結證(理)	三 結 證 理 
X51n0825_001:0486a18	次別境(三)	次 別 境 三 
X51n0825_001:0486a19	初正釋體用(三)	初 正 釋 體 用 三 
X51n0825_001:0486a20	初釋別境通名(次)	初 釋 別 境 通 名 次 
X51n0825_001:0486a21	次釋欲等別名(五)	次 釋 欲 等 別 名 五 
X51n0825_001:0486a22	初釋欲(二)	初 釋 欲 二 
X51n0825_001:0486a23	初明正義(二)	初 明 正 義 二 
X51n0825_001:0486a24	初略明(云)	初 略 明 云 
X51n0825_001:0486a25	次轉釋(三)	次 轉 釋 三 
X51n0825_001:0486a26	初師約可欣釋(三)	初 師 約 可 欣 釋 三 
X51n0825_001:0486a27	初正釋(有)	初 正 釋 有 
X51n0825_001:0486a28	次釋妨(二)	次 釋 妨 二 
X51n0825_001:0486a29	初難(於)	初 難 於 
X51n0825_001:0486a30	次釋(此)	次 釋 此 
X51n0825_001:0486a31	三簡示(故)	三 簡 示 故 
X51n0825_001:0486a32	次師約所求釋(有)	次 師 約 所 求 釋 有 
X51n0825_001:0486a33	三師約欲觀釋(有)	三 師 約 欲 觀 釋 有 
X51n0825_001:0486a34	次斥異解(二)	次 斥 異 解 二 
X51n0825_001:0486a35	初敘(有)	初 敘 有 
X51n0825_001:0486a36	次破(三)	次 破 三 
X51n0825_001:0486a37	初正破(彼)	初 正 破 彼 
X51n0825_001:0486a38	次例破(如)	次 例 破 如 
X51n0825_001:0486a39	三通經(故)	三 通 經 故 
X51n0825_001:0486a40	二釋解(二)	二 釋 解 二 
X51n0825_001:0486a41	初明正義(三)	初 明 正 義 三 
X51n0825_001:0486a42	初略明(云)	初 略 明 云 
X51n0825_001:0486a43	次轉釋(謂)	次 轉 釋 謂 
X51n0825_001:0486a44	三簡示(故)	三 簡 示 故 
X51n0825_001:0486a45	次斥異解(二)	次 斥 異 解 二 
X51n0825_001:0486a46	初敘(有)	初 敘 有 
X51n0825_001:0486a47	次破(彼)	次 破 彼 
X51n0825_001:0486a48	三釋念(二)	三 釋 念 二 
X51n0825_001:0486a49	初明正義(三)	初 明 正 義 三 
X51n0825_001:0486a50	初略明(云)	初 略 明 云 
X51n0825_001:0486a51	次轉釋(謂)	次 轉 釋 謂 
X51n0825_001:0486a52	三簡示(於)	三 簡 示 於 
X51n0825_001:0486a53	次斥異解(二)	次 斥 異 解 二 
X51n0825_001:0486a54	初敘(有)	初 敘 有 
X51n0825_001:0487a01	次破(彼)	次 破 彼 
X51n0825_001:0487a02	四釋定(二)	四 釋 定 二 
X51n0825_001:0487a03	初明正義(三)	初 明 正 義 三 
X51n0825_001:0487a04	初異明(云)	初 異 明 云 
X51n0825_001:0487a05	次轉釋(二)	次 轉 釋 二 
X51n0825_001:0487a06	初釋體用(謂)	初 釋 體 用 謂 
X51n0825_001:0487a07	次釋專注(心)	次 釋 專 注 心 
X51n0825_001:0487a08	三簡示(若)	三 簡 示 若 
X51n0825_001:0487a09	次斥異解(二)	次 斥 異 解 二 
X51n0825_001:0487a10	初破徧行(二)	初 破 徧 行 二 
X51n0825_001:0487a11	初敘(有)	初 敘 有 
X51n0825_001:0487a12	次破(應)	次 破 應 
X51n0825_001:0487a13	次破即心(二)	次 破 即 心 二 
X51n0825_001:0487a14	初敘(有)	初 敘 有 
X51n0825_001:0487a15	次破(彼)	次 破 彼 
X51n0825_001:0487a16	五釋慧(二)	五 釋 慧 二 
X51n0825_001:0487a17	初明正義(二)	初 明 正 義 二 
X51n0825_001:0487a18	初略明(云)	初 略 明 云 
X51n0825_001:0487a19	次轉釋(證)	次 轉 釋 證 
X51n0825_001:0487a20	三簡示(於)	三 簡 示 於 
X51n0825_001:0487a21	次斥異解(二)	次 斥 異 解 二 
X51n0825_001:0487a22	初敘(有)	初 敘 有 
X51n0825_001:0487a23	次破(諸)	次 破 諸 
X51n0825_001:0487a24	三結示非徧行○	三 結 示 非 徧 行 
X51n0825_001:0487a25	次現起分位○	次 現 起 分 位 
X51n0825_001:0487a26	三諸門分別○	三 諸 門 分 別 
X51n0825_001:0487a27	二善位心所○	二 善 位 心 所 
X51n0825_001:0487a28	三根本煩惱○	三 根本煩惱 
X51n0825_001:0487a29	四諸隨煩惱○	四 諸 隨 煩 惱 
X51n0825_001:0487a30	五不定心所○	五 不 定 心 所 
X51n0825_001:0487a32	○三結示非徧行(然)	 三 結 示 非 徧 行 然 
X51n0825_001:0487a34	○次現起分位(二)	 次 現 起 分 位 二 
X51n0825_001:0487a35	初師定俱定(有)	初 師 定 俱 定 有 
X51n0825_001:0487a36	次師不定俱(二)	次 師 不 定 俱 二 
X51n0825_001:0487a37	初總明不定(有)	初 總 明 不 定 有 
X51n0825_001:0487a38	次別申正釋(二)	次 別 申 正 釋 二 
X51n0825_001:0487a39	初明起位(二)	初 明 起 位 二 
X51n0825_001:0487a40	初別明(五)	初 別 明 五 
X51n0825_001:0487a41	初起一(應)	初 起 一 應 
X51n0825_001:0487a42	二起二(或)	二 起 二 或 
X51n0825_001:0487a43	三起三(或)	三 起 三 或 
X51n0825_001:0487a44	四起四(或)	四 起 四 或 
X51n0825_001:0487a45	五起五(或)	五 起 五 或 
X51n0825_001:0487a46	次總結(如)	次 總 結 如 
X51n0825_001:0487a47	次明不起(或)	次 明 不 起 或 
X51n0825_001:0487a49	○三諸門分別(二)	 三 諸 門 分 別 二 
X51n0825_001:0487a50	初諸識相應門(二)	初 諸 識 相 應 門 二 
X51n0825_001:0487a51	初後三識(第)	初 後 三 識 第 
X51n0825_001:0487a52	次前五識(二)	次 前 五 識 二 
X51n0825_001:0487a53	初師無五(有)	初 師 無 五 有 
X51n0825_001:0487a54	次師有五(二)	次 師 有 五 二 
X51n0825_001:0487a55	初未轉依位容有(有)	初 未 轉 依 位 容 有 有 
X51n0825_001:0487a56	次已轉依位定有(未)	次 已 轉 依 位 定 有 未 
X51n0825_001:0487a57	次諸受相應門(二)	次 諸 受 相 應 門 二 
X51n0825_001:0487a58	初徵(此)	初 徵 此 
X51n0825_001:0487a59	次釋(二)	次 釋 二 
X51n0825_001:0487a60	初師有相應不相應(有)	初 師 有 相應不相應 有 
X51n0825_001:0487a61	次師一切五受相應(有)	次 師 一 切 五 受 相 應 有 
X51n0825_001:0487a62	三結例餘諸門(此)	三 結 例 餘 諸 門 此 
X51n0825_001:0487a64	成唯識論音響補遺科文卷上	成 唯 識 論 音 響 補 遺 科 文 卷 上 
X51n0825_002:0488a01	成唯識論音響補遺科文卷下	成 唯 識 論 音 響 補 遺 科 文 卷 下 
X51n0825_002:0488a03	第六卷	第 六 卷 
X51n0825_002:0488a05	○二善位心所(三)	 二 善 位 心 所 三 
X51n0825_002:0488a06	初結前問後(巳)	初 結 前 問 後 巳 
X51n0825_002:0488a07	次舉本顯答(頌)	次 舉 本 顯 答 頌 
X51n0825_002:0488a08	三末論釋成(三)	三 末 論 釋 成 三 
X51n0825_002:0488a09	初正釋頌文(二)	初 正 釋 頌 文 二 
X51n0825_002:0488a10	初總標(論)	初 總 標 論 
X51n0825_002:0488a11	次別釋(二)	次 別 釋 二 
X51n0825_002:0488a12	初釋信等(八)	初 釋 信 等 八 
X51n0825_002:0488a13	初釋信(二)	初 釋 信 二 
X51n0825_002:0488a14	初明正義(二)	初 明 正 義 二 
X51n0825_002:0488a15	初正釋(二)	初 正 釋 二 
X51n0825_002:0488a16	初略明(云)	初 略 明 云 
X51n0825_002:0488a17	次轉釋(能)	次 轉 釋 能 
X51n0825_002:0488a18	次料簡(二)	次 料 簡 二 
X51n0825_002:0488a19	初簡自相(二)	初 簡 自 相 二 
X51n0825_002:0488a20	初問(忍)	初 問 忍 
X51n0825_002:0488a21	次答(豈)	次 答 豈 
X51n0825_002:0488a22	次簡心淨(二)	次 簡 心 淨 二 
X51n0825_002:0488a23	初問(此)	初 問 此 
X51n0825_002:0488a24	次答(此)	次 答 此 
X51n0825_002:0488a25	次斥異解(有)	次 斥 異 解 有 
X51n0825_002:0488a26	二釋慚愧(二)	二 釋 慚 愧 二 
X51n0825_002:0488a27	初正釋(二)	初 正 釋 二 
X51n0825_002:0488a28	初慚(云)	初 慚 云 
X51n0825_002:0488a29	次愧(云)	次 愧 云 
X51n0825_002:0488a30	次料簡(三)	次 料 簡 三 
X51n0825_002:0488a31	初標會顯揚(差)	初 標 會 顯 揚 差 
X51n0825_002:0488a32	次正簡通別(二)	次 正 簡 通 別 二 
X51n0825_002:0488a33	初難簡外宗執通為別(若)	初 難 簡 外 宗 執 通 為 別 若 
X51n0825_002:0488a34	次反難內宗別相同通(二)	次 反 難 內 宗 別 相 同 通 二 
X51n0825_002:0488a35	初難別相同通(二)	初 難 別 相 同 通 二 
X51n0825_002:0488a36	初難(崇)	初 難 崇 
X51n0825_002:0488a37	次釋(雖)	次 釋 雖 
X51n0825_002:0488a38	次救通有別義(二)	次 救 通 有 別 義 二 
X51n0825_002:0488a39	初救(豈)	初 救 豈 
X51n0825_002:0488a40	次破(汝)	次 破 汝 
X51n0825_002:0488a41	三復通聖教(然)	三 復 通 聖 教 然 
X51n0825_002:0488a42	三釋無貪等(二)	三 釋 無 貪 等 二 
X51n0825_002:0488a43	初總明(無)	初 總 明 無 
X51n0825_002:0488a44	次別釋(二)	次 別 釋 二 
X51n0825_002:0488a45	初釋前二(二)	初 釋 前 二 二 
X51n0825_002:0488a46	初別釋(二)	初 別 釋 二 
X51n0825_002:0488a47	初無貪(云)	初 無 貪 云 
X51n0825_002:0488a48	次無嗔(云)	次 無 嗔 云 
X51n0825_002:0488a49	次通簡(善)	次 通 簡 善 
X51n0825_002:0488a50	次釋無癡(二)	次 釋 無 癡 二 
X51n0825_002:0488a51	初正釋(云)	初 正 釋 云 
X51n0825_002:0488a52	次料簡(二)	次 料 簡 二 
X51n0825_002:0488a53	初師即慧(有)	初 師 即 慧 有 
X51n0825_002:0489a01	次師非慧(四)	次 師 非 慧 四 
X51n0825_002:0489a02	初正明有體(有)	初 正 明 有 體 有 
X51n0825_002:0489a03	二斥前解非(若)	二 斥 前 解 非 若 
X51n0825_002:0489a04	三通前引論(然)	三 通 前 引 論 然 
X51n0825_002:0489a05	四釋成有體(以)	四 釋 成 有 體 以 
X51n0825_002:0489a06	四釋勤(二)	四 釋 勤 二 
X51n0825_002:0489a07	初略明(勤)	初 略 明 勤 
X51n0825_002:0489a08	次轉釋(二)	次 轉 釋 二 
X51n0825_002:0489a09	初總表唯善(勇)	初 總 表 唯 善 勇 
X51n0825_002:0489a10	次別明差別(此)	次 別 明 差 別 此 
X51n0825_002:0489a11	五釋輕安(安)	五 釋 輕 安 安 
X51n0825_002:0489a12	六釋不放逸(二)	六 釋 不 放 逸 二 
X51n0825_002:0489a13	初正釋(三)	初 正 釋 三 
X51n0825_002:0489a14	初略明(不)	初 略 明 不 
X51n0825_002:0489a15	次轉釋(闕)	次 轉 釋 闕 
X51n0825_002:0489a16	三釋妨(雖)	三 釋 妨 雖 
X51n0825_002:0489a17	次料簡(二)	次 料 簡 二 
X51n0825_002:0489a18	初明防修非此相用(二)	初 明 防 修 非 此 相 用 二 
X51n0825_002:0489a19	初難(豈)	初 難 豈 
X51n0825_002:0489a20	次釋(防)	次 釋 防 
X51n0825_002:0489a21	次明四法有防修用(二)	次 明 四 法 有 防 修 用 二 
X51n0825_002:0489a22	初難(勤)	初 難 勤 
X51n0825_002:0489a23	次釋(汝)	次 釋 汝 
X51n0825_002:0489a24	七釋行捨(二)	七 釋 行 捨 二 
X51n0825_002:0489a25	初正釋(二)	初 正 釋 二 
X51n0825_002:0489a26	初略明(云)	初 略 明 云 
X51n0825_002:0489a27	次轉釋(謂)	次 轉 釋 謂 
X51n0825_002:0489a28	次簡異(由)	次 簡 異 由 
X51n0825_002:0489a29	八釋不害(二)	八 釋 不 害 二 
X51n0825_002:0489a30	初明正義(二)	初 明 正 義 二 
X51n0825_002:0489a31	初略明(云)	初 略 明 云 
X51n0825_002:0489a32	次轉釋(謂)	次 轉 釋 謂 
X51n0825_002:0489a33	次斥異解(二)	次 斥 異 解 二 
X51n0825_002:0489a34	初敘(有)	初 敘 有 
X51n0825_002:0489a35	次破(無)	次 破 無 
X51n0825_002:0489a36	次釋及字○	次 釋 及 字 
X51n0825_002:0489a37	次料簡別立○	次 料 簡 別 立 
X51n0825_002:0489a38	三諸門分別○	三 諸 門 分 別 
X51n0825_002:0489a40	○次釋及字(二)	 次 釋 及 字 二 
X51n0825_002:0489a41	初正釋所顯欣等(二)	初 正 釋 所 顯 欣 等 二 
X51n0825_002:0489a42	初正明及義(及)	初 正 明 及 義 及 
X51n0825_002:0489a43	次別釋欣等(六)	次 別 釋 欣 等 六 
X51n0825_002:0489a44	初欣等五(欣)	初 欣 等 五 欣 
X51n0825_002:0489a45	二厭等三(厭)	二 厭 等 三 厭 
X51n0825_002:0489a46	三不覆等三(不)	三 不 覆 等 三 不 
X51n0825_002:0489a47	四不慢(有)	四 不 慢 有 
X51n0825_002:0489a48	五不疑(有)	五 不 疑 有 
X51n0825_002:0489a49	六不散亂等四(不)	六 不 散 亂 等 四 不 
X51n0825_002:0489a50	次簡示悔等不翻(悔)	次 簡 示 悔 等 不 翻 悔 
X51n0825_002:0489a52	○次料簡別立(二)	 次 料 簡 別 立 二 
X51n0825_002:0489a53	初約立不立義簡(二)	初 約 立 不 立 義 簡 二 
X51n0825_002:0489a54	初問(何)	初 問 何 
X51n0825_002:0489a55	次答(二)	次 答 二 
X51n0825_002:0489a56	初約相用答(相)	初 約 相 用 答 相 
X51n0825_002:0489a57	次約偏勝答(二)	次 約 偏 勝 答 二 
X51n0825_002:0489a58	初正釋(又)	初 正 釋 又 
X51n0825_002:0489a59	次釋妨(害)	次 釋 妨 害 
X51n0825_002:0489a60	次約染多淨少簡(二)	次 約 染 多 淨 少 簡 二 
X51n0825_002:0489a61	初問(染)	初 問 染 
X51n0825_002:0489a62	次答(淨)	次 答 淨 
X51n0825_002:0489a64	○三諸門分別(十)	 三 諸 門 分 別 十 
X51n0825_002:0489a65	初假實門(此)	初 假 實 門 此 
X51n0825_002:0489a66	二徧不徧門(二)	二 徧 不 徧 門 二 
X51n0825_002:0489a67	初師立四徧七不定徧(二)	初 師 立 四 徧 七 不 定 徧 二 
X51n0825_002:0489a68	初正立(有)	初 正 立 有 
